Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Similarity_Groups	Source_Qualification	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Language_ID	Dialect_ID	Citation	Installed_Count	Entry_Keys
3	hair	GUT	Tikrapada Gadaba	15	10	7	seɳɖi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gu		mathew2022bonda-further[Appendix A, printed p. 10, item 3, Tikrapada Gadaba]	0	
3	hair	BIA	Biapada U. Didayi	15	10	8	ʊbɔ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gt		mathew2022bonda-further[Appendix A, printed p. 10, item 3, Biapada U. Didayi]	0	
3	hair	PAR	Kinumun Parenga Parja	15	10	9	t̪ɪkuɪ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	go		mathew2022bonda-further[Appendix A, printed p. 10, item 3, Kinumun Parenga Parja]	0	
3	hair	RON	Malenga Rona Desiya	15	10	10	tʃeɳɖɪ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	AdivasiOriya		mathew2022bonda-further[Appendix A, printed p. 10, item 3, Malenga Rona Desiya]	0	
3	hair	ODI	Cuttack Oriya	15	10	11	balə	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	Or		mathew2022bonda-further[Appendix A, printed p. 10, item 3, Cuttack Oriya]	0	
4	face	POD	Podeiguda U. Bonda	15	10	1	sʌɾmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-podeiguda-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 4, Podeiguda U. Bonda]	1	bonda-further-2022:p015:i004:POD:a1
4	face	BON	Bondapada U. Bonda	15	10	2	saɾmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-bondapada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 4, Bondapada U. Bonda]	1	bonda-further-2022:p015:i004:BON:a1
4	face	DUM	Dumripada U. Bonda	15	10	3	sʌɾmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	checked_replacement_target	source-local target staging	re	sil-bonda-didayi-1997-dumripada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 4, Dumripada U. Bonda]	1	bonda-further-2022:p015:i004:DUM:a1
4	face	KAD	Kadamguda L. Bonda	15	10	4	sʌɾmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 4, Kadamguda L. Bonda]	0	
4	face	KEN	Kendhuguda L. Bonda	15	10	5	sʌɾmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 4, Kendhuguda L. Bonda]	0	
4	face	RAS	Rasabeda L. Bonda	15	10	6	sʌɾmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 4, Rasabeda L. Bonda]	0	
4	face	GUT	Tikrapada Gadaba	15	10	7	səɾmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gu		mathew2022bonda-further[Appendix A, printed p. 10, item 4, Tikrapada Gadaba]	0	
4	face	BIA	Biapada U. Didayi	15	10	8	saɾmua	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gt		mathew2022bonda-further[Appendix A, printed p. 10, item 4, Biapada U. Didayi]	0	
4	face	PAR	Kinumun Parenga Parja	15	10	9	mokʌm	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	go		mathew2022bonda-further[Appendix A, printed p. 10, item 4, Kinumun Parenga Parja]	0	
4	face	RON	Malenga Rona Desiya	15	10	10	mʊ̃	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	AdivasiOriya		mathew2022bonda-further[Appendix A, printed p. 10, item 4, Malenga Rona Desiya]	0	
4	face	ODI	Cuttack Oriya	15	10	11	mũhə	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	Or		mathew2022bonda-further[Appendix A, printed p. 10, item 4, Cuttack Oriya]	0	
5	eye	POD	Podeiguda U. Bonda	15	10	1	mo	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-podeiguda-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 5, Podeiguda U. Bonda]	1	bonda-further-2022:p015:i005:POD:a1
5	eye	BON	Bondapada U. Bonda	15	10	2	mo	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-bondapada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 5, Bondapada U. Bonda]	1	bonda-further-2022:p015:i005:BON:a1
5	eye	DUM	Dumripada U. Bonda	15	10	3	mo	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	checked_replacement_target	source-local target staging	re	sil-bonda-didayi-1997-dumripada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 5, Dumripada U. Bonda]	1	bonda-further-2022:p015:i005:DUM:a1
5	eye	KAD	Kadamguda L. Bonda	15	10	4	mo:	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 5, Kadamguda L. Bonda]	0	
5	eye	KEN	Kendhuguda L. Bonda	15	10	5	mʊo	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 5, Kendhuguda L. Bonda]	0	
5	eye	RAS	Rasabeda L. Bonda	15	10	6	mo:	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 5, Rasabeda L. Bonda]	0	
5	eye	GUT	Tikrapada Gadaba	15	10	7	mo	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gu		mathew2022bonda-further[Appendix A, printed p. 10, item 5, Tikrapada Gadaba]	0	
5	eye	BIA	Biapada U. Didayi	15	10	8	mʊa	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gt		mathew2022bonda-further[Appendix A, printed p. 10, item 5, Biapada U. Didayi]	0	
5	eye	PAR	Kinumun Parenga Parja	15	10	9	mɐn	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	go		mathew2022bonda-further[Appendix A, printed p. 10, item 5, Kinumun Parenga Parja]	0	
5	eye	RON	Malenga Rona Desiya	15	10	10	ɐ̃kɪ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	AdivasiOriya		mathew2022bonda-further[Appendix A, printed p. 10, item 5, Malenga Rona Desiya]	0	
5	eye	ODI	Cuttack Oriya	15	10	11	ɑkhi	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	Or		mathew2022bonda-further[Appendix A, printed p. 10, item 5, Cuttack Oriya]	0	
6	ear	POD	Podeiguda U. Bonda	16	11	1	lʊn̩t̪ʊr	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-podeiguda-u-bonda	mathew2022bonda-further[Appendix A, printed p. 11, item 6, Podeiguda U. Bonda]	1	bonda-further-2022:p016:i006:POD:a1
6	ear	BON	Bondapada U. Bonda	16	11	2	lʊn̩t̪ʊr	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-bondapada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 11, item 6, Bondapada U. Bonda]	1	bonda-further-2022:p016:i006:BON:a1
6	ear	DUM	Dumripada U. Bonda	16	11	3	lʊn̩t̪ʊr	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	checked_replacement_target	source-local target staging	re	sil-bonda-didayi-1997-dumripada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 11, item 6, Dumripada U. Bonda]	1	bonda-further-2022:p016:i006:DUM:a1
6	ear	KAD	Kadamguda L. Bonda	16	11	4	lunt̪ur	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 11, item 6, Kadamguda L. Bonda]	0	
6	ear	KEN	Kendhuguda L. Bonda	16	11	5	lunt̪ur	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 11, item 6, Kendhuguda L. Bonda]	0	
6	ear	RAS	Rasabeda L. Bonda	16	11	6	lunt̪ur	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 11, item 6, Rasabeda L. Bonda]	0	
6	ear	GUT	Tikrapada Gadaba	16	11	7	l̩t̪iɾ	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gu		mathew2022bonda-further[Appendix A, printed p. 11, item 6, Tikrapada Gadaba]	0	
6	ear	BIA	Biapada U. Didayi	16	11	8	n̩lʊg̚	2	source prints combining left angle above on final g (unreleased)	attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gt		mathew2022bonda-further[Appendix A, printed p. 11, item 6, Biapada U. Didayi]	0	
6	ear	PAR	Kinumun Parenga Parja	16	11	9	lũ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	go		mathew2022bonda-further[Appendix A, printed p. 11, item 6, Kinumun Parenga Parja]	0	
6	ear	RON	Malenga Rona Desiya	16	11	10	kan	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	AdivasiOriya		mathew2022bonda-further[Appendix A, printed p. 11, item 6, Malenga Rona Desiya]	0	
6	ear	ODI	Cuttack Oriya	16	11	11	kaɳo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	Or		mathew2022bonda-further[Appendix A, printed p. 11, item 6, Cuttack Oriya]	0	
7	nose	POD	Podeiguda U. Bonda	16	11	1	nsemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-podeiguda-u-bonda	mathew2022bonda-further[Appendix A, printed p. 11, item 7, Podeiguda U. Bonda]	1	bonda-further-2022:p016:i007:POD:a1
7	nose	BON	Bondapada U. Bonda	16	11	2	nsemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-bondapada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 11, item 7, Bondapada U. Bonda]	1	bonda-further-2022:p016:i007:BON:a1
7	nose	DUM	Dumripada U. Bonda	16	11	3	nsemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	checked_replacement_target	source-local target staging	re	sil-bonda-didayi-1997-dumripada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 11, item 7, Dumripada U. Bonda]	1	bonda-further-2022:p016:i007:DUM:a1
7	nose	KAD	Kadamguda L. Bonda	16	11	4	n̩tʃemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 11, item 7, Kadamguda L. Bonda]	0	
7	nose	KEN	Kendhuguda L. Bonda	16	11	5	n̩tʃeʔmui	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 11, item 7, Kendhuguda L. Bonda]	0	
