Item	Site_Code	Site_Name	Current_Reviewed_Transcription	Prior_Source_Key	Prior_Site_Code	Prior_Reviewed_Transcription	Match_Status	Notes
2	ODI	Cuttack Oriya	mũnɖɔ	mathew-chamberlain2022bonda-didayi	ODI	mũnɖɔ	exact-diplomatic-match	current and prior reviewed strings are identical
3	KAD	Kadamguda L. Bonda	ʊgʔbo | ʊgʔbo	mathew-chamberlain2022bonda-didayi	KAD	ʊgʔbo	repeated-current-response	current prints the same lexical response under multiple similarity groups
3	KEN	Kendhuguda L. Bonda	ʊkʔbo | ʊkʔbo	mathew-chamberlain2022bonda-didayi	KEN	ʊkʔbo	repeated-current-response	current prints the same lexical response under multiple similarity groups
3	RAS	Rasabeda L. Bonda	ʊkʔbo | ʊkʔbo	mathew-chamberlain2022bonda-didayi	RAS	ʊkʔbo	repeated-current-response	current prints the same lexical response under multiple similarity groups
3	GUT	Tikrapada Gadaba	seɳɖi	mathew-chamberlain2022bonda-didayi	GUT	seɳɖi	exact-diplomatic-match	current and prior reviewed strings are identical
3	BIA	Biapada U. Didayi	ʊbɔ	mathew-chamberlain2022bonda-didayi	BIA	ʊbɔ	exact-diplomatic-match	current and prior reviewed strings are identical
3	PAR	Kinumun Parenga Parja	t̪ɪkuɪ	mathew-chamberlain2022bonda-didayi	PAR	tɪ̪kuɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
3	RON	Malenga Rona Desiya	tʃeɳɖɪ	mathew-chamberlain2022bonda-didayi	RON	tʃeɳɖɪ	exact-diplomatic-match	current and prior reviewed strings are identical
3	ODI	Cuttack Oriya	balə	mathew-chamberlain2022bonda-didayi	ODI	bɑlə	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
4	KAD	Kadamguda L. Bonda	sʌɾmo	mathew-chamberlain2022bonda-didayi	KAD	sʌɾmo	exact-diplomatic-match	current and prior reviewed strings are identical
4	KEN	Kendhuguda L. Bonda	sʌɾmo	mathew-chamberlain2022bonda-didayi	KEN	sʌɾmo	exact-diplomatic-match	current and prior reviewed strings are identical
4	RAS	Rasabeda L. Bonda	sʌɾmo	mathew-chamberlain2022bonda-didayi	RAS	sʌɾmo	exact-diplomatic-match	current and prior reviewed strings are identical
4	GUT	Tikrapada Gadaba	səɾmo	mathew-chamberlain2022bonda-didayi	GUT	səɾmo	exact-diplomatic-match	current and prior reviewed strings are identical
4	BIA	Biapada U. Didayi	saɾmua	mathew-chamberlain2022bonda-didayi	BIA	saɾmua	exact-diplomatic-match	current and prior reviewed strings are identical
4	PAR	Kinumun Parenga Parja	mokʌm	mathew-chamberlain2022bonda-didayi	PAR	mokʌm	exact-diplomatic-match	current and prior reviewed strings are identical
4	RON	Malenga Rona Desiya	mʊ̃	mathew-chamberlain2022bonda-didayi	RON	mʊ̃	exact-diplomatic-match	current and prior reviewed strings are identical
4	ODI	Cuttack Oriya	mũhə	mathew-chamberlain2022bonda-didayi	ODI	mũhə	exact-diplomatic-match	current and prior reviewed strings are identical
5	KAD	Kadamguda L. Bonda	mo:	mathew-chamberlain2022bonda-didayi	KAD	moː	length-mark-rendering-equivalent	current prints colon where prior source prints IPA length mark
5	KEN	Kendhuguda L. Bonda	mʊo	mathew-chamberlain2022bonda-didayi	KEN	mʊo	exact-diplomatic-match	current and prior reviewed strings are identical
5	RAS	Rasabeda L. Bonda	mo:	mathew-chamberlain2022bonda-didayi	RAS	moː	length-mark-rendering-equivalent	current prints colon where prior source prints IPA length mark
5	GUT	Tikrapada Gadaba	mo	mathew-chamberlain2022bonda-didayi	GUT	mo	exact-diplomatic-match	current and prior reviewed strings are identical
5	BIA	Biapada U. Didayi	mʊa	mathew-chamberlain2022bonda-didayi	BIA	mʊa	exact-diplomatic-match	current and prior reviewed strings are identical
5	PAR	Kinumun Parenga Parja	mɐn	mathew-chamberlain2022bonda-didayi	PAR	mɐn	exact-diplomatic-match	current and prior reviewed strings are identical
5	RON	Malenga Rona Desiya	ɐ̃kɪ	mathew-chamberlain2022bonda-didayi	RON	ɐk̃ɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
5	ODI	Cuttack Oriya	ɑkhi	mathew-chamberlain2022bonda-didayi	ODI	ɑkhi	exact-diplomatic-match	current and prior reviewed strings are identical
6	KAD	Kadamguda L. Bonda	lunt̪ur	mathew-chamberlain2022bonda-didayi	KAD	luntu̪ɾ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
6	KEN	Kendhuguda L. Bonda	lunt̪ur	mathew-chamberlain2022bonda-didayi	KEN	luntu̪ɾ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
6	RAS	Rasabeda L. Bonda	lunt̪ur	mathew-chamberlain2022bonda-didayi	RAS	luntu̪ɾ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
6	GUT	Tikrapada Gadaba	l̩t̪iɾ	mathew-chamberlain2022bonda-didayi	GUT	lɪ̪ti̪ɾ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
6	BIA	Biapada U. Didayi	n̩lʊg̚	mathew-chamberlain2022bonda-didayi	BIA	n̩lʊg̚	exact-diplomatic-match	current and prior reviewed strings are identical
6	PAR	Kinumun Parenga Parja	lũ	mathew-chamberlain2022bonda-didayi	PAR	lũ | lũ | lũ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
6	RON	Malenga Rona Desiya	kan	mathew-chamberlain2022bonda-didayi	RON	kan	exact-diplomatic-match	current and prior reviewed strings are identical
6	ODI	Cuttack Oriya	kaɳo	mathew-chamberlain2022bonda-didayi	ODI	kɑɳo	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
7	KAD	Kadamguda L. Bonda	n̩tʃemi	mathew-chamberlain2022bonda-didayi	KAD	n̩tʃemi	exact-diplomatic-match	current and prior reviewed strings are identical
7	KEN	Kendhuguda L. Bonda	n̩tʃeʔmui	mathew-chamberlain2022bonda-didayi	KEN	n̩tʃeʔmui	exact-diplomatic-match	current and prior reviewed strings are identical
7	RAS	Rasabeda L. Bonda	n̩tʃemi	mathew-chamberlain2022bonda-didayi	RAS	n̩tʃemi	exact-diplomatic-match	current and prior reviewed strings are identical
7	GUT	Tikrapada Gadaba	mi	mathew-chamberlain2022bonda-didayi	GUT	mi	exact-diplomatic-match	current and prior reviewed strings are identical
7	BIA	Biapada U. Didayi	mu	mathew-chamberlain2022bonda-didayi	BIA	mu	exact-diplomatic-match	current and prior reviewed strings are identical
7	PAR	Kinumun Parenga Parja	mũ	mathew-chamberlain2022bonda-didayi	PAR	mũ	exact-diplomatic-match	current and prior reviewed strings are identical
7	RON	Malenga Rona Desiya	nak	mathew-chamberlain2022bonda-didayi	RON	nak	exact-diplomatic-match	current and prior reviewed strings are identical
7	ODI	Cuttack Oriya	nakho	mathew-chamberlain2022bonda-didayi	ODI	nɑkho	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
8	KAD	Kadamguda L. Bonda	t̪ʊmo	mathew-chamberlain2022bonda-didayi	KAD	tʊ̪mo	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
8	KEN	Kendhuguda L. Bonda	t̪umo	mathew-chamberlain2022bonda-didayi	KEN	tu̪mo	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
8	RAS	Rasabeda L. Bonda	t̪ʊmo	mathew-chamberlain2022bonda-didayi	RAS	tʊ̪mo	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
8	GUT	Tikrapada Gadaba	t̪ʊmo	mathew-chamberlain2022bonda-didayi	GUT	tʊ̪mo	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
8	BIA	Biapada U. Didayi	t̪ʊmua	mathew-chamberlain2022bonda-didayi	BIA	tʊ̪mua	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
8	PAR	Kinumun Parenga Parja	t̪oɾ	mathew-chamberlain2022bonda-didayi	PAR	to̪ɾ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
8	RON	Malenga Rona Desiya	ʈɔɳɖ	mathew-chamberlain2022bonda-didayi	RON	ʈɔɳɖ	exact-diplomatic-match	current and prior reviewed strings are identical
8	ODI	Cuttack Oriya	paʈ:i	mathew-chamberlain2022bonda-didayi	ODI	pɑʈːi	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
9	KAD	Kadamguda L. Bonda	gine	mathew-chamberlain2022bonda-didayi	KAD	gine	exact-diplomatic-match	current and prior reviewed strings are identical
9	KEN	Kendhuguda L. Bonda	gine	mathew-chamberlain2022bonda-didayi	KEN	gine	exact-diplomatic-match	current and prior reviewed strings are identical
9	RAS	Rasabeda L. Bonda	gine	mathew-chamberlain2022bonda-didayi	RAS	gine	exact-diplomatic-match	current and prior reviewed strings are identical
9	GUT	Tikrapada Gadaba	ginɛ	mathew-chamberlain2022bonda-didayi	GUT	gɪnɛ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
9	BIA	Biapada U. Didayi	gini	mathew-chamberlain2022bonda-didayi	BIA	gɪni	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
9	PAR	Kinumun Parenga Parja	dʒi	mathew-chamberlain2022bonda-didayi	PAR	dʒi	exact-diplomatic-match	current and prior reviewed strings are identical
9	RON	Malenga Rona Desiya	d̪ẽt̪	mathew-chamberlain2022bonda-didayi	RON	d̪ɐt̪̃	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
9	ODI	Cuttack Oriya	d̪ant̪o	mathew-chamberlain2022bonda-didayi	ODI	d̪ɑnto̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
10	KAD	Kadamguda L. Bonda	lejʌŋ	mathew-chamberlain2022bonda-didayi	KAD	lejʌŋ	exact-diplomatic-match	current and prior reviewed strings are identical
10	KEN	Kendhuguda L. Bonda	lejʌŋ	mathew-chamberlain2022bonda-didayi	KEN	lejʌŋ	exact-diplomatic-match	current and prior reviewed strings are identical
10	RAS	Rasabeda L. Bonda	lejʌŋ	mathew-chamberlain2022bonda-didayi	RAS	lejʌŋ	exact-diplomatic-match	current and prior reviewed strings are identical
10	GUT	Tikrapada Gadaba	lɐø	mathew-chamberlain2022bonda-didayi	GUT	lɐø	exact-diplomatic-match	current and prior reviewed strings are identical
10	BIA	Biapada U. Didayi	n̩lia	mathew-chamberlain2022bonda-didayi	BIA	n̩lia	exact-diplomatic-match	current and prior reviewed strings are identical
10	PAR	Kinumun Parenga Parja	lɐŋ	mathew-chamberlain2022bonda-didayi	PAR	lɐŋ	exact-diplomatic-match	current and prior reviewed strings are identical
10	RON	Malenga Rona Desiya	dʒɪb	mathew-chamberlain2022bonda-didayi	RON	dʒɪb	exact-diplomatic-match	current and prior reviewed strings are identical
10	ODI	Cuttack Oriya	dʒibhə	mathew-chamberlain2022bonda-didayi	ODI	dʒibɦə	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
11	KAD	Kadamguda L. Bonda		mathew-chamberlain2022bonda-didayi	KAD		exact-diplomatic-match	current and prior reviewed strings are identical
11	KEN	Kendhuguda L. Bonda		mathew-chamberlain2022bonda-didayi	KEN		exact-diplomatic-match	current and prior reviewed strings are identical
11	RAS	Rasabeda L. Bonda		mathew-chamberlain2022bonda-didayi	RAS		exact-diplomatic-match	current and prior reviewed strings are identical
11	GUT	Tikrapada Gadaba		mathew-chamberlain2022bonda-didayi	GUT		exact-diplomatic-match	current and prior reviewed strings are identical
11	BIA	Biapada U. Didayi		mathew-chamberlain2022bonda-didayi	BIA		exact-diplomatic-match	current and prior reviewed strings are identical
11	PAR	Kinumun Parenga Parja		mathew-chamberlain2022bonda-didayi	PAR		exact-diplomatic-match	current and prior reviewed strings are identical
11	RON	Malenga Rona Desiya		mathew-chamberlain2022bonda-didayi	RON		exact-diplomatic-match	current and prior reviewed strings are identical
11	ODI	Cuttack Oriya		mathew-chamberlain2022bonda-didayi	ODI		exact-diplomatic-match	current and prior reviewed strings are identical
12	KAD	Kadamguda L. Bonda	sʊloi	mathew-chamberlain2022bonda-didayi	KAD	sʊloi	exact-diplomatic-match	current and prior reviewed strings are identical
12	KEN	Kendhuguda L. Bonda	sʊloi	mathew-chamberlain2022bonda-didayi	KEN	sʊloi	exact-diplomatic-match	current and prior reviewed strings are identical
12	RAS	Rasabeda L. Bonda	sʊloi	mathew-chamberlain2022bonda-didayi	RAS	sʊloi	exact-diplomatic-match	current and prior reviewed strings are identical
12	GUT	Tikrapada Gadaba	sʊloi	mathew-chamberlain2022bonda-didayi	GUT	sʊloi	exact-diplomatic-match	current and prior reviewed strings are identical
12	BIA	Biapada U. Didayi	sʊle	mathew-chamberlain2022bonda-didayi	BIA	sʊle	exact-diplomatic-match	current and prior reviewed strings are identical
12	PAR	Kinumun Parenga Parja	pot̪e | put̪e	mathew-chamberlain2022bonda-didayi	PAR	puʈɐ | poʈɐ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
12	RON	Malenga Rona Desiya	pet̪	mathew-chamberlain2022bonda-didayi	RON	peʈ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
12	ODI	Cuttack Oriya	pet̪t̪o	mathew-chamberlain2022bonda-didayi	ODI	pett̪o̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
13	KAD	Kadamguda L. Bonda	t̪t̪i	mathew-chamberlain2022bonda-didayi	KAD	tɪ̪ti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
13	KEN	Kendhuguda L. Bonda	t̪t̪i	mathew-chamberlain2022bonda-didayi	KEN	tɪ̪ti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
13	RAS	Rasabeda L. Bonda	t̪t̪i	mathew-chamberlain2022bonda-didayi	RAS	tɪ̪ti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
13	GUT	Tikrapada Gadaba	t̪t̪i	mathew-chamberlain2022bonda-didayi	GUT	tɪ̪tɪ̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
13	BIA	Biapada U. Didayi	n̩t̪i	mathew-chamberlain2022bonda-didayi	BIA	n̩ti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
13	PAR	Kinumun Parenga Parja	si	mathew-chamberlain2022bonda-didayi	PAR	si	exact-diplomatic-match	current and prior reviewed strings are identical
13	RON	Malenga Rona Desiya	ɐt̪	mathew-chamberlain2022bonda-didayi	RON	ɐt̪	exact-diplomatic-match	current and prior reviewed strings are identical
13	ODI	Cuttack Oriya	hat̪o	mathew-chamberlain2022bonda-didayi	ODI	hɑʈo	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
14	KAD	Kadamguda L. Bonda	gət̪i	mathew-chamberlain2022bonda-didayi	KAD	gɔʈɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
14	KEN	Kendhuguda L. Bonda	kəpoɾ	mathew-chamberlain2022bonda-didayi	KEN	kɔpoɾ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
14	RAS	Rasabeda L. Bonda	gət̪i	mathew-chamberlain2022bonda-didayi	RAS	gɔʈɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
14	GUT	Tikrapada Gadaba	kop:oɾ	mathew-chamberlain2022bonda-didayi	GUT	kopːoɾ	length-mark-rendering-equivalent	current prints colon where prior source prints IPA length mark
14	BIA	Biapada U. Didayi	sekoɾt̪i	mathew-chamberlain2022bonda-didayi	BIA	sekoɾti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
14	PAR	Kinumun Parenga Parja	kumsi	mathew-chamberlain2022bonda-didayi	PAR	kumsɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
14	RON	Malenga Rona Desiya	kəpəɾ	mathew-chamberlain2022bonda-didayi	RON	kɔpɔɾ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
14	ODI	Cuttack Oriya	koini	mathew-chamberlain2022bonda-didayi	ODI	koini	exact-diplomatic-match	current and prior reviewed strings are identical
15	KAD	Kadamguda L. Bonda	pəɖomt̪it̪i	mathew-chamberlain2022bonda-didayi	KAD	pɔd̪omtɪ̪ti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
15	KEN	Kendhuguda L. Bonda	pəɖomt̪it̪i	mathew-chamberlain2022bonda-didayi	KEN	pɔd̪omtɪ̪ti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
15	RAS	Rasabeda L. Bonda	pəɖomt̪i	mathew-chamberlain2022bonda-didayi	RAS	pɔd̪omtɪ̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
15	GUT	Tikrapada Gadaba	poɖəm	mathew-chamberlain2022bonda-didayi	GUT	pod̪əm	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
15	BIA	Biapada U. Didayi	git̪at̪i	mathew-chamberlain2022bonda-didayi	BIA	gɪta̪ti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
15	PAR	Kinumun Parenga Parja	si	mathew-chamberlain2022bonda-didayi	PAR	sɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
15	RON	Malenga Rona Desiya	ɐt̪	mathew-chamberlain2022bonda-didayi	RON	ɐt̪	exact-diplomatic-match	current and prior reviewed strings are identical
15	ODI	Cuttack Oriya	toɭohato | papuli	mathew-chamberlain2022bonda-didayi	ODI	toɭohɑto | pɑpuli	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
16	KAD	Kadamguda L. Bonda	ʌŋti	mathew-chamberlain2022bonda-didayi	KAD	ʌŋʈi	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
16	KEN	Kendhuguda L. Bonda	ʌŋti	mathew-chamberlain2022bonda-didayi	KEN	ʌŋʈi	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
16	RAS	Rasabeda L. Bonda	ʌŋti	mathew-chamberlain2022bonda-didayi	RAS	ʌŋʈi	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
16	GUT	Tikrapada Gadaba	əŋti	mathew-chamberlain2022bonda-didayi	GUT	əŋʈi	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
16	BIA	Biapada U. Didayi	vʌɾvat̪i	mathew-chamberlain2022bonda-didayi	BIA	vʌɾvati̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
16	PAR	Kinumun Parenga Parja	ʌŋti	mathew-chamberlain2022bonda-didayi	PAR	ʌŋʈɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
16	RON	Malenga Rona Desiya	əŋti	mathew-chamberlain2022bonda-didayi	RON	ɐŋʈɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
16	ODI	Cuttack Oriya	aŋguɭi	mathew-chamberlain2022bonda-didayi	ODI	ɑŋguɭi	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
17	KAD	Kadamguda L. Bonda	kɪrime	mathew-chamberlain2022bonda-didayi	KAD	kɪɾime	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
17	KEN	Kendhuguda L. Bonda	kɪrime	mathew-chamberlain2022bonda-didayi	KEN	kɪɾime	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
17	RAS	Rasabeda L. Bonda	kɪrime	mathew-chamberlain2022bonda-didayi	RAS	kɪɾime	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
17	GUT	Tikrapada Gadaba	ɾʊmɪ | noq	mathew-chamberlain2022bonda-didayi	GUT	ɾʊmɐi | noq	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
17	BIA	Biapada U. Didayi	n̩tʃəit̪i	mathew-chamberlain2022bonda-didayi	BIA	n̩tʃɔiti̪	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
17	PAR	Kinumun Parenga Parja	ɾuʊəɾ	mathew-chamberlain2022bonda-didayi	PAR	ɾuʋɐɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
17	RON	Malenga Rona Desiya	nək	mathew-chamberlain2022bonda-didayi	RON	nɔk	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
17	ODI	Cuttack Oriya	no:kho	mathew-chamberlain2022bonda-didayi	ODI	noːkho	length-mark-rendering-equivalent	current prints colon where prior source prints IPA length mark
18	KAD	Kadamguda L. Bonda	t̪eksuŋ	mathew-chamberlain2022bonda-didayi	KAD	te̪ksuŋ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
18	KEN	Kendhuguda L. Bonda	t̪eksuŋ	mathew-chamberlain2022bonda-didayi	KEN	te̪ksuŋ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
18	RAS	Rasabeda L. Bonda	t̪esuŋ	mathew-chamberlain2022bonda-didayi	RAS	te̪suŋ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
18	GUT	Tikrapada Gadaba	sʊsʊŋ	mathew-chamberlain2022bonda-didayi	GUT	sʊsʊŋ	exact-diplomatic-match	current and prior reviewed strings are identical
18	BIA	Biapada U. Didayi	ʊntʃə	mathew-chamberlain2022bonda-didayi	BIA	ʊntʃɔ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
18	PAR	Kinumun Parenga Parja	dʒiŋ	mathew-chamberlain2022bonda-didayi	PAR	dʒɪŋ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
18	RON	Malenga Rona Desiya	gəɾ	mathew-chamberlain2022bonda-didayi	RON	gɔɽ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
18	ODI	Cuttack Oriya	gudo	mathew-chamberlain2022bonda-didayi	ODI	gudo	exact-diplomatic-match	current and prior reviewed strings are identical
19	KAD	Kadamguda L. Bonda	ʊsa	mathew-chamberlain2022bonda-didayi	KAD	ʊsa	exact-diplomatic-match	current and prior reviewed strings are identical
19	KEN	Kendhuguda L. Bonda	ʊsa	mathew-chamberlain2022bonda-didayi	KEN	ʊsa	exact-diplomatic-match	current and prior reviewed strings are identical
19	RAS	Rasabeda L. Bonda	ʊsa	mathew-chamberlain2022bonda-didayi	RAS	ʊsa	exact-diplomatic-match	current and prior reviewed strings are identical
19	GUT	Tikrapada Gadaba	ɪsel	mathew-chamberlain2022bonda-didayi	GUT	ɪsɐl	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
19	BIA	Biapada U. Didayi	ʊksa	mathew-chamberlain2022bonda-didayi	BIA	ʊksa	exact-diplomatic-match	current and prior reviewed strings are identical
19	PAR	Kinumun Parenga Parja	sɪsɪ	mathew-chamberlain2022bonda-didayi	PAR	sɪsɪ	exact-diplomatic-match	current and prior reviewed strings are identical
19	RON	Malenga Rona Desiya	tʃem	mathew-chamberlain2022bonda-didayi	RON	tʃɐm	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
19	ODI	Cuttack Oriya	tʃaɾəmõ	mathew-chamberlain2022bonda-didayi	ODI	tʃɑɾəmõ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
20	KAD	Kadamguda L. Bonda	sɪksəŋ	mathew-chamberlain2022bonda-didayi	KAD	sɪksɐŋ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
20	KEN	Kendhuguda L. Bonda	sɪksəŋ	mathew-chamberlain2022bonda-didayi	KEN	sɪksɐŋ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
20	RAS	Rasabeda L. Bonda	sɪksəŋ	mathew-chamberlain2022bonda-didayi	RAS	sɪksɐŋ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
20	GUT	Tikrapada Gadaba	sɪsəŋ	mathew-chamberlain2022bonda-didayi	GUT	sɪsɐŋ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
20	BIA	Biapada U. Didayi	ntʃia	mathew-chamberlain2022bonda-didayi	BIA	ɪntʃia	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
20	PAR	Kinumun Parenga Parja	dʒɛ	mathew-chamberlain2022bonda-didayi	PAR	dʒɐ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
20	RON	Malenga Rona Desiya	əɾ	mathew-chamberlain2022bonda-didayi	RON	ɐɽ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
20	ODI	Cuttack Oriya	ha:do	mathew-chamberlain2022bonda-didayi	ODI	hɑːdo	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
21	KAD	Kadamguda L. Bonda	dʒimon	mathew-chamberlain2022bonda-didayi	KAD	dʒɪmon	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
21	KEN	Kendhuguda L. Bonda	gɪɾɛ	mathew-chamberlain2022bonda-didayi	KEN	gɪɾɛ	exact-diplomatic-match	current and prior reviewed strings are identical
21	RAS	Rasabeda L. Bonda	dʒimon | d̪ʊkd̪ukɪ	mathew-chamberlain2022bonda-didayi	RAS	dʒɪmon | d̪ʊkd̪ukɪ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
21	GUT	Tikrapada Gadaba	buq	mathew-chamberlain2022bonda-didayi	GUT	buq	exact-diplomatic-match	current and prior reviewed strings are identical
21	BIA	Biapada U. Didayi	dʒibon	mathew-chamberlain2022bonda-didayi	BIA	dʒɪbon	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
