Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Raw_Response	Raw_Line	Extraction_Status
6	ear	PAR	Kinumun Parenga Parja	21	16	2	2 lũ, 4 lũ, 5 lũ	Kinumun Parenga Parja 2 lũ, 4 lũ, 5 lũ	text-layer
6	ear	RON	Malenga Rona Desiya	21	16	2	1 kan	Malenga Rona Desiya 1 kan	text-layer
6	ear	ODI	Cuttack Oriya	21	16	2	1 kɑɳo	Cuttack Oriya 1 kɑɳo	text-layer
7	nose	BIA	Biapada U. Didayi	21	16	2	1 mu	Biapada U. Didayi 1 mu	text-layer
7	nose	CHI	Chitrakonda L. Didayi	21	16	2	1 mu	Chitrakonda L. Didayi 1 mu	text-layer
7	nose	KAL	Kaluguda U. Didayi	21	16	2	1 muːi	Kaluguda U. Didayi 1 muːi	text-layer
7	nose	ORA	Orapadar U. Didayi	21	16	2	1 m̩u	Orapadar U. Didayi 1 m̩u	text-layer
7	nose	ORI	Oringi L. Didayi	21	16	2	1 mu	Oringi L. Didayi 1 mu	text-layer
7	nose	RAS	Rasabeda L. Bonda	21	16	2	4 n̩tʃemi	Rasabeda L. Bonda 4 n̩tʃemi	text-layer
7	nose	KEN	Kendhuguda L. Bonda	21	16	2	4 n̩tʃeʔmui	Kendhuguda L. Bonda 4 n̩tʃeʔmui	text-layer
7	nose	KAD	Kadamguda L. Bonda	21	16	2	4 n̩tʃemi	Kadamguda L. Bonda 4 n̩tʃemi	text-layer
7	nose	DUM	Dumripada U. Bonda	21	16	2	4 n̩tʃemi	Dumripada U. Bonda 4 n̩tʃemi	text-layer
7	nose	GUT	Tikrapada Gutob	21	16	2	3 mi	Tikrapada Gutob 3 mi	text-layer
7	nose	PAR	Kinumun Parenga Parja	21	16	2	1 mũ	Kinumun Parenga Parja 1 mũ	text-layer
7	nose	RON	Malenga Rona Desiya	21	16	2	2 nak	Malenga Rona Desiya 2 nak	text-layer
7	nose	ODI	Cuttack Oriya	21	16	2	2 nɑkho	Cuttack Oriya 2 nɑkho	text-layer
8	mouth	BIA	Biapada U. Didayi	22	17	1	1 tʊ̪mua	Biapada U. Didayi 1 tʊ̪mua	text-layer
8	mouth	CHI	Chitrakonda L. Didayi	22	17	1	1 tʊ̪mua	Chitrakonda L. Didayi 1 tʊ̪mua	text-layer
8	mouth	KAL	Kaluguda U. Didayi	22	17	1	1 tu̪mo	Kaluguda U. Didayi 1 tu̪mo	text-layer
8	mouth	ORA	Orapadar U. Didayi	22	17	1	1 tʊ̪mo	Orapadar U. Didayi 1 tʊ̪mo	text-layer
8	mouth	ORI	Oringi L. Didayi	22	17	1	1 tʊ̪mua	Oringi L. Didayi 1 tʊ̪mua	text-layer
8	mouth	RAS	Rasabeda L. Bonda	22	17	1	1 tʊ̪mo	Rasabeda L. Bonda 1 tʊ̪mo	text-layer
8	mouth	KEN	Kendhuguda L. Bonda	22	17	1	1 tu̪mo	Kendhuguda L. Bonda 1 tu̪mo	text-layer
8	mouth	KAD	Kadamguda L. Bonda	22	17	1	1 tʊ̪mo	Kadamguda L. Bonda 1 tʊ̪mo	text-layer
8	mouth	DUM	Dumripada U. Bonda	22	17	1	1 tʊ̪mo	Dumripada U. Bonda 1 tʊ̪mo	text-layer
8	mouth	GUT	Tikrapada Gutob	22	17	1	1 tʊ̪mo	Tikrapada Gutob 1 tʊ̪mo	text-layer
8	mouth	PAR	Kinumun Parenga Parja	22	17	1	3 to̪ɾ	Kinumun Parenga Parja 3 to̪ɾ	text-layer
8	mouth	RON	Malenga Rona Desiya	22	17	1	4 ʈɔɳɖ	Malenga Rona Desiya 4 ʈɔɳɖ	text-layer
8	mouth	ODI	Cuttack Oriya	22	17	1	2 pɑʈːi	Cuttack Oriya 2 pɑʈːi	text-layer
9	tooth	BIA	Biapada U. Didayi	22	17	1	1 gɪni	Biapada U. Didayi 1 gɪni	text-layer
9	tooth	CHI	Chitrakonda L. Didayi	22	17	1	1 gɪni	Chitrakonda L. Didayi 1 gɪni	text-layer
9	tooth	KAL	Kaluguda U. Didayi	22	17	1	1 gɪni	Kaluguda U. Didayi 1 gɪni	text-layer
9	tooth	ORA	Orapadar U. Didayi	22	17	1	1 gɪni	Orapadar U. Didayi 1 gɪni	text-layer
9	tooth	ORI	Oringi L. Didayi	22	17	1	1 gɪni	Oringi L. Didayi 1 gɪni	text-layer
9	tooth	RAS	Rasabeda L. Bonda	22	17	1	1 gine	Rasabeda L. Bonda 1 gine	text-layer
9	tooth	KEN	Kendhuguda L. Bonda	22	17	1	1 gine	Kendhuguda L. Bonda 1 gine	text-layer
9	tooth	KAD	Kadamguda L. Bonda	22	17	1	1 gine	Kadamguda L. Bonda 1 gine	text-layer
9	tooth	DUM	Dumripada U. Bonda	22	17	1	1 gine	Dumripada U. Bonda 1 gine	text-layer
9	tooth	GUT	Tikrapada Gutob	22	17	1	1 gɪnɛ	Tikrapada Gutob 1 gɪnɛ	text-layer
9	tooth	PAR	Kinumun Parenga Parja	22	17	1	3 dʒi	Kinumun Parenga Parja 3 dʒi	text-layer
9	tooth	RON	Malenga Rona Desiya	22	17	1	2 d̪ɐt̪̃	Malenga Rona Desiya 2 d̪ɐt̪̃	text-layer
9	tooth	ODI	Cuttack Oriya	22	17	1	2 d̪ɑnto̪	Cuttack Oriya 2 d̪ɑnto̪	text-layer
10	tongue	BIA	Biapada U. Didayi	22	17	1	3 n̩lia	Biapada U. Didayi 3 n̩lia	text-layer
10	tongue	CHI	Chitrakonda L. Didayi	22	17	1	3 n̩lia	Chitrakonda L. Didayi 3 n̩lia	text-layer
10	tongue	KAL	Kaluguda U. Didayi	22	17	1	3 n̩le	Kaluguda U. Didayi 3 n̩le	text-layer
10	tongue	ORA	Orapadar U. Didayi	22	17	1	3 n̩lẽ	Orapadar U. Didayi 3 n̩lẽ	text-layer
10	tongue	ORI	Oringi L. Didayi	22	17	1	3 n̩lia	Oringi L. Didayi 3 n̩lia	text-layer
10	tongue	RAS	Rasabeda L. Bonda	22	17	1	4 lejʌŋ	Rasabeda L. Bonda 4 lejʌŋ	text-layer
10	tongue	KEN	Kendhuguda L. Bonda	22	17	1	4 lejʌŋ	Kendhuguda L. Bonda 4 lejʌŋ	text-layer
10	tongue	KAD	Kadamguda L. Bonda	22	17	1	4 lejʌŋ	Kadamguda L. Bonda 4 lejʌŋ	text-layer
10	tongue	DUM	Dumripada U. Bonda	22	17	1	4 lejʌŋ	Dumripada U. Bonda 4 lejʌŋ	text-layer
10	tongue	GUT	Tikrapada Gutob	22	17	1	1 lɐø	Tikrapada Gutob 1 lɐø	text-layer
10	tongue	PAR	Kinumun Parenga Parja	22	17	1	1 lɐŋ	Kinumun Parenga Parja 1 lɐŋ	text-layer
10	tongue	RON	Malenga Rona Desiya	22	17	1	2 dʒɪb	Malenga Rona Desiya 2 dʒɪb	text-layer
10	tongue	ODI	Cuttack Oriya	22	17	1	2 dʒibɦə	Cuttack Oriya 2 dʒibɦə	text-layer
11	breast	BIA	Biapada U. Didayi	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	CHI	Chitrakonda L. Didayi	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	KAL	Kaluguda U. Didayi	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	ORA	Orapadar U. Didayi	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	ORI	Oringi L. Didayi	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	RAS	Rasabeda L. Bonda	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	KEN	Kendhuguda L. Bonda	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	KAD	Kadamguda L. Bonda	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	DUM	Dumripada U. Bonda	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	GUT	Tikrapada Gutob	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	PAR	Kinumun Parenga Parja	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	RON	Malenga Rona Desiya	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
11	breast	ODI	Cuttack Oriya	22	17	1	DISQUALIFIED	11. breast DISQUALIFIED	disqualified
12	belly	BIA	Biapada U. Didayi	22	17	1	1 sʊle	Biapada U. Didayi 1 sʊle	text-layer
12	belly	CHI	Chitrakonda L. Didayi	22	17	1	1 sʊloi	Chitrakonda L. Didayi 1 sʊloi	text-layer
12	belly	KAL	Kaluguda U. Didayi	22	17	1	1 sʊloi	Kaluguda U. Didayi 1 sʊloi	text-layer
12	belly	ORA	Orapadar U. Didayi	22	17	1	1 sʊloi	Orapadar U. Didayi 1 sʊloi	text-layer
12	belly	ORI	Oringi L. Didayi	22	17	1	1 sʊlei	Oringi L. Didayi 1 sʊlei	text-layer
12	belly	RAS	Rasabeda L. Bonda	22	17	1	1 sʊloi	Rasabeda L. Bonda 1 sʊloi	text-layer
12	belly	KEN	Kendhuguda L. Bonda	22	17	1	1 sʊloi	Kendhuguda L. Bonda 1 sʊloi	text-layer
12	belly	KAD	Kadamguda L. Bonda	22	17	2	1 sʊloi	Kadamguda L. Bonda 1 sʊloi	text-layer
12	belly	DUM	Dumripada U. Bonda	22	17	2	1 sʊloi	Dumripada U. Bonda 1 sʊloi	text-layer
12	belly	GUT	Tikrapada Gutob	22	17	2	1 sʊloi	Tikrapada Gutob 1 sʊloi	text-layer
12	belly	PAR	Kinumun Parenga Parja	22	17	2	3 puʈɐ, 3 poʈɐ	Kinumun Parenga Parja 3 puʈɐ, 3 poʈɐ	text-layer
12	belly	RON	Malenga Rona Desiya	22	17	2	2 peʈ	Malenga Rona Desiya 2 peʈ	text-layer
12	belly	ODI	Cuttack Oriya	22	17	2	4 pett̪o̪	Cuttack Oriya 4 pett̪o̪	text-layer
13	arm	BIA	Biapada U. Didayi	22	17	2	1 n̩ti̪	Biapada U. Didayi 1 n̩ti̪	text-layer
13	arm	CHI	Chitrakonda L. Didayi	22	17	2	2 tɪ̪ti̪	Chitrakonda L. Didayi 2 tɪ̪ti̪	text-layer
13	arm	KAL	Kaluguda U. Didayi	22	17	2	1 n̩ti̪	Kaluguda U. Didayi 1 n̩ti̪	text-layer
13	arm	ORA	Orapadar U. Didayi	22	17	2	1 n̩ti̪	Orapadar U. Didayi 1 n̩ti̪	text-layer
13	arm	ORI	Oringi L. Didayi	22	17	2	1 n̩ti̪	Oringi L. Didayi 1 n̩ti̪	text-layer
13	arm	RAS	Rasabeda L. Bonda	22	17	2	2 tɪ̪ti̪	Rasabeda L. Bonda 2 tɪ̪ti̪	text-layer
13	arm	KEN	Kendhuguda L. Bonda	22	17	2	2 tɪ̪ti̪	Kendhuguda L. Bonda 2 tɪ̪ti̪	text-layer
13	arm	KAD	Kadamguda L. Bonda	22	17	2	2 tɪ̪ti̪	Kadamguda L. Bonda 2 tɪ̪ti̪	text-layer
13	arm	DUM	Dumripada U. Bonda	22	17	2	2 tɪ̪ti̪	Dumripada U. Bonda 2 tɪ̪ti̪	text-layer
13	arm	GUT	Tikrapada Gutob	22	17	2	2 tɪ̪tɪ̪	Tikrapada Gutob 2 tɪ̪tɪ̪	text-layer
13	arm	PAR	Kinumun Parenga Parja	22	17	2	3 si	Kinumun Parenga Parja 3 si	text-layer
13	arm	RON	Malenga Rona Desiya	22	17	2	5 ɐt̪	Malenga Rona Desiya 5 ɐt̪	text-layer
13	arm	ODI	Cuttack Oriya	22	17	2	4 hɑʈo	Cuttack Oriya 4 hɑʈo	text-layer
14	elbow	BIA	Biapada U. Didayi	22	17	2	4 sekoɾti̪	Biapada U. Didayi 4 sekoɾti̪	text-layer
14	elbow	CHI	Chitrakonda L. Didayi	22	17	2	4 sɔŋkoɾti̪	Chitrakonda L. Didayi 4 sɔŋkoɾti̪	text-layer
14	elbow	KAL	Kaluguda U. Didayi	22	17	2	8 kempoɾti̪	Kaluguda U. Didayi 8 kempoɾti̪	text-layer
14	elbow	ORA	Orapadar U. Didayi	22	17	2	7 m̩osʌtː̪i	Orapadar U. Didayi 7 m̩osʌtː̪i	text-layer
14	elbow	ORI	Oringi L. Didayi	22	17	2	4 sɔŋkoɾti̪, 6 ʌnavoɪtʃɪatɪ̪	Oringi L. Didayi 4 sɔŋkoɾti̪, /continued/ 6 ʌnavoɪtʃɪatɪ̪	text-layer
14	elbow	RAS	Rasabeda L. Bonda	22	17	2	5 gɔʈɪ	Rasabeda L. Bonda 5 gɔʈɪ	text-layer
14	elbow	KEN	Kendhuguda L. Bonda	22	17	2	1 kɔpoɾ	Kendhuguda L. Bonda 1 kɔpoɾ	text-layer
14	elbow	KAD	Kadamguda L. Bonda	22	17	2	5 gɔʈɪ	Kadamguda L. Bonda 5 gɔʈɪ	text-layer
14	elbow	DUM	Dumripada U. Bonda	22	17	2	9 sʊnʊŋkʊti̪	Dumripada U. Bonda 9 sʊnʊŋkʊti̪	text-layer
14	elbow	GUT	Tikrapada Gutob	22	17	2	1 kopːoɾ	Tikrapada Gutob 1 kopːoɾ	text-layer
14	elbow	PAR	Kinumun Parenga Parja	22	17	2	3 kumsɪ	Kinumun Parenga Parja 3 kumsɪ	text-layer
14	elbow	RON	Malenga Rona Desiya	22	17	2	1 kɔpɔɾ	Malenga Rona Desiya 1 kɔpɔɾ	text-layer
14	elbow	ODI	Cuttack Oriya	22	17	2	2 koini	Cuttack Oriya 2 koini	text-layer
15	palm	BIA	Biapada U. Didayi	22	17	2	7 gɪta̪ti̪	Biapada U. Didayi 7 gɪta̪ti̪	text-layer
15	palm	CHI	Chitrakonda L. Didayi	22	17	2	7 gɪta̪ti̪	Chitrakonda L. Didayi 7 gɪta̪ti̪	text-layer
15	palm	KAL	Kaluguda U. Didayi	22	17	2	7 gɪta̪ti̪	Kaluguda U. Didayi 7 gɪta̪ti̪	text-layer
15	palm	ORA	Orapadar U. Didayi	22	17	2	8 ŋtʃoŋti̪	Orapadar U. Didayi 8 ŋtʃoŋti̪	text-layer
15	palm	ORI	Oringi L. Didayi	22	17	2	8 ɖaɳɖati̪	Oringi L. Didayi 8 ɖaɳɖati̪	text-layer
15	palm	RAS	Rasabeda L. Bonda	22	17	2	1 pɔd̪omtɪ̪	Rasabeda L. Bonda 1 pɔd̪omtɪ̪	text-layer
15	palm	KEN	Kendhuguda L. Bonda	22	17	2	1 pɔd̪omtɪ̪ti̪	Kendhuguda L. Bonda 1 pɔd̪omtɪ̪ti̪	text-layer
15	palm	KAD	Kadamguda L. Bonda	22	17	2	1 pɔd̪omtɪ̪ti̪	Kadamguda L. Bonda 1 pɔd̪omtɪ̪ti̪	text-layer
15	palm	DUM	Dumripada U. Bonda	22	17	2	7 guta̪ti̪	Dumripada U. Bonda 7 guta̪ti̪	text-layer
15	palm	GUT	Tikrapada Gutob	22	17	2	1 pod̪əm	Tikrapada Gutob 1 pod̪əm	text-layer
15	palm	PAR	Kinumun Parenga Parja	22	17	2	5 sɪ	Kinumun Parenga Parja 5 sɪ	text-layer
15	palm	RON	Malenga Rona Desiya	22	17	2	6 ɐt̪	Malenga Rona Desiya 6 ɐt̪	text-layer
15	palm	ODI	Cuttack Oriya	22	17	2	3 toɭohɑto, 4 pɑpuli	Cuttack Oriya 3 toɭohɑto, /continued/ 4 pɑpuli	text-layer
16	finger	BIA	Biapada U. Didayi	23	18	1	1 vʌɾvati̪	Biapada U. Didayi 1 vʌɾvati̪	text-layer
16	finger	CHI	Chitrakonda L. Didayi	23	18	1	1 həɾvati̪	Chitrakonda L. Didayi 1 həɾvati̪	text-layer
16	finger	KAL	Kaluguda U. Didayi	23	18	1	1 ʌɾvati̪	Kaluguda U. Didayi 1 ʌɾvati̪	text-layer
16	finger	ORA	Orapadar U. Didayi	23	18	1	1 vʌɾvati̪	Orapadar U. Didayi 1 vʌɾvati̪	text-layer
16	finger	ORI	Oringi L. Didayi	23	18	1	1 ʌɾvaiti̪	Oringi L. Didayi 1 ʌɾvaiti̪	text-layer
16	finger	RAS	Rasabeda L. Bonda	23	18	1	3 ʌŋʈi	Rasabeda L. Bonda 3 ʌŋʈi	text-layer
16	finger	KEN	Kendhuguda L. Bonda	23	18	1	3 ʌŋʈi	Kendhuguda L. Bonda 3 ʌŋʈi	text-layer
16	finger	KAD	Kadamguda L. Bonda	23	18	1	3 ʌŋʈi	Kadamguda L. Bonda 3 ʌŋʈi	text-layer
16	finger	DUM	Dumripada U. Bonda	23	18	1	4 n̩ɖɾuati̪	Dumripada U. Bonda 4 n̩ɖɾuati̪	text-layer
16	finger	GUT	Tikrapada Gutob	23	18	1	3 əŋʈi	Tikrapada Gutob 3 əŋʈi	text-layer
16	finger	PAR	Kinumun Parenga Parja	23	18	1	3 ʌŋʈɪ	Kinumun Parenga Parja 3 ʌŋʈɪ	text-layer
16	finger	RON	Malenga Rona Desiya	23	18	1	3 ɐŋʈɪ	Malenga Rona Desiya 3 ɐŋʈɪ	text-layer
16	finger	ODI	Cuttack Oriya	23	18	1	2 ɑŋguɭi	Cuttack Oriya 2 ɑŋguɭi	text-layer
17	fingernail	BIA	Biapada U. Didayi	23	18	1	1 n̩tʃɔiti̪	Biapada U. Didayi 1 n̩tʃɔiti̪	text-layer
17	fingernail	CHI	Chitrakonda L. Didayi	23	18	1	1 n̩tʃɔiti̪	Chitrakonda L. Didayi 1 n̩tʃɔiti̪	text-layer
17	fingernail	KAL	Kaluguda U. Didayi	23	18	1	1 n̩tʃɔĩti̪	Kaluguda U. Didayi 1 n̩tʃɔĩti̪	text-layer
17	fingernail	ORA	Orapadar U. Didayi	23	18	1	1 n̩tʃɔiti̪	Orapadar U. Didayi 1 n̩tʃɔiti̪	text-layer
17	fingernail	ORI	Oringi L. Didayi	23	18	1	1 n̩tʃɔiti̪	Oringi L. Didayi 1 n̩tʃɔiti̪	text-layer
17	fingernail	RAS	Rasabeda L. Bonda	23	18	1	4 kɪɾime	Rasabeda L. Bonda 4 kɪɾime	text-layer
17	fingernail	KEN	Kendhuguda L. Bonda	23	18	1	4 kɪɾime	Kendhuguda L. Bonda 4 kɪɾime	text-layer
