Item	Gloss	Lect_Code	Language_Label	Site	Similarity_Group	Response_Index	Raw_Form	Form	PDF_Page	Printed_Page	Column	Source_Scope	Status	Review
2	head	Pa	Pattani	Udeypur	5	1	puɲdʒɐ	puɲdʒɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Pa	Pattani	Gushal	5	1	puɲdʒɐ	puɲdʒɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Pa	Pattani	Mooling	5	1	pũnzɐ	pũnzɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Pa	Pattani	Tholang	5	1	phunzɐ	phunzɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Pa	Pattani	Chimrat	5	1	pundʒ	pundʒ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Pa	Pattani	Salgram	5	1	pũndʒ	pũndʒ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Ti	Tinani	Sissu	1	1	bəlo	bəlo	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Ti	Tinani	Gondhla	1	1	bɐlog	bɐlog	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Ga	Gahri	Keylong	5	1	puʃɐ	puʃɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Ga	Gahri	Stingri	5	1	puʃɐ	puʃɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Ga	Gahri	Gawzang	5	1	puʃɐ	puʃɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Bh	Bhoti	Darcha	2	1	gho	gho	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Bh	Bhoti	Kolong	2	1	go	go	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Bh	Bhoti	Rarig	2	1	go	go	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Bh	Bhoti	Tingrat	2	1	gho	gho	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Bh	Bhoti	Khoksar	2	1	go	go	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Ld	Ladakhi	Leh	2	1	go	go	46	38	2	prior_list	response	Unicode Charis/Doulos SIL text layer
2	head	Bh	Bhoti	Spiti	2	1	gɔ	gɔ	46	38	2	prior_list	response	Unicode Charis/Doulos SIL text layer
2	head	Tb	Tibetan	Lhasa	2	1	go̥	go̥	46	38	2	comparison	response	Unicode Charis/Doulos SIL text layer
3	hair	Hi	Hindi	Standard	1	1	bɐl	bɐl	46	38	3	comparison	response	Unicode Charis/Doulos SIL text layer
3	hair	Pg	Pangi	Tindi	1	1	bɐl	bɐl	46	38	3	prior_list	response	Unicode Charis/Doulos SIL text layer
3	hair	Ch	Chinali	Gushal	5	1	ʃiɾɐ	ʃiɾɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Ch	Chinali	Nalda	5	1	ʃiɾɐ	ʃiɾɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Lo	Lohari	Gondhla	4	1	ʃik	ʃik	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Lo	Lohari	Gawzang	4	1	ʃik	ʃik	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Pa	Pattani	Jobrang	3	1	kɾɐh	kɾɐh	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Pa	Pattani	Thirot	3	1	kɾɐ	kɾɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Pa	Pattani	Udeypur	3	1	kɾɐh	kɾɐh	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Pa	Pattani	Gushal	3	1	kɾɐ	kɾɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Pa	Pattani	Mooling	3	1	kɾɐ	kɾɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Pa	Pattani	Tholang	3	1	kɾɐ	kɾɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Pa	Pattani	Chimrat	3	1	kɾɐ	kɾɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Pa	Pattani	Salgram	3	1	kɾɐ	kɾɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Ti	Tinani	Sissu	1	1	bʌl	bʌl	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Ti	Tinani	Gondhla	1	1	bɐl	bɐl	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Ga	Gahri	Keylong	3	1	kɾʌ	kɾʌ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Ga	Gahri	Stingri	3	1	kɾʌ	kɾʌ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Ga	Gahri	Gawzang	3	1	kɾʌ	kɾʌ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Bh	Bhoti	Darcha	2	1	ɕɐ	ɕɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Bh	Bhoti	Darcha	3	2	tɹɐ	tɹɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Bh	Bhoti	Darcha	6	3	tɹɐ	tɹɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Bh	Bhoti	Kolong	2	1	ɕɐ	ɕɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Bh	Bhoti	Rarig	2	1	ɕɐ	ɕɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Bh	Bhoti	Tingrat	2	1	ʂɐ	ʂɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Bh	Bhoti	Khoksar	2	1	ʃɐ	ʃɐ	46	38	3	target	response	Unicode Charis/Doulos SIL text layer
3	hair	Ld	Ladakhi	Leh	2	1	ʂɐ	ʂɐ	46	38	3	prior_list	response	Unicode Charis/Doulos SIL text layer
3	hair	Bh	Bhoti	Spiti	2	1	ʃɐ	ʃɐ	46	38	3	prior_list	response	Unicode Charis/Doulos SIL text layer
3	hair	Tb	Tibetan	Lhasa	6	1	ta	ta	46	38	3	comparison	response	Unicode Charis/Doulos SIL text layer
4	face	Hi	Hindi	Standard	3	1	mũh	mũh	46	38	4	comparison	response	Unicode Charis/Doulos SIL text layer
4	face	Hi	Hindi	Standard	4	2	tʃehəɾɐ	tʃehəɾɐ	46	38	4	comparison	response	Unicode Charis/Doulos SIL text layer
4	face	Pg	Pangi	Tindi	3	1	mũ	mũ	46	38	4	prior_list	response	Unicode Charis/Doulos SIL text layer
4	face	Ch	Chinali	Gushal	3	1	mũh	mũh	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Ch	Chinali	Nalda	3	1	mũh	mũh	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Lo	Lohari	Gondhla	3	1	mu	mu	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Lo	Lohari	Gawzang	3	1	mu	mu	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Pa	Pattani	Jobrang	2	1	moθ	moθ	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Pa	Pattani	Thirot	2	1	mot ̪	mot ̪	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Pa	Pattani	Udeypur	2	1	mot ̪	mot ̪	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Pa	Pattani	Gushal	2	1	mot̪̚	mot̪̚	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Pa	Pattani	Mooling	2	1	mɔt̃ ̪	mɔt̃ ̪	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Pa	Pattani	Tholang	2	1	mot̪̚	mot̪̚	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Pa	Pattani	Chimrat	2	1	mot ̪	mot ̪	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Pa	Pattani	Salgram	2	1	mod ̪	mod ̪	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Ti	Tinani	Sissu	2	1	mʌt ̪	mʌt ̪	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Ti	Tinani	Gondhla	2	1	mod ̪	mod ̪	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Ga	Gahri	Keylong	2	1	moð	moð	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Ga	Gahri	Stingri	2	1	mod ̪	mod ̪	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Ga	Gahri	Gawzang	2	1	mod	mod	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Bh	Bhoti	Darcha	1	1	toŋ	toŋ	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Bh	Bhoti	Kolong	1	1	d̪oŋ	d̪oŋ	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Bh	Bhoti	Rarig	1	1	d̪og	d̪og	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Bh	Bhoti	Tingrat	1	1	dõ.i	dõ.i	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Bh	Bhoti	Tingrat	1	2	d̪oŋ	d̪oŋ	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Bh	Bhoti	Khoksar	1	1	d̪oŋ	d̪oŋ	46	38	4	target	response	Unicode Charis/Doulos SIL text layer
4	face	Ld	Ladakhi	Leh	1	1	ld̩ oŋ	ld̩ oŋ	46	38	4	prior_list	response	Unicode Charis/Doulos SIL text layer
4	face	Bh	Bhoti	Spiti	1	1	doŋ	doŋ	46	38	4	prior_list	response	Unicode Charis/Doulos SIL text layer
4	face	Tb	Tibetan	Lhasa	1	1	doŋba	doŋba	46	38	4	comparison	response	Unicode Charis/Doulos SIL text layer
5	eye	Hi	Hindi	Standard	1	1	ɐŋ̃ kh	ɐŋ̃ kh	46	38	5	comparison	response	Unicode Charis/Doulos SIL text layer
5	eye	Pg	Pangi	Tindi	3	1	tir	tir	46	38	5	prior_list	response	Unicode Charis/Doulos SIL text layer
5	eye	Ch	Chinali	Gushal	3	1	ʈiɾ	ʈiɾ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Ch	Chinali	Nalda	3	1	tiɾe	tiɾe	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Lo	Lohari	Gondhla	3	1	tiɾɐ	tiɾɐ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Lo	Lohari	Gawzang	3	1	tiɾə	tiɾə	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Pa	Pattani	Jobrang	3	1	tiɾɐh	tiɾɐh	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Pa	Pattani	Thirot	3	1	tiɾe	tiɾe	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Pa	Pattani	Udeypur	3	1	tiɾɐ	tiɾɐ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Pa	Pattani	Gushal	3	1	ʈiɾɐ	ʈiɾɐ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Pa	Pattani	Mooling	3	1	tiːɾɐ	tiːɾɐ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Pa	Pattani	Tholang	3	1	ʈiɾɐ	ʈiɾɐ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Pa	Pattani	Chimrat	3	1	tiɾh	tiɾh	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Pa	Pattani	Salgram	3	1	tiɾ	tiɾ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Ti	Tinani	Sissu	2	1	mig̚	mig̚	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Ti	Tinani	Gondhla	2	1	mig	mig	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Ga	Gahri	Keylong	2	1	miʔ	miʔ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Ga	Gahri	Stingri	2	1	mi	mi	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Ga	Gahri	Gawzang	2	1	miʔ	miʔ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Bh	Bhoti	Darcha	2	1	mi	mi	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Bh	Bhoti	Kolong	2	1	miʔ	miʔ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Bh	Bhoti	Rarig	2	1	mɪk	mɪk	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Bh	Bhoti	Tingrat	2	1	miʔ	miʔ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Bh	Bhoti	Khoksar	2	1	mɪ	mɪ	46	38	5	target	response	Unicode Charis/Doulos SIL text layer
5	eye	Ld	Ladakhi	Leh	2	1	mik̚	mik̚	46	38	5	prior_list	response	Unicode Charis/Doulos SIL text layer
5	eye	Bh	Bhoti	Spiti	2	1	mĩk	mĩk	46	38	5	prior_list	response	Unicode Charis/Doulos SIL text layer
5	eye	Tb	Tibetan	Lhasa	2	1	mik	mik	46	38	5	comparison	response	Unicode Charis/Doulos SIL text layer
6	ear	Hi	Hindi	Standard	2	1	kɐn	kɐn	47	39	1	comparison	response	Unicode Charis/Doulos SIL text layer
6	ear	Pg	Pangi	Tindi	2	1	kɐn	kɐn	47	39	1	prior_list	response	Unicode Charis/Doulos SIL text layer
6	ear	Ch	Chinali	Gushal	2	1	kan	kan	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Ch	Chinali	Nalda	2	1	kɐn	kɐn	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Lo	Lohari	Gondhla	2	1	kʌn	kʌn	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Lo	Lohari	Gawzang	2	1	kʌn	kʌn	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Pa	Pattani	Jobrang	3	1	ɾetɐh	ɾetɐh	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Pa	Pattani	Thirot	3	1	ɾete	ɾete	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Pa	Pattani	Udeypur	4	1	ɾeʒɐ	ɾeʒɐ	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Pa	Pattani	Gushal	3	1	ɾeʈɐ	ɾeʈɐ	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Pa	Pattani	Mooling	3	1	ɾeʈɐ	ɾeʈɐ	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Pa	Pattani	Tholang	3	1	ɾeʈɐ	ɾeʈɐ	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Pa	Pattani	Chimrat	3	1	ɾeʈh	ɾeʈh	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Pa	Pattani	Salgram	3	1	ɾet	ɾet	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Ti	Tinani	Sissu	3	1	ɾet	ɾet	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Ti	Tinani	Gondhla	3	1	ɾet	ɾet	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Ga	Gahri	Keylong	3	1	ɾetsi	ɾetsi	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Ga	Gahri	Stingri	3	1	ɾetsi	ɾetsi	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Ga	Gahri	Gawzang	3	1	ɾetsi	ɾetsi	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Bh	Bhoti	Darcha	1	1	nʌmtʃo	nʌmtʃo	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Bh	Bhoti	Kolong	1	1	nəmtʃho	nəmtʃho	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Bh	Bhoti	Rarig	1	1	nʌmtʃhok	nʌmtʃhok	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Bh	Bhoti	Tingrat	1	1	ɲʌmdʒoʔ	ɲʌmdʒoʔ	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Bh	Bhoti	Khoksar	1	1	nʌmtʃho	nʌmtʃho	47	39	1	target	response	Unicode Charis/Doulos SIL text layer
6	ear	Ld	Ladakhi	Leh	1	1	nʌmtʃok̚	nʌmtʃok̚	47	39	1	prior_list	response	Unicode Charis/Doulos SIL text layer
6	ear	Bh	Bhoti	Spiti	1	1	ɐmtʃok	ɐmtʃok	47	39	1	prior_list	response	Unicode Charis/Doulos SIL text layer
6	ear	Tb	Tibetan	Lhasa	1	1	amtʃo	amtʃo	47	39	1	comparison	response	Unicode Charis/Doulos SIL text layer
7	nose	Hi	Hindi	Standard	4	1	nɐk	nɐk	47	39	2	comparison	response	Unicode Charis/Doulos SIL text layer
7	nose	Pg	Pangi	Tindi	4	1	nɐk	nɐk	47	39	2	prior_list	response	Unicode Charis/Doulos SIL text layer
7	nose	Ch	Chinali	Gushal	4	1	nɐk	nɐk	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ch	Chinali	Nalda	4	1	nɐk	nɐk	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Lo	Lohari	Gondhla	4	1	nʌk	nʌk	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Lo	Lohari	Gawzang	4	1	nʌk	nʌk	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Jobrang	2	1	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Jobrang	3	2	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Thirot	2	1	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Udeypur	3	1	jɐ	jɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Gushal	2	1	ɲjɐ	ɲjɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Mooling	2	1	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Tholang	2	1	ɲjɐ	ɲjɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Tholang	3	2	ɲjɐ	ɲjɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Chimrat	2	1	ɲɐh	ɲɐh	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Chimrat	3	2	ɲɐh	ɲɐh	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Salgram	2	1	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Pa	Pattani	Salgram	3	2	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ti	Tinani	Sissu	2	1	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ti	Tinani	Sissu	3	2	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ti	Tinani	Gondhla	2	1	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ti	Tinani	Gondhla	3	2	ɲɐ	ɲɐ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ga	Gahri	Keylong	1	1	giumpũ	giumpũ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ga	Gahri	Stingri	1	1	giumpũ	giumpũ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ga	Gahri	Gawzang	1	1	gjumpo	gjumpo	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Bh	Bhoti	Darcha	2	1	nʌ	nʌ	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Bh	Bhoti	Kolong	2	1	n̪ɐh	n̪ɐh	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Bh	Bhoti	Rarig	2	1	n̪ɐh	n̪ɐh	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Bh	Bhoti	Tingrat	2	1	nɐh	nɐh	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Bh	Bhoti	Khoksar	2	1	ɳɐ ̃	ɳɐ ̃	47	39	2	target	response	Unicode Charis/Doulos SIL text layer
7	nose	Ld	Ladakhi	Leh	4	1	nɐkun	nɐkun	47	39	2	prior_list	response	Unicode Charis/Doulos SIL text layer
7	nose	Bh	Bhoti	Spiti	2	1	nɐ	nɐ	47	39	2	prior_list	response	Unicode Charis/Doulos SIL text layer
7	nose	Tb	Tibetan	Lhasa	4	1	naku	naku	47	39	2	comparison	response	Unicode Charis/Doulos SIL text layer
8	mouth	Hi	Hindi	Standard	3	1	mũh	mũh	47	39	3	comparison	response	Unicode Charis/Doulos SIL text layer
8	mouth	Pg	Pangi	Tindi	3	1	mũ	mũ	47	39	3	prior_list	response	Unicode Charis/Doulos SIL text layer
8	mouth	Ch	Chinali	Gushal	4	1	ʂũnt	ʂũnt	47	39	3	target	response	Unicode Charis/Doulos SIL text layer
8	mouth	Ch	Chinali	Nalda	4	1	ʃunth	ʃunth	47	39	3	target	response	Unicode Charis/Doulos SIL text layer
8	mouth	Lo	Lohari	Gondhla	4	1	ʃunt	ʃunt	47	39	3	target	response	Unicode Charis/Doulos SIL text layer
8	mouth	Lo	Lohari	Gawzang	3	1	muh	muh	47	39	3	target	response	Unicode Charis/Doulos SIL text layer
8	mouth	Pa	Pattani	Jobrang	1	1	ɐh	ɐh	47	39	3	target	response	Unicode Charis/Doulos SIL text layer
8	mouth	Pa	Pattani	Thirot	1	1	ɐh	ɐh	47	39	3	target	response	Unicode Charis/Doulos SIL text layer
8	mouth	Pa	Pattani	Udeypur	1	1	ɐh	ɐh	47	39	3	target	response	Unicode Charis/Doulos SIL text layer
8	mouth	Pa	Pattani	Gushal	1	1	ɐh	ɐh	47	39	3	target	response	Unicode Charis/Doulos SIL text layer
