ID,Short,Source,Progress,Provenance,Editor,OCR,Etymology_Provenance
dbia,E1962,"M\. B\. Emeneau and T\. Burrow\.
*Dravidian Borrowings from Indo\-Aryan*\.
Volume 26 of University of California Publications in Linguistics\.
University of California Press, Berkeley and Los Angeles, 1962\.",Yes,cldf/forms.csv (upstream import path unavailable),Aryaman Arora,Yes,source-mapped
thari,B1979,"Murli D\. Bhawnani\.
*Descriptive analysis of Thari: A dialect of Sindhi language*\.
PhD thesis, Deccan College Post Graduate and Research Institute Pune, 1979\.",Yes,data/other/forms/20220913-thari.csv,Aryaman Arora,No,jambu
jouanne,J2014,"Thomas Jouanne\.
*A Preliminary Analysis of the Phonological System of the Western Pahāṛī Language of Kvār*\.
PhD thesis, University of Oslo, 2014\.
URL: [https://www\.duo\.uio\.no/bitstream/handle/10852/43094/Masteroppgave\-Sr\-Adia\-studier\.pdf?isAllowed=y\\&amp;sequence=1](https://www.duo.uio.no/bitstream/handle/10852/43094/Masteroppgave-Sr-Adia-studier.pdf?isAllowed=y\&sequence=1)\.",Yes,data/other/forms/20220913-kvari.csv,Aryaman Arora,No,
kholosi,A2021,"Aryaman Arora and Ahmed Etebari\.
*Kholosi Dictionary*\.
Zenodo, 2021\.
[doi:10\.5281/zenodo\.7901554](https://doi.org/10.5281/zenodo.7901554)\.",Yes,data/other/forms/20220913-kholosi.csv,Aryaman Arora,No,jambu
liljegren,L2019,"Henrik Liljegren\.
Palula dictionary\.
*Dictionaria*, pages 1&ndash;2700, 2019\.
URL: [https://dictionaria\.clld\.org/contributions/palula](https://dictionaria.clld.org/contributions/palula)\.",Yes,data/other/forms/20220913-kalkoti.csv; data/other/forms/20220913-palula.csv,Aryaman Arora,No,source
grierson-lsi1928,G2023,"George Abraham Grierson\.
Linguistic survey of india\. volume 1\. part 2\. comparative vocabulary: cldf dataset\.
2023\.
Digital edition of Grierson's 1928 comparative vocabulary; data curation by Patrick Lundberg and Christoph Rzymski\.
URL: [https://github\.com/lexibank/lsi/tree/v1\.0](https://github.com/lexibank/lsi/tree/v1.0), [doi:10\.5281/zenodo\.8361936](https://doi.org/10.5281/zenodo.8361936)\.",Full,data/other/forms/20260813-grierson-lsi.csv,OpenAI Codex,No,
liljegren-hindukush,L2026,"Henrik Liljegren, Robert Forkel, Nina Knobloch, and Noa Lange\.
Hindu kush areal typology\.
2026\.
URL: [https://github\.com/cldf\-datasets/liljegrenhindukush/tree/v1\.1\.0](https://github.com/cldf-datasets/liljegrenhindukush/tree/v1.1.0), [doi:10\.5281/zenodo\.21406260](https://doi.org/10.5281/zenodo.21406260)\.",Full,data/other/forms/20260810-liljegren-hindukush.csv,Aryaman Arora; OpenAI Codex,No,
patyal2,P1982,"Hukam Chand Patyal\.
Etymological notes on some maṇḍyāḷī words \(indo\-aryan studies ii\)\.
*Indo\-Iranian Journal*, 24\(4\):289–294, 1982\.
URL: [https://www\.jstor\.org/stable/24653654](https://www.jstor.org/stable/24653654)\.",Yes,data/other/forms/20220913-patyal.csv,Aryaman Arora,No,source
patyal3,P1991,"Hukam Chand Patyal\.
Etymological notes on some ḍogri words \(indo\-aryan studies iii\)\.
*Indo\-Iranian Journal*, 34\(2\):123–124, 1991\.
URL: [http://www\.jstor\.org/stable/24655313](http://www.jstor.org/stable/24655313)\.",Yes,data/other/forms/20220913-patyal.csv,Aryaman Arora,No,source
patyal4,P1983,"Hukam Chand Patyal\.
Etymological notes on some maṇḍyāḷī words \(indo\-aryan studies iv\)\.
*Indo\-Iranian Journal*, 25\(1\):41–49, 1983\.
URL: [https://www\.jstor\.org/stable/24654118](https://www.jstor.org/stable/24654118)\.",Yes,data/other/forms/20220913-patyal.csv,Aryaman Arora,No,source
patyal5,P1984,"Hukam Chand Patyal\.
Etymological notes on some maṇḍyāḷī words \(indo\-aryan studies v\)\.
*Indo\-Iranian Journal*, 27\(2\):121–132, 1984\.
URL: [https://www\.jstor\.org/stable/24653985](https://www.jstor.org/stable/24653985)\.",Yes,data/other/forms/20220913-patyal.csv,Aryaman Arora,No,source
toulmin,T2006,"Matthew William Stirling Toulmin\.
*Reconstructing linguistic history in a dialect continuum: The Kamta, Rajbanshi, and Northern Deshi Bangla subgroup of Indo\-Aryan*\.
PhD thesis, The Australian National University, 2006\.",Yes,data/other/forms/20230517-toulmin.csv,Aryaman Arora,No,source
karunatillake2,K1999,"Walimunidevage Sisil Karunatillake\.
*Sinhala Etymological Index*\.
Department of Linguistics, University of Kelaniya, 1999\.",No,Bibliography-only record; no installed Jambu form currently cites this source,Aryaman Arora,No,
paranavitana,P1956,"Senarat Paranavitana\.
*Sigiri graffiti, Sinhalese verses of the eighth, ninth and tenth centuries\.*
Oxford University Press, 1956\.",Yes,data/other/forms/20260726-paranavitana-sigiri.csv,Aryaman Arora; OpenAI Codex,Yes,source-mapped
karunatillake,K1969,"Walimunidevage Sisil Karunatillake\.
*Historical Phonology of Sinhalese from Old Indo\-Aryan to the 14th century A\.D\.*
PhD thesis, Cornell University, 1969\.",No,Bibliography-only record; no installed Jambu form currently cites this source,Aryaman Arora,No,
cain,C2000,"Bruce Dwayne Cain\.
*Dhivehi \(Maldivian\): A Synchronic and Diachronic Study*\.
PhD thesis, Faculty of the Graduate School\. Cornell University, 2000\.",No,Bibliography-only record; no installed Jambu form currently cites this source,Aryaman Arora,No,
fritz,F2002,"Sonja Fritz\.
*The Dhivehi language: a descriptive and historical grammar of Maldivian and its dialects*\.
Ergon\-Verlag, 2002\.",Yes,data/other/forms/20220913-dhivehi.csv,Adam Farris,No,
IndoLanguages,B2021,"Shashank Shenoy Basty\.
Personal communication, 2021\.",Yes,data/other/forms/20220913-konkani.csv,Aryaman Arora,No,
arora,A2021a,"Aryaman Arora\.
Personal communication, 2021\.",Yes,data/other/forms/20220913-thari.csv; data/other/forms/20230403-arora.csv,Aryaman Arora,No,
strand,S1997—2021,"Richard F\. Strand\.
Nuristân: hidden land of the hindu\-kush\.
1997–2021\.
URL: [http://nuristan\.info/](http://nuristan.info/)\.",Yes,data/other/forms/20220913-strand.csv; data/other/forms/20220913-strand2.csv; data/other/forms/20221003-strand3.csv,Aryaman Arora,No,mixed
zadjali,A2017,"Said Al Jahdhami\.
Zadjali: the dying language\.
*International Journal of Language and Linguistics*, 2017\.
URL: [https://ijllnet\.com/journals/Vol\\\_4\\\_No\\\_3\\\_September\\\_2017/6\.pdf](https://ijllnet.com/journals/Vol\_4\_No\_3\_September\_2017/6.pdf)\.",Yes,data/other/forms/20220913-zadjali.csv,Aryaman Arora,No,
elfenbein,E1994,"Josef Elfenbein\.
Notes on khetrāni phonology\.
*Studien zur Indologie und Iranistik*, 19:71–82, 1994\.",Yes,data/other/forms/20220913-khetrani.csv,Aryaman Arora,No,
srinivasa,S1970,"Govindaswamy Srinivasa Varma\.
*Vaagri boli, an Indo\-Aryan language*\.
PhD thesis, Annamalai University, Annamalai Nagar, 1970\.
URL: [https://www\.tamildigitallibrary\.in/book\-detail?id=jZY9lup2kZl6TuXGlZQdjZt2lJU1\\&amp;tag=Vaagri\\%20boli\\\#book1](https://www.tamildigitallibrary.in/book-detail?id=jZY9lup2kZl6TuXGlZQdjZt2lJU1\&tag=Vaagri\%20boli\#book1)\.",Yes,data/other/forms/20220913-vaagri.csv,Aryaman Arora,Yes,jambu
gawri,B1997,"Joan L\. G\. Baart\.
*The sounds and tones of Kalam Kohistani: with wordlist and texts*\.
National Institute of Pakistan Studies, Quaid\-i\-Azam University and Summer Institute of Linguistics, Islamabad, 1997\.",Yes,data/other/forms/20220913-gawri.csv,Aryaman Arora,No,
hultman2023kalkoti,H2023,"David Hultman\.
Topics in the grammar of Kalkoti\.
Independent thesis, Degree of Bachelor, 15 ECTS, Department of Linguistics, Stockholm University, Stockholm, 2023\.
Supervisor: Henrik Liljegren\. Reviewer: Ljuba Veselinova\.","Complete: every Kalkoti form the thesis prints, namely Tables 3--7, 9--17, 19--21, 23--26 and 28, all 129 numbered interlinear sub-examples, the phonological illustrations of examples (2)--(4), and the phonemic and phonetic citations in running prose. The Palula, Gawri, Pashto and Urdu comparanda are secondary citations of Liljegren (2016), Baart (1997, 1999) and Baart & Sagar (2004) and are recorded as prose rather than installed; Table 1 lists datasets rather than words; Tables 2 and 8 are phoneme inventories; Table 18 prints bare inflectional suffixes; and Tables 22 and 27 repeat sentences the numbered examples already carry","Open-access thesis PDF published in DiVA by Stockholm University; PDF SHA-256 fa2245e67a5e715312e698500df8cbd327b04ef1b4cdb4e9e03656ff30399810; not redistributed. Reproducible extraction and audit in data/other/forms/raw_data/hultman_kalkoti_2023.py and data/other/forms/raw_data/20260825-hultman-kalkoti-audit.csv; installed rows in data/other/forms/20260825-hultman-kalkoti.csv. The thesis draws on eleven datasets recorded from four Kalkoti speakers between 2006 and 2023, and each installed row cites the dataset item it comes from",Aryaman Arora and Claude,No,none
kalkoti,L2013,"Henrik Liljegren\.
Notes on Kalkoti: a Shina language with strong Kohistani influences\.
*Linguistic Discovery*, 11\(1\):129&ndash;160, 2013\.
URL: [https://journals\.dartmouth\.edu/cgi\-bin/WebObjects/Journals\.woa/1/xmlpage/1/article/423](https://journals.dartmouth.edu/cgi-bin/WebObjects/Journals.woa/1/xmlpage/1/article/423), [doi:10\.1349/PS1\.1537\-0852\.A\.423](https://doi.org/10.1349/PS1.1537-0852.A.423)\.","Complete: every Kalkoti form the article prints, namely the Kalkoti column of Tables 1--6, 8, 9, 13, 18 and 19, all of Tables 11, 12, 14, 16, 17 and 20, the phonetic citations on pp. 135--137 and p. 144 n. 15, the loanwords of p. 136 n. 5, and all seventeen Kalkoti interlinear examples. The Palula, Gawri, Sawi and Kohistani Shina comparanda are secondary citations of Baart (1997, 1999a), Buddruss (1967), Liljegren (2008) and Schmidt \& Kohistani (2008) and are excluded, as are the phoneme inventories of Tables 7 and 10, the comparative Tables 15 and 21--24, and Palula example (9)","Open-access article PDF from the Dartmouth College Library; PDF SHA-256 7eb1d21fb075e8c65b03924ba04b9bea90c2249b61aef56756f47e9f0c8f20c1; not redistributed. Reproducible extraction, audit and etymology crosswalk in data/other/forms/raw_data/liljegren_kalkoti_2013.py, data/other/forms/raw_data/20260825-liljegren-kalkoti-audit.csv and data/other/forms/raw_data/20260825-liljegren-kalkoti-etymology.csv; installed rows in data/other/forms/20220913-kalkoti.csv. Table 13 prints Turner (1966) numbers for eight words and those are linked directly; every other CDIAL link is an editorial assignment carried over from the 2022 hand-typed snapshot of this article",Aryaman Arora and Claude,No,mixed
kund,R2005,"Khawaja A\. Rehman and Joan L\. G\. Baart\.
A first look at the language of kundal shahi in azad kashmir\.
*SIL Electronic Working Papers*, 2005\.
URL: [http://www\.sil\.org/silewp/abstract\.asp?ref=2005\-008](http://www.sil.org/silewp/abstract.asp?ref=2005-008)\.",Yes,data/other/forms/20220913-kundalshahi.csv,Aryaman Arora,No,
rau,R2019,"Felix Rau\.
Munda cognate set with proto\-munda reconstructions\.
Aug 2019\.
URL: [https://zenodo\.org/records/3380874](https://zenodo.org/records/3380874), [doi:10\.5281/zenodo\.3380874](https://doi.org/10.5281/zenodo.3380874)\.","Complete: all 127 cognate sets and every cited reflex for Gorum, Sora, Remo, Gutob, Kharia, Juang, Gta', Santali, Mundari, Ho, Korwa, and Korku","Zenodo file pMunda_cognate_set_2019-08-29.csv, MD5 07e1d945a0fc6cafc4fc7afd3f1ff144; checked-in snapshot data/munda/rau_2019.csv; conversion in data/munda/convert.py; installed rows in data/munda/forms.csv. Source sigla are preserved exactly from the deposited dataset and resolved against the Munda Lexical Archive and its SEAlang source catalog where possible",Aryaman Arora and OpenAI Codex,No,source
FR,A2008,"Gregory DS Anderson and Felix Rau\.
Gorum\.
*The Munda languages*, pages 381–433, 2008\.",Partial,data/munda/forms.csv,Aryaman Arora,No,
berger,B1998,"Hermann Berger\.
*Die Burushaski\-Sprache von Hunza und Nager*\.
Harrassowitz, Wiesbaden, 1998\.",Partial: 39 hand-reviewed lexical and component rows retained as the authoritative gold tranche beside the complete OCR-assisted import,data/other/forms/20220930-berger.csv; aligned source evidence in data/other/forms/raw_data/20260828-berger-audit.csv.gz; English definitions in data/other/forms/raw_data/20260828-berger-editorial.csv,Aryaman Arora and OpenAI Codex,Yes,source
berger-auto,B1998a,"Hermann Berger\.
*Die Burushaski\-Sprache von Hunza und Nager\. Teil III: Wörterbuch Burushaski–Deutsch, Deutsch–Burushaski*\.
Harrassowitz, Wiesbaden, 1998\.
OCR\-assisted complete Burushaski–German dictionary, with German definitions translated into English in a checked editorial layer\.","Complete lexical dictionary on printed pp. 9--486. The preface on p. 8, the weaker duplicate scan of pp. 94--95, the proper-name appendix, the German--Burushaski index, and back matter are excluded","Pinned source scan SHA-256 864cd94f8c41237aae2408e154f7b8d9e21c911b90f7d3ff6dd261568f05c0dc; 300 dpi OCR in data/other/forms/raw_data/berger.py; line-and-column reconstruction, conservative Turner linking, and installation in data/other/forms/raw_data/berger_cleanup.py; English editorial layer data/other/forms/raw_data/20260828-berger-editorial.csv; identity crosswalk data/other/forms/raw_data/20260828-berger-entry-map.csv; audit, seeded review, and manifest data/other/forms/raw_data/20260828-berger-audit.csv.gz, data/other/forms/raw_data/20260828-berger-sample.csv, and data/other/forms/raw_data/20260828-berger-manifest.json; installed rows data/other/forms/20260726-berger-auto.csv",Aryaman Arora and OpenAI Codex,Yes,source
morgenstierne,M1929—1944,"Georg Morgenstierne\.
*Indo\-Iranian Frontier Languages*\.
Instituttet for Sammenlignende Kulturforskning, Oslo, 1929–1944\.",Partial,data/other/forms/20221003-strand3.csv,Aryaman Arora,No,
buddruss,B2015,"Georg Buddruss and Almuth Degener\.
*Materialien zur Prasun\-Sprache des afghanischen Hindukusch\. Teil 1: Texte und Glossar*\.
Harvard Oriental Series\.
Harvard University Press, Cambridge, Mass\., 2015\.",Partial,data/other/forms/20221003-strand3.csv,Aryaman Arora,No,
buddruss-grangali1979,B1979a,"Georg Buddruss\.
Gṛaṅgali\. ein nachtrag zum atlas der dardsprachen\.
*Münchener Studien zur Sprachwissenschaft*, 38:21–39, 1979\.","Complete: all Grangali answers to Atlas questionnaire items 1--167; items 47, 110, and 166 are explicitly unattested",Stanford Interlibrary Loan request 446721; scan SHA-256 175737c74b49630badf88d62f7dca3b199884365556f8345b7f9aebe56e0525a; all 173 records manually collated against 300 dpi renders on 2026-08-20; reproducible extraction and audit in data/other/forms/raw_data/buddruss_grangali_1979.py,Aryaman Arora and OpenAI,No,source
buddruss-waigali1992,B1992,"Georg Buddruss\.
Waigali\-sprichwörter\.
*Studien zur Indologie und Iranistik*, 16/17:65–80, 1992\.",Complete glossary on pp. 71--78: every printed Nisheigram Waigali headword and explicit headword alternate,"Stanford Interlibrary Loan request 446829, delivered by UC Berkeley; scan SHA-256 ca4a146d1b01e5f940e0b49f863fd1ac33ca873bdda1354b93c32bcd85701b8a; all records manually collated against 400 dpi renders on 2026-08-24; reproducible extraction and audit in data/other/forms/raw_data/buddruss_waigali_1992.py",Aryaman Arora and OpenAI,No,source
buddruss-wama2006,B2006,"Georg Buddruss\.
Drei texte in der wama\-sprache des afghanischen hindukusch\.
In M\. N\. Bogoljubov, editor, *Indoiranskoe jazykoznanie i tipologija jazykovyx situacij: Sbornik statej k 75\-letiju professora A\. L\. Grjunberga \(1930–1995\)*, pages 177–200\.
Nauka, St Petersburg, 2006\.",Complete glossary on pp. 184--191: every printed Wama headword and explicit headword alternate,Stanford Interlibrary Loan request 446830; scan SHA-256 1bd67f12c5e52463549eef0da440fca7aeade8fc7b0344d05e9c24c02f55343d; all records manually collated against 400 dpi renders on 2026-08-24; reproducible extraction and audit in data/other/forms/raw_data/buddruss_wama_2006.py,Aryaman Arora and OpenAI,No,source
buddruss-shina1996,B1996,"Georg Buddruss\.
Shina\-Rätsel\.
In Dieter B\. Kapp, editor, *Nānāvidhaikatā: Festschrift für Hermann Berger*, pages 29–54\.
Harrassowitz, Wiesbaden, 1996\.","Complete analytical glossary on pp. 40--50: every printed Shina headword and explicit headline alternate; the glossary preface on p. 39, 58 running riddles, inflected examples, comparison-only forms, bibliography, and summary are excluded from the form table","Stanford Interlibrary Loan request 446828, supplied by Cornell University Library (Olin); scan SHA-256 2247db7ef88ec280b1e91a0461001ca41b8399d153d2b4e93e2aee88859c9169; all records manually collated against 300 dpi renders on 2026-08-28; reproducible installation and audit in data/other/forms/raw_data/buddruss_shina_1996.py",Aryaman Arora and OpenAI,No,source
degener-shina2008,D2008,"Almuth Degener\.
*Shina\-Texte aus Gilgit \(Nord\-Pakistan\): Sprichwörter und Materialien zum Volksglauben, gesammelt von Mohammad Amin Zia*\.
Beiträge zur Indologie\.
Harrassowitz, Wiesbaden, 2008\.
ISBN 9783447056489\.","Complete glossary on pp. 243--315: all 1561 printed headword paragraphs, including light-verb constructions, proper names, headline alternates, and resolvable cross-reference headwords; attestation numbers and inflected sub-paragraph forms are preserved as audit prose; the proverb and folk-belief texts themselves are excluded","Stanford Interlibrary Loan scan requests 446831 (pp. 243--279, SHA-256 9589572ce61d21062454cfa54537c881080e9288bc55292f176fc12ca6264fd5) and 447377 (pp. 280--315, SHA-256 11bb98531bf601c59f5252d361774320bccd0043c627d8c96094df5320517ec4); complete paragraph-by-paragraph manual collation against 300 dpi renders with zoomed band verification on 2026-08-27; reproducible extraction, checked-in transcription layer, and audit in data/other/forms/raw_data/degener_shina_2008.py",Aryaman Arora and Anthropic,No,source
LSI,G1903—1928,"George A\. Grierson\.
*Linguistic Survey of India*\.
Office of the Superintendent of Government Printing, India, 1903–1928\.
URL: [https://dsal\.uchicago\.edu/books/lsi/](https://dsal.uchicago.edu/books/lsi/)\.",Yes,data/cdial/cdial.csv; data/other/forms/20221003-strand3.csv,Aryaman Arora,No,
lentz,L1937,"Wolfgang Lentz\.
Sprachwissenschaftliche und völkerkundliche studien in nuristan\.
*Deutsche im Hindukusch\. Bericht der deutschen Hindukusch\-Expedition 1935 der Deutschen Forschungsgemeinschaft*, pages 247–284, 1937\.",No,data/other/forms/20221003-strand3.csv,Aryaman Arora,No,
zubair,Z2016,"Saeed Zubair\.
A phonological description of wadiyari, a language spoken in pakistan\.
Master's thesis, Payap University, 2016\.
URL: [https://www\.ialtrust\.org/resources/A\-Phonological\-Description\-of\-Wadiyari\.pdf](https://www.ialtrust.org/resources/A-Phonological-Description-of-Wadiyari.pdf)\.",Partial,data/other/forms/20230306-wadiyara.csv,Aryaman Arora,No,jambu
rajapurohit2012,R2012,"B\. B\. Rajapurohit\.
*Grammar of Shina Language and Vocabulary: Based on the Dialect Spoken around Dras*\.
B\. B\. Rajapurohit, 2012\.
Self\-published electronic book\.
URL: [https://www\.aa\.tufs\.ac\.jp/~tjun/shina/Grammar\\\_of\\\_Shina\\\_Language\\\_And\\\_Vocabulary\.pdf](https://www.aa.tufs.ac.jp/~tjun/shina/Grammar\_of\_Shina\_Language\_And\_Vocabulary.pdf)\.",Yes,data/other/forms/20260725-drasi.csv,Aryaman Arora,No,
krishnamurti,K2003,"Bhadriraju Krishnamurti\.
*The Dravidian Languages*\.
Cambridge University Press, 2003\.
ISBN 978\-1\-139\-43533\-8\.
[arXiv:54fV7Lwu3fMC](https://arxiv.org/abs/54fV7Lwu3fMC)\.",Partial,data/dedr/pdr.csv; data/other/forms/20260718-merriam-dravidian-db.csv,Aryaman Arora,No,source
merriam2026dravidiandb,M2026,"Louis L\. Merriam and Andreas Fuls\.
The dravidian database: reconstructed lexicon of the dravidian subgroups linked to the dravidian etymological dictionary\.
2026\.
URL: [https://doi\.org/10\.5281/zenodo\.21433491](https://doi.org/10.5281/zenodo.21433491), [doi:10\.5281/zenodo\.21433491](https://doi.org/10.5281/zenodo.21433491)\.",Partial: reconstruction table pdr_03.csv; ambiguous collapsed lettered DEDR entries and invalid DEDR targets excluded,data/other/forms/20260718-merriam-dravidian-db.csv; data/other/forms/raw_data/20260718-merriam-dravidian-db-audit.csv.gz; data/other/forms/raw_data/20260718-merriam-dravidian-db-manifest.json; data/other/forms/raw_data/20260718-merriam-dravidian-db-sample.csv,Aryaman Arora,No,
starostin2006dravidian,S2006—2013,"George Starostin\.
Dravidian etymological database\.
2006–2013\.
URL: [https://starlingdb\.org/cgi\-bin/main\.cgi?flags=eygtnnl](https://starlingdb.org/cgi-bin/main.cgi?flags=eygtnnl)\.",Partial: reconstructions redistributed and keyed to DEDR by Merriam 2026,data/other/forms/20260718-merriam-dravidian-db.csv; data/other/forms/raw_data/20260718-merriam-dravidian-db-audit.csv.gz,Aryaman Arora,No,
