Parameter_ID,Headword,Strategy,Source_Form_ID,Source_Language_ID,Source,Tags,Note
d14,aviṛ̆,dedr-reflex,f_ankg4qhxp4riq,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d15,*ággai,merriam-pdr,f_cvfcg4gmynv62,PDr,"merriam2026dravidiandb[record 16, DEDR 15];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d16,*agái,merriam-pdr,f_ocbokhgtraaao,PDr,"merriam2026dravidiandb[record 17, DEDR 16];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d17,*ampu,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d18,axrnā,dedr-reflex,f_ec2ssbxgomrfw,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d19,akkakkāy,dedr-reflex,f_6kp7bv4pyth4w,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d20,akkaja,dedr-reflex,f_k6wqfjak4kl2m,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d21,akkaṟai,dedr-reflex,f_f4ico2sc64hhe,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d22,akkaḷe,dedr-reflex,f_5jfa3ll5aulye,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d23,*akka-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 5956, DEDR 23];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d24,*ak-,merriam-pdr,f_n52lfdiou7bi4,PDr,"merriam2026dravidiandb[record 25, DEDR 24]",,First source-ordered Merriam database reconstruction classified as PDr.
d25,akkili-pikkili,dedr-reflex,f_b7m3gzrjumdaa,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d26,akki,dedr-reflex,f_zrpnhhj25hzqm,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d27,aŋga,dedr-reflex,f_tvshjkudom3i2,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d28,aŋkaṇam,dedr-reflex,f_ckqhbhp3g64bo,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d29,aŋkam,dedr-reflex,f_u5mf2aie5upxy,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d30,aŋkam,dedr-reflex,f_xqmv45d72cphi,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d31,**ankVl-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d32,aŋkavaṭi,dedr-reflex,f_jpk2xkpcm2l5k,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d33,*ńjáŋaḷ,merriam-pdr,f_tjnzf5bzpkqnq,PDr,"merriam2026dravidiandb[record 34, DEDR 33];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d34,*áŋāl-,merriam-pdr,f_74a3hmpl5wxk2,PDr,"merriam2026dravidiandb[record 35, DEDR 34];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d35,*aŋā́ḍi,merriam-pdr,f_ujn3weufzxc4q,PDr,"merriam2026dravidiandb[record 36, DEDR 35];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d36,ayavu,dedr-reflex,f_dlaxvwcyljul2,Malayalam,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d37,**acVr-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d38,acaṭu,dedr-reflex,f_oojnksuadq76c,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d39,acar,dedr-reflex,f_kzt5pmgvlbm4k,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d40,acal,dedr-reflex,f_bqc6bwp3w7yfe,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d41,acaṟu,dedr-reflex,f_xstoayl33vfw2,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d42,acaṟu,dedr-reflex,f_l35xgn5bwmewo,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d43,**acVkV-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d44,ajara-nīli,dedr-reflex,f_ipgzscz2hqnmg,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d45,acc,dedr-reflex,f_tdqb4jfypsr7a,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d46,accānā,dedr-reflex,f_fwhlj44lipuyy,Gondi,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d47,accu,dedr-reflex,f_ylbcuts4udonu,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d48,accu,dedr-reflex,f_k4qy23p6liuda,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d49,accu,dedr-reflex,f_cjdjhd4uc5ak6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d50,*áǯǯ-,merriam-pdr,f_xp72nkiulyy7o,PDr,"merriam2026dravidiandb[record 52, DEDR 50];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d51,assīnā,dedr-reflex,f_d6slpxfd6wdum,Gondi,dedr;W-Gondi,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d52,assglāṛā,dedr-reflex,f_46i54lyhkyo7a,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d53,ajja,dedr-reflex,f_s44rpxmjkrjs2,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d54,añcal,dedr-reflex,f_fh46uuzlxntog,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d55,*añc-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 5957, DEDR 55];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d56,anj,dedr-reflex,f_ww2mn4b6rslgg,Gadaba,dedr;S-Gadaba,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d57,aṉsu,dedr-reflex,f_gynzzqtuwemle,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d58,*annai,merriam-pdr,f_kq2sdkpznev3y,PDr,"merriam2026dravidiandb[record 61, DEDR 58]",,First source-ordered Merriam database reconstruction classified as PDr.
d59,*aḍái,merriam-pdr,f_6x5ofnqto3464,PDr,"merriam2026dravidiandb[record 62, DEDR 59];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d60,*aḍV-,merriam-pdr,f_a3ugna6wa45ou,PDr,"merriam2026dravidiandb[record 63, DEDR 60]",,First source-ordered Merriam database reconstruction classified as PDr.
d61,aḍakuni,dedr-reflex,f_z5ch6u6ejg5ms,Tulu,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d62,aṭakkā-maṇiyan Spʰaerantʰus indicus (maṇiyan,dedr-reflex,f_o6qcu4tgmhwvc,Malayalam,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d63,*aṭ-a-nk-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 5959, DEDR 63];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d64,*aṭ-a-ppay,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d65,aṭampu,dedr-reflex,f_4zlokwdscp6ju,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d66,aṭaruka,dedr-reflex,f_6ar2yzfio5d7c,Malayalam,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d67,aḍaru,dedr-reflex,f_ua6gsbj4lhqo6,Kannada,dedr;Hav-Kannada,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d68,aṭal,dedr-reflex,f_xw6qvbojkex5i,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d69,aṭavari,dedr-reflex,f_bqj7g4anptzzu,Pengo,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d70,aṭā,dedr-reflex,f_y2bp3zdpjo6uy,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d71,aṭāpiṭi,dedr-reflex,f_4wuskk4g5rdha,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d72,*aṭ-V,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d73,*avv-a,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d74,*aḍí-,merriam-pdr,f_terzwkqgiqg44,PDr,"merriam2026dravidiandb[record 78, DEDR 74];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d75,**aṭV,krishnamurti-pfeiffer,,PDr,pfeiffer2018,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d76,*aṭṭu,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d77,*aḍV́-,merriam-pdr,f_4c4636wgc64ju,PDr,"merriam2026dravidiandb[record 82, DEDR 77];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d78,*aḍú-,merriam-pdr,f_mhvadqc6mboa2,PDr,"merriam2026dravidiandb[record 83, DEDR 78];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d79,*aḍV́-,merriam-pdr,f_tv5ubzmmyb4ly,PDr,"merriam2026dravidiandb[record 84, DEDR 79];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d80,aṭukku,dedr-reflex,f_55codsb7ffihi,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d81,*aḍ-[úg-],merriam-pdr,f_dz3mi43ebigdo,PDr,"merriam2026dravidiandb[record 86, DEDR 81];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d82,,unresolved,,,,,"No curated PDr head, Merriam PDr row, or surviving DEDR reflex exists."
d83,**aṭV-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d84,aṭai,dedr-reflex,f_cflexbwpfzqkq,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d85,aṭai,dedr-reflex,f_ueva2yepi3xx4,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d86,aṭai,dedr-reflex,f_3v2pp5qe3iz3y,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d87,aṭai,dedr-reflex,f_bxijyuer7wjmq,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d88,*aṭ-ay-kkāy,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d89,aṭaiyāḷam,dedr-reflex,f_ktzqzrkk7nw4u,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d90,aḍke-bīṛ̆ubaḷḷi,dedr-reflex,f_h7nufq5s7m6we,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d91,aṛxā,dedr-reflex,f_w3bipwqpfsom4,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d92,,unresolved,,,,,"No curated PDr head, Merriam PDr row, or surviving DEDR reflex exists."
d93,*áṭa-,merriam-pdr,f_t3ptvk63sspr6,PDr,"merriam2026dravidiandb[record 101, DEDR 93];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d94,aṭṭātuṭṭi,dedr-reflex,f_m7mtv36wv3lfi,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d95,aṭṭikai,dedr-reflex,f_aukv22l4wsjzs,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d96,*aṇ-ṭṭ-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 5966, DEDR 96];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d97,aṭṭu,dedr-reflex,f_xmqxzgrroeddk,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d98,aṭṭai,dedr-reflex,f_57ceo2k2ihbqi,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d99,aṭṭai,dedr-reflex,f_bnnfptc4wwraa,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d100,aṭṭaiy-āṭal,dedr-reflex,f_h7md6zeituwie,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d101,aṭ,dedr-reflex,f_p5fogpswzvw2m,Kota,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d102,aṭṭnā,dedr-reflex,f_zpclgjzqk5e7a,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d103,aḍeyḷm,dedr-reflex,f_tev4sxg6776k2,Kota,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d104,aḍm ( aḍt-),dedr-reflex,f_n4ka7rtjycswq,Kota,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d105,aḍḍa,dedr-reflex,f_lprpqyil7b3yy,Telugu,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d106,aḍḍa,dedr-reflex,f_k6wlq3vokfav4,Telugu,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d107,*aḍr- (*-rl-),merriam-pdr,f_aa5hpdjru6p4s,PDr,"merriam2026dravidiandb[record 115, DEDR 107]",,First source-ordered Merriam database reconstruction classified as PDr.
d108,aḍrnā,dedr-reflex,f_fmocwjqpvxlew,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d109,*aḌ[Ḍ]- (?),merriam-pdr,f_orlodfqeryeke,PDr,"merriam2026dravidiandb[record 117, DEDR 109];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d110,aṇ,dedr-reflex,f_pe5zepnxkylow,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d111,*aṇV́-,merriam-pdr,f_obndeeyh53qva,PDr,"merriam2026dravidiandb[record 119, DEDR 111];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d112,aṇaŋku,dedr-reflex,f_kddwerp63xh4o,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d113,aṇaŋku,dedr-reflex,f_lu4wacugzclus,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d114,aṇal,dedr-reflex,f_fw4b5xflkxrmc,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d115,aṇāppu,dedr-reflex,f_mkinehjdfq2a4,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d116,aṇi,dedr-reflex,f_7deb7bhsagnuo,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d117,aṇi,dedr-reflex,f_w3ooi3s263eh6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d118,aṇiyam,dedr-reflex,f_gdp3zw44s4xko,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d119,*kapp-al,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d120,**anṭVcV-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d121,aṇai,dedr-reflex,f_brs57cnqhdr7i,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d122,aṇai,dedr-reflex,f_lago77smic63s,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d123,aṇai,dedr-reflex,f_4vomdtoebpkd4,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d124,aṇe,dedr-reflex,f_phjlbkeei4c2o,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d125,aṇṭar,dedr-reflex,f_sluj4i2qetgls,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d126,aṇṭi-kkoṭṭai,dedr-reflex,f_4iiaor34wqe4s,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d127,aṇḍige,dedr-reflex,f_dopt43nfqi5sm,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d128,andipunāru-mara,dedr-reflex,f_7pzvwvjsrdios,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d129,aṇṭu-taḷḷukai,dedr-reflex,f_exifyrxhwozyg,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d130,aṇṭai,dedr-reflex,f_x6ta4iu5xdkdy,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d131,*aṇṇa-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 5967, DEDR 131];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d132,aṇṇu,dedr-reflex,f_2wy6zgum34be2,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d133,*adúm-,merriam-pdr,f_d7kqtk7vbt7oa,PDr,"merriam2026dravidiandb[record 143, DEDR 133];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d134,adar,dedr-reflex,f_k7o5eotf7unyi,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d135,ataḷi,dedr-reflex,f_tfvu2wetqqe4i,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d136,ataṉam,dedr-reflex,f_jeauf2osvoa62,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d137,*adír-,merriam-pdr,f_ls3iz5jxzioja,PDr,"merriam2026dravidiandb[record 147, DEDR 137];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d138,atiral,dedr-reflex,f_syk2u2plb2wdm,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d139,aduhu,dedr-reflex,f_64qrxcz2hwgac,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d140,atai,dedr-reflex,f_ci2yf4qqnvxjo,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d141,atxā,dedr-reflex,f_wab7m3tsqmvso,Kurux,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d142,*atta-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 5970, DEDR 142];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d143,attāḷam,dedr-reflex,f_zhwybowmwpsjc,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d144,atti,dedr-reflex,f_drwdl3xfzukku,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d145,*att-/ *att-i-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d146,attu,dedr-reflex,f_g7xckplmvm3qq,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d147,*ádda- [?],merriam-pdr,f_az43mlkpela6g,PDr,"merriam2026dravidiandb[record 157, DEDR 147];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d148,antaṇaṉ,dedr-reflex,f_h36aldzvod5ay,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d149,attu,dedr-reflex,f_3zameyqtxfvje,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d150,antu,dedr-reflex,f_o4e2om4rfebvm,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d151,*ándug-,merriam-pdr,f_ubdwvtd5xzhnk,PDr,"merriam2026dravidiandb[record 161, DEDR 151];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d152,aparañci,dedr-reflex,f_5pk2utrtdmjjk,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d153,apka,dedr-reflex,f_smrich2yxtabe,Pengo,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d154,appa-kkoṭi,dedr-reflex,f_onyynvkxbxrh6,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d155,*app-am,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d156,*appa-,krishnamurti-pfeiffer,,PDr,"merriam2026dravidiandb[record 5973, DEDR 156];krishnamurti",,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d157,appu,dedr-reflex,f_mkuesxhaqtnfw,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d158,appu,dedr-reflex,f_c3kpnryv4cg4s,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d159,amañci,dedr-reflex,f_jnbeug2j2fvsy,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d160,amaṭṭu,dedr-reflex,f_2dug7cu2e2x5c,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d161,amar,dedr-reflex,f_zhe6ps37tkucu,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d162,amar,dedr-reflex,f_nfwivirvgcmfc,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
