Cognateset_ID,Language_ID,Form,Description,Source
25,Indo-Aryan,*akṣakīla,"<html><body><number>25</number> <b>*akṣakīla</b> cf. <i>akṣāgrakīla</i>-, <i>°aka</i>- m. 'lynch-pin' lex. [<smallcaps>ákṣa-¹, kīla</smallcaps>-]",cdial
26,Indo-Aryan,akṣaṇa,<html><body><number>26</number> <b>akṣaṇa</b> 'inopportune' lex. [<smallcaps>kṣaṇa</smallcaps>-],cdial
27,Indo-Aryan,*akṣaṇā,<html><body><number>27</number> <b>*akṣaṇā</b> f. 'lightning'. [<smallcaps>akṣaṇa</smallcaps>- sc. <i>vidyút</i>- f.],cdial
28,Indo-Aryan,ákṣata,"<html><body><number>28</number> <b>ákṣata</b> 'unhurt' RV., 'not crushed' ĀśvGr̥., m. pl. 'uncrushed barley' Kālid. [<smallcaps>kṣatá</smallcaps>-¹]",cdial
29,Indo-Aryan,akṣatra,<html><body><number>29</number> <b>akṣatra</b> 'separated from the Kṣatriya caste' MBh. [<smallcaps>kṣatrá</smallcaps>-],cdial
30,Indo-Aryan,*akṣadāruka,"<html><body><number>30</number> <b>*akṣadāruka</b> 'a partic. tree'. [<smallcaps>akṣá-², dā́ru</smallcaps>-²]",cdial
31,Indo-Aryan,akṣadʰur,"<html><body><number>31</number> <b>akṣadhur</b> f. 'pin or pole of axle'. [<smallcaps>ákṣa-¹, dhúr</smallcaps>-]",cdial
32,Indo-Aryan,*akṣapaṭṭa,"<html><body><number>32</number> <b>*akṣapaṭṭa</b> 'notched board'. [<smallcaps>akṣa-³, paṭṭa</smallcaps>-¹]",cdial
33,Indo-Aryan,*akṣapuṭa,"<html><body><number>33</number> <b>*akṣapuṭa</b> 'collar-bone'. [<smallcaps>ákṣa-¹, puṭa</smallcaps>-]",cdial
34,Indo-Aryan,akṣama,<html><body><number>34</number> <b>akṣama</b> 'unable to bear' Hit. [<smallcaps>kṣamá</smallcaps>-],cdial
35,Indo-Aryan,akṣamālā,"<html><body><number>35</number> <b>akṣamālā</b> f. 'string of rosary beads' lex., cf. <i>akṣamālin</i>- m. 'name of Śiva' MBh. [<smallcaps>akṣá-², mālā</smallcaps>-]",cdial
36,Indo-Aryan,akṣaya,<html><body><number>36</number> <b>akṣaya</b> 'undecaying'. [<smallcaps>kṣayá</smallcaps>-],cdial
37,Indo-Aryan,akṣayatr̩tīyā,"<html><body><number>37</number> <b>akṣayatr̥tīyā</b> f. 'festival on third day of bright half of Vaiśākha (which secured permanence for actions theninitiated)'. [<smallcaps>akṣaya-, tr̥tīˊya</smallcaps>-¹]",cdial
38,Indo-Aryan,akṣára,"<html><body><number>38</number> <b>akṣára</b> 'indestructible', n. 'word, syllable' RV., 'letter of the devanāgarī syllabary'; — cf. <i>ákṣarā</i>- f. 'word, speech'RV. [<smallcaps>kṣará</smallcaps>-]",cdial
38a,Indo-Aryan,*akṣalita,<html><body><number>38a</number> <b>*akṣalita-</b> Add. 14192.<div><p><hw></hw></p></div></body></html>,cdial
39,Indo-Aryan,akṣavāṭa,"<html><body><number>39</number> <b>akṣavāṭa-,</b> -<i>pāṭa</i>- m. 'wrestling ground' lex. [lit. 'fence of poles' or 'dicing ground' ? — <smallcaps>akṣa-<superscript>1 or 2</superscript>, vāṭa</smallcaps>-¹]",cdial
40,Indo-Aryan,*akṣākāra,"<html><body><number>40</number> <b>*akṣākāra</b> 'shaped like a die'. [<smallcaps>akṣá-², ākāra</smallcaps>-]",cdial
41,Indo-Aryan,*akṣānta,"<html><body><number>41</number> <b>*akṣānta</b> 'unbearable'. [Cf. <i>kṣānta</i>- 'patient' Mn., 'pardoned' MBh.: √<smallcaps>kṣam</smallcaps>]",cdial
41a,Indo-Aryan,*akṣāpita,<html><body><number>41a</number> <b>*akṣāpita-</b> Add. 14194.<div><p><hw></hw></p></div></body></html>,cdial
42,Indo-Aryan,*akṣāmita,<html><body><number>42</number> <b>*akṣāmita</b> 'unbearable'. [Cf. <smallcaps>kṣāmayatē: √kṣam</smallcaps>],cdial
43,Indo-Aryan,ákṣi,<html><body><number>43</number> <b>ákṣi</b> n. 'eye' RV.,cdial
43a,Indo-Aryan,akṣība,<html><body><number>43a</number> <b>akṣība-</b> Add. 14196.<div><p><hw></hw></p></div></body></html>,cdial
44,Indo-Aryan,akṣibʰruva,"<html><body><number>44</number> <b>akṣibhruva</b> n. 'the eyes and the brows' Pāṇ. [<smallcaps>ákṣi-, bhrūˊ</smallcaps>-]",cdial
45,Indo-Aryan,*akṣirujā,"<html><body><number>45</number> <b>*akṣirujā</b> f. 'eye-disease'. [Cf. <i>akṣiruj</i>- f. VarBr̥S., Pa. <i>akkhirōga</i>- m.: <smallcaps>ákṣi-, rujā</smallcaps>-]",cdial
46,Indo-Aryan,ákṣu,"<html><body><number>46</number> <b>ákṣu</b> m. perh. 'bamboo-pole' AV. (T. Chowdhury JBORS xvii 26.) [Cf. <smallcaps>ákṣa-¹, ikṣú</smallcaps>-]",cdial
47,Indo-Aryan,*akṣēma,<html><body><number>47</number> <b>*akṣēma</b> 'unpeaceful'. [<smallcaps>kṣḗma</smallcaps>-],cdial
48,Indo-Aryan,akṣōṭa,"<html><body><number>48</number> <b>akṣōṭa</b> m. 'walnut (or pistacio nut ?)' Kālid., 'Aleurites triloba, Croton moluccanum' Suśr., 'a mountain-tree<smallcaps>pīlú</smallcaps>-¹', lex.; <i>akṣōḍa</i>-, <i>°aka</i>-, <i>ākṣōḍa</i>-, <i>ākhōṭa</i>- lex. — lw. inIr. Ormuri <i>waṭk</i> &lt; <i>*akhōṭa</i>- Morgenstierne IIFL i 412.",cdial
48a,Indo-Aryan,akʰādya,<html><body><number>48a</number> †<b>akhādya-</b> 'not to be eaten' MW. [<smallcaps>khādya-: √khād</smallcaps>],cdial
48b,Indo-Aryan,akʰila,"<html><body><number>48b</number> †<b>akhila-</b> 'complete, whole' Kāv. [Closer to <smallcaps>khila-², *khilla</smallcaps>- in the (generalized?) sense 'defect' than to<smallcaps>khilá-¹, khilyá</smallcaps>- in the special sense 'uncultivated,fallow land'. — Alleged senses 'gap, supplement' (soEWA iii 691) are hypothetical]",cdial
49,Indo-Aryan,agaru,"<html><body><number>49</number> <b>agaru</b> m.n. 'fragrant Aloe-tree and wood, Aquilaria agallocha' lex., <i>aguru</i>- R. [← Drav. Mayrhofer EWA i 17with lit.]",cdial
50,Indo-Aryan,agásti,"<html><body><number>50</number> <b>agásti</b> m. 'the tree Agasti grandiflorum' Suśr. [← Drav. Burrow BSOAS 12, 365; <i>Agásti</i>- m. 'nom. prop.' perh.from this, Mayrhofer EWA I 17]",cdial
51,Indo-Aryan,ágāt,<html><body><number>51</number> <b>ágāt</b> 'has come' RV. [√<smallcaps>gā</smallcaps>],cdial
52,Indo-Aryan,agāra,"<html><body><number>52</number> <b>agāra</b> n. 'house' ĀśvGr̥., <i>āgāra</i>- Mn. [Prob. ← Drav., Mayrhofer EWA i 17 with lit.]",cdial
53,Indo-Aryan,*agāhya,<html><body><number>53</number> <b>*agāhya</b> 'unfathomable'. [Cf. <i>durgāhya</i>- Suśr. (to be separated fr. <i>agādha</i>- 'deep' R. &lt; '*having no ford'):√<smallcaps>gāh</smallcaps>],cdial
54,Indo-Aryan,aguṇa,<html><body><number>54</number> <b>aguṇa</b> m. 'wickedness' MBh. [<smallcaps>guṇá</smallcaps>-],cdial
55,Indo-Aryan,agní,<html><body><number>55</number> <b>agní</b>¹ m. 'fire'. RV.,cdial
56,Indo-Aryan,agni,"<html><body><number>56</number> <b>agni</b>² m. 'name of various plants, Plumbago zeylanica (Suśr.), Semecarpus anacardium, Citrus acida (lex.)'.[Same as <smallcaps>agní</smallcaps>-¹ ?]",cdial
57,Indo-Aryan,agnika,"<html><body><number>57</number> <b>agnika</b> '*fiery', m. 'the plant Semecarpus anacardium; a partic. scarlet insect' lex., cf. <i>āgnika</i>- 'belonging tothe preparation of the sacred fire' KātyŚr. [<smallcaps>agní</smallcaps>-¹]",cdial
58,Indo-Aryan,agnikārya,"<html><body><number>58</number> <b>agnikārya</b> m. 'kindling the sacred fire with butter' Mn., <i>°rikā</i>- f. lex. [<smallcaps>agní-¹, kāryà</smallcaps>-]",cdial
59,Indo-Aryan,agnidāha,"<html><body><number>59</number> <b>agnidāha</b> m. 'a fiery glow (in the sky)' Hariv. [Cf. <i>agnídagdha</i>- 'burnt with fire' RV.: <smallcaps>agní-¹, dāha</smallcaps>-]",cdial
60,Indo-Aryan,agnidʰā́na,"<html><body><number>60</number> <b>agnidhā́na</b> n. 'receptacle for the sacred fire' RV. [<smallcaps>agní-¹, dhā́na</smallcaps>-]",cdial
60a,Indo-Aryan,*agnidʰānya,<html><body><number>60a</number> †<b>*agnidhānya-</b> 'fit for fire-receptacle'. [<smallcaps>agnidhā́na</smallcaps>-],cdial
61,Indo-Aryan,agnimantʰa,"<html><body><number>61</number> <b>agnimantha</b> 'producing fire by friction', m. 'the tree Premna spinosa' Suśr. [<smallcaps>agní-¹, mantha</smallcaps>-]",cdial
62,Indo-Aryan,*agnirujā,"<html><body><number>62</number> <b>*agnirujā</b> 'a disease with burning sensation'. [<smallcaps>agní-¹, rujā</smallcaps>-]",cdial
63,Indo-Aryan,agnírūpa,"<html><body><number>63</number> <b>agnírūpa</b> 'like fire' RV. [<smallcaps>agní-¹, rūpá</smallcaps>-]. See *<smallcaps>agnirujā</smallcaps>-.<div><p><hw></hw></p></div></body></html>",cdial
64,Indo-Aryan,agniśikʰā́,"<html><body><number>64</number> <b>agniśikhā́</b> f. 'flame' ŚBr. [<smallcaps>agní-¹, śíkhā</smallcaps>-]",cdial
65,Indo-Aryan,agniṣṭʰá,"<html><body><number>65</number> <b>agniṣṭhá</b> m. 'fire-pan' ĀpŚr., <i>°ṭhā́</i>- f. 'that corner of the Yūpa towards the fire' ŚBr., <i>°ṭhikā</i>- f. 'fire-pan'. [<smallcaps>agní-¹,stha</smallcaps>-]",cdial
66,Indo-Aryan,*agnistʰāna,"<html><body><number>66</number> <b>*agnisthāna</b> n. 'fireplace'. [Cf. Pa. <i>aggiṭṭhāna</i> n. - <smallcaps>agní-¹, sthā́na</smallcaps>-]",cdial
67,Indo-Aryan,agnyagārá,"<html><body><number>67</number> <b>agnyagārá</b> m. 'a house for keeping the sacred fire' ŚBr., <i>agnyā°</i> KātyŚr., <i>*agniyā̆°</i>. [<smallcaps>agní-¹, agāra</smallcaps>-]",cdial
68,Indo-Aryan,ágra,"<html><body><number>68</number> <b>ágra</b> n. 'top, summit' RV., 'front' Mn.",cdial
69,Indo-Aryan,*agragaṇḍa,"<html><body><number>69</number> <b>*agragaṇḍa</b> 'top of sugar-cane'. [<smallcaps>ágra-, gaṇḍa</smallcaps>-²]",cdial
70,Indo-Aryan,*agragamaṇa,"<html><body><number>70</number> <b>*agragamaṇa</b> 'going in front'. [<smallcaps>ágra-, gamana</smallcaps>-]",cdial
71,Indo-Aryan,agragāmin,"<html><body><number>71</number> <b>agragāmin</b> m. 'guide' Pāṇ. [<smallcaps>ágra-, gāmin</smallcaps>-]",cdial
71a,Indo-Aryan,*agrajanī,"<html><body><number>71a</number> †<b>*agrajanī-</b> 'first pregnancy' (?). [<smallcaps>ágra-, jáni</smallcaps>-]",cdial
72,Indo-Aryan,agrataḣsara,"<html><body><number>72</number> <b>agrataḥsara</b> 'going in front' Pāṇ. [<smallcaps>agratás, sara</smallcaps>-]",cdial
73,Indo-Aryan,agratás,<html><body><number>73</number> <b>agratás</b> 'in front' RV. [<smallcaps>ágra</smallcaps>-],cdial
74,Indo-Aryan,*agratōjāta,"<html><body><number>74</number> <b>*agratōjāta</b> 'born earlier'. [Cf. <i>agrajā́</i>- 'first-born' RV., Pk. <i>aggajāya</i>-: <smallcaps>agratás, jātá</smallcaps>-]",cdial
75,Indo-Aryan,*agrapāli,"<html><body><number>75</number> <b>*agrapāli</b> 'front, point'. [<smallcaps>ágra-, *pāḍi</smallcaps>-]",cdial
76,Indo-Aryan,agrapūjā,"<html><body><number>76</number> <b>agrapūjā</b> f. 'highest act of reverence' R. [<smallcaps>ágra-, pūjā</smallcaps>-]",cdial
77,Indo-Aryan,agramāṁsa,"<html><body><number>77</number> <b>agramāṁsa</b> n. 'heart' lex. [<smallcaps>ágra-, māṁsá</smallcaps>-]",cdial
77a,Indo-Aryan,*agramukʰa,"<html><body><number>77a</number> †<b>*agramukha-</b> 'facing forward'. 2. †<b>*agrāmukha-</b>. [Cf. *<smallcaps>paścamukha</smallcaps>-. With <i>agrā</i>- cf. <smallcaps>paścā́, uttarāpatha-. — ágra-, múkha</smallcaps>-]",cdial
78,Indo-Aryan,agrayā́van,"<html><body><number>78</number> <b>agrayā́van</b> 'going before' RV. [Cf. <smallcaps>agragāmin-, *agragamaṇa-: ágra-, yā́van</smallcaps>-]",cdial
79,Indo-Aryan,*agravarṣā,"<html><body><number>79</number> <b>*agravarṣā</b> f. 'the end rain'. [<smallcaps>ágra-, varṣā́</smallcaps>-]",cdial
80,Indo-Aryan,*agravāṭa,"<html><body><number>80</number> <b>*agravāṭa</b> m. 'enclosed space in front'. [<smallcaps>ágra-, vāṭa</smallcaps>-¹]",cdial
81,Indo-Aryan,*agravāsa,"<html><body><number>81</number> <b>*agravāsa</b> m. 'front of a house'. [<smallcaps>ágra-, vāsá</smallcaps>-²]",cdial
82,Indo-Aryan,*agravāha,"<html><body><number>82</number> <b>*agravāha</b> 'leading in front'. [<smallcaps>ágra-, vāhá</smallcaps>-]",cdial
83,Indo-Aryan,*agravr̩ddʰi,"<html><body><number>83</number> <b>*agravr̥ddhi</b> f. [<smallcaps>ágra-, vŕ̥ddhi</smallcaps>-²]",cdial
84,Indo-Aryan,*agravr̩ṣṭi,"<html><body><number>84</number> <b>*agravr̥ṣṭi</b> f. 'initial rain'. [<smallcaps>ágra-, vr̥ṣṭí</smallcaps>-]",cdial
85,Indo-Aryan,agraśás,<html><body><number>85</number> <b>agraśás</b> 'from the beginning' AV. [<smallcaps>ágra</smallcaps>-],cdial
86,Indo-Aryan,agrasara,"<html><body><number>86</number> <b>agrasara</b> 'going in front' Kālid. [<smallcaps>ágra-, sara</smallcaps>-; — cf. Pk. <i>aggēsara</i>- m. 'leader']",cdial
87,Indo-Aryan,*agrasasya,"<html><body><number>87</number> <b>*agrasasya</b> n. 'first-fruits'. [<smallcaps>ágra-, sasyá</smallcaps>-]",cdial
88,Indo-Aryan,agrahāyaṇa,"<html><body><number>88</number> <b>agrahāyaṇa</b> m. 'the month November-December (= <i>mārgaśīrṣa</i>-)' lex. [Cf. <i>āgrahāyaṇī</i>- f. 'the full moondayin that month' Pāṇ.: <smallcaps>ágra-, hāyaná</smallcaps>-]",cdial
89,Indo-Aryan,*agrānta,"<html><body><number>89</number> <b>*agrānta</b> 'front or near end'. [<smallcaps>ágra-, ánta</smallcaps>-]",cdial
90,Indo-Aryan,*agrāmin,<html><body><number>90</number> <b>*agrāmin</b> 'not rustic'. [<smallcaps>grāmín</smallcaps>-],cdial
91,Indo-Aryan,agrāmya,<html><body><number>91</number> <b>agrāmya</b> 'not rustic' MW. [<smallcaps>grāmyá</smallcaps>-],cdial
92,Indo-Aryan,agrimá,<html><body><number>92</number> <b>agrimá</b> 'being in front' RV. [<smallcaps>ágra</smallcaps>-],cdial
93,Indo-Aryan,*agriyapāṭa,"<html><body><number>93</number> <b>*agriyapāṭa</b> 'front expanse'. [<smallcaps>agriyá-, pāṭa</smallcaps>-]",cdial
94,Indo-Aryan,agrēgū́,"<html><body><number>94</number> <b>agrēgūˊ</b> 'going in front' VS. [Cf. <i>agrēgā́</i>- TBr., <i>°gá</i>- RV.; — perh. replaced by <i>*agragū</i>, cf. <i>agraga</i>- 'leading' R.— <smallcaps>ágra-, √gā</smallcaps>]",cdial
95,Indo-Aryan,agrḗtvan,"<html><body><number>95</number> <b>agrḗtvan-,</b> f. <i>°tvarī</i>-, 'going in front' AV. [<smallcaps>ágra-, -itvan</smallcaps>- and <smallcaps>itvará</smallcaps>-]",cdial
96,Indo-Aryan,*agrōpastʰāka,"<html><body><number>96</number> <b>*agrōpasthāka</b> 'chief servitor'. [<smallcaps>ágra-, upasthāka</smallcaps>-]",cdial
97,Indo-Aryan,agryá,"<html><body><number>97</number> <b>agryá</b> 'foremost, topmost' ŚBr. 2. <b>agriyá-</b> RV. 3. n. 'first-fruits' RV. [<smallcaps>ágra</smallcaps>-]",cdial
98,Indo-Aryan,*agryapaṇa,"<html><body><number>98</number> <b>*agryapaṇa</b> 'chief price or payment in first-fruits.' [<smallcaps>agryá-, paṇa</smallcaps>-]",cdial
98a,Indo-Aryan,agʰá,"<html><body><number>98a</number> <b>aghá-</b> 'bad', n. 'mishap' RV.",cdial
99,Indo-Aryan,*agʰr̩ṣṭa,<html><body><number>99</number> <b>*aghr̥ṣṭa</b> 'not rubbed out'. [√<smallcaps>ghr̥ṣ</smallcaps>],cdial
100,Indo-Aryan,aŋká,"<html><body><number>100</number> <b>aṅká</b> m. 'hook' RV., 'hip where children are carried' Br̥ĀrUp., 'curved line, mark, sign' R. [√<smallcaps>añc</smallcaps>]",cdial
101,Indo-Aryan,*aŋkakāra,"<html><body><number>101</number> <b>*aṅkakāra</b> m. 'act of marking' [<smallcaps>aṅká-, kāra</smallcaps>-¹]",cdial
102,Indo-Aryan,aŋkana,"<html><body><number>102</number> <b>aṅkana</b> adj. 'marking' Nir., n. 'branding' Mit. com. [<smallcaps>aṅkáyati, aṅká-: √añc</smallcaps>]",cdial
103,Indo-Aryan,aŋkapāli,"<html><body><number>103</number> <b>aṅkapāli-, -ikā</b> f. 'embrace' lex., <i>aṅkōlikā</i>- f. lex. [<smallcaps>aṅká-, *pāḍi</smallcaps>-]",cdial
104,Indo-Aryan,aŋkáyati,"<html><body><number>104</number> <b>aṅkáyati</b> 'marks, brands' MBh. [<smallcaps>aṅká-: √añc</smallcaps>]",cdial
105,Indo-Aryan,*aŋkāśrita,"<html><body><number>105</number> <b>*aṅkāśrita</b> 'attached to a hook'. [<smallcaps>aṅká-, āśrita</smallcaps>-]",cdial
106,Indo-Aryan,aŋkita,"<html><body><number>106</number> <b>aṅkita</b> 'marked, branded'. [<smallcaps>aṅkáyati: √añc</smallcaps>]",cdial
107,Indo-Aryan,*aŋku,"<html><body><number>107</number> <b>*aṅku</b> 'hook' in <smallcaps>ankuṭa-, aṅkurá-, aṅkuśá</smallcaps>-. [Cf. Av. <i>anku</i>- in cmpd. 'hook': √<smallcaps>añc</smallcaps>]<div id=""display_toggle""></div><div id=""page_turner""><table align=""center"" bgcolor=""#FFFFFF"" border=""0"" cellpadding=""2"" cellspacing=""2"" width=""99%""><tr><td align=""left"" class=""turner"" width=""33%""><a href=""/cgi-bin/app/soas_query.py?page=4"">Previous Page</a></td><td align=""center"" class=""turner"" width=""33%""><a href=""/dictionaries/soas/jpg/005.jpg"">Page 5 (click for page image)</a></td><td align=""right"" class=""turner"" width=""33%""><a href=""/cgi-bin/app/soas_query.py?page=6"">Next Page</a></td></tr></table></div><hr/><div id=""responsive_footer_table""><div id=""responsive_footer_tr""><div id=""responsive_footer_td""><a href=""/dictionaries/soas/"">Back to the Search Page </a>  |          <a href=""/dictionaries/"">Back to the DDSA Page</a>",cdial
108,Indo-Aryan,aŋkuṭa,<html><body><number>108</number> <b>aṅkuṭa</b> m. 'instrument for moving the bolt or bar of a door' lex. [*<smallcaps>aṅku-: √añc</smallcaps>],cdial
109,Indo-Aryan,aŋkurá,"<html><body><number>109</number> <b>aṅkurá</b> 1. '*hooked'. 2. m. 'sprout' Uṇ., 'tumour' Suśr. [*<smallcaps>aṅku-: √añc</smallcaps>]",cdial
110,Indo-Aryan,*aŋkurayati,"<html><body><number>110</number> <b>*aṅkurayati</b> 'sprouts', <i>aṅkurita</i>- Kālid. [<smallcaps>aṅkurá</smallcaps>-]",cdial
111,Indo-Aryan,aŋkuśá,"<html><body><number>111</number> <b>aṅkuśá</b> m.n. 'hook, driver's hook' RV. [*<smallcaps>aṅku-: √añc</smallcaps>]",cdial
112,Indo-Aryan,aŋkūrá,<html><body><number>112</number> <b>aṅkūrá</b> m. 'sprout' Uṇ. [Cf. <smallcaps>aṅkurá- ; — *aṅku-: √añc</smallcaps>],cdial
113,Indo-Aryan,aŋkōṭa,"<html><body><number>113</number> <b>aṅkōṭa-, aṅkōṭha</b> m. 'the small tree Alangium hexapetalum' lex. 2. <b>aṅkōla-,</b> <i>°aka</i>-. 3. <b>aṅkōlla-.</b> [EWA i20 with lit.]",cdial
114,Indo-Aryan,áŋga,"<html><body><number>114</number> <b>áṅga</b>¹ n. 'limb' RV., 'body' Mn.",cdial
115,Indo-Aryan,*aŋgakr̩ṣṭi,"<html><body><number>115</number> <b>*aṅgakr̥ṣṭi</b> f. 'stretching the body'. [<smallcaps>áṅga-¹, kr̥ṣṭí</smallcaps>- or poss. *<smallcaps>vikr̥ṣṭi</smallcaps>-]",cdial
116,Indo-Aryan,aŋgajāta,"<html><body><number>116</number> <b>aṅgajāta</b> 'produced from the body' MW without ref. [<smallcaps>áṅga-¹, jātá</smallcaps>-]",cdial
117,Indo-Aryan,aŋgada,<html><body><number>117</number> <b>aṅgada</b> n. 'bracelet on upper arm' R. [← Muṇḍa Kuiper PMWS 124],cdial
118,Indo-Aryan,aŋgana,"<html><body><number>118</number> <b>aṅgana</b> n. 'act of walking' lex., 'courtyard' R., <i>°aṇa</i>- n. Kālid. [√<smallcaps>aṅg</smallcaps>]",cdial
119,Indo-Aryan,aŋganā́,"<html><body><number>119</number> <b>aṅganā́</b> f. 'woman' R., 'beautiful woman' lex. [← Austro-as. Mayrhofer EWA i 20 with lit.]",cdial
120,Indo-Aryan,*aŋgarakṣa,"<html><body><number>120</number> <b>*aṅgarakṣa</b> 'garment'. [Cf. <i>aṅgarakṣaṇī</i>- f. 'coat of mail': <smallcaps>áṅga-¹, rakṣá</smallcaps>-]",cdial
121,Indo-Aryan,aŋgarāga,"<html><body><number>121</number> <b>aṅgarāga</b> m. 'application of ointment, cosmetic' R. [<smallcaps>áṅga-¹, rā́ga</smallcaps>-¹]",cdial
122,Indo-Aryan,*aŋgavikala,"<html><body><number>122</number> <b>*aṅgavikala</b> 'deformed in limbs'. [<smallcaps>áṅga-¹, vikala</smallcaps>-]",cdial
123,Indo-Aryan,aŋgahāra,"<html><body><number>123</number> <b>aṅgahāra</b> m. 'gesture' Kathās. [<smallcaps>áṅga-¹, hāra</smallcaps>-¹]",cdial
124,Indo-Aryan,*aŋgahōla,"<html><body><number>124</number> <b>*aṅgahōla</b> 'washing the body'. [<smallcaps>áṅga-¹, *hōl</smallcaps>-]",cdial
125,Indo-Aryan,áŋgāra,"<html><body><number>125</number> <b>áṅgāra</b> m. n. 'glowing charcoal' RV., <i>°aka</i>- lex. 2. <b>*iṅgāra-,</b> <i>iṅgāla</i>- m. Vāsav. com.",cdial
