Legacy_ID,Source_Key
40-65,bashir:donor:Eng:2640aebb34
40-66,bashir:donor:Eng:2d9bf5f9bc
40-67,bashir:donor:Eng:6941be109a
40-68,bashir:donor:Eng:4d98ed1b62
40-69,bashir:donor:Eng:339bfbf609
40-70,bashir:donor:Eng:41841a7f8b
40-71,bashir:donor:Eng:0ccab69654
40-72,bashir:donor:Eng:7b2f35cccf
40-73,bashir:donor:Eng:91214572b0
40-74,bashir:donor:Eng:2e478d3471
40-75,bashir:donor:Eng:5da9166140
40-76,bashir:donor:Eng:6dd4ccf752
40-77,bashir:donor:Eng:95664277eb
40-78,bashir:donor:Eng:c1d4eef85c
40-79,bashir:donor:Eng:bc7f99a0cd
40-80,bashir:donor:Eng:b0ec333cff
40-81,bashir:donor:Eng:90b0355f3a
40-82,bashir:donor:H:1e83a1e9ea
40-83,bashir:donor:H:b92f95b495
40-84,bashir:donor:H:9dd80a35e3
40-85,bashir:donor:H:be55db3ccf
40-86,bashir:donor:H:0d09c9206a
40-87,bashir:donor:H:73d9dd2516
40-88,bashir:donor:H:a75fceb65c
40-89,bashir:donor:H:b0f24f19ad
40-90,bashir:donor:H:00a213ca55
40-91,bashir:donor:H:944db7e116
40-92,bashir:donor:H:bb475984e2
40-93,bashir:donor:H:5c02cdb9c4
40-96,bashir:donor:H:3cbd02f154
40-97,bashir:donor:H:8cc474e0c0
40-98,bashir:donor:H:2e3589dbc1
40-99,bashir:donor:H:0ecbb838a7
40-100,bashir:donor:H:8c4b7f9352
40-101,bashir:donor:H:339f567827
40-102,bashir:donor:H:bbeb47c351
40-103,bashir:donor:H:5d23df34a3
40-104,bashir:donor:H:b1d95a3718
40-105,bashir:donor:H:b5123c21bc
40-106,bashir:donor:H:2e70a31baa
40-107,bashir:donor:Pers:cae80218cd
40-108,bashir:donor:Pers:8044e5f2f5
40-109,bashir:donor:Pers:87ad1fbb3c
40-110,bashir:donor:Pers:2b781d90ac
40-111,bashir:donor:Pers:e7184a2a9f
40-112,bashir:donor:Pers:0e56ee5b10
40-113,bashir:donor:Pers:5855ae0413
40-114,bashir:donor:Pers:bcf76c7eaa
40-115,bashir:donor:Pers:dde9294314
40-116,bashir:donor:Pers:fd0e13a5a1
40-117,bashir:donor:Pers:7110541d90
40-118,bashir:donor:Pers:e9d82e6bb7
40-119,bashir:donor:Pers:3533ab4719
40-120,bashir:donor:Pers:53722a822e
40-121,bashir:donor:Pers:f5c01b98a6
40-122,bashir:donor:Pers:c3e4643090
40-123,bashir:donor:Pers:99b6f09e0a
40-124,bashir:donor:TurkicUnspec:57163b1117
40-125,bashir:donor:TurkicUnspec:ca906f2ef9
40-126,bashir:donor:Wkh:a0da128421
40-127,bashir:donor:Wkh:3e8d2d42bf
40-128,bashir:khowar:86db329a23
40-139,bashir:khowar:f82e1b463d
40-140,bashir:khowar:f82e1b463d:subentry:1
40-141,bashir:khowar:f82e1b463d:subentry:2
40-174,bashir:khowar:2f259f693a
40-175,bashir:khowar:2f259f693a:subentry:1
40-189,bashir:khowar:35c7c172e0
40-194,bashir:khowar:f04d758053
40-195,bashir:khowar:8a9ac043f8
40-196,bashir:khowar:d9937f6374
40-228,bashir:khowar:392dcc9246
40-229,bashir:khowar:e581529d95
40-234,bashir:khowar:2c5f68bc6f
40-240,bashir:khowar:3c3c267df4
40-241,bashir:khowar:f3e5cdb2d0
40-253,bashir:khowar:26e8c50784
40-254,bashir:khowar:7473fbe3eb
40-259,bashir:khowar:eb3ae3d2b4
40-260,bashir:khowar:83e01932ce
40-261,bashir:khowar:83e01932ce:subentry:1
40-273,bashir:khowar:f3fe2edb62
40-274,bashir:khowar:996cd92df9
40-291,bashir:khowar:385c6617b4
40-292,bashir:khowar:385c6617b4:subentry:1
40-293,bashir:khowar:fa033ab2f0
40-300,bashir:khowar:18d230118e
40-301,bashir:khowar:a325c862ac
40-306,bashir:khowar:38787c3d99
40-307,bashir:khowar:8588930afa
40-308,bashir:khowar:8588930afa:subentry:1
40-309,bashir:khowar:07913298fb
40-327,bashir:khowar:f88ed26d1c
40-332,bashir:khowar:4adc972549
40-342,bashir:khowar:e7fe57d05a
40-343,bashir:khowar:d030ead224
40-353,bashir:khowar:e5272ac1b1
40-354,bashir:khowar:9a8b6377b8
40-355,bashir:khowar:9a8b6377b8:variant:1
40-356,bashir:khowar:9a8b6377b8:subentry:1
40-357,bashir:khowar:43119ce272
40-366,bashir:khowar:fa65fe6ba9
40-367,bashir:khowar:10d63aa6ac
40-368,bashir:khowar:268bbda83c
40-369,bashir:khowar:1c328c5d8b
40-372,bashir:khowar:c84c061912
40-373,bashir:khowar:b1a7cce901
40-374,bashir:khowar:b1a7cce901:subentry:1
40-375,bashir:khowar:b1a7cce901:subentry:2
40-420,bashir:khowar:990d417c3a
40-421,bashir:khowar:74512d3662
40-425,bashir:khowar:f22e343c32
40-426,bashir:khowar:f22e343c32:subentry:1
40-435,bashir:khowar:94fd746cdf
40-436,bashir:khowar:ef2c33b1a7
40-437,bashir:khowar:5f62f979af
40-446,bashir:khowar:fa629c7051
40-453,bashir:khowar:0025d965ca
40-458,bashir:khowar:68c73931e7
40-463,bashir:khowar:4f6e0a81b6
40-464,bashir:khowar:764e90880a
40-465,bashir:khowar:4ede5a4050
40-466,bashir:khowar:b5708d7e86
40-467,bashir:khowar:b912455c29
40-468,bashir:khowar:e31412bc09
40-475,bashir:khowar:fb10652cec
40-476,bashir:khowar:681ee7f544
40-502,bashir:khowar:2a7bb7675d
40-507,bashir:khowar:fe7fe74ab8
40-508,bashir:khowar:853144294d
40-509,bashir:khowar:f7c982c2b0
40-510,bashir:khowar:044bfa5139
40-511,bashir:khowar:1f456a5146
40-512,bashir:khowar:1f456a5146:variant:1
40-513,bashir:khowar:2ce08fa436
40-522,bashir:khowar:3a903c9ebb
40-523,bashir:khowar:3a903c9ebb:subentry:1
40-524,bashir:khowar:6aa18ba3f9
40-529,bashir:khowar:d3b3255a52
40-532,bashir:khowar:c35c8b70bd
40-533,bashir:khowar:61a9bba48e
40-534,bashir:khowar:96873cbb92
40-535,bashir:khowar:b867ecffe9
40-536,bashir:khowar:c374abc4ee
40-537,bashir:khowar:54d2f6b807
40-538,bashir:khowar:54d2f6b807:subentry:1
40-552,bashir:khowar:57ada3aa64
40-559,bashir:khowar:ff24bb4e3a
40-560,bashir:khowar:995e87d610
40-561,bashir:khowar:606c2e8355
40-564,bashir:khowar:d683a1a84e
40-573,bashir:khowar:0bba48ed27
40-574,bashir:khowar:89f1ef287b
40-579,bashir:khowar:5f432b82d7
40-594,bashir:khowar:f0dd25f3b6
40-595,bashir:khowar:fe0580580b
40-596,bashir:khowar:fe0580580b:variant:1
40-599,bashir:khowar:20b4ad0086
40-600,bashir:khowar:f4df15d3b6
40-601,bashir:khowar:f4df15d3b6:variant:1
40-622,bashir:khowar:4abe1739a9
40-635,bashir:khowar:c2de8cb4c5
40-640,bashir:khowar:ac6547c69a
40-643,bashir:khowar:d0840c87d9
40-644,bashir:khowar:d0840c87d9:subentry:1
40-655,bashir:khowar:e0f02c5bd6
40-658,bashir:khowar:828b6eaab0
40-659,bashir:khowar:828b6eaab0:variant:1
40-660,bashir:khowar:dae5fb99db
40-661,bashir:khowar:dae5fb99db:subentry:1
40-665,bashir:khowar:a9397616f9
40-666,bashir:khowar:a9397616f9:variant:1
40-667,bashir:khowar:5c2aad5724
40-668,bashir:khowar:af27a9f9d3
40-669,bashir:khowar:ef5075bc91
40-675,bashir:khowar:4be28751f1
40-692,bashir:khowar:92179fe10f
40-693,bashir:khowar:94a4a31908
40-706,bashir:khowar:d5811e7b53
40-728,bashir:khowar:ebee1a7594
40-739,bashir:khowar:486f4133f7
40-744,bashir:khowar:0ffacdd475
40-745,bashir:khowar:04b9ac488c
40-779,bashir:khowar:fab86941c7
40-780,bashir:khowar:9a0495f5fa
40-781,bashir:khowar:d72b3bbfe6
40-782,bashir:khowar:11a42270ff
40-783,bashir:khowar:a2c071a6cb
40-784,bashir:khowar:a2c071a6cb:subentry:1
40-804,bashir:khowar:3eeace9aee
40-805,bashir:khowar:1cadd975b7
40-806,bashir:khowar:1cadd975b7:variant:1
40-807,bashir:khowar:aa16a2410c
40-813,bashir:khowar:439324f71b
40-816,bashir:khowar:6bdb4d0b80
40-817,bashir:khowar:f188f9d0b9
40-820,bashir:khowar:8d2037d05b
40-821,bashir:khowar:8d2037d05b:variant:1
40-822,bashir:khowar:56d1f189e2
40-823,bashir:khowar:7819288390
40-832,bashir:khowar:7a14b30b8e
40-837,bashir:khowar:f4f4cd0cf5
40-849,bashir:khowar:f2cc275c0b
40-850,bashir:khowar:c0397e1b52
40-851,bashir:khowar:26bce7c72a
40-852,bashir:khowar:26bce7c72a:subentry:1
40-853,bashir:khowar:27b3ef51ba
40-854,bashir:khowar:bc629f86e8
40-876,bashir:khowar:f60af417c1
40-877,bashir:khowar:540e21456c
40-878,bashir:khowar:d3a1ec0457
40-879,bashir:khowar:4ea967bd76
40-880,bashir:khowar:7b016a18e3
40-881,bashir:khowar:3a47c6b3d8
40-882,bashir:khowar:ef22e57e17
40-895,bashir:khowar:ee61894fb8
40-900,bashir:khowar:be01792a45
40-903,bashir:khowar:e35c8effa1
40-921,bashir:khowar:e1b238a533
40-924,bashir:khowar:78aa4e26b0
40-930,bashir:khowar:6577da8ebd
40-931,bashir:khowar:48be8e257b
40-932,bashir:khowar:dafeaa92ab
40-933,bashir:khowar:53bd06c44e
40-969,bashir:khowar:d402bd3c45
40-970,bashir:khowar:67b50c98c2
40-1009,bashir:khowar:d512e4df2f
40-1010,bashir:khowar:8dce2737ed
40-1011,bashir:khowar:e240af9436
40-1014,bashir:khowar:d3911046c2
40-1015,bashir:khowar:6a7e7d7d8b
40-1027,bashir:khowar:842cd8e18a
40-1030,bashir:khowar:1cf266cd51
40-1054,bashir:khowar:e079180dee
40-1059,bashir:khowar:b6a7b24703
40-1060,bashir:khowar:fa37a3b438
40-1061,bashir:khowar:fa37a3b438:variant:1
40-1062,bashir:khowar:f3ca05eee1
40-1065,bashir:khowar:84fabb2b14
40-1066,bashir:khowar:45c4755d07
40-1084,bashir:khowar:1b46a46a3a
40-1085,bashir:khowar:1b46a46a3a:subentry:1
40-1086,bashir:khowar:1b46a46a3a:subentry:2
40-1091,bashir:khowar:5181b38e95
40-1092,bashir:khowar:d14633b2fb
40-1093,bashir:khowar:20b958b53e
40-1096,bashir:khowar:cd3fa71e54
40-1102,bashir:khowar:255fd58b5c
40-1103,bashir:khowar:42a12ed136
40-1104,bashir:khowar:42a12ed136:variant:1
40-1105,bashir:khowar:94cf9ad7d1
40-1106,bashir:khowar:bbed30399c
40-1127,bashir:khowar:e1aece77ab
40-1128,bashir:khowar:e1aece77ab:subentry:1
40-1129,bashir:khowar:88849dc238
40-1130,bashir:khowar:6883caa986
40-1131,bashir:khowar:1e43117202
40-1132,bashir:khowar:1e43117202:subentry:1
40-1133,bashir:khowar:1e43117202:subentry:2
40-1143,bashir:khowar:071573468b
40-1144,bashir:khowar:071573468b:subentry:1
40-1145,bashir:khowar:2710537828
40-1146,bashir:khowar:f606b48cdf
40-1157,bashir:khowar:4e743124fa
40-1158,bashir:khowar:67d43e6e1a
40-1159,bashir:khowar:67d43e6e1a:subentry:1
40-1160,bashir:khowar:803ebc6f8e
40-1164,bashir:khowar:fb87b06ef6
40-1176,bashir:khowar:3a48852419
40-1183,bashir:khowar:e60a8b3e05
40-1184,bashir:khowar:ccaa71e39a
40-1185,bashir:khowar:2e833f8ff6
40-1186,bashir:khowar:d7813df3c8
40-1187,bashir:khowar:d7813df3c8:subentry:1
40-1188,bashir:khowar:187077df0c
40-1189,bashir:khowar:17fff631c9
40-1192,bashir:khowar:9e0806c886
40-1193,bashir:khowar:e6500352fc
40-1222,bashir:khowar:d50a25a0b0
40-1223,bashir:khowar:f2c186c779
40-1226,bashir:khowar:1d68443132
40-1229,bashir:khowar:c796fe01a2
40-1230,bashir:khowar:0e170ae225
40-1231,bashir:khowar:d2119643cd
40-1257,bashir:khowar:467b82a7f3
40-1267,bashir:khowar:972dec1f7c
40-1268,bashir:khowar:14b29ade65
40-1269,bashir:khowar:e9bb6370b8
40-1270,bashir:khowar:435938a684
40-1271,bashir:khowar:b7fa1b2a70
40-1272,bashir:khowar:ef3665e198
40-1273,bashir:khowar:ed45e9ab4e
40-1274,bashir:khowar:1c0a1403e1
40-1275,bashir:khowar:1c0a1403e1:subentry:1
40-1276,bashir:khowar:42371f237e
40-1277,bashir:khowar:2f469a5bd7
40-1278,bashir:khowar:f2270bf635
40-1279,bashir:khowar:f2270bf635:variant:1
40-1304,bashir:khowar:4270f9e161
40-1305,bashir:khowar:d6f09e2362
40-1315,bashir:khowar:7de82e4555
40-1316,bashir:khowar:7de82e4555:subentry:1
40-1317,bashir:khowar:e6e7276266
40-1318,bashir:khowar:d1f9c713d8
40-1319,bashir:khowar:c4f22c071d
40-1320,bashir:khowar:c551471567
40-1325,bashir:khowar:e152d6a727
40-1326,bashir:khowar:a8dd97fb40
40-1332,bashir:khowar:7e9dd8395a
40-1333,bashir:khowar:20b46781c7
40-1340,bashir:khowar:1603687d74
40-1341,bashir:khowar:1603687d74:subentry:1
40-1348,bashir:khowar:877e985699
40-1349,bashir:khowar:80a7c6ac4a
40-1423,bashir:khowar:6c68c97509
40-1424,bashir:khowar:be43257730
40-1438,bashir:khowar:f1ea3304a4
40-1439,bashir:khowar:f1ea3304a4:subentry:1
40-1440,bashir:khowar:ec009d51ac
40-1441,bashir:khowar:cebd4f5b96
40-1442,bashir:khowar:775becd268
40-1443,bashir:khowar:91c5f48fea
40-1444,bashir:khowar:e507aecd79
40-1447,bashir:khowar:cc39556fe6
40-1448,bashir:khowar:cc39556fe6:subentry:1
40-1449,bashir:khowar:400ee14b55
40-1462,bashir:khowar:96195309f5
40-1463,bashir:khowar:96195309f5:subentry:1
40-1468,bashir:khowar:751087f806
40-1473,bashir:khowar:9f3b4baf85
40-1474,bashir:khowar:e4bb4865b7
40-1475,bashir:khowar:0c5becc433
40-1476,bashir:khowar:bb324462ac
40-1479,bashir:khowar:5c9e95bff5
40-1480,bashir:khowar:dec7330b86
40-1485,bashir:khowar:a38743988d
40-1505,bashir:khowar:95b67a4a4d
40-1521,bashir:khowar:ceba9ead05
40-1522,bashir:khowar:ceba9ead05:variant:1
40-1533,bashir:khowar:e11e29b096
40-1534,bashir:khowar:c351be1c1b
40-1535,bashir:khowar:c2109d6823
40-1536,bashir:khowar:3a04e1dc20
40-1537,bashir:khowar:3a04e1dc20:subentry:1
40-1538,bashir:khowar:5de667188c
40-1539,bashir:khowar:5de667188c:variant:1
40-1540,bashir:khowar:cbc2a960fb
40-1548,bashir:khowar:7c17ca8ee2
40-1553,bashir:khowar:9ebbeef099
40-1554,bashir:khowar:9ebbeef099:variant:1
40-1555,bashir:khowar:270767be53
40-1677,bashir:khowar:4594771ddc
40-1686,bashir:khowar:fc258f7e21
40-1687,bashir:khowar:b0a6653223
40-1688,bashir:khowar:b0a6653223:subentry:1
40-1699,bashir:khowar:4aafd2ccd1
40-1700,bashir:khowar:a5c33bbb60
40-1714,bashir:khowar:ba1d15acd2
40-1730,bashir:khowar:4721273091
40-1740,bashir:khowar:877814b27c
40-1743,bashir:khowar:3757dfcae0
40-1788,bashir:khowar:93ba3d9853
40-1798,bashir:khowar:8ded44e463
40-1834,bashir:khowar:4bca2dd3ae
40-1887,bashir:khowar:053463fcc7
40-1888,bashir:khowar:6501fdae6e
40-1889,bashir:khowar:10e55c86ac
40-1890,bashir:khowar:d805dfe2fb
40-1891,bashir:khowar:2c8b64e7d9
40-1892,bashir:khowar:fd4d206b53
40-1893,bashir:khowar:8abfe87346
40-1894,bashir:khowar:8abfe87346:subentry:1
40-1992,bashir:khowar:a9a9eb38cb:subentry:1
40-1993,bashir:khowar:3e8c564c77
40-2003,bashir:khowar:b0bf579ae0
40-2004,bashir:khowar:b0bf579ae0:subentry:1
40-2045,bashir:khowar:e3733a5334
40-2046,bashir:khowar:e3733a5334:subentry:1
40-2047,bashir:khowar:529e46bb58
40-2050,bashir:khowar:bd96a0b65f
40-2071,bashir:khowar:7eb3cdd155
40-2103,bashir:khowar:45cc827c3a
40-2108,bashir:khowar:cef6a32228
40-2109,bashir:khowar:cd01f9c3d8
40-2162,bashir:khowar:975de5d69d
40-2163,bashir:khowar:d935c76a6b
40-2164,bashir:khowar:016bfcf570
40-2165,bashir:khowar:6189aa624c
40-2170,bashir:khowar:2b3a5eace3
40-2185,bashir:khowar:7a2454beec
40-2186,bashir:khowar:7a2454beec:variant:1
40-2187,bashir:khowar:7a2454beec:subentry:1
40-2208,bashir:khowar:2460aa5b23
40-2209,bashir:khowar:170610e87e
40-2210,bashir:khowar:1c0e281459
40-2211,bashir:khowar:0c0233e530
40-2212,bashir:khowar:59950aa19a
40-2213,bashir:khowar:35acd8cf51
40-2214,bashir:khowar:c9a0d1a7ce
40-2217,bashir:khowar:3aa764260a
40-2226,bashir:khowar:510c9a0e47
40-2246,bashir:khowar:617e07c12f
40-2268,bashir:khowar:3a0caf13ea
40-2290,bashir:khowar:5555203a9b
40-2299,bashir:khowar:57b049e79c
40-2302,bashir:khowar:676037661d
40-2303,bashir:khowar:676037661d:variant:1
40-2308,bashir:khowar:5f61cd162b
40-2309,bashir:khowar:433fce1736
40-2310,bashir:khowar:f584332b26
40-2320,bashir:khowar:1fbbeea8ff
40-2321,bashir:khowar:1fbbeea8ff:subentry:1
40-2322,bashir:khowar:25cbad7bc3
40-2335,bashir:khowar:cd017f408f
40-2336,bashir:khowar:dfe226979f
40-2337,bashir:khowar:40a0cfea4b
40-2340,bashir:khowar:304e07c5ad
40-2341,bashir:khowar:2f9fc03905
40-2342,bashir:khowar:9fb8f6e597
40-2358,bashir:khowar:0756ec790c
40-2367,bashir:khowar:570494ec12
40-2368,bashir:khowar:b562b9aa80
40-2385,bashir:khowar:ba78122f26
40-2386,bashir:khowar:ba78122f26:subentry:1
40-2401,bashir:khowar:d1b857c420
40-2410,bashir:khowar:c1695b410b
40-2413,bashir:khowar:022b3d8e6a
40-2433,bashir:khowar:d21b3bb821:subentry:1
40-2445,bashir:khowar:65e73d03ec
40-2446,bashir:khowar:65e73d03ec:subentry:1
40-2447,bashir:khowar:8331723c8e
40-2451,bashir:khowar:0ca8d0f2a9
40-2452,bashir:khowar:7cc864caeb
40-2455,bashir:khowar:ad6c9a9c27
40-2467,bashir:khowar:fa57f6b8b2
40-2468,bashir:khowar:d129622de9
40-2469,bashir:khowar:7969527216
40-2476,bashir:khowar:f97d1e3605
40-2479,bashir:khowar:890787096f
40-2482,bashir:khowar:34fca72f50
40-2487,bashir:khowar:0ee2f47ec2
40-2493,bashir:khowar:8260d45089
40-2494,bashir:khowar:37d50630ea
40-2497,bashir:khowar:f4c73bd4fe
40-2498,bashir:khowar:b1f1695a42
40-2502,bashir:khowar:62bf757b45
40-2503,bashir:khowar:fb06639c62
40-2518,bashir:khowar:61a7f6cb32
40-2519,bashir:khowar:3aa20a0d76
40-2520,bashir:khowar:3aa20a0d76:subentry:1
40-2521,bashir:khowar:3aa20a0d76:subentry:2
40-2526,bashir:khowar:cb158a4780
40-2527,bashir:khowar:918df0db61
40-2534,bashir:khowar:ffb9064484
40-2590,bashir:khowar:dac6a79ab7
40-2591,bashir:khowar:d0818182db
40-2594,bashir:khowar:5459ba459b
40-2606,bashir:khowar:ed4038fb53
40-2607,bashir:khowar:52b615d1eb
40-2612,bashir:khowar:ae6c6c9447
40-2639,bashir:khowar:46882daada
40-2645,bashir:khowar:e67379dfc8
40-2646,bashir:khowar:e67379dfc8:variant:1
40-2647,bashir:khowar:e67379dfc8:variant:2
40-2648,bashir:khowar:e67379dfc8:subentry:1
40-2649,bashir:khowar:26713abaf6
40-2650,bashir:khowar:26713abaf6:variant:1
40-2651,bashir:khowar:f09098a3c3
40-2729,bashir:khowar:5c5ae8103d
40-2730,bashir:khowar:cedcfb633e
40-2731,bashir:khowar:06c7b24eb0
40-2744,bashir:khowar:84d66ba351
40-2751,bashir:khowar:31af477ce7
40-2767,bashir:khowar:75d8a27803
40-2789,bashir:khowar:0033f99329
40-2858,bashir:khowar:22a96da0eb
40-2859,bashir:khowar:a15f7d875d
40-2860,bashir:khowar:0d027c5d1e
40-2861,bashir:khowar:0d027c5d1e:subentry:1
40-2862,bashir:khowar:0d027c5d1e:subentry:2
40-2863,bashir:khowar:cc67c41282
40-2878,bashir:khowar:ce9cf3ab7b
40-2881,bashir:khowar:935fcdfaf9
40-2882,bashir:khowar:f061b64246
40-2885,bashir:khowar:cde2bf8a6a
40-2886,bashir:khowar:268ba72a1f
40-2887,bashir:khowar:4b2bbe7816
40-2888,bashir:khowar:95e714c91b
40-2891,bashir:khowar:782a5affe2
40-2892,bashir:khowar:9c0b896828
40-2893,bashir:khowar:e0b3ee85d1
40-2903,bashir:khowar:241459a704
40-2904,bashir:khowar:b006d7d5ca
40-2907,bashir:khowar:ba10406d1f
40-2916,bashir:khowar:6d8491215c
40-2921,bashir:khowar:36314cc8dc
40-2922,bashir:khowar:19bbf8d151
40-2925,bashir:khowar:136adef1c5
40-2926,bashir:khowar:d9d0f7539d
40-2933,bashir:khowar:e2ad8952bc
40-2934,bashir:khowar:edbc5a837a
40-2959,bashir:khowar:cbcecf6acb
40-2990,bashir:khowar:26ec2c70f3
40-2991,bashir:khowar:2ca9c91e49
40-2994,bashir:khowar:757c30b036
40-2998,bashir:khowar:92539e6a76
40-3036,bashir:khowar:43c76123e1:subentry:1
40-3039,bashir:khowar:392adfb7f3
40-3057,bashir:khowar:69ae879e18
40-3066,bashir:khowar:d983d97f77
40-3075,bashir:khowar:3e561de200
40-3083,bashir:khowar:49779a577e
40-3090,bashir:khowar:b4fd0b4f67
40-3170,bashir:khowar:be65cdc3b5
40-3175,bashir:khowar:e3b0db3514
40-3176,bashir:khowar:606be83789
40-3177,bashir:khowar:606be83789:variant:1
40-3178,bashir:khowar:6cc675587e
40-3183,bashir:khowar:447b904716
40-3184,bashir:khowar:f9599e99b6
40-3190,bashir:khowar:1efd70a53a
40-3228,bashir:khowar:2973814b8d
40-3235,bashir:khowar:f0998b35d4
40-3242,bashir:khowar:78fc4411b1
40-3243,bashir:khowar:951ed25d87
40-3244,bashir:khowar:161dcd0911
40-3245,bashir:khowar:c912806d53
40-3246,bashir:khowar:8efc2daf68
40-3249,bashir:khowar:3140fafc51
40-3252,bashir:khowar:dafd65726e
40-3253,bashir:khowar:857cc1f024
40-3256,bashir:khowar:092ec080d6
40-3257,bashir:khowar:db278c8588
40-3280,bashir:khowar:bb4e9da8a2
40-3281,bashir:khowar:bb4e9da8a2:variant:1
40-3288,bashir:khowar:3f8d0ff10d
40-3289,bashir:khowar:57a992b6c5
40-3291,bashir:khowar:41efcbaab3:subentry:1
40-3293,bashir:khowar:80e4589e90
40-3294,bashir:khowar:80e4589e90:subentry:1
40-3308,bashir:khowar:f7eb4429bb
40-3309,bashir:khowar:6e53fb7475
40-3313,bashir:khowar:c03a3e9257
40-3323,bashir:khowar:5276892d1a
40-3328,bashir:khowar:370fffcd7b
40-3329,bashir:khowar:826640a49d
40-3356,bashir:khowar:74f82c3874
40-3357,bashir:khowar:74f82c3874:subentry:1
40-3358,bashir:khowar:ef97450019
40-3359,bashir:khowar:b6eabeb9e6
40-3362,bashir:khowar:0872b730e3
40-3420,bashir:khowar:2d6a080f25
40-3421,bashir:khowar:d1888f274a
40-3422,bashir:khowar:557adaf3b4
40-3423,bashir:khowar:e4a9b5ac4c
40-3436,bashir:khowar:d7556d2be6
40-3469,bashir:khowar:f0adc7465c
40-3478,bashir:khowar:7f263c278c
40-3479,bashir:khowar:7f263c278c:variant:1
40-3512,bashir:khowar:39d89b2832
40-3529,bashir:khowar:2c6fc784e0
40-3538,bashir:khowar:6b69d396aa
40-3539,bashir:khowar:501468a5c9
40-3540,bashir:khowar:a905594105
40-3541,bashir:khowar:7d4f86ce43
40-3542,bashir:khowar:1f12fa5344
40-3543,bashir:khowar:1f12fa5344:subentry:1
40-3544,bashir:khowar:7715262990
40-3553,bashir:khowar:4df58f6fe6
40-3554,bashir:khowar:4df58f6fe6:variant:1
40-3555,bashir:khowar:4df58f6fe6:subentry:1
40-3561,bashir:khowar:8e30f2347e
40-3591,bashir:khowar:067635e9ac
40-3592,bashir:khowar:1a803636b6
40-3621,bashir:khowar:e207aa4d30
40-3632,bashir:khowar:26135328c6
40-3633,bashir:khowar:26135328c6:subentry:1
40-3638,bashir:khowar:b3b64dc55e
40-3651,bashir:khowar:ee59725b8e
40-3666,bashir:khowar:ed3af4781e
40-3667,bashir:khowar:ba5ca240c2
40-3672,bashir:khowar:0784874172
40-3673,bashir:khowar:b30c09fe10
40-3689,bashir:khowar:bc4dcbd411
