ID,Name,Language_ID,Description,Etyma
71a,*agrajanī,Indo-Aryan,"<html><body><number>71a</number> †<b>*agrajanī-</b> 'first pregnancy' (?). [<smallcaps>ágra-, jáni</smallcaps>-]",
72,agrataḣsara,Indo-Aryan,"<html><body><number>72</number> <b>agrataḥsara</b> 'going in front' Pāṇ. [<smallcaps>agratás, sara</smallcaps>-]",
73,agratás,Indo-Aryan,<html><body><number>73</number> <b>agratás</b> 'in front' RV. [<smallcaps>ágra</smallcaps>-],
74,*agratōjāta,Indo-Aryan,"<html><body><number>74</number> <b>*agratōjāta</b> 'born earlier'. [Cf. <i>agrajā́</i>- 'first-born' RV., Pk. <i>aggajāya</i>-: <smallcaps>agratás, jātá</smallcaps>-]",
75,*agrapāli,Indo-Aryan,"<html><body><number>75</number> <b>*agrapāli</b> 'front, point'. [<smallcaps>ágra-, *pāḍi</smallcaps>-]",
76,agrapūjā,Indo-Aryan,"<html><body><number>76</number> <b>agrapūjā</b> f. 'highest act of reverence' R. [<smallcaps>ágra-, pūjā</smallcaps>-]",
77,agramāṁsa,Indo-Aryan,"<html><body><number>77</number> <b>agramāṁsa</b> n. 'heart' lex. [<smallcaps>ágra-, māṁsá</smallcaps>-]",
77a,*agramukʰa,Indo-Aryan,"<html><body><number>77a</number> †<b>*agramukha-</b> 'facing forward'. 2. †<b>*agrāmukha-</b>. [Cf. *<smallcaps>paścamukha</smallcaps>-. With <i>agrā</i>- cf. <smallcaps>paścā́, uttarāpatha-",
78,agrayā́van,Indo-Aryan,"<html><body><number>78</number> <b>agrayā́van</b> 'going before' RV. [Cf. <smallcaps>agragāmin-, *agragamaṇa-: ágra-, yā́van</smallcaps>-]",
79,*agravarṣā,Indo-Aryan,"<html><body><number>79</number> <b>*agravarṣā</b> f. 'the end rain'. [<smallcaps>ágra-, varṣā́</smallcaps>-]",
80,*agravāṭa,Indo-Aryan,"<html><body><number>80</number> <b>*agravāṭa</b> m. 'enclosed space in front'. [<smallcaps>ágra-, vāṭa</smallcaps>-¹]",
81,*agravāsa,Indo-Aryan,"<html><body><number>81</number> <b>*agravāsa</b> m. 'front of a house'. [<smallcaps>ágra-, vāsá</smallcaps>-²]",
82,*agravāha,Indo-Aryan,"<html><body><number>82</number> <b>*agravāha</b> 'leading in front'. [<smallcaps>ágra-, vāhá</smallcaps>-]",
83,*agravr̩ddʰi,Indo-Aryan,"<html><body><number>83</number> <b>*agravr̥ddhi</b> f. [<smallcaps>ágra-, vŕ̥ddhi</smallcaps>-²]",
84,*agravr̩ṣṭi,Indo-Aryan,"<html><body><number>84</number> <b>*agravr̥ṣṭi</b> f. 'initial rain'. [<smallcaps>ágra-, vr̥ṣṭí</smallcaps>-]",
85,agraśás,Indo-Aryan,<html><body><number>85</number> <b>agraśás</b> 'from the beginning' AV. [<smallcaps>ágra</smallcaps>-],
86,agrasara,Indo-Aryan,"<html><body><number>86</number> <b>agrasara</b> 'going in front' Kālid. [<smallcaps>ágra-, sara</smallcaps>-",
87,*agrasasya,Indo-Aryan,"<html><body><number>87</number> <b>*agrasasya</b> n. 'first-fruits'. [<smallcaps>ágra-, sasyá</smallcaps>-]",
88,agrahāyaṇa,Indo-Aryan,"<html><body><number>88</number> <b>agrahāyaṇa</b> m. 'the month November-December (= <i>mārgaśīrṣa</i>-)' lex. [Cf. <i>āgrahāyaṇī</i>- f. 'the full moonday in that month' Pāṇ.: <smallcaps>ágra-, hāyaná</smallcaps>-]",
89,*agrānta,Indo-Aryan,"<html><body><number>89</number> <b>*agrānta</b> 'front or near end'. [<smallcaps>ágra-, ánta</smallcaps>-]",
90,*agrāmin,Indo-Aryan,<html><body><number>90</number> <b>*agrāmin</b> 'not rustic'. [<smallcaps>grāmín</smallcaps>-],
91,agrāmya,Indo-Aryan,<html><body><number>91</number> <b>agrāmya</b> 'not rustic' MW. [<smallcaps>grāmyá</smallcaps>-],
92,agrimá,Indo-Aryan,<html><body><number>92</number> <b>agrimá</b> 'being in front' RV. [<smallcaps>ágra</smallcaps>-],
93,*agriyapāṭa,Indo-Aryan,"<html><body><number>93</number> <b>*agriyapāṭa</b> 'front expanse'. [<smallcaps>agriyá-, pāṭa</smallcaps>-]",
94,agrēgū́,Indo-Aryan,"<html><body><number>94</number> <b>agrēgū́</b> 'going in front' VS. [Cf. <i>agrēgā́</i>- TBr., <i>°gá</i>- RV.",
95,agrḗtvan,Indo-Aryan,"<html><body><number>95</number> <b>agrḗtvan-,</b> f. <i>°tvarī</i>-, 'going in front' AV. [<smallcaps>ágra-, -itvan</smallcaps>- and <smallcaps>itvará</smallcaps>-]",
96,*agrōpastʰāka,Indo-Aryan,"<html><body><number>96</number> <b>*agrōpasthāka</b> 'chief servitor'. [<smallcaps>ágra-, upasthāka</smallcaps>-]",
97,agryá,Indo-Aryan,"<html><body><number>97</number> <b>agryá</b> 'foremost, topmost' ŚBr. 2. <b>agriyá-</b> RV. 3. n. 'first-fruits' RV. [<smallcaps>ágra</smallcaps>-]",
98,*agryapaṇa,Indo-Aryan,"<html><body><number>98</number> <b>*agryapaṇa</b> 'chief price or payment in first-fruits.' [<smallcaps>agryá-, paṇa</smallcaps>-]",
98a,agʰá,Indo-Aryan,"<html><body><number>98a</number> <b>aghá-</b> 'bad', n. 'mishap' RV.",
99,*agʰr̩ṣṭa,Indo-Aryan,<html><body><number>99</number> <b>*aghr̥ṣṭa</b> 'not rubbed out'. [√<smallcaps>ghr̥ṣ</smallcaps>],
100,aŋká,Indo-Aryan,"<html><body><number>100</number> <b>aṅká</b> m. 'hook' RV., 'hip where children are carried' Br̥ĀrUp., 'curved line, mark, sign' R. [√<smallcaps>añc</smallcaps>]",
101,*aŋkakāra,Indo-Aryan,"<html><body><number>101</number> <b>*aṅkakāra</b> m. 'act of marking' [<smallcaps>aṅká-, kāra</smallcaps>-¹]",
102,aŋkana,Indo-Aryan,"<html><body><number>102</number> <b>aṅkana</b> adj. 'marking' Nir., n. 'branding' Mit. com. [<smallcaps>aṅkáyati, aṅká-: √añc</smallcaps>]",
103,aŋkapāli,Indo-Aryan,"<html><body><number>103</number> <b>aṅkapāli-, -ikā</b> f. 'embrace' lex., <i>aṅkōlikā</i>- f. lex. [<smallcaps>aṅká-, *pāḍi</smallcaps>-]",
104,aŋkáyati,Indo-Aryan,"<html><body><number>104</number> <b>aṅkáyati</b> 'marks, brands' MBh. [<smallcaps>aṅká-: √añc</smallcaps>]",
105,*aŋkāśrita,Indo-Aryan,"<html><body><number>105</number> <b>*aṅkāśrita</b> 'attached to a hook'. [<smallcaps>aṅká-, āśrita</smallcaps>-]",
106,aŋkita,Indo-Aryan,"<html><body><number>106</number> <b>aṅkita</b> 'marked, branded'. [<smallcaps>aṅkáyati: √añc</smallcaps>]",
107,*aŋku,Indo-Aryan,"<html><body><number>107</number> <b>*aṅku</b> 'hook' in <smallcaps>ankuṭa-, aṅkurá-, aṅkuśá</smallcaps>-. [Cf. Av. <i>anku</i>- in cmpd. 'hook': √<smallcaps>añc</smallcaps>]   <div id=""display_toggle""> </div> <div id=""page_turner""> <table align=""center"" bgcolor=""#FFFFFF"" border=""0"" cellpadding=""2"" cellspacing=""2"" width=""99%""><tr> <td align=""left"" class=""turner"" width=""33%""> <a href=""/cgi-bin/app/soas_query.py?page=4"">Previous Page</a> </td> <td align=""center"" class=""turner"" width=""33%""><a href=""/dictionaries/soas/jpg/005.jpg"">Page 5 (click for page image)</a></td> <td align=""right"" class=""turner"" width=""33%""> <a href=""/cgi-bin/app/soas_query.py?page=6"">Next Page</a> </td> </tr></table> </div> <hr/> <div id=""responsive_footer_table""> <div id=""responsive_footer_tr""> <div id=""responsive_footer_td""> <a href=""/dictionaries/soas/"">Back to the Search Page </a>  |  
         <a href=""/dictionaries/"">Back to the DDSA Page</a>",
108,aŋkuṭa,Indo-Aryan,<html><body><number>108</number> <b>aṅkuṭa</b> m. 'instrument for moving the bolt or bar of a door' lex. [*<smallcaps>aṅku-: √añc</smallcaps>],
109,aŋkurá,Indo-Aryan,"<html><body><number>109</number> <b>aṅkurá</b> 1. '*hooked'. 2. m. 'sprout' Uṇ., 'tumour' Suśr. [*<smallcaps>aṅku-: √añc</smallcaps>]",
110,*aŋkurayati,Indo-Aryan,"<html><body><number>110</number> <b>*aṅkurayati</b> 'sprouts', <i>aṅkurita</i>- Kālid. [<smallcaps>aṅkurá</smallcaps>-]",
111,aŋkuśá,Indo-Aryan,"<html><body><number>111</number> <b>aṅkuśá</b> m.n. 'hook, driver's hook' RV. [*<smallcaps>aṅku-: √añc</smallcaps>]",
112,aŋkūrá,Indo-Aryan,<html><body><number>112</number> <b>aṅkūrá</b> m. 'sprout' Uṇ. [Cf. <smallcaps>aṅkurá- ,
113,aŋkōṭa,Indo-Aryan,"<html><body><number>113</number> <b>aṅkōṭa-, aṅkōṭha</b> m. 'the small tree Alangium hexapetalum' lex. 2. <b>aṅkōla-,</b> <i>°aka</i>-. 3. <b>aṅkōlla-.</b> [EWA i 20 with lit.]",
114,áŋga,Indo-Aryan,"<html><body><number>114</number> <b>áṅga</b>¹ n. 'limb' RV., 'body' Mn.",
115,*aŋgakr̩ṣṭi,Indo-Aryan,"<html><body><number>115</number> <b>*aṅgakr̥ṣṭi</b> f. 'stretching the body'. [<smallcaps>áṅga-¹, kr̥ṣṭí</smallcaps>- or poss. *<smallcaps>vikr̥ṣṭi</smallcaps>-]",
116,aŋgajāta,Indo-Aryan,"<html><body><number>116</number> <b>aṅgajāta</b> 'produced from the body' MW without ref. [<smallcaps>áṅga-¹, jātá</smallcaps>-]",
117,aŋgada,Indo-Aryan,<html><body><number>117</number> <b>aṅgada</b> n. 'bracelet on upper arm' R. [← Muṇḍa Kuiper PMWS 124],
118,aŋgana,Indo-Aryan,"<html><body><number>118</number> <b>aṅgana</b> n. 'act of walking' lex., 'courtyard' R., <i>°aṇa</i>- n. Kālid. [√<smallcaps>aṅg</smallcaps>]",
119,aŋganā́,Indo-Aryan,"<html><body><number>119</number> <b>aṅganā́</b> f. 'woman' R., 'beautiful woman' lex. [← Austro-as. Mayrhofer EWA i 20 with lit.]",
120,*aŋgarakṣa,Indo-Aryan,"<html><body><number>120</number> <b>*aṅgarakṣa</b> 'garment'. [Cf. <i>aṅgarakṣaṇī</i>- f. 'coat of mail': <smallcaps>áṅga-¹, rakṣá</smallcaps>-]",
121,aŋgarāga,Indo-Aryan,"<html><body><number>121</number> <b>aṅgarāga</b> m. 'application of ointment, cosmetic' R. [<smallcaps>áṅga-¹, rā́ga</smallcaps>-¹]",
122,*aŋgavikala,Indo-Aryan,"<html><body><number>122</number> <b>*aṅgavikala</b> 'deformed in limbs'. [<smallcaps>áṅga-¹, vikala</smallcaps>-]",
123,aŋgahāra,Indo-Aryan,"<html><body><number>123</number> <b>aṅgahāra</b> m. 'gesture' Kathās. [<smallcaps>áṅga-¹, hāra</smallcaps>-¹]",
124,*aŋgahōla,Indo-Aryan,"<html><body><number>124</number> <b>*aṅgahōla</b> 'washing the body'. [<smallcaps>áṅga-¹, *hōl</smallcaps>-]",
125,áŋgāra,Indo-Aryan,"<html><body><number>125</number> <b>áṅgāra</b> m. n. 'glowing charcoal' RV., <i>°aka</i>- lex. 2. <b>*iṅgāra-,</b> <i>iṅgāla</i>- m. Vāsav. com.",
126,aŋgāraka,Indo-Aryan,"<html><body><number>126</number> <b>aṅgāraka</b> '*red like embers', m. 'charcoal; name of various plants' (<i>aṅgārikā</i>- f. 'stalk of sugar-cane, flower of Butea frondosa'). 2. m. 'the planet Mars'. [<smallcaps>áṅgāra</smallcaps>-]",
127,aŋgāradʰānī,Indo-Aryan,"<html><body><number>127</number> <b>aṅgāradhānī-,</b> <i>°ikā</i>- f. 'portable stove' lex. [<smallcaps>áṅgāra-, dhā́na</smallcaps>-]",
128,*aŋgāravarta,Indo-Aryan,"<html><body><number>128</number> <b>*aṅgāravarta</b> m. 'fire stone'. [<smallcaps>áṅgāra-, *varta</smallcaps>-³]",
129,*aŋgārastʰāna,Indo-Aryan,"<html><body><number>129</number> <b>*aṅgārasthāna</b> n. 'fireplace'. [<smallcaps>áṅgāra-, sthā́na</smallcaps>-]",
130,aŋgāri,Indo-Aryan,"<html><body><number>130</number> <b>aṅgāri</b> f., <i>aṅgāritā</i>- f. 'portable brazier' lex. [<smallcaps>áṅgāra</smallcaps>-]",
130a,*aŋgāriṣṭʰa,Indo-Aryan,"<html><body><number>130a</number> †<b>*aṅgāriṣṭha-</b> 'portable brazier'. [<smallcaps>aṅgāri-, stha</smallcaps>-: cf. <smallcaps>agniṣṭhá</smallcaps>-]",
131,aŋgāryā́,Indo-Aryan,"<html><body><number>131</number> <b>aṅgāryā́-,</b> <i>*aṅgāriyā</i>-, f. 'heap of embers'. [Cf. <i>aṅgā- rīya</i>- 'fit for making charcoal', <i>aṅgārikā</i>- f., <i>angāritā</i>- f. 'portable fireplace' lex.: <smallcaps>áṅgāra</smallcaps>-]",
