Source_Order_Item	PDF_Page	Printed_Page	Column	Prompt_Gloss	Status	Confidence	Notes
S021	23	19	right	heart	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani tie and Maituri wrapped second word/final unreleased mark visibly rechecked.
S022	23	19	right	blood	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri absence of accent visibly rechecked.
S023	24	20	left	village	complete	high	Gloss and both response cells visually read from 1200-dpi render.
S024	24	20	left	house	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani final unreleased mark visibly rechecked.
S025	24	20	left	roof	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani tap and Maituri medial unreleased mark/small inverted breve visibly rechecked.
S026	24	20	left	door	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani doubled o and Maituri final glottal stop retained.
S027	24	20	left	firewood	complete	high	Gloss and both response cells visually read from 1200-dpi render; accents and aspiration visibly rechecked.
S028	24	20	left	broom	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri ʋ and both final unreleased marks visibly rechecked.
S029	24	20	left	mortar	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri absence of accent visibly rechecked.
S030	24	20	left	pestle	complete	high	Gloss and both response cells visually read from 1200-dpi render; source's g/ɡ distinction, medial n, palatal offglide, barred ɨ, and final ŋ visibly rechecked.
S031	24	20	right	hammer	complete	high	Gloss and both response cells visually read from 1200-dpi render; schwas and taps visibly rechecked.
S032	24	20	right	knife (small)	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani two alternatives/small inverted breve and Maituri tap/palatal offglide visibly rechecked.
S033	24	20	right	axe	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri absence of accent visibly rechecked.
S034	24	20	right	rope	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani double-storey g and Maituri tap visibly rechecked.
S035	24	20	right	thread	complete	high	Gloss and both response cells visually read from 1200-dpi render; engma distinctions visibly rechecked.
S036	24	20	right	needle	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri tied d͡ʒ visibly rechecked.
S037	24	20	right	cloth	complete	high	Gloss and both response cells visually read from 1200-dpi render.
S038	24	20	right	ring	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani two schwas/two small inverted breves visibly rechecked.
S039	25	21	left	sun	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial taps and engma glyphs visibly rechecked.
S040	25	21	left	moon	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani double-storey g/following tap and Maituri taps visibly rechecked.
S041	25	21	left	sky	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri final unreleased mark visibly rechecked.
S042	25	21	left	star	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspiration visibly rechecked.
S043	25	21	left	rain	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps and engma visibly rechecked.
S044	25	21	left	water	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani nasalized small-capital ɪ̃/internal space and both small inverted breves visibly rechecked.
S045	25	21	left	river	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri internal space, small inverted breve, tied d͡ʒ, and tap visibly rechecked.
S046	25	21	left	cloud	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri final unreleased mark visibly rechecked.
S047	25	21	right	lightning	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps, engma, and Maituri palatal offglide visibly rechecked.
S048	25	21	right	rainbow	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani two line-separated alternatives and Maituri palatal offglide/small inverted breve visibly rechecked.
S049	25	21	right	wind [noun]	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial/final taps visibly rechecked.
S050	25	21	right	stone	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial taps, Rongdani accent, engma, and Maituri aspiration visibly rechecked.
S051	25	21	right	path	complete	high	Gloss and both response cells visually read from 1200-dpi render; both initial taps visibly rechecked.
S052	25	21	right	sand	complete	high	Gloss and both response cells visually read from 1200-dpi render; acute accent, nasal distinctions, both engmas, and both small inverted breves visibly rechecked.
S053	25	21	right	fire	complete	high	Gloss and both response cells visually read from 1200-dpi render; both final taps visibly rechecked.
S054	25	21	right	smoke	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspiration and Maituri medial tap visibly rechecked.
S055	26	22	left	ash	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspiration, engmas, tied affricates, and Rongdani acute accent visibly rechecked.
S056	26	22	left	mud	complete	high	Gloss and both response cells visually read from 1200-dpi render; schwa, both small inverted breves, and Maituri tap visibly rechecked.
S057	26	22	left	dust	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani schwa, Maituri medial open back vowel, and both final taps visibly rechecked.
S058	26	22	left	gold	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani final schwa and Maituri final open back vowel visibly distinguished.
S059	26	22	left	tree	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri aspiration and final engma visibly rechecked.
S060	26	22	left	leaf	complete	high	Gloss and both response cells visually read from 1200-dpi render; both small inverted breves on ʃ and both final unreleased marks visibly rechecked.
S061	26	22	left	root	complete	high	Gloss and both response cells visually read from 1200-dpi render; both small inverted breves on ʃ, tap placements, and final engmas visibly rechecked.
S062	26	22	left	thorn	complete	high	Gloss and both response cells visually read from 1200-dpi render; open back vowels and medial nasals visibly rechecked.
S063	26	22	right	flower	complete	high	Gloss and both response cells visually read from 1200-dpi render; both final taps visibly rechecked.
S064	26	22	right	fruit	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspiration, Rongdani acute accent, and Maituri final glottal stop visibly rechecked.
S065	26	22	right	mango	complete	high	Gloss and both response cells visually read from 1200-dpi render; both small inverted breves on ʃ, Rongdani acute accent, and Maituri final glottal stop visibly rechecked.
S066	26	22	right	banana	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial taps, aspiration, and Rongdani acute accent visibly rechecked.
S067	26	22	right	wheat	complete	high	Gloss and both response cells visually read from 1200-dpi render; source's double-storey g retained in both cells.
S068	26	22	right	rice (uncooked)	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani baseline j, Maituri superscript offglide, following taps, and final engmas visibly rechecked.
S069	26	22	right	potato	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspiration and Rongdani final acute accent visibly rechecked.
S070	26	22	right	eggplant	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani aspiration/accent and Maituri superscript offglide/double-storey g visibly rechecked.
S071	27	23	left	groundnut	complete	high	Gloss and both response cells visually read from 1200-dpi render; both open back vowels visibly rechecked.
S072	27	23	left	chili	complete	high	Gloss and both response cells visually read from 1200-dpi render; affricate ties, Rongdani schwa versus Maituri open back vowel, and Maituri final unreleased mark visibly rechecked at targeted zoom.
S073	27	23	left	turmeric	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani baseline j/final open back vowel and Maituri vowels visibly rechecked.
S074	27	23	left	garlic	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps, Rongdani internal space/q/baseline j glyphs visibly rechecked.
S075	27	23	left	onion	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani q with following length mark and Maituri baseline j visibly rechecked.
S076	27	23	left	cauliflower	complete	high	Gloss and both response cells visually read from 1200-dpi render; spaces, aspirations, and source double-storey g glyphs visibly rechecked.
S077	27	23	left	cabbage	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial vowel contrast, spaces, aspiration, and source double-storey g glyphs visibly rechecked.
S078	27	23	left	tomato	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani aspiration/final unreleased mark and Maituri engma/baseline j/double-storey g visibly rechecked.
S079	27	23	right	oil	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspirations, medial vowel contrast, and both small inverted breves on ʃ visibly rechecked.
S080	27	23	right	salt	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani aspiration/tap and Maituri segments visibly rechecked.
S081	27	23	right	meat	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani two comma-separated alternatives, q glyphs, vowels, and final nasals visibly rechecked.
S082	27	23	right	fat	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani barred ɨ and Maituri aspiration/small inverted breve visibly rechecked at targeted zoom.
S083	27	23	right	fish	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri final glottal stop visibly rechecked.
S084	27	23	right	chicken	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri final glottal stop visibly rechecked.
S085	27	23	right	egg	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani final acute accent and Maituri small-capital ɪ, plus both small inverted breves on ʃ, visibly rechecked at targeted zoom.
S086	27	23	right	cow	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri absence of accent visibly rechecked.
S087	28	24	left	buffalo	complete	high	Gloss and both response cells visually read from 1200-dpi render; both identical forms visibly rechecked.
S088	28	24	left	milk	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri final aspiration visibly rechecked.
S089	28	24	left	horns	complete	high	Gloss and both response cells visually read from 1200-dpi render; both taps and final engmas visibly rechecked.
S090	28	24	left	tail	complete	high	Gloss and both response cells visually read from 1200-dpi render; affricate ties, Rongdani acute accent/final engma, and Maituri absence of accent visibly rechecked.
S091	28	24	left	goat	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps, Rongdani barred ɨ, Maituri u, and final nasals visibly rechecked at targeted zoom.
S092	28	24	left	dog	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri small-capital ɪ/final glottal stop visibly rechecked at targeted zoom.
S093	28	24	left	snake	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani final acute accent and Maituri absence of accent visibly rechecked.
S094	28	24	left	monkey	complete	high	Gloss and both response cells visually read from 1200-dpi render; q, following taps, and open back vowels visibly rechecked.
S095	28	24	right	mosquito	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri absence of accent visibly rechecked.
S096	28	24	right	ant	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani engma/schwa/tap and Maituri small inverted breve on ʃ/internal space/tap visibly rechecked at targeted zoom.
S097	28	24	right	spider	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri aspiration and both final taps visibly rechecked.
S098	28	24	right	name	complete	high	Gloss and both response cells visually read from 1200-dpi render; both final engmas visibly rechecked.
S099	28	24	right	man	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani q/baseline j and Maituri superscript palatal offglide visibly rechecked.
S100	28	24	right	woman	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani two line-separated alternatives, accents, baseline j/final engma, and all small inverted breves visibly rechecked.
S101	28	24	right	child	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani q/baseline j/acute open back vowel/tap and Maituri superscript offglide/tap visibly rechecked at targeted zoom.
S102	29	25	left	father	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani two comma-separated alternatives and Maituri w/tap visibly rechecked.
S103	29	25	left	mother	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani baseline j and Maituri affricate tie/tap visibly rechecked.
S104	29	25	left	older brother	complete	high	Gloss and both response cells visually read from 1200-dpi render; both identical forms visibly rechecked.
S105	29	25	left	younger brother	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspirations, affricate ties, engmas, Rongdani normal r, and Maituri tap visibly rechecked at targeted zoom.
S106	29	25	left	older sister	complete	high	Gloss and both response cells visually read from 1200-dpi render; both identical forms visibly rechecked.
S107	29	25	left	younger sister	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani open back vowel and Maituri affricate tie/tap visibly rechecked.
S108	29	25	left	son	complete	high	Gloss and both response cells visually read from 1200-dpi render; internal spaces, w, taps, and open back vowels visibly rechecked.
S109	29	25	left	daughter	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent, both small inverted breves, spaces, w, and taps visibly rechecked.
S110	29	25	right	husband	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani schwa/internal space/tap and Maituri tap visibly rechecked.
S111	29	25	right	wife	complete	high	Gloss and both response cells visually read from 1200-dpi render; accents, both small inverted breves, source-continuous Maituri form, schwa, spaces, and taps visibly rechecked at targeted zoom.
S112	29	25	right	boy	complete	high	Gloss and both response cells visually read from 1200-dpi render; accents, engma, superscript offglide, spaces, w, and taps visibly rechecked.
S113	29	25	right	girl	complete	high	Gloss and both response cells visually read from 1200-dpi render; accent, both small inverted breves, engmas, spacing, and tap visibly rechecked at targeted zoom.
S114	29	25	right	day	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani's two comma-separated alternatives and aspiration in both lists visibly rechecked.
S115	29	25	right	night	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspirations, open back vowels, and taps visibly rechecked.
S116	29	25	right	morning	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspirations, rounded vowels, and engmas visibly rechecked.
S117	29	25	right	noon	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps, engmas, internal space, and Rongdani/Maituri rounded-vowel difference visibly rechecked at targeted zoom.
S118	30	26	left	evening	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps, engmas, Rongdani medial schwa, and Maituri consonant cluster visibly rechecked at targeted zoom.
S119	30	26	left	yesterday	complete	high	Gloss and both response cells visually read from 1200-dpi render; baseline j, superscript offglide, aspiration, engma, internal space, and open back vowels visibly rechecked at targeted zoom.
S120	30	26	left	today	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri final glottal stop visibly rechecked at targeted zoom.
S121	30	26	left	tomorrow	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani double-storey g/engma and Maituri tap/superscript offglide/aspiration visibly rechecked at targeted zoom.
S122	30	26	left	week	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani unreleased t and schwa plus Maituri final open back vowel visibly rechecked at targeted zoom.
S123	30	26	left	month	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; open back vowel visibly rechecked.
S124	30	26	left	year	complete	high	Gloss and both response cells visually read from 1200-dpi render; rounded vowels, taps, Rongdani internal space, and final open back vowel visibly rechecked.
S125	30	26	left	old (things)	complete	high	Gloss and both response cells visually read from 1200-dpi render; superscript offglides, both small inverted breves, and open back vowels visibly rechecked at targeted zoom.
S126	30	26	right	new	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani Latin a versus Maituri open back vowel visibly distinguished at targeted zoom.
S127	30	26	right	good	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri aspiration and superscript offglide plus open back vowels visibly rechecked.
S128	30	26	right	bad	complete	high	Gloss and both response cells visually read from 1200-dpi render; both small inverted breves and Maituri final superscript offglide visibly rechecked at targeted zoom.
S129	30	26	right	wet	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani baseline j versus Maituri superscript offglide visibly distinguished at targeted zoom.
S130	30	26	right	dry	complete	high	Gloss and both response cells visually read from 1200-dpi render; medial n in both, Rongdani acute accent/baseline j, and Maituri superscript offglide visibly rechecked at targeted zoom.
S131	30	26	right	long	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps, Rongdani acute accent/q/baseline j, and Maituri k/superscript offglide visibly rechecked at targeted zoom.
S132	30	26	right	short	complete	high	Gloss and both response cells visually read from 1200-dpi render; engmas, Rongdani q/baseline j, and Maituri k/superscript offglide visibly rechecked at targeted zoom.
S133	30	26	right	hot	complete	high	Gloss and both response cells visually read from 1200-dpi render; engmas, Rongdani acute accent/q/baseline j, and Maituri k/superscript offglide visibly rechecked at targeted zoom.
S134	31	27	left	cold	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani small inverted breve/baseline j and Maituri aspiration/final superscript offglide visibly rechecked at targeted zoom.
S135	31	27	left	right	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani baseline j/acute accent and Maituri superscript offglide plus both final engmas visibly rechecked.
S136	31	27	left	left	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps, spaces, engma, and Maituri small inverted breve visibly rechecked at targeted zoom.
S137	31	27	left	near	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani q/aspiration and Maituri's two line-separated alternatives including engma/double-storey g/aspiration visibly rechecked at targeted zoom.
S138	31	27	left	far	complete	high	Gloss and both response cells visually read from 1200-dpi render; affricate ties, Rongdani acute accent/baseline j, and Maituri length mark visibly rechecked at targeted zoom.
S139	31	27	left	big	complete	high	Gloss and both response cells visually read from 1200-dpi render; both small inverted breves, vowel sequences, engmas, and open back vowels visibly rechecked at targeted zoom.
S140	31	27	left	small	complete	high	Gloss and both response cells visually read from 1200-dpi render; barred vowels, Rongdani length mark, and Maituri engma visibly rechecked at targeted zoom.
S141	31	27	left	heavy	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial taps, Rongdani acute accent, Maituri barred vowel, baseline j, and open back vowels visibly rechecked at targeted zoom.
S142	31	27	right	light	complete	high	Gloss and both response cells visually read from 1200-dpi render; both small inverted breves, Rongdani acute accent, engmas, and open back vowels visibly rechecked at targeted zoom.
S143	31	27	right	above	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani q/acute accent/tap and Maituri tap/superscript offglide visibly rechecked.
S144	31	27	right	below	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent and Maituri superscript offglide visibly rechecked.
S145	31	27	right	white	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani q/length mark and Maituri final superscript offglide visibly rechecked at targeted zoom.
S146	31	27	right	black	complete	high	Gloss and both response cells visually read from 1200-dpi render; q versus k, both length marks, and Maituri final superscript offglide visibly rechecked at targeted zoom.
S147	31	27	right	red	complete	high	Gloss and both response cells visually read from 1200-dpi render; q, both length marks, open back vowels, and Maituri final superscript offglide visibly rechecked.
S148	31	27	right	one	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani double-storey g visibly rechecked; Maituri explicitly prints 'no data' and is recorded as a source blank.
S149	31	27	right	who?	complete	high	Gloss and both response cells visually read from 1200-dpi render; both small inverted breves, open back vowels, and engmas visibly rechecked at targeted zoom.
S150	32	28	left	what?	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; initial open back and final rounded vowels visibly rechecked.
S151	32	28	left	where?	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; both front vowels visibly rechecked.
S152	32	28	left	when?	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; medial front and final rounded vowels visibly rechecked.
S153	32	28	left	how many?	complete	high	Gloss and both response cells visually read from 1200-dpi render; both inverted breves, vowel contrast, and final unreleased marks visibly rechecked at targeted zoom.
S154	32	28	left	what kind?	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspirations, Rongdani tap, and Maituri engma visibly rechecked at targeted zoom.
S155	32	28	left	this	complete	high	Gloss and both response cells visually read from 1200-dpi render; open back vowels and baseline versus superscript final j visibly rechecked at targeted zoom.
S156	32	28	left	that	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani q/open back vowel/baseline j and Maituri double-storey g visibly rechecked at targeted zoom.
S157	32	28	left	these	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani spanning affricate tie/schwa and Maituri superscript offglide visibly rechecked at targeted zoom.
S158	32	28	right	those	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani spanning affricate tie/schwa and Maituri double-storey g visibly rechecked at targeted zoom.
S159	32	28	right	same (like)	complete	high	Gloss and both response cells visually read from 1200-dpi render; both open back vowels and Rongdani double-storey g visibly rechecked at targeted zoom.
S160	32	28	right	different	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; taps, double-storey g glyphs, and final open back vowels visibly rechecked at targeted zoom.
S161	32	28	right	whole (unbroken)	complete	high	Gloss and both response cells visually read from 1200-dpi render; inverted breves, Maituri affricate tie/engma/internal space, and open back vowels visibly rechecked at targeted zoom.
S162	32	28	right	broken	complete	high	Gloss and both response cells visually read from 1200-dpi render; open back vowels and baseline versus superscript final j visibly rechecked.
S163	32	28	right	few	complete	high	Gloss and both response cells visually read from 1200-dpi render; inverted breves visibly placed on ʃ, Rongdani barred vowel/schwa, and Maituri final engma visibly rechecked at targeted zoom.
S164	32	28	right	many	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani accented schwa/engma/q and Maituri open back vowels/engma visibly rechecked at targeted zoom.
S165	32	28	right	all	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani barred vowel/final unreleased mark and Maituri rounded vowel visibly rechecked at targeted zoom.
S166	33	29	left	eat!	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani acute accent/glottal stop and Maituri aspiration visibly rechecked at targeted zoom.
S167	33	29	left	it bit	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani q glyphs and Maituri spanning affricate tie visibly rechecked at targeted zoom.
S168	33	29	left	he is hungry	complete	high	Gloss and both response cells visually read from 1200-dpi render; aspirations, Maituri barred vowel/affricate tie, and Rongdani baseline final j visibly rechecked at targeted zoom.
S169	33	29	left	he is drinking	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial taps, engmas, Rongdani barred vowel, and open back vowels visibly rechecked at targeted zoom.
S170	33	29	left	he is thirsty	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani inverted breve/accent/q and Maituri internal space/two engmas/affricate tie/final glottal stop visibly rechecked at targeted zoom.
S171	33	29	left	he is sleeping	complete	high	Gloss and both response cells visually read from 1200-dpi render; double-storey g glyphs, taps, vowel contrast, and final open back vowels visibly rechecked at targeted zoom.
S172	33	29	left	he lay down	complete	high	Gloss and both response cells visually read from 1200-dpi render; double-storey g glyphs, taps, Rongdani rounded vowel/baseline j, and Maituri barred vowel/affricate tie visibly rechecked at targeted zoom.
S173	33	29	left	sit down!	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri final glottal stop visibly rechecked at targeted zoom.
S174	33	29	right	give!	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial taps, aspiration, and Rongdani acute accent visibly rechecked at targeted zoom.
S175	33	29	right	it is burning	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; aspiration and open back vowels visibly rechecked.
S176	33	29	right	he died	complete	high	Gloss and both response cells visually read from 1200-dpi render; affricate ties and Maituri barred vowel visibly rechecked at targeted zoom.
S177	33	29	right	he killed	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; rounded vowels and spanning affricate ties visibly rechecked at targeted zoom.
S178	33	29	right	it is flying	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani tap versus Maituri vowel sequence and final open back vowels visibly rechecked at targeted zoom.
S179	33	29	right	walk!	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani tap/acute accent/engma/open back vowels/baseline j and Maituri short form visibly rechecked at targeted zoom.
S180	33	29	right	run!	complete	high	Gloss and both response cells visually read from 1200-dpi render; taps, aspirations, engmas, and Rongdani acute accent/baseline j visibly rechecked at targeted zoom.
S181	33	29	right	go!	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial taps, final engmas, and Rongdani acute accent visibly rechecked at targeted zoom.
S182	34	30	left	come!	complete	high	Gloss and both response cells visually read from 1200-dpi render; initial taps, final open back vowels, Rongdani acute accent, and Maituri barred vowel/labiodental approximant visibly rechecked at targeted zoom.
S183	34	30	left	speak!	complete	high	Gloss and both response cells visually read from 1200-dpi render; two Rongdani alternatives, q glyph/open back vowels/baseline j, and Maituri final unreleased mark visibly rechecked at targeted zoom.
S184	34	30	left	he heard	complete	high	Gloss and both response cells visually read from 1200-dpi render; open back vowels, spanning affricate ties, and Maituri final glottal stop visibly rechecked at targeted zoom.
S185	34	30	left	he saw	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; medial unreleased marks and spanning affricate ties visibly rechecked at targeted zoom.
S186	34	30	left	I	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; open back vowels and final engmas visibly rechecked at targeted zoom.
S187	34	30	left	you (2nd sg, inf)	complete	high	Gloss and both response cells visually read from 1200-dpi render; open back vowels, final engmas, and Rongdani acute accent visibly rechecked at targeted zoom.
S188	34	30	left	you (2nd sg, formal)	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; open back vowels and final engmas visibly rechecked at targeted zoom.
S189	34	30	right	he	complete	high	Gloss and both response cells visually read from 1200-dpi render; two Rongdani alternatives with barred and rounded vowels visibly rechecked at targeted zoom.
S190	34	30	right	she	complete	high	Gloss and both response cells visually read from 1200-dpi render; two Rongdani alternatives with barred and rounded vowels, plus Maituri front vowel, visibly rechecked at targeted zoom.
S191	34	30	right	we	complete	high	Gloss and both response cells visually read from 1200-dpi render; spanning affricate ties, final engmas, and Rongdani front versus Maituri barred vowel visibly rechecked at targeted zoom.
S192	34	30	right	we (two)	complete	high	Gloss and both response cells visually read from 1200-dpi render; spanning affricate ties, first-word vowel contrast, q glyph, engmas, open back vowels, and Maituri final superscript palatal offglide visibly rechecked at targeted zoom.
S193	34	30	right	you (2nd pl)	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; open back vowels, medial taps, rounded vowels, and final engmas visibly rechecked at targeted zoom.
S194	34	30	right	they (3rd pl)	complete	high	Gloss and both identical response cells visually read from 1200-dpi render; rounded vowels, medial taps, and final engmas visibly rechecked at targeted zoom.
