Item	PDF_Page	Printed_Page	Row	OCR_Gloss_Scaffold	Manual_Gloss	Review_Status	Confidence	Notes
67	219	214	17	hair	hair	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
68	219	214	18	body hair	body hair	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
69	219	214	19	eye	eye	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
70	219	214	20	nose	nose	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
71	219	214	21	mouth	mouth	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
72	219	214	22	1ip	lip	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
73	219	214	23	tooth	tooth	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
74	219	214	24	tongque	tongue	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
75	219	214	25	ear	ear	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
76	220	215	1	neck	neck	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
77	220	215	2	throat	throat	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
78	220	215	3	shoulder	shoulder	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
79	220	215	4	back	back	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
80	220	215	5	rib	rib	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
81	220	215	6	chest	chest	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
82	220	215	7	breast	breast	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
83	220	215	8	milk	milk	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
84	220	215	9	arm	arm	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
85	220	215	10	ara, upper	arm, upper	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
86	220	215	11	hard	hand	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
87	220	215	12	palm	palm	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
88	220	215	13	finger	finger	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
89	220	215	14	fingermail	fingernail	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
90	220	215	15	leg	leg	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
91	220	215	16	foot	foot	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
92	220	215	17	knee	knee	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
93	220	215	18	akin	skin	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
94	220	215	19	bone	bone	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
95	220	215	20	% blood	blood	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
96	220	215	21	6 oldman	old man	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
97	220	215	22	99 old wama	old woman	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
98	220	215	23		young man	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
99	220	215	24	98 99 young man	young woman	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
100	220	215	25	young wOman	chief	complete	high	visually read from physical p.264 / printed p.259; OCR ignored
101	221	216	1	shanan	shaman	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 101
102	221	216	2	corpse	corpse	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 102
103	221	216	3	spirit	spirit	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 103
104	221	216	4	ghost	ghost	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 104
105	221	216	5	evil spirit	evil spirit	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 105
106	221	216	6	god	god	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 106
107	221	216	7	đream	dream	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 107
108	221	216	8	story	story	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 108
109	221	216	9	eyebrow	eyebrow	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 109
110	221	216	10	beard	beard	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 110
111	221	216	11	fur	fur	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 111
112	221	216	12	Jaw	jaw	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 112
113	221	216	13	l13 chin	chin	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 113
114	221	216	14	cheek.	cheek	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 114
115	221	216	15	15 voicebax	voicebox	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 115
116	221	216	16	elboW	elbow	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 116
117	221	216	17	thigh	thigh	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 117
118	221	216	18	I18 buttock	buttock	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 118
119	221	216	19	19 heel	heel	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 119
120	221	216	20	120.ankle	ankle	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 120
121	221	216	21	backbone	backbone	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 121
122	221	216	22	saliva	saliva	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 122
123	221	216	23	tears	tears	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 123
124	221	216	24	l24 Seat	sweat	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 124
125	221	216	25	I25 earwax	earwax	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.265 / printed p.260 / item 125
126	222	217	1	nasal mucus	nasal mucus	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 126
127	222	217	2	vefn	vein	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 127
128	222	217	3	navel	navel	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 128
129	222	217	4	stamach	stomach	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 129
130	222	217	5	spleen	spleen	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 130
131	222	217	6	lung	lung	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 131
132	222	217	7	hoof	hoof	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 132
133	222	217	8	snout	snout	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 133
134	222	217	9	beak	beak	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 134
135	222	217	10	I35 belly	belly	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 135
136	222	217	11	heart	heart	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 136
137	222	217	12	liver	liver	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 137
138	222	217	13	intestine	intestine	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 138
139	222	217	14	kidney	kidney	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 139
140	222	217	15	breath	breath	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 140
141	222	217	16	teces	feces	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 141
142	222	217	17	urine	urine	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 142
143	222	217	18	lesah	flesh	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 143
144	222	217	19	Deat	meat	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 144
145	222	217	20	l45 tat	fat	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 145
146	222	217	21	horm	horn	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 146
147	222	217	22	47 tall	tail	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 147
148	222	217	23	l48 toather	feather	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 148
149	222	217	24	49 wing	wing	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 149
150	222	217	25		egg	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.266 / printed p.261 / item 150
151	223	218	1	clasN	claw	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 151
152	223	218	2	louse, head	louse, head	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 152
153	223	218	3	louse, body	louse, body	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 153
154	223	218	4	I54 leech, land	leech, land	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 154
155	223	218	5	I55 leech, water	leech, water	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 155
156	223	218	6	fly	fly	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 156
157	223	218	7	bee	bee	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 157
158	223	218	8	butterfly	butterfly	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 158
159	223	218	9	mosquito	mosquito	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 159
160	223	218	10	ant	ant	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 160
161	223	218	11	grasshopper	grasshopper	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 161
162	223	218	12	crab	crab	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 162
163	223	218	13	snalke	snake	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 163
164	223	218	14	rat	rat	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 164
165	223	218	15	dog	dog	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 165
166	223	218	16	pig	pig	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 166
167	223	218	17	wild pig	wild pig	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 167
168	223	218	18	\68 tiger	tiger	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 168
169	223	218	19	bear	bear	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 169
170	223	218	20	I70 monkey	monkey	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 170
171	223	218	21	71 deer, large	deer, large	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 171
172	223	218	22	I72. deer, smal	deer, small	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 172
173	223	218	23	I73 nest.	nest	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 173
174	223	218	24	74 rat hole	rat hole	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 174
175	223	218	25	n5 tlea	flea	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.267 / printed p.262 / item 175
176	224	219	1	I76 bedbug	bedbug	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 176
177	224	219	2	tick	tick	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 177
178	224	219	3	firefly	firefly	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 178
179	224	219	4	moth	moth	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 179
180	224	219	5	stick insect	stick insect	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 180
181	224	219	6	antis	mantis	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 181
182	224	219	7	beetle	beetle	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 182
183	224	219	8	wasp	wasp	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 183
184	224	219	9	centipede	centipede	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 184
185	224	219	10	scorpion	scorpion	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 185
186	224	219	11	snail	snail	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 186
187	224	219	12	termite	termite	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 187
188	224	219	13	caterpillar	caterpillar	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 188
189	224	219	14	WOLA	worm	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 189
190	224	219	15	I90 rondworm	roundworm	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 190
191	224	219	16	spider	spider	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 191
192	224	219	17	web	web	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 192
193	224	219	18	shell	shell	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 193
194	224	219	19	lobster	lobster	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 194
195	224	219	20	11zard	lizard	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 195
196	224	219	21	1% monitor	monitor	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 196
197	224	219	22	ython	python	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 197
198	224	219	23	19 crocodile	crocodile	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 198
199	224	219	24	9 turtle	turtle	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 199
200	224	219	25		tortoise	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.268 / printed p.263 / item 200
201	225	220	1	ROUSA	mouse	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 201
202	225	220	2	shrew	shrew	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 202
203	225	220	3	bamb0o rat	bamboo rat	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 203
204	225	220	4	squlrrel	squirrel	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 204
205	225	220	5	flying squirrel	flying squirrel	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 205
206	225	220	6	porcupine	porcupine	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 206
207	225	220	7	bat	bat	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 207
208	225	220	8	bird	bird	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 208
209	225	220	9	fowl	fowl	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 209
210	225	220	10	fish	fish	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 210
211	225	220	11	frog	frog	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 211
212	225	220	12	bamb00	bamboo	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 212
213	225	220	13	banb00, mountain	bamboo, mountain	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 213
214	225	220	14	cane	cane	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 214
215	225	220	15	thatch	thatch	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 215
216	225	220	16	yam	yam	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 216
217	225	220	17	taro	taro	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 217
218	225	220	18	cucunber	cucumber	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 218
219	225	220	19	banana	banana	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 219
220	225	220	20	20 rice	rice	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 220
221	225	220	21	21 rica, cook oked	rice, cooked	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 221
222	225	220	22	22 grain	grain	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 222
223	225	220	23	23 salt	salt	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 223
224	225	220	24	24 beer	beer	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 224
225	225	220	25	husk	husk	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.269 / printed p.264 / item 225
226	226	221	1	axe	axe	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 226
227	226	221	2	knífe	knife	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 227
228	226	221	3	bow	bow	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 228
229	226	221	4	29 arrow	arrow	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 229
230	226	221	5	needle	needle	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 230
231	226	221	6	rope	rope	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 231
232	226	221	7	net	net	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 232
233	226	221	8	mat	mat	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 233
234	226	221	9	hoe	hoe	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 234
235	226	221	10	ladder	ladder	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 235
236	226	221	11	tray	tray	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 236
237	226	221	12	shelf	shelf	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 237
238	226	221	13	broom	broom	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 238
239	226	221	14	oomb	comb	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 239
240	226	221	15	cloth	cloth	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 240
241	226	221	16	clothes	clothes	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 241
242	226	221	17	basket	basket	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 242
243	226	221	18	pot	pot	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 243
244	226	221	19	bamboopot	bamboo pot	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 244
245	226	221	20	drum	drum	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 245
246	226	221	21	24 amboo strips	bamboo strips	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 246
247	226	221	22	goard	gourd	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 247
248	226	221	23	netbag	netbag	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 248
249	226	221	24	mongocae	mongoose	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 249
250	226	221	25	50 narten	marten	complete	high	manual gloss verified visually; corresponding response row at physical PDF p.270 / printed p.265 / item 250
251	227	222	1	S1 ctvet	civet	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
252	227	222	2	wdldcat	wildcat	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
253	227	222	3	leopard	leopard	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
254	227	222	4	2S4 elephant	elephant	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
255	227	222	5	COW	cow	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
256	227	222	6	bull	bull	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
257	227	222	7	goat	goat	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
258	227	222	8	toad	toad	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
259	227	222	9	pheasant	pheasant	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
260	227	222	10	peacock	peacock	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
261	227	222	11	parrot	parrot	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
262	227	222	12	wildfowl	wildfowl	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
263	227	222	13	263	owl	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
264	227	222	14	vine	vine	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
265	227	222	15	mshroon	mushroom	complete	high	visually read from physical p.249 / printed p.244; OCR ignored
