Cell_Key,PDF_Page,Printed_Page,Row,Item,List_Key,Scope,Language_ID,Dialect_ID,Manual_Gloss,Manual_Form,Cell_Status,Confidence,Review_Method,Status,Reason,Citation,Entry_Key,Integration_Status,Integration_Reason
kurumba2012:tamil_madras:i017,217,212,17,17,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,fireplace,ʌɖuppu,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 17, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i017,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i018,217,212,18,18,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,cloud,megʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 18, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i018,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i019,217,212,19,19,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,sky,su:rjʌn,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible source colon retained literally; row association preserved as printed,"blairetal2012kurumba[Appendix C, printed p. 212, item 19, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i019,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i020,217,212,20,20,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,sun,vʌnʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,row association preserved as printed,"blairetal2012kurumba[Appendix C, printed p. 212, item 20, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i020,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i021,217,212,21,21,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,moon,tsʌɳɖirʌn,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 21, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i021,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i022,217,212,22,22,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,star,nʌttʃʌt̪rʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 22, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i022,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i023,217,212,23,23,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,wind,kat̪ru,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 23, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i023,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i024,217,212,24,24,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,hail,pʌnikkʌttimʌɻʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally; no word break visible in source,"blairetal2012kurumba[Appendix C, printed p. 212, item 24, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i024,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i025,217,212,25,25,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,rain,mʌɻʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally; interpretation deferred,"blairetal2012kurumba[Appendix C, printed p. 212, item 25, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i025,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i026,218,213,1,26,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,mountain,mʌlʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally,"blairetal2012kurumba[Appendix C, printed p. 213, item 26, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i026,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i027,218,213,2,27,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,path,pʌɖʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally,"blairetal2012kurumba[Appendix C, printed p. 213, item 27, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i027,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i028,218,213,3,28,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,"field, dry",mettunilʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,no word break visible in source,"blairetal2012kurumba[Appendix C, printed p. 213, item 28, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i028,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i029,218,213,4,29,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,"field, wet",paitʃʌlnilʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,no word break visible in source,"blairetal2012kurumba[Appendix C, printed p. 213, item 29, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i029,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i030,218,213,5,30,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,forest,kaɖu,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 450 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 30, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i030,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i031,218,213,6,31,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,sand,mʌnʌl',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally,"blairetal2012kurumba[Appendix C, printed p. 213, item 31, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i031,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i032,218,213,7,32,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,mud,puɻuɖi,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 450 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 32, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i032,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i033,218,213,8,33,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,branch,kilʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally,"blairetal2012kurumba[Appendix C, printed p. 213, item 33, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i033,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i034,218,213,9,34,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,tree trunk,ʌɖimʌrʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 450 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 34, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i034,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i035,218,213,10,35,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,tree stump,t̪ʌnɖumʌrʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 450 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 35, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i035,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i036,218,213,11,36,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,floor,t̪ʌrʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally,"blairetal2012kurumba[Appendix C, printed p. 213, item 36, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i036,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i037,218,213,12,37,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,roof,ku:rʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible colon and raised apostrophe retained literally,"blairetal2012kurumba[Appendix C, printed p. 213, item 37, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i037,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i038,218,213,13,38,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,door,kʌɖʌvʌ,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 450 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 38, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i038,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i039,218,213,14,39,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,wall,suvʌr,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 450 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 39, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i039,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i040,218,213,15,40,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,fence,veli,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 450 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 40, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i040,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i041,218,213,16,41,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,dew,pʌni,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 41, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i041,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i042,218,213,17,42,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,frost,,blank,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,missing,visually confirmed printed dash placeholder; no response form,"blairetal2012kurumba[Appendix C, printed p. 213, item 42, list Standard Tamil, Madras]",,excluded_blank_control,printed dash in a comparison-control list
kurumba2012:tamil_madras:i043,218,213,18,43,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,storm,puʃʌl,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 43, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i043,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i044,218,213,19,44,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,fog,pʌnimu:ttʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible colon retained literally,"blairetal2012kurumba[Appendix C, printed p. 213, item 44, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i044,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i045,218,213,20,45,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,thunder,jiɖi,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 45, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i045,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i046,218,213,21,46,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,lightning,minnʌl,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 46, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i046,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i047,218,213,22,47,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,rainbow,vʌnʌvil,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 213, item 47, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i047,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i048,218,213,23,48,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,earthquake,bu:miʌdirtʃtʃi,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible colon and two t+ʃ sequences preserved,"blairetal2012kurumba[Appendix C, printed p. 213, item 48, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i048,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i049,218,213,24,49,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,cliff,,blank,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,missing,visually confirmed printed dash placeholder; no response form,"blairetal2012kurumba[Appendix C, printed p. 213, item 49, list Standard Tamil, Madras]",,excluded_blank_control,printed dash in a comparison-control list
kurumba2012:tamil_madras:i050,218,213,25,50,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,cave,kugʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally,"blairetal2012kurumba[Appendix C, printed p. 213, item 50, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i050,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i051,219,214,1,51,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,hill,kunru,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 51 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 51, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i051,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i052,219,214,2,52,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,valley,pʌɭɭʌʈʈakku,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 52 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 52, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i052,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i053,219,214,3,53,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,river,naɖɪ,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 53 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 53, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i053,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i054,219,214,4,54,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,lake,,blank,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,missing,physical PDF p.219 / printed p.214 / item 54 / Tamil; four printed dashes confirmed in enlarged 450/900 dpi rendered cell,"blairetal2012kurumba[Appendix C, printed p. 214, item 54, list Standard Tamil, Madras]",,excluded_blank_control,printed dash in a comparison-control list
kurumba2012:tamil_madras:i055,219,214,5,55,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,sea,kʌɖʌl,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 55 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 55, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i055,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i056,219,214,6,56,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,person,aɭ,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 56 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 56, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i056,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i057,219,214,7,57,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,man,mʌnɪɖʌn,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 57 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 57, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i057,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i058,219,214,8,58,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,woman,mʌnusɪ,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 58 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 58, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i058,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i059,219,214,9,59,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,child (cf. 325),kuɭʌnɖʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 59 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 59, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i059,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i060,219,214,10,60,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,boy,pa'jʌn,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 60 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 60, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i060,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i061,219,214,11,61,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,girl,peɳ,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 61 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 61, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i061,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i062,219,214,12,62,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,name,peʃʌr,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 62 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 62, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i062,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i063,219,214,13,63,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,body,wuɖʌl,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,physical PDF p.219 / printed p.214 / item 63 / Tamil; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically,"blairetal2012kurumba[Appendix C, printed p. 214, item 63, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i063,excluded_control,comparison-control attestation retained audit-only
