Cell_Key	PDF_Page	Printed_Page	Row	Item	List_Key	Source_Label	Scope	Language_ID	Dialect_ID	OCR_Gloss_Scaffold	OCR_Form_Scaffold	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:tamil_madras:i011	217	212	11	11	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	12 thorn	mul	ver	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i012	217	212	12	12	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	13 house	vidu	muɭ	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i013	217	212	13	13	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	14 fire		vidu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i014	217	212	14	14	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras		puga !	t̪i	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i015	217	212	15	15	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	smoke		pugʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally; interpretation deferred
kurumba2012:tamil_madras:i016	217	212	16	16	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	ash	sanba l	sambʌl	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i017	217	212	17	17	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	fireplace	aquppu	ʌɖuppu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i018	217	212	18	18	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	cloud	megam	megʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i019	217	212	19	19	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	sky	suicljan	su:rjʌn	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible source colon retained literally; row association preserved as printed
kurumba2012:tamil_madras:i020	217	212	20	20	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	20		vʌnʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	row association preserved as printed
kurumba2012:tamil_madras:i021	217	212	21	21	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	Sun	vanam	tsʌɳɖirʌn	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i022	217	212	22	22	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	21 moon	tsnpd irAn	nʌttʃʌt̪rʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i023	217	212	23	23	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	22 star	nAttfatrAM	kat̪ru	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i024	217	212	24	24	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	23 wind	katru	pʌnikkʌttimʌɻʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally; no word break visible in source
kurumba2012:tamil_madras:i025	217	212	25	25	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	24 bai1	pan ikkattimaka !	mʌɻʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally; interpretation deferred
kurumba2012:tamil_madras:i026	218	213	1	26	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	mountain	MAla!	mʌlʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally
kurumba2012:tamil_madras:i027	218	213	2	27	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	path	Pada!	pʌɖʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally
kurumba2012:tamil_madras:i028	218	213	3	28	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	field, dry	mettun lan	mettunilʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	no word break visible in source
kurumba2012:tamil_madras:i029	218	213	4	29	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	field, wet	paitfalni lam	paitʃʌlnilʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	no word break visible in source
kurumba2012:tamil_madras:i030	218	213	5	30	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	forest	kaqu	kaɖu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 450 dpi render; OCR ignored
kurumba2012:tamil_madras:i031	218	213	6	31	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	sand	BANAI	mʌnʌl'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally
kurumba2012:tamil_madras:i032	218	213	7	32	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	mad	puķud	puɻuɖi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 450 dpi render; OCR ignored
kurumba2012:tamil_madras:i033	218	213	8	33	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	branch	klla!	kilʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally
kurumba2012:tamil_madras:i034	218	213	9	34	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	tree trunk	AdimACAm	ʌɖimʌrʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 450 dpi render; OCR ignored
kurumba2012:tamil_madras:i035	218	213	10	35	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	tree stump	tanqumarAB	t̪ʌnɖumʌrʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 450 dpi render; OCR ignored
kurumba2012:tamil_madras:i036	218	213	11	36	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	floor	$Ara	t̪ʌrʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally
kurumba2012:tamil_madras:i037	218	213	12	37	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	roof	kusra!	ku:rʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible colon and raised apostrophe retained literally
kurumba2012:tamil_madras:i038	218	213	13	38	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	door	kadava	kʌɖʌvʌ	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 450 dpi render; OCR ignored
kurumba2012:tamil_madras:i039	218	213	14	39	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	wall	SUVAC	suvʌr	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 450 dpi render; OCR ignored
kurumba2012:tamil_madras:i040	218	213	15	40	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	fence	veli	veli	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 450 dpi render; OCR ignored
kurumba2012:tamil_madras:i041	218	213	16	41	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	dew	pant	pʌni	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i042	218	213	17	42	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	frost			blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually confirmed printed dash placeholder; no response form
kurumba2012:tamil_madras:i043	218	213	18	43	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	storm	pujal	puʃʌl	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i044	218	213	19	44	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	4 tog	PAnimuttam	pʌnimu:ttʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible colon retained literally
kurumba2012:tamil_madras:i045	218	213	20	45	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	thunder		jiɖi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i046	218	213	21	46	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	l1ghtning		minnʌl	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i047	218	213	22	47	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	rainbOW	vanavl	vʌnʌvil	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i048	218	213	23	48	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	earthquake	buraladurtftf!	bu:miʌdirtʃtʃi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible colon and two t+ʃ sequences preserved
kurumba2012:tamil_madras:i049	218	213	24	49	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	cliff			blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually confirmed printed dash placeholder; no response form
kurumba2012:tamil_madras:i050	218	213	25	50	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	Cave	kuga	kugʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally
kurumba2012:tamil_madras:i051	219	214	1	51	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	hill	kuncu		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i052	219	214	2	52	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	valley	pallatfakku		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i053	219	214	3	53	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	river	nadi		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i054	219	214	4	54	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	lake			pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i055	219	214	5	55	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	sea	kaɖa!		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i056	219	214	6	56	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	person	al		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i057	219	214	7	57	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	man	MAn iɖan		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i058	219	214	8	58	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	woman	MANus|		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i059	219	214	9	59	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	child (cf. 325)	kuķanda'		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i060	219	214	10	60	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	boy	paJan		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i061	219	214	11	61	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	girl	pen		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i062	219	214	12	62	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	nae	pejar		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i063	219	214	13	63	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	body	wuɖal		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i064	219	214	14	64	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	head	$ala!		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i065	219	214	15	65	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	tace	mugAm		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i066	219	214	16	66	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	forehead	netri		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i067	219	214	17	67	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	hair	RAJr		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i068	219	214	18	68	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	body hair	---		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i069	219	214	19	69	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	eye	kAn		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i070	219	214	20	70	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	nose	mu kku		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i071	219	214	21	71	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	mouth	va h		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i072	219	214	22	72	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	1ip	wudaqu		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i073	219	214	23	73	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	tooth			pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i074	219	214	24	74	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	tongque	nakku		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i075	219	214	25	75	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	ear			pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i076	220	215	1	76	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	neck	kukuttu		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i077	220	215	2	77	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	throat	tonda!		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i078	220	215	3	78	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	shoulder	tol		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i079	220	215	4	79	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	back	mudugu		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i080	220	215	5	80	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	rib	vila		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i081	220	215	6	81	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	chest	marbu		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i082	220	215	7	82	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	breast	macbu		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i083	220	215	8	83	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	milk	pal		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i084	220	215	9	84	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	arm	ka!		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i085	220	215	10	85	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	ara, upper			pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i086	220	215	11	86	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	hard			pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i087	220	215	12	87	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	palm	ullagka!		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i088	220	215	13	88	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	finger	viral		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i089	220	215	14	89	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	fingermail	ka'nagam		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i090	220	215	15	90	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	leg	kal b		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i091	220	215	16	91	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	foot	padam		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i092	220	215	17	92	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	knee	mutt!		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i093	220	215	18	93	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	akin	tol		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i094	220	215	19	94	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	bone	Jelunbu		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i095	220	215	20	95	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	% blood	CASSAM		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i096	220	215	21	96	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	6 oldman	kikavan		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i097	220	215	22	97	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	99 old wama			pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i098	220	215	23	98	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras				pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i099	220	215	24	99	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	98 99 young man	vallban		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i100	220	215	25	100	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	young wOman	vallbapen		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i101	221	216	1	101	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	shanan	mApdcavad!		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i102	221	216	2	102	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	corpse	pinam		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i103	221	216	3	103	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	spirit	avi		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i104	221	216	4	104	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	ghost	pe:		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i105	221	216	5	105	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	evil spirit	Asutfaav i		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i106	221	216	6	106	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	god	kadaval		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i107	221	216	7	107	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	đream	kanaVA		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i108	221	216	8	108	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	story	kada		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i109	221	216	9	109	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	eyebrow	pucuvaR		pending				OCR is an untrusted locator only; transcribe from rendered scan
kurumba2012:tamil_madras:i110	221	216	10	110	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	beard	dadt		pending				OCR is an untrusted locator only; transcribe from rendered scan
