PDF_Page	Printed_Page	Items_First	Items_Last	Left_List	Right_List	Conceptual_Cells	Review_Status	Attested	Blank	Ambiguous	Illegible	Notes
236	231	476	500	tamil_madras	kannada_bangalore	50	complete	44	6	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; six printed-dash blanks confirmed
237	232	501	525	tamil_madras	kannada_bangalore	50	complete	46	4	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; four printed-dash blanks confirmed
238	233	526	550	tamil_madras	kannada_bangalore	50	complete	46	4	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; four printed-dash blanks confirmed
239	234	1	25	belavarthy	pudukkottai	50	complete	44	5	1	0	all 50 cells manually inspected from 450 dpi render; OCR ignored; Pudukkottai item 20 remains ambiguous and audit-only
240	235	26	50	belavarthy	pudukkottai	50	complete	26	24	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 26 attested and 24 printed-dash blanks; source notation retained diplomatically
241	236	51	75	belavarthy	pudukkottai	50	complete	45	5	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 45 attested and 5 printed-dash blanks; source notation retained diplomatically
242	237	76	100	belavarthy	pudukkottai	50	complete	35	15	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 35 attested and 15 printed-dash blanks; source notation retained diplomatically
243	238	101	125	belavarthy	pudukkottai	50	complete	4	46	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 4 attested and 46 printed-dash blanks; source notation retained diplomatically
244	239	126	150	belavarthy	pudukkottai	50	complete	20	30	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 20 attested and 30 printed-dash blanks; source notation retained diplomatically
245	240	151	175	belavarthy	pudukkottai	50	complete	21	29	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 21 attested and 29 printed-dash blanks; source notation retained diplomatically
246	241	176	200	belavarthy	pudukkottai	50	complete	1	49	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 1 attested and 49 printed-dash blanks; source notation retained diplomatically
247	242	201	225	belavarthy	pudukkottai	50	complete	23	27	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 23 attested and 27 printed-dash blanks; source notation retained diplomatically
248	243	226	250	belavarthy	pudukkottai	50	complete	24	26	0	0	All 50 Belavarthy/Pudukkottai cells manually inspected from 450 dpi render; OCR ignored; 24 attested and 26 printed-dash blanks; source notation retained diplomatically
249	244	251	275	belavarthy	pudukkottai	50	complete	3	47	0	0	all 50 cells manually inspected from 450 dpi render; OCR ignored; three Pudukkottai attestations and 47 printed-dash blanks
250	245	276	300	belavarthy	pudukkottai	50	complete	9	41	0	0	all 50 cells manually inspected from 450 dpi render; OCR ignored; nine attestations and 41 printed-dash blanks
251	246	301	325	belavarthy	pudukkottai	50	complete	40	10	0	0	all 50 cells manually inspected from 450/900 dpi renders; OCR ignored; 40 attestations and ten printed-dash blanks
252	247	326	350	belavarthy	pudukkottai	50	complete	24	26	0	0	All 50 cells and 25 prompts manually read from 450/900 dpi rendered source; OCR ignored; source IPA symbols and colons retained literally; printed dash placeholders recorded as blanks
253	248	351	375	belavarthy	pudukkottai	50	complete	13	37	0	0	All 50 cells manually inspected from 450 dpi render; OCR ignored; 13 attested and 37 printed-dash blanks; source notation retained diplomatically
254	249	376	400	belavarthy	pudukkottai	50	complete	26	24	0	0	All 50 cells manually inspected from 450 dpi render; OCR ignored; 26 attested and 24 printed-dash blanks; source notation retained diplomatically
255	250	401	425	belavarthy	pudukkottai	50	complete	10	40	0	0	All 50 cells manually inspected from 450 dpi render; OCR ignored; 10 attested and 40 printed-dash blanks; source notation retained diplomatically
256	251	426	450	belavarthy	pudukkottai	50	complete	5	45	0	0	All 50 cells manually inspected from 450 dpi render; OCR ignored; 5 attested and 45 printed-dash blanks; source notation retained diplomatically
257	252	451	475	belavarthy	pudukkottai	50	complete	14	36	0	0	All 50 cells manually inspected from 450 dpi render; OCR ignored; 14 attested and 36 printed-dash blanks; source notation retained diplomatically
258	253	476	500	belavarthy	pudukkottai	50	complete	2	48	0	0	All 50 cells manually inspected from 450 dpi render; OCR ignored; 2 attested and 48 printed-dash blanks; source notation retained diplomatically
259	254	501	525	belavarthy	pudukkottai	50	complete	8	42	0	0	All 50 cells manually inspected from 450 dpi render; OCR ignored; 8 attested and 42 printed-dash blanks; source notation retained diplomatically
260	255	526	550	belavarthy	pudukkottai	50	complete	10	40	0	0	All 50 cells manually inspected from 450 dpi render; OCR ignored; 10 attested and 40 printed-dash blanks; source notation retained diplomatically
261	256	1	25	kotagiri_alu	badaga_arvenu	50	complete	45	4	0	1	All 50 cells manually inspected from 450 dpi render; OCR ignored; 45 attested, 4 printed-dash blanks, and 1 illegible Kotagiri Alu cell recorded in unresolved_readings.tsv
262	257	26	50	kotagiri_alu	badaga_arvenu	50	complete	36	14	0	0	All 50 cells manually read from 450-dpi rendered source and enlarged crops; OCR ignored; source IPA symbols retained literally; printed dash placeholders recorded as blanks; prompt items 26-50 were already manually complete
263	258	51	75	kotagiri_alu	badaga_arvenu	50	complete	48	2	0	0	All 50 cells and 25 prompts manually read from 450-dpi rendered source and enlarged crops; OCR ignored; source IPA symbols and colons retained literally; printed dash placeholders recorded as blanks
264	259	76	100	kotagiri_alu	badaga_arvenu	50	complete	44	6	0	0	All 50 cells and 25 prompts manually read from 450-dpi rendered source and enlarged crops; OCR ignored; source IPA symbols, apostrophes, and colons retained literally; printed dash placeholders recorded as blanks
265	260	101	125	kotagiri_alu	badaga_arvenu	50	complete	37	13	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 37 attested and 13 printed-dash blanks; source notation retained diplomatically
266	261	126	150	kotagiri_alu	badaga_arvenu	50	complete	30	20	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 30 attested and 20 printed-dash blanks; source notation retained diplomatically
267	262	151	175	kotagiri_alu	badaga_arvenu	50	complete	38	12	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 38 attested and 12 printed-dash blanks; source notation retained diplomatically
268	263	176	200	kotagiri_alu	badaga_arvenu	50	complete	20	30	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 20 attested and 30 printed-dash blanks; source notation retained diplomatically
269	264	201	225	kotagiri_alu	badaga_arvenu	50	complete	29	21	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 29 attested and 21 printed-dash blanks; source notation retained diplomatically
270	265	226	250	kotagiri_alu	badaga_arvenu	50	complete	34	16	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 34 attested and 16 printed-dash blanks; source notation retained diplomatically
271	266	251	275	kotagiri_alu	badaga_arvenu	50	complete	32	18	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 32 attested and 18 printed-dash blanks; source notation retained diplomatically
272	267	276	300	kotagiri_alu	badaga_arvenu	50	complete	28	22	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 28 attested and 22 printed-dash blanks; source notation retained diplomatically
273	268	301	325	kotagiri_alu	badaga_arvenu	50	complete	49	1	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 49 attested and 1 printed-dash blank; source notation retained diplomatically
274	269	326	350	kotagiri_alu	badaga_arvenu	50	complete	40	10	0	0	All 50 cells manually read from 450/900-dpi rendered source and enlarged crops; OCR ignored; source IPA symbols, apostrophe, and colons retained literally; printed dash placeholders recorded as blanks; prompt items 326-350 were already manually complete
275	270	351	375	kotagiri_alu	badaga_arvenu	50	complete	31	19	0	0	All 50 cells manually read from 450-dpi rendered source and enlarged crops; OCR ignored; source IPA symbols and apostrophe retained literally; printed dash placeholders recorded as blanks; prompt items 351-375 were already manually complete
276	271	376	400	kotagiri_alu	badaga_arvenu	50	complete	48	2	0	0	All 50 cells manually read from 450-dpi rendered source and enlarged crops; OCR ignored; source IPA retained literally; two Kotagiri Alu printed-dash placeholders recorded as blanks
277	272	401	425	kotagiri_alu	badaga_arvenu	50	complete	44	6	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 44 attested and 6 printed-dash blanks; source notation retained diplomatically
278	273	426	450	kotagiri_alu	badaga_arvenu	50	complete	42	8	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 42 attested and 8 printed-dash blanks; source notation retained diplomatically
279	274	451	475	kotagiri_alu	badaga_arvenu	50	complete	44	6	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 44 attested and 6 printed-dash blanks; source notation retained diplomatically
280	275	476	500	kotagiri_alu	badaga_arvenu	50	complete	33	17	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 33 attested and 17 printed-dash blanks; source notation retained diplomatically
281	276	501	525	kotagiri_alu	badaga_arvenu	50	complete	33	17	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 33 attested and 17 printed-dash blanks; source notation retained diplomatically; original locator used one-anchor layout fallback
282	277	526	550	kotagiri_alu	badaga_arvenu	50	complete	20	30	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 20 attested and 30 printed-dash blanks; source notation retained diplomatically
283	278	1	25	kolar_kuruba	chitradurga_kuruba	50	complete	45	5	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 45 attested and 5 printed-dash blanks; source notation retained diplomatically
284	279	26	50	kolar_kuruba	chitradurga_kuruba	50	complete	34	16	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 34 attested and 16 printed-dash blanks; source notation retained diplomatically
285	280	51	75	kolar_kuruba	chitradurga_kuruba	50	complete	43	7	0	0	All 50 cells manually inspected from 450 dpi render and enlarged crops; OCR ignored; 43 attested and 7 printed-dash blanks; source notation retained diplomatically; original locator used one-anchor layout fallback
286	281	76	100	kolar_kuruba	chitradurga_kuruba	50	complete	41	9	0	0	All 50 cells manually read from 450/900-dpi rendered source and enlarged crops; OCR ignored; source IPA retained literally; nine Kolar printed-dash placeholders recorded as blanks; original locator used one-anchor-layout-fallback
287	282	101	125	kolar_kuruba	chitradurga_kuruba	50	complete	24	26	0	0	All 50 cells manually read from 450/900-dpi rendered source and enlarged crops; OCR ignored; source IPA retained literally; all 25 Kolar cells and Chitradurga item 111 are confirmed printed-dash blanks
288	283	126	150	kolar_kuruba	chitradurga_kuruba	50	complete	30	20	0	0	All 50 cells manually read from 450/900-dpi rendered source and enlarged crops; OCR ignored; source IPA retained literally; twenty printed-dash placeholders recorded as blanks
289	284	151	175	kolar_kuruba	chitradurga_kuruba	50	complete	26	24	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 289 locator note preserved: ocr-number-fit; slope=32.8590; items=151-175
290	285	176	200	kolar_kuruba	chitradurga_kuruba	50	complete	14	36	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 290 locator note preserved: ocr-number-fit; slope=21.7179; items=176-200
291	286	201	225	kolar_kuruba	chitradurga_kuruba	50	complete	18	32	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 291 locator note preserved: ocr-number-fit; slope=22.2328; items=201-225
292	287	226	250	kolar_kuruba	chitradurga_kuruba	50	complete	19	31	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 292 locator note preserved: ocr-number-fit; slope=24.2437; items=226-250
293	288	251	275	kolar_kuruba	chitradurga_kuruba	50	complete	16	34	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 293 locator note preserved: ocr-number-fit; slope=23.1227; items=251-275
294	289	276	300	kolar_kuruba	chitradurga_kuruba	50	complete	16	34	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 294 locator note preserved: ocr-number-fit; slope=4.3361; items=276-300
295	290	301	325	kolar_kuruba	chitradurga_kuruba	50	complete	16	34	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 295 locator note preserved: fixed-layout-fallback; slope=21.6216; items=301-325
296	291	326	350	kolar_kuruba	chitradurga_kuruba	50	complete	1	49	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 296 locator note preserved: ocr-number-fit; slope=33.6686; items=326-350
297	292	351	375	kolar_kuruba	chitradurga_kuruba	50	complete	12	38	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 297 locator note preserved: ocr-number-fit; slope=32.7800; items=351-375
298	293	376	400	kolar_kuruba	chitradurga_kuruba	50	complete	36	14	0	0	All 50 cells manually read from 450/900-dpi rendered source and enlarged crops; OCR ignored; source IPA and colon retained literally; fourteen printed-dash placeholders recorded as blanks
299	294	401	425	kolar_kuruba	chitradurga_kuruba	50	complete	5	45	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 299 locator note preserved: ocr-number-fit; slope=23.1662; items=401-425
300	295	426	450	kolar_kuruba	chitradurga_kuruba	50	complete	11	39	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 300 locator note preserved: ocr-number-fit; slope=32.8581; items=426-450
301	296	451	475	kolar_kuruba	chitradurga_kuruba	50	complete	23	27	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 301 locator note preserved: ocr-number-fit; slope=22.4586; items=451-475
302	297	476	500	kolar_kuruba	chitradurga_kurumba	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 302 locator note preserved: ocr-number-fit; slope=21.7248; items=476-500
303	298	501	525	kolar_kuruba	chitradurga_kuruba	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 303 locator note preserved: fixed-layout-fallback; slope=33.4152; items=501-525
304	299	526	550	kolar_kuruba	chitradurga_kuruba	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 304 locator note preserved: ocr-number-fit; slope=23.0119; items=526-550
305	300	1	25	buringi	madapalli	50	complete	48	2	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 305 locator note preserved: ocr-number-fit; slope=32.6941; items=1-25
306	301	26	50	buringi	madapalli	50	complete	10	40	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 306 locator note preserved: ocr-number-fit; slope=24.0605; items=26-50
307	302	51	75	buringi	madapalli	50	complete	41	9	0	0	All 50 cells manually read from 450 dpi rendered source; OCR ignored as transcription evidence; PDF 307 locator note preserved: ocr-number-fit; slope=34.2783; items=51-75
308	303	76	100	buringi	madapalli	50	complete	31	19	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 308: ocr-number-fit; slope=25.1238; items=76-100
309	304	101	125	buringi	madapalli	50	complete	3	47	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 309: ocr-number-fit; slope=23.5499; items=101-125
310	305	126	150	buringi	madapalli	50	complete	13	37	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 310: ocr-number-fit; slope=23.2905; items=126-150
311	306	151	175	buringi	madapalli	50	complete	13	37	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 311: ocr-number-fit; slope=23.1713; items=151-175
312	307	176	200	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 312: ocr-number-fit; slope=23.2895; items=176-200
313	308	201	225	buringi	madapalli	50	complete	13	37	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 313: ocr-number-fit; slope=23.3537; items=201-225
314	309	226	250	buringi	madapalli	50	complete	19	31	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 314: ocr-number-fit; slope=23.3104; items=226-250
315	310	251	275	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 315: ocr-number-fit; slope=23.3258; items=251-275
316	311	276	300	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 316: ocr-number-fit; slope=24.0621; items=276-300
317	312	301	325	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 317: ocr-number-fit; slope=23.4914; items=301-325
318	313	326	350	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 318: ocr-number-fit; slope=23.2719; items=326-350
319	314	351	375	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from full-page 450 dpi render because this scan has different geometry; OCR was locator/comparison scaffold only and supplied no transcription; PDF 319: ocr-number-fit; slope=16.6248; items=351-375
320	315	376	400	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 320: ocr-number-fit; slope=24.3559; items=376-400
321	316	401	425	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 321: ocr-number-fit; slope=23.2501; items=401-425
322	317	426	450	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 322: ocr-number-fit; slope=24.0654; items=426-450
323	318	451	475	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 323: ocr-number-fit; slope=23.8550; items=451-475
324	319	476	500	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 324: ocr-number-fit; slope=23.2967; items=476-500
325	320	501	525	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 325: ocr-number-fit; slope=23.3703; items=501-525
326	321	526	550	buringi	madapalli	50	complete	0	50	0	0	All 50 cells manually read from full-page 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 326: ocr-number-fit; slope=23.8240; items=526-550
327	322	1	25	kurumbatheru	thangiyadikuppam	50	complete	47	3	0	0	All 50 cells manually read from enlarged 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 327: ocr-number-fit; slope=15.2974; items=1-25
328	323	26	50	kurumbatheru	thangiyadikuppam	50	complete	9	41	0	0	All 50 cells manually read from full-page 450 dpi render because this scan has different geometry; OCR was locator/comparison scaffold only and supplied no transcription; PDF 328: ocr-number-fit; slope=16.2576; items=26-50
329	324	51	75	kurumbatheru	thangiyadikuppam	50	complete	40	10	0	0	All 50 cells manually read from enlarged 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 329: ocr-number-fit; slope=21.1345; items=51-75
330	325	76	100	kurumbatheru	thangiyadikuppam	50	complete	32	18	0	0	All 50 cells manually read from full-page 450 dpi render because this scan has different geometry; OCR was locator/comparison scaffold only and supplied no transcription; PDF 330: ocr-number-fit; slope=31.2746; items=76-100
331	326	101	125	kurumbatheru	thangiyadikuppam	50	complete	3	47	0	0	All 50 cells manually read from full-page 450 dpi render because this scan has different geometry; OCR was locator/comparison scaffold only and supplied no transcription; PDF 331: ocr-number-fit; slope=32.4103; items=101-125
332	327	126	150	kurumbatheru	thangiyadikuppam	50	complete	16	34	0	0	All 50 cells manually read from enlarged 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 332: ocr-number-fit; slope=22.6334; items=126-150
333	328	151	175	kurumbatheru	thangiyadikuppam	50	complete	24	26	0	0	All 50 cells manually read from enlarged 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 333: ocr-number-fit; slope=22.1874; items=151-175
334	329	176	200	kurumbatheru	thangiyadikuppam	50	complete	4	46	0	0	All 50 cells manually read from enlarged 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 334: ocr-number-fit; slope=23.4127; items=176-200
335	330	201	225	kurumbatheru	thangiyadikuppam	50	complete	16	34	0	0	All 50 cells manually read from full-page and enlarged 450 dpi renders; OCR was locator/comparison scaffold only and supplied no transcription; PDF 335 original locator note preserved: ocr-number-fit; slope=23.1639; items=201-225
336	331	226	250	kurumbatheru	thangiyadikuppam	50	complete	14	36	0	0	All 50 cells manually read from full-page and enlarged 450 dpi renders; OCR was locator/comparison scaffold only and supplied no transcription; PDF 336 original locator note preserved: ocr-number-fit; slope=22.9413; items=226-250
337	332	251	275	kurumbatheru	thangiyadikuppam	50	complete	0	50	0	0	All 50 printed-dash cells manually confirmed from the full-page 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 337 original locator note preserved: ocr-number-fit; slope=22.9228; items=251-275
338	333	276	300	kurumbatheru	thangiyadikuppam	50	complete	3	47	0	0	All 50 cells manually read from full-page and enlarged 450 dpi renders; OCR was locator/comparison scaffold only and supplied no transcription; PDF 338 original locator note preserved: ocr-number-fit; slope=22.0356; items=276-300
339	334	301	325	kurumbatheru	thangiyadikuppam	50	complete	17	33	0	0	All 50 cells manually read from full-page and enlarged 450 dpi renders, including dense number forms; OCR was locator/comparison scaffold only and supplied no transcription; PDF 339 original locator note preserved: ocr-number-fit; slope=23.8213; items=301-325
340	335	326	350	kurumbatheru	thangiyadikuppam	50	complete	9	41	0	0	All 50 cells manually read from full-page and enlarged 450 dpi renders, including dense kinship forms; OCR was locator/comparison scaffold only and supplied no transcription; PDF 340 original locator note preserved: ocr-number-fit; slope=22.5520; items=326-350
341	336	351	375	kurumbatheru	thangiyadikuppam	50	complete	7	43	0	0	All 50 cells manually read from full-page and enlarged 450 dpi renders; OCR was locator/comparison scaffold only and supplied no transcription; PDF 341 original locator note preserved: ocr-number-fit; slope=23.1371; items=351-375
342	337	376	400	kurumbatheru	thangiyadikuppam	50	complete	6	44	0	0	All 50 cells manually read from full-page and enlarged 450 dpi renders; OCR was locator/comparison scaffold only and supplied no transcription; PDF 342 original locator note preserved: ocr-number-fit; slope=23.1495; items=376-400
343	338	401	425	kurumbatheru	thangiyadikuppam	50	complete	0	50	0	0	All 50 printed-dash cells manually confirmed from the full-page 450 dpi render; OCR was locator/comparison scaffold only and supplied no transcription; PDF 343 original locator note preserved: ocr-number-fit; slope=23.9390; items=401-425
