entry_key	item	site_code	manual_variant_rank	role	source_variety	language_id	dialect_id	status	form	visible_base	gloss	group	physical_page	printed_page	evidence_sha256	manual_note	disposition	reason
silkochbd2011:i004:l:1	4	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	askuɨ̯		star	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i004:m:1	4	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	askuɨ̯		star	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i004:0:1	4	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	tara		star	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i005:b:1	5	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	gadla		cloud	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i005:c:1	5	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	gadla		cloud	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i005:q:1	5	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	ap		cloud	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i005:r:1	5	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	gadla		cloud	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i005:l:1	5	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	gadɨla		cloud	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i005:m:1	5	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	gadʒɨla		cloud	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i005:0:1	5	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	mɛgʰ		cloud	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i006:b:1	6	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	raŋ		rain	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i006:c:1	6	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	raŋ		rain	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i006:q:1	6	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	raŋ		rain	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i006:r:1	6	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	raŋ		rain	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i006:l:1	6	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	raŋ		rain	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i006:m:1	6	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	raŋ		rain	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i006:0:1	6	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	brɪʃtɪ		rain	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i007:b:1	7	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	ambiguous		ramdʰonuk	rainbow	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4	A small upper-right corner-like modifier follows final k; its value is not inferred.	excluded_ambiguous	visible base retained but an unresolved modifier is not inferred
silkochbd2011:i007:c:1	7	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	ambiguous		ramdʰonuk	rainbow	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4	A small upper-right corner-like modifier follows final k; its value is not inferred.	excluded_ambiguous	visible base retained but an unresolved modifier is not inferred
silkochbd2011:i007:q:1	7	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	rɔŋdʰonu		rainbow	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i007:r:1	7	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	rɔŋdʰonu		rainbow	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i007:l:1	7	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	blank			rainbow	0	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4	Printed “no entry”.	excluded_blank	printed no-entry cell
silkochbd2011:i007:m:1	7	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	tʃɛŋroŋ		rainbow	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i007:0:1	7	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	rɔŋdʰonu		rainbow	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i008:b:1	8	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	lampar		wind	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i008:c:1	8	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	lampar		wind	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i008:q:1	8	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	nampar		wind	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i008:r:1	8	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	lampar		wind	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i008:l:1	8	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	baluə̯		wind	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i008:m:1	8	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	baluə̯		wind	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i008:0:1	8	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	bataʃ		wind	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i009:b:1	9	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	raŋtʃim la̯uni		lightning	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i009:c:1	9	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	raŋtʃi lo̯uni		lightning	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i009:q:1	9	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	tʃilkai̯to		lightning	4	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i009:r:1	9	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	raŋkarni		lightning	5	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i009:l:1	9	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	raŋ dɪlɪppa		lightning	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i009:m:1	9	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	raŋ dɪlɪppa		lightning	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i009:0:1	9	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	bɪddut tʃɔmkano		lightning	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i010:b:1	10	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	blank			thunder	0	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4	Printed “no entry”.	excluded_blank	printed no-entry cell
silkochbd2011:i010:c:1	10	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	raŋpatni		thunder	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i010:q:1	10	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	karto		thunder	4	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i010:r:1	10	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	raŋkuŋni		thunder	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i010:l:1	10	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	raŋ kɨrɨŋwa		thunder	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i010:m:1	10	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	raŋ kɨrɨŋwa		thunder	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i010:0:1	10	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	mɛgʰ gɔɽdʒon		thunder	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i011:b:1	11	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	ʃagor		sea	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i011:c:1	11	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	ʃagor		sea	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i011:q:1	11	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	ʃagor		sea	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i011:r:1	11	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	ʃagor		sea	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i011:l:1	11	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	ʃagor		sea	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i011:m:1	11	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	ʃagor		sea	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i011:0:1	11	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	ʃagor		sea	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i012:b:1	12	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	bono		mountain	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i012:c:1	12	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	bono		mountain	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i012:q:1	12	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	pahaɽ		mountain	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i012:r:1	12	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	hakuŋ		mountain	4	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i012:l:1	12	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	blank			mountain	0	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4	Printed “no entry”.	excluded_blank	printed no-entry cell
silkochbd2011:i012:m:1	12	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	haʔpri		mountain	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i012:0:1	12	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	pahaɽ		mountain	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i013:b:1	13	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	ti		water	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i013:c:1	13	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	ti		water	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i013:q:1	13	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	tika		water	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i013:r:1	13	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	ti		water	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i013:l:1	13	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	tɨi̯		water	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i013:m:1	13	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	tɨi̯		water	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i013:0:1	13	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	pani		water	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i014:b:1	14	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	dʒora		river	2	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		staged_target	resolved Koch target-site attestation
silkochbd2011:i014:c:1	14	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	tʰoloŋ		river	3	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		staged_target	resolved Koch target-site attestation
silkochbd2011:i014:q:1	14	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	gaŋ		river	1	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		staged_target	resolved Koch target-site attestation
silkochbd2011:i014:r:1	14	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	timat		river	7	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		staged_target	resolved Koch target-site attestation
silkochbd2011:i014:l:1	14	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	tei̯ kʰar		river	4	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i014:m:1	14	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	tei̯ muŋ		river	5	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i014:0:1	14	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	nodi		river	6	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i015:b:1	15	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	haʔ		soil/ground	1	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		staged_target	resolved Koch target-site attestation
silkochbd2011:i015:c:1	15	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	haʔ		soil/ground	1	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		staged_target	resolved Koch target-site attestation
silkochbd2011:i015:q:1	15	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	haʔ		soil/ground	1	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		staged_target	resolved Koch target-site attestation
silkochbd2011:i015:r:1	15	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	haʔ		soil/ground	1	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		staged_target	resolved Koch target-site attestation
silkochbd2011:i015:l:1	15	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	haʔ		soil/ground	1	44	43	9130020f377bfb4fe457bb9f566ce8a06dfa3bd2ab69c5e71a8da3cd85ef8d4a		excluded_control	A’tong or standard Bangla comparison form retained audit-only
