legacy_row	item	site_code	manual_entry_key	manual_variant_rank	manual_physical_page	manual_printed_page	manual_gloss	manual_group	manual_status	manual_form	manual_visible_base	manual_note	legacy_pdf_page	legacy_group	legacy_status	legacy_raw_form	legacy_entry_key	legacy_reason	legacy_rows_for_manual	legacy_alias_retired	gloss_match	group_match	comparison
64	10	b	silkochbd2011:i010:b:1	1	43	42	thunder	0	blank			Printed “no entry”.	42	0	blank			printed gap: the item was not elicited at this site	1	false	true	true	blank_match
65	10	c	silkochbd2011:i010:c:1	1	43	42	thunder	1	attested	raŋpatni			42	1	unresolved	rapatni		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
66	10	r	silkochbd2011:i010:r:1	1	43	42	thunder	1	attested	raŋkuŋni			42	1	unresolved	rakuni		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
67	10	l	silkochbd2011:i010:l:1	1	43	42	thunder	2	attested	raŋ kɨrɨŋwa			42	2	unresolved	ra kwa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
68	10	m	silkochbd2011:i010:m:1	1	43	42	thunder	2	attested	raŋ kɨrɨŋwa			42	2	unresolved	ra kwa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
69	10	0	silkochbd2011:i010:0:1	1	43	42	thunder	3	attested	mɛgʰ gɔɽdʒon			42	3	unresolved	h m  don		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
70	10	q	silkochbd2011:i010:q:1	1	43	42	thunder	4	attested	karto			42	4	attested	karto	silkochbd2011:i010:q:1		1	false	true	true	form_exact
71	11	0	silkochbd2011:i011:0:1	1	43	42	sea	1	attested	ʃagor			42	1	unresolved	aor		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
72	11	b	silkochbd2011:i011:b:1	1	43	42	sea	1	attested	ʃagor			42	1	unresolved	aor		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
73	11	c	silkochbd2011:i011:c:1	1	43	42	sea	1	attested	ʃagor			42	1	unresolved	aor		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
74	11	l	silkochbd2011:i011:l:1	1	43	42	sea	1	attested	ʃagor			42	1	unresolved	aor		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
75	11	m	silkochbd2011:i011:m:1	1	43	42	sea	1	attested	ʃagor			42	1	unresolved	aor		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
76	11	q	silkochbd2011:i011:q:1	1	43	42	sea	1	attested	ʃagor			42	1	unresolved	aor		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
77	11	r	silkochbd2011:i011:r:1	1	43	42	sea	1	attested	ʃagor			42	1	unresolved	aor		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
78	12	l	silkochbd2011:i012:l:1	1	43	42	mountain	0	blank			Printed “no entry”.	42	0	blank			printed gap: the item was not elicited at this site	1	false	true	true	blank_match
79	12	b	silkochbd2011:i012:b:1	1	43	42	mountain	1	attested	bono			42	1	attested	bono	silkochbd2011:i012:b:1		1	false	true	true	form_exact
80	12	c	silkochbd2011:i012:c:1	1	43	42	mountain	1	attested	bono			42	1	attested	bono	silkochbd2011:i012:c:1		1	false	true	true	form_exact
81	12	m	silkochbd2011:i012:m:1	1	43	42	mountain	2	attested	haʔpri			42	2	unresolved	hapri		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
82	12	0	silkochbd2011:i012:0:1	1	43	42	mountain	3	attested	pahaɽ			42	3	unresolved	paha		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
83	12	q	silkochbd2011:i012:q:1	1	43	42	mountain	3	attested	pahaɽ			42	3	unresolved	paha		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
84	12	r	silkochbd2011:i012:r:1	1	43	42	mountain	4	attested	hakuŋ			42	4	unresolved	haku		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
85	13	l	silkochbd2011:i013:l:1	1	43	42	water	1	attested	tɨi̯			42	1	unresolved	ti 		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
86	13	m	silkochbd2011:i013:m:1	1	43	42	water	1	attested	tɨi̯			42	1	unresolved	ti 		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
87	13	b	silkochbd2011:i013:b:1	1	43	42	water	1	attested	ti			42	1	attested	ti	silkochbd2011:i013:b:1		1	false	true	true	form_exact
88	13	c	silkochbd2011:i013:c:1	1	43	42	water	1	attested	ti			42	1	attested	ti	silkochbd2011:i013:c:1		1	false	true	true	form_exact
89	13	r	silkochbd2011:i013:r:1	1	43	42	water	1	attested	ti			42	1	attested	ti	silkochbd2011:i013:r:1		1	false	true	true	form_exact
90	13	0	silkochbd2011:i013:0:1	1	43	42	water	2	attested	pani			42	2	attested	pani	silkochbd2011:i013:0:1		1	false	true	true	form_exact
91	13	q	silkochbd2011:i013:q:1	1	43	42	water	3	attested	tika			42	3	attested	tika	silkochbd2011:i013:q:1		1	false	true	true	form_exact
92	14	q	silkochbd2011:i014:q:1	1	44	43	river	1	attested	gaŋ			43	1	attested	ɡaŋ	silkochbd2011:i014:q:1		1	false	true	true	form_difference
93	14	b	silkochbd2011:i014:b:1	1	44	43	river	2	attested	dʒora			43	2	attested	ɖʒoɾa	silkochbd2011:i014:b:1		1	false	true	true	form_difference
94	14	c	silkochbd2011:i014:c:1	1	44	43	river	3	attested	tʰoloŋ			43	3	attested	tholoŋ	silkochbd2011:i014:c:1		1	false	true	true	form_difference
95	14	l	silkochbd2011:i014:l:1	1	44	43	river	4	attested	tei̯ kʰar			43	4	unresolved	tei � khar		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
96	14	m	silkochbd2011:i014:m:1	1	44	43	river	5	attested	tei̯ muŋ			43	5	unresolved	tei � muŋ		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
97	14	0	silkochbd2011:i014:0:1	1	44	43	river	6	attested	nodi			43	6	attested	nodi	silkochbd2011:i014:0:1		1	false	true	true	form_exact
98	14	r	silkochbd2011:i014:r:1	1	44	43	river	7	attested	timat			43	7	attested	timat	silkochbd2011:i014:r:1		1	false	true	true	form_exact
99	15	b	silkochbd2011:i015:b:1	1	44	43	soil/ground	1	attested	haʔ			43	1	attested	ha#	silkochbd2011:i015:b:1		1	false	true	true	form_difference
100	15	c	silkochbd2011:i015:c:1	1	44	43	soil/ground	1	attested	haʔ			43	1	attested	ha#	silkochbd2011:i015:c:1		1	false	true	true	form_difference
101	15	l	silkochbd2011:i015:l:1	1	44	43	soil/ground	1	attested	haʔ			43	1	attested	ha#	silkochbd2011:i015:l:1		1	false	true	true	form_difference
102	15	m	silkochbd2011:i015:m:1	1	44	43	soil/ground	1	attested	haʔ			43	1	attested	ha#	silkochbd2011:i015:m:1		1	false	true	true	form_difference
103	15	q	silkochbd2011:i015:q:1	1	44	43	soil/ground	1	attested	haʔ			43	1	attested	ha#	silkochbd2011:i015:q:1		1	false	true	true	form_difference
104	15	r	silkochbd2011:i015:r:1	1	44	43	soil/ground	1	attested	haʔ			43	1	attested	ha#	silkochbd2011:i015:r:1		1	false	true	true	form_difference
105	15	0	silkochbd2011:i015:0:1	1	44	43	soil/ground	2	attested	maʈi			43	2	attested	mati	silkochbd2011:i015:0:1		1	false	true	true	form_difference
106	16	l	silkochbd2011:i016:l:1	1	44	43	mud	1	attested	doba			43	1	attested	doba	silkochbd2011:i016:l:1		1	false	true	true	form_exact
107	16	m	silkochbd2011:i016:m:1	1	44	43	mud	1	attested	doba			43	1	attested	doba	silkochbd2011:i016:m:1		1	false	true	true	form_exact
108	16	b	silkochbd2011:i016:b:1	1	44	43	mud	2 | 3	attested	haʔdilɛka / kadoŋ		Exact repeated source response printed again under similarity group 3; preserve the repeated group in the conceptual-cell audit.	43	2	attested	ha#dilɛka / kadoŋ	silkochbd2011:i016:b:1		2	false	true	true	form_difference
109	16	c	silkochbd2011:i016:c:1	1	44	43	mud	2 | 3	attested	haʔdilɛka / kadoŋ		Exact repeated source response printed again under similarity group 3; preserve the repeated group in the conceptual-cell audit.	43	2	attested	ha#dilɛka / kadoŋ	silkochbd2011:i016:c:1		2	false	true	true	form_difference
110	16	r	silkochbd2011:i016:r:1	1	44	43	mud	2 | 3	attested	haʔdilɛka / kadoŋ		Exact repeated source response printed again under similarity group 3; preserve the repeated group in the conceptual-cell audit.	43	2	attested	ha#dilɛka / kadoŋ	silkochbd2011:i016:r:1		2	false	true	true	form_difference
111	16	q	silkochbd2011:i016:q:1	1	44	43	mud	2	attested	hadlika			43	2	attested	hadlika	silkochbd2011:i016:q:1		1	false	true	true	form_exact
112	16	0	silkochbd2011:i016:0:1	1	44	43	mud	3	attested	kada			43	3	attested	kada	silkochbd2011:i016:0:1		1	false	true	true	form_exact
113	16	b	silkochbd2011:i016:b:1	1	44	43	mud	2 | 3	attested	haʔdilɛka / kadoŋ		Exact repeated source response printed again under similarity group 3; preserve the repeated group in the conceptual-cell audit.	43	3	attested	ha#dilɛka / kadoŋ	silkochbd2011:i016:b:2		2	true	true	true	form_difference
114	16	c	silkochbd2011:i016:c:1	1	44	43	mud	2 | 3	attested	haʔdilɛka / kadoŋ		Exact repeated source response printed again under similarity group 3; preserve the repeated group in the conceptual-cell audit.	43	3	attested	ha#dilɛka / kadoŋ	silkochbd2011:i016:c:2		2	true	true	true	form_difference
115	16	r	silkochbd2011:i016:r:1	1	44	43	mud	2 | 3	attested	haʔdilɛka / kadoŋ		Exact repeated source response printed again under similarity group 3; preserve the repeated group in the conceptual-cell audit.	43	3	attested	ha#dilɛka / kadoŋ	silkochbd2011:i016:r:2		2	true	true	true	form_difference
116	17	b	silkochbd2011:i017:b:1	1	44	43	dust	1	attested	hapu			43	1	attested	hapu	silkochbd2011:i017:b:1		1	false	true	true	form_exact
117	17	c	silkochbd2011:i017:c:1	1	44	43	dust	1	ambiguous		haput	A small upper-right corner-like modifier follows final t; its value is not inferred.	43	1	attested	haput̚	silkochbd2011:i017:c:1		1	false	true	true	manual_excludes_legacy_installed_ambiguous
118	17	r	silkochbd2011:i017:r:1	1	44	43	dust	1	ambiguous		haput	A small upper-right corner-like modifier follows final t; its value is not inferred.	43	1	attested	haput̚	silkochbd2011:i017:r:1		1	false	true	true	manual_excludes_legacy_installed_ambiguous
119	17	m	silkochbd2011:i017:m:1	1	44	43	dust	2	attested	hadula			43	2	attested	hadula	silkochbd2011:i017:m:1		1	false	true	true	form_exact
120	17	l	silkochbd2011:i017:l:1	1	44	43	dust	3	attested	habukʰu			43	3	attested	habukhu	silkochbd2011:i017:l:1		1	false	true	true	form_difference
121	17	0	silkochbd2011:i017:0:1	1	44	43	dust	4	attested	dʰula			43	4	attested	dhula	silkochbd2011:i017:0:1		1	false	true	true	form_difference
122	17	q	silkochbd2011:i017:q:1	1	44	43	dust	5	attested	haʃɛŋ			43	5	attested	haʃɛŋ	silkochbd2011:i017:q:1		1	false	true	true	form_exact
123	18	b	silkochbd2011:i018:b:1	1	44	43	stone	1	attested	loŋtʰai̯			43	1	unresolved	loŋthai �		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
124	18	c	silkochbd2011:i018:c:1	1	44	43	stone	1	attested	loŋtʰai̯			43	1	unresolved	loŋthai �		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
125	18	r	silkochbd2011:i018:r:1	1	44	43	stone	1	attested	loŋtʰai̯			43	1	unresolved	loŋthai �		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
126	18	q	silkochbd2011:i018:q:1	1	44	43	stone	1	attested	loŋtʰɛŋ			43	1	attested	loŋthɛŋ	silkochbd2011:i018:q:1		1	false	true	true	form_difference
127	18	l	silkochbd2011:i018:l:1	1	44	43	stone	1	attested	roŋtʰai̯			43	1	unresolved	roŋthai �		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
128	18	m	silkochbd2011:i018:m:1	1	44	43	stone	1	attested	roŋtʰai̯			43	1	unresolved	roŋthai �		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
129	18	0	silkochbd2011:i018:0:1	1	44	43	stone	2	attested	patʰor			43	2	attested	pathor	silkochbd2011:i018:0:1		1	false	true	true	form_difference
130	19	m	silkochbd2011:i019:m:1	1	44	43	sand	1	attested	hanʔtʃɛŋ			43	1	attested	han#tʃɛŋ	silkochbd2011:i019:m:1		1	false	true	true	form_difference
131	19	c	silkochbd2011:i019:c:1	1	44	43	sand	1 | 2	attested	hatʃɛŋ		Exact repeated source response printed again under similarity group 2; preserve the repeated group in the conceptual-cell audit.	43	1	attested	hatʃɛŋ	silkochbd2011:i019:c:1		2	false	true	true	form_exact
132	19	l	silkochbd2011:i019:l:1	1	44	43	sand	1 | 2	attested	hatʃɛŋ		Exact repeated source response printed again under similarity group 2; preserve the repeated group in the conceptual-cell audit.	43	1	attested	hatʃɛŋ	silkochbd2011:i019:l:1		2	false	true	true	form_exact
133	19	c	silkochbd2011:i019:c:1	1	44	43	sand	1 | 2	attested	hatʃɛŋ		Exact repeated source response printed again under similarity group 2; preserve the repeated group in the conceptual-cell audit.	43	2	attested	hatʃɛŋ	silkochbd2011:i019:c:2		2	true	true	true	form_exact
134	19	l	silkochbd2011:i019:l:1	1	44	43	sand	1 | 2	attested	hatʃɛŋ		Exact repeated source response printed again under similarity group 2; preserve the repeated group in the conceptual-cell audit.	43	2	attested	hatʃɛŋ	silkochbd2011:i019:l:2		2	true	true	true	form_exact
135	19	q	silkochbd2011:i019:q:1	1	44	43	sand	2	attested	haʃɛŋ			43	2	attested	haʃɛŋ	silkochbd2011:i019:q:1		1	false	true	true	form_exact
136	19	b	silkochbd2011:i019:b:1	1	44	43	sand	2	attested	hasɛŋ			43	2	attested	hasɛŋ	silkochbd2011:i019:b:1		1	false	true	true	form_exact
137	19	r	silkochbd2011:i019:r:1	1	44	43	sand	2	attested	hasɛŋ			43	2	attested	hasɛŋ	silkochbd2011:i019:r:1		1	false	true	true	form_exact
138	19	0	silkochbd2011:i019:0:1	1	44	43	sand	3	attested	bali			43	3	attested	bali	silkochbd2011:i019:0:1		1	false	true	true	form_exact
139	20	0	silkochbd2011:i020:0:1	1	44	43	gold	1	attested	ʃona			43	1	attested	ʃona	silkochbd2011:i020:0:1		1	false	true	true	form_exact
140	20	b	silkochbd2011:i020:b:1	1	44	43	gold	1	attested	ʃona			43	1	attested	ʃona	silkochbd2011:i020:b:1		1	false	true	true	form_exact
141	20	c	silkochbd2011:i020:c:1	1	44	43	gold	1	attested	ʃona			43	1	attested	ʃona	silkochbd2011:i020:c:1		1	false	true	true	form_exact
142	20	l	silkochbd2011:i020:l:1	1	44	43	gold	1	attested	ʃona			43	1	attested	ʃona	silkochbd2011:i020:l:1		1	false	true	true	form_exact
143	20	m	silkochbd2011:i020:m:1	1	44	43	gold	1	attested	ʃona			43	1	attested	ʃona	silkochbd2011:i020:m:1		1	false	true	true	form_exact
144	20	q	silkochbd2011:i020:q:1	1	44	43	gold	1	attested	ʃona			43	1	attested	ʃona	silkochbd2011:i020:q:1		1	false	true	true	form_exact
145	20	r	silkochbd2011:i020:r:1	1	44	43	gold	1	attested	ʃona			43	1	attested	ʃona	silkochbd2011:i020:r:1		1	false	true	true	form_exact
146	21	0	silkochbd2011:i021:0:1	1	44	43	silver	1	attested	rupa			43	1	attested	rupa	silkochbd2011:i021:0:1		1	false	true	true	form_exact
147	21	b	silkochbd2011:i021:b:1	1	44	43	silver	1	attested	rupa			43	1	attested	rupa	silkochbd2011:i021:b:1		1	false	true	true	form_exact
