292     aṉal                 Tamil      
d664    uraṇṭu               Kannada    to roll, roll down, revolve, be turned over
d664    uraṇe                Kannada    roller for moving logs
d689    uraṇè                Tulu       a kind of comb. <i>

d651    ural                 Tamil      mortar, mould for making vermicelli or the like
d651    ural                 Malayalam  wooden mortar for beating rice
d651    uraḷů                Tulu       a large mortar
d655    ural                 Kannada    a running knot, noose, snare
d655    uralu                Telugu     to be caught in a snare. <i>
d656    ural                 Kannada    fuel
d656    uralu                Telugu     to burn (<i>intr.</i>), be ablaze
d664    uraḷu                Kannada    to roll, roll down, revolve, be turned over
d664    uraḷi                Kannada    a ball, bulb, round vessel of earth or metal
d664    ural                 Kannada    rolling, roundness
d664    uralu                Kodagu     to roll, roll down, fall down
d665    ural                 Tamil      
d688    uralů                Kodagu     a ploughman's or herdsman's song

d651    oral                 Kannada    mortar of stone or hard wood
d651    oraḷ                 Kannada    mortar of stone or hard wood
d651    oralů                Tulu       
d651    oraḷů                Tulu       a large mortar
d664    oralu                Kodagu     to toss in sleeplessness. <i>
d688    oralů                Kodagu     a ploughman's or herdsman's song
d688    oraḷů                Kodagu     a ploughman's or herdsman's song
d988    oraḷe                Kannada: Havyaka 
d988    orale                Tulu       id. <i>

d651    orḷu                 Kannada    mortar of stone or hard wood
d718    orlu                 Kannada    to cry out from pain, scream; <i>n.</i> outcry, scream, snarl

d655    urul                 Kannada    a running knot, noose, snare
d655    uruḷ                 Kannada    a running knot, noose, snare
d655    urulu                Telugu     to be caught in a snare. <i>
d664    uruḷ (uruḷv-, uruṇṭ-) Tamil      to roll, tumble over and over, revolve (as a wheel), spin, become round, globular; <i>n.</i> car wheel, wheeled vehicle
d664    uruḷai               Tamil      wheel, anything that rolls or turns (as a ball)
d664    uruḷ                 Malayalam  circular, a wheel, rolling wave
d664    uruḷuka (uruṇṭ-)     Malayalam  to roll (<i>intr.</i>), toss, revolve
d664    uruḷa                Malayalam  a ball
d664    uruḷca               Malayalam  rolling, roundness
d664    uruḷi                Malayalam  cauldron to boil 4-5 measures of rice
d664    uruḷ                 Kannada    to roll, roll down, revolve, be turned over
d664    uruḷi                Kannada    a ball, bulb, round vessel of earth or metal
d664    uruḷu                Kannada    rolling, roundness
d664    uruḷike              Kannada    rolling, revolving
d664    uruḷicu              Kannada    to cause to roll, etc
d664    uruḷisu              Kannada    to cause to roll, etc
d664    uruḷcu               Kannada    to cause to roll, etc

d655    urlu                 Kannada    a running knot, noose, snare
d655    urḷu                 Kannada    a running knot, noose, snare
d655    urlu                 Tulu       a noose, snare
d656    urlu                 Kannada    fuel
d664    urḷu                 Kannada    to roll, roll down, revolve, be turned over
d664    urḷu                 Kannada    rolling, roundness
d664    urlu                 Kannada    rolling, roundness
d664    urlu                 Kodagu     to roll, roll down, fall down

d664    urḷi                 Kannada    a ball, bulb, round vessel of earth or metal
d994    urli                 Manda      id
d1605   urli                 Kuwi       see 994. DEDS 224

d674    ular (-v-, -nt-)     Tamil      to become dry, wither, be parched up, pine away, droop
d674    ularcci              Tamil      dryness, withered state, emaciated condition, weariness of the mind
d674    ularttu (ulartti-)   Tamil      to dry (<i>tr.</i>), desiccate
d674    ularuka              Malayalam  to dry
d674    ularcca              Malayalam  dryness
d674    ularttuka            Malayalam  to dry (<i>tr.</i>), air. DED 581
d674    ularkkuka            Malayalam  to dry (<i>tr.</i>), air. DED 581
d689    uḷar (-v-, -nt-; uḷari-) Tamil      to spread out and draw the fingers through (as in drying wet hair), adjust or smooth out as birds their feathers

d810    elal                 Kannada    wind, air
d855    eḷal                 Toda       ease, easy. DED 727

d1274   karl                 Kota       heart, mind, desire; ?
d1274   karḷu                Kannada    an entrail, the bowels; love
d1274   karlů                Tulu       the bowels, the liver. DED(S, N) 1070
d1466   karlu                Kannada    salt land

d1774   korḷu                Kannada    sound, voice, throat, neck
d1818   korl                 Kota       tube
d2163   korly                Kota       id. (&lt; Badaga)
d2163   korle                Kannada    a kind of millet, <i>Panicum italicum</i> Lin

d1778   kurluni              Tulu       to contract, shrivel, sink in
d1778   kurlụ                Tulu       contraction
d1791   kurl                 Kota       young cow (up to three years)
d1791   kurlè                Tulu       a tender plantain tree, a young pig, the fresh shoots of grain, (B-K.) a baby
d1794   kurḷu                Kannada    curl, lock of hair, hair

d2937   lōḷu                 Kannada    saliva, slaver, tenacious mucus, phlegm
d3726   lōlu                 Kuwi       thread. ?

d3139   tarla                Kuwi       leaf coat covering the back
d3192   tarḷu                Kannada    a ripe fruit that has become dry, esp. a coconut

d3322   relli tuppa          Kuwi       bulrush (see 5171)
d5171   reḷḷu                Kannada    a reed used to write with, <i>Saccharum sara.</i>
d5171   rellu                Telugu     a reed
d5171   relli tuppa          Kuwi       bulrush (see 3322). DED 4244

