Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	Printed_Page	Response	Review
8	wind	1	pr hut	pɨr hut	D	57	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	1	por hut	por hut	A	57	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	2	s r	sɨ rɨ	CJ	57	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	2	s re	sɨ re	BI	57	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	3	s re	sɨ re	BI	57	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	3	sa ra	sa ra	E	57	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	4	ke	keʔ	F	57	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	5	le et	le et	G	57	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	6	l r	lɨ ɛr	L	57	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	6	l ir	lɨŋ ir	H	57	10	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	7	r	ɛr	K	57	11	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	1	kndar	kɨndar	A	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	1	kendar	kendar	B	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	2	phi	phʃi	C	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	2	phua	phʃua̯	D	58	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	3	kmbli	kɨmbliŋ	EHJ	58	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	4	pr tht	pɨr thɔt	F	58	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	5	rba	ʈʃɨrbaŋ	G	58	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	6	d ar	dʒɪŋ ʃar	L	58	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	6	d ei	dʒɪŋ ʃei̯	K	58	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	1	kr hu	kɨr hu	D	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	1	kr hum	kɨr hum	EI	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	1	kor hu	kor hu	A	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	2	kr hum	kɨr hum	EI	58	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	2	kro hom	kro hom	C	58	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	3	kdur	kdur	G	58	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	3	krur	krur	B	58	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	4	prthat	pɨrthat	FKL	58	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	5	psir	psiə̯r	J	58	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
11	sea	1	duriou	duriou̯	ABCDEFHIJKL	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
11	sea	2	kamai duri	kamai̯ duri	G	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	1	pde	pdeŋ	ABCDFJ	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	2	lum	lum	G	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	2	ru m	ru əm	L	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	3	dm	dɔm	H	58	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	4	lmba	ləmba	K	58	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
13	water	1	am	am	ABCDEIJ	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
13	water	2	um	um	FGKL	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
13	water	3	um	gum	H	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
14	river	1	wa	waʔ	ABCDEFGIJL	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
14	river	2	pr	pɔr	H	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
14	river	3	katu	katu	K	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	1	khu	khʈʃu	ABCDEI	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	1	khue	khʈʃue̯	J	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	2	khn dao	khɨn dao̯	G	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	2	khn deo	khɨn deo̯	L	58	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	2	khn dua	khɨn dua̯	F	58	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	2	khen du	khen du	K	58	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	3	kmia	kmia̯ŋ	H	58	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	1	mla	mla	ABCDEI	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	1	ml	mlɛ	J	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	2	dp	dɔp	F	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	3	khtt	khtɪt	G	58	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	4	dir	ədir	H	58	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	5	tiek	tie̯k	L	58	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	6	kta	ktaʔ	K	58	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	1	r pho	ʈʃər phoʔ	J	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	1	er pho	ʈʃer phoʔ	CD	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	1	er phuo	ʈʃer phuo̯ʔ	B	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	1	r phu	ʈʃɪr phuʔ	EI	58	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	1	ur pho	ʈʃur phoʔ	A	58	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	2	tdem	tdem	F	58	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	3	sm phu	sɨm phu	G	58	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	4	dmut	dɨmut	H	58	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	6	pum pum	pum pum	L	58	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	7	dobo	dʒoboʔ	K	58	10	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
18	stone	1	mia	ʃmia̯	BCDIJ	58	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
18	stone	1	smia	smia̯	AE	58	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
18	stone	2	mao	mao̯	FHK	58	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
18	stone	3	m	mɔ	G	58	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
18	stone	4	erio	erio̯ŋ	L	58	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	1	sr wu	sɨr wu	CD	59	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	1	ser wu	ser wu	BI	59	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	1	sr wu	sɪr wu	E	59	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	1	soruwu	soruwu	A	59	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	2	iap	ʃia̯p	KL	59	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	2	si ip	si iə̯p	FJ	59	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	3	uwe	ʃuwe	G	59	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	4	dmiak	dʒmia̯k	H	59	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
20	gold	1	khsi	khsi	ABCDEIJ	59	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
20	gold	1	khsiar	khsia̯r	FGH	59	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
20	gold	1	ksiar	ksia̯r	KL	59	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	1	da de	daŋ dʒe	A	59	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	1	da je	daŋ je	CD	59	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	1	da jia	daŋ jia̯	J	59	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	1	na ne	naŋ ne	G	59	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	2	da hn j	daŋ hɨn jɨ	I	59	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	2	da hn je	daŋ hɨn je	E	59	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	2	ja hen le	ja hen le	B	59	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	3	la tia	la tia̯	F	59	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	4	hn ta	hɨn ta	H	59	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	5	min ta ka si	min ta ka sŋi	L	59	10	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	6	tani	tani	K	59	11	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	1	dan hen mit	dan hen mit	B	59	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	1	da hmit	daŋ hmit	ACDEIJ	59	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	2	dam ni	dam niŋ	F	59	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	2	na ni	naŋ niŋ	G	59	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	3	mot nao	mot nao̯	H	59	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	4	hn nin	hɨn nin	L	59	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	4	mn nin	mɨn nin	K	59	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	1	ja hn ti	ja hɨn ti	CE	59	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	1	ja hen ti	ja hen ti	AB	59	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	1	la hn ti	la hɨn ti	I	59	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	1	la hnti	la hɨnti	J	59	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	2	da o hmit	daŋ ʃo hmit	D	59	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	3	lm rod	ləm rod	F	59	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	4	mert	merɪt	G	59	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	5	rtip	rɨtip	H	59	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	6	la step	la step	K	59	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	7	la ai	la ʃai̯	L	59	10	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	1	k u	kɨ ʈʃu	DEI	59	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	1	k u	kɨ ʈʃuə̯	J	59	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	1	ke u	ke ʈʃu	B	59	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	1	ku u	ku ʈʃu	A	59	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	2	itajieo	ʃitajie̯o̯	F	59	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	2	itiao	ʈʃitia̯o̯	G	59	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	3	tiu	tiu̯	H	59	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	4	ta ju	ta ju	K	59	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	4	tai jo	tai̯ jo	L	59	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	1	pnu	pnu	ABCDEI	59	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	1	pnua	pnua̯	J	59	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	1	pnui	pnui̯	L	59	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	2	bnai	bnai̯	GKL	59	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	2	bni	bni	H	59	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	2	mne	mne	F	59	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
27	year	1	snem	snem	ABCDEGIJK	59	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
27	year	1	snm	snɪm	FHL	59	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	1	 	ʃɨŋ ŋɛ	J	60	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	1	i a	ʃiŋ ŋa	C	60	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	1	s a	sɨŋ ŋa	ABE	60	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	1	s ei	sɨŋ ŋei̯	H	60	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	1	si i	siŋ ŋi	F	60	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	2	ju a	juŋ ŋa	I	60	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	2	ju a	ɲjuŋ ŋa	D	60	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	2	 	ʃɨŋ ŋɛ	J	60	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	2	i a	ʃiŋ ŋa	C	60	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	2	s a	sɨŋ ŋa	ABE	60	10	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	2	s ei	sɨŋ ŋei̯	H	60	11	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	3	si	sŋi	K	60	12	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	3	sni	sni	G	60	13	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	1	korti	korti	CE	60	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	1	kurti	kurti	A	60	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	2	r ti	rɨ ti	DJ	60	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	2	re ti	re ti	B	60	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	3	ja ui	ja ʈʃui̯	I	60	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	4	m se tun	mɨ se tun	F	60	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	5	step	step	G	60	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	6	snsi	sɨnsi	H	60	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	7	mn stp	mɨn stɨp	L	60	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	7	men step	men step	K	60	10	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	1	mt	mɪt	G	60	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	1	smt	smɪt	ABDEIJ	60	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	2	dan miet	dʒan mie̯t	L	60	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	2	danmot	dʒanmot	H	60	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	2	den mt	dʒen mɪt	K	60	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	2	mnmt	mɨnmɪt	F	60	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	1	l	lɨŋŋɔʔ	BCDEI	60	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	2	sn nja	sɨn nja	F	60	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	3	siao	sia̯o̯	G	60	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	4	miet	mie̯t	KL	60	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	4	mot	mot	H	60	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	5	lama	lamaʔ	AJ	60	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
