Item	Site	Response	Transcription	Review	Uncertainty
13	KUN	1	muŋgoɪ	reviewed	source-raster-legacy-glyph-ɪ
13	KOL	1	koɖuŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	CHE	1	mon̪ʌkkʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	KIL	1	mon̪ʌkkʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	MET	1	mon̪ʌŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	CHO	1	koɖɨŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	MAV	1	muŋgoɪ	reviewed	source-raster-legacy-glyph-ɪ
13	ANA	1	muŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
13	BOO	1	moɭʌsʌɳɖɨ	reviewed	source-raster-coronal
13	THA	1	mʌɳikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	NEL	1	mon̪ʌŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
14	KUN	1	ʌŋgoɪ	reviewed	source-raster-legacy-glyph-ɪ
14	KOL	1	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	CHE	1	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	KIL	1	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	MET	1	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	CHO	1	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	MAV	1	ʌŋgoɪ	reviewed	source-raster-legacy-glyph-ɪ
14	ANA	1	ʌsɭʌ	reviewed	source-raster-coronal
14	BOO	1	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	THA	1	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	NEL	1	uɭɭʌŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
15	KUN	1	ʋeɾʌɭɨ	reviewed	source-raster-coronal; source-raster-vowel
15	KOL	1	ʋiɾʌ	reviewed	
15	CHE	1	ʋiɾʌ	reviewed	
15	KIL	1	ʋiɾʌ	reviewed	
15	MET	1	ʋiɾʌ	reviewed	
15	CHO	1	ʋʌɾʌɭɨ	reviewed	source-raster-coronal
15	MAV	1	ʋiɾʌ	reviewed	
15	ANA	1	ʋʌɾʌɭɨ	reviewed	source-raster-coronal
15	BOO	1	beɭɨ	reviewed	source-raster-coronal
15	THA	1	ʋeɾʌɭ	reviewed	source-raster-coronal; source-raster-vowel
15	NEL	1	ʋeɾʌɭɨ	reviewed	source-raster-coronal; source-raster-vowel
16	KUN	1	uguɾɨ	reviewed	
16	KOL	1	uguɾu	reviewed	
16	CHE	1	uguɾu	reviewed	
16	KIL	1	uguɾu	reviewed	
16	MET	1	uguɾɨ	reviewed	
16	CHO	1	uguɾu	reviewed	
16	MAV	1	uguɾu	reviewed	
16	ANA	1	uguɾɨ	reviewed	
16	BOO	1	uguɾɨ	reviewed	
16	THA	1	nʌgʌ	reviewed	source-raster-vowel
16	NEL	1	nehʌm	reviewed	source-raster-vowel
17	KUN	1	kɑl	reviewed	source-raster-vowel
17	KOL	1	kɑlɨ	reviewed	source-raster-vowel
17	CHE	1	kɑlɨ	reviewed	source-raster-vowel
17	KIL	1	kɑl	reviewed	source-raster-vowel
17	MET	1	kɑlɨ	reviewed	source-raster-vowel
17	CHO	1	kɑlɨ	reviewed	source-raster-vowel
17	MAV	1	kɑlɨ	reviewed	source-raster-vowel
17	ANA	1	kɑlɨ	reviewed	source-raster-vowel
17	BOO	1	kɑlɨ	reviewed	source-raster-vowel
17	THA	1	kɑl	reviewed	source-raster-vowel
17	NEL	1	kɑlɨ	reviewed	source-raster-vowel
18	KUN	1	t̪olɨ	reviewed	source-raster-coronal
18	KOL	1	t̪olu	reviewed	source-raster-coronal
18	CHE	1	t̪olɨ	reviewed	source-raster-coronal
18	KIL	1	t̪olɨ	reviewed	source-raster-coronal
18	MET	1	t̪ol	reviewed	source-raster-coronal
18	CHO	1	t̪olɨ	reviewed	source-raster-coronal
18	MAV	1	t̪olu	reviewed	source-raster-coronal
18	ANA	1	t̪olɨ	reviewed	source-raster-coronal
18	BOO	1	sekɭʌ	reviewed	source-raster-coronal; source-raster-vowel
18	THA	1	t̪ol	reviewed	source-raster-coronal
18	NEL	1	t̪olɨ	reviewed	source-raster-coronal
19	KUN	1	boɖɖɛ	reviewed	source-raster-coronal
19	KOL	1	muɭe	reviewed	source-raster-coronal
19	CHE	1	ɛlumbɨ	reviewed	
19	KIL	1	ɛlumbu	reviewed	
19	MET	1	muɭe	reviewed	source-raster-coronal
19	CHO	1	muɭɛ	reviewed	source-raster-coronal
19	MAV	1	mole	reviewed	
19	ANA	1	muɭʌ	reviewed	source-raster-coronal
19	BOO	1	muɭʌ	reviewed	source-raster-coronal
19	THA	1	ɛlumbɨ	reviewed	
19	NEL	1	ɛlumbɨ	reviewed	
20	KUN	1	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	KOL	1	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	CHE	1	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	KIL	1	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	MET	1	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	CHO	1	guɳɖige	reviewed	source-raster-coronal
20	MAV	1	guɳɖukʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	ANA	1	guɳɖukkʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	BOO	1	guɳɖukʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	THA	1	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	NEL	1	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
21	KUN	1	neʈʈʌɾɨ	reviewed	source-raster-coronal
21	KOL	1	ɾʌʈʈʌ	reviewed	source-raster-coronal
21	CHE	1	lʌʈʈʌ	reviewed	source-raster-coronal
21	KIL	1	neʈʈʌɾɨ	reviewed	source-raster-coronal
21	MET	1	ɾʌʈʈʌ	reviewed	source-raster-coronal
21	CHO	1	neʈʈʌɾɨ	reviewed	source-raster-coronal
21	MAV	1	neʈʈʌɾɨ	reviewed	source-raster-coronal
21	ANA	1	neʈʈuɾɨ	reviewed	source-raster-coronal
21	BOO	1	ɾeʈʈʌ	reviewed	source-raster-coronal
21	THA	1	lʌʈʈʌ	reviewed	source-raster-coronal
21	NEL	1	ɾʌʈʈo	reviewed	source-raster-coronal
22	KUN	1	uɾu	reviewed	
22	KOL	1	uɾu	reviewed	
22	CHE	1	uɾu	reviewed	
22	KIL	1	uɾɨ	reviewed	
22	MET	1	uɾu	reviewed	
22	CHO	1	uɾɨ	reviewed	
22	MAV	1	uɾu	reviewed	
22	ANA	1	uɾɨ	reviewed	
22	BOO	1	uɾɨ	reviewed	
22	THA	1	uɾɨ	reviewed	
22	NEL	1	uɾɨ	reviewed	
23	KUN	1	kuɾɛ	reviewed	
23	KOL	1	kuɾɛ	reviewed	
23	CHE	1	kuɾɛ	reviewed	
23	KIL	1	kuɾɛ	reviewed	
23	MET	1	kuɾɛ	reviewed	
23	CHO	1	seɾi	reviewed	
23	MAV	1	seɾi	reviewed	
23	ANA	1	seɾi	reviewed	
23	BOO	1	mʌnʌ	reviewed	
23	THA	1	kuɾɛ	reviewed	
23	NEL	1	kuɾʌ	reviewed	
24	KUN	1	oɖɨ	reviewed	source-raster-coronal
24	KOL	1	oɖɨ	reviewed	source-raster-coronal
24	CHE	1	bʌɾi	reviewed	
24	KIL	1	oɖɨ	reviewed	source-raster-coronal
24	MET	1	oɖɨ	reviewed	source-raster-coronal
24	CHO	1	oɖu	reviewed	source-raster-coronal
24	MAV	1	oɖu	reviewed	source-raster-coronal
24	ANA	1	oɖɨ	reviewed	source-raster-coronal
24	BOO	1	oɖɨ	reviewed	source-raster-coronal
24	THA	1	ʋillɛ	reviewed	source-raster-vowel
24	NEL	1	oɖɨ	reviewed	source-raster-coronal
25	KUN	1	pʌɖilɨ	reviewed	source-raster-coronal
25	KOL	1	pʌɖilɨ	reviewed	source-raster-coronal
25	CHE	1	pʌɖilɨ	reviewed	source-raster-coronal
25	KIL	1	pʌɖilɨ	reviewed	source-raster-coronal
25	MET	1	pʌɖilɨ	reviewed	source-raster-coronal
25	CHO	1	ʋʌsʌ	reviewed	
25	MAV	1	ʋʌsʌ	reviewed	
25	ANA	1	ʋʌsʌ	reviewed	
25	BOO	1	bʌkɨlu	reviewed	
25	THA	1	kʌɖʌʋu	reviewed	source-raster-coronal
25	NEL	1	kʌɖʌʋu	reviewed	source-raster-coronal
26	KUN	1	ʋʌɾʌgɨ	reviewed	
26	KOL	1	ʋʌɾʌgɨ	reviewed	
26	CHE	1	ʋeɾʌgɨ	reviewed	
26	KIL	1	ʋʌɾʌgu	reviewed	
26	MET	1	ʋʌɾu	reviewed	
26	CHO	1	ʋʌɾʌgɨ	reviewed	
26	MAV	1	ʋʌɾʌgu	reviewed	
26	ANA	1	ʋʌɾʌgɨ	reviewed	
26	BOO	1	soʋɖʌ	reviewed	source-raster-coronal
26	THA	1	ʋʌɾʌgɨ	reviewed	
26	NEL	1	ʋeɾʌgɨ	reviewed	
27	KUN	1	mɑɾɨ	reviewed	source-raster-vowel
27	KOL	1	mɑɾɨ	reviewed	source-raster-vowel
27	CHE	1	mɑɾɨ	reviewed	source-raster-vowel
27	KIL	1	mɑɾu	reviewed	source-raster-vowel
27	MET	1	mɑɾu	reviewed	source-raster-vowel
27	CHO	1	siʋe	reviewed	
27	MAV	1	siʋe	reviewed	
27	ANA	1	siʋe	reviewed	
27	BOO	1	ɨɖukulu	reviewed	source-raster-coronal; source-raster-vowel
27	THA	1	mɑɾɨ	reviewed	source-raster-vowel
27	NEL	1	mɑɾɨ	reviewed	source-raster-vowel
28	KUN	1	koɖʌli	reviewed	source-raster-coronal
28	KOL	1	koɖʌli	reviewed	source-raster-coronal
28	CHE	1	koɖʌli	reviewed	source-raster-coronal
28	KIL	1	koɖʌli	reviewed	source-raster-coronal
28	MET	1	koɖʌli	reviewed	source-raster-coronal
28	CHO	1	koɖʌli	reviewed	source-raster-coronal
28	MAV	1	koɖʌli	reviewed	source-raster-coronal
28	ANA	1	koɖʌli	reviewed	source-raster-coronal
28	BOO	1	koɭɭi	reviewed	source-raster-coronal
28	THA	1	koɖʌli	reviewed	source-raster-coronal
28	NEL	1	koɖʌli	reviewed	source-raster-coronal
29	KUN	1	kʌɳɳi	reviewed	source-raster-coronal
29	KOL	1	kʌɳɳi	reviewed	source-raster-coronal
29	CHE	1	kʌɳɳi	reviewed	source-raster-coronal
29	KIL	1	kʌɳɳi	reviewed	source-raster-coronal
29	MET	1	kʌɳɳi	reviewed	source-raster-coronal
29	CHO	1	kʌɳɳi	reviewed	source-raster-coronal
29	MAV	1	kʌɳɳi	reviewed	source-raster-coronal
29	ANA	1	ʌggʌ	reviewed	
29	BOO	1	ʌggʌ	reviewed	
29	THA	1	kʌɳɳi	reviewed	source-raster-coronal
29	NEL	1	kʌjiɾɨ	reviewed	
30	KUN	1	nulɨ	reviewed	
30	KOL	1	nulu	reviewed	
30	CHE	1	nulɨ	reviewed	
30	KIL	1	nulɨ	reviewed	
30	MET	1	nulu	reviewed	
30	CHO	1	nulu	reviewed	
30	MAV	1	nulu	reviewed	
30	ANA	1	nulu	reviewed	
30	BOO	1	nulɨ	reviewed	
30	THA	1	nulɨ	reviewed	
30	NEL	1	nulu	reviewed	
31	KUN	1	nuɲʤi	reviewed	source-raster-affricate
31	KOL	1	nuɲʤi	reviewed	source-raster-affricate
31	CHE	1	nuɲʤi	reviewed	source-raster-affricate
31	KIL	1	nuɲʤi	reviewed	source-raster-affricate
31	MET	1	nuɲʤi	reviewed	source-raster-affricate
31	CHO	1	tʃuɲʤi	reviewed	source-raster-affricate
31	MAV	1	nuɲʤi	reviewed	source-raster-affricate
31	MAV	2	tʃuɲʤi	reviewed	source-raster-affricate
31	ANA	1	tʃuɲʤi	reviewed	source-raster-affricate
31	BOO	1	tʃuʒi	reviewed	source-raster-affricate
31	THA	1	uʃi	reviewed	
31	NEL	1	usi	reviewed	
32	KUN	1	tʃile	reviewed	source-raster-affricate
32	KOL	1	tʃile	reviewed	source-raster-affricate
32	CHE	1	tʃile	reviewed	source-raster-affricate
32	KIL	1	tʃile	reviewed	source-raster-affricate
32	MET	1	tʃile	reviewed	source-raster-affricate
32	CHO	1	tʃile	reviewed	source-raster-affricate
32	MAV	1	bʌʈʈe	reviewed	source-raster-coronal
32	ANA	1	tʃile	reviewed	source-raster-affricate
32	ANA	2	bʌʈʈe	reviewed	source-raster-coronal
32	BOO	1	bʌʈʈʌ	reviewed	source-raster-coronal
32	THA	1	silɛ	reviewed	
32	NEL	1	t̪uɳi	reviewed	source-raster-coronal
33	KUN	1	mod̪ʌɾʌ	reviewed	source-raster-coronal
33	KOL	1	mod̪iɾʌ	reviewed	source-raster-coronal
33	CHE	1	mod̪iɾʌ	reviewed	source-raster-coronal
33	KIL	1	mod̪ɾʌ	reviewed	source-raster-coronal
33	MET	1	mod̪iɾʌ	reviewed	source-raster-coronal
33	CHO	1	mod̪uɾʌ	reviewed	source-raster-coronal
33	MAV	1	mod̪uɾʌ	reviewed	source-raster-coronal
33	ANA	1	mod̪ɾʌ	reviewed	source-raster-coronal
33	BOO	1	uŋgɾʌ	reviewed	
33	THA	1	mod̪ʌɾõ	reviewed	source-raster-coronal; source-raster-nasalization
33	NEL	1	mod̪ɾõ	reviewed	source-raster-coronal; source-raster-nasalization
34	KUN	1	poɖɨ	reviewed	source-raster-coronal
34	KOL	1	poɖu	reviewed	source-raster-coronal
34	CHE	1	poɖu	reviewed	source-raster-coronal
34	KIL	1	poɖu	reviewed	source-raster-coronal
34	MET	1	poɖu	reviewed	source-raster-coronal
34	CHO	1	poɖɨ	reviewed	source-raster-coronal
34	MAV	1	poɖu	reviewed	source-raster-coronal
34	ANA	1	poɖɨ	reviewed	source-raster-coronal
34	BOO	1	oʈʈi	reviewed	source-raster-coronal
34	THA	1	poɖu	reviewed	source-raster-coronal
34	NEL	1	poɭuɖu	reviewed	source-raster-coronal
35	KUN	1	nilʌʋɨ	reviewed	
35	KOL	1	nilʌ	reviewed	
35	CHE	1	nilʌ	reviewed	
35	KIL	1	nilʌ	reviewed	
35	MET	1	nilʌ	reviewed	
35	CHO	1	nilʌ	reviewed	
35	MAV	1	nilʌ	reviewed	
35	ANA	1	nilʌ	reviewed	
35	BOO	1	t̪iŋgʌ	reviewed	source-raster-coronal
35	THA	1	nelʌʋɨ	reviewed	
35	NEL	1	nelʌʋu	reviewed	
36	KUN	1	ʋʌnɨ	reviewed	
36	KOL	1	ʋʌnʌ	reviewed	
36	CHE	1	mʌɲʤu	reviewed	source-raster-affricate
36	KIL	1	ʋʌnʌ	reviewed	
36	MET	1	ʋʌnʌ	reviewed	
36	CHO	1	ʋʌnʌ	reviewed	
36	MAV	1	ʋʌnʌ	reviewed	
36	ANA	1	ʋʌnʌ	reviewed	
36	BOO	1	bʌnʌ	reviewed	
36	THA	1	mʌnʌ	reviewed	
36	NEL	1	ʋʌnõ	reviewed	source-raster-nasalization
37	KUN	1	minɨ	reviewed	
37	KOL	1	minu	reviewed	
37	CHE	1	minɨ	reviewed	
37	KIL	1	min	reviewed	
37	MET	1	minɨ	reviewed	
37	CHO	1	t̪ʌɾeki	reviewed	source-raster-coronal
37	MAV	1	t̪ʌɾʌki	reviewed	source-raster-coronal
37	ANA	1	t̪ʌkki	reviewed	source-raster-coronal
37	BOO	1	t̪ʌɾʌki	reviewed	source-raster-coronal
37	THA	1	minɨ	reviewed	
37	NEL	1	minɨ	reviewed	
38	KUN	1	mɛ	reviewed	source-raster-vowel
38	KOL	1	mʌ	reviewed	source-raster-vowel
38	CHE	1	mɛ	reviewed	source-raster-vowel
38	KIL	1	mɛ	reviewed	source-raster-vowel
38	MET	1	mɛ	reviewed	source-raster-vowel
38	CHO	1	mʌ	reviewed	source-raster-vowel
38	MAV	1	mʌ	reviewed	source-raster-vowel
38	ANA	1	mʌ	reviewed	source-raster-vowel
38	BOO	1	mʌlʌ	reviewed	source-raster-vowel
38	THA	1	mɛ	reviewed	source-raster-vowel
38	NEL	1	mʌlʌ	reviewed	source-raster-vowel
39	KUN	1	niɾɨ	reviewed	
39	KOL	1	niɾɨ	reviewed	
39	CHE	1	niɾɨ	reviewed	
39	KIL	1	niɾɨ	reviewed	
39	MET	1	niɾɨ	reviewed	
39	CHO	1	niɾɨ	reviewed	
39	MAV	1	niɾu	reviewed	
39	ANA	1	niɾɨ	reviewed	
39	BOO	1	niɾɨ	reviewed	
39	THA	1	t̪ʌɳɳi	reviewed	source-raster-coronal
39	NEL	1	t̪ʌɳɳi	reviewed	source-raster-coronal
40	KUN	1	mʌɖɨ	reviewed	source-raster-coronal
40	KOL	1	keɾɛ	reviewed	
40	CHE	1	keɾɛ	reviewed	
40	KIL	1	keɾɛ	reviewed	
40	MET	1	keɾɛ	reviewed	
40	CHO	1	keɾe	reviewed	
40	MAV	1	keɾe	reviewed	
40	ANA	1	keɾe	reviewed	
40	BOO	1	ʌllʌ	reviewed	
40	THA	1	ʋeni	reviewed	
40	NEL	1	keɾɛ	reviewed	
41	KUN	1	moɖʌ	reviewed	source-raster-coronal
41	KOL	1	mʌɲʤu	reviewed	source-raster-affricate
41	CHE	1	mʌɲʤu	reviewed	source-raster-affricate
41	CHE	2	muhulu	reviewed	
41	KIL	1	mʌɲʤu	reviewed	source-raster-affricate
41	MET	1	mʌɲʤu	reviewed	source-raster-affricate
41	CHO	1	moɖʌ	reviewed	source-raster-coronal
41	CHO	2	mʌɲʤɨ	reviewed	source-raster-affricate
41	MAV	1	moɖʌ	reviewed	source-raster-coronal
41	ANA	1	mʌɲʤɨ	reviewed	source-raster-affricate
41	BOO	1	moɖʌ	reviewed	source-raster-coronal
41	THA	1	mʌɲʤu	reviewed	source-raster-affricate
41	NEL	1	mʌɲʤɨ	reviewed	source-raster-affricate
42	KUN	1	minnʌl	reviewed	
42	KOL	1	mitʃu	reviewed	source-raster-affricate
42	CHE	1	mitʃɨ	reviewed	source-raster-affricate
42	KIL	1	mitu	reviewed	
42	MET	1	mitʃɨ	reviewed	source-raster-affricate
42	CHO	1	mintʃɨ	reviewed	source-raster-affricate
42	MAV	1	mintʃu	reviewed	source-raster-affricate
42	ANA	1	miɲtʃi	reviewed	source-raster-affricate
42	BOO	1	mintʃu	reviewed	source-raster-affricate
42	THA	1	minnʌl	reviewed	
42	NEL	1	minnʌl	reviewed	
43	KUN	1	kʌnʌʋillɨ	reviewed	
43	KOL	1	kʌnʌʋillɨ	reviewed	
43	CHE	1	kʌnʌniʋillɨ	reviewed	
43	KIL	1	kʌnʌnʌʋillu	reviewed	
43	MET	1	kʌnʌnʌʋullɨ	reviewed	
43	CHO	1	kʌkkʌnbiɭɭɨ	reviewed	source-raster-coronal
43	MAV	1	kʌnʌbillɨ	reviewed	
43	ANA	1	kʌkibiɭ	reviewed	source-raster-coronal
43	BOO	1	ɾʌmʌɾʋillɨ	reviewed	
43	THA	1	bimʌʋʌl	reviewed	
43	NEL	1	bimʌʋʌlɨ	reviewed	
44	KUN	1	gʌɭi	reviewed	source-raster-coronal
44	KOL	1	gʌɭi	reviewed	source-raster-coronal
