Item	Gloss	Site	Response	Group	PDF_Page	Printed_Page	Column	Raw_OCR	Palakkad_Kunjapana_Control	Transcription	Review	Uncertainty
3	hair	MET	1	1	30	25	1	mande	mʌɳɖe	mʌɳɖe	reviewed	source-raster-coronal
3	hair	CHO	1	1	30	25	2	mande	mʌɳɖe	mʌɳɖe	reviewed	source-raster-coronal
3	hair	MAV	1	1	30	25	2	mande	mʌɳɖe	mʌɳɖe	reviewed	source-raster-coronal
3	hair	ANA	1	2	30	25	2	kuduli	mʌɳɖe	kuɖulɨ	reviewed	source-raster-coronal
3	hair	BOO	1	2	30	25	2	kud4lé	mʌɳɖe	kuɖɨlɨ	reviewed	source-raster-coronal
3	hair	THA	1	3	30	25	2	mehiré	mʌɳɖe	mehɨɾɨ	reviewed	
3	hair	NEL	1	3,7	30	25	2	majiri	mʌɳɖe	mʌjɨɾɨ	reviewed	
4	face	KUN	1	1	30	25	2	monde	mon̪d̪e	mon̪d̪ɛ	reviewed	source-raster-coronal
4	face	KOL	1	1	30	25	2	monde	mon̪d̪e	mon̪d̪e	reviewed	source-raster-coronal
4	face	CHE	1	1	30	25	2	monde	mon̪d̪e	mon̪d̪ɛ	reviewed	source-raster-coronal
4	face	KIL	1	1	30	25	2	monde,	mon̪d̪e	mon̪d̪ɛ̃	reviewed	source-raster-coronal; source-raster-nasalization
4	face	MET	1	1	30	25	2	nonde	mon̪d̪e	non̪d̪e	reviewed	source-raster-coronal
4	face	CHO	1	1	30	25	2	monde	mon̪d̪e	mon̪d̪e	reviewed	source-raster-coronal
4	face	MAV	1	1	30	25	2	monde	mon̪d̪e	mon̪d̪e	reviewed	source-raster-coronal
4	face	ANA	1	1	30	25	2	monda	mon̪d̪e	mon̪d̪ʌ	reviewed	source-raster-coronal
4	face	BOO	1	2	30	25	2	mokka	mon̪d̪e	mokka	reviewed	
4	face	THA	1	7	30	25	2	munsi	mon̪d̪e	muɲʤi	reviewed	source-raster-affricate
4	face	NEL	1	7	30	25	2	munzi	mon̪d̪e	muɲʤi	reviewed	source-raster-affricate
5	eye	KUN	1	1	30	25	2	knné	kʌɳɳɨ	kʌɳɳɨ	reviewed	source-raster-coronal
5	eye	KOL	1	1	30	25	2	kKanni	kʌɳɳɨ	kʌɳɳɨ	reviewed	source-raster-coronal
5	eye	CHE	1	1	30	25	2	kanni	kʌɳɳɨ	kʌɳɳi	reviewed	source-raster-coronal
5	eye	KIL	1	1	30	25	2	kanni	kʌɳɳɨ	kʌɳɳɨ	reviewed	source-raster-coronal
5	eye	MET	1	1	30	25	2	kannu	kʌɳɳɨ	kʌɳɳu	reviewed	source-raster-coronal
5	eye	CHO	1	1	30	25	2	Kanni	kʌɳɳɨ	kʌɳɳɨ	reviewed	source-raster-coronal
5	eye	MAV	1	1	30	25	2	kanni	kʌɳɳɨ	kʌɳɳɨ	reviewed	source-raster-coronal
5	eye	ANA	1	1	30	25	2	kanni	kʌɳɳɨ	kʌɳɳɨ	reviewed	source-raster-coronal
5	eye	BOO	1	1	30	25	2	kenni	kʌɳɳɨ	kɛɳɳɨ	reviewed	source-raster-coronal
5	eye	THA	1	1	30	25	2	kanni	kʌɳɳɨ	kʌɳɳɨ	reviewed	source-raster-coronal
5	eye	NEL	1	1	30	25	2	kanné	kʌɳɳɨ	kʌɳɳɨ	reviewed	source-raster-coronal
6	ear	KUN	1	1	30	25	3	kadé	kɑd̪ɨ	kaɖɨ	reviewed	source-raster-coronal
6	ear	KOL	1	1	30	25	3	kadéd	kɑd̪ɨ	kaɖɨ	reviewed	source-raster-coronal
6	ear	CHE	1	1	30	25	3	kadi	kɑd̪ɨ	kaɖɨ	reviewed	source-raster-coronal
6	ear	KIL	1	1	30	25	3	kadé	kɑd̪ɨ	kaɖɨ	reviewed	source-raster-coronal
6	ear	MET	1	1	30	25	3	kadgu	kɑd̪ɨ	kaɖu	reviewed	source-raster-coronal
6	ear	CHO	1	1	30	25	3	kadé	kɑd̪ɨ	kaɖɨ	reviewed	source-raster-coronal
6	ear	MAV	1	1	30	25	3	kadu	kɑd̪ɨ	kaɖu	reviewed	source-raster-coronal
6	ear	ANA	1	1	30	25	3	kad:	kɑd̪ɨ	kaɖɨ	reviewed	source-raster-coronal
6	ear	BOO	1	2	30	25	3	kimi	kɑd̪ɨ	kimi	reviewed	
6	ear	THA	1	1	30	25	3	kad:	kɑd̪ɨ	kaɖɨ	reviewed	source-raster-coronal
6	ear	NEL	1	1	30	25	3	kadé	kɑd̪ɨ	kaɖɨ	reviewed	source-raster-coronal
7	nose	KUN	1	1	30	25	3	mukku	muːkku	mukku	reviewed	
7	nose	KOL	1	1	30	25	3	mukku	muːkku	mukku	reviewed	
7	nose	CHE	1	1	30	25	3	mukku	muːkku	mukku	reviewed	
7	nose	KIL	1	1	30	25	3	muku	muːkku	muku	reviewed	
7	nose	MET	1	1	30	25	3	mukku	muːkku	mukku	reviewed	
7	nose	CHO	1	1	30	25	3	mukké	muːkku	mukkɨ	reviewed	
7	nose	MAV	1	1	30	25	3	muku	muːkku	muku	reviewed	
7	nose	ANA	1	1	30	25	3	mukki	muːkku	mukkɨ	reviewed	
7	nose	BOO	1	1	30	25	3	mugu	muːkku	mugu	reviewed	
7	nose	THA	1	1	30	25	3	mukku	muːkku	mukku	reviewed	
7	nose	NEL	1	1	30	25	3	mukké	muːkku	mukkɨ	reviewed	
8	mouth	KUN	1	1	31	26	1	va	ʋɑji	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	KUN	2	1	31	26	1	vai	ʋɑji	ʋʌi	reviewed	
8	mouth	KOL	1	1	31	26	1	pa’	ʋɑji	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	CHE	1	1	31	26	1	va’	ʋɑji	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	KIL	1	1	31	26	1	va'	ʋɑji	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	MET	1	1	31	26	1	va’	ʋɑji	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	CHO	1	1	31	26	1	va'	ʋɑji	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	MAV	1	1	31	26	1	va’	ʋɑji	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	ANA	1	1	31	26	1	vai	ʋɑji	ʋʌi	reviewed	
8	mouth	BOO	1	3	31	26	1	ba’	ʋɑji	bʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	THA	1	1	31	26	1	vpa'	ʋɑji	ʋʌɪ	reviewed	source-raster-legacy-glyph-ɪ
8	mouth	NEL	1	1	31	26	1	vai	ʋɑji	ʋʌi	reviewed	
9	teeth	KUN	1	1	31	26	1	palli	pʌllɨ	pʌllɨ	reviewed	
9	teeth	KOL	1	1	31	26	1	pallé4	pʌllɨ	pʌllɨ	reviewed	
9	teeth	CHE	1	1	31	26	1	pallia	pʌllɨ	pʌllɨ	reviewed	
9	teeth	KIL	1	1	31	26	1	pallé	pʌllɨ	pʌllɨ	reviewed	
9	teeth	MET	1	1	31	26	1	pallé	pʌllɨ	pʌllɨ	reviewed	
9	teeth	CHO	1	1	31	26	1	palléd	pʌllɨ	pʌllɨ	reviewed	
9	teeth	MAV	1	1	31	26	1	pallu	pʌllɨ	pʌllu	reviewed	
9	teeth	ANA	1	1	31	26	1	pall	pʌllɨ	pʌllɨ	reviewed	
9	teeth	BOO	1	1	31	26	1	alls	pʌllɨ	ʌllɨ	reviewed	
9	teeth	THA	1	1	31	26	1	palli	pʌllɨ	pʌllɨ	reviewed	
9	teeth	NEL	1	1	31	26	1	palli	pʌllɨ	pʌllɨ	reviewed	
10	tongue	KUN	1	1	31	26	1	nalange	nɑɭɑŋge	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	tongue	KOL	1	1	31	26	1	nalange	nɑɭɑŋge	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	tongue	CHE	1	1	31	26	1	nalange	nɑɭɑŋge	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	tongue	KIL	1	1	31	26	1	nalange	nɑɭɑŋge	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	tongue	MET	1	1	31	26	1	nalange	nɑɭɑŋge	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	tongue	CHO	1	1	31	26	1	nalange	nɑɭɑŋge	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	tongue	MAV	1	1	31	26	1	nalange	nɑɭɑŋge	nɑɭʌŋgɛ	reviewed	source-raster-coronal
10	tongue	ANA	1	1	31	26	1	nalanga	nɑɭɑŋge	nɑɭʌŋgʌ	reviewed	source-raster-coronal
10	tongue	BOO	1	1	31	26	1	naluga	nɑɭɑŋge	nɑluɡʌ	reviewed	source-raster-coronal
10	tongue	THA	1	2	31	26	1	nakki	nɑɭɑŋge	nɑkkɨ	reviewed	
10	tongue	NEL	1	2	31	26	1	nakki	nɑɭɑŋge	nɑkkɨ	reviewed	
11	belly	KUN	1	1	31	26	2	verd	ʋəːrɨ	ʋəɾɨ	reviewed	source-raster-vowel
11	belly	KOL	1	1	31	26	2	veréd	ʋəːrɨ	ʋəɾɨ	reviewed	source-raster-vowel
11	belly	CHE	1	1	31	26	2	veré	ʋəːrɨ	ʋəɾɨ	reviewed	source-raster-vowel
11	belly	KIL	1	1	31	26	2	voru	ʋəːrɨ	ʋoɾu	reviewed	
11	belly	MET	1	1	31	26	2	veré	ʋəːrɨ	ʋəɾɨ	reviewed	source-raster-vowel
11	belly	CHO	1	1	31	26	2	veré	ʋəːrɨ	ʋəɾɨ	reviewed	source-raster-vowel
11	belly	MAV	1	1	31	26	2	verd	ʋəːrɨ	ʋəɾɨ	reviewed	source-raster-vowel
11	belly	ANA	1	1	31	26	2	veréd	ʋəːrɨ	ʋəɾɨ	reviewed	source-raster-vowel
11	belly	BOO	1	2	31	26	2	vatta	ʋəːrɨ	ʋʌʈʈʌ	reviewed	source-raster-coronal
11	belly	THA	1	1	31	26	2	veréd	ʋəːrɨ	ʋəɾɨ	reviewed	source-raster-vowel
11	belly	NEL	1	3	31	26	2	vajiré	ʋəːrɨ	ʋʌjiɾɨ	reviewed	
12	arm	KUN	1	1	31	26	2	ka‘	keɪ	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	KOL	1	3	31	26	2	ke!	keɪ	keɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	CHE	1	1	31	26	2	ka'	keɪ	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	KIL	1	4	31	26	2	ko!	keɪ	koɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	MET	1	1	31	26	2	ka’	keɪ	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	CHO	1	3	31	26	2	ke'	keɪ	keɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	MAV	1	3	31	26	2	ke'	keɪ	keɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	ANA	1	1	31	26	2	ka’	keɪ	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	BOO	1	3	31	26	2	ke’!	keɪ	keɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	THA	1	1	31	26	2	ka’	keɪ	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
12	arm	NEL	1	1	31	26	2	ka‘	keɪ	kʌɪ	reviewed	source-raster-legacy-glyph-ɪ
13	elbow	KUN	1	1	31	26	2	mungo'	koɖuŋgʌɪ	muŋgoɪ	reviewed	source-raster-legacy-glyph-ɪ
13	elbow	KOL	1	2	31	26	2	koqunga’	koɖuŋgʌɪ	koɖuŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	elbow	CHE	1	3,4	31	26	2	monakka'	koɖuŋgʌɪ	mon̪ʌkkʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	elbow	KIL	1	3,4	31	26	2	monakka'	koɖuŋgʌɪ	mon̪ʌkkʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	elbow	MET	1	4	31	26	2	monanga'	koɖuŋgʌɪ	mon̪ʌŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	elbow	CHO	1	2	31	26	2	kodrnga'	koɖuŋgʌɪ	koɖɨŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	elbow	MAV	1	1	31	26	3	mungo'	koɖuŋgʌɪ	muŋgoɪ	reviewed	source-raster-legacy-glyph-ɪ
13	elbow	ANA	1	1	31	26	3	munga'	koɖuŋgʌɪ	muŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
13	elbow	BOO	1	5	31	26	3	molasandé	koɖuŋgʌɪ	moɭʌsʌɳɖɨ	reviewed	source-raster-coronal
13	elbow	THA	1	3	31	26	3	manika’	koɖuŋgʌɪ	mʌɳikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
13	elbow	NEL	1	4	31	26	3	monanga'	koɖuŋgʌɪ	mon̪ʌŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
14	palm	KUN	1	1	31	26	3	ango'	ʌŋgʌi	ʌŋgoɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	KOL	1	1	31	26	3	anga’‘	ʌŋgʌi	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	CHE	1	1	31	26	3	anga'	ʌŋgʌi	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	KIL	1	1	31	26	3	anga’'	ʌŋgʌi	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	MET	1	1	31	26	3	anga'	ʌŋgʌi	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	CHO	1	1	31	26	3	anga'‘	ʌŋgʌi	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	MAV	1	1	31	26	3	ango’	ʌŋgʌi	ʌŋgoɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	ANA	1	3	31	26	3	asla	ʌŋgʌi	ʌsɭʌ	reviewed	source-raster-coronal
14	palm	BOO	1	1	31	26	3	anga'	ʌŋgʌi	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	THA	1	1	31	26	3	anga'	ʌŋgʌi	ʌŋgʌɪ	reviewed	source-raster-legacy-glyph-ɪ
14	palm	NEL	1	4	31	26	3	ul langa'	ʌŋgʌi	uɭɭʌŋgʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
15	finger	KUN	1	1,2,3	31	26	3	verald	ʋɪɾɑ	ʋeɾʌɭɨ	reviewed	source-raster-coronal; source-raster-vowel
15	finger	KOL	1	4	31	26	3	vira	ʋɪɾɑ	ʋiɾʌ	reviewed	
15	finger	CHE	1	4	31	26	3	vira	ʋɪɾɑ	ʋiɾʌ	reviewed	
15	finger	KIL	1	4	31	26	3	vira	ʋɪɾɑ	ʋiɾʌ	reviewed	
15	finger	MET	1	4	31	26	3	vira	ʋɪɾɑ	ʋiɾʌ	reviewed	
15	finger	CHO	1	2	31	26	3	varalé	ʋɪɾɑ	ʋʌɾʌɭɨ	reviewed	source-raster-coronal
15	finger	MAV	1	4	31	26	3	vira	ʋɪɾɑ	ʋiɾʌ	reviewed	
15	finger	ANA	1	2	31	26	3	varali	ʋɪɾɑ	ʋʌɾʌɭɨ	reviewed	source-raster-coronal
15	finger	BOO	1	5	31	26	3	belt	ʋɪɾɑ	beɭɨ	reviewed	source-raster-coronal
15	finger	THA	1	1,2	31	26	3	veral	ʋɪɾɑ	ʋeɾʌɭ	reviewed	source-raster-coronal; source-raster-vowel
15	finger	NEL	1	1,2,3	31	26	3	veralé	ʋɪɾɑ	ʋeɾʌɭɨ	reviewed	source-raster-coronal; source-raster-vowel
16	nail	KUN	1	1,2	32	27	1	uguré		uguɾɨ	reviewed	
16	nail	KOL	1	1,2	32	27	1	uguru		uguɾu	reviewed	
16	nail	CHE	1	1	32	27	1	uguru		uguɾu	reviewed	
16	nail	KIL	1	1,2	32	27	1	uguru		uguɾu	reviewed	
16	nail	MET	1	1	32	27	1	uguré		uguɾɨ	reviewed	
16	nail	CHO	1	1,2	32	27	1	uguru		uguɾu	reviewed	
16	nail	MAV	1	1,2	32	27	1	uguru		uguɾu	reviewed	
16	nail	ANA	1	1	32	27	1	uguré		uguɾɨ	reviewed	
16	nail	BOO	1	1,2	32	27	1	uguré		uguɾɨ	reviewed	
16	nail	THA	1	3	32	27	1	naga		nʌgʌ	reviewed	source-raster-vowel
16	nail	NEL	1	3	32	27	1	nehm		nehʌm	reviewed	source-raster-vowel
17	leg	KUN	1	1	32	27	1	kal	kælɨ	kɑl	reviewed	source-raster-vowel
17	leg	KOL	1	1	32	27	1	kalé	kælɨ	kɑlɨ	reviewed	source-raster-vowel
17	leg	CHE	1	1	32	27	1	kali	kælɨ	kɑlɨ	reviewed	source-raster-vowel
17	leg	KIL	1	1	32	27	1	kal	kælɨ	kɑl	reviewed	source-raster-vowel
17	leg	MET	1	1	32	27	1	kali	kælɨ	kɑlɨ	reviewed	source-raster-vowel
17	leg	CHO	1	1	32	27	1	kali	kælɨ	kɑlɨ	reviewed	source-raster-vowel
17	leg	MAV	1	1	32	27	1	kala	kælɨ	kɑlɨ	reviewed	source-raster-vowel
17	leg	ANA	1	1	32	27	1	kali	kælɨ	kɑlɨ	reviewed	source-raster-vowel
17	leg	BOO	1	1	32	27	1	kKalé	kælɨ	kɑlɨ	reviewed	source-raster-vowel
17	leg	THA	1	1	32	27	1	kal	kælɨ	kɑl	reviewed	source-raster-vowel
17	leg	NEL	1	1	32	27	1	kali	kælɨ	kɑlɨ	reviewed	source-raster-vowel
18	skin	KUN	1	1	32	27	1	tolé	to̪ lu	t̪olɨ	reviewed	source-raster-coronal
18	skin	KOL	1	1	32	27	1	tolu	to̪ lu	t̪olu	reviewed	source-raster-coronal
18	skin	CHE	1	1	32	27	1	told	to̪ lu	t̪olɨ	reviewed	source-raster-coronal
18	skin	KIL	1	1	32	27	1	told	to̪ lu	t̪olɨ	reviewed	source-raster-coronal
18	skin	MET	1	1	32	27	1	fol	to̪ lu	t̪ol	reviewed	source-raster-coronal
18	skin	CHO	1	1	32	27	1	fold	to̪ lu	t̪olɨ	reviewed	source-raster-coronal
18	skin	MAV	1	1	32	27	1	tolu	to̪ lu	t̪olu	reviewed	source-raster-coronal
18	skin	ANA	1	1	32	27	1	tol4	to̪ lu	t̪olɨ	reviewed	source-raster-coronal
18	skin	BOO	1	2	32	27	1	sekla	to̪ lu	sekɭʌ	reviewed	source-raster-coronal; source-raster-vowel
18	skin	THA	1	1	32	27	1	tol	to̪ lu	t̪ol	reviewed	source-raster-coronal
18	skin	NEL	1	1	32	27	1	tolé4	to̪ lu	t̪olɨ	reviewed	source-raster-coronal
19	bone	KUN	1	1	32	27	2	bodde	muɭe	boɖɖɛ	reviewed	source-raster-coronal
19	bone	KOL	1	2	32	27	2	mule	muɭe	muɭe	reviewed	source-raster-coronal
19	bone	CHE	1	3	32	27	2	elumbi	muɭe	ɛlumbɨ	reviewed	
19	bone	KIL	1	3	32	27	2	elumbu	muɭe	ɛlumbu	reviewed	
19	bone	MET	1	2	32	27	2	mule	muɭe	muɭe	reviewed	source-raster-coronal
19	bone	CHO	1	2	32	27	2	mule	muɭe	muɭɛ	reviewed	source-raster-coronal
19	bone	MAV	1	2	32	27	2	mole	muɭe	mole	reviewed	
19	bone	ANA	1	2	32	27	2	mula	muɭe	muɭʌ	reviewed	source-raster-coronal
19	bone	BOO	1	2	32	27	2	mula	muɭe	muɭʌ	reviewed	source-raster-coronal
19	bone	THA	1	3	32	27	2	elumbs	muɭe	ɛlumbɨ	reviewed	
19	bone	NEL	1	3	32	27	2	elumbi	muɭe	ɛlumbɨ	reviewed	
20	heart	KUN	1	1	32	27	2	gundika'	nɛɲdʒɨ	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	KOL	1	1	32	27	2	gundika'	nɛɲdʒɨ	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	CHE	1	1	32	27	2	gundika'	nɛɲdʒɨ	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	KIL	1	1	32	27	2	gundika'	nɛɲdʒɨ	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	MET	1	1	32	27	2	gundika'	nɛɲdʒɨ	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	CHO	1	1	32	27	2	gundige	nɛɲdʒɨ	guɳɖige	reviewed	source-raster-coronal
20	heart	MAV	1	1	32	27	2	gunduka’'	nɛɲdʒɨ	guɳɖukʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	ANA	1	1	32	27	2	gundukka'	nɛɲdʒɨ	guɳɖukkʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	BOO	1	1	32	27	2	gunduka'	nɛɲdʒɨ	guɳɖukʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	THA	1	1	32	27	2	gundika'	nɛɲdʒɨ	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
20	heart	NEL	1	1	32	27	2	gundika’'	nɛɲdʒɨ	guɳɖikʌɪ	reviewed	source-raster-coronal; source-raster-legacy-glyph-ɪ
21	blood	KUN	1	1	32	27	2	nettara	ɾʌtt̪ɑ̪	neʈʈʌɾɨ	reviewed	source-raster-coronal
21	blood	KOL	1	2,3	32	27	2	ratta	ɾʌtt̪ɑ̪	ɾʌʈʈʌ	reviewed	source-raster-coronal
21	blood	CHE	1	2	32	27	2	latta	ɾʌtt̪ɑ̪	lʌʈʈʌ	reviewed	source-raster-coronal
21	blood	KIL	1	1	32	27	2	nettaré	ɾʌtt̪ɑ̪	neʈʈʌɾɨ	reviewed	source-raster-coronal
21	blood	MET	1	2,3	32	27	2	ratta	ɾʌtt̪ɑ̪	ɾʌʈʈʌ	reviewed	source-raster-coronal
21	blood	CHO	1	1	32	27	2	nettaré	ɾʌtt̪ɑ̪	neʈʈʌɾɨ	reviewed	source-raster-coronal
21	blood	MAV	1	1	32	27	2	nettaré	ɾʌtt̪ɑ̪	neʈʈʌɾɨ	reviewed	source-raster-coronal
21	blood	ANA	1	1	32	27	3	netturéa	ɾʌtt̪ɑ̪	neʈʈuɾɨ	reviewed	source-raster-coronal
21	blood	BOO	1	2,3	32	27	3	retta	ɾʌtt̪ɑ̪	ɾeʈʈʌ	reviewed	source-raster-coronal
21	blood	THA	1	2	32	27	3	latta	ɾʌtt̪ɑ̪	lʌʈʈʌ	reviewed	source-raster-coronal
21	blood	NEL	1	2	32	27	3	ratto	ɾʌtt̪ɑ̪	ɾʌʈʈo	reviewed	source-raster-coronal
22	village	KUN	1	1	32	27	3	uru	uɾu	uɾu	reviewed	
22	village	KOL	1	1	32	27	3	uru	uɾu	uɾu	reviewed	
22	village	CHE	1	1	32	27	3	uru	uɾu	uɾu	reviewed	
22	village	KIL	1	1	32	27	3	ura	uɾu	uɾɨ	reviewed	
22	village	MET	1	1	32	27	3	uru	uɾu	uɾu	reviewed	
22	village	CHO	1	1	32	27	3	uri	uɾu	uɾɨ	reviewed	
22	village	MAV	1	1	32	27	3	uru	uɾu	uɾu	reviewed	
22	village	ANA	1	1	32	27	3	uré	uɾu	uɾɨ	reviewed	
22	village	BOO	1	1	32	27	3	uré	uɾu	uɾɨ	reviewed	
22	village	THA	1	1	32	27	3	uré	uɾu	uɾɨ	reviewed	
22	village	NEL	1	1	32	27	3	uri	uɾu	uɾɨ	reviewed	
23	house	KUN	1	1	32	27	3	kure	kuɾe	kuɾɛ	reviewed	
23	house	KOL	1	1	32	27	3	kure	kuɾe	kuɾɛ	reviewed	
23	house	CHE	1	1	32	27	3	kure	kuɾe	kuɾɛ	reviewed	
23	house	KIL	1	1	32	27	3	kure	kuɾe	kuɾɛ	reviewed	
23	house	MET	1	1	32	27	3	kure	kuɾe	kuɾɛ	reviewed	
23	house	CHO	1	2	32	27	3	seri	kuɾe	seɾi	reviewed	
23	house	MAV	1	2	32	27	3	seri	kuɾe	seɾi	reviewed	
23	house	ANA	1	2	32	27	3	seri	kuɾe	seɾi	reviewed	
23	house	BOO	1	3	32	27	3	mana	kuɾe	mʌnʌ	reviewed	
23	house	THA	1	1	32	27	3	kure	kuɾe	kuɾɛ	reviewed	
23	house	NEL	1	1	32	27	3	kura	kuɾe	kuɾʌ	reviewed	
