@@ pdf30-p25-c1
Appendix B: Irula wordlis
l. body
CHE 1 veré
KIL 1 voru
MET 1 veré
CHO 1 veré
MAV 1 verd
ANA 1 veréd
BOO 2 vatta
THA 1 veréd
NEL 3 vajiré
CBT 3 vajird
MAD 3 vajiru
KAN 5 hotte
BAD 6 doandi
ALU    missing data
BET 4 potte
JEN 4 wotte
12. arm

KUN 1 ka‘

KOL 3 ke!

CHE 1 ka'

KIL 4 ko!

MET 1 ka’

CHO 3 ke'

MAV 3 ke'

ANA 1 ka’

BOO 3 ke’!

THA 1 ka’

NEL 1 ka‘

CBT 5 ka‘ ji
MAD 1 ka’

KAN    missing data
BAD 1 ka’

ALU 1 ka’

BET 6 krttosle
JEN 5 kajji
13. elbow

KUN 1 mungo'
KOL 2 koqunga’
CHE 3,4 monakka'
KIL 3,4 monakka'
MET 4 monanga'
CHO 2 kodrnga'

@@ pdf31-p26-c3
40
MAV 1 mungo'
ANA 1 munga'
BOO 5 molasandé
THA 3 manika’
NEL 4 monanga'
CBT 6 molanga’‘ ji
MAD 6 mukanga'
KAN    missing data
BAD    missing data
ALU 2 kodqunga'
BET    missing data
JEN    missing data
14. palm
KUN 1 ango'
KOL 1 anga’‘
CHE 1 anga'
KIL 1 anga’'
MET 1 anga'
CHO 1 anga'‘
MAV 1 ango’
ANA 3 asla
BOO 1 anga'
THA 1 anga'
NEL 4 ul langa'
CBT 4 wllanga’ ji
MAD 4 ullanka'
KAN 2 angaji
BAD 1 anga’'
ALU) 2 angaji
BET 2 angije
JEN 3 asta
15. finger
KUN 1,2,3 verald
KOL 4 vira
CHE 4 vira
KIL 4 vira
MET 4 vira
CHO 2 varalé
MAV 4 vira
ANA 2 varali
BOO 5 belt
THA 1,2 veral
NEL 1,2,3 veralé
CBT 1 viral
MAD 1 viral
KAN 3 beralu
BAD 3 beralu
ALU 3 beralu
BET 6 bottu
JEN 6 bottu

@@ pdf32-p27-c1
16. nail

KUN 1,2 uguré
KOL 1,2 uguru
CHE 1 uguru
KIL 1,2 uguru
MET 1 uguré
CHO 1,2 uguru
MAV 1,2 uguru
ANA 1 uguré
BOO 1,2 uguré
THA 3 naga
NEL 3 nehm
CBT 3 neham
MAD 4 kanagam
KAN 1,2 wuguru
BAD 2 wugilu
ALU 1,2 wuguru
BET 1 aguru
JEN 2 wugru
17. leg

KUN 1 kal

KOL 1 kalé
CHE 1 kali
KIL 1 kal

MET 1 kali
CHO 1 kali
MAV 1 kala
ANA 1 kali
BOO 1 kKalé
THA 1 kal

NEL 1 kali
CBT 1 kali
MAD 1 kal

KAN 1 kalu
BAD 1 kalu
ALU 1 kalu
BET 1 kalu
JEN 1 kalu
18. skin

KUN 1 tolé
KOL 1 tolu
CHE 1 told
KIL 1 told
MET 1 fol

CHO 1 fold
MAV 1 tolu
ANA 1 tol4
BOO 2 sekla
THA 1 tol

NEL 1 tolé4
CBT 1 tol4
MAD 1 tol

@@ pdf32-p27-c2
KAN 3 tSarma
BAD 1 tolu
ALU 1 tolu
BET 1 tolu
JEN 1 tolu
19. bone

KUN 1 bodde
KOL 2 mule
CHE 3 elumbi
KIL 3 elumbu
MET 2 mule
CHO 2 mule
MAV 2 mole
ANA 2 mula
BOO 2 mula
THA 3 elumbs
NEL 3 elumbi
CBT 3 eldmbé
MAD 3,4 jelumbu
KAN 4 jelubu
BAD 5 jirlu
ALU 2 mu:le
BET 4 jeluva
JEN 2 mu:le
20. heart

KUN 1 gundika'
KOL 1 gundika'
CHE 1 gundika'
KIL 1 gundika'
MET 1 gundika'
CHO 1 gundige
MAV 1 gunduka’'
ANA 1 gundukka'
BOO 1 gunduka'
THA 1 gundika'
NEL 1 gundika’'
CBT 6 rtdajam
MAD 2 jirudajam
KAN 3 hrudaja
BAD 4 kole
ALU    missing data
BET    missing data
JEN 5 jiva
21. blood

KUN 1 nettara
KOL 2,3 ratta
CHE 2 latta
KIL 1 nettaré
MET 2,3 ratta
CHO 1 nettaré
MAV 1 nettaré

@@ pdf32-p27-c3
a/
ANA 1 netturéa
BOO 2,3 retta
THA 2 latta
NEL 2 ratto
CBT 2 rattam
MAD 2 rattam
KAN 3 rakta
BAD 1 nettru
ALU 1 nettaru
BET 1 neattru
JEN 2 ratta
3 ratta
22. village
KUN 1 uru
KOL 1 uru
CHE 1 uru
KIL 1 ura
MET 1 uru
CHO 1 uri
MAV 1 uru
ANA 1 uré
BOO 1 uré
THA 1 uré
NEL 1 uri
CBT 2 gramam
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
23. house
KUN 1 kure
KOL 1 kure
CHE 1 kure
KIL 1 kure
MET 1 kure
CHO 2 seri
MAV 2 seri
ANA 2 seri
BOO 3 mana
THA 1 kure
NEL 1 kura
CBT 4 vidi
MAD 4 vidu
KAN 3 mane
BAD 3 mane
ALU 3 mane
BET 1 kire
JEN 3 mana

@@ pdf33-p28-c1
24. roof

KUN 1 oda

KOL 1 oda

CHE 2 bari

KIL 1 odé

MET 1 odé

CHO 1 odqu

MAV 1 oqu

ANA 1 odi

BOO 1 odé

THA 3 ville

NEL 1 oda

CBT 4 kura'

MAD 4 ku:ra'

KAN    missing data
BAD 2 bari

ALU 2 bari

BET    missing data
JEN    missing data
25. door

KUN 1,3 padili

KOL 1,3 paqili

CHE 1,3 padilé

KIL 1,3 paqili
MET 1,3 padili

CHO 2 vasa

MAV 2 vasa

ANA 2 vasa

BOO 3 bakrlu

THA 4 kadavu

NEL 4 kadavu

CBT 4 kadavi

MAD 4 kadava

KAN 3 bagilu

BAD 5 hadi

ALU 1 adilu

BET    missing data
JEN    missing data
26. firewood

KUN 1 varagi

KOL 1 varagi

CHE 1 veragé

KIL 1 varagu

MET 2 varu

CHO 1 varagé

MAV 1 varagu

ANA 1 varagi

BOO 3 sovda

THA 1 varagi

NEL 1 veragé

CBT 1 veragi

MAD    missing data

@@ pdf33-p28-c2
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
27. broom

KUN 1 mardi

KOL 1 maré

CHE 1 maré4

KIL 1 maru

MET 1 maru

CHO 2 sive

MAV 2 sive

ANA 2 sive

BOO 3 rqukulu

THA 1 maré

NEL 1 maré

CBT 8 tsimaré

MAD 4 tuda‘' ppam
KAN 5 parcakke

BAD 6 kasikilu
ALU 6 ketsikilu
BET 7 kippi

JEN 3 jrdrkilu

28. axe (for cutting
wood)

KUN 1 kodali

KOL 1 kodali

CHE 1 kodali

KIL 1 kodali

MET 1 kodali

CHO 1 kodali

MAV 1 kodali

ANA 1 kodali

BOO 2 kollLi

THA 1 koqali

NEL 1 kodali

CBT 1 kodali

MAD 1 kodari

KAN 1 kodali

BAD 2 ksllLi

ALU 1 kodali

BET 3 maluvu

JEN 2 korli

29. rope

KUN 1 kanni

KOL 1 kanni

CHE 1 Kanni

KIL 1 kanni

MET 1 kanni

CHO 1 kanni

@@ pdf33-p28-c3
40
MAV 1 kKanni
ANA 2 agga
BOO 2 agga
THA 1 kKanni
NEL 3 kajiri
CBT 4 ka‘ ré
MAD 3 kajiru
KAN 2 hagga
BAD 1 kanni
ALU 1 kanni
BET 1 kanni
JEN 2 agga
30. thread
KUN 1 nulé
KOL 1 nulu
CHE 1 nulé
KIL 1 nulé
MET 1 nulu
CHO 1 nulu
MAV 1 nulu
ANA 1 nulu
BOO 1 nuld
THA 1 nulé
NEL 1 nulu
CBT 1 nul
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
31. needle
KUN 1 nunzi
KOL 1 nunzi
CHE 1 nupzi
KIL 1 nungzi
MET 1 nunzi
CHO 1,2 tsunszi
MAV 1 nunzi
1,2 tsunzi
ANA 1,2 tSunzi
BOO 2 tsusi
THA 3 usfi
NEL 3,4 usi
CBT 3,4 usi
MAD 4,5 wu:si
KAN 6 su:dzi
BAD 7 su:ndi
ALU 5 wutSsi
BET 6 du:dzi
JEN 6,7 su:ndzi

@@ pdf34-p29-c1
32. cloth
KUN 1 tsile
KOL 1 tfsile
CHE 1 tfsile
KIL 1 tsile
MET 1 tyile
CHO 1 tfsile
MAV 2 batte
ANA 1 tfile
2 batte
BOO 2 batta
THA 1 sile
NEL 3 tuni
CBT 3 tuni
MAD 3 tuni
KAN 2 batte
BAD 2 batte
ALU 2 batte
BET 4 tire
JEN 2 batta
33. ring (gold band)
KUN 1 mogara
KOL 1 modira
CHE 1 modira
KIL 1 modra
MET 1 modira
CHO 1 modura
MAV 1 modura
ANA 1 modra
BOO 2 ungra
THA 1 modars
NEL 1 modré
CBT 1 modiram
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
34. sun
KUN 1 podé
KOL 1 podu
CHE 1 podu
KIL 1 podu
MET 1 podu
CHO 1 pod4
MAV 1 podu
ANA 1 podé
BOO 2 otti
THA 1 podu
NEL 3 poludu
CBT 6 surijan

@@ pdf34-p29-c2
MAD 4 vanam
KAN 5 akasa
BAD 2 wottu
ALU 2 wottu
BET 2 potte
JEN 2 wottu
2 wottu
35. moon
KUN 5 nirlavi
KOL 2 nrla
CHE 2 nila
KIL 2 nila
MET 2 nila
CHO 2 nila
MAV 2 nrla
ANA 2 nila
BOO 3 tynga
THA 5 nelavi
NEL 5 nelavu
CBT 2 nila
MAD 6 tsandiran
KAN 7 tsanda
BAD 4 tinguva
ALU 7 tsanda
BET 8 pore
JEN 3 titnga
36. sky
KUN 1 vané
KOL 1,2 vana
CHE 7 man3zu
KIL 1,2 vana
MET 1,2 vana
CHO 1,2 vana
MAV 1,2 vana
ANA 1,2 vana
BOO 2 bana
THA 2 mana
NEL 1 vans
CBT 1 vanam
MAD 5 su:rijan
KAN 5 su:rija
BAD 2,4 banu
ALU 2,4 bani
BET 4 bane
JEN 6 moda
37. star
KUN 1 mini
KOL 1 minu
CHE 1 miné
KIL 1 min
MET 1 miné

@@ pdf34-p29-c3
a7
CHO 3 tareki
MAV 3 taraki
ANA 4 takki
BOO 3 taraki
THA 1 mind
NEL 1 miné
CBT 5 nattsSattiram
MAD 5,6 nattSatram
KAN 7 naksatra
BAD 1 minu
ALU 6,7 nattsSatra
BET 1 minu
JEN 1 minna
38. rain
KUN 1 me
KOL 2,4 ma
CHE 1 me
KIL 1 me
MET 1 me
CHO 2 ma
MAV 2 ma
ANA 2 ma
BOO 3 mala
THA 1 me
NEL 3 mala
CBT 3 mala'
MAD 3 maka'
KAN 3 male
BAD    missing data
ALU 1,4 ma
BET 3 male
JEN 3 male
39. water
KUN 1 niré
KOL 1 niré
CHE 1 niré
KIL 1 niré
MET 1 niré
CHO 1 niré
MAV 1 niru
ANA 1 niré
BOO 1 ni¢é
THA 2 tanni
NEL 2 tanni
CBT 2 tanni
MAD 2 tannic
KAN 1 niru
BAD    missing data
ALU 1 niru
BET 1 niru
JEN 1 niru

@@ pdf35-p30-c1
40. river
KUN 1 madé
KOL 2 kere
CHE 2 kere
KIL 2 kere
MET 2 kere
CHO 2 kere
MAV 2 kere
ANA 2 kere
BOO 3 alla
THA 4 veni
NEL 2 kere
CBT 7 ari
MAD 5 nadi
KAN 5 nadi
BAD    missing data
ALU 6 godalu
BET    missing data
JEN    missing data
41. cloud (white)
KUN 1 moda
KOL 2 mapnzu
CHE 2 Manzu

3 muhulu
KIL 2 mangzu
MET 2 manzu
CHO 1 moda

2 man3zt
MAV 1 moda
ANA 2 manzi
BOO 1 moda
THA 2 mapnzu
NEL 2 manszé4
CBT 4 meham
MAD 4,5 megam
KAN 1 moda
BAD 6 gide
ALU 2 mandzu
BET 2 mandzu
JEN 5 mega
42. lightning
KUN 1 minnal
KOL 2 mitsu
CHE 2 mits
KIL 2,3 mrtu
MET 2 mitys4
CHO 2 mintSé
MAV 2 mintsu
ANA 2 miptsi
BOO 2 mintsu
THA 1 minnal
NEL 1 minnal
CBT 1 minnal

@@ pdf35-p30-c2
MAD 1 minnal

KAN 2 mintsu

BAD 2,3 mitsu

ALU 3 mitsju

BET    missing data
JEN    missing data
43. rainbow

KUN 3 kanavilli
KOL 3 kanavilli
CHE 1 kananivillé
KIL 1 kananavillu
MET 1 kananavullé
CHO 4 kakkanbir1lla
MAV 2,3 kanabilli
ANA 6 kakrbrl

BOO 5 camarvillé
THA 7 bimaval

NEL 7 bimavalé

CBT 8 vanavil

MAD 8 vanavil

KAN 1,2 kamanabillu
BAD    missing data
ALU 2,3 kanabillu
BET    missing data
JEN    missing data
44. wind

KUN 1 gali

KOL 1 gali

CHE 1 gali

KIL 1 gali

MET 1 gali

CHO 1 gali

MAV 1 gali

ANA 1 gali

BOO 1 gati

THA 2 kattu

NEL 2 katt:

CBT 2 katté

MAD 3 katru

KAN 1 gali

BAD 1 gaji

ALU 1 gaji

BET 4 ketta

JEN 1 gali

45. stone ({fist~
sized)

KUN 1 kallé

KOL 1 kallé

CHE 1 kallié

KIL 1 kallé

MET 1 Kalli

CHO 1 kalli

@@ pdf35-p30-c3
oVU

MAV 1 kallé
ANA 1 kalla
BOO 1 kallé
THA 1 kalla
NEL 1 kallé
CBT 1 kalli
MAD 2 kal
KAN 1 kallu
BAD 1 kallu
ALU 1 kallu
BET 1 kallu
JEN 1 kallu
46. path (walking)
KUN 1 ve'
KOL 1 ve'
CHE 6 kalvali
KIL 3 vat
MET 3 wat
CHO 3,5 wa'
MAV 1 vei
ANA 1 ve'

5 vu’
BOO 7 dari
THA 1 ve'
NEL 1 ve'
CBT 8 pada‘
MAD 8 pada'
KAN 7 dari
BAD 7 dari
ALU 7 dari
BET 9 batte
JEN 7 gari
47. sand
KUN 2,3 monalé
KOL 1 mann:
CHE 1 mannié
KIL 1 mann:
MET 1 manné
CHO 1 manné
MAV 1 mannii
ANA 1 manni
BOO 1 manni
THA 1 manni
NEL 1 mannié
CBT 1 manné
MAD 2 manal
KAN 3 maralu
BAD 2,3 manalu
ALU    missing data
BET    missing data
JEN    missing data

@@ pdf36-p31-c1
48. fire

KUN 1 ti

KOL 1 ti

CHE 1 ti

KIL 1 ti

MET 1 ti

CHO 1 ti

MAV 1 ti

ANA 1 ti

BOO 2 birnki
THA 1 ti

NEL 1 ti

CBT 1 ti

MAD 1 ti

KAN 2 benki
BAD 3 kitfu
ALU 3 kitfsu
BET 3 tatfa
JEN 2 brnki
49. smoke

KUN 1,2,3 poge
KOL 1,2,3 poge
CHE 1,2,3 poge
KIL 1,2,3 poge
MET 1,2,3 poge
CHO 1,2,3 poge
MAV 1,2,3 poge
ANA 1,2,3 poge
BOO 3 oga

THA 2 poha
NEL 1,2,3 poge
CBT 2 puga'
MAD 2 puga'
KAN 3 hoge

BAD 1 wage

ALU 1 woga
BET 1,2,3 poge
JEN 1,3 woge
50. ash

KUN 1 budi

KOL 1 budi

CHE 1 budi

KIL 1 budi

MET 1 budi

CHO 1 budi

MAV 1 budi
ANA 1 budi

BOO 1 budi

THA 2 kukke
NEL 2 kukka
CBT 3 sambal
MAD 3 sambal

@@ pdf36-p31-c2
KAN 1 bu:di
BAD    missing data
ALU 1 bu:di
BET 4 pid1
JEN 1 bu:di
51. mud (wet)
KUN 1 kosarié
KOL 1 kotsara
CHE 2 seré
KIL 2 seru
MET 2 seri
CHO 3 gore
MAV 3 gore
ANA 3 gore
BOO 3 gora
THA 2 seré
NEL 2 seru
CBT 2 seré
MAD 4 pukudr
KAN 5 mannu
BAD 2 tseru
ALU 2 tseru
BET    missing data
JEN    missing data
52. dust
KUN 1 dutsi
KOL 2 dulu
CHE 2,5 dguli
KIL 1,5 dusi
MET    missing data
CHO 1,5 dufsi
MAV 3 dumbu
ANA 3 gumbu
BOO 1,5 dusi
THA 1,5 dusi
NEL 1,5 dusi
CBT 1,5 dgusi
4 icam
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
53. gold
KUN 1 tanga
KOL 1 tanga
CHE 1 tanga
2 tfinna
KIL 1 tanga
MET 1 tanga

@@ pdf36-p31-c3
ol
CHO 2 sinna
MAV 2 sinna
ANA 2 fiInna
BOO 2 sinna
THA 1 tanga
NEL 1 tango
CBT 1 fangam
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
54. tree
KUN 1,2 mara
KOL 1,2 mara
CHE 1,2 mara
KIL 1,2 mara
MET 1,2 mara
CHO 1,2 mara
MAV 1,2 mara
ANA 1 mara
BOO 1,2 mara
THA 1,2 mara
NEL 1,2 Mara
CBT 1 maram
MAD 1 maram
KAN 1,2 mara
BAD 1,2 Mara
ALU 1,2 Mara
BET 2 mere
JEN 1,2 mara
55. leaf
KUN 1,2,4 1rle
KOL 1,2 ele
CHE 1,2 ele
KIL 1,2 ele
MET 1,2,4 rle
CHO 5 pala
MAV 1,2 ele
ANA 6 soppé
BOO 1 ela
THA 1,2 ele
NEL 1 ela
CBT 1,4 1rlat
MAD 4 jila'
KAN 1,2 ele
BAD 1,2,4 jele
ALU 1,2,4 jele
BET 1,2,4 jele
JEN 2 ale

@@ pdf37-p32-c1
56. root
KUN 1,2 veri
KOL 1,2 ver2
CHE 1,2 veri
KIL 1,2 veru
MET 1,2 veré
CHO 1,2 veréd
MAV 1,2 veré4
ANA 1,2 vera
BOO 1 beri
THA 2 ver
NEL 1,2 ver4
CBT 1 veré
MAD 2 ver
KAN 1 beru
BAD 1 beru
ALU 1 beru
BET 1 bars
JEN 1 beru
57. thorn
KUN 1 mu{14
KOL 1 mullu
CHE 1 mullé
KIL 1 mul11lé
MET 1 mui Lé
CHO 1 mullLé
1 mullu
ANA 1 mu11i
BOO 1 mullLé4
THA 1 mullLé
NEL 1 mullé
CBT 1 mul1lé
MAD 2 mul
KAN 1 mullu
BAD 1 mullu
ALU 1 mullu
BET 1 mullu
JEN 1 mullu
58. flower
KUN 1 pu
KOL 1 pu
CHE 1 pu
KIL 1 pu
MET 1 pu
CHO 1 pu
MAV 1 pu
ANA 1 pu
BOO 3 vu
THA 1 pu
NEL 1 pu
CBT 1 pu

@@ pdf37-p32-c2
MAD 1 pu:

KAN 4 hu:

BAD 4 hu:

ALU 5 u:

BET 6 p™u:gé

JEN 2 wu:

59. fruit

KUN 1 pammi

KOL 1 pamnu

CHE 1 pammi

KIL 1 pammi

MET 1 pammi

CHO 1,3 pamu

MAV 1,3 pamu

ANA 1,3 pamé

BOO 2 enné

THA 3 pam

NEL 1,3 pamu

CBT 4 palam

MAD 4 pakam

KAN 5 hannu

BAD 5 hannu

ALU 6 annu

BET 5 pannu

JEN 6 annu

60. mango

KUN 1 mavapammi
KOL 1 mavapammu
CHE 1 mavapammi
KIL 1 mavepammu
MET 1 mavapamm:
CHO 1 mavapamu

MAV 1 mavapamu
ANA 1 mavapamé

BOO 4 mavanenni
THA 1 mavambam

NEL 3 mambala

CBT 3 mambalam
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN missing data
61. banana

KUN 1 vapamm:

KOL 1 vapammu

CHE 1 vapamm:

KIL 1 vapammi

MET 1 vaApammi

@@ pdf37-p32-c3
04
CHO 1 vapamu
MAV 1 vapamu
ANA 1 vapamé
BOO 4 balaenni
THA 1 vapam
NEL 3 pamu
CBT 8 vala' pAlan
MAD 5 vakaka'
KAN 4 balehannu
BAD 7 benu
ALU 6 bajannu
BET 4 bagapannu
JEN 4 baleannu
62. wheat (husked)
KUN 1 ganza
KOL 2 godumbe
€HE 2 godumbe
KIL 2 gogumbe
MET 2 godumbe
CHO 2 godumba
MAV 3 goduva
ANA 3 godva
BOO 3 godiva
THA 2 kodumbi
NEL 2 godume
CBT 2 godéma'
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
63. rice (husked)
KUN 1 arsi
KOL 1 artsi
CHE 1 arisi
KIL 1 artfi
MET 1 artsi
CHO 1 artsi
MAV 1 arsi
ANA 1 acSi
BOO 3 akki
THA 1 arrsi
NEL 1 arrsi
CBT 1 arrsi
MAD 1 arisi
KAN 3 akki
BAD 3 akki
ALU 3 akku
BET 3 jikki
JEN 3 akki

@@ pdf38-p33-c1
64. potato

KUN 1 dorekangi
KOL 1 dorekangu
CHE 1 durekangi
KIL 1 dgorekangi
MET 1 dorekang
CHO 2 kangi

MAV 2 kangu

ANA 2 kana

BOO 3 kalangé

THA 4 urulakasang:
NEL 4 urulakr Lang?
CBT 4 urulaki lang:
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
65. elephant

KUN 3 ani

KOL 3 ane

CHE 3 ane

KIL 3 ane'

MET 3 ane

CHO 3 ane

MAV 3 ane

ANA 3 ane

BOO 3 ana

THA 3 ana‘

NEL 3 ana

CBT 3 jana’

MAD 3 jana’

KAN 3 ans

BAD 3 ane

ALU 3 ane

BET    missing data
JEN    missing data
66. groundnut

KUN 1 verkadala'
KOL 1 verkadale
CHE 1 verkadala'
KIL 1 verkadqale
MET 1 verkadale
CHO 2 kadale

MAV 1 verkadala'
ANA 3 lelukal|aka'
BOO 3 nalakal|aka'
THA 5 kadla' ka'
NEL 6 pottukadala
CBT 4 ntrlakad|a'
MAD    missing data

@@ pdf38-p33-c2
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
67. chili (whole,
red, dry)

KUN 1 perangi

KOL 1 perangi

CHE 1 parengi

KIL 1 perangi

MET 1 perangi

CHO 1 perengi

MAV 1 perangi

ANA 1 perengi

BOO 2 ariment/sika'
THA 3 malaka'

NEL 3 mo|aka'

CBT 3 m1laga

MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
68. turmeric

KUN 2 manga

KOL 2 manza

CHE 2 manja

KIL 2 manja

MET 2 manja

CHO 2 manja

MAV 2 manja

ANA 2 manja

BOO 3 erusna

THA 2 mans3a

NEL 1,2 manzal

CBT 1 mandgzal

MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
69. garlic

KUN 1 velavengija
KOL 1 velavengia
CHE 1 velavengia
KIL 1 velavengija
MET 1 velavengija
CHO 1 velavengija

@@ pdf38-p33-c3
pete)
MAV 1 velavengia
ANA 1 vellevengia
BOO 2 beluli
THA    missing data
NEL 3 velapundi
CBT 3 velapundé
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
70. tomato
KUN 1 dombapammié
KOL 1 dgombapammu
CHE 1 tombapammé
KIL 6 takkalLi
MET 1 dombapamm4
CHO 3 dombakaji
MAV 1 dgombapamu
ANA 1 dombapam
BOO 4 dombenni
THA 5 takkalLipam
NEL 6 takkali
CBT 6 takkali
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
71. cabbage
KUN 1 muttakosi
KOL 2 gosumotta
CHE 1 muttakosé
KIL 2 gosumotta
MET 2 gosumotta
CHO 1 muttagos4
MAV 1 mottakosu
ANA 1 muttakos:
BOO 1 mottakosé
THA 1 motigos
NEL 1 mottakosé4
CBT 1 muttagos:
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data

@@ pdf39-p34-c1
72. oil

KUN 1 enna
KOL 1 enne
CHE 1,3 enne
KIL 3 onne'
MET 1,3 enne
CHO 1 ennate
MAV 1 enne
ANA 1 enne
BOO 1 enna
THA 1,3 enne
NEL 1 enne
CBT 1 enna
MAD 4 jenna’
KAN 1,4 jenne
