Item	Gloss	Excluded_From_Similarity	Raw_Lect_Code	Lect_Code	Site	District	Reliability	Raw_Form	Form	PDF_Page	Printed_Page	Column	Block	Source_Scope	Status	Review
3	hair	No	ABB	ABB	Abbottabad	Abbottabad District	B	bal	bal	154	148	right	top	hindko_control	response	
3	hair	No	MAN	MAN	Mansehra	Mansehra District	B	bal	bal	154	148	right	top	hindko_control	response	
3	hair	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	bal	bal	154	148	right	top	target	response	
3	hair	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	bal	bal	154	148	right	top	target	response	
4	face	No	MOS	MOS	Mosyari	Rawalpindi District	A	čɛ̤rʌ	čɛ̤rʌ	154	148	right	bottom	target	response	
4	face	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	mũ	mũ	154	148	right	bottom	target	response	
4	face	No	DEW	DEW	Dewal	Rawalpindi District	B	mũ	mũ	154	148	right	bottom	target	response	
4	face	No	AYU	AYU	Ayubia	Abbottabad District	A	mũ	mũ	154	148	right	bottom	target	response	
4	face	No	KOH	KOH	Kohala	Rawalpindi District	A	mũ	mũ	154	148	right	bottom	target	response	
4	face	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	čɛ̤rʌ	čɛ̤rʌ	154	148	right	bottom	target	response	
4	face	No	THA	THA	Thandiani	Abbottabad District	A	mũ	mũ	154	148	right	bottom	target	response	
4	face	No	LOR	LOR	Lora	Abbottabad District	A	mũ	mũ	154	148	right	bottom	target	response	
4	face	No	OSI	OSI	Osia	Rawalpindi District	A	mũ	mũ	154	148	right	bottom	target	response	
4	face	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	mṳ̃	mṳ̃	154	148	right	bottom	target	response	
4	face	No	DUN	DUN	Dunga Gali	Abbottabad District	A	čɛ̤rʌ	čɛ̤rʌ	154	148	right	bottom	target	response	
4	face	No	BHA	BHA	Bharakoh	Islamabad District	B	mṳ̃	mṳ̃	154	148	right	bottom	target	response	
4	face	No	ABB	ABB	Abbottabad	Abbottabad District	B	mũ	mũ	154	148	right	bottom	hindko_control	response	
4	face	No	MAN	MAN	Mansehra	Mansehra District	B	mũ	mũ	154	148	right	bottom	hindko_control	response	
4	face	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	mũ	mũ	154	148	right	bottom	target	response	
4	face	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	mũ	mũ	154	148	right	bottom	target	response	
5	eye	No	MOS	MOS	Mosyari	Rawalpindi District	A	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	DEW	DEW	Dewal	Rawalpindi District	B	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	AYU	AYU	Ayubia	Abbottabad District	A	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	KOH	KOH	Kohala	Rawalpindi District	A	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	THA	THA	Thandiani	Abbottabad District	A	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	LOR	LOR	Lora	Abbottabad District	A	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	OSI	OSI	Osia	Rawalpindi District	A	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	DUN	DUN	Dunga Gali	Abbottabad District	A	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	BHA	BHA	Bharakoh	Islamabad District	B	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	ABB	ABB	Abbottabad	Abbottabad District	B	ʌkʰ	ʌkʰ	155	149	left	top	hindko_control	response	
5	eye	No	MAN	MAN	Mansehra	Mansehra District	B	ʌk	ʌk	155	149	left	top	hindko_control	response	
5	eye	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
5	eye	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	ʌkʰ	ʌkʰ	155	149	left	top	target	response	
6	ear	No	MOS	MOS	Mosyari	Rawalpindi District	A	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	kʌn	kʌn	155	149	left	bottom	target	response	
6	ear	No	DEW	DEW	Dewal	Rawalpindi District	B	kan	kan	155	149	left	bottom	target	response	
6	ear	No	AYU	AYU	Ayubia	Abbottabad District	A	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	KOH	KOH	Kohala	Rawalpindi District	A	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	THA	THA	Thandiani	Abbottabad District	A	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	LOR	LOR	Lora	Abbottabad District	A	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	OSI	OSI	Osia	Rawalpindi District	A	kʌn	kʌn	155	149	left	bottom	target	response	
6	ear	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	DUN	DUN	Dunga Gali	Abbottabad District	A	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	BHA	BHA	Bharakoh	Islamabad District	B	kaṇ	kaṇ	155	149	left	bottom	target	response	
6	ear	No	ABB	ABB	Abbottabad	Abbottabad District	B	kan	kan	155	149	left	bottom	hindko_control	response	
6	ear	No	MAN	MAN	Mansehra	Mansehra District	B	kan	kan	155	149	left	bottom	hindko_control	response	
6	ear	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	kʌṇ	kʌṇ	155	149	left	bottom	target	response	
6	ear	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	kʌn	kʌn	155	149	left	bottom	target	response	
7	nose	No	MOS	MOS	Mosyari	Rawalpindi District	A	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	DEW	DEW	Dewal	Rawalpindi District	B	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	AYU	AYU	Ayubia	Abbottabad District	A	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	KOH	KOH	Kohala	Rawalpindi District	A	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	THA	THA	Thandiani	Abbottabad District	A	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	LOR	LOR	Lora	Abbottabad District	A	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	OSI	OSI	Osia	Rawalpindi District	A	nʌk	nʌk	155	149	right	top	target	response	
7	nose	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	nʌk	nʌk	155	149	right	top	target	response	
7	nose	No	DUN	DUN	Dunga Gali	Abbottabad District	A	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	BHA	BHA	Bharakoh	Islamabad District	B	ṇʌk	ṇʌk	155	149	right	top	target	response	
7	nose	No	ABB	ABB	Abbottabad	Abbottabad District	B	nʌk	nʌk	155	149	right	top	hindko_control	response	
7	nose	No	MAN	MAN	Mansehra	Mansehra District	B	nʌk	nʌk	155	149	right	top	hindko_control	response	
7	nose	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	nʌk	nʌk	155	149	right	top	target	response	
7	nose	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	nʌk	nʌk	155	149	right	top	target	response	
8	mouth	No	MOS	MOS	Mosyari	Rawalpindi District	A	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	DEW	DEW	Dewal	Rawalpindi District	B	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	AYU	AYU	Ayubia	Abbottabad District	A	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	KOH	KOH	Kohala	Rawalpindi District	A	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	THA	THA	Thandiani	Abbottabad District	A	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	LOR	LOR	Lora	Abbottabad District	A	mṳ̃	mṳ̃	155	149	right	bottom	target	response	
8	mouth	No	OSI	OSI	Osia	Rawalpindi District	A	mṳ̃	mṳ̃	155	149	right	bottom	target	response	
8	mouth	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	DUN	DUN	Dunga Gali	Abbottabad District	A	mṳ̃	mṳ̃	155	149	right	bottom	target	response	
8	mouth	No	BHA	BHA	Bharakoh	Islamabad District	B	mṳ̃	mṳ̃	155	149	right	bottom	target	response	
8	mouth	No	ABB	ABB	Abbottabad	Abbottabad District	B	mũ	mũ	155	149	right	bottom	hindko_control	response	
8	mouth	No	MAN	MAN	Mansehra	Mansehra District	B	mũ	mũ	155	149	right	bottom	hindko_control	response	
8	mouth	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	mũ	mũ	155	149	right	bottom	target	response	
8	mouth	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	mũ	mũ	155	149	right	bottom	target	response	
9	teeth	No	MOS	MOS	Mosyari	Rawalpindi District	A	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	DEW	DEW	Dewal	Rawalpindi District	B	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	AYU	AYU	Ayubia	Abbottabad District	A	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	KOH	KOH	Kohala	Rawalpindi District	A	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	THA	THA	Thandiani	Abbottabad District	A	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	LOR	LOR	Lora	Abbottabad District	A	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	OSI	OSI	Osia	Rawalpindi District	A	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	DUN	DUN	Dunga Gali	Abbottabad District	A	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	BHA	BHA	Bharakoh	Islamabad District	B	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	ABB	ABB	Abbottabad	Abbottabad District	B	dʌnd	dʌnd	156	150	left	top	hindko_control	response	
9	teeth	No	MAN	MAN	Mansehra	Mansehra District	B	dʌnd	dʌnd	156	150	left	top	hindko_control	response	
9	teeth	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	dʌnd	dʌnd	156	150	left	top	target	response	
9	teeth	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	dʌnd	dʌnd	156	150	left	top	target	response	
10	tongue	No	MOS	MOS	Mosyari	Rawalpindi District	A	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	DEW	DEW	Dewal	Rawalpindi District	B	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	AYU	AYU	Ayubia	Abbottabad District	A	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	KOH	KOH	Kohala	Rawalpindi District	A	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	THA	THA	Thandiani	Abbottabad District	A	ǰiv	ǰiv	156	150	left	bottom	target	response	
10	tongue	No	LOR	LOR	Lora	Abbottabad District	A	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	OSI	OSI	Osia	Rawalpindi District	A	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	DUN	DUN	Dunga Gali	Abbottabad District	A	ǰiv	ǰiv	156	150	left	bottom	target	response	
10	tongue	No	BHA	BHA	Bharakoh	Islamabad District	B	ǰĩˑv	ǰĩˑv	156	150	left	bottom	target	response	
10	tongue	No	ABB	ABB	Abbottabad	Abbottabad District	B	ǰib	ǰib	156	150	left	bottom	hindko_control	response	
10	tongue	No	MAN	MAN	Mansehra	Mansehra District	B	ǰĩˑb	ǰĩˑb	156	150	left	bottom	hindko_control	response	
10	tongue	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	ǰiˑv	ǰiˑv	156	150	left	bottom	target	response	
10	tongue	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	ǰiˑv	ǰiˑv	156	150	left	bottom	target	response	
11	breast	No	MOS	MOS	Mosyari	Rawalpindi District	A	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	DEW	DEW	Dewal	Rawalpindi District	B	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	AYU	AYU	Ayubia	Abbottabad District	A	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	KOH	KOH	Kohala	Rawalpindi District	A	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	THA	THA	Thandiani	Abbottabad District	A	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	LOR	LOR	Lora	Abbottabad District	A	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	OSI	OSI	Osia	Rawalpindi District	A	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	DUN	DUN	Dunga Gali	Abbottabad District	A	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	BHA	BHA	Bharakoh	Islamabad District	B	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	ABB	ABB	Abbottabad	Abbottabad District	B	čʰati	čʰati	156	150	right	top	hindko_control	response	
11	breast	No	MAN	MAN	Mansehra	Mansehra District	B	čʰati	čʰati	156	150	right	top	hindko_control	response	
11	breast	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	čʰati	čʰati	156	150	right	top	target	response	
11	breast	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	čʰati	čʰati	156	150	right	top	target	response	
12	belly	No	MOS	MOS	Mosyari	Rawalpindi District	A	ṭɛḍ	ṭɛḍ	156	150	right	bottom	target	response	
12	belly	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	ṭɛḍ	ṭɛḍ	156	150	right	bottom	target	response	
12	belly	No	DEW	DEW	Dewal	Rawalpindi District	B	ṭɛḍ	ṭɛḍ	156	150	right	bottom	target	response	
12	belly	No	AYU	AYU	Ayubia	Abbottabad District	A	ṭɛḍ	ṭɛḍ	156	150	right	bottom	target	response	
12	belly	No	KOH	KOH	Kohala	Rawalpindi District	A	ṭɛḍ	ṭɛḍ	156	150	right	bottom	target	response	
12	belly	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	peṭ	peṭ	156	150	right	bottom	target	response	
12	belly	No	THA	THA	Thandiani	Abbottabad District	A	ṭɛḍ	ṭɛḍ	156	150	right	bottom	target	response	
12	belly	No	LOR	LOR	Lora	Abbottabad District	A	peṭ	peṭ	156	150	right	bottom	target	response	
12	belly	No	OSI	OSI	Osia	Rawalpindi District	A	peṭ	peṭ	156	150	right	bottom	target	response	
12	belly	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	peṭ	peṭ	156	150	right	bottom	target	response	
12	belly	No	DUN	DUN	Dunga Gali	Abbottabad District	A	peṭ	peṭ	156	150	right	bottom	target	response	
12	belly	No	BHA	BHA	Bharakoh	Islamabad District	B	peṭ	peṭ	156	150	right	bottom	target	response	
12	belly	No	ABB	ABB	Abbottabad	Abbottabad District	B	ṭɛḍ	ṭɛḍ	156	150	right	bottom	hindko_control	response	
12	belly	No	MAN	MAN	Mansehra	Mansehra District	B	peṭ	peṭ	156	150	right	bottom	hindko_control	response	
12	belly	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	peṭ	peṭ	156	150	right	bottom	target	response	
12	belly	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	ṭɛḍ	ṭɛḍ	156	150	right	bottom	target	response	
13	arm	No	MOS	MOS	Mosyari	Rawalpindi District	A	bã	bã	157	151	left	top	target	response	
13	arm	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	bã	bã	157	151	left	top	target	response	
13	arm	No	DEW	DEW	Dewal	Rawalpindi District	B	bã	bã	157	151	left	top	target	response	
13	arm	No	AYU	AYU	Ayubia	Abbottabad District	A	bã	bã	157	151	left	top	target	response	
13	arm	No	KOH	KOH	Kohala	Rawalpindi District	A	bã	bã	157	151	left	top	target	response	
13	arm	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	bã	bã	157	151	left	top	target	response	
13	arm	No	THA	THA	Thandiani	Abbottabad District	A	bã	bã	157	151	left	top	target	response	
13	arm	No	LOR	LOR	Lora	Abbottabad District	A	bã	bã	157	151	left	top	target	response	
13	arm	No	OSI	OSI	Osia	Rawalpindi District	A	ba̤	ba̤	157	151	left	top	target	response	
13	arm	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	bã̤	bã̤	157	151	left	top	target	response	
13	arm	No	DUN	DUN	Dunga Gali	Abbottabad District	A	bã̤	bã̤	157	151	left	top	target	response	
13	arm	No	BHA	BHA	Bharakoh	Islamabad District	B	bã̤	bã̤	157	151	left	top	target	response	
13	arm	No	ABB	ABB	Abbottabad	Abbottabad District	B	bã	bã	157	151	left	top	hindko_control	response	
13	arm	No	MAN	MAN	Mansehra	Mansehra District	B	bã	bã	157	151	left	top	hindko_control	response	
13	arm	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	bã̤	bã̤	157	151	left	top	target	response	
13	arm	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	bã̤	bã̤	157	151	left	top	target	response	
14	elbow	No	MOS	MOS	Mosyari	Rawalpindi District	A	kṳ̃ni	kṳ̃ni	157	151	left	bottom	target	response	
14	elbow	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	kṳ̃ni	kṳ̃ni	157	151	left	bottom	target	response	
14	elbow	No	DEW	DEW	Dewal	Rawalpindi District	B	kʰũni	kʰũni	157	151	left	bottom	target	response	
14	elbow	No	AYU	AYU	Ayubia	Abbottabad District	A	kʰuṇi	kʰuṇi	157	151	left	bottom	target	response	
14	elbow	No	KOH	KOH	Kohala	Rawalpindi District	A	kʰuni	kʰuni	157	151	left	bottom	target	response	
14	elbow	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	kʰuni	kʰuni	157	151	left	bottom	target	response	
14	elbow	No	THA	THA	Thandiani	Abbottabad District	A	kʰuṇĩ	kʰuṇĩ	157	151	left	bottom	target	response	
14	elbow	No	LOR	LOR	Lora	Abbottabad District	A	kʰuṇĩ	kʰuṇĩ	157	151	left	bottom	target	response	
14	elbow	No	OSI	OSI	Osia	Rawalpindi District	A	kʰuṇĩ	kʰuṇĩ	157	151	left	bottom	target	response	
14	elbow	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	kʰuṇĩ	kʰuṇĩ	157	151	left	bottom	target	response	
14	elbow	No	DUN	DUN	Dunga Gali	Abbottabad District	A	kʰuṇĩ	kʰuṇĩ	157	151	left	bottom	target	response	
14	elbow	No	BHA	BHA	Bharakoh	Islamabad District	B	kʰuṇi	kʰuṇi	157	151	left	bottom	target	response	
14	elbow	No	ABB	ABB	Abbottabad	Abbottabad District	B	kuḷi	kuḷi	157	151	left	bottom	hindko_control	response	
14	elbow	No	MAN	MAN	Mansehra	Mansehra District	B	kuḷi	kuḷi	157	151	left	bottom	hindko_control	response	
14	elbow	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	arʌk	arʌk	157	151	left	bottom	target	response	
14	elbow	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	arʌk	arʌk	157	151	left	bottom	target	response	
15	palm	No	MOS	MOS	Mosyari	Rawalpindi District	A	tʌli	tʌli	157	151	right	top	target	response	
15	palm	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	tʌli	tʌli	157	151	right	top	target	response	
15	palm	No	DEW	DEW	Dewal	Rawalpindi District	B	tʌli	tʌli	157	151	right	top	target	response	
15	palm	No	AYU	AYU	Ayubia	Abbottabad District	A	tʌli	tʌli	157	151	right	top	target	response	
15	palm	No	KOH	KOH	Kohala	Rawalpindi District	A	tʌli	tʌli	157	151	right	top	target	response	
15	palm	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	tʌli	tʌli	157	151	right	top	target	response	
15	palm	No	THA	THA	Thandiani	Abbottabad District	A	tʌli	tʌli	157	151	right	top	target	response	
15	palm	No	LOR	LOR	Lora	Abbottabad District	A	tʌli	tʌli	157	151	right	top	target	response	
15	palm	No	OSI	OSI	Osia	Rawalpindi District	A	tɛli	tɛli	157	151	right	top	target	response	
15	palm	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	tʌli	tʌli	157	151	right	top	target	response	
