ID,Parameter_ID,Form,Morphology,Gloss,Reason
d1787-1,d1787,kuruṭu,(in cpds. kuruṭṭu-),"blindness, dimness in gems, wrong side of a cloth",unclassified full-stem or irregular paradigm
d1794-1,d1794,kuruḷ,"(kuruḷv-, kuruṇṭ-)",to curl <i>,unclassified full-stem or irregular paradigm
d1859-2,d1859,kuṟu,"(kuṟuv, kuṟṟ-)",to pluck,unclassified full-stem or irregular paradigm
d1915-1,d1915,kūḷ,"(kūḷv-, kūṇṭ-)","to crowd together, assemble, muster",unclassified full-stem or irregular paradigm
d1981-1,d1981,ceṟu,"(ceṟuv-, ceṟṟ-; -pp-, -tt-)",killing,partially classified paradigm
d2017-101,d2017,cilai); kelpa,(kelpi-),"to invoke, petition a deity, repeat incantations; <i>n.</i> incantation, invocation",unclassified full-stem or irregular paradigm
d2017-102,d2017,klēga,(klēgi-),"to bewitch, enchant, exert magical powers; <i>n.</i> sorcery, witchcraft. <i>",unclassified full-stem or irregular paradigm
d2017-103,d2017,kleha,(klehi-),"to bewitch, enchant, exert magical powers; <i>n.</i> sorcery, witchcraft. <i>",unclassified full-stem or irregular paradigm
d2017-104,d2017,kēpa,(kēpi-),"to bewitch, enchant, exert magical powers; <i>n.</i> sorcery, witchcraft. <i>",unclassified full-stem or irregular paradigm
d2020-1,d2020,cēṟu,(in cpds. cēṟṟu-),"mud, mire, slush, liquid of thick consistency",unclassified full-stem or irregular paradigm
d2132-1,d2132,kol,"(kolv-, koṉṟ-)","to kill, murder, destroy, ruin, fell, reap (as the heads of grain), afflict, tease; <i>n.</i> act of killing, affliction",unclassified full-stem or irregular paradigm
d2151-1,d2151,koḷ,"(koḷv-, koṇṭ-)","to seize, receive, buy, acquire, marry, abduct, contain, learn, think, regard, esteem; aux. with refl. meaning",unclassified full-stem or irregular paradigm
d2152-1,d2152,koḷ,"(koḷv-, koṇṭ-)","to strike, hurt",unclassified full-stem or irregular paradigm
d2200-1,d2200,kōṭu,(in cpds. kōṭṭu-),"horn, tusk, branch of tree, cluster, bunch, coil of hair, line, diagram, bank of stream or pool",unclassified full-stem or irregular paradigm
d2393-1,d2393,cavaḷ,"(cavaḷv-, cavaṇṭ-)","to bend (<i>intr.</i>), be supple (as the arms of a fencer)",unclassified full-stem or irregular paradigm
d2470-1,d2470,cāl,"(cālv-, cāṉṟ-)","to be abundant, full, be suitable, fitting, be great, noble; be sufficient; <i>n.</i> fullness, abundance",unclassified full-stem or irregular paradigm
d2470-21,d2470,cāl,"(cālv-, cāṉṟ-)","to be abundant, full, be suitable, fitting, be great, noble; be sufficient; <i>n.</i> fullness, abundance",unclassified full-stem or irregular paradigm
d2503-3,d2503,cikal,"(cikalv-, cikaṉṟ-)","to diminish, decrease, perish; <i>n.</i> want, ruin",unclassified full-stem or irregular paradigm
d2684-4,d2684,curuḷ,"(curuḷv-, curuṇṭ-)","to become coiled, roll, curl (as hair); <i>n.</i> rolling, roll, coil, curl, woman's hair curled and tied up in dressing",unclassified full-stem or irregular paradigm
d2687-6,d2687,curuḷ,"(curuḷv-, curuṇṭ-)","to shrivel, shrink (as leaf), droop (as from heat, hunger) be reduced to severe straits",unclassified full-stem or irregular paradigm
d2698-2,d2698,cur̤al,"(cur̤alv-, cur̤aṉṟ-)","to whirl, spin, rotate, roll, turn on axis (as wheel), revolve in an orbit, roam, wander, be tossed about, driven to and fro, be agitated, troubled, distressed in mind, droop, faint, languish, be dizzy, swim as the eyes; <i>n.</i> whirling, revolving, curl, eddy, etc",unclassified full-stem or irregular paradigm
d2698-72,d2698,cur̤al,"(cur̤alv-, cur̤aṉṟ-)","to whirl, spin, rotate, roll, turn on axis (as wheel), revolve in an orbit, roam, wander, be tossed about, driven to and fro, be agitated, troubled, distressed in mind, droop, faint, languish, be dizzy, swim as the eyes; <i>n.</i> whirling, revolving, curl, eddy, etc",unclassified full-stem or irregular paradigm
d2698-141,d2698,ur̤al,"(ur̤alv-, ur̤aṉṟ-)","to oscillate, swing, be in motion, whirl, revolve, wander, roam about",unclassified full-stem or irregular paradigm
d2722-3,d2722,uṭal,"(uṭalv-, uṭaṉṟ-)","to be enraged, quarrel, fight",unclassified full-stem or irregular paradigm
d2733-1,d2733,cūl,"(cūlv-, cūṉṟ-)","to become pregnant; <i>n.</i> conception, pregnancy, egg, wateriness of clouds",unclassified full-stem or irregular paradigm
d2734-1,d2734,cūl,"(cūlv-, cūṉṟ-)","to scoop, dig out, pierce, cut off",unclassified full-stem or irregular paradigm
d2781-1,d2781,cel,"(celv-, ceṉṟ-)","to go, flow, pass, occur, pass (as coin), be suitable, acceptable, pass away as time, disappear as anger, perish, die; <i>n.</i> career, course, payment of debt, period that has elapsed",unclassified full-stem or irregular paradigm
d2904-1,d2904,ñaral,"(ñaralv-, ñaraṉṟ-)","to sound, make noise",unclassified full-stem or irregular paradigm
d2904-3,d2904,naral,"(naralv-, naraṉṟ-)","to sound, make noise, creak, roar, low (as cows), caw, hum (as many voices), cry",unclassified full-stem or irregular paradigm
d2912-1,d2912,ñāl,"(ñālv-, ñāṉṟ-)","to hang, decline, descend (as the sun)",unclassified full-stem or irregular paradigm
d2912-3,d2912,nāl,"(nālv-, nāṉṟ-)","to hang, swing, be suspended, hung up, hang oneself",unclassified full-stem or irregular paradigm
d2923-10,d2923,neku,"(nekuv-, nekk-)","to become soft, relaxed, loosened, soaked and ready to break, melt, relent (as the heart), slip off, be ruined, scattered, broken, be ground well, macerated",unclassified full-stem or irregular paradigm
d2927-12,d2927,nakaḷ,"(nakaḷv-, nakaṇṭ-)",to be crushed,unclassified full-stem or irregular paradigm
d2931-1,d2931,ñeḷ,"(ñeḷv-, ñeṇṭ-)",to become hollow,unclassified full-stem or irregular paradigm
d2932-1,d2932,ñeḷ,"(ñeḷv-, ñeṇṭ-)",to sound,unclassified full-stem or irregular paradigm
d3068-1,d3068,tapu,"(? -pp-, -tt-)","to perish, come to an end, die; (-pp-, -tt-)to destroy",unclassified full-stem or irregular paradigm
d3109-2,d3109,tivaḷ,"(tivaḷv-, tivaṇt-)",to move as on the ground,unclassified full-stem or irregular paradigm
d3115-1,d3115,tar̤al,"(tar̤alv-, tar̤aṉṟ-)","to glow, be very hot, burn, shine; <i>n.</i> fire, live coals, embers",unclassified full-stem or irregular paradigm
d3245-1,d3245,tiraḷ,"(tiraḷv-, tiraṇṭ-)","to become round, globular, assemble, congregate, collect in large numbers, accumulate, abound, become dense, grow thick, form as a tumour or pustule, swell up, bulge out, mature as fruits, grow to full size as beasts or tubers, arrive at puberty; <i>n.</i> ball, globe, round mass, crowd, assembly, flock, aggregation, cluster, clump, tuft, army, abundance",unclassified full-stem or irregular paradigm
d3245-6,d3245,teruḷ,"(teruḷv-, teruṇṭ-)",to arrive at puberty (of a girl),unclassified full-stem or irregular paradigm
d3291-3,d3291,tuyil,"(tuyilv-, tuyiṉṟ-)","to sleep, abide, stay, set as the sun, die; <i>n.</i> sleep, dream, death, abiding, staying, cohabitation",unclassified full-stem or irregular paradigm
d3354-1,d3354,tuvaḷ,"(tuvaḷv-, tuvaṇṭ-)","to quiver, tremble",unclassified full-stem or irregular paradigm
d3398-6,d3398,tuval,"(tuvalv-, tuvaṉṟ-)","to drip as water, sprinkle, drizzle",unclassified full-stem or irregular paradigm
d3401-2,d3401,vb.,(tūṟi-),"to become bushy, sprout forth, become shaggy and rough",unclassified full-stem or irregular paradigm
d3405-1,d3405,tekuḷ,"(tekuḷv-, tekuṇṭ-)",to be full,unclassified full-stem or irregular paradigm
d3419-7,d3419,teruḷ,"(teruḷv-, teruṇṭ-)","to know, gain true knowledge, perceive, ascertain, understand clearly, be renowned, be clear, lucid; <i>n.</i> knowledge, intelligence, clear perception, comprehension, wisdom",unclassified full-stem or irregular paradigm
d3454-2,d3454,tiyaṅku,(tiyanki-),"to be confounded, deluded",unclassified full-stem or irregular paradigm
d3476-1,d3476,toku,"(tokuv-, tokk-)","to assemble, collect, accumulate, form as a whole or lump, aggregate, be summed up, totalled; (-pp-, -tt-) to cause to assemble, bring together, gather, sum up, total, add, summarize",unclassified full-stem or irregular paradigm
d3476-5,d3476,tuku,"(tukuv-, tukk-)","to be gathered in a mass, as the hair; (-pp-, -tt-) to bring together, gather in a mass as hair",unclassified full-stem or irregular paradigm
d3549-5,d3549,toṭu,(toṭuv- toṭṭ-),"to dig, scoop out, excavate, pierce through; <i>n.</i> field, garden",unclassified full-stem or irregular paradigm
d3569-1,d3569,naku,"(nakuv-, nakk-)","to laugh, smile, rejoice, bloom as a flower, open, expand, shine, glitter",unclassified full-stem or irregular paradigm
d3605-1,d3605,araḷ,"(araḷv-, araṇṭ-)","to terrify, frighten; <i>n.</i> fear",unclassified full-stem or irregular paradigm
d3610-1,d3610,nal,(naṟ-),good,unclassified full-stem or irregular paradigm
d3616-1,d3616,navil,"(navilv-, naviṉṟ-)","to say, tell, learn, utter, sound loudly, sing, perform (as a dance)",unclassified full-stem or irregular paradigm
d3616-3,d3616,nuval,"(nuvalv-, nuvaṉṟ-)","to say, declare, utter; <i>n.</i> word, saying",unclassified full-stem or irregular paradigm
d3659-1,d3659,nikar,"(-pp-, -tt-; nikari-)","to shine, be visible; <i>n.</i> lustre, brightness, splendour",partially classified paradigm
d3673-3,d3673,niral,"(niralv-, niraṉṟ-)","to be placed in a row, arranged in order; <i>n.</i> order, arrangement, equality, similarity",unclassified full-stem or irregular paradigm
d3679-3,d3679,nir̤al,"(nir̤alv-, nir̤aṉṟ-)","to cast shadow, give shelter, shine, be reflected",unclassified full-stem or irregular paradigm
d3692-1,d3692,nīḷ,"(nīḷv-, nīṇṭ-)","to be long, be great; <i>n.</i> length, extension, elongation, long time, duration, height, tallness, loftiness, depth, order, series, row",unclassified full-stem or irregular paradigm
d3733-1,d3733,neku,"(nekuv-, nekk-)","to suffer, be distressed",unclassified full-stem or irregular paradigm
d3790-1,d3790,noḷ,"(noḷv-, noṇṭ-)","to bale out as water, measure out as grain",unclassified full-stem or irregular paradigm
d3791-1,d3791,noḷ,"(noḷv-, noṇṭ-)","to swallow, devour",unclassified full-stem or irregular paradigm
d3793-1,d3793,nō,"(-v-, nont-)","to feel pain, ache, suffer, be grieved, distressed in mind, be injured, spoiled; <i>n.</i> pain, illness, weakness, infirmity",unclassified full-stem or irregular paradigm
d3808-1,d3808,paku,"(pakuv-, pakk-)","to be split, divided, be at variance, separate; divide",unclassified full-stem or irregular paradigm
d3942-1,d3942,payil,"(payilv-, payiṉṟ-)","to become trained, accustomed, practise, learn by practice (as an art); <i>n.</i> practice, habit",unclassified full-stem or irregular paradigm
d3943-1,d3943,payil,"(payilv-, payiṉṟ-)","to speak, utter, tell, talk, utter indistinct sound (as bird), call; <i>n.</i> word, secret language, cant",unclassified full-stem or irregular paradigm
d4020-1,d4020,paṟa,"(paṟapp-, paṟant-)","to fly, hover, flutter, move with celerity, hasten, be in a hurry, be greatly agitated, be scattered, dispersed, disappear",unclassified full-stem or irregular paradigm
d4023-2,d4023,puṟāṇṭu,(paṟāṇṭi-),to scratch as with nails,unclassified full-stem or irregular paradigm
d4194-1,d4194,piḷ,"(piḷv-, piṇṭ-; piḷp-, piṭṭ-)","to burst open, be rent or cut, be broken to pieces, disagree; cleave asunder, divide, crush",unclassified full-stem or irregular paradigm
d4233-1,d4233,pukal,"(pukalv-, pukaṉṟ-)","to say, state, sound; <i>n.</i> word, mode of singing",unclassified full-stem or irregular paradigm
d4238-1,d4238,puku,"(pukuv-, pukk-)","to reach, attain, enter, commence, go, ride, happen; (-pp-, -tt-; alsopukuttu [pukutti-]) to cause to enter, insert",unclassified full-stem or irregular paradigm
d4285-1,d4285,puraḷ,"(puraḷv-, puraṇṭ-)","lying, deceit, insurrection",unclassified full-stem or irregular paradigm
d4333-14,d4333,puṟa-ppaṭu,"(-ppaṭuv-, -ppaṭṭ-)","to set forth, proceed, start, go out",unclassified full-stem or irregular paradigm
d4441-1,d4441,pēl,"(pēlv-, pēṉṟ-)",</i> excrement. <i>,unclassified full-stem or irregular paradigm
d4441-12,d4441,pēl,"(pēlv-, pēṉṟ-)",</i> excrement. <i>,unclassified full-stem or irregular paradigm
d4541-5,d4541,porun,(poruni-),"to be suitable, agree",unclassified full-stem or irregular paradigm
d4594-1,d4594,pōru,(pōnt-),"to go on, proceed, continue, reach, be understood (as a meaning); be enough, sufficient",unclassified full-stem or irregular paradigm
d4597-1,d4597,pōl,"(pōlv-, pōṉṟ-)","to resemble, be like, similar, equal, match; a particle of comparison (alsopōla); pōliperson or thing that is equal, similarity, likeness, pretence, hypocrisy",unclassified full-stem or irregular paradigm
d4711-1,d4711,maram,(in cpds. marattu-),"tree, wood, timber",unclassified full-stem or irregular paradigm
d4711-47,d4711,maram,(in cpds. marattu-),"tree, wood, timber",unclassified full-stem or irregular paradigm
d4719-1,d4719,maruntu,(in cpds. maruttu-),medicine,unclassified full-stem or irregular paradigm
d4723-1,d4723,maruḷ,"(maruḷv-, maruṇṭ-)","to be confused, bewildered, deluded, be afraid, be timid, wonder, be similar; <i>n.</i> bewilderment of mind, confusion, ignorance, delusion, illusion, wonder, intoxication, madness, toddy, imp. devil, possession as by a spirit",unclassified full-stem or irregular paradigm
d4746-6,d4746,ma·km,(obl. ma·kt-),beauty,unclassified full-stem or irregular paradigm
d4822-1,d4822,māl,"(mālv-, māṉṟ-)","to be confused, perturbed; <i>n.</i> illusion, delusion, aberration of mind, dullness, stupor, confusion, desire, love, lust",unclassified full-stem or irregular paradigm
d4822-5,d4822,māṉ,"(māṉv-, māṉṟ-)","to be doubtful, be confused",unclassified full-stem or irregular paradigm
d4831-1,d4831,māḷ,"(māḷv-, māṇṭ-)","to die, perish, be exhausted, expended or finished",unclassified full-stem or irregular paradigm
d4838-1,d4838,miku,"(mikuv-, mikk-)","to exceed, surpass, be in excess, grow, increase, swell, be doubled (a letter), crowd, be great, excellent, be superior, remain, be left over, be superfluous, be self-conceited, arrogant; (-pp-, -tt-) to augment, make large, excel, surpass, increase, regard with pride; <i>adj.</i> great",unclassified full-stem or irregular paradigm
d4883-1,d4883,mīḷ,"(mīḷv-, mīṇṭ-)","to return, disappear, vanish, be cured as of a disease, be rescued, redeemed, liberated, pass beyond; (mīṭp-, mīṭṭ-) to liberate, extricate, release, bring back, recover, remove, cause to disappear, redeem, restore, rescue, chew the cud",unclassified full-stem or irregular paradigm
d4915-2,d4915,mūy,(-v- -nt-; mūyi-),"to cover, fill, surround closely; <i>n.</i> a cover",partially classified paradigm
d4967-1,d4967,muyal,"(muyalv-, muyaṉṟ-)","to practise, persevere, make continued exertion, take pains, begin, undertake; <i>n.</i> war",unclassified full-stem or irregular paradigm
d4973-1,d4973,mural,(muralv- muraṉṟ-),"to make sound, cry, sing",unclassified full-stem or irregular paradigm
d5018-1,d5018,muṛṟu,(muṟṟi-),"to surround, besiege, blockade; <i>n.</i> siege",unclassified full-stem or irregular paradigm
d5048-1,d5048,mūḷ,"(mūḷv-, mūṇṭ-)","to kindle, catch fire, be kindled, stirred up (as anger)",unclassified full-stem or irregular paradigm
d5075-1,d5075,meruḷ,(meruḷv- meruṇṭ-),"to fear, shy; <i>n.</i> fear",unclassified full-stem or irregular paradigm
d5075-3,d5075,miraḷ,"(miraḷv-, miraṇṭ-)","to be frightened, startled",unclassified full-stem or irregular paradigm
d5077-1,d5077,mel,(melv- meṉṟ-),"to chew, champ",unclassified full-stem or irregular paradigm
d5124-1,d5124,moḷ,"(moḷv-, moṇṭ-)","to take in a vessel, as water",unclassified full-stem or irregular paradigm
d5126-15,d5126,cuma,(? *cuma- &gt; *cmō&gt; mō-),DED(S) 4211,unclassified full-stem or irregular paradigm
d5157-1,d5157,āḷ,"(āḷv-, āṇṭ-)","to rule, reign over, control or manage (as a household), cherish, maintain, keep or maintain in use",unclassified full-stem or irregular paradigm
d5244-1,d5244,vataṟu,(vataṛi-),"to chatter, prate, be talkative, lisp, abuse",unclassified full-stem or irregular paradigm
d5320-6,d5320,vaṟaḷ,(vaṟaḷv- vaṟaṇṭ-),"to become dry, become lean or emaciated; <i>n.</i> drying up, emptiness, sandy soil",unclassified full-stem or irregular paradigm
d5320-7,d5320,varaḷ,"(varaḷv-, varaṇṭ-)","to become dry, become lean or emaciated; <i>n.</i> drying up, emptiness, sandy soil",unclassified full-stem or irregular paradigm
d5432-1,d5432,viḷ,(viḷv- viṇṭ-),"to open out, expand, unfold as a blossom, crack, split; burst, be at variance, become clear, be separated from",unclassified full-stem or irregular paradigm
d5433-1,d5433,viḷ,"(viḷv-, viṇṭ-)","to say, tell, reveal, make known",unclassified full-stem or irregular paradigm
d5433-9,d5433,viḷar,(viḷari-),to call,unclassified full-stem or irregular paradigm
d5453-1,d5453,vīṭu-koḷ,"(koḷv-, koṇṭ-)","to recover, get back",unclassified full-stem or irregular paradigm
d5464-1,d5464,vekuḷ,"(vekuḷv-, vekuṇṭ-)","to be angry, be enraged at, hate, dislike",unclassified full-stem or irregular paradigm
d5489-3,d5489,veruḷ,"(veruḷv-, veruṇṭ-; veruḷi-)","to be startled, perplexed, bewildered, be frightened, shy, be skittish; <i>n.</i> fear, perplexity, that which is fearful",unclassified full-stem or irregular paradigm
d5489-4,d5489,viraḷ,"(viraḷv-, viraṇṭ-)","to be startled, perplexed, bewildered, be frightened, shy, be skittish; <i>n.</i> fear, perplexity, that which is fearful",unclassified full-stem or irregular paradigm
d5493-1,d5493,vel,"(velv-, veṉṟ-)","to conquer, overcome, subdue, destroy, remove, excel",unclassified full-stem or irregular paradigm
d5516-1,d5516,viṉā,(viṉāy-),"to ask, investigate, give ear to, listen, hear",unclassified full-stem or irregular paradigm
d5524-5,d5524,vēcaṟu,"(vēcaṟuv-, vēcaṟṛ-)","to be weary, fatigued, be vexed, distressed",unclassified full-stem or irregular paradigm
