Proto_Nuristani_ID,Proto_Nuristani_Form,Indo_Aryan_ID,Indo_Aryan_Form,Indo_Aryan_Gloss,Target_Language,Target_Form,Target_Gloss,Form_Similarity,Gloss_Overlap,Score,Runner_Up_Score,Structural_ID
n478,vâṇ-a-,12111,vḗnati,"sees, looks; to see",OIA,v′en-a-ti,sees; looks,1.000,looks;sees,1.200,0.833,12111
n479,vâṇ-e-,12111,vḗnati,"sees, looks; to see",OIA,v′en-a-ti,sees; looks,1.000,looks;sees,1.200,0.833,12111
n480,veṇ-a-,12111,vḗnati,"sees, looks; to see",OIA,v′en-a-ti,sees; looks,1.000,looks;sees,1.200,0.833,12111
n481,veṇ-e-,12111,vḗnati,"sees, looks; to see",OIA,v′en-a-ti,sees; looks,1.000,looks;sees,1.200,0.833,12111
n483,ve˜-ta,12111,vḗnati,"sees, looks; to see",OIA,ven-to-,was seen,0.727,,0.727,0.667,12111
n484,-vâṇi,11218,vaṭin,stringed,PAr,vain-,sees; looks,0.889,,0.889,0.889,12111
n487,vaṭdroṇ,11353,*vartadruṇa,pellet-bow,OIA,*vart-a-druṇa-,stone-bow,1.000,bow,1.200,0.867,11353
n488,vaṭdroṇ-,11353,*vartadruṇa,pellet-bow,OIA,*vart-a-druṇa-,stone-bow,1.000,bow,1.200,0.867,11353
n489,baḍil,11385,*vardʰira,"axe, hammer",OIA,*vardʱ-ira-,axe; hammer,1.000,axe;hammer,1.250,0.923,11385
n492,ban,11258,vána,"single tree; forest, timber",OIA,v′ana-,forest; timber,1.000,forest;timber,1.200,1.089,11258
n493,bana,11258,vána,"single tree; forest, timber",OIA,v′ana-,forest; timber,1.000,forest;timber,1.200,1.089,11258
n494,vanźi,11209,*vañja,oak; name of various trees,PAr,vanǰa-,oak,1.000,oak,1.200,0.909,11209
n495,manźi,11209,*vañja,oak; name of various trees,PAr,vanǰa-,oak,1.000,oak,1.200,0.909,11209
n496,manź,11209,*vañja,oak; name of various trees,PAr,vanǰa-,oak,1.000,oak,1.200,0.909,11209
n497,baṭa,11235,vaṇṭa-,share,OIA,vanṭ-a-,share,1.000,share,1.250,1.000,11235.1
n498,maṭa,11235,vaṇṭa-,share,OIA,vanṭ-a-,share,1.000,share,1.250,1.000,11235.1
n499,maṭa,11235,vaṇṭa-,share,OIA,vanṭ-a-,share,1.000,share,1.250,1.000,11235.1
n500,maṭa,11235,vaṇṭa-,share,OIA,vanṭ-a-,share,1.000,share,1.250,1.000,11235.1
n502,vrâmik,11296,vamrá,ant; small ant,OIA,vamr-i:-,ant,0.800,ant,1.000,0.917,11296
n506,vâš,11588,vā́śī,sharp-pointed knife or adze,OIA,v′âši-:-,adze,1.000,adze,1.200,1.000,11588
n507,vâš-,11588,vā́śī,sharp-pointed knife or adze,OIA,v′âši-:-,adze,1.000,adze,1.200,1.000,11588
n516,viṭala-,11682,vícalati,"moves away; shakes; goes astray, is destroyed",OIA,*vi-ṭal-a-ti,moves aside; is disturbed,0.875,is;moves,1.075,1.024,5450
n518,vidišâ,11738,vidēśyà,foreign; foreign country,OIA,vi-deš-y`a-,foreign,1.000,foreign,1.200,0.833,11738
n523,vea-,12109,*vēdʰati,pierces; piercing,OIA,vedʱ-a-ti,pierces,1.000,pierces,1.200,1.019,12109
n524,vel,12114,vēla,"garden, grove",OIA,v′ela-:-,limit; time,1.000,,1.000,0.889,12115
n526,âc̣,12067,vr̩kṣá,tree,PAr,vr̥č-s′a-,tree,0.800,tree,1.050,0.889,12067
n527,iamra,12079,*vr̩mra,"globular fruit, walnut; betel-nut tree",OIA,vr̥mra-,walnut,1.000,walnut,1.200,1.000,12079
n529,iupa-,12218,vyutpādayati,causes to arise,OIA,vy-ut-pâd-ay-a-ti,causes to arise,1.000,arise;causes,1.250,1.057,12218
n531,rić,12233,vrīhí,rice,PAr,vri:ǰʱ′i-,rice,0.800,rice,1.050,0.667,12233
n532,vrić,12233,vrīhí,rice,PAr,vri:ǰʱ′i-,rice,0.800,rice,1.050,0.667,12233
n533,bre,12234,vlēpita,causes to be crushed; crushes; crushed,OIA,vle-p-i-ta-,crushed,1.000,crushed,1.200,0.769,12234
n534,vrei,12234,vlēpita,causes to be crushed; crushes; crushed,OIA,vle-p-i-ta-,crushed,1.000,crushed,1.200,0.769,12234
n541,-ma,9691,ma,,PAr,-m-a,,1.000,,1.050,1.050,
n544,-m,10122-6,*mīna-,,PAr,-m-i,,0.667,,0.717,0.717,
n547,iam,9731,maṇí,"jewel, ornament",PAr,m-ai,,0.857,,0.857,0.857,
n550,-miš,9986,māṁsi,semen,PAr,-mas-i,,0.889,,0.889,0.889,
n553,mâ,9691,ma,,PAr,m′â,,1.000,,1.050,1.050,
n555,maǰa-,9711,májjati,"sinks, perishes; submerges",OIA,m′aǰǰ-a-ti,sinks,1.000,sinks,1.200,0.857,9711
n556,mâ˜ša,9917,maśáka,mosquito,OIA,maš′aka-,mosquito,1.000,mosquito,1.250,1.000,9917
n557,mâša,9917,maśáka,mosquito,OIA,maš′aka-,mosquito,1.000,mosquito,1.250,1.000,9917
n558,maṛa,9727,maṭʰa,"hut, cottage, esp. cell of an ascetic",OIA,maṭha-,hut; cottage,0.889,cottage;hut,1.089,0.889,9727
n559,markâṛa,10069,mārkaṭa,monkey-like,OIA,mark′aṭa-,monkey,1.000,monkey,1.200,1.000,9882
n560,maḍu,9892,mardalá,a kind of drum,OIA,mard-a-l′a-,kind of drum,1.000,drum;kind,1.250,1.123,9892
n561,maṇḍu,9892,mardalá,a kind of drum,OIA,mard-a-l′a-,kind of drum,1.000,drum;kind,1.250,1.123,9892
n562,maṇik,9731,maṇí,"jewel, ornament",OIA,maṇ′i-,jewel; ornament,1.000,jewel;ornament,1.250,1.000,9731
n566,mać,9758,mátsya,fish; little fish,PAr,m′ad-sya-,fish,0.833,fish,1.033,0.923,
n567,mâći,9758,mátsya,fish; little fish,PAr,m′ad-sya-,fish,0.833,fish,1.033,0.923,
n577,mannaṣ,9827,mánuṣa,man,OIA,m′anu-ṣ-a-,man,1.000,man,1.250,1.200,
n578,mannuṣ,9827,mánuṣa,man,OIA,m′anu-ṣ-a-,man,1.000,man,1.250,1.200,
n581,mannuši,10049,mā́nuṣa,human; man,PAr,manu-s-i-a-,human; man,0.923,human;man,1.173,1.123,
n582,muša,10049,mā́nuṣa,human; man,PAr,manu-s-i-a-,human; man,0.923,human;man,1.173,1.123,
n583,muša-i,10049,mā́nuṣa,human; man,PAr,manu-s-i-a-,human; man,0.923,human;man,1.173,1.123,
n584,maṇḍuk,9746,maṇḍū́ka,frog,OIA,*manḍu-kka-,frog,0.933,frog,1.183,1.000,9746.2
n592,mâli,10009,mātulá,mother's brother; affectionate term for mother's brother; mother's brother's wife; pertaining to a mother; having two mothers,OIA,mâtu-l′a-,mother's brother,1.000,brother;mother;s,1.200,1.123,
n598,mâc̣i,9989,mākṣiká,pertaining to a bee; honey,OIA,mâkṣ-i-k′a-,apian; honey,1.000,honey,1.200,0.978,9989.1
n599,mac̣arik,9990,*mākṣikakara,bee,OIA,*mâkṣ-i-ka-kar-a-,bee,1.000,bee,1.250,1.000,9990
n600,mac̣ikarik,9990,*mākṣikakara,bee,OIA,*mâkṣ-i-ka-kar-a-,bee,1.000,bee,1.250,1.000,9990
n605,mâla,10088a,mālakā,garland,OIA,mâla-ka-,raised pavillion; upper storey,1.000,,1.000,0.923,9996
n606,mâl,10095,mālya,garland,OIA,m′âla-:-,wreath; garland,0.889,garland,1.089,1.000,10092
n608,mâṇa,10044,*māna,skin-bag,OIA,*mâna-,skin bag,1.000,bag;skin,1.250,1.000,10044
n610,miki,10117,*mikkara,lump,OIA,*mikka-ra-,lump,1.000,lump,1.250,0.857,10117.1
n611,minki,10117,*mikkara,lump,OIA,*mikka-ra-,lump,1.000,lump,1.250,0.857,10117.1
n616,mer,10124,mitrá,friend; friendship; friend,PAr,m′itra-,friend; Mithra,1.000,friend,1.200,0.909,
n617,merak,10124,mitrá,friend; friendship; friend,PAr,m′itra-,friend; Mithra,1.000,friend,1.200,0.909,
n618,mer-kân,10124,mitrá,friend; friendship; friend,PAr,m′itra-,friend; Mithra,1.000,friend,1.200,0.909,
n624,meṣ,10135,miśrá,mixed,PAr,mišr′a-,mixed,1.000,mixed,1.250,1.083,
n627,miṣi,10137,miśrayati,mixes,PAr,mišra-ya-,mixes,0.875,mixes,1.125,0.857,
n631,miṣi-,10137,miśrayati,mixes,OIA,mišra-ya-ti,mixes,1.000,mixes,1.250,0.956,
n635,miṣâv-,10137,miśrayati,mixes,OIA,mišr-âp-aya-ti,mixes,0.900,mixes,1.150,1.000,
n639,âmiṣ,1258,*āmiṣṭa,mixed; having a tendency to mix; mixture of boiled and curdled milk,OIA,â-miṣ-ṭa-,mixed; mixture of boiled and curdled milk,1.000,boiled;curdled;milk;mixed;mixture,1.200,0.909,
n646,mutr,10234,mū́tra,urine,PAr,m′u:tra-,urine,1.000,urine,1.250,1.109,
n650,muka-,10157,*mukna,loosed,PAr,muk-na-,loosed,1.000,loosed,1.250,0.927,
n654,me,10302,mēgʰá,"cloud, rain",OIA,megʱ′a-,cloud; rain,1.000,cloud;rain,1.250,1.089,10302
n659,mâande,9979,mahōtsava,great festival,OIA,maɦa:-dev′a-,Great God,0.625,great,0.825,0.815,
n664,meṣ,10113,māhiṣa,of or coming from a buffalo; buffalo-keeper,OIA,maɦ-i-ṣ′a-,great; powerful; buffalo,0.909,buffalo,1.109,1.109,
n665,meṣi,10113,māhiṣa,of or coming from a buffalo; buffalo-keeper,OIA,maɦ-i-ṣ′a-,great; powerful; buffalo,0.909,buffalo,1.109,1.109,
n669,mrâŋ,9885,*margā,wild goat,PAr,marga-:-,wild goat,1.000,goat;wild,1.250,1.089,
n672,mraŋâća,10265,*mr̩gacī,"small animal, bird",PAr,marg-a:-či:-,bird,0.923,bird,1.123,0.857,
n677,ningaća,10265,*mr̩gacī,"small animal, bird",PAr,mr̥ga-či-:-,small animal; bird,1.000,animal;bird;small,1.250,1.000,
n682,mre-,10383,mriyátē,dies,OIA,mri-y′a-te,dies,1.000,dies,1.250,0.923,
n686,mâ-,10066,māráyati,kills,OIA,mâr-′aya-ti,kills,1.000,kills,1.250,1.000,
