Proto_Nuristani_ID,Indo_Aryan_ID,Evidence
n10,7699,Strand places PNur beneath OIA; numeric IA ancestor
n1169,5647,Strand places PNur beneath OIA; numeric IA ancestor
n1224,5767,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1228,2326a,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1233,5930,Strand places PNur beneath OIA; numeric IA ancestor
n1234,5930,Strand places PNur beneath OIA; numeric IA ancestor
n1243,6028,Strand places PNur beneath OIA; numeric IA ancestor
n1252,6001,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1272,6128,Strand places PNur beneath OIA; numeric IA ancestor
n1273,6128,Strand places PNur beneath OIA; numeric IA ancestor
n1276,6250,Strand places PNur beneath OIA; numeric IA ancestor
n1277,6250,Strand places PNur beneath OIA; numeric IA ancestor
n1278,6250,Strand places PNur beneath OIA; numeric IA ancestor
n1279,6294,Strand places PNur beneath OIA; numeric IA ancestor
n1280,6293-2,Strand places PNur beneath OIA; numeric IA ancestor
n1284,6284,Strand places PNur beneath OIA; numeric IA ancestor
n1285,6283,Strand places PNur beneath OIA; numeric IA ancestor
n1305,n1304,Strand places PNur beneath OIA; parsed Strand OIA ancestor
n1328,13469,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1329,13469,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1338,6227,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1345,6343-2,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1367,6305,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1371,6636,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1406,6658,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1407,6658,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1411,6685,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1416,6587,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1420,6438,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1421,6438,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1425,6375,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1431,6419,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1432,6419,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1451,6623,Strand places PNur beneath OIA; numeric IA ancestor
n1452,6623,Strand places PNur beneath OIA; numeric IA ancestor
n1467,1577,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1468,6733,Strand places PNur beneath OIA; numeric IA ancestor
n1470,6813,Strand places PNur beneath OIA; numeric IA ancestor
n1486,6592-2,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1514,6724,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1529,8656,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1531,12898,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1541,13310,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1546,6877,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1547,6873,Strand places PNur beneath OIA; numeric IA ancestor
n1601,13321,Strand places PNur beneath OIA; numeric IA ancestor
n1602,13364,Strand places PNur beneath OIA; numeric IA ancestor
n1607,12928,Strand places PNur beneath OIA; numeric IA ancestor
n1608,12946,Strand places PNur beneath OIA; numeric IA ancestor
n1609,12946,Strand places PNur beneath OIA; numeric IA ancestor
n1619,13355,Strand places PNur beneath OIA; numeric IA ancestor
n1622,13363,Strand places PNur beneath OIA; numeric IA ancestor
n1624,13340,Strand places PNur beneath OIA; numeric IA ancestor
n1625,13391,Strand places PNur beneath OIA; numeric IA ancestor
n1626,13391,Strand places PNur beneath OIA; numeric IA ancestor
n1644,13580,Strand places PNur beneath OIA; numeric IA ancestor
n1645,13580,Strand places PNur beneath OIA; numeric IA ancestor
n1650,13293,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1655,13085,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1656,13085,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1660,13085-3,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1684,13146,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1696,13585,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1722,12753,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1727,12759,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1732,12803,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1738,12812,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1740,12812,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1770,12548,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1793,13627,Strand places PNur beneath OIA; numeric IA ancestor
n1821,13871-2,Strand places PNur beneath OIA; numeric IA ancestor
n1831,n1830,Strand places PNur beneath OIA; parsed Strand OIA ancestor
n1844,8370,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1861,13717,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1866,13047,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1920,13713,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n1924,13713,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1927,13734,Strand places PNur beneath OIA; numeric IA ancestor
n1932,9072,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1942,9108,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n1948,9028-3,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1950,9028,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n1985,10928,Strand places PNur beneath OIA; numeric IA ancestor
n1986,10992-2,Strand places PNur beneath OIA; numeric IA ancestor
n1988,10917-8,Strand places PNur beneath OIA; numeric IA ancestor
n1989,10917-8,Strand places PNur beneath OIA; numeric IA ancestor
n1990,10917-8,Strand places PNur beneath OIA; numeric IA ancestor
n1992,10939,Strand places PNur beneath OIA; numeric IA ancestor
n2005,10984,Strand places PNur beneath OIA; numeric IA ancestor
n2006,10984,Strand places PNur beneath OIA; numeric IA ancestor
n2009,11042,Strand places PNur beneath OIA; numeric IA ancestor
n2010,11027,Strand places PNur beneath OIA; numeric IA ancestor
n2017,1347-2,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2020,10743,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2044,10833,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2049,10826,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2050,10826,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2055,11144,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2091,11076,Strand places PNur beneath OIA; numeric IA ancestor
n2096,11097,Strand places PNur beneath OIA; numeric IA ancestor
n2108,7035,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2147,249,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2150,258,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2158,6935,Strand places PNur beneath OIA; numeric IA ancestor
n2174,n2173,Strand places PNur beneath OIA; parsed Strand OIA ancestor
n2175,n2173,Strand places PNur beneath OIA; parsed Strand OIA ancestor
n2180,7003,Strand places PNur beneath OIA; numeric IA ancestor
n2184,7047,Strand places PNur beneath OIA; numeric IA ancestor
n2194,7165,Strand places PNur beneath OIA; numeric IA ancestor
n2195,7504,Strand places PNur beneath OIA; numeric IA ancestor
n2199,7552,Strand places PNur beneath OIA; numeric IA ancestor
n2200,7545,Strand places PNur beneath OIA; numeric IA ancestor
n2201,7545,Strand places PNur beneath OIA; numeric IA ancestor
n2202,7563,Strand places PNur beneath OIA; numeric IA ancestor
n2203,7563,Strand places PNur beneath OIA; numeric IA ancestor
n2204,7563,Strand places PNur beneath OIA; numeric IA ancestor
n2229,14660,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2266,5420,Strand places PNur beneath OIA; numeric IA ancestor
n2269,5466,Strand places PNur beneath OIA; numeric IA ancestor
n2271,5477,Strand places PNur beneath OIA; numeric IA ancestor
n2272,5481,Strand places PNur beneath OIA; numeric IA ancestor
n2273,5481,Strand places PNur beneath OIA; numeric IA ancestor
n2274,5481,Strand places PNur beneath OIA; numeric IA ancestor
n2276,5522-2,Strand places PNur beneath OIA; numeric IA ancestor
n2277,5524,Strand places PNur beneath OIA; numeric IA ancestor
n2278,5524,Strand places PNur beneath OIA; numeric IA ancestor
n2281,5524-3,Strand places PNur beneath OIA; numeric IA ancestor
n2283,5542,Strand places PNur beneath OIA; numeric IA ancestor
n2286,5536-3,Strand places PNur beneath OIA; numeric IA ancestor
n2288,5576,Strand places PNur beneath OIA; numeric IA ancestor
n2289,5585-7,Strand places PNur beneath OIA; numeric IA ancestor
n2318,10645,Strand places PNur beneath OIA; numeric IA ancestor
n2319,10627,Strand places PNur beneath OIA; numeric IA ancestor
n2322,10685,Strand places PNur beneath OIA; numeric IA ancestor
n2324,10702,Strand places PNur beneath OIA; numeric IA ancestor
n2325,10702,Strand places PNur beneath OIA; numeric IA ancestor
n2326,10703,Strand places PNur beneath OIA; numeric IA ancestor
n2332,10735,Strand places PNur beneath OIA; numeric IA ancestor
n2333,10735,Strand places PNur beneath OIA; numeric IA ancestor
n2346,10838,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2353,11165,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2363,10814,Strand places PNur beneath OIA; numeric IA ancestor
n2364,10814,Strand places PNur beneath OIA; numeric IA ancestor
n2368,10761,Strand places PNur beneath OIA; numeric IA ancestor
n2369,10795,Strand places PNur beneath OIA; numeric IA ancestor
n2370,10795,Strand places PNur beneath OIA; numeric IA ancestor
n2371,10805-2,Strand places PNur beneath OIA; numeric IA ancestor
n2372,10805-2,Strand places PNur beneath OIA; numeric IA ancestor
n2373,10839,Strand places PNur beneath OIA; numeric IA ancestor
n2374,10839,Strand places PNur beneath OIA; numeric IA ancestor
n2381,4696,Strand places PNur beneath OIA; numeric IA ancestor
n2382,4696,Strand places PNur beneath OIA; numeric IA ancestor
n2383,4696,Strand places PNur beneath OIA; numeric IA ancestor
n2384,4696,Strand places PNur beneath OIA; numeric IA ancestor
n2385,4696,Strand places PNur beneath OIA; numeric IA ancestor
n2390,4681,Strand places PNur beneath OIA; numeric IA ancestor
n2391,4738,Strand places PNur beneath OIA; numeric IA ancestor
n2393,4754,Strand places PNur beneath OIA; numeric IA ancestor
n2394,4754,Strand places PNur beneath OIA; numeric IA ancestor
n2395,4754,Strand places PNur beneath OIA; numeric IA ancestor
n2396,4743,Strand places PNur beneath OIA; numeric IA ancestor
n2401,13386,Strand places PNur beneath OIA; numeric IA ancestor
n2402,4778,Strand places PNur beneath OIA; numeric IA ancestor
n2403,4780,Strand places PNur beneath OIA; numeric IA ancestor
n2404,4780,Strand places PNur beneath OIA; numeric IA ancestor
n2405,4798,Strand places PNur beneath OIA; numeric IA ancestor
n2406,4799,Strand places PNur beneath OIA; numeric IA ancestor
n2407,4799,Strand places PNur beneath OIA; numeric IA ancestor
n2409,4815,Strand places PNur beneath OIA; numeric IA ancestor
n2412,4842a,Strand places PNur beneath OIA; numeric IA ancestor
n2413,4904,Strand places PNur beneath OIA; numeric IA ancestor
n2416,4855,Strand places PNur beneath OIA; numeric IA ancestor
n2417,4855,Strand places PNur beneath OIA; numeric IA ancestor
n2424,4883,Strand places PNur beneath OIA; numeric IA ancestor
n2428,12766,Strand places PNur beneath OIA; numeric IA ancestor
n2429,4961,Strand places PNur beneath OIA; numeric IA ancestor
n2430,4961,Strand places PNur beneath OIA; numeric IA ancestor
n2431,4961,Strand places PNur beneath OIA; numeric IA ancestor
n2442,5311,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2443,5304,Strand places PNur beneath OIA; numeric IA ancestor
n2444,5321,Strand places PNur beneath OIA; numeric IA ancestor
n2449,12332,Strand places PNur beneath OIA; numeric IA ancestor
n2452,12270-3,Strand places PNur beneath OIA; numeric IA ancestor
n2453,12270-4,Strand places PNur beneath OIA; numeric IA ancestor
n2455,12381,Strand places PNur beneath OIA; numeric IA ancestor
n2456,12415,Strand places PNur beneath OIA; numeric IA ancestor
n2458,12397,Strand places PNur beneath OIA; numeric IA ancestor
n2461,12466,Strand places PNur beneath OIA; numeric IA ancestor
n2462,12487,Strand places PNur beneath OIA; numeric IA ancestor
n2463,12487,Strand places PNur beneath OIA; numeric IA ancestor
n2464,12578,Strand places PNur beneath OIA; numeric IA ancestor
n2465,12601,Strand places PNur beneath OIA; numeric IA ancestor
n2466,12516,Strand places PNur beneath OIA; numeric IA ancestor
n2470,12676,Strand places PNur beneath OIA; numeric IA ancestor
n2471,10395,Strand places PNur beneath OIA; numeric IA ancestor
n2472,10436,Strand places PNur beneath OIA; numeric IA ancestor
n2494,2485,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2528,10521,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2529,10521,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2535,10507,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2536,10507,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2567,10469,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2571,10425,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2583,1612,Strand places PNur beneath OIA; numeric IA ancestor
n2593,920,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2614,1311,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2618,2458,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2632,6158,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2636,395,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2638,398,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2691,12664-2,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2703,12523,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2708,12510,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2710,12511,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2714,n2713,Strand places PNur beneath OIA; parsed Strand OIA ancestor
n2718,12504,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2719,12504,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2736,12248,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2743,12694,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2752,12583,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2756,12592,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2760,12593,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2764,12584,Strand places PNur beneath OIA; manually reviewed Strand ancestor and CDIAL head
n2768,n2767,Strand places PNur beneath OIA; parsed Strand OIA ancestor
n2786,12297,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2791,12695,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2793,1861,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2802,12329,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2803,12329,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2808,12324,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2813,12414,Strand places PNur beneath OIA; exact duplicated reflex + matching Strand ancestor
n2821,12438,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2834,12547,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
n2835,12547,Strand places PNur beneath OIA; exact Strand ancestor headword + matching gloss
