Proto_Nuristani_ID,Proto_Nuristani_Form,Proto_Nuristani_Gloss,Strand_Ancestor,Best_IA_ID,Best_IA_Form,Reason
n56,pil,shallow wooden bowl,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n58,pe,across (in a horizontal plane),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n104,pra-,,pr′a forward,8655,prádadāti,manual review found no sufficiently clear CDIAL match
n239,-pur-,-like,,8281,purás,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n240,p′uṇa,calf (1-2 years),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n242,put-soṭ,companion,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n282,praća-,shake; beat,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n286,prâsiu˜,Vâsi,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n287,prost-pâ,bed-leg,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n301,bâdur,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n302,bâtur,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n303,bara-nis-ik,spring planting ceremony,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n304,bari-sti:,female member of the artisan caste,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n310,bâkara,wild hen,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n317,bâba,older brother,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n318,bâmprek,high wicker table,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n319,biiâ,spade,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n345,buṭa,cavity; hollow; body cavity,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n485,vakama,dandruff,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n491,valama,freeman without rank,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n503,vâi,Vâi,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n504,vâigal,Wâigal,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n508,vâṭalâ,landslide,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n509,vâṛâu mandâṛi,pole to which are tied strings to separate warp threads,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n510,vâṇ,mortar,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n511,vâsari,male goat (18-24 months),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n513,vâ˜-dâma-,"seize, grasp; take; grab; hold",,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n514,vion,boundary,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n515,višaṇ-,card,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n517,viric̣,terraced field,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n521,vind,zinc,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n522,vinn,lightning-bolt,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n525,v′e-ma,toward speaker (in a horizontal plane),,12113,vḗman,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n528,vučak,small louse,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n530,vrâ-,bark [dog],,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n541,-ma,,-m-a,9691,ma,manual review found no sufficiently clear CDIAL match
n544,-m,,-m-i,10122-6,*mīna-,manual review found no sufficiently clear CDIAL match
n547,iam,,m-ai,9731,maṇí,manual review found no sufficiently clear CDIAL match
n550,-miš,,-mas-i,9986,māṁsi,manual review found no sufficiently clear CDIAL match
n569,malai,mother's brother's wife,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n571,malik,Malik,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n585,mandâṛi,walking-stick,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n596,mâ,hulled grain,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n597,mâkaṛik,post to hold eave beam,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n601,mâč-čâila,go-between,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n602,mâṇu,Munjâni,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n607,mâlâda,man that held rank for merit-feast giving (pre-Islamic),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n609,mânšor,lifetime,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n659,mâande,,maɦa:-dev′a- Great God,9979,mahōtsava,manual review found no sufficiently clear CDIAL match
n773,mem,foundation; (vacant) lot,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n794,mukul-âḍu,squash (pumpkin-shaped),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n803,mumâ,Mumo,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n841,ünna,unripe walnut,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n846,-vaṇi,,vanč-a- roof beam,11479,vāñcʰā,manual review found no sufficiently clear CDIAL match
n850,vi-,,"v′i apart, asunder; away",11183,vaḣ,manual review found no sufficiently clear CDIAL match
n989,-ba,,,9477,bʰāvayati,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n994,u-kâṭ-,tear down,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n996,â-vźeṇa,,uǰ-aya-na- last night,2309,upāyana,manual review found no sufficiently clear CDIAL match
n997,uša˜,spatula,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n998,uṭ-,flay,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n999,uṣol,waterfall,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1001,utâ,excessive; great,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1013,usć-,startle,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1024,unnâu,meadow,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1041,o,around,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1074,-as,,-as,14259,así,manual review found no sufficiently clear CDIAL match
n1077,-še,,-asya,12614,śaítya,manual review found no sufficiently clear CDIAL match
n1108,-â,,â,1,a,manual review found no sufficiently clear CDIAL match
n1121,ćare˜,apricot,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1122,ćanu,Sâňu,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1123,ćave,drill,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1124,ćam,Wâmâ,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1125,ćâćak-,sting,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1126,ćiprâ:˜,lamb,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1127,ćuki,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1128,ćurća˜,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1133,ta-vara,,t′a-,5612,tá,manual review found no sufficiently clear CDIAL match
n1136,-i,,-t-i,5420-2,*ṭikk,manual review found no sufficiently clear CDIAL match
n1148,to,,t′ava,5889,tuvám,manual review found no sufficiently clear CDIAL match
n1160,tara˜t,near,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1172,tavara,near,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1177,tâǰi,sorghum,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1178,târâźa,scales,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1179,tât-brâ,agnate,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1180,tâs,top of shoulder,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1181,tânn,woolen cloth,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1182,tâmu,markhor kid,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1239,tol-veša,field-neighbor,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1242,trik-,crack,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1270,dar-,wash,,6294,dāraka,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1275,damak-,teeter,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1282,dâp,frame-drum,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1283,dâvaźi,statue,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1295,davero,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1307,dis,'silo' storage bin,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1393,dâmâv-,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1434,dübaka,1/4 bushel,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1439,âdasa-,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1450,draŋâ,knee,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1453,drâl,spiderweb,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1454,druš,crack in rock,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1455,drušâ,bolt (of door or window),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1519,dam-âv-,,dʱam-′aya-ti causes to blow,5581-2,*ḍʰālayati,manual review found no sufficiently clear CDIAL match
n1567,saka,,s′a-,12816,sa,manual review found no sufficiently clear CDIAL match
n1568,sa-vara,,s′a-,12816,sa,manual review found no sufficiently clear CDIAL match
n1571,-š,,-s-i,14824,śrī́,manual review found no sufficiently clear CDIAL match
n1572,-ši,,-s-i,14824,śrī́,manual review found no sufficiently clear CDIAL match
n1595,niṣâ,,ni-ṣâd-a- cultivated area,7430,niśādā,manual review found no sufficiently clear CDIAL match
n1600,-šid-,,si-šd-a-,13397,*siḍʰa,manual review found no sufficiently clear CDIAL match
n1604,satik,small intestine,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1610,sankiâ,arsenic,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1618,sâ te-,keep,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1621,saraŋi,,sârangi-:- kind of musical instrument,12333,śarāḍi,manual review found no sufficiently clear CDIAL match
n1623,sâ˜ṭ-,bury,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1627,sipia˜,quilt,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1661,ser,flat ground,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1691,sama,,sama-ka- every,13173-2,samaka,manual review found no sufficiently clear CDIAL match
n1705,su-rup,,su-ru:p-ya- lead,13509,*surūpya,manual review found no sufficiently clear CDIAL match
n1776,sup-,stuff,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1791,sobat,grazing fee,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1800,vi-ćâ-,,sčai- cut up,12308,śamī́,manual review found no sufficiently clear CDIAL match
n1967,-la-,,-la-,10920-3,*laḍʰ,manual review found no sufficiently clear CDIAL match
n1969,laka,close kin,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n1987,lalâv,foreshank,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2007,lâunǰa,small lizard,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2008,lâṭ,trap,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2011,lisṭ-,chase; attack,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2012,lei,abundant; good,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2085,lamaṇa,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2089,lui-kâṇḍ,blood-vessel,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2097,loṛ,loom,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2111,-˜,,-n,14655a,ná,manual review found no sufficiently clear CDIAL match
n2116,-˜,,-n-a-,14655a,ná,manual review found no sufficiently clear CDIAL match
n2117,-ṇ,,-n-a-,14655a,ná,manual review found no sufficiently clear CDIAL match
n2118,-na-,,-n-a-,14655a,ná,manual review found no sufficiently clear CDIAL match
n2123,-a˜,,-ân,1110,āṇí,manual review found no sufficiently clear CDIAL match
n2128,-n,,-tha-na,6095-2,*tʰāna,manual review found no sufficiently clear CDIAL match
n2131,-˜ta,,-ant-i,1110,āṇí,manual review found no sufficiently clear CDIAL match
n2132,-nda,,-ant-i,1110,āṇí,manual review found no sufficiently clear CDIAL match
n2134,-st,,-s-ant-i,12391,śā́nti,manual review found no sufficiently clear CDIAL match
n2137,-na-,,-n′a-,14655a,ná,manual review found no sufficiently clear CDIAL match
n2140,-nda,,-an-t-,6906,ná,manual review found no sufficiently clear CDIAL match
n2154,di-,,adʱi-ka-tara- in; into; below,251,*adʰikatara,manual review found no sufficiently clear CDIAL match
n2157,ni,,n′i,14664,nīta,manual review found no sufficiently clear CDIAL match
n2179,nav-,shin,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2182,nâ las vâni,disadvantaged,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2183,nâušik,winnowing tray,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2185,nâṣ,beak,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2186,nâr,lair,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2187,nâskâr,face,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2188,nâm-sâ˜ṭ,namesake,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2196,-nis-,come out; show up,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2197,ningaṣ,enemy,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2255,nut-i-navâ,great-grandchildren,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2259,nu-tri,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2264,c̣ala,abomasum,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2267,ṭâ-,place,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2268,ṭimikü,kind of drum,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2270,ṭum,pear,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2275,ṭra,fart (audible),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2279,ḍa˜kiâr,wolf,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2280,ḍan,fine,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2282,ḍavara,flat,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2284,ḍâḍu,jujube,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2285,ḍiga-,reach to,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2287,ḍola,stalk; tassle,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2290,ṣačâm,snot,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2293,ṣâ-koṭa-,skull,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2294,ṣâṛa,head (of livestock),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2296,ṣiâ˜,stomach; udder; groin,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2297,ṣiŋ-niṣâ˜,horn-chair,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2298,ṣut-vo,Ṣup'u,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2299,ṣunḍ-,knead,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2300,ṣpik,scabbard,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2305,-ra,,-ra-,10594-2,*raḍ,manual review found no sufficiently clear CDIAL match
n2306,-ra-,,-ra-,10594-2,*raḍ,manual review found no sufficiently clear CDIAL match
n2314,ranč,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2321,râkust,musk deer,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2323,râź,raceme,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2327,râl,pubic hair,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2329,â-râm,,râm-a- Râma,10625,rama,manual review found no sufficiently clear CDIAL match
n2330,râmâ-gal,Řâmgal,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2331,ria,black,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2379,čača˜,edible pine,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2388,čavala,slope,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2398,čiâk,wicker basket,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2410,čima-gu,metal scraps,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2411,čima-dor,frying pan,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2415,čuk-vâni,Chugani,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2420,čusṭ,piece of wood,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2422,ćupa-,,"čup, čump suck",4863,*cupp,manual review found no sufficiently clear CDIAL match
n2423,čum,earthquake,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2425,čom,torch wood,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2436,ǰâši,Jâši,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2437,ǰâta,other,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2438,ǰâlik,omasum,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2439,ǰâmač,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2454,šavaš,side of body,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2457,šâ˜kuṛa,young bull (3-4 years),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2459,šiŋira,light colored (eyes),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2460,šiṛ,stairway,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2485,ev,,ai-va-,2525,*ēva,manual review found no sufficiently clear CDIAL match
n2497,i-na,,ai-na-,14282,ālīna,manual review found no sufficiently clear CDIAL match
n2500,i-ka,,ai-ka-,1380-2,*alikā,manual review found no sufficiently clear CDIAL match
n2503,i-,,ai-ta-,2530,ēṣá,manual review found no sufficiently clear CDIAL match
n2508,-i,,-iya-,1591,íyant,manual review found no sufficiently clear CDIAL match
n2513,e-,,ai-,2515,ḗti,manual review found no sufficiently clear CDIAL match
n2521,iaṣkoṣ,predator; wild animal,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2522,iâsa-,"extinguish; erase, rub out",,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2523,iâla,whey,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2580,-v,,vas,11183,vaḣ,manual review found no sufficiently clear CDIAL match
n2581,vi,,vas,11183,vaḣ,manual review found no sufficiently clear CDIAL match
n2584,-e,,,2515,ḗti,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2603,âźâ,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2669,â-,,′â to; at,1,a,manual review found no sufficiently clear CDIAL match
n2694,-ć-,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2772,ćarva-tâṛ,,čar-va- horned animal,4973,*cʰattra,manual review found no sufficiently clear CDIAL match
n2851,ćâṇa-,,čšan-a- sifts; makes fall,3643,*kṣaṇati,manual review found no sufficiently clear CDIAL match
n2875,źar,,ǰara- milk,14019,havís,manual review found no sufficiently clear CDIAL match
n2927,"źe˜-
aṛama",,ǰʱai-an-a- winter,5077,jagʰána,manual review found no sufficiently clear CDIAL match
n2962,-âk,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2963,-ik,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2964,-k,,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2967,-i,,-i-ka-:-,103-2,ikā,manual review found no sufficiently clear CDIAL match
n2985,kaṣka,hoof,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2986,kaṣkâṛu,spruce,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2992,karaṭa,stout,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2993,karavâṭ,stone pot,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2994,karenǰ,scalplock,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2995,karu,flood,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n2996,karoṭ,club,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3012,kaṇḍa,forelock,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3013,kalaṣa,Kalaṣa,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3015,kaletra,*outsider,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3032,kavâ,carrying basket,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3033,ka-vi,when,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3051,kâṭ,strength,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3052,kâṣa˜-vinsua˜,ceremonial axe,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3053,kâr tâ-,listen (to),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3054,kâr-mâli,earring,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3055,kâṛ,ear (of grain),,3078,kāryà,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3056,kâṛu,root; base,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3059,kâsivo,Kal′aṣa of Chitral,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3060,kâl tra˜k-a-,thunder,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3062,kâlâ-pus,pre-Islamic woman's hat (horned or Kalash-style),,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3063,kâ˜ta,colostrum,,3030,kāntā,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3064,kâ˜ta,Kâta,,3030,kāntā,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3065,kâ˜tivâ,Kântivâ,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3072,kâm,Kom,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3077,ki-,group of people,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3079,kirâv,hand-plow,,3078,kāryà,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3117,ṣkura,,skar- turn; bend,13645,*skar,manual review found no sufficiently clear CDIAL match
n3184,kučula,scab,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3187,kuštiâ,Kṣto,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3188,kuštuv,hammer,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3191,kuṣu,kind of bean,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3192,kuṛi,dog,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3195,kuṇḍa,hewn wood; plank,,3901,*kʰuṇḍa,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3198,kulem,Kul′em,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3205,kos,measuring vessel,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3210,krača-,boil up,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3211,kraća,hip; thigh,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3227,ṣipâ˜,,kš′ip-yâ-na- flute,3686,*kṣipya,manual review found no sufficiently clear CDIAL match
n3268,gal-âva,river,,4456,*gʰalōdaka,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3270,gavâr,Gawâr,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
n3273,gâi âća-,bring,,,,no OIA or Proto-Aryan ancestor is given in Strand's hierarchy
