Form_ID,Etymon_ID,Kind,Rank,Status,Source,Notes
f_dwzq4mwuylljs,2757,reflex,1,accepted,,
f_dy6ou26pzyfsg,1533-2,reflex,1,accepted,,
f_e2i4blwe6rsma,14039,reflex,1,accepted,,
f_e4ruehl65z6hq,d2518,borrowed,1,accepted,,
f_eaxpkla3vefuk,2757,reflex,1,accepted,,
f_ews7k2cx5cgvk,3243,reflex,1,accepted,,
f_eyxxgrspno5ik,5071,reflex,1,accepted,,
f_ezaggv2ywwqiw,5853,reflex,1,accepted,,
f_fyefuynf5f57s,9502,reflex,1,accepted,,
f_fymb62mtwwyn2,8249-2,reflex,1,accepted,,
f_fzurcmpo36gf6,f_jg7fkl55nyhjm,reflex,1,accepted,,
f_ghzyhizqe4jne,1533-2,reflex,1,accepted,,
f_h56hnlqamqyta,2757,reflex,1,accepted,,
f_hmecjcbfbxf5w,f_d3jdlqohtby5k,borrowed,1,accepted,,
f_ho5gpex3teaem,1533-2,reflex,1,accepted,,
f_i4pykq4nupmp6,f_vbtodh3gxxoq2,borrowed,1,accepted,,
f_iarcmqwftbviq,1533-2,reflex,1,accepted,,
f_icywzibguj5mc,1533-2,reflex,1,accepted,,
f_ieecnwqgs6exw,1111,reflex,1,accepted,,
f_iit254yz2xz24,11175,reflex,1,accepted,,
f_ikkh6xvjrpmq4,f_gzpge3m6iyzaw,borrowed,1,accepted,,
f_imyb5zhs3gtye,8109,reflex,1,accepted,,
f_irawxlizyffae,13271,borrowed,1,accepted,,
f_iz45hvql7lovk,9692,reflex,1,accepted,,
f_jcdpa3xv3lffo,f_jg7fkl55nyhjm,reflex,1,accepted,,
f_jfm5olokiawia,2757,reflex,1,accepted,,
f_jhesegu4oco6q,242,reflex,1,accepted,,
f_jkjfoc4z6wzv6,142,reflex,1,accepted,,
f_jo576sd6wg5rw,d2518,borrowed,1,accepted,,
f_jz5zuiordy45e,1533-2,reflex,1,accepted,,
f_kmjjhmpevbvra,12583,reflex,1,accepted,,
f_ko2cbgztsm6f4,5213,reflex,1,accepted,,
f_koxilcrxbekkg,1008,borrowed,1,accepted,,
f_ktjg4oeyyki7g,2757,reflex,1,accepted,,
f_kuhnimmleufr4,11572,reflex,1,accepted,,
f_l4najo2eelqky,2333,reflex,1,accepted,,
f_lmbimqlp6gmdm,6251,reflex,1,accepted,,
f_lmddgdf4ikblu,3243,reflex,1,accepted,,
f_lolo2oxrb5bey,1533-2,reflex,1,accepted,,
f_ltip2mnjfkjri,12452,reflex,1,accepted,,
f_m2xgphh6taliu,12583,reflex,1,accepted,,
f_m6o4tw7fypzba,2333,reflex,1,accepted,,
f_mlii47og7wcpi,4431,reflex,1,accepted,,
f_mmzb3zzdu5yre,1533-2,reflex,1,accepted,,
f_mnw4yi2g4g6ek,1127,reflex,1,accepted,,
f_mp3rkaz3roodq,3243,reflex,1,accepted,,
f_mtlppoxjj33zu,f_lmwk7knn4svus,borrowed,1,accepted,,
f_n2yxod36o7kf2,1008,borrowed,1,accepted,,
f_n7hd5acm4ycuu,10247,reflex,1,accepted,,
f_njv4v7q3f6twu,f_tusbqtxogmrni,borrowed,1,accepted,,
f_nnimphrmfkoek,f_7a3ccguwm7lam,borrowed,1,accepted,,
f_nq7cswb3t4qsw,7627,reflex,1,accepted,,
f_ntik6mq2yji7c,2757,reflex,1,accepted,,
f_ntnigyfhn3tqm,5798,reflex,1,accepted,,
f_o45zjvp7gizl2,4918,reflex,1,accepted,,
f_o5kjyw3uakmf2,3535,reflex,1,accepted,,
f_on7hkc5mmdn3q,10984,reflex,1,accepted,,
f_otaae4zkthunk,1533-2,reflex,1,accepted,,
f_ou57yaddm7uio,12452,reflex,1,accepted,,
f_pexlsao4dppnq,2757,reflex,1,accepted,,
f_pgvq4oewkizsi,1533-2,reflex,1,accepted,,
f_ptg47y37w4e6y,9203,reflex,1,accepted,,
f_pthplcgfnkym2,1127,reflex,1,accepted,,
f_pvixp34uc7lem,13581,reflex,1,accepted,,
f_pyflrgmgjvsmm,1533-2,reflex,1,accepted,,
f_qaf5sporieb7e,6983,reflex,1,accepted,,
f_qldweydnlan4a,11572,reflex,1,accepted,,
f_qrk5bdbaqil5q,9349,reflex,1,accepted,,
f_qvchy2p374iyy,f_khzburdg3bkvo,borrowed,1,accepted,,
f_qz4myc3ukxbt4,1533-2,reflex,1,accepted,,
f_r3mkrze4uq2aq,1533-2,reflex,1,accepted,,
f_s2myegwiavtfi,4272,reflex,1,accepted,,
f_s64idyybchmva,8249-2,reflex,1,accepted,,
f_s72shfjdb7iau,10247,reflex,1,accepted,,
f_scyuaykunsxqi,11572,reflex,1,accepted,,
f_sguvzyfppbodu,1533-2,reflex,1,accepted,,
f_sn2gwbjjalpmg,1533-2,reflex,1,accepted,,
f_surhfouxcl2v4,4364,reflex,1,accepted,,
f_ta2miogu2sw3m,1533-2,reflex,1,accepted,,
f_taaqphan4bpfc,11572,reflex,1,accepted,,
f_tebg2e3bjdmi2,1533-2,reflex,1,accepted,,
f_tgquetpkvspqs,3243,reflex,1,accepted,,
f_tny4fts6xlspg,6391,reflex,1,accepted,,
f_twle3fv2d5vnm,11572,reflex,1,accepted,,
f_twvttrr42n4y6,4445,reflex,1,accepted,,
f_u2usxuazr2g5g,f_7a3ccguwm7lam,borrowed,1,accepted,,
f_u62hccb57yoqk,1533-2,reflex,1,accepted,,
f_ue2bdovq3b2jk,9692,reflex,1,accepted,,
f_uicdnsumgoddq,1533-2,reflex,1,accepted,,
f_ujokzctklfq6q,12452,reflex,1,accepted,,
f_ukr6xk2z6xchs,11533,reflex,1,accepted,,
f_v2sz46hjq4s6k,10951,reflex,1,accepted,,
f_vfgvfo5x7rwui,1533-2,reflex,1,accepted,,
f_vkbmcezzc7ix2,6327,reflex,1,accepted,,
f_w7yqm5f7yc52y,10702,reflex,1,accepted,,
f_wiivccgheekuq,1533-2,reflex,1,accepted,,
f_wo4bz5h3kvzmi,11533,reflex,1,accepted,,
f_wv6vinuxrpklq,11175,reflex,1,accepted,,
f_wzjzl4ozbjdqg,13315,reflex,1,accepted,,
f_xe3qneeemfcfy,9758-2,reflex,1,accepted,,
f_xflwbe53cu7ra,12452,reflex,1,accepted,,
f_xl7mpbgveklaq,3243,reflex,1,accepted,,
f_xlkgrswejdhdg,11572,reflex,1,accepted,,
f_xvldv2vat3xku,3208,reflex,1,accepted,,
f_xy5nuibmikq7g,5239,reflex,1,accepted,,
f_yarqlqp63jc6o,6391,reflex,1,accepted,,
f_yocp6tzoveh5q,2619,reflex,1,accepted,,
f_ysxaw6eqg5wue,1533-2,reflex,1,accepted,,
f_zec33boo5wowa,12452,reflex,1,accepted,,
f_zh6ufr6uhpaxo,1008,borrowed,1,accepted,,
f_zibar2ecs6qs2,5239,reflex,1,accepted,,
f_zj7fzmhaa73vi,6328,reflex,1,accepted,,
f_zlgsqnoigtdv6,1533-2,reflex,1,accepted,,
f_zm27mlioqxyom,12335,borrowed,1,accepted,,
f_zu6gtv3747t7m,12196,reflex,1,accepted,,
f_zv53jex4lkw74,1127,reflex,1,accepted,,
f_zyorzqvldjpva,48b,reflex,1,accepted,,
