Source_Dictionary,Source_Entry_ID,Source_Page,Printed_Target_ID,Resolved_Target_ID,Status,Reason,Resolution,Relation,Direction,Confidence,Citation,Evidence
cdial,10144,584,DED 4002,d4888,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,low,CDIAL[entry 10144],"[← Drav., Tam. mukaṭu 'top' &c., DED 4002; mauli - m.f. 'diadem, etc.' MBh. is MIA. (cf. EWA ii 694)]"
cdial,10146,584,DED 4007,d4893,installed,Tam. mokkuḷ 'bud' is printed in DEDR 4893; DEDR 4997 only cites the same old DED number secondarily,manual-override,loan,entry-from-compared,low,CDIAL[entry 10146],"[Cf. similar interchange of initial in bakula -¹. — ← Drav., Tam. mokkuḷ &c., DED 4007; also mudgara -² m. 'bud' lex. with same variation of - k - ~ - dg - as in mukuṣṭha -]"
cdial,10150,584,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,entry-from-compared,medium,CDIAL[entry 10150],"[Prob. ← Drav., Prj. muṭka 'blow with fist', Kur. muṭkā 'fist', DED. 4041]"
cdial,10152,584,DED 4062,d4959,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,medium,CDIAL[entry 10152],"(Lüders PhilInd 179 < * mūrtā -: mūrtá -; but rather, with mutya - n. lex., ← Drav., Tam. muttu , muruntu &c., DED 4062)"
cdial,10156,584,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,medium,CDIAL[entry 10156],"10156 muktvā́ 'having loosed' ŚBr., 'except' Kāv. 2. * muktuvā. [√ muc ] 1. Si. mut 'except, besides' EGS 136. 2. L. mutū , °tū̃ postp. 'without'."
cdial,10186,586,DED 4036,d4927,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,influence,entry-from-compared,low,CDIAL[entry 10186],"[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]"
cdial,10186,586,DED 4041,d4932,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,influence,entry-from-compared,low,CDIAL[entry 10186],"[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]"
cdial,10186,586,DED 4134,d5037,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,influence,entry-from-compared,low,CDIAL[entry 10186],"[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]"
cdial,10191,587,DED 4199,d5114,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,related,undetermined,low,CDIAL[entry 10191],"[Prob. of Drav. origin (A. Master BSOAS xii 354) with coalescence of two Drav. wordgroups (DED 4199, 4200); less likely Mu. connexions (J. Przyluski BSL xxx 199, PMWS 102). Not with P. Thieme ZDMG 93, 134 < * mr̥ṁṣṭa - nor with P. Tedesco JAOS 65, 82 < vr̥ddha -² 'cut'. In IA. it forms part of 'defective' word-group s.v. * muṭṭa -¹ with all variations characteristic of such groups. — Cf. * muṇḍa -² 'lump']"
cdial,10209,588,DED 4085,d4982,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,high,CDIAL[entry 10209],"[← Drav., Tam. muruṅkai etc., DED 4085]"
cdial,10210,588,DED 4076,d4973,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,low,CDIAL[entry 10210],"[← Drav., Tam. muracam etc., DED 4076. — Cf. muralī -]"
cdial,10214,589,DED 4076,d4973,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,low,CDIAL[entry 10214],"[← Drav., Tam. muraḷi &c., DED 4076. — Cf. muraja -]"
cdial,10221,589,DED 4041,d4932,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,influence,entry-from-compared,medium,CDIAL[entry 10221],"near handle', mūṭhā , muṭṭhā 'the smallest sheaf (about a handful)'; Mth. muṭhā 'handle of mattock'; Bhoj. mūṭhⁱ 'fist'; OAw. mūṭhī f. 'handful'; H. mūṭh f., mūṭhā m. 'fist, blow with fist', mūṭhī , muṭṭhī f. 'fist, handful', muṭṭhā m. 'handful, handle (of plough), bundle'; G. mūṭh f. 'fist', muṭṭhī f. 'handful'; M. mūṭh f. 'fist', Ko. mūṭ ; Si. miṭa , pl. miṭi 'fist, handful', miṭiya 'hammer, bundle'; Md. muři 'hammer': the forms of P. H. Si. meaning 'bundle' perh. rather < * muṭṭha -² s.v. mūta -; — in Gy. wel. mušī , gr. musī 'arm' loss of ṭ is unexpl. unless - ī is secondary. — Poss. ← or infl. by Drav. (Prj. muṭka 'blow with fist' &c., DED 4041: see * mukka -¹): Ku. muṭhagī , muṭhkī f. 'blow with fist', N. muṭki , muṛki , M. muṭkā m. nimuṣṭi -. Addenda: muṣṭí-: WPah.kṭg. mvṭ - (in cmpd.), múṭṭh i f. 'clenched hand, handful'; J. muṭhā m. 'handful', Garh. muṭṭhi ; A. muṭh (phonet. muth ) 'abridgement' AFD 94; Md. muř 'fist, handle', muři 'hammer'. † muṣṭigraha -."
cdial,10223,589,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,entry-from-compared,high,CDIAL[entry 10223],(J. Bloch BSOS v 741 ← Drav.: see also maṣati )
cdial,10233,590,DED 4030,d4921,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,low,CDIAL[entry 10233],"[← Drav. cf. Tam. muṭi 'knot, tuft, bundle' &c. DED 4030, Tam. muṭai 'to plait, braid' &c. (see muṭáti ), and Tam. mūṭai , mūṭṭai 'sack, bundle' &c. DED 4134. — For mng. 'capital sum &c.' see also * mūḍa - s.v. mū́la -]"
cdial,10233,590,DED 4134,d5037,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,low,CDIAL[entry 10233],"[← Drav. cf. Tam. muṭi 'knot, tuft, bundle' &c. DED 4030, Tam. muṭai 'to plait, braid' &c. (see muṭáti ), and Tam. mūṭai , mūṭṭai 'sack, bundle' &c. DED 4134. — For mng. 'capital sum &c.' see also * mūḍa - s.v. mū́la -]"
cdial,10250,592,DED 4105,d5004,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,related,undetermined,low,CDIAL[entry 10250],"[Despite early occurrence and proposed connexion with Gk. μω̑λυ (IEW 750), variation of - l / r - ~ - ḍ - supports non-Aryan, perh. Drav., origin: cf. Tam. muḷā , muḷḷaṅki 'radish' &c., DED 4105. Prob. only chance resemblance with L. and Bi. forms of MIA. muḍḍha - < mūrdhán - with meaning of 'root']"
cdial,10299,595,DED 3982,d4861,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,influence,entry-from-compared,medium,CDIAL[entry 10299],"(poss. influenced by Drav., Tam. miti 'tread on', &c. DED 3982?)"
cdial,10313,596,DED 4161,d5072,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,low,CDIAL[entry 10313],"[ mēthī - f. Pañcad., mēthikā -, mēthinī -, manthā -², vēdhanī - f. lex. — ← Drav. cf. Tam. mēti , mentiyam , vental , &c. DED 4161]"
cdial,10320,596,DED 4178,d5092,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,undetermined,low,CDIAL[entry 10320],"[→ Bal. mēδ 'boatman, fisherman'. — Cf. Tam. metavar 'basket-maker' &c. DED 4178]"
cdial,10330,596,DED 4180,d5094,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,related,undetermined,low,CDIAL[entry 10330],[Cf. Kan. mēruve 'pyramid' DED 4180 with (?)]
cdial,10389,600,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,undetermined,medium,CDIAL[entry 10389],"10389 mlēcchá 'non-Aryan' ŚBr. [√ mlēch ] Pk. maleccha -, miliccha -, meccha -, miccha - m. 'barbarian'; K. mī˜ċh , dat. mī˜ċas m. 'non-Hindu' (loss of aspiration unexpl.); P. milech , mal° m. (f. milechṇī , mal° ) 'Moslem, unclean outcaste, wretch'; WPah.bhad, məlε῀ċh 'dirty'; B. mech 'a Tibeto-Burman tribe' ODBL 473; Si. milidu , miliñdu 'wild, savage' (< MIA. * mlēcha - or with H. Smith JA 1950, 186 X pulindá -), milis (< MIA. miliccha -). — Paš. mečə 'wretched, miserly' rather < * mēcca - 'defective'. — With unexpl. - kkh -: Pa. milakkha -, °khu - 'non-Aryan', Si. malak 'savage', malaki-dū 'a Väddā woman'. — X piśācá -: Pa. milāca - m. 'wild man of the woods, non-Aryan'; Si. maladu 'wild, savage'. * mlēcchatva -. mlḗcchati see * mrēcchati ."
cdial,10395,601,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,low,CDIAL[entry 10395],"10395 yakṣá m. 'a supernatural being' MaitrUp. (n. 'manifestation' RV.), yakṣī -, yakṣiṇī - f. MBh. Pa. yakkha - m. 'a supernatural being', yakkhī -, yakkhiṇī - f., Pk. jakkha - m., jakkhiṇī - f.; Ash. yuš , yüš 'ogre', yuštrī́k 'ogress' (+ strī́ -); Kt. yuṣ 'female demon', Wg. yūṣ ; Pr. yuṣ 'demon'; Kal.rumb. J̣ac̣ 'female demon'; Sh. (Lor.) yac̣ m. 'demon', yac̣ini f., yΛ c̣( h ) olo 'demon like a bear', (Grahame Bailey) yac̣hălĭ́tu 'mad', yac̣hălyār f. 'madness'; K. yĕch , yẹ̆ch m. 'a kind of fairy', yĕchiñ f., yochᵘ m. 'a spirit'; P. jakkh m. 'demigod, devout worshipper', f. 'ogress'; H. jāk m. 'demon', jakhnī f. 'female demon in the service of Durgā'; OG. jākha , jākhala m. 'demon'; M. j̈akhīṇ , j̈ãkīṇ (with ã after ḍãkīṇ s.v. ḍākinī -) f. 'ghost of a woman who died in childbirth or drowned herself', j̈ākhīṇ , j̈ā̃khīṇ f. 'old and ugly woman', j̈akhāī-j̈ukhāī f. 'two female fiends, minor deities and demons in general' (f. from m. * jākhā ); Si. yak-ā 'demon', yakin-ī , yakinna f. (with a for ä after m. yak-ā ); — Kho. ẓoc̣ 'unruly (of children), knotty, complicated' BelvalkarVol 98 with (?); Ku. jākhaṛ 'idiot'; N. jakkhu 'huge'; — Bi. jāk 'a cowdung cake called mahāde placed on a grain heap to ward off evil eye'? YAJ 'sacrifice': iṣṭá-², íṣṭi-³, yajuṣyà - Add., yajñá-, yajñíya-, yājñiká -. Addenda: yakṣá-: S.kcch. jakh m. 'demi-god'."
cdial,10511,608,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,undetermined,medium,CDIAL[entry 10511],"yäm , Kt. šo , Wg.obl. vāmə (X vaḥ ), Pr. mīū , gen. asen , Dm. obl. myā , gen. mina , Paš. ima , obl. myā , Gaw. mē , adj. mēna , Kal. ābi , obl. mēmī , Kho. bisa (X vaḥ ); Si. um̆ba (familiar), Md. imba (to inferior) < Pk. umhēhiṁ with abnormal loss of y - or t - (see below) in a pronoun rather than with H. Smith JA 1950, 205 < IE. * usme . — With t - from tuvám and - ē from nom. pl. of pronouns tḗ &c.: Pa. tumhē , inst. °hēhi , gen. °hākaṁ , EAś. tuphe , inst. °phehi , gen. °phākaṁ , NiDoc. gen. tumahu , du° , Pk. tumhē , amg. tubbhē , inst. tumhēhiṁ , tubbhē° , gen. tumhāṇaṁ , tubbhā° , Gy. eur. tume , tumen , pal. ắtme , Ḍ. tvmέ , Tir. tu , Bshk. tha , Tor. twa , Mai. tus , gen. sā̃ , Chil. tus , gen. tsā̃ , Gau. tus , gen. tusā̃ , Phal. tus , dat. tusām , Sh.gil. tšo , koh. gur. tso , pales. ċō̆ ( h ), K. tŏhⁱ , inst. tŏhĕ , ḍoḍ. tuh , rām. pog. kash. tus , S. tusī , tahī˜ , avhī˜ , L. tusĩ , mult. tussã , P. tusī˜ , obl. tusā̃ , tuhā̃ , WPah.bhad. bhal. pāḍ. paṅ. tus , Ku. tum , N. timi , A. tumi , OB. tumhe , B. tumi , Or. tumbhi , OAw. tuma , inst. tumhahiṁ , lakh. tum , H. tum , OG. tumhe , G. tamε , M. tuhmī , Ko. tummi , OSi. tepi , Si. topi , obl. topa EGS 67, H. Smith JA 1950, 205. — Possessive adj.: Ap. tumhāra -, tuhāra -, Gy. eur. tumaro , Ku. tumaro , N. tim"
cdial,10729,620,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,medium,CDIAL[entry 10729],"10729 riktá 'emptied' AV., riktaka - 'unladen' Mn. [~ * rikṇa-. — √ric ] Pa. ritta -, °aka - 'empty'; Pk. ritta - 'empty', n. 'absence'; Tir. rə́tu 'empty'; Kal.rumb. ritém 'I pour into'; P. rītī 'empty', WPah.jaun. rītō , Ku. rīto , N. ritto ( rittinu 'to be empty', caus. rittyāunu ), H. rītā ( ritā with i from intr. ritnā 'to be empty', caus. ritānā ), M. ritā , Ko. rittẽ ; Si. rit 'empty, emptiness'. Addenda: riktá-: WPah.kṭg. rittɔ 'empty', Garh. rittu (despite P. rītī , the - tt - of WPah. Garh. Ku. N. Ko. prob. is emph. doubling)."
cdial,10833,626,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,undetermined,low,CDIAL[entry 10833],"10833 rōcís n. 'light, brightness' RV. [Cf. rōcá - 'bright' AV., rṓcas - n. 'light' MaitrS. — ~ * lōcis-. — √ruc ] Pk. rōī - f. 'light'; Ash. ẓuċ , žuċ 'daybreak', Wg. wřuč , ẓuž , Kt. ŕuč , ŕič-kol , Pr. ürǰuk , yürǰük ; — Gaw. rūċ 'morning' (← Kaf. or < rōcyà -); — Paš.kuṛ. žōi-zal 'pine tree' (or < * rōciya -). Addenda: rōcís-: Md. rō kuranī 'lights (a fire)'?"
cdial,109,6,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,medium,CDIAL[entry 109],"109 aṅkurá 1. '*hooked'. 2. m. 'sprout' Uṇ., 'tumour' Suśr. [* aṅku-: √añc ] 1. Gy. as. agura 'crooked' JGLS new ser. ii 331; Ash. áklə 'top of shoulder', Kt. ákři 'upper part of arm', Wg. akřá 'peg', Pr. uku 'shoulder'; A. ã̄korā 'crooked, bent'. 2. Pa. aṅkura - m. 'sprout', Pk. aṁkura - m., N. ã̄kuro (lw. with k ), B. Mth. ã̄kur ; Or. āṅkuribā 'to cut off ears of ripe rice'; H. ãkurā m. 'sprout', M. ã̄kūr m., ã̄krī f. 'tender spike of a tree'; Si. akura , akara 'sprout, tumour'. * aṅkurayati, *upāṅkura -. Addenda: aṅkurá- . 2. Garh. ã̄gru 'sprout', ãgryɔṇu 'to sprout'."
cdial,10970,636,DED 3069,d3705,installed,Tam. nutal 'forehead' is printed in DEDR 3705; DEDR 3759 only cross-references the same old DED number,manual-override,loan,entry-from-compared,high,CDIAL[entry 10970],"[ niṭā̆la - (~ lalā́ṭa -) later ← Drav., Tam. nutal , &c. DED 3069, 3118]"
cdial,1100,49,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,medium,CDIAL[entry 1100],"(LSI viii 1, 374: r mistake for, or <, ṛ as in kur 'false' < kūṭa -⁶.)"
cdial,11006,639,DED 2368,d2907,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,undetermined,medium,CDIAL[entry 11006],[→ Ir. dial of Lar in South Persia liṅgṓr 'plough' Morgenstierne. — Initial n - in all Drav. forms (DED 2368); PMWS 127 derives both IA. and Drav. words from Mu. sources]
cdial,11036,640,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,undetermined,medium,CDIAL[entry 11036],"11036 lāvya 'to be reaped' Pāṇ.com. [√ lū ] S. * lābu → Brah. lāb 'harvesting'; — Ku. lāb , lābo 'leaf' (or < lavya -). * lāvyakāra -."
cdial,11212,654,DED 4268,d5220,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,medium,CDIAL[entry 11212],"[Prob. ← Drav. Tam. vaṭam , Kan. vaṭi , vaṭara , &c. DED 4268]"
cdial,11250,656,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,medium,CDIAL[entry 11250],"(X Drav., Tam. Kan. aṇṇi S. M. Katre COJ i 176?)"
cdial,113,6,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,low,CDIAL[entry 113],"113 aṅkōṭa-, aṅkōṭha m. 'the small tree Alangium hexapetalum' lex. 2. aṅkōla-, °aka -. 3. aṅkōlla-. [EWA i 20 with lit.] 1. B. ã̄koṛ 'a partic. plant'. 2. Pa. aṅkōla -, °aka - m. 'Alangium hexapetalum', M. ãkoḷ m.f. 'the tree', n. 'its fruit'. 3. Pk. aṁkolla - m., Or. āṅkola , °kula , °ku , H. akol , °lā m., G. ãkol m. aṅkōlikā- see aṅkapāli -. aṅkōlla- see aṅkōṭa -. AṄG 'go'. [Cf. √ iṅg, √*iṅgh ]: see aṅgana -."
cdial,1135,51,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,undetermined,low,CDIAL[entry 1135],"1135 ātmán m. 'breath, soul' RV., 'self' Mn., nom. °mā́ , acc. °mā́nam , gen. °mánaḥ . 2. * ātmanaka- 'own' (replacing adjectives of type - ātmaka - 'having the character of', ātmanya - 'connected with self' TāṇḍyBr., ātmanīna - Pāṇ). 1. Pa. attan - m. 'self', poet. ātuman - nom. °mā , °mō ; Aś. man. atva - in cmpd., shah. kāl. ata -, dh. jau. atānaṁ acc., jau. atane gen., NiDoc. atvana , apane , °nasya gen., KharI. atmaṇasa , atvaṇasa ; Pk. attā , ātā , ādā , āyā nom., attaṇa -, appā nom., appaṇa -; Ḍ. ΛpΛ ́nε , obl. base Λpōn - 'self', gen. ΛpΛnḗi 'own'; Kt. amu 'own' Morgenstierne with (?); Mai. ky. amā̃ 'oneself' < ātmā́nam Buddruss Kan 42, amaĩˊ 'by oneself'; L. āpe 'self'; P. āp 'self', āpe āp 'by oneself', āpas 'one another', mālwāī āpā̃ 'we'; WPah. bhal. khaś. appu 'by oneself'; Ku. āpo m. 'consciousness, senses', āp , aph 'self', aph aphas 'each for himself', āpũ 'you yourself'; N. ā̃t 'spirit, mind, soul', āphu 'self, respectful 2nd sg. pronoun (partially replacing tapāĩ under H. infiuence)'; A. āpon 'respectful 2nd sg. pron., oneself'; MB. nom. apā 'self', gen. apanā , inst. apane , B. āp , āpnā -, āpni āpase 'among themselves'; āpani , āpuni 'respectful 2nd sg. pron.'; Or. āpe 'self', āpaṇ 'you (respectful)'; OMth. āpa 'self', inst. apanai (> mod. apani ), gen. apa"
cdial,11429,667,DED 4351,d5316,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,low,CDIAL[entry 11429],"[Cf. vēlli - and see mallikā -. — Poss. ← Drav. Tam. vaḷḷi , &c. DED 4351]"
cdial,11459,668,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,related,undetermined,medium,CDIAL[entry 11459],"11459 váhas n. 'shoulder of a draft animal' ŚBr., váha - m. 'shoulder of an ox' AV., vahata -, °tu - m. 'ox' lex. Pk. vaha - m. 'shoulder of ox', A. ba ; — ext. - ḍ -: Pk. vahaḍa - m. 'calf to be trained'; S. vahuṛo m. 'young bullock', °ṛī f. 'heifer', L. vāhaṛ , (Ju.) vohuṛ , mult. vêhaṛ (with - ê - after f.) m. 'young bull', vêhiṛ f. 'heifer', vāhṛkā m., °kī , vêhṛkī f., P. vahaṛ , vahiṛā , ba° m., vahiṛ , ba° , vahiṛī , ba° f.; Ku. bahaṛ m. 'young bullock', N. bahar . vahā- see váha -."
cdial,11503,671,DED 4339,d5301,installed,printed DED/DEDS ID uniquely resolves through the DEDR footer,unique-legacy-id,loan,entry-from-compared,medium,CDIAL[entry 11503],"[Prob. of same ultimate origin as other names for this plant s.v. bhaṇṭākī -: LM 404 ← Drav., see DED 4339. — → Ir. (Pers. badiṅgān ) → Phal. bētiṅgala , Sh. bhatiṅgar G. Morgenstierne BSOS viii 671]"
cdial,11548,673,,,unresolved,Dravidian comparison has no resolvable DED/DEDS entry ID,no-target-id,loan,entry-from-compared,medium,CDIAL[entry 11548],"11548 vāra ³ m. 'crowd' lex. Pk. vāra - m. 'crowd, troop'; OSi. varin inst., varä loc. 'clan, tribe'; — Si. pl. suffix. - var , - val (GS 108, EGS 158) rather ← Tam."
