Set_ID,Proto_Form,Gloss,Evidence_Keys,Method,Status,Notes
berger-berger-entry-10394,*za,"Feuchtigkeit, Nässe",berger-entry-10394|berger-entry-10394-attached-620-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-10530,*zúrzur,s. zar,berger-entry-10530|berger-entry-10530-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1069,*ċiíp,"auswinden, auspres- sen",berger-entry-1069|berger-entry-1069-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-108,*akhil,"(-īī-); ; , pl. -juko h ; ; y ; ; und akhi ; ; ; ; dakhíl -juko ; ; ; ; ; ; dakhí 13. 14; ; ; ; 108 solch, derartig; adv. so, auf diese Art",berger-entry-108|berger-entry-108-dialect-1|berger-entry-108-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1089,*ċćhóċurań,dazu -ċćhóċurań y pl. Fingerspitzen,berger-entry-1089|berger-entry-1089-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1100,*ċupunós,erkältet im Kopf L,berger-entry-1100|berger-entry-1100-attached-1439-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-111,*akhúrum,"akhúruman 8. 23; , akhūūruman ; ; ng. akhkúrumaan ; ; ; und dakhúrum",berger-entry-111|berger-entry-111-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1110,*čha,der Steinböcke,berger-entry-1110|berger-entry-1618-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1125,*ċhal,Haufen,berger-entry-1125|berger-entry-1125-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1129,*ċhámanum,"erstgeboren (Sohn, Tochter, Tierjunges) (-sa-)",berger-entry-1129|berger-entry-1129-attached-1925-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1131,*ċhan,"gerade, di- rekt; wahr, aufrecht, korrekt",berger-entry-1131|berger-entry-1141-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1137,*du-ċhán- -ái-,sein,berger-entry-1137|berger-entry-1137-dialect-1|berger-entry-1137-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1161,*ċhar man,"hz.ng. tropfen, tröpfeln, spritzen",berger-entry-1161|berger-entry-1161-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1176,*ċhiár,auch -inè Jungstier,berger-entry-1176|berger-entry-1176-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1183,*di-ċhígin-,hangen,berger-entry-1183|berger-entry-1183-dialect-1|berger-entry-1183-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1184,*dzċikin-,"dazu dzċikin-, ng. dzċhikin- trs. hän- gen, aufhängen",berger-entry-1184|berger-entry-1184-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1187,*ċhiír,"und pl, D.pl. -inċ, ng. ċhigír -išo Ziege ; ; ; ; weiblicher Steinbock ; ; 366",berger-entry-1187|berger-entry-1187-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1190,*ċhil,"Lei. ng. ""tsil"" und ""sSiliming"" und ""silmitshang""",berger-entry-1190|berger-entry-1190-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1205,*ċhilgúum,und ng. ċhilgúyum wäßrig,berger-entry-1205|berger-entry-1205-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1217,*ćhindár,Stier,berger-entry-1217|berger-entry-1217-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1227,*ċhíriś,Wurzel,berger-entry-1227|berger-entry-1227-attached-499-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1229,*gaśún,"gerade Wurzel, Pfahlwurzel",berger-entry-1229|berger-entry-3420-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1243,*ċhor,"bald, rasch, sofort",berger-entry-1243|berger-entry-1243-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1250,*ċhőrdi,"ċhórdine , , ċhórdi- nar ; ; adv. mor- gens, morgen früh",berger-entry-1250|berger-entry-1250-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1252,*ċhórmo,"čhőrmučum, čhórum s. ċhor -ċhú pl. hz.ng. -ċhóů Fußspur",berger-entry-1252|berger-entry-1252-attached-1870-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1268,*ċhulá,"jedes männliche Zuchttier, hz. besonders Ente- rich, ng. Zuchtgeißbock f",berger-entry-1268|berger-entry-1268-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1271,*ċhundó,ċhindí z ; ; ; ; fünf,berger-entry-1271|berger-entry-1271-dialect-1|berger-entry-1271-dialect-2|berger-entry-1271-dialect-3,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1279,*ċhuúm,"Lei. ""tshúng"", Cunn. ""chung"" schwer, schwer- fállig, langsam, geduldig",berger-entry-1279|berger-entry-1279-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1308,*śiqám,,berger-entry-1308|berger-entry-8787-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1340,*ćamáq,"auch -uċ, -inċ, bz. auch ćamáqiś -qianė Feuerstahl",berger-entry-1340|berger-entry-1340-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1390,*ćaqír,,berger-entry-1390|berger-entry-1390-dialect-1|berger-entry-1390-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1394,*ćaqóoti,"langweilig, ver- schlampt, das Verhindertsein",berger-entry-1394|berger-entry-1394-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1401,*ćaráati,Trennung,berger-entry-1401|berger-entry-1401-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1424,*ćatóoro,mit auseinanderste- henden oder gekrümmten Zehen; mit einem kurzen Fuß,berger-entry-1424|berger-entry-1424-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1434,*ćiJ-i,"Lokativsuffix bei bestimmten Substantiven, vgl. Gr",berger-entry-1434|berger-entry-1434-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1442,*ćidín,auch ćidír metallner Kochtopf,berger-entry-1442|berger-entry-1443-dialect-1|berger-entry-1443-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1452,*ćii-śikárk,s. śikárk,berger-entry-1452|berger-entry-8770-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-147,*altámbo,"altámbi und altám z, ng. althámbo usw. acht",berger-entry-147|berger-entry-147-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1507,*ćítaras,"Lei. ""tshúrtan"" Schwalbe",berger-entry-1507|berger-entry-1507-attached-493-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1510,*ćiṭaríis,"Has. titiríis -ś0, ng. Julṭúus ùnd julṭúusi -muč",berger-entry-1510|berger-entry-1510-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1537,*ćéópuri,"pl, D.pl. -mu Kapern- pflanze, x sg. und pl. Kapern (ge- gessen und für kosmetische Zwecke verwendet)",berger-entry-1537|berger-entry-1537-attached-1685-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1579,*ćúpiski,"dazu !ćúpiski hz.ng. im geheimen 2ćup ng. Vogel mit schönem lan- gem Schwanz, singt nachts",berger-entry-1579|berger-entry-1579-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1627,*du-ćhágalt- -lć-,davon du-ćhágalt- -lć- gekrämpelt werden,berger-entry-1627|berger-entry-1627-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1631,*ćhagén,Krähe mit rotem Schnabel,berger-entry-1631|berger-entry-1631-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1635,*ćéhagúrum,"kalt; Kälte , kalte Jahreszeit ; 8",berger-entry-1635|berger-entry-1635-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1637,*ćhagúrumkuś,davon ćhagúrumkuś Kälte,berger-entry-1637|berger-entry-1637-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1676,*ćkhagúrumkuś,davon ćkhagúrumkuś Kälte,berger-entry-1676|berger-entry-1676-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1692,*ćéhamaní,"besonderes Essen, kö- nigliche Mahlzeit",berger-entry-1692|berger-entry-1692-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1699,*ine,er ist geizig,berger-entry-1699|berger-entry-4286-dialect-1|berger-entry-4286-attached-2106-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1712,*ćéháńaras,Hinterkopf,berger-entry-1712|berger-entry-1712-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1714,*léhaṅùgú,"ćáůgu, ćáůgi, ćéháṅgus, NH ćháńůkum, ćháṅis- kum, ng. ćháůkum steiler Ab- hang, steiler und enger Weg; NH",berger-entry-1714|berger-entry-1714-dialect-1|berger-entry-1714-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1737,*léhardá,Hengst,berger-entry-1737|berger-entry-1737-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1748,*ćhaś,"ćháaů Sanddorn, pl. Dornengestrüpp",berger-entry-1748|berger-entry-1748-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1767,*ćéhémiliù,und pl. hz.ng. Gift,berger-entry-1767|berger-entry-1767-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1778,*hiù,die den Mist aufsaugt,berger-entry-1778|berger-entry-1778-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1798,*éhóquraħṅ,"!-éhóguriaṅů y pl. in die Stirn gekämmtes abge- schnittenes Haar, Simpelfransen, Ponyfrisur",berger-entry-1798|berger-entry-1798-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1800,*léhoṭ,"Subst. y ein Haufen von ..., X ein großer Vorrat von «5 Adj. aufgehäuft, in großen Mengen, (Menschen) gedrängt",berger-entry-1800|berger-entry-1800-attached-2068-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1810,*téhu,"ćhoóńṅo, ng. auch ćhoóṅ, ng. D.pl. éhoónumiù Ah- re; Traube",berger-entry-1810|berger-entry-1810-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1818,*gender,auf der Hausmau- er zum Abstützen der Dachspar- ren,berger-entry-1818|berger-entry-1818-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1840,*ćhut,"ćhuṭtoó, meist ćhúṭan, ćhuṭoó- an ein wenig",berger-entry-1840|berger-entry-1840-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1846,*çaánçan,ein Zeitabschnitt,berger-entry-1846|berger-entry-1846-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1912,*çháa,"adv. überall ; Postp. mit K.abs. durch ... hindurch , durch und durch",berger-entry-1912|berger-entry-1912-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1916,*çhágo,"Spiraea lycoi- des Parker, = eine Art des Spier- strauches; aus den Ruten wird durch Erhitzen Ol gegen Schorf",berger-entry-1916|berger-entry-1916-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-192,*ámulo,"ámuli, ámili wo? ; ; ; wohin?; irgendwo ; ; ; wie? ; irgendwie, etwa, vielleicht ; 11; 37; ; 17",berger-entry-192|berger-entry-192-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1969,*dáalumuċ,"Has. táalumuċ, und dáali- kianė eitrige Mandelentzündung",berger-entry-1969|berger-entry-1969-attached-2086-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1990,*dagá- -ć-,nutága,berger-entry-1990|berger-entry-1990-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1997,*ddagóaħ,ddagóaħ y pl. hz.ng. Mehl,berger-entry-1997|berger-entry-1997-attached-1225-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-1999,*dagú,Klebstoff,berger-entry-1999|berger-entry-1999-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2002,*dagúi,"dagói roh {d.h. noch nicht gebacken), unverarbeitet; ungedreht",berger-entry-2002|berger-entry-2002-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2020,*dalá,,berger-entry-2020|berger-entry-2020-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2024,*je,nach Hunza zu gehen dalbát jú- (Bitan),berger-entry-2024|berger-entry-4558-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2028,*daldín,Mehlsieb,berger-entry-2028|berger-entry-2028-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2029,*daldin- -díi-,"dazu daldin- -díi- nutáldin sieben, filtrieren",berger-entry-2029|berger-entry-2029-dialect-1|berger-entry-2029-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2034,*dalimúś,dálmuś,berger-entry-2034|berger-entry-2034-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2062,*dami-,,berger-entry-2062|berger-entry-2062-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2086,*dápiski,"einen Fußtritt - versetzen, mit dem Fuß treten",berger-entry-2086|berger-entry-2086-dialect-1|berger-entry-2086-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2130,*darúċkuin,davon darúċkuin Jäger,berger-entry-2130|berger-entry-2130-dialect-1|berger-entry-2130-dialect-2,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2138,*dasín,"Mädchen, junge Frau",berger-entry-2138|berger-entry-2138-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
berger-berger-entry-2154,*datúmo,"davon datúmo, ng. auch datúko, da- túkimo herbstlich, Herbst-; adv. im Herbst",berger-entry-2154|berger-entry-2154-dialect-1,source-explicit-dialect-correspondence,accepted,Provisional starred Hunza citation form; Berger explicitly supplies the Yasin correspondence.
