CDIAL_ID,Headword,Status,DEDR_IDs,Confidence,Relation,Direction,Rationale,Evidence
2652,*kaḍappa,installed-proposal,d1299,,,,Already represented by a structured comparison.,2652 *kaḍappa 'collection'. [Like kalāpa- ← Drav.]
2684,káṇḍati,existing-match,d1374,,,,Already represented by a structured comparison.,2684 káṇḍati² 'is glad' Dhātup. [Cf. kaḍati 'is intoxicated' Dhātup.: ← Drav. T. Burrow BSOAS xii 369: √kaṇḍ²]
2688,kaṇḍū,existing-match,d1104,,,,Already represented by a structured comparison.,"2688 kaṇḍū f. 'itching, the itch' Suśr., °ḍūti- f. 'sexual desire in women', °ḍūyā- f. 'itching' Suśr. com. [← Drav. or Austro-as. see kacchū́-]"
2710,kadambá,existing-match,d1116,,,,Already represented by a structured comparison.,"2710 kadambá m. 'the tree Nauclea cadamba' MBh., °baka-, °bada-, kalamba-, °baka- m. lex. [EWA i 144 groups kadambá-, kaḍambá-, kaḍambī- as ← Drav. Tam. kaṭampu, &c.: T. Burrow BSOAS xii 369]"
2723,kanda,existing-match,d1171,,,,Already represented by a structured comparison.,"2723 kanda m. 'bulbous root' MBh., n. 'garlic' lex. [Prob. with gaṇḍa-¹ ← Drav. T. Burrow BSOAS xii 369 and EWA i 152 with lit.]"
2727,kandúka,installed-proposal,d2766,,,,Already represented by a structured comparison.,"2727 kandúka m. 'ball of wood or pith to play with' MBh., n. 'cushion' Bhartr̥. [With gēnduka- q.v. ← Drav.]"
2730,kandhara,no-defensible-target,,,,,"CDIAL cites Te. kandamu 'neck', but that form is absent from the current DEDR; nearby neck entries are not formally comparable.",2730 kandhara m. 'neck' Yājñ. [A. Master BSOAS xii 352 ← Drav. cf. Tel. kandamu 'neck'; but see kaṇṭhá-]
2740,kaparda,installed-proposal,d1342,,,,Already represented by a structured comparison.,"2740 kaparda m. 'a small shell' lex., °daka- m., °dikā- f. 'cowrie' Hit. [← Drav. T. Burrow BSOAS xii 370]"
2755,kapōlá,existing-match,d1337,,,,Already represented by a structured comparison.,"2755 kapōlá m. 'cheek' Yājñ. 2. *kappōla-. [Prob. ← Austro-as., poss. ← Drav. EWA i 158 with lit.]"
2757,kaphōṇi,no-defensible-target,,,,,CDIAL explicitly prefers a Munda source and supplies no specific Dravidian form or DEDR family.,"2757 kaphōṇi m.f. 'elbow', kaphaṇi- m.f., kuphaṇī- f. lex. [Cf. kaphauḍá- m. '(prob.) elbow' AV., and kūrpara-: EWA i 255 with PMWS 44 ← Munda rather than ← Drav. with Burrow TPS 1945, 96]"
2764,kamala,installed-proposal,d256,,,,Already represented by a structured comparison.,"2764 kamala² n. 'lotus' R. [Like kavāra-, kavēla- n. lex., kuvalaya- n. MBh. and Pk. kalima- n. ← Drav. EWA i 160]"
2780,kara,existing-match,d1385,,,,Already represented by a structured comparison.,"2780 kara² m. 'tax, tribute' Mn. [kāra-⁷ m. 'tax' Pāṇ.: ← Drav. T. Burrow TPS 1945, 88; EWA i 166]"
2795,karapattra,installed-proposal,d1265,,,,Already represented by a structured comparison.,"2795 karapattra n. 'saw' Suśr., °aka- n. lex. 2. *karaparṇa-. [By pop. etym. from kará¹- and páttra- (and parṇá-) EWA i 164 who connects with krakaca-, krakara-, Pa. khara-, Pk. karakaya- 'saw' perh. ← Drav. T. Burrow TPS 1945, 96]"
2800,karavīra,existing-match,d1164,,,,Already represented by a structured comparison.,"2800 karavīra m. 'oleander, Nerium odorum' MBh. 2. karṇikāra- m. 'Pterospermum acerifolium' MBh., kaṇēra- m. lex. 3. karṇāṭī- f. 'a kind of mimosa'. [Three forms of a word for 'oleander' all prob., like karavīra- (T. Burrow BSOAS xii 370) ← Drav., cf. esp. Tam. kaṇaviram, Kan. kaṇagil, Tel. gannēru. See karī́ra-²]"
2813,karōṭi,existing-match,d2550,,,,Already represented by a structured comparison.,"2813 karōṭi f. 'cup, skull' Rājat., °ṭa- m. lex. 2. *karōṭṭi- [Prob. ← Drav. Mal. kuraṭṭa, Tu. koraṇṭu 'nut', Kan. karaṭa 'coconut shell', Tam. ciraṭṭai 'coconut shell, begging bowl' T. Burrow TPS 1945, 88]"
2851,kartá,installed-proposal,d1355,,,,Already represented by a structured comparison.,"2851 kartá¹ m. 'hole' RV. [Cf. kāṭá- m. 'hole' RV., gárta-, *gaḍḍa-¹, *gaḍḍ-¹-, gaḍa-¹, *gallī-, *gālī-, *galī-, *khaḍḍa-, *khāḍa-, khalla-², *khāla-, *khala-³. — The extensive interchange of sounds, voiced with unvoiced, retroflex with dental or l, inexplicable within Indo-aryan itself, in a group of words all indicating 'digging' and 'hole' strongly supports assumption of Dravidian origin for it (T. Burrow BSOAS xii 370) despite the early attestation of kartá-¹, kāṭá-, gárta-¹ (EWA i 173). Beside Kan. kaḍḍa 'pitfall for elephants' cf. Kan. gal̤de (9th cent.), gardde (11th cent.), gaddĕ 'paddy field', Brah. kaṛak 'hole']"
2898,karmā́ra,no-defensible-target,,,,,"CDIAL's Ta. karumā 'smith, smelter' is absent from the current DEDR; DEDR 2133 is semantically relevant but formally unrelated.","2898 karmā́ra m. 'blacksmith' RV. [EWA i 176 < stem *karmar- ~ karman-, but perh. with ODBL 668 ← Drav. cf. Tam. karumā 'smith, smelter' whence meaning 'smith' was transferred also to karmakāra-]"
2918,kaláyati,installed-proposal,d1297,,,,Already represented by a structured comparison.,"2918 kaláyati¹ 'counts, thinks' Śiś., kálatē Dhātup. [Cf. kāláyati 'counts, tells over' MBh. Like kalā́-² ← Drav. e.g. Tam. Kan. kal-, Tel. Gondi kar- 'to learn' EWA i 180 with lit.: √kal¹]"
2927,kalā́,installed-proposal,d1297,,,,Already represented by a structured comparison.,2927 kalā́² f. 'any practical art' R. [← Drav. see kaláyati¹: √kal¹]
2931,kalāpa,existing-match,d1299,,,,Already represented by a structured comparison.,"2931 kalāpa m. 'bundle, quiver of arrows' MBh., 'rope round an elephant's neck' lex., °aka- m. MBh. 2. kalamba-³ n. 'crowd' lex. [Cf. *kaḍappa- which supports deriv. from Drav. (Kan. kalappu 'miscellaneous collection' &c. T.Burrow BSOAS xii 371)]"
2950,kalya,existing-match,d1374,,,,Already represented by a structured comparison.,"2950 kalya⁴ n., °yā- f. 'spirituous liquor' lex. [Cf. kaḍaṅga- m. 'id.', kalukkā- f. 'tavern': ← Drav. see kaṇḍati²]"
2955,kallōla,installed-proposal,d240,,,,Already represented by a structured comparison.,"2955 kallōla m. 'wave' Bhartr̥., 'gambol' lex. [← Drav. T. Burrow TPS 1945, 82]"
2957,kávaca,existing-match,d1221,,,,Already represented by a structured comparison.,"2957 kávaca m.n. 'coat of mail' ŚBr., 'jacket' Kāṭh. [kavása- m. 'id.', kaváṣa- m. 'shield' lex.: ← Drav. EWA i 186 with lit.]"
2960,kavala,existing-match,d1222,,,,Already represented by a structured comparison.,"2960 kavala m. 'mouthful' MBh., 'gargle' Suśr., kavaḍa- m. Suśr., kabaḍa-, kapaḍa- Lüders PhilInd 559. [NIA. forms except Paś. can all derive from *kab/pala-: like kavaka- prob. ← Drav. e.g. Tam. kavaḷam, °ar̤am 'morsel of food', kavvu 'to bite' T. Burrow TPS 1945, 91]"
2963,kavāṭa,existing-match,d1187,,,,Already represented by a structured comparison.,"2963 kavāṭa m.n., °ṭī- f. 'leaf of a door', kapāṭa-, °ṭaka- m., °ṭikā- f. MBh., kavaṭī- f. lex. [Cf. kaváṣa- 'opened (of the legs)' AitBr., kaváṣ- 'open (of the leaves of a door)' VS.: perh. ← Drav. EWA i 187 with lit.]"
2998,*kākka,no-defensible-target,,,,,The cited Ka./Te./Ma. kakka/kākke kin terms are absent from the current DEDR.,"2998 *kākka 'senior male relative'. [← Drav.: Kan. kakka 'uncle', Tel. kakka 'daddy', Mal. kākke 'mother's brother']"
3009,kāca,existing-match,d1417,,,,Already represented by a structured comparison.,"3009 kāca³ m. 'loop, string fastened to both ends of a pole, carrying yoke' lex. [← Drav. Kui kāsa, Kuvi kāñju, Kan. kāgaḍi, kāvaḍi T. Burrow BSOAS xii 372, EWA i 195. See kamaṭha-]"
3016,kāñjika,existing-match,d1107,,,,Already represented by a structured comparison.,"3016 kāñjika n. 'sour rice gruel' Suśr., °jī- f., °jīka- n., kāñcika- n. lex. [← Drav. EWA i 195 with lit.]"
3023,kā́ṇḍa,existing-match,d1160,,,,Already represented by a structured comparison.,"3023 kā́ṇḍa (kāṇḍá- TS.) m.n. 'single joint of a plant' AV., 'arrow' MBh., 'cluster, heap' (in tr̥ṇa-kāṇḍa- Pāṇ. Kāś.). [Poss. connexion with gaṇḍa-² makes prob. non-Aryan origin (not with P. Tedesco Language 22, 190 < kr̥ntáti). Prob. ← Drav., cf. Tam. kaṇ 'joint of bamboo or sugarcane' EWA i 197]"
3028,kānana,existing-match,d1418,,,,Already represented by a structured comparison.,3028 kānana n. 'forest' R. [With kāntāra- ← Drav. EWA i 198 with lit.]
3031,kāntāra,installed-proposal,d1418,,,,Already represented by a structured comparison.,"3031 kāntāra m.n. 'large wood, desert' MBh. [kā́ntārapathika- Pāṇ. — ← Drav. see kānana-]"
3037,kāpaṭa,installed-proposal,d2054,,,,Already represented by a structured comparison.,"3037 kāpaṭa 'fraudulent' VarBr̥S. [Forms of G. < *kāpa- with -ṭa-, -la-, -ta- (or -ka-), -tra-. Cf. Sk. Pa. kapaṭa- m.n. 'fraud', Pk. kavaḍa- n.: prob. ← Drav. cf. kūṭá-¹ T. Burrow BSOAS xii 370]"
3061,kāravēlla,no-defensible-target,,,,,The proposed 'black-spear' analysis is a compound etymology with no corresponding whole-word DEDR entry.,"3061 kāravēlla m. 'the gourd Momordica charantia' Suśr., n. 'its fruit' lex., °lī- f. 'the plant', °laka- m., °likā- f. Suśr., kāravallī- f. Car. 2. *kārēlla-. [S. K. Chatterji's theory, Miscellany 74, of Drav. cmpd. 'black-spear' is supported by another name for this plant kāṇḍīra-]"
3082,kārṣmaryà,no-defensible-target,,,,,No Gmelina arborea name resembling kārṣmarya/kambhārī was found in the current DEDR.,"3082 kārṣmaryà m. 'the tree Gmelina arborea' TS., kārśmarī- f. lex., kāśmarya- m., °marī- f. MBh., °mīrī-, kambhārī-, gambhārī, °rikā- f. lex. [← Drav. T. Burrow BSOAS xii 372, EWA i 202]"
3083,kāla,existing-match,d1494,,,,Already represented by a structured comparison.,"3083 kāla¹ 'black, dark-blue' MBh., kā́laka- Pāṇ. (kā́lakā- f. 'a kind of bird' VS.), Central Asian Sk. kāḷa- H. Lüders PhilInd 553. [< *kāḍa- ← Drav. and poss. connected with kajjala-, karṇāṭa- EWA i 203 with lit.]"
3149,kiṁśuka,installed-proposal,d1931,,,,Already represented by a structured comparison.,"3149 kiṁśuka m. 'the tree Butea frondosa' MBh., kaiṁ- śuka- 'pertaining to B. frondosa' Suśr. 2. *kēśuka-. [M. Mayrhofer's assumption, EWA i 206, of a *kīsuka- 'red tree' (changed by pop. etym. to kiṁ-śuka-) ← Drav. is supported by NIA. forms which have no nasal. H. also has ṭesū m.]"
3153,*kicca,existing-match,d2020,,,,Already represented by a structured comparison.,"3153 *kicca 'mud, dirt'. 2. *kacca-². 3. *khacca-. [Cf. Drav. words quoted s.v. *gicc- and further groups s.vv. kiṭṭa- and kaccara-¹, and *cikka-²]"
3173,kirāṭa,no-defensible-target,,,,,CDIAL gives only typological sound alternations and a possible link to 'dwarf'; no specific Dravidian lexical comparandum is named.,"3173 kirāṭa m. 'merchant' Rājat., kirīṭa-² m. BhP., kírāta- m. 'a degraded mountain tribe' VS., cilātī- f. 'woman of this tribe' YogH. [Alternance of k- and c-, -ṭ- and -t- suggests Drav. origin, EWA i 211. Perh. same as kilāta- 'dwarf']"
3227,kuṭa,existing-match,d1651,,,,Already represented by a structured comparison.,"3227 kuṭa¹ m.n. 'water-pot, pitcher' Yaśast., kūṭa-⁵ n. lex., kuḍikā- f. lex. 2. *kuṭava-. 3. *kōṭa-⁴. [With kuṇḍá-¹, *kulla-³, kúlāla-, *kōḍamba-, gōla-², *ghōla-² ← Drav. EWA i 221, 226 with lit. — Cf. kuḍava-]"
3229,kuṭaja,existing-match,d1650,,,,Already represented by a structured comparison.,"3229 kuṭaja m. 'the tree Wrightia antidysenterica (the seeds of which are used as a febrifuge)' MBh., °ṭaca- m. lex. [← Drav. (Tam. kuṭacam, Kan. koḍasige, Tel. koḍise) T. Burrow BSOAS xii 373]"
3232,kuṭī,existing-match,d1655,,,,Already represented by a structured comparison.,"3232 kuṭī f. 'hut' MBh., °ṭikā- f. Divyāv., °ṭīkā- f. Hariv. [Some cmpds. have °ṭa{ka}-: ← Drav. EWA i 222 with lit.: cf. kōṭa-³]"
3244,kuṭhāra,existing-match,d2064 da32,,,,Already represented by a structured comparison.,"3244 kuṭhāra m. 'axe' R., °raka- m. VarBr̥S., °rī- f. lex., °rikā- f. Suśr. [kuṭhātaṅka- m., °kā- f. lex. Prob. ← Drav. and conn. with √kuṭṭ EWA i 223 with lit.]"
3245,*kuḍa,existing-match,d2149,,,,Already represented by a structured comparison.,"3245 *kuḍa¹ 'boy, son', °ḍī 'girl, daughter'. [Prob. ← Mu. (Sant. Muṇḍari koṛa 'boy', kuṛi 'girl', Ho koa, kui, Kūrkū kōn, kōnjē); or ← Drav. (Tam. kur̤a 'young', Kan. koḍa 'youth') T. Burrow BSOAS xii 373. Prob. separate from RV. kŕ̥tā- 'girl' H. W. Bailey TPS 1955, 65. — Cf. kuḍáti 'acts like a child' Dhātup.]"
3246,kuḍava,existing-match,d1651 d1827,,,,Already represented by a structured comparison.,"3246 kuḍava m.n. 'a measure of grain containing a quarter of a prastha' MBh., kúṭapa- Uṇ., kuḍapa- lex. [← Drav. EWA i 224; orig. 'pot' and same as *kuṭava- ?]"
3257,kúṇapa,existing-match,d1822,,,,Already represented by a structured comparison.,"3257 kúṇapa n. 'corpse' AV., kuṇápa- 'smelling like a corpse' ŚBr. [← Drav. T. Burrow BSOAS xii 373]"
3264,kuṇḍá,existing-match,d1651,,,,Already represented by a structured comparison.,"3264 kuṇḍá¹ n. (RV. in cmpd.) 'bowl, waterpot' KātyŚr., 'basin of water, pit' MBh. (semant. cf. kumbhá-¹), °ḍaka- m.n. 'pot' Kathās., °ḍī- f. Pāṇ., °ḍikā- f. Up. 2. *gōṇḍa-. [← Drav., e.g. Tam. kuṭam, Kan. guṇḍi, EWA i 226 with other 'pot' words s.v. kuṭa-¹]"
3266,kuṇḍa,existing-match,d2081,,,,Already represented by a structured comparison.,"3266 kuṇḍa³ n. 'clump' e.g. darbha-kuṇḍa- Pāṇ. [← Drav. (Tam. koṇṭai 'tuft of hair', Kan. goṇḍe 'cluster', &c.) T. Burrow BSOAS xii 374]"
3268,kuṇḍalá,installed-proposal,d1695,,,,Already represented by a structured comparison.,"3268 kuṇḍalá¹ n. 'ring, ear-ring' ĀśvGr̥., 'bracelet' Śiś., 'coil of a rope' lex. 2. *kōṇḍala-. 3. *guṇḍala-. 4. *gundala-. [← Drav. Burrow BSOAS xii 374, EWA i 226]"
3286,kuddāla,existing-match,d1722,,,,Already represented by a structured comparison.,3286 kuddāla¹ m.n. 'a kind of spade or mattock'. 2. *kōddāla-. 3. kuḍḍāla- 'spade' Apte. [Prob. ← Drav. EWA i 229 with lit.]
3335,kulattha,existing-match,d2153,,,,Already represented by a structured comparison.,"3335 kulattha m. 'the pulse Dolichos uniflorus' MBh., °thā- f. lex., °thikā- f. Suśr. [← Drav. (Tam. koḷ 'id.', etc.), T. Burrow TPS 1945, 92 and EWA i 237, 565, with same suffix as in aśvattha-, kapittha-, dadhittha-: the same kul- in kulīnaka- ?]"
3340,kulā́ya,existing-match,d1883 d1884,,,,Already represented by a structured comparison.,"3340 kulā́ya n. (m. Pañcat.) 'woven texture, web, nest' AV. [Prob. with kulya- and *ghōla-² ← Drav. Tam. kuṭai, Mal. kūṭa, Kan. Tu. gūḍe, Tel. gūḍa 'basket'; Tam. kūṭu, Mal. kūḍu, Kan. Tel. Tu. gūḍu 'nest'. For sense 'nest' NTS xii 265 proposes pejorative ku- + lāya- and compares Pers. kunām, Bal. kuδām 'nest' < *ku-dāman-]"
3341,kúlāla,installed-proposal,d1651,,,,Already represented by a structured comparison.,"3341 kúlāla m. 'potter' VS., °lī- f. Rājat. 2. kaulālá- m. 'potter' VS. ŚBr., n. 'potter's ware' ĀśrGr̥., °aka- n. Pāṇ. [→ Pers. → Par. kəlấlī 'pot': non-Aryan J. Charpentier MO xxvi 141, prob. with other 'pot' words s.v. kuṭa-¹ ← Drav. Otherwise, but less likely, EWA i 239 with lit.]"
3350,kulya,existing-match,d1884,,,,Already represented by a structured comparison.,"3350 kulya n. 'receptacle for burnt bones of a corpse' MBh., 'winnowing basket' lex. [Prob. ← Drav.: see kulā́ya-]"
3352,kulyā́,existing-match,d1828,,,,Already represented by a structured comparison.,"3352 kulyā́ f. 'small river, canal, ditch' RV. 2. *kūlā-, kūla-² n. 'pond, tank' lex. (same as kū́la-¹?). 3. *kūlyā- (cf. kū́lya- 'belonging to a bank' VS.). [Variety of form suggests poss. Drav. origin for kulyā́- as well as for kūla-² (Tam. kuḷam 'tank' T. Burrow Arch. Ling. 7, 151)]"
3354,*kulla,installed-proposal,d1651,,,,Already represented by a structured comparison.,"3354 *kulla³ 'pot'. [kulija- n. 'a partic. vessel' Kauś., 'a measure' Pāṇ., kulharī-, °rikā- f. 'pot' Bhpr.: prob. with kúlāla- and other 'pot' words s. v. kuṭa-¹ ← Drav.]"
3391,kūṭa,existing-match,da29,,,,Already represented by a structured comparison.,"3391 kūṭa¹ n. 'iron mallet' MBh. [J. Bloch BSOS v 738 and T. Burrow TPS 1945, 93 connect with √kuṭṭ as ← Drav.]"
3392,kūṭa,installed-proposal,d1882,,,,Already represented by a structured comparison.,"3392 kūṭa² m.n. 'heap, multitude' MBh. [Prob. ← Drav. T. Burrow TPS 1945, 94; but for poss. conn. with kūṭa-¹ cf. ghaná-¹ 'club' ~ ghaná-² 'compact, dense']"
3393,kūṭa,installed-proposal,d2064,,,,Already represented by a structured comparison.,"3393 kūṭa³ n. 'part of a plough, its share' lex. [kuṭaka- n. 'plough without a pole' lex. ← Drav. T. Burrow TPS 1945, 93 and EWA i 251]"
3395,kūṭa,installed-proposal,d1914,,,,Already represented by a structured comparison.,"3395 kūṭa⁶, °aka- 'base (of coins)' Yājñ., 'false, untrue' Mn. [Perh. same as kūṭá-⁷ 'hornless' AV., Pa. kūṭa- (← Drav.? EWA i 251) and so conn. *kuṭṭa-³, *khōṭi-, *khōṭṭa-. Similar range of meaning in other 'defective' groups, e.g. laṭṭa-¹]"
3401,kūpa,existing-match,d1895,,,,Already represented by a structured comparison.,"3401 kūpa², °aka- m. 'mooring post, mast' lex. [← Drav. (Tam. kūmpu 'mast, cone-shaped pinnacle of chariot', Mal. kūmpu 'mast, pointed heap', Tu. kū̆vè 'mast') T. Burrow BSOAS xi 135, xii 375. Prob. therefore to be separated from kū́pa-¹: nevertheless for semantic development, 'pit ~ heap ~ post' see kū́pya-, *khaḍa-², khātra-, mēthí-, skambhá- and esp. kūpaka- 'funeral pyre, hole under it' lex.]"
3408,kūrcá,existing-match,d1639,,,,Already represented by a structured comparison.,"3408 kūrcá m. 'bunch, bundle of grass' TS., °aka- m. 'toothbrush, painter's brush' Suśr., °ikā- f. 'brush made of hair' lex., kūcī́- f. 'paintbrush, pencil' Suśr. [Perh. with T. Burrow BSOAS xii 375 belongs to same group of lws. fr. Drav. as guccha-]"
3412,kū́rdati,existing-match,d1705,,,,Already represented by a structured comparison.,"3412 kū́rdati 'leaps, jumps' MBh. [gū́rdati, khū́rdatē Dhātup.: prob. ← Drav. (Tam. kuti, Kan. gudi 'to spring') T. Burrow BSOAS xii 375]"
3462,kētaka,existing-match,d2026,,,,Already represented by a structured comparison.,"3462 kētaka m. 'the tree Pandanus odoratissimus' MBh., °kĭ̄- f. Gīt. [← Drav. EWA i 264 with lit.: also cf. Savara keda. In S. it collides with kadala- of Austroas. origin.]"
3465,kēmuka,installed-proposal,d2004,,,,Already represented by a structured comparison.,"3465 kēmuka m. 'Costus speciosus' lex., 'Colocasia antiquorum' Bhpr. [Cf. kēvuka- m. Car., kēcuka- m. Suśr., kacu- m., kacvī- f. lex., kēlūṭa- m. Npr., also 'a kind of potherb' Car.: ← Drav. EWA i 266]"
3466,kēyūra,no-defensible-target,,,,,"Ma. kayyuṟa 'glove' is absent as a whole word from DEDR and is transparently a hand+cover compound, not an article-level match.","3466 kēyūra m.n. 'bracelet on the upper arm' MBh. [← Drav. (cf. esp. Mal. kayyuṟa 'glove') T. Burrow BSOAS xii 375, EWA i 266]"
