Proto_Nuristani_ID,Proto_Nuristani_Form,Proto_Nuristani_Gloss,Indo_Aryan_ID,Indo_Aryan_Form,Indo_Aryan_Gloss,Evidence,Candidate_Count,Anchor
n302,bâtur,,,,,no structural IA candidate,0,
n303,bara-nis-ik,spring planting ceremony,,,,no structural IA candidate,0,
n304,bari-sti:,female member of the artisan caste,,,,no structural IA candidate,0,
n305,babakâv-,,9157,barb′ara-,stammering,numeric IA ancestor,1,OIA barb′ara- “stammering”
n310,bâkara,wild hen,,,,no structural IA candidate,0,
n317,bâba,older brother,,,,no structural IA candidate,0,
n318,bâmprek,high wicker table,,,,no structural IA candidate,0,
n319,biiâ,spade,,,,no structural IA candidate,0,
n321,bi,,9250,b′i:ǰa-,seed; semen,numeric IA ancestor,1,OIA b′i:ǰa- “seed; semen”
n325,bâźigal,,,,,no structural IA candidate,0,
n326,bâźiu,,,,,no structural IA candidate,0,
n330,ba-,,,,,no structural IA candidate,0,
n331,bai-,,,,,no structural IA candidate,0,
n332,bâi-,,,,,no structural IA candidate,0,
n333,bair-,,,,,no structural IA candidate,0,
n334,bar-,,,,,no structural IA candidate,0,
n345,buṭa,cavity; hollow; body cavity,,,,no structural IA candidate,0,
n352,bâ,,,,,no structural IA candidate,0,
n354,bâk,,,,,no structural IA candidate,0,
n357,bat,,,,,no structural IA candidate,0,
n360,bâgisṭ,,,,,no structural IA candidate,0,
n364,baŋâ-,,9354,bʱang′a-,hemp,numeric IA ancestor,1,OIA bʱang′a- “hemp”
n368,bâs,,,,,no structural IA candidate,0,
n372,baz,,,,,no structural IA candidate,0,
n373,bitala,,9493,bʱit-ta-,split timber,numeric IA ancestor,1,OIA bʱit-ta- “split timber”
n377,bo-,,,,,no structural IA candidate,0,
n378,bu,,,,,no structural IA candidate,0,
n382,ba-,,,,,no structural IA candidate,0,
n383,bâ-,,,,,no structural IA candidate,0,
n384,bo-,,,,,no structural IA candidate,0,
n386,samâ-,,,,,no structural IA candidate,0,
n389,bo-,,,,,no structural IA candidate,0,
n392,bum,,,,,no structural IA candidate,0,
n397,puruǰe-,,,,,no structural IA candidate,0,
n400,bud,,,,,no structural IA candidate,0,
n403,bud,,,,,no structural IA candidate,0,
n404,budi,,,,,no structural IA candidate,0,
n407,buduṣ-,,,,,no structural IA candidate,0,
n411,bâr,,,,,no structural IA candidate,0,
n414,baṛa-,,,,,no structural IA candidate,0,
n416,samaṛa-,,,,,no structural IA candidate,0,
n419,bâri,,,,,no structural IA candidate,0,
n428,buǰra,,,,,no structural IA candidate,0,
n431,brâź-,,,,,no structural IA candidate,0,
n434,brâź-,,,,,no structural IA candidate,0,
n442,bale-,,,,,no structural IA candidate,0,
n446,mande,,,,,no structural IA candidate,0,
n448,manda-,,,,,no structural IA candidate,0,
n450,buc̣a,,,,,no structural IA candidate,0,
n455,bil-a˜,,,,,no structural IA candidate,0,
n456,bil-aṇ-i,,,,,no structural IA candidate,0,
n457,bili,,,,,no structural IA candidate,0,
n458,bili-â˜,,,,,no structural IA candidate,0,
n462,brâ,,,,,no structural IA candidate,0,
n463,brâk,,,,,no structural IA candidate,0,
n464,brâya,,,,,no structural IA candidate,0,
n468,bruv,,,,,no structural IA candidate,0,
n473,bâmbaṇ,,,,,no structural IA candidate,0,
n478,vâṇ-a-,,12111,v′en-a-ti,sees; looks,numeric IA ancestor,1,OIA v′en-a-ti “sees; looks”
n479,vâṇ-e-,,12111,v′en-a-ti,sees; looks,numeric IA ancestor,1,OIA v′en-a-ti “sees; looks”
n480,veṇ-a-,,12111,v′en-a-ti,sees; looks,numeric IA ancestor,1,OIA v′en-a-ti “sees; looks”
n481,veṇ-e-,,12111,v′en-a-ti,sees; looks,numeric IA ancestor,1,OIA v′en-a-ti “sees; looks”
n483,ve˜-ta,,12111,ven-to-,was seen,numeric IA ancestor,1,OIA ven-to- “was seen”
n484,-vâṇi,,12111,vain-,sees; looks,numeric IA ancestor,1,PAr vain- “sees; looks”
n485,vakama,dandruff,,,,no structural IA candidate,0,
n487,vaṭdroṇ,,11353,*vart-a-druṇa-,stone-bow,numeric IA ancestor,1,OIA *vart-a-druṇa- “stone-bow”
n488,vaṭdroṇ-,,11353,*vart-a-druṇa-,stone-bow,numeric IA ancestor,1,OIA *vart-a-druṇa- “stone-bow”
n489,baḍil,,11385,*vardʱ-ira-,axe; hammer,numeric IA ancestor,1,OIA *vardʱ-ira- “axe; hammer”
n491,valama,freeman without rank,,,,no structural IA candidate,0,
n492,ban,,11258,v′ana-,forest; timber,numeric IA ancestor,1,OIA v′ana- “forest; timber”
n493,bana,,11258,v′ana-,forest; timber,numeric IA ancestor,1,OIA v′ana- “forest; timber”
n494,vanźi,,11209,vanǰa-,oak,numeric IA ancestor,1,PAr vanǰa- “oak”
n495,manźi,,11209,vanǰa-,oak,numeric IA ancestor,1,PAr vanǰa- “oak”
n496,manź,,11209,vanǰa-,oak,numeric IA ancestor,1,PAr vanǰa- “oak”
n497,baṭa,,11235.1,vanṭ-a-,share,numeric IA ancestor,1,OIA vanṭ-a- “share”
n498,maṭa,,11235.1,vanṭ-a-,share,numeric IA ancestor,1,OIA vanṭ-a- “share”
n499,maṭa,,11235.1,vanṭ-a-,share,numeric IA ancestor,1,OIA vanṭ-a- “share”
n500,maṭa,,11235.1,vanṭ-a-,share,numeric IA ancestor,1,OIA vanṭ-a- “share”
n502,vrâmik,,11296,vamr-i:-,ant,numeric IA ancestor,1,OIA vamr-i:- “ant”
n503,vâi,Vâi,,,,no structural IA candidate,0,
n504,vâigal,Wâigal,,,,no structural IA candidate,0,
n506,vâš,,11588,v′âši-:-,adze,numeric IA ancestor,1,OIA v′âši-:- “adze”
n507,vâš-,,11588,v′âši-:-,adze,numeric IA ancestor,1,OIA v′âši-:- “adze”
n508,vâṭalâ,landslide,,,,no structural IA candidate,0,
n509,vâṛâu mandâṛi,pole to which are tied strings to separate warp threads,,,,no structural IA candidate,0,
n510,vâṇ,mortar,,,,no structural IA candidate,0,
n511,vâsari,male goat (18-24 months),,,,no structural IA candidate,0,
n513,vâ˜-dâma-,"seize, grasp; take; grab; hold",,,,no structural IA candidate,0,
n514,vion,boundary,,,,no structural IA candidate,0,
n515,višaṇ-,card,,,,no structural IA candidate,0,
n516,viṭala-,,5450,*vi-ṭal-a-ti,moves aside; is disturbed,numeric IA ancestor,1,OIA *vi-ṭal-a-ti “moves aside; is disturbed”
n517,viric̣,terraced field,,,,no structural IA candidate,0,
n518,vidišâ,,11738,vi-deš-y`a-,foreign,numeric IA ancestor,1,OIA vi-deš-y`a- “foreign”
n521,vind,zinc,,,,no structural IA candidate,0,
n522,vinn,lightning-bolt,,,,no structural IA candidate,0,
n523,vea-,,12109,vedʱ-a-ti,pierces,numeric IA ancestor,1,OIA vedʱ-a-ti “pierces”
n524,vel,,12115,v′ela-:-,limit; time,numeric IA ancestor,1,OIA v′ela-:- “limit; time”
n525,v′e-ma,toward speaker (in a horizontal plane),,,,no structural IA candidate,0,
n526,âc̣,,12067,vr̥č-s′a-,tree,numeric IA ancestor,1,PAr vr̥č-s′a- “tree”
n527,iamra,,12079,vr̥mra-,walnut,numeric IA ancestor,1,OIA vr̥mra- “walnut”
n528,vučak,small louse,,,,no structural IA candidate,0,
n529,iupa-,,12218,vy-ut-pâd-ay-a-ti,causes to arise,numeric IA ancestor,1,OIA vy-ut-pâd-ay-a-ti “causes to arise”
n530,vrâ-,bark [dog],,,,no structural IA candidate,0,
n531,rić,,12233,vri:ǰʱ′i-,rice,numeric IA ancestor,1,PAr vri:ǰʱ′i- “rice”
n532,vrić,,12233,vri:ǰʱ′i-,rice,numeric IA ancestor,1,PAr vri:ǰʱ′i- “rice”
n533,bre,,12234,vle-p-i-ta-,crushed,numeric IA ancestor,1,OIA vle-p-i-ta- “crushed”
n534,vrei,,12234,vle-p-i-ta-,crushed,numeric IA ancestor,1,OIA vle-p-i-ta- “crushed”
n541,-ma,,,,,no structural IA candidate,0,
n544,-m,,,,,no structural IA candidate,0,
n547,iam,,,,,no structural IA candidate,0,
n550,-miš,,,,,no structural IA candidate,0,
n553,mâ,,,,,no structural IA candidate,0,
n555,maǰa-,,9711,m′aǰǰ-a-ti,sinks,numeric IA ancestor,1,OIA m′aǰǰ-a-ti “sinks”
n556,mâ˜ša,,9917,maš′aka-,mosquito,numeric IA ancestor,1,OIA maš′aka- “mosquito”
n557,mâša,,9917,maš′aka-,mosquito,numeric IA ancestor,1,OIA maš′aka- “mosquito”
n558,maṛa,,9727,maṭha-,hut; cottage,numeric IA ancestor,1,OIA maṭha- “hut; cottage”
n559,markâṛa,,9882,mark′aṭa-,monkey,numeric IA ancestor,1,OIA mark′aṭa- “monkey”
n560,maḍu,,9892,mard-a-l′a-,kind of drum,numeric IA ancestor,1,OIA mard-a-l′a- “kind of drum”
n561,maṇḍu,,9892,mard-a-l′a-,kind of drum,numeric IA ancestor,1,OIA mard-a-l′a- “kind of drum”
n562,maṇik,,9731,maṇ′i-,jewel; ornament,numeric IA ancestor,1,OIA maṇ′i- “jewel; ornament”
n566,mać,,,,,no structural IA candidate,0,
n567,mâći,,,,,no structural IA candidate,0,
n569,malai,mother's brother's wife,,,,no structural IA candidate,0,
n571,malik,Malik,,,,no structural IA candidate,0,
n577,mannaṣ,,,,,no structural IA candidate,0,
n578,mannuṣ,,,,,no structural IA candidate,0,
n581,mannuši,,,,,no structural IA candidate,0,
n582,muša,,,,,no structural IA candidate,0,
n583,muša-i,,,,,no structural IA candidate,0,
n584,maṇḍuk,,9746.2,*manḍu-kka-,frog,numeric IA ancestor,1,OIA *manḍu-kka- “frog”
n585,mandâṛi,walking-stick,,,,no structural IA candidate,0,
n592,mâli,,,,,no structural IA candidate,0,
n596,mâ,hulled grain,,,,no structural IA candidate,0,
n597,mâkaṛik,post to hold eave beam,,,,no structural IA candidate,0,
n598,mâc̣i,,9989.1,mâkṣ-i-k′a-,apian; honey,numeric IA ancestor,1,OIA mâkṣ-i-k′a- “apian; honey”
n599,mac̣arik,,9990,*mâkṣ-i-ka-kar-a-,bee,numeric IA ancestor,1,OIA *mâkṣ-i-ka-kar-a- “bee”
n600,mac̣ikarik,,9990,*mâkṣ-i-ka-kar-a-,bee,numeric IA ancestor,1,OIA *mâkṣ-i-ka-kar-a- “bee”
n601,mâč-čâila,go-between,,,,no structural IA candidate,0,
n602,mâṇu,Munjâni,,,,no structural IA candidate,0,
n605,mâla,,9996,mâla-ka-,raised pavillion; upper storey,numeric IA ancestor,1,OIA mâla-ka- “raised pavillion; upper storey”
n606,mâl,,10092,m′âla-:-,wreath; garland,numeric IA ancestor,1,OIA m′âla-:- “wreath; garland”
n607,mâlâda,man that held rank for merit-feast giving (pre-Islamic),,,,no structural IA candidate,0,
n608,mâṇa,,10044,*mâna-,skin bag,numeric IA ancestor,1,OIA *mâna- “skin bag”
n609,mânšor,lifetime,,,,no structural IA candidate,0,
n610,miki,,10117.1,*mikka-ra-,lump,numeric IA ancestor,1,OIA *mikka-ra- “lump”
n611,minki,,10117.1,*mikka-ra-,lump,numeric IA ancestor,1,OIA *mikka-ra- “lump”
n616,mer,,,,,no structural IA candidate,0,
n617,merak,,,,,no structural IA candidate,0,
n618,mer-kân,,,,,no structural IA candidate,0,
n624,meṣ,,,,,no structural IA candidate,0,
n627,miṣi,,,,,no structural IA candidate,0,
n631,miṣi-,,,,,no structural IA candidate,0,
n635,miṣâv-,,,,,no structural IA candidate,0,
n639,âmiṣ,,,,,no structural IA candidate,0,
n646,mutr,,,,,no structural IA candidate,0,
n650,muka-,,,,,no structural IA candidate,0,
n654,me,,10302,megʱ′a-,cloud; rain,numeric IA ancestor,1,OIA megʱ′a- “cloud; rain”
n659,mâande,,,,,no structural IA candidate,0,
n664,meṣ,,,,,no structural IA candidate,0,
n665,meṣi,,,,,no structural IA candidate,0,
n669,mrâŋ,,,,,no structural IA candidate,0,
n672,mraŋâća,,,,,no structural IA candidate,0,
n677,ningaća,,,,,no structural IA candidate,0,
n682,mre-,,,,,no structural IA candidate,0,
n686,mâ-,,,,,no structural IA candidate,0,
n693,mârâ˜,,,,,no structural IA candidate,0,
n696,mâra,,,,,no structural IA candidate,0,
n697,mrâra,,,,,no structural IA candidate,0,
n700,mâč,,,,,no structural IA candidate,0,
n705,maṣa,,,,,no structural IA candidate,0,
n708,miš-,,,,,no structural IA candidate,0,
n715,branź,,,,,no structural IA candidate,0,
n716,mranź,,,,,no structural IA candidate,0,
n720,mač,,,,,no structural IA candidate,0,
n725,mâǰamâ,,,,,no structural IA candidate,0,
n726,mâǰamâ-,,,,,no structural IA candidate,0,
n730,mora,,,,,no structural IA candidate,0,
n744,mal,,,,,no structural IA candidate,0,
n749,mund,,,,,no structural IA candidate,0,
n750,mund-,,,,,no structural IA candidate,0,
n754,ma˜tra-,,,,,no structural IA candidate,0,
n755,maṇḍe-,,,,,no structural IA candidate,0,
n771,mat,,,,,no structural IA candidate,0,
n773,mem,foundation; (vacant) lot,,,,no structural IA candidate,0,
n787,mâs,,,,,no structural IA candidate,0,
n788,mâs-,,,,,no structural IA candidate,0,
n792,mas,,,,,no structural IA candidate,0,
n793,mu,,10144,mukuṭa-,tiara; crest,numeric IA ancestor,1,OIA mukuṭa- “tiara; crest”
n794,mukul-âḍu,squash (pumpkin-shaped),,,,no structural IA candidate,0,
n795,muk,,10174,m′ukh-ya-,of the face or mouth,numeric IA ancestor,1,OIA m′ukh-ya- “of the face or mouth”
n796,muṭa,,10187.1,*muṭṭa-,defective; blunt,numeric IA ancestor,1,OIA *muṭṭa- “defective; blunt”
n797,muṭana,,10187.1,*muṭṭa-,defective; blunt,numeric IA ancestor,1,OIA *muṭṭa- “defective; blunt”
n798,"muṭana-
vând",,10187.1,*muṭṭa-,defective; blunt,numeric IA ancestor,1,OIA *muṭṭa- “defective; blunt”
n800,must,,10221,must′i-,fist,numeric IA ancestor,1,PAr must′i- “fist”
n803,mumâ,Mumo,,,,no structural IA candidate,0,
n807,musa,,,,,no structural IA candidate,0,
n809,muṣa,,,,,no structural IA candidate,0,
n813,mul-,,,,,no structural IA candidate,0,
n814,muṭa,,10245,m′u:rti-,any solid body; image; idol,numeric IA ancestor,1,OIA m′u:rti- “any solid body; image; idol”
n815,muli,,10257.2,*mu:l-iya-,original value; price,numeric IA ancestor,1,OIA *mu:l-iya- “original value; price”
n816,muṛi,,10257.2,*mu:l-iya-,original value; price,numeric IA ancestor,1,OIA *mu:l-iya- “original value; price”
n821,maṣa-,,,,,no structural IA candidate,0,
n828,maǰ,,,,,no structural IA candidate,0,
n831,masta,,,,,no structural IA candidate,0,
n834,mrasta,,,,,no structural IA candidate,0,
n839,mâranik,,,,,no structural IA candidate,0,
n841,ünna,unripe walnut,,,,no structural IA candidate,0,
n846,-vaṇi,,,,,no structural IA candidate,0,
n850,vi-,,,,,no structural IA candidate,0,
n854,vići,,,,,no structural IA candidate,0,
n856,viši,,,,,no structural IA candidate,0,
n860,e˜ši,,,,,no structural IA candidate,0,
n864,bera,,,,,no structural IA candidate,0,
n869,vem,,,,,no structural IA candidate,0,
n873,via˜š,,,,,no structural IA candidate,0,
n878,veši,,,,,no structural IA candidate,0,
n882,viš,,,,,no structural IA candidate,0,
n887,vaša-,,,,,no structural IA candidate,0,
n893,vâm,,,,,no structural IA candidate,0,
n897,vâr,,,,,no structural IA candidate,0,
n898,vâṛ,,,,,no structural IA candidate,0,
n899,vâṭ,,,,,no structural IA candidate,0,
n903,vâṭ,,,,,no structural IA candidate,0,
n906,vâṭuṇi,,,,,no structural IA candidate,0,
n909,vâṭuṇi,,,,,no structural IA candidate,0,
n912,uṛa,,,,,no structural IA candidate,0,
n923,vr̥ṭ,,,,,no structural IA candidate,0,
n928,vâtr,,,,,no structural IA candidate,0,
n932,vari,,,,,no structural IA candidate,0,
n937,vr̥c̣a-,,,,,no structural IA candidate,0,
n943,ura,,,,,no structural IA candidate,0,
n947,purda,,,,,no structural IA candidate,0,
n956,vâć′ař,,,,,no structural IA candidate,0,
n958,vaćala,,,,,no structural IA candidate,0,
n962,vau,,,,,no structural IA candidate,0,
n966,vâs,,,,,no structural IA candidate,0,
n970,vâsa-,,,,,no structural IA candidate,0,
n974,vasa,,,,,no structural IA candidate,0,
n978,vâsa˜ta,,,,,no structural IA candidate,0,
n982,vârak,,,,,no structural IA candidate,0,
n986,vâr,,,,,no structural IA candidate,0,
n989,-ba,,,,,no structural IA candidate,0,
n993,vašpi,,,,,no structural IA candidate,0,
n994,u-kâṭ-,tear down,,,,no structural IA candidate,0,
n996,â-vźeṇa,,,,,no structural IA candidate,0,
n997,uša˜,spatula,,,,no structural IA candidate,0,
n998,uṭ-,flay,,,,no structural IA candidate,0,
n999,uṣol,waterfall,,,,no structural IA candidate,0,
n1001,utâ,excessive; great,,,,no structural IA candidate,0,
n1008,ča,,,,,no structural IA candidate,0,
n1012,ukram,,1739,ud-krâma-,going out or up,numeric IA ancestor,1,OIA ud-krâma- “going out or up”
n1013,usć-,startle,,,,no structural IA candidate,0,
n1018,raveki,,,,,no structural IA candidate,0,
n1022,livaša,,,,,no structural IA candidate,0,
n1024,unnâu,meadow,,,,no structural IA candidate,0,
n1025,vaćâ,,2167,upa-sčad-a-,cover,numeric IA ancestor,1,PAr upa-sčad-a- “cover”
n1026,vaćada,,2167,upa-sčad-a-,cover,numeric IA ancestor,1,PAr upa-sčad-a- “cover”
n1037,o,,,,,no structural IA candidate,0,
n1041,o,around,,,,no structural IA candidate,0,
n1045,′indra,,,,,no structural IA candidate,0,
n1051,vame,,,,,no structural IA candidate,0,
n1057,′asta,,,,,no structural IA candidate,0,
n1058,asṭ,,,,,no structural IA candidate,0,
n1061,astadić,,,,,no structural IA candidate,0,
n1062,âsṭić,,,,,no structural IA candidate,0,
n1067,ače˜,,,,,no structural IA candidate,0,
n1069,ac̣i˜,,,,,no structural IA candidate,0,
n1070,oṣa,,2562,′oṣadʱi-,medicinal herb,numeric IA ancestor,1,OIA ′oṣadʱi- “medicinal herb”
n1074,-as,,,,,no structural IA candidate,0,
n1077,-še,,,,,no structural IA candidate,0,
n1082,aṭi,,,,,no structural IA candidate,0,
n1086,nâuče˜,,,,,no structural IA candidate,0,
n1090,âŋâ,,,,,no structural IA candidate,0,
n1091,âŋâ-,,,,,no structural IA candidate,0,
n1094,âŋâ-,,,,,no structural IA candidate,0,
n1102,amâr,,,,,no structural IA candidate,0,
n1104,amâr,,,,,no structural IA candidate,0,
n1108,-â,,,,,no structural IA candidate,0,
n1115,âš,,,,,no structural IA candidate,0,
n1116,âši,,,,,no structural IA candidate,0,
n1120,usṭ,,,,,no structural IA candidate,0,
n1121,ćare˜,apricot,,,,no structural IA candidate,0,
n1122,ćanu,Sâňu,,,,no structural IA candidate,0,
n1123,ćave,drill,,,,no structural IA candidate,0,
n1124,ćam,Wâmâ,,,,no structural IA candidate,0,
n1125,ćâćak-,sting,,,,no structural IA candidate,0,
n1126,ćiprâ:˜,lamb,,,,no structural IA candidate,0,
n1127,ćuki,,,,,no structural IA candidate,0,
n1128,ćurća˜,,,,,no structural IA candidate,0,
n1132,ta,,,,,no structural IA candidate,0,
n1133,ta-vara,,,,,no structural IA candidate,0,
n1136,-i,,,,,no structural IA candidate,0,
