Proto_Nuristani_ID,Proto_Nuristani_Form,Proto_Nuristani_Gloss,Indo_Aryan_ID,Indo_Aryan_Form,Indo_Aryan_Gloss,Overlap,Rank,Runner_Up_Overlap,Shared_Reflexes,Hierarchy_ID,Target_Language,Target_Form,Target_Gloss,Form_Similarity,Gloss_Overlap
n500,*maṭa,,11235,vaṇṭa-,share,1,1,0,nis:maṭ,11235.1,OIA,vanṭ-a-,share,1.000,share
n507,*vāś,,11588,vā́śī,sharp-pointed knife or adze,1,1,0,nis:vaślig,11588,OIA,v′âši-:-,adze,1.000,adze
n516,*viṭala,,5450,ṭálati,*moves aside,1,1,0,nis:uṭala,5450,OIA,*vi-ṭal-a-ti,moves aside; is disturbed,0.857,aside;moves
n518,*vidiśā,,11738,vidēśyà,foreign; foreign country,1,1,0,nis:vidiśæ,11738,OIA,vi-deš-y`a-,foreign,1.000,foreign
n523,*vea,,407,áp,,1,1,1,nis:ve,12109,OIA,vedʱ-a-ti,pierces,0.250,
n523,*vea,,12109,*vēdʰati,pierces; piercing,1,2,1,nis:ve,12109,OIA,vedʱ-a-ti,pierces,1.000,pierces
n525,*véma,toward speaker (in a horizontal plane),12113,vḗman,loom,1,1,0,nis:vem,,,,,0.000,
n533,*bre,,12234,vlēpita,causes to be crushed; crushes; crushed,1,1,1,nis:bre,12234,OIA,vle-p-i-ta-,crushed,1.000,crushed
n533,*bre,,9686,bʰriyátē,"is carried; is maintained, is kept",1,2,1,Kam:br̆e,12234,OIA,vle-p-i-ta-,crushed,0.143,
n553,*mā,,9981,mā́,,1,1,0,nis:maa,,PAr,m′â,,1.000,
n555,*maja,,9711,májjati,"sinks, perishes; submerges",1,1,0,nis:maja,9711,OIA,m′aǰǰ-a-ti,sinks,1.000,sinks
n557,*māśa,,9917,maśáka,mosquito,1,1,0,nis:māśa,9917,OIA,maš′aka-,mosquito,1.000,mosquito
n558,*maṛa,,10044,*māna,skin-bag,1,1,1,nis:mṛa,9727,OIA,maṭha-,hut; cottage,0.667,
n558,*maṛa,,9727,maṭʰa,"hut, cottage, esp. cell of an ascetic",1,2,1,nis:mṛa,9727,OIA,maṭha-,hut; cottage,0.889,cottage;hut
n562,*maṇik,,9731,maṇí,"jewel, ornament",2,1,0,nis:mr̆̃eŋ;nis:mr̆̃eŋ-samu,9731,OIA,maṇ′i-,jewel; ornament,1.000,jewel;ornament
n566,*maʦ,,9758,mátsya,fish; little fish,2,1,0,nis:maʦ;sanu:mōʦ,,PAr,m′ad-sya-,fish,0.833,fish
n577,*mannaṣ,,9827,mánuṣa,man,1,1,1,nis:manaṣ,,OIA,m′anu-ṣ-a-,man,1.000,man
n577,*mannaṣ,,10049,mā́nuṣa,human; man,1,2,1,Gmb:madaṣ,,OIA,m′anu-ṣ-a-,man,1.000,man
n582,*muśa,,9828,manuṣyà,"human; human being, man",1,1,0,nis:muśa,,PAr,manu-s-i-a-,human; man,0.857,human;man
n583,*muśai,,9828,manuṣyà,"human; human being, man",1,1,0,nis:meśi,,PAr,manu-s-i-a-,human; man,0.857,human;man
n592,*māli,,10009,mātulá,mother's brother; affectionate term for mother's brother; mother's brother's wife; pertaining to a mother; having two mothers,2,1,0,nis:mel;nis:meli,,OIA,mâtu-l′a-,mother's brother,1.000,brother;mother;s
n598,*māʦ̣i,,9989,mākṣiká,pertaining to a bee; honey,1,1,0,nis:māʦ̣i,9989.1,OIA,mâkṣ-i-k′a-,apian; honey,1.000,honey
n599,*maʦ̣arik,,9990,*mākṣikakara,bee,1,1,0,nis:maʦ̣arik,9990,OIA,*mâkṣ-i-ka-kar-a-,bee,1.000,bee
n608,*māṇa,,10044,*māna,skin-bag,1,1,1,nis:mṛa,10044,OIA,*mâna-,skin bag,1.000,bag;skin
n608,*māṇa,,9727,maṭʰa,"hut, cottage, esp. cell of an ascetic",1,2,1,nis:mṛa,10044,OIA,*mâna-,skin bag,0.750,
n611,*minki,,10117,*mikkara,lump,1,1,1,nis:min,10117.1,OIA,*mikka-ra-,lump,1.000,lump
n611,*minki,,10263,*mr̩kṇa,damaged; hurt; eclipse of sun,1,2,1,Kam:miŋa,10117.1,OIA,*mikka-ra-,lump,0.500,
n624,*meṣ,,10135,miśrá,mixed,2,1,0,Kam:meṣ;ktivi:meṣ,,PAr,mišr′a-,mixed,1.000,mixed
n635,*miṣāv,,10137,miśrayati,mixes,1,1,0,sanu:miśāā̃,,OIA,mišr-âp-aya-ti,mixes,0.900,mixes
n650,*muka,,10157,*mukna,loosed,1,1,0,nis:muka,,PAr,muk-na-,loosed,1.000,loosed
n664,*meṣ,,9964,mahiṣá,"great, powerful; buffalo; buffalo cow; chief queen; Buffalo; the great one of the beasts",1,1,0,nis:miṣ-gā,,OIA,maɦ-i-ṣ′a-,great; powerful; buffalo,0.909,buffalo;great;powerful
n669,*mrāŋ,,9885,*margā,wild goat,1,1,0,nis:mrāŋ,,PAr,marga-:-,wild goat,1.000,goat;wild
n677,*ningaʦa,,10265,*mr̩gacī,"small animal, bird",1,1,0,nis:niŋaʦa,,PAr,mr̥ga-či-:-,small animal; bird,1.000,animal;bird;small
n682,*mre,,10383,mriyátē,dies,1,1,0,nis:mrẽ,,OIA,mri-y′a-te,dies,1.000,dies
n686,*mā,,10066,māráyati,kills,1,1,0,nis:mā,,OIA,mâr-′aya-ti,kills,1.000,kills
n696,*māra,,1000,ākara,"accumulation, plenty, mine; one who scatters",1,1,0,sec:māra,,PAr,mâra-,death,0.667,
n700,*māc,,9888,mártya,"a mortal, man",1,1,1,nis:māc,,PAr,m′art-ya-,mortal; man,1.000,man;mortal
n700,*māc,,9875,marīca,peppercorn; pepper shrub,1,2,1,Kam:moc,,PAr,m′art-ya-,mortal; man,0.667,
n705,*maṣa,,10358,mōṣa,theft,1,1,1,ktivi:maṣa,,OIA,marṣ-a-,non-endurance; impatience; anger,0.667,
n705,*maṣa,,558,amarṣa,"non-endurance; impatience, anger; impatience; patience",1,2,1,nis:muṣ,,OIA,marṣ-a-,non-endurance; impatience; anger,0.909,anger;endurance;impatience;non
n726,*mājamā,,9810,madʰyamá,middlemost,1,1,0,nis:majmɘ tāti,,PAr,madʱ-ya-m′a-,middlemost,1.000,middlemost
n730,*mora,,9793,madʰurá,sweet,1,1,0,nis:mura,,PAr,madʱu-r′a-,sweet,1.000,sweet
n750,*mund,,10247,mūrdʰán,"cranium, head, top, chief, beginning",1,1,0,Gmb:mūdæ,,OIA,mu:rdʱ′an-,cranium; head,1.000,cranium;head
n754,*mãtra,,9837,mantráyatē,speaks; consults with; advises,1,1,0,nis:matra,,PAr,mantr-′aya-te,speaks; consults with,1.000,consults;speaks
n755,*maṇḍe,,9742,máṇḍala,"disc; ball for playing; circle, district; circular; disc; group",1,1,0,Kam:māṇa,,PAr,mantr-′aya-te,speaks; consults with,0.588,
n771,*mat,,9841,mántʰā-,churning-stick; mixed beverage; stirring spoon; stirring; instrument for kindling fire by friction,1,1,0,nis:dɘv-mut,,OIA,manth-′a-,churning,0.909,churning
n787,*mās,,10104,mā́sa,"moon, month",2,1,0,Gmb:mās;nis:mās,,PAr,m′âsa-,moon; month,1.000,month;moon
n792,*mas,,9982,māṁsá,flesh,1,1,0,nis:mus,,PAr,mâ˜s′a-,flesh,0.889,flesh
n795,*muk,,10174,múkʰya,pertaining to face or mouth; chief,1,1,0,nis:mɨk,10174,OIA,m′ukh-ya-,of the face or mouth,0.909,face;mouth
n796,*muṭa,,10187,*muṭṭa,defective,1,1,0,nis:muṭa,10187.1,OIA,*muṭṭa-,defective; blunt,1.000,defective
n800,*must,,10221,muṣṭí,"clenched hand, fist; handful",1,1,0,nis:mustik,10221,PAr,must′i-,fist,1.000,fist
n807,*musa,,10258,mūṣa,"rat, mouse",1,1,0,nis:pusa,,PAr,mu:s-a-ka-,mouse; rat,0.800,mouse;rat
n813,*mul,,10250,mū́la,root; arising from; radish; root used in magic,1,1,0,nis:mɨli,,PAr,m′u:la-,root; arising from,1.000,arising;from;root
n828,*maj,,9712,majján,"marrow, pith",1,1,0,nis:muj,,PAr,maǰǰ′an-,marrow,1.000,marrow
n831,*masta,,9926,masta,"head; head, skull",1,1,0,nis:musta,,PAr,masta-,head; brain,1.000,head
n850,*vi,,11183,vaḣ,,1,1,0,nis:vi,,PAr,v′i,"apart, asunder; away",0.400,
n856,*viśi,,11616,viṁśatí,20,1,1,0,nis:viśi,,OIA,vi˜šat′i-,twenty,0.923,
n860,*ẽśi,,2411,ūnaviṁśati,19,1,1,0,nis:ẽśi,,OIA,u:na-vi˜šati-,nineteen,0.947,
n869,*vem,,12113,vḗman,loom,1,1,0,nis:vem,,OIA,v′e-man-,loom,1.000,loom
n873,*viãś,,12099,vētasá,"ratan, reed",1,1,0,Gmb:vyæ̃ś,,OIA,vet-aš-a-,rattan; reed,1.000,reed
n878,*veśi,,12127,vēśíya,inhabitant,1,1,0,nis:veśa,,OIA,veš-′iya-,inhabitant,1.000,inhabitant
n882,*viś,,11968,viṣá,poison,1,1,0,nis:viś,,PAr,viš′a-,poison,1.000,poison
n893,*vām,,11366,vártman,"track of a wheel, path",1,1,0,nis:vām,,PAr,v′art-man-,track of a wheel; path,1.000,path;track;wheel
n897,*vār,,11547,vāra,"appointed time, one's turn; one's appointed place; day of the week",1,1,0,Kam:vor,,OIA,vart-a-,stone whorl at the bottom of a spindle,0.889,
n903,*vāṭ,,11348,*varta,round stone,2,1,0,Gmb:vāṭ;nis:vāṭ,,OIA,vart-a-,round stone,1.000,round;stone
n912,*uṛa,,12067,vr̩kṣá,tree,1,1,0,Kam:ur̆a,,PAr,vart-a-ka-:-,quail,0.333,
n923,*vr̩ṭ,,12071,*vr̩tʰa,covering,1,1,0,nis:oṭ,,PAr,vr̥-tha-,covering,0.889,covering
n928,*vātr,,10702,rā́trī,night,1,1,1,nis:vātr,,PAr,vârt-ra-,pertaining to a fence,0.545,
n928,*vātr,,11565,*vārtra,pertaining to a fence,1,2,1,nis:vātr,,PAr,vârt-ra-,pertaining to a fence,1.000,fence;pertaining
n937,*vr̩ʦ̣a,,12080,vr̩ścáti,cuts down or off or asunder,1,1,0,nis:oʦ̣ũ,,OIA,vr̥šč-′a-ti,cuts down or off,1.000,cuts;down;off
n958,*vaʦala,,11244,vatsalá,affectionate towards its young; *calf,1,1,0,nis:oʦala,,PAr,vatsa-l′a-,calf,1.000,calf
n962,*vau,,11250,vadʰū́,"bride, young wife; son's wife",1,1,0,nis:vov,,PAr,vadʱ′u:-,bride; son's wife,1.000,bride;s;son;wife
n966,*vās,,11591,vāsá,abode; staying; sleeping quarters,1,1,0,nis:vās,,PAr,vâs-′a-,abode; staying,1.000,abode;staying
n974,*vasa,,11446,vásu,good; wealth,1,1,0,nis:osẽ,,PAr,v′as-u,good; wealth,1.000,good;wealth
n978,*vāsãta,,11439,vasantá,spring season,2,1,0,nis:osũt;sanu:vāsanta,,PAr,vas-ant′a-,spring season,1.000,season;spring
n982,*vārak,,11549,vā́ra,,1,1,0,nis:varak,,PAr,v′âra-,sheep's wool,1.000,
n986,*vār,,11547,vāra,"appointed time, one's turn; one's appointed place; day of the week",2,1,0,Kam:vor;nis:bār,,PAr,vâra-,appointed time; turn,1.000,appointed;time;turn
n989,*ba,,9477,bʰāvayati,"causes to be; cherishes; considers, esteems, shows",1,1,0,nis:ba,,,,,0.000,
n993,*vaśpi,,11451,*vaspi,wasp,1,1,0,nis:viśpik,,PAr,vaspi-,wasp,1.000,wasp
n1008,*ca,,4533,ca,and,1,1,0,Kam:ca,,OIA,ud-ča,tall; lofty,0.667,
n1012,*ukram,,1739,utkrāma,going out or up; id.,1,1,0,nis:ugā,1739,OIA,ud-krâma-,going out or up,0.857,going;out;up
n1022,*livaśa,,11141,lōpāśá,"fox, jackal",1,1,0,nis:livaśa,,OIA,lop-a:-š′a-,fox; jackal,1.000,fox;jackal
n1025,*vaʦā,,2167,upaccʰada,cover; covered,1,1,0,nis:oʦæ,2167,PAr,upa-sčad-a-,cover,0.875,cover
n1037,*o,,2136,úpa,"up to, upon, above, near",2,1,1,nis:o;sanu:o,,PAr,′upa,upon; above,1.000,above;upon
n1037,*o,,977,ásti,is,1,2,1,nis:o,,PAr,′upa,upon; above,0.286,
n1045,*índra,,1572,índra,the god Indra,1,1,0,nis:indr,,PAr,′indra-,Indra,1.000,indra
n1051,*vame,,895,*avimaya,consisting of sheep; consisting of cattle,1,1,0,nis:vame,,OIA,avi-maya-,consisting of sheep,1.000,consisting;sheep
n1067,*acẽ,,43,ákṣi,eye,1,1,0,nis:acẽ,,PAr,′ak-ši-na-,eye,0.800,eye
n1069,*aʦ̣ĩ,,1063,*ācakṣati,looks at; announces,1,1,0,nis:ā̃ʦ̣a cũ,,OIA,′akṣi-ṇa-,eye,0.571,
n1077,*śe,,12614,śaítya,coldness,1,1,0,ktivi:śe,,PAr,-asya,,0.600,
n1082,*aṭi,,958,aṣṭʰi,*bone; kernel; bone of elbow or knee; the knees; ankle; thigh and knee; bone,1,1,0,nis:aṭi,,OIA,aṣṭhi-,bone; kernel,0.889,bone;kernel
n1086,*nāucẽ,,6914,nakʰá,,1,1,0,nis:nuca,,PAr,nakh′a-,nail; claw,0.889,
n1094,*āŋā,,131,aŋgāryā́,heap of embers; fit for making charcoal; portable fireplace,1,1,0,nis:ãgærik,,PAr,angâr-y′a-:-,heap of embers,0.923,embers;heap
n1102,*amār,,1275,āmrātaka,Spondias mangifera or hogplum,1,1,0,nis:amār,,OIA,âmrâ-ta-ka,hogplum,1.000,hogplum
n1115,*āś,,1533,āsyà,mouth; face,1,1,0,nis:āś,,PAr,âs′iya-,mouth,0.889,mouth
n1132,*ta,,5612,tá,,1,1,0,nis:to,,PAr,t′a-,,1.000,
n1139,*i,,1288,ā́yāti,comes near,1,1,0,nis:e,,PAr,-i-t′a-,,0.250,
n1144,*tu,,5889,tuvám,thou,1,1,0,nis:tɨ,,PAr,tuv-′am,,1.000,
n1148,*to,,5889,tuvám,thou,1,1,0,nis:tu,,PAr,t′ava,,0.667,
n1161,*tarāli,,5706,taravāri,one-edged sword,1,1,0,nis:tareli,5706,OIA,taravâri-,one-edged sword,1.000,edged;sword
n1167,*tāt,,5754,tātá,"ŚBr.,; MBh.,; MBh. [Cf. <i>tatá</i>- m.",1,1,0,nis:tāti,,PAr,tât′a-,father; dad,1.000,
n1168,*te,,5647,tatʰāpi,"even so, nevertheless",2,1,0,Kam:de;ktivi:te,5647,OIA,ta-thâ-pi,even so; nevertheless,0.923,even;nevertheless;so
n1169,*ti,,258,*ádʰiyēti,goes to; turns the mind to,1,1,0,nis:di,5647,OIA,ta-thâ-pi,even so; nevertheless,0.286,
n1208,*tula,,5884,tulayati,lifts; weighs,1,1,0,nis:tula,,PAr,tul-aya-ti,lifts; weighs,1.000,lifts;weighs
n1212,*tāli,,5803,tā́lu,palate; two veins in the palate; crown of head; top of head ~ palate,1,1,0,nis:tālɨk,,PAr,tâlu-,palate; top of head,1.000,head;palate;top
n1216,*tuṇuka,,5654,tanú,"thin, delicate",1,1,0,nis:tũka,,PAr,tan′u-,thin,1.000,thin
n1232,*tramaśa,,5692,támisrā,dark night; darkness,1,1,0,nis:tramaśa,,PAr,t′amis-ra-:-,dark night,1.000,dark;night
n1233,*truv,,5930,*tr̩pu,sour; sour; sour,2,1,0,nis:trɘ;sanu:truv-ie,5930,OIA,*tr̥pu-,sour,1.000,sour
n1238,*tus,,5892,túṣa,chaff of grain,1,1,0,nis:tɨs,5892,PAr,t′usa-,chaff,1.000,chaff
n1243,*trupala,,6028,*trip,be wet,1,1,0,nis:trɨpala,6028,OIA,*trip-,be wet,1.000,wet
n1247,*tre,,5994,tráyaḣ,three,1,1,0,nis:tre,,PAr,tr′ay-as,three,0.833,three
n1252,*trauś,,6001,tráyōdaśa,thirteen,1,1,0,nis:trɨ̃ś,,OIA,tr′ay-o-daša,thirteen,1.000,thirteen
n1265,*travai,,6033,tripādaka,three-footed; tripod,1,1,0,nis:travai,,PAr,tri-pâda-ka-,three-footed,1.000,footed;three
n1269,*tras,,6005,trasa,*trembling,1,1,0,nis:tros,,PAr,trasa-,trembling,1.000,trembling
n1270,*dar,wash,6294,dāraka,"boy, son, child; girl",1,1,0,Kam:dāra,,,,,0.000,
n1272,*ḍunda,,6128,daṇḍá,"stick, club; handle; control; punishment; stalk, stem; staff of banner; row, line; stick",1,1,0,nis:ḍun,6128,OIA,danḍ′a-,stick,1.000,stick
n1276,*dāi,,6250,*dāṁṣṭra,"fang, tusk, beard; tusk, fang; tusk, beard; tusk; beard; tooth; fang — tusk — beard; pertaining to or collection of fangs; fang",1,1,0,nis:dæ,6250,OIA,dâḍʱ-i-ka-:-,beard,0.462,beard
n1279,*dāra,,6294,dāraka,"boy, son, child; girl",3,1,0,Kam:dāra;ktivi:dāra;nis:darẽ,6294,OIA,dâra-ka-,boy,1.000,boy
n1280,*dāri,,6293,dārá,wife,1,1,0,Kam:dāri,6293.2,OIA,dâr-i-ka-:-,girl; wife,0.800,wife
