ID,Query,Status,Latitude,Longitude,OSM_Type,OSM_ID,Match
loke_ghiling,"Ghiling, Upper Mustang, Nepal",regional-fallback,,,,,
loke_chhosher,"Chhosher, Upper Mustang, Nepal",regional-fallback,,,,,
loke_jharkot,"Jharkot, Bahragaun, Mustang, Nepal",regional-fallback,,,,,
loke_kagbeni,"Kagbeni, Bahragaun, Mustang, Nepal",regional-fallback,,,,,
thakali_tukuche,"Tukuche, Mustang, Nepal",geocoded,28.7108973,83.6452283,node,5669668358,"Tukuche, Thasang, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
thakali_marpha,"Marpha, Mustang, Nepal",geocoded,28.7519130,83.6862340,way,180611195,"Marpha, Gharapjhong-02, Gharapjhong, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
thakali_thini,"Thini, Mustang, Nepal",geocoded,28.7688847,83.7225591,way,352604043,"Thini Kola, Khutsab Terenga Gumba, Gharapjhong-05, Thinigaon, Gharapjhong, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
thakali_syang,"Syang, Mustang, Nepal",geocoded,28.7752908,83.7080823,node,1910417085,"Syāng, Gharapjhong, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
maikoti_maikot,"Maikot, East Rukum, Nepal",regional-fallback,,,,,
maikoti_ranma,"Ranma, East Rukum, Nepal",regional-fallback,,,,,
maikoti_arjal,"Arjal, East Rukum, Nepal",regional-fallback,,,,,
maikoti_hukam,"Hukam, East Rukum, Nepal",regional-fallback,,,,,
kochila_morang_east,"Gidhaniya, Morang, Nepal",regional-fallback,,,,,
kochila_bara_west,"Simara, Rautahat, Nepal",geocoded,27.0487916,85.3098587,way,1229111531,"Simara Bhawanipur, गुजरा नगरपालिका, रौतहट जिल्ला, मधेश प्रदेश, नेपाल"
kochila_siraha_central,"Jahadi, Siraha, Nepal",regional-fallback,,,,,
majhi_kunauri,"Kunauri, Bhaluwajor, Ramechhap, Nepal",regional-fallback,,,,,
majhi_gaikura,"Gaikura, Chisapani, Ramechhap, Nepal",regional-fallback,,,,,
majhi_majhigau,"Majhigau, Lamidanda, Khotang, Nepal",regional-fallback,,,,,
majhi_pachuwar,"Pachuwar, Birtadeurali, Kavre, Nepal",regional-fallback,,,,,
bote_kawasoti,"Baghkhor and Kokitumbe, Kawasoti, Nawalparasi, Nepal",regional-fallback,,,,,
bote_madi,"Pandapnagar and Bhankatta, Madi, Chitwan, Nepal",regional-fallback,,,,,
kudiya_g1,"G1, Madikeri, Kodagu, Karnataka",geocoded,12.4214900,75.7387543,node,390887113,"Madikeri, Madikeri taluku, Kodagu, Karnataka, 571201, India"
kudiya_k1,"K1, Hosdurg, Kasargod, Kerala",regional-fallback,,,,,
dotyali_doti,"Gholtada, Doti, Nepal",geocoded,29.2494503,80.9506457,node,10603359883,"Gholtada, Dipayal Silgadi-05, दिपायल, Dipayal Silgadi, डोटी, सुदूरपश्चिम प्रदेश, नेपाल"
dotyali_baitadi,"Dhole, Baitadi, Nepal",regional-fallback,,,,,
dotyali_darchula,"Dethala, Darchula, Nepal",geocoded,29.6900645,80.6069041,node,3382576348,"Dethala, Shailyashikhar, दार्चुला, सुदूरपश्चिम प्रदेश, नेपाल"
dotyali_bajhang,"Chainpur, Bajhang, Nepal",geocoded,29.5508851,81.1963195,node,3382453093,"Chainpur, JayaPrithvi, बझाङ, सुदूरपश्चिम प्रदेश, नेपाल"
gurung_ajirkot,"Ajirkot, Gorkha, Nepal",geocoded,28.2357608,84.6854822,relation,10524454,"Ajirkot, गोरखा, गण्डकी प्रदेश, नेपाल"
gurung_pyarjung,"Pyarjung, Lamjung, Nepal",regional-fallback,,,,,
gurung_maling,"Maling, Lamjung, Nepal",regional-fallback,,,,,
gurung_yangjakot,"Yangjakot, Kaski, Nepal",geocoded,28.2580432,84.1018858,node,5163535602,"Thumakodada, Madi, कास्की, गण्डकी प्रदेश, नेपाल"
gurung_birethanti,"Mohoria near Birethanti, Dangsing, Kaski, Nepal",regional-fallback,,,,,
gurung_bhurdumpola,"Bhurdumpola, Syangja, Nepal",regional-fallback,,,,,
humla_til,"Til, Limi, Humla, Nepal",regional-fallback,,,,,
humla_muchu,"Muchu, Muchu, Humla, Nepal",geocoded,30.0671076,81.5421689,way,740909113,"Muchu, Namkha-04, Muchu, Namkha, हुम्ला, कर्णाली प्रदेश, नेपाल"
humla_yalbang,"Yalbang, Muchu, Humla, Nepal",regional-fallback,,,,,
humla_kermi,"Kermi, Muchu, Humla, Nepal",regional-fallback,,,,,
humla_yakpa,"Yakpa/Hepka, Hepka, Humla, Nepal",regional-fallback,,,,,
humla_bargaun,"Bargaun, Bargaun, Humla, Nepal",regional-fallback,,,,,
humla_dojam,"Dojam, Bargaun, Humla, Nepal",regional-fallback,,,,,
eastern_gorkha_tamang_kashigaun,"Kashigaun, Kashigaun, Gorkha, Nepal",regional-fallback,,,,,
western_tamang_jharlang,"Jharlang, Jharlang, Dhading, Nepal",regional-fallback,,,,,
western_tamang_sahugaun,"Sahugaun, Kimtang, Nuwakot, Nepal",regional-fallback,,,,,
eastern_magar_dhankuta,"Ward 2, Mudhebas, Dhankuta, Nepal",regional-fallback,,,,,
eastern_magar_nawalparasi,"Arkhala, Arkhala, Nawalparasi, Nepal",regional-fallback,,,,,
eastern_magar_panchthar,"Hattikhemba, Prangbung, Panchthar, Nepal",regional-fallback,,,,,
eastern_magar_sarlahi,"Sagarnath, Bhaktipur, Sarlahi, Nepal",geocoded,26.9997786,85.6672350,node,5672122838,"सागरनाथ, Ishworpur-04, ईश्वरपुर, Bhaktipur, सर्लाही जिल्ला, मधेश प्रदेश, नेपाल"
lohorung_angala,"Angala, Sitalpati, Sankhuwasabha, Nepal",regional-fallback,,,,,
lohorung_dhupu,"Dhupu, Dhupu, Sankhuwasabha, Nepal",regional-fallback,,,,,
lohorung_gairi_pangma,"Gairi Pangma, Khandbari, Sankhuwasabha, Nepal",geocoded,27.4215145,87.1863968,node,6301604836,"Gairi Pangma, खाँदबारी नगरपालिका, सङ्खुवासभा जिल्ला, कोशी प्रदेश, नेपाल"
southern_yamphu_devitar,"Devitar, Matsya Pokhari, Sankhuwasabha, Nepal",regional-fallback,,,,,
southern_yamphu_rajarani,"Rajarani, Rajarani, Dhankuta, Nepal",regional-fallback,,,,,
yamphu_hedangna,"Hedangna, Pathibhara, Sankhuwasabha, Nepal",regional-fallback,,,,,
yamphu_khoktak,"Khoktak, Num, Sankhuwasabha, Nepal",regional-fallback,,,,,
yamphu_num,"Num, Num, Sankhuwasabha, Nepal",regional-fallback,,,,,
yamphu_seduwa,"Seduwa, Makalu, Sankhuwasabha, Nepal",geocoded,27.5876798,87.2695690,node,4921178657,"सेडुवा, मकालु गाउँपालिका, सङ्खुवासभा जिल्ला, कोशी प्रदेश, नेपाल"
pahari_salintar,"Salintar, Godawari, Lalitpur, Nepal",regional-fallback,,,,,
pahari_sikharpa,"Sikharpa, Godawari, Lalitpur, Nepal",geocoded,27.5617940,85.3192617,node,4556834340,"सिखरपा, Godawari-06, गोदावरी नगरपालिका, ललितपुर जिल्ला, बागमती प्रदेश, 44760, नेपाल"
pahari_maasdada,"Maasdada/Pachma, Godawari, Lalitpur, Nepal",regional-fallback,,,,,
pahari_sakhatar,"Sakhatar, Bagmati, Makwanpur, Nepal",geocoded,27.2203744,85.4708433,node,8291539605,"साखरतर, Bagmati-02, बागमती गाउँपालिका, मकवानपुर जिल्ला, बागमती प्रदेश, नेपाल"
pahari_jamune,"Jamune, Sunkoshi, Sindhupalchok, Nepal",regional-fallback,,,,,
naaba_pibu,"Pibu (Ridak), Bhotkhola, Sankhuwasabha, Nepal",regional-fallback,,,,,
naaba_kimathanka,"Kimathanka, Bhotkhola, Sankhuwasabha, Nepal",geocoded,27.8567209,87.4188354,node,4634367032,"किमाथान्का, भोटखोला गाउँपालिका, सङ्खुवासभा जिल्ला, कोशी प्रदेश, नेपाल"
rabha_rongdani,"Naguapara, Meghalaya",regional-fallback,,,,,
rabha_maituri,"Boro Paham, Meghalaya",regional-fallback,,,,,
puroik_phereng,"Phereng, Kurung Kumey, Arunachal Pradesh",regional-fallback,,,,,
puroik_gari,"Gari, Mengio, Lower Subansiri, Arunachal Pradesh",regional-fallback,,,,,
puroik_chug,"Parchu (Chug), West Kameng, Arunachal Pradesh",regional-fallback,,,,,
puroik_paji,"Paji, Nyapin, Kurung Kumey, Arunachal Pradesh",geocoded,27.6814779,93.4919079,node,10007405067,"Paji, Nyapin ADC, Kurung Kumey, Arunachal Pradesh, India"
bugun_singchung,"Singchung, West Kameng, Arunachal Pradesh",geocoded,27.2018151,92.4772724,way,513813489,"Singchung, Singchung ADC, West Kameng, Arunachal Pradesh, India"
bugun_wangho,"Wangho, West Kameng, Arunachal Pradesh",regional-fallback,,,,,
bugun_bichom,"Bichom, West Kameng, Arunachal Pradesh",geocoded,27.3048995,92.6122758,node,10925710466,"Bichom, Singchung ADC, West Kameng, Arunachal Pradesh, India"
bugun_kaspi,"Kaspi, West Kameng, Arunachal Pradesh",geocoded,27.2062700,92.5611900,node,342099652,"New Kaspi, Jamiri Circle, West Kameng, Arunachal Pradesh, India"
bugun_namphri,"Namphri, West Kameng, Arunachal Pradesh",regional-fallback,,,,,
tagin_sippi,"Sippi, Upper Subansiri, Arunachal Pradesh",geocoded,28.0669127,94.1686586,way,1348429021,"Sippi Village, Segi Gusar Circle, Upper Subansiri, Arunachal Pradesh, India"
tagin_nacho,"Nacho, Upper Subansiri, Arunachal Pradesh",geocoded,28.3949883,93.8379715,node,4474732777,"Nacho, Nacho SDO, Upper Subansiri, Arunachal Pradesh, India"
tagin_baki,"Baki, Siyum, Upper Subansiri, Arunachal Pradesh",regional-fallback,,,,,
tagin_taliha,"Taliha, Upper Subansiri, Arunachal Pradesh",geocoded,28.2334755,94.1473547,node,6815432688,"Taliha, Taliha ADC, Upper Subansiri, Arunachal Pradesh, 791122, India"
tagin_maskia,"Maskia, Upper Subansiri, Arunachal Pradesh",regional-fallback,,,,,
tagin_takseng,"Takseng, Upper Subansiri, Arunachal Pradesh",regional-fallback,,,,,
nyishi_chimpu,"Chimpu, Papum Pare, Arunachal Pradesh",geocoded,27.0854415,93.5954706,node,13157898885,"Chimpu, Itanagar EAC, Papum Pare, Arunachal Pradesh, 791111, India"
ghatage-kasargod1970,"Kasargod, Kerala",regional-fallback,,,,,
ThuiYasin,"Thui, Yasin Valley, Gilgit-Baltistan, Pakistan",regional-fallback,,,,,
Yasin,"Darkot, Yasin Valley, Gilgit-Baltistan, Pakistan",regional-fallback,,,,,
Ishkoman,"Imit, Ishkoman Valley, Gilgit-Baltistan, Pakistan",regional-fallback,,,,,
Kho-Bashir-reg-balim,"Balim, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.0716651,72.4196531,node,4027167195,"Rezud Balim, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-bang,"Bang, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.5447808,72.7879326,node,4027955820,"Bang Payeen, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-booni,"Booni, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.2539218,72.2228410,node,4013803687,"Dryanu Booni, تحصیل بونی, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-chapali,"Chapali, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.3357000,72.6013812,node,4027583250,"Chapali, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-chitral-town,"Chitral town, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.6688855,71.7514927,way,972318441,"Drosh to Chitral West Road, Birirnisar, Gaherate Gole, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-drosh,"Drosh, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.5616271,71.7975640,relation,16445238,"تحصیل دروش, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, 17220, پاکستان"
Kho-Bashir-reg-laspur,"Laspur, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.8741997,72.2773438,way,349308742,"Laspur, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-lower-chitral,"Lower Chitral District, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.8501700,71.8240496,relation,13925247,"ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-lutkoh,"Lutkoh, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.0604906,71.3770950,way,390895343,"لٹکوہ, Noghore/ Merdin, Gobor Bakht, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-mastuj,"Mastuj, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.7392155,72.9665088,way,29901821,"Mastuj, Aliabad Yarkhoon, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-mulkhow,"Mulkhow, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.6029550,72.5417325,node,3986260098,"موڑکھو, تحصیل تورکھو-موڑکھو, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-parwak,"Parwak, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-reg-pasum,"Pasum, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-reg-proper-chitral,"Chitral, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.8508890,71.7901897,node,279645187,"چترال, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-rayin,"Rayin, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-reg-shagram,"Shagram, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.0207784,71.5826174,node,4008719743,"Shagram Lotkoh, Murdan, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-sonoghor,"Sonoghor, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-reg-terich,"Terich, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.2578594,71.8504549,node,310520916,"ترچ میر, تحصیل تورکھو-موڑکھو, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-torkhow,"Torkhow, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.4530881,72.4222755,node,4020928567,"تورکھو, تحصیل تورکھو-موڑکھو, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-upper-chitral,"Upper Chitral District, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.3317911,72.2871568,relation,13925246,"ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-uzhnu,"Uzhnu, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.3736300,72.1893822,way,29901375,"Uzhnu Gol, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-warijun,"Warijun, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.2971736,72.2134465,node,4014368614,"Warijun, تحصیل تورکھو-موڑکھو, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-yarkhun,"Yarkhun, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.7944166,73.0248349,node,4029337368,"Yarkhun Lusht, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-reg-zondrangram,"Zondrangram, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.3944405,72.2282901,node,4019665973,"Zondrangram, تحصیل تورکھو-موڑکھو, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-a,"Khost, Mulkhow, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-ak,"Chapali, Tehsil Mastuj, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.3357000,72.6013812,node,4027583250,"Chapali, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-akm,"Chumurkun, Tehsil Chitral, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-akm-ifm,,regional-fallback,,,,,
Kho-Bashir-src-ar,"Parwak, Tehsil Mastuj, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-arc,"Drosh, Tehsil Drosh, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.5065492,71.7354603,node,3993311257,"Sweer Lusht Drosh, تحصیل دروش, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-ayun,"Ayun, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.7159081,71.7703900,node,774708423,"Ayun, Sheri Chitral, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-ba,"Chumurkun, Tehsil Chitral, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-bka,"Mulkhow, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.6029550,72.5417325,node,3986260098,"موڑکھو, تحصیل تورکھو-موڑکھو, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-bm,"Mroi, Tehsil Chitral, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-booni,"Booni, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.2539218,72.2228410,node,4013803687,"Dryanu Booni, تحصیل بونی, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-chapali,"Chapali, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.3357000,72.6013812,node,4027583250,"Chapali, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-chitral-museum,"Chitral Museum, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-chitral-town,"Chitral town, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.6688855,71.7514927,way,972318441,"Drosh to Chitral West Road, Birirnisar, Gaherate Gole, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-ckt,"Shogram, Tehsil Mulkhow, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-da39a3ee5e,,regional-fallback,,,,,
Kho-Bashir-src-dat,"Pasum, Tehsil Mastuj, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-drosh,"Drosh, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.5616271,71.7975640,relation,16445238,"تحصیل دروش, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, 17220, پاکستان"
Kho-Bashir-src-fq,"Chitral town, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.6688855,71.7514927,way,972318441,"Drosh to Chitral West Road, Birirnisar, Gaherate Gole, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-gmkh,"Parkusap, Tehsil Mastuj, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-gnk,"Singoor, Tehsil Chitral, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.8977843,71.7979071,node,13372692414,"Katooran Deh Singoor Chitral, Balach, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-has,"Chitral town, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.6688855,71.7514927,way,972318441,"Drosh to Chitral West Road, Birirnisar, Gaherate Gole, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-hs,"Chitral town, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.6688855,71.7514927,way,972318441,"Drosh to Chitral West Road, Birirnisar, Gaherate Gole, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-hur,"Jughoor, Tehsil Chitral, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-ia,"Chitral town, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.6688855,71.7514927,way,972318441,"Drosh to Chitral West Road, Birirnisar, Gaherate Gole, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-ics,"Chitral town, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,35.6688855,71.7514927,way,972318441,"Drosh to Chitral West Road, Birirnisar, Gaherate Gole, تحصیل چترال, ضلع چترال زیریں, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-if,"Balim, Laspur, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-ifm,"Balim, Laspur, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-ifm-laspur,,regional-fallback,,,,,
Kho-Bashir-src-is,"Mulkhow, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.6029550,72.5417325,node,3986260098,"موڑکھو, تحصیل تورکھو-موڑکھو, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
Kho-Bashir-src-iwa,"Mastuj town, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-iwk,"Mastuj town, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-karimabad-valley,"Karimabad valley, Chitral, Khyber Pakhtunkhwa, Pakistan",regional-fallback,,,,,
Kho-Bashir-src-khairabad,"Khairabad, Chitral, Khyber Pakhtunkhwa, Pakistan",geocoded,36.7896124,73.0417991,node,4029337361,"Rukut & Khairabad, تحصیل مستوج, ضلع چترال بالا, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
