ID,Latitude,Longitude,Method,Source,Note
majhi_pachuwar,27.5465167,85.7642167,survey-gps,Majhi/Bote survey appendix,
bote_kawasoti,27.5701167,84.1034667,survey-gps,Majhi/Bote survey appendix,
bote_madi,27.5037167,84.18,survey-gps,Majhi/Bote survey appendix,longitude is truncated in extracted appendix; set from Madi/Pandapnagar map context
kudiya_g1,12.42149,75.7387543,gazetteer,OpenStreetMap node for Madikeri,source code G1 only identifies the taluk
kudiya_k1,12.315,75.09,manual-map,Hosdurg/Kanhangad taluk context,source code K1 only identifies the taluk
dotyali_doti,29.2494503,80.9506457,openstreetmap,OSM node 10603359883,"Gholtada, Dipayal Silgadi-05, दिपायल, Dipayal Silgadi, डोटी, सुदूरपश्चिम प्रदेश, नेपाल"
dotyali_baitadi,29.53715,80.70543,gazetteer,GeoNames 7981926,
dotyali_darchula,29.6900645,80.6069041,openstreetmap,OSM node 3382576348,"Dethala, Shailyashikhar, दार्चुला, सुदूरपश्चिम प्रदेश, नेपाल"
dotyali_bajhang,29.5508851,81.1963195,openstreetmap,OSM node 3382453093,"Chainpur, JayaPrithvi, बझाङ, सुदूरपश्चिम प्रदेश, नेपाल"
gurung_ajirkot,28.1515556,84.6400667,survey-gps,Gurung survey appendix,
gurung_pyarjung,28.15512,84.53017,gazetteer,GeoNames 7966927,wordlist was collected in Kathmandu; point is the named home village
gurung_maling,28.2358778,84.2890833,survey-gps,Gurung survey appendix,
gurung_yangjakot,28.2500361,84.1020167,survey-gps,Gurung survey appendix,
gurung_birethanti,28.3096694,84.775225,survey-gps,Gurung survey appendix,GPS is for Mohoria/Dangsing survey site near Birethanti
gurung_bhurdumpola,28.1376361,83.8189667,survey-gps,Gurung survey appendix,
humla_til,30.2215333,81.4525667,survey-gps,Humla Tibetan survey appendix,
humla_muchu,30.0664833,81.5416333,survey-gps,Humla Tibetan survey appendix,
humla_yalbang,30.05763,81.62784,gazetteer,GeoNames 7951131,
humla_kermi,30.0511667,81.6928333,survey-gps,Humla Tibetan survey appendix,
humla_yakpa,30.0366667,81.8215,survey-gps,Humla Tibetan survey appendix,
humla_bargaun,29.959,81.8526667,survey-gps,Humla Tibetan survey appendix,
humla_dojam,29.9536667,81.9245,survey-gps,Humla Tibetan survey appendix,
eastern_gorkha_tamang_kashigaun,28.1917778,84.8983722,survey-gps,Western Tamang survey appendix,
western_tamang_jharlang,28.1237778,85.0366944,survey-gps,Western Tamang survey appendix,
western_tamang_sahugaun,27.97637,85.15427,gazetteer,GeoNames 7974918,
eastern_magar_dhankuta,26.8835778,87.4974194,survey-gps,Eastern Magar survey appendix,
eastern_magar_nawalparasi,27.7983889,84.1529722,survey-gps,Eastern Magar survey appendix,
eastern_magar_panchthar,27.18025,87.9301111,survey-gps,Eastern Magar survey appendix,
eastern_magar_sarlahi,27.0530833,85.6330278,survey-gps,Eastern Magar survey appendix,
lohorung_angala,27.44285,87.16231,gazetteer,GeoNames 7990551,
lohorung_dhupu,27.4257,87.27035,gazetteer,GeoNames 7990382,village point rather than administrative centroid
lohorung_gairi_pangma,27.4215145,87.1863968,openstreetmap,OSM node 6301604836,"Gairi Pangma, खाँदबारी नगरपालिका, सङ्खुवासभा जिल्ला, कोशी प्रदेश, नेपाल"
southern_yamphu_devitar,27.4622833,87.2761833,survey-gps,Yamphu survey appendix,
southern_yamphu_rajarani,26.8922167,87.4135833,survey-gps,Yamphu survey appendix,
yamphu_hedangna,27.5846667,87.3166167,survey-gps,Yamphu survey appendix,
yamphu_khoktak,27.5420167,87.2939333,survey-gps,Yamphu survey appendix,
yamphu_num,27.53749,87.30097,gazetteer-area,GeoNames 7802325,
yamphu_seduwa,27.5774333,87.26195,survey-gps,Yamphu survey appendix,
pahari_salintar,27.59928,85.31391,gazetteer,GeoNames 7965469,
pahari_sikharpa,27.561794,85.3192617,openstreetmap,OSM node 4556834340,"सिखरपा, Godawari-06, गोदावरी नगरपालिका, ललितपुर जिल्ला, बागमती प्रदेश, 44760, नेपाल"
pahari_maasdada,27.55,85.31,manual-map,Godawari survey map,approximate Maasdada/Pachma display point
pahari_sakhatar,27.2203744,85.4708433,openstreetmap,OSM node 8291539605,"साखरतर, Bagmati-02, बागमती गाउँपालिका, मकवानपुर जिल्ला, बागमती प्रदेश, नेपाल"
pahari_jamune,27.67371,85.78769,gazetteer,GeoNames 7995517,
naaba_pibu,27.78,87.36,manual-map,Naaba survey map; Pibu/Ridak in Bhotkhola,approximate village display point
naaba_kimathanka,27.8567209,87.4188354,openstreetmap,OSM node 4634367032,"किमाथान्का, भोटखोला गाउँपालिका, सङ्खुवासभा जिल्ला, कोशी प्रदेश, नेपाल"
rabha_rongdani,25.6,90.62,survey-map,Rabha survey map,approximate Naguapara display point
rabha_maituri,25.56,90.7,survey-map,Rabha survey map,approximate Boro Paham display point
puroik_phereng,27.64,93.58,manual-map,Puroik survey map,approximate
puroik_gari,27.55,93.58,manual-map,Mengio survey locality context,approximate
puroik_chug,27.418,92.238,manual-map,Parchu/Chug survey locality context,approximate
puroik_paji,27.6814779,93.4919079,openstreetmap,OSM node 10007405067,"Paji, Nyapin ADC, Kurung Kumey, Arunachal Pradesh, India"
bugun_singchung,27.2018151,92.4772724,openstreetmap,OSM way 513813489,"Singchung, Singchung ADC, West Kameng, Arunachal Pradesh, India"
bugun_wangho,27.22,92.49,manual-map,Bugun survey map,approximate
bugun_bichom,27.3048995,92.6122758,openstreetmap,OSM node 10925710466,"Bichom, Singchung ADC, West Kameng, Arunachal Pradesh, India"
bugun_kaspi,27.20627,92.56119,openstreetmap,OSM node 342099652,"New Kaspi, Jamiri Circle, West Kameng, Arunachal Pradesh, India"
bugun_namphri,27.23,92.53,manual-map,Bugun survey map,approximate
tagin_sippi,28.0669127,94.1686586,openstreetmap,OSM way 1348429021,"Sippi Village, Segi Gusar Circle, Upper Subansiri, Arunachal Pradesh, India"
tagin_nacho,28.3949883,93.8379715,openstreetmap,OSM node 4474732777,"Nacho, Nacho SDO, Upper Subansiri, Arunachal Pradesh, India"
tagin_baki,28.2,94.02,manual-map,Siyum survey locality context,approximate
tagin_taliha,28.2334755,94.1473547,openstreetmap,OSM node 6815432688,"Taliha, Taliha ADC, Upper Subansiri, Arunachal Pradesh, 791122, India"
tagin_maskia,28.13,94.08,manual-map,Upper Subansiri survey map,approximate
tagin_takseng,28.37481,93.24366,gazetteer,GeoNames 12523474,
nyishi_chimpu,27.0854415,93.5954706,openstreetmap,OSM node 13157898885,"Chimpu, Itanagar EAC, Papum Pare, Arunachal Pradesh, 791111, India"
ghatage-kasargod1970,12.52616,75.12132,gazetteer-area,GeoNames 12684168,district centroid
ThuiYasin,36.49003,73.3461,gazetteer,GeoNames 11041152,
Yasin,36.64332,73.44532,gazetteer,GeoNames 1180499,"Darkot village, not the river"
Ishkoman,36.50401,73.90274,gazetteer,GeoNames 1176695,
Kho-Bashir-reg-balim,36.07012,72.43959,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-bang,36.52283,72.76388,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-booni,36.25392,72.22284,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-chapali,36.3357,72.60138,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-chitral-town,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-drosh,35.56163,71.79756,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-laspur,36.04784,72.46796,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-lower-chitral,35.75,71.78,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-lutkoh,36.01231,71.65609,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-mastuj,36.28356,72.51942,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-mulkhow,36.30044,72.21299,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-parwak,36.27759,72.3901,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-pasum,36.30426,72.55493,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-proper-chitral,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-rayin,36.39233,72.37763,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-shagram,36.34458,72.13311,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-sonoghor,36.3,72.18,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-terich,36.39444,72.22829,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-torkhow,36.45309,72.42228,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-upper-chitral,36.33,72.29,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-uzhnu,36.54541,72.46876,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-warijun,36.30044,72.21299,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-yarkhun,36.52283,72.76388,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-reg-zondrangram,36.39444,72.22829,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-a,36.30044,72.21299,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-ak,36.30963,72.5604,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-akm,35.79784,71.78801,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-akm-ifm,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-ar,36.280575,72.45476,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-arc,35.56163,71.79756,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-ayun,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-ba,35.79784,71.78801,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-bka,36.30044,72.21299,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-bm,35.93,71.82,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-booni,36.25392,72.22284,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-chapali,36.3357,72.60138,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-chitral-museum,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-chitral-town,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-ckt,36.32251,72.17305,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-da39a3ee5e,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-dat,36.29391,72.537175,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-drosh,35.56163,71.79756,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-fq,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-gmkh,36.28618,72.52431,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-gnk,35.89778,71.79791,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-has,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-hs,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-hur,35.82708,71.78633,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-ia,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-ics,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-if,36.05898,72.453775,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-ifm,36.05898,72.453775,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-ifm-laspur,36.04784,72.46796,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-is,36.30044,72.21299,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-iwa,36.28356,72.51942,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-iwk,36.28356,72.51942,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-karimabad-valley,35.99193,71.81522,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-khairabad,36.78961,73.0418,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-khot,36.50216,72.53267,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-laspur,36.04784,72.46796,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-laspur-women,36.04784,72.46796,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-lotkoh,36.01231,71.65609,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-ma,36.42271,72.399955,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-mak,36.542845,72.49219,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-mastuj,36.28356,72.51942,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-meragram,36.26364,72.37142,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-mhh,36.3631067,72.22319,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-mii,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-mk,36.49925,72.44552,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-mn,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-mnn,36.3631067,72.22319,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-mnn-chitral-town,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-mnn-if,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-mnn-iwa,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-mnn-wsic,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-mnn-wsic-rkb,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-ms,36.30044,72.21299,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-ms-ma,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-mulkhow,36.30044,72.21299,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-mwt,36.29391,72.537175,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-my,36.04784,72.46796,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-mys,36.04784,72.46796,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-n,35.85,71.79,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-nkn,36.398835,72.277695,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-nr,35.56163,71.79756,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-parwak,36.27759,72.3901,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-pasum,36.30426,72.55493,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-proper-chitral,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-prs,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-rakr,36.30963,72.5604,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-rakr-1988,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-rakr-iwa,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-rakr-wsic,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-rakrw,36.30963,72.5604,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-rakw,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-rayin,36.39233,72.37763,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-rayin-torkhow,36.42271,72.399955,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-reshun,36.15365,72.09928,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-rk,36.542845,72.49219,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-rk-story,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-rkb,36.3631067,72.22319,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-rkb-if,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-rkb-ma,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-rmf,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-s,36.30022,72.196495,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-sas,35.8512345,71.78495,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-sg,36.01231,71.65609,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-sh,36.25392,72.22284,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-short-story-rajuli,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-sn-c,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-sn-m,35.668605,71.914465,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-sonoghor,36.3,72.18,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-sonogor,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-source-mnn,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-ssm,36.28356,72.51942,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-swka,36.52283,72.76388,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-swka-ms,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-swka-rkb,35.850889,71.79019,manual-source-home,Bashir source-home registry and reviewed Chitral map,opaque or non-local source label; Chitral display point
Kho-Bashir-src-tmf,35.8507445,71.791345,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-tmfd,35.8507445,71.791345,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-tmfw,35.8507445,71.791345,manual-source-home,Bashir source-home registry and reviewed Chitral map,centroid
Kho-Bashir-src-torkhow,36.45309,72.42228,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-uthul,36.30442,72.18117,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-warijun-women,36.30044,72.21299,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-wsic,36.3357,72.60138,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
Kho-Bashir-src-wsim,36.28356,72.51942,manual-source-home,Bashir source-home registry and reviewed Chitral map,reviewed source-home locality
