ID,Entry_ID,Compared_Entry_ID,Relation,Direction,Confidence,Source,Evidence
cdial:10186:dedr:d4932,10186,d4932,influence,entry-from-compared,low,CDIAL[entry 10186],"[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]"
cdial:10186:dedr:d5037,10186,d5037,influence,entry-from-compared,low,CDIAL[entry 10186],"[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]"
cdial:10191:dedr:d5114,10191,d5114,related,undetermined,low,CDIAL[entry 10191],"[Prob. of Drav. origin (A. Master BSOAS xii 354) with coalescence of two Drav. wordgroups (DED 4199, 4200); less likely Mu. connexions (J. Przyluski BSL xxx 199, PMWS 102). Not with P. Thieme ZDMG 93, 134 < * mr̥ṁṣṭa - nor with P. Tedesco JAOS 65, 82 < vr̥ddha -² 'cut'. In IA. it forms part of 'defective' word-group s.v. * muṭṭa -¹ with all variations characteristic of such groups. — Cf. * muṇḍa -² 'lump']"
cdial:10209:dedr:d4982,10209,d4982,loan,entry-from-compared,high,CDIAL[entry 10209],"[← Drav., Tam. muruṅkai etc., DED 4085]"
cdial:10210:dedr:d4973,10210,d4973,loan,entry-from-compared,low,CDIAL[entry 10210],"[← Drav., Tam. muracam etc., DED 4076. — Cf. muralī -]"
cdial:10214:dedr:d4973,10214,d4973,loan,entry-from-compared,low,CDIAL[entry 10214],"[← Drav., Tam. muraḷi &c., DED 4076. — Cf. muraja -]"
cdial:10221:dedr:d4932,10221,d4932,influence,entry-from-compared,medium,CDIAL[entry 10221],"near handle', mūṭhā , muṭṭhā 'the smallest sheaf (about a handful)'; Mth. muṭhā 'handle of mattock'; Bhoj. mūṭhⁱ 'fist'; OAw. mūṭhī f. 'handful'; H. mūṭh f., mūṭhā m. 'fist, blow with fist', mūṭhī , muṭṭhī f. 'fist, handful', muṭṭhā m. 'handful, handle (of plough), bundle'; G. mūṭh f. 'fist', muṭṭhī f. 'handful'; M. mūṭh f. 'fist', Ko. mūṭ ; Si. miṭa , pl. miṭi 'fist, handful', miṭiya 'hammer, bundle'; Md. muři 'hammer': the forms of P. H. Si. meaning 'bundle' perh. rather < * muṭṭha -² s.v. mūta -; — in Gy. wel. mušī , gr. musī 'arm' loss of ṭ is unexpl. unless - ī is secondary. — Poss. ← or infl. by Drav. (Prj. muṭka 'blow with fist' &c., DED 4041: see * mukka -¹): Ku. muṭhagī , muṭhkī f. 'blow with fist', N. muṭki , muṛki , M. muṭkā m. nimuṣṭi -. Addenda: muṣṭí-: WPah.kṭg. mvṭ - (in cmpd.), múṭṭh i f. 'clenched hand, handful'; J. muṭhā m. 'handful', Garh. muṭṭhi ; A. muṭh (phonet. muth ) 'abridgement' AFD 94; Md. muř 'fist, handle', muři 'hammer'. † muṣṭigraha -."
cdial:10233:dedr:d4921,10233,d4921,loan,entry-from-compared,low,CDIAL[entry 10233],"[← Drav. cf. Tam. muṭi 'knot, tuft, bundle' &c. DED 4030, Tam. muṭai 'to plait, braid' &c. (see muṭáti ), and Tam. mūṭai , mūṭṭai 'sack, bundle' &c. DED 4134. — For mng. 'capital sum &c.' see also * mūḍa - s.v. mū́la -]"
cdial:10233:dedr:d5037,10233,d5037,loan,entry-from-compared,low,CDIAL[entry 10233],"[← Drav. cf. Tam. muṭi 'knot, tuft, bundle' &c. DED 4030, Tam. muṭai 'to plait, braid' &c. (see muṭáti ), and Tam. mūṭai , mūṭṭai 'sack, bundle' &c. DED 4134. — For mng. 'capital sum &c.' see also * mūḍa - s.v. mū́la -]"
cdial:10250:dedr:d5004,10250,d5004,related,undetermined,low,CDIAL[entry 10250],"[Despite early occurrence and proposed connexion with Gk. μω̑λυ (IEW 750), variation of - l / r - ~ - ḍ - supports non-Aryan, perh. Drav., origin: cf. Tam. muḷā , muḷḷaṅki 'radish' &c., DED 4105. Prob. only chance resemblance with L. and Bi. forms of MIA. muḍḍha - < mūrdhán - with meaning of 'root']"
cdial:10299:dedr:d4861,10299,d4861,influence,entry-from-compared,medium,CDIAL[entry 10299],"(poss. influenced by Drav., Tam. miti 'tread on', &c. DED 3982?)"
cdial:10313:dedr:d5072,10313,d5072,loan,entry-from-compared,low,CDIAL[entry 10313],"[ mēthī - f. Pañcad., mēthikā -, mēthinī -, manthā -², vēdhanī - f. lex. — ← Drav. cf. Tam. mēti , mentiyam , vental , &c. DED 4161]"
cdial:10320:dedr:d5092,10320,d5092,loan,undetermined,low,CDIAL[entry 10320],"[→ Bal. mēδ 'boatman, fisherman'. — Cf. Tam. metavar 'basket-maker' &c. DED 4178]"
cdial:10330:dedr:d5094,10330,d5094,related,undetermined,low,CDIAL[entry 10330],[Cf. Kan. mēruve 'pyramid' DED 4180 with (?)]
cdial:10970:dedr:d3705,10970,d3705,loan,entry-from-compared,high,CDIAL[entry 10970],"[ niṭā̆la - (~ lalā́ṭa -) later ← Drav., Tam. nutal , &c. DED 3069, 3118]"
cdial:11006:dedr:d2907,11006,d2907,loan,undetermined,medium,CDIAL[entry 11006],[→ Ir. dial of Lar in South Persia liṅgṓr 'plough' Morgenstierne. — Initial n - in all Drav. forms (DED 2368); PMWS 127 derives both IA. and Drav. words from Mu. sources]
cdial:11212:dedr:d5220,11212,d5220,loan,entry-from-compared,medium,CDIAL[entry 11212],"[Prob. ← Drav. Tam. vaṭam , Kan. vaṭi , vaṭara , &c. DED 4268]"
cdial:11429:dedr:d5316,11429,d5316,loan,entry-from-compared,low,CDIAL[entry 11429],"[Cf. vēlli - and see mallikā -. — Poss. ← Drav. Tam. vaḷḷi , &c. DED 4351]"
cdial:11503:dedr:d5301,11503,d5301,loan,entry-from-compared,medium,CDIAL[entry 11503],"[Prob. of same ultimate origin as other names for this plant s.v. bhaṇṭākī -: LM 404 ← Drav., see DED 4339. — → Ir. (Pers. badiṅgān ) → Phal. bētiṅgala , Sh. bhatiṅgar G. Morgenstierne BSOS viii 671]"
cdial:11584:dedr:d5370,11584,d5370,loan,entry-from-compared,high,CDIAL[entry 11584],[J. Bloch in Thomas EIS 35 ← Drav. Tam. vaval &c. (DED 4400). — vātuli - f. 'large bat' lex. sanskritized from * vāuli - < eastern MIA. vāguli - (see Si. bel.)]
cdial:12042:dedr:d5450,12042,d5450,loan,entry-from-compared,low,CDIAL[entry 12042],"[J. Bloch BSOS v 741 ← Drav., Tam. vīcu 'to fan', &c. DED 4479; but cf. √ vic 'blow, winnow' (see * vicyatē ¹) and √ vij 'sudden motion' (see * vijyatē ) and Dhātup. √ vij = √vic 'separate'. Perh. vīj - from IA. vic -, vij -, vyaj - X Drav. vīc - (J. C. W.)]"
cdial:12046:dedr:d5515,12046,d5515,loan,entry-from-compared,low,CDIAL[entry 12046],"[Poss. ← Drav., cf. Tam. veṟṟ-ilai , Kota vetl : DED 4539. — See vīṭā -]"
cdial:12353:dedr:d2401,12353,d2401,related,undetermined,medium,CDIAL[entry 12353],[~ Drav. DED 243]
cdial:12356:dedr:d2426,12356,d2426,loan,entry-from-compared,high,CDIAL[entry 12356],"[← Drav. T. Burrow BSOAS xii 143, Tel. cāvu 'death', Kui sāva 'to die', &c. DED 2002]"
cdial:12588:dedr:d429,12588,d429,loan,entry-from-compared,high,CDIAL[entry 12588],"(← Drav. Tam. iñci 'ginger', &c. DED 363, and Tam. vēr 'root', &c. DED 4554: T. Burrow BSOAS xi 130)"
cdial:12588:dedr:d5535,12588,d5535,loan,entry-from-compared,high,CDIAL[entry 12588],"(← Drav. Tam. iñci 'ginger', &c. DED 363, and Tam. vēr 'root', &c. DED 4554: T. Burrow BSOAS xi 130)"
cdial:12766:dedr:d2776,12766,d2776,loan,entry-from-compared,medium,CDIAL[entry 12766],"[ sēdhā - is prob. with T. Burrow BSOAS xii 141 ← Drav., Tam. ey , Tel. ēdu , &c. DED 2283 (and not with Lüders PhilInd 177 < * śvavidh -). The retroflex in śvāviḍh - (nom. °viṭ , °viḍ ) of some MSS. of Āpastamba and most of Baudhāyana and in * sēḍhā - also suggests non-Aryan origin. But if sēdhā - was replaced through pop. etym. by śvāvidh -, the antiquity of the latter is attested by its occurrence in AV., by the ċ - of Dm. and s - of Kt. and Pr. and by śuv - ~ śv - in * śuvāvidh -. — śván-, √vyadh? ]"
cdial:13096:dedr:d47,13096,d47,related,undetermined,medium,CDIAL[entry 13096],[~ Drav. DED 44]
cdial:13387:dedr:d2281,13387,d2281,related,undetermined,medium,CDIAL[entry 13387],"[~ Drav. DED 2065, also Tam. caṅku 'be dispirited' DED 1882?]"
cdial:13387:dedr:d2503,13387,d2503,related,undetermined,medium,CDIAL[entry 13387],"[~ Drav. DED 2065, also Tam. caṅku 'be dispirited' DED 1882?]"
cdial:13417:dedr:d2535,13417,d2535,loan,entry-from-compared,high,CDIAL[entry 13417],[← Drav. Tam. cippi DED 2089]
cdial:13676:dedr:d3045,13676,d3045,influence,entry-from-compared,low,CDIAL[entry 13676],"'to stand'; Bhoj. ṭhāṛh 'standing'; OAw. ṭhāḍha 'standing up', pret. 'he stood up', lakh. ṭhāṛh 'standing', ṭhaṛhiyāwab 'to make stand up'; H. ṭhāṛh , ṭhāṛ , ṭhāṛā , ṭhaṛhā 'fixed, stationary, erect, steep', ṭhāṛhnā 'to be fixed, stand up', ṭhaḍḍā m. 'back stick of a paper kite'; M. ṭhāḍā 'erect'; Si. tada 'firm, hard'. 2. For the development 'firm — sluggish — cold' cf. * stharati and sthirá- (in H.): Pa. thaddha - 'slow'; Pk. ṭhaḍḍha - 'blunted, cold'; S. thadho 'cold', L. ṭhaḍḍhā , mult. khet. ṭhaḍā ; N. ṭhāṛo 'rude, gauche'; G. tāḍhũ , ṭāḍhũ 'sluggish, contented, cold'. — * thaṇḍha -, * ṭhaṇḍha - infl. by Drav., Tam. taṇ , &c. 'cold' (DED 2473) J. Bloch BSOS v 742 (cf. also Pa. dhandha - 'dull, slow' BHS ii 275): K. thanḍ 'cold', thanḍī f. 'coldness'; Ku. ṭhano 'cold'; N. ṭhā̃ṛo 'abusive name for useless cooking pot' (i.e. 'cold'? But perh. X bhā̃ṛo < bhāṇḍa- ¹); H. ṭhaṇḍh , ṭhaṇḍhā , ṭhaṇḍā 'cold' → P. ṭhaṇḍhā , ṭhaṇḍā , WPah.bhad. ṭhaṇḍū 'cold', pād. paṇ. cur. ṭhaṇḍā , jaun. ṭhaṇḍō , bhal. ṭhεṇḍyoṇū 'to become cold'; N. ṭhaṇḍā 'cold', B. ṭhāṇḍā , Or. thaṇḍā , ṭhaṇḍā , Bhoj. ṭhaṇḍhā , Aw.lakh. ṭhaṇḍ , G. thãḍũ , ṭhãḍũ , M. thaṇḍ , °ḍā , Ko. thaṁḍ . Addenda: stabdha-: S.kcch. thadho 'cold, cool'; WPah.kṭg. tháṛɔ m. 'grasshopper', J. ṭhāḍā m. (Him.I 95 with ?); A. tadhā 'amazed"
cdial:14016:dedr:d240,14016,d240,loan,entry-from-compared,high,CDIAL[entry 14016],"[J. Bloch BSOS v 742 ← Drav., Kan. ale , alaku 'to shake', &c. (DED 203)]"
cdial:14122:dedr:d791,14122,d791,loan,entry-from-compared,high,CDIAL[entry 14122],"[← Drav., Kan. eḍḍisu , ēḍisu 'to abuse, mock', &c. DED 676]"
cdial:14165:dedr:d903,14165,d903,loan,entry-from-compared,high,CDIAL[entry 14165],"[J. Bloch FestschrWackernagel 149 ← Drav., Kui ēra 'to spy', Malt. ére 'to see', DED 765]"
cdial:14174:dedr:d1039,14174,d1039,loan,entry-from-compared,high,CDIAL[entry 14174],"[← Drav., Kan. ōḍa ., &c. DED 876]"
cdial:14175:dedr:d959,14175,d959,loan,entry-from-compared,high,CDIAL[entry 14175],"[← Drav., Kan. oḍḍa , &c. DED 808]"
cdial:14198a:dedr:da3,14198a,da3,related,undetermined,low,CDIAL[entry 14198a],"[Cf. Kan. Tu. agra 'the thrush', Tam. akkaram DED 22]"
cdial:14271:dedr:da12,14271,da12,loan,compared-from-entry,medium,CDIAL[entry 14271],"14271 āpāka-: prob. → Drav. Kan. āvi 'potter's kiln', &c. DED 336. ābhā-: haridrābha -."
cdial:14281:dedr:d300,14281,d300,related,undetermined,low,CDIAL[entry 14281],[Cf. similar words in Drav. DED 305]
cdial:14302:dedr:d690,14302,d690,loan,entry-from-compared,high,CDIAL[entry 14302],"[← Drav. Tam. uruntu 'Phaseolus mungo', &c. DED 594]"
cdial:2227:dedr:d758,2227,d758,loan,entry-from-compared,high,CDIAL[entry 2227],(← Drav. DED 646)
cdial:2538:dedr:d1029,2538,d1029,related,undetermined,medium,CDIAL[entry 2538],[~ Drav. DED 866]
cdial:2615:dedr:d1088,2615,d1088,related,undetermined,medium,CDIAL[entry 2615],[~ Drav. DED 916]
cdial:2807:dedr:d1261,2807,d1261,related,undetermined,medium,CDIAL[entry 2807],[~ Drav. DED 1057]
cdial:2913:dedr:d1348,2913,d1348,related,undetermined,medium,CDIAL[entry 2913],[~ Drav. DED 1135]
cdial:2954:dedr:d1359,2954,d1359,related,undetermined,medium,CDIAL[entry 2954],[~ Drav. DED 1145]
cdial:3801:dedr:d95,3801,d95,loan,entry-from-compared,low,CDIAL[entry 3801],"[Cf. * khadda-, *khāru -: ← Drav. cf. Tel. kaṇḍuvā 'upper garment'; Kol. khanḍva 'cloth', Nk. khanḍa , Prj. ganḍa : see DED 85]"
cdial:3816:dedr:d1221,3816,d1221,related,undetermined,medium,CDIAL[entry 3816],[~ Drav. DED 1024]
cdial:3817:dedr:d1223,3817,d1223,related,undetermined,medium,CDIAL[entry 3817],[~ Drav. DED 1026]
cdial:3998:dedr:d1946,3998,d1946,loan,entry-from-compared,low,CDIAL[entry 3998],[Cf. kā́ṇḍa -: prob. ← Drav. DED 1619]
cdial:4112:dedr:d1151,4112,d1151,related,undetermined,medium,CDIAL[entry 4112],[~ Drav. DED 965]
cdial:4271:dedr:d2069,4271,d2069,loan,entry-from-compared,low,CDIAL[entry 4271],"[Cf. guḍá -¹. — In sense 'fruit, kernel' cert. ← Drav., cf. Tam. koṭṭai 'nut, kernel', Kan. goṟaṭe &c. listed DED 1722]"
cdial:4324:dedr:d1338,4324,d1338,loan,entry-from-compared,low,CDIAL[entry 4324],"[← Drav. DED 1125 fr. which poss. gōdhā́ - by pop. etym. Cf. further kōka - m. 'noxious parasitical animal' AV., 'house lizard' lex., kōkila - m. 'a kind of mouse' Suśr., 'frog' lex. prob. in Pk. gihakōilā -, gharak° , gharōilā - f. 'house lizard']"
cdial:4477:dedr:d1633,4477,d1633,loan,entry-from-compared,low,CDIAL[entry 4477],"4477 * ghuṅghura 'bell'. 2. * ghiṅghira- [Onom.] 1. L. ghuṅgru m. 'small camel bell'; P. ghuṅgarū m. 'small bell'; N. ghuṅri 'dancing-girl's ankle bells'; A. ghuṅgarā 'string of bells', B. ghuṅur , Or. ghuṅghura , H. ghuṅg ( h ) rū m.; OMarw. ghūghara m. 'toe bell, string of bells'; G. ghughrɔ m. 'jingling bell', °rī f. 'toe bell', M. ghũghūr n., °ghrū m., °ghrū̃ n. — H. ghū̃ghar m. 'curls' ← Drav. cf. Kan. gugguri 'curl' DED 1361. 2. S. ghiṅghirū , °ro m. 'ankle bell, cattle bell'. * ghuṅghurāli -."
cdial:4481:dedr:d1654,4481,d1654,related,undetermined,medium,CDIAL[entry 4481],"[~ Drav. DED 1378, 1381]"
cdial:4525:dedr:d1883,4525,d1883,loan,entry-from-compared,low,CDIAL[entry 4525],"[Like kulā́ya - 'nest' ← Drav.: Tam. kūṭu , Kan. Tel. Tu. gūḍu DED 1563; cf. kuṇḍá -¹]"
cdial:4574:dedr:d2311,4574,d2311,related,undetermined,medium,CDIAL[entry 4574],[~ Drav. DED 1907]
cdial:4575:dedr:d2309,4575,d2309,related,undetermined,medium,CDIAL[entry 4575],[~ Drav. DED 1905]
cdial:4738:dedr:d2306,4738,d2306,loan,entry-from-compared,high,CDIAL[entry 4738],"[← Drav., Tam. caṭṭi DED 1901: see * cāṭī-, *cāḍḍa -]"
cdial:4749:dedr:d2391,4749,d2391,related,undetermined,medium,CDIAL[entry 4749],[~ Drav. DED 1976]
cdial:4756:dedr:d2628,4756,d2628,related,undetermined,medium,CDIAL[entry 4756],[~ Drav. DED 2160]
cdial:4780:dedr:d2488,4780,d2488,loan,entry-from-compared,low,CDIAL[entry 4780],"[Cf. cikkáṇa-, cikhalla - (and further forms there shown), * kicca -: ← Drav. (DED 2053), ← Mu. (Kuiper) EWA i 385, 386.]"
cdial:4822:dedr:d2545,4822,d2545,related,undetermined,medium,CDIAL[entry 4822],[In sense 'blink' ~ Drav. DED 2097]
cdial:4860:dedr:d2724,4860,d2724,loan,entry-from-compared,low,CDIAL[entry 4860],"[ cū̆ta - m., °ti - f. 'anus', cyuti - f. 'vulva' lex. Cf. Pers. cul 'penis' (if ← EIr., may be < * cuta -), but more prob. with EWA i 395 ← Drav. cf. Tam. cūttu , cūṟu 'anus' DED 2249]"
cdial:4869:dedr:d2677,4869,d2677,related,undetermined,medium,CDIAL[entry 4869],[~ Drav. DED 2204]
cdial:4966:dedr:d2304,4966,d2304,related,undetermined,medium,CDIAL[entry 4966],[~ Drav. DED 1899 — see saṭṭa -²]
cdial:5053:dedr:d2661,5053,d2661,related,undetermined,medium,CDIAL[entry 5053],"[ cucundarī - f., cuñcu - m., śuṇḍi-mūṣikā - f., gandha-śuṇḍinī - f. lex.; chucchu - m. 'a kind of animal' VarBr̥S. Variant forms of Sk. and NIA. support Drav. origin DED 2190]"
cdial:5086:dedr:da35,5086,da35,loan,entry-from-compared,low,CDIAL[entry 5086],"[Cf. śaṭā - f. 'ascetic's matted hair' W., saṭā - f. 'braid of hair, lion's mane' MBh. — DED 1897 and EWA i 413 ← Drav., but eventually with PMWS 63 ← Mu. with * jatta- (* jatra -, * jacca -), * jakka - (* jagga -), jūṭa - (* juṇṭa -), * jhaṇṭa - (* jhāṭṭha -, * jhiṇṭa -), * jhuṇṭa - (* jhōṇṭa -, * jhuṭṭa -, * jhūṭa -, * jhōṭṭa -), * jhūśa-, *jhallā-, cū́ḍa -¹ ( cōḍa -³, * cōṇḍa -, * cōṭṭa -, * cunda -²)]"
cdial:5723:dedr:d3411,5723,d3411,loan,entry-from-compared,medium,CDIAL[entry 5723],"[Prob. ← Drav. T. Burrow BSOAS xii 380, DED 2809]"
cdial:5747:dedr:d3175,5747,d3175,loan,entry-from-compared,high,CDIAL[entry 5747],"(← Drav. Tam. tāli 'neck ornament', etc. DED 2594, EWA i 499)"
cdial:5749:dedr:d3179,5749,d3179,related,undetermined,medium,CDIAL[entry 5749],"[Tam. tār̤ 'bar, bolt, latch', etc. DED 2598; but in NIA. meanings 'mallet, etc.' prob. same as tā́ḍa -¹]"
cdial:5825:dedr:d3244,5825,d3244,loan,entry-from-compared,low,CDIAL[entry 5825],"5825 * tiriyak, tiryák 'across, obliquely' ŚBr. (n. sg. of tiryáñc - 'oblique' AV.). [ tirás ] Pa. tiriyaṁ 'across'; Pk. tiria - 'slanting, crosswise'; OG. tiria 'animals'; Si. tiraya 'curtain, veil' (cf. Sk. tiraskariṇī - f. 'veil'). tirīṭa- ¹ 'diadem' see kirīṭa -¹. Addenda: * tiriyak: WPah.kṭg. tírh i , t i r i , kc. tirhe , tire f. 'small window', kṭg. tírhɔ , tirɔ m. 'id., small closet in the wall', J. tīri f. 'small window' Him.I 93; — Si. tiraya ← Drav. Tam. tirai DED 2653."
cdial:5864:dedr:d3282,5864,d3282,loan,undetermined,medium,CDIAL[entry 5864],(Kan. tuppa 'ghee' DED 2685 is rather ← MIA.)
cdial:5904:dedr:d3393,5904,d3393,loan,entry-from-compared,low,CDIAL[entry 5904],"[Poss. ← Drav. Tam. tūral 'painter's brush, shoot' DED 2790. — Cf. turī -]"
cdial:5974:dedr:d3555,5974,d3555,loan,entry-from-compared,high,CDIAL[entry 5974],[← Drav. DED 2933]
cdial:6066:dedr:d3339,6066,d3339,loan,entry-from-compared,low,CDIAL[entry 6066],"[Cf. √ truph and forms without r ( tupáti , tṓpati , túmpati , tupháti , tṓphati , túmphati 'hurts' Dhātup., prastumpati 'butts') which are prob. of IE. origin EWA i 512; but ac. to T. Burrow BSOAS xii 142 √ trup is ← Drav. see DED 2743. — For semant. development 'pierce-abort' cf. śūlatē, śalyá -]"
cdial:6087:dedr:d3559,6087,d3559,loan,compared-from-entry,medium,CDIAL[entry 6087],"[T. Burrow BSOAS xi 347 ← Drav. e.g. Tel. tokka 'skin', but DED 2937 Drav. rather ← Sk. tvák which has IE. relative in Gk. σάκοs 'shield' Mayrhofer EWA ii 587]"
cdial:6707:dedr:d3038,6707,d3038,related,undetermined,medium,CDIAL[entry 6707],"[Drav., Kan. daṭṭi 'waistband' etc., DED 2465]"
cdial:7688:dedr:d3836,7688,d3836,loan,entry-from-compared,low,CDIAL[entry 7688],[← Drav. T. Burrow BSOAS xii 382 and DED 3173. Cf. piñjā - and * pañja - (s.v. puñja -) with which it collides in NIA.]
cdial:7718:dedr:d4004,7718,d4004,loan,entry-from-compared,low,CDIAL[entry 7718],"[No certain etymology. EWA ii 197 poss. < * prajñita - (cf. paṇḍā - f. 'wisdom' ~ prajñā́ -) > MIA. * paṇṇita - > paṇḍita - as hypersanskritism, reversing Pk. ṇṇ ~ Sk. ṇḍ . H. W. Bailey BSOAS xxiv 479 connects rather with Khot. pandara 'foolish' (see paṇḍá -). DED 3299 ← Drav. with (?)]"
cdial:8031:dedr:d4018,8031,d4018,loan,entry-from-compared,medium,CDIAL[entry 8031],"[MIA. pāḍa ( ya )- 'quarter, street' ~ Drav. Tam. pāṭa ( ka ) m id. DED 3347 and perh. conn. pallī -¹ ← Drav. DED 3309]"
cdial:8031:dedr:d4064,8031,d4064,loan,entry-from-compared,medium,CDIAL[entry 8031],"[MIA. pāḍa ( ya )- 'quarter, street' ~ Drav. Tam. pāṭa ( ka ) m id. DED 3347 and perh. conn. pallī -¹ ← Drav. DED 3309]"
cdial:8042:dedr:d3881,8042,d3881,loan,entry-from-compared,low,CDIAL[entry 8042],[Cf. * kaḍḍa - and * paṣṭha -. — Prob. ← Drav. DED 3208]
cdial:8214:dedr:d4198,8214,d4198,loan,entry-from-compared,high,CDIAL[entry 8214],"[← Drav. Tam. piḷḷai DED 3449, LM 368]"
cdial:8256:dedr:d4259,8256,d4259,loan,entry-from-compared,high,CDIAL[entry 8256],"[With T. Burrow BSOAS xii 385 ← Drav. (Kan. Tu. puṭṭa 'small, dwarfish' etc. DED 3498)]"
cdial:8264:dedr:d4335,8264,d4335,loan,entry-from-compared,high,CDIAL[entry 8264],"[Like ( pipīlika -) puṭa - n. 'anthill' MBh., ← Drav. T. Burrow TPS 1945, 111, EWA ii 304 (Tam. puṛṛu , Kan. puttu , Tel. puṭṭa , Prj. putkal 'white ant hill': DED 3556)]"
cdial:8391:dedr:d4452,8391,d4452,loan,entry-from-compared,medium,CDIAL[entry 8391],"[See also * pōcca -¹, * pōḍa - ( pōra -¹, * pōla -, * pōlla -, * phōra -, * phōlla -), * phōttara-, *pōppa - (* phōppha -, * phōmpha -), * phōssa-, *bhōkka - (* bhōṅka -², * bhōṅga -), * bhōsa -. — Prob. ← Drav. which has similar series of words DED 3646]"
cdial:8398:dedr:d4562,8398,d4562,related,undetermined,medium,CDIAL[entry 8398],[~ Drav. DED 3726]
