source_index,id,parent_index,parent_id,level,language_id,form,gloss,comment,page
86,n49,,,0,PIE Root,peiĝ,hostile,"[Pok. 795  *peiĝ-1  PIE formula: *p-i-k̰̂-
]",p
87,n50,86,n49,1,PIE Form,pi-k̂-aɦ-kʷaɦ-,,,p
88,n51,87,n50,2,PAr,pičâk̂′i:-,,,p
89,n52,88,n51,3,OIA,pišâč′i-:-,demon (f.),,p
90,n53,,,0,PIE Root,peis,grind,"[Pok. 796  *peis-1  PIE formula: *p-i-s-
]",p
91,n54,90,n53,1,PIE Form,pi-n-s-′e-,,,p
92,n55,91,n54,2,PAr,pi˜š-′a-,grind,,p
93,n56,92,n55,3,PNur,piša-,,,p
94,n57,,,0,PIE Root,peuk̂,stick; punch,"[Pok. 828  *peuk̂-  PIE formula: *p-u-k̂-
]",p
95,n58,94,n57,1,PIE Form,peu-k̂-i-ɦ-,,,p
96,n59,95,n58,2,PAr,pauči:-,pine,,p
97,n60,96,n59,3,PNur,puaći,,,p
98,n61,,,0,PIE Root,pek̂,fleece; cattle,"[Pok. 797  *pek̂-2  PIE formula: *p-k̂-
]",p
99,n62,98,n61,1,PIE Form,pek̂-u-,,,p
100,n63,99,n62,2,PAr,paču-p′â-,herdsman,,p
101,n64,100,n63,3,PNur,paćâ,,,p
102,n65,100,n63,3,OIA,pašu-p′â-,herdsman,,p
103,n66,102,n65,4,PNur,pašpâ,,,p
104,n67,,,0,PIE Root,pekʷ,cook,"[Pok. 798  *pekʷ-  PIE formula: *p-k̊-
]",p
105,n68,104,n67,1,PIE Form,pekʷ-io-,,,p
106,n69,105,n68,2,PAr,pak̂-y′a-te,,,p
107,n70,106,n69,3,OIA,pač-y′a-te,is cooked; becomes ripe,,p
108,n71,107,n70,4,PNur,pača-,,,p
109,n72,104,n67,1,PIE Form,pekʷ-uo-,,,p
110,n73,109,n72,2,PAr,pak-v′a-,cooked; ripe,,p
111,n74,110,n73,3,PNur,-pak,,,p
112,n75,110,n73,3,PNur,paka-,,,p
113,n76,110,n73,3,PNur,pakʷe-,,,p
114,n77,104,n67,1,PIE Form,pōkʷ-′eio-,,,p
115,n78,114,n77,2,PAr,pâk̂-′aya-,,,p
116,n79,115,n78,3,OIA,pâč-′aya-ti,causes to boil,,p
117,n80,,,0,PIE Root,peg,shoulder; hip; side,"[Pok. 792  *peg-  PIE formula: *p-k̰-
]",p
118,n81,117,n80,1,PIE Form,peĝ-s-i-n-,,,p
119,n82,118,n81,2,PAr,pač-s′i-n-,winged; bird,,p
120,n83,117,n80,1,PIE Form,peĝ-s-o-,,,p
121,n84,120,n83,2,PAr,pač-s′a-,wing; shoulder; side,,p
122,n85,117,n80,1,PIE Form,peĝ-to-,,,p
123,n86,122,n85,2,PAr,paš-ta-,breast,,p
124,n87,,,0,PIE Root,per,forward; over,"[Pok. 810  *per-2  PIE formula: *p-r-
1]",p
125,n88,124,n87,1,PIE Form,pr-o,,,p
126,n89,125,n88,2,PAr,pr′a,forward,,p
127,n90,126,n89,3,PNur,pra-,,,p
128,n91,124,n87,1,PIE Form,pr-o-ti,,,p
129,n92,128,n91,2,PAr,pr′a-ti,towards; against,,p
130,n93,129,n92,3,PNur,pa-,,,p
131,n94,124,n87,1,PIE Form,per-o-,,,p
132,n95,131,n94,2,PAr,p′ara-,distant; other,,p
133,n96,131,n94,2,PAr,pâr′a-,further bank,,p
134,n97,124,n87,1,PIE Form,рr-h-uo-,,,p
135,n98,134,n97,2,PAr,pr̥:-va-,fore; first; ancient,,p
136,n99,135,n98,3,PNur,pau,,,p
137,n100,,,0,PIE Root,per,go over; fare; carry over; bring,"[Pok. 816  *per-2  PIE formula: *p-r-
1]",p
138,n101,137,n100,1,PIE Form,pōr-′eio-,,,p
139,n102,138,n101,2,PAr,pâr-′aya-,,,p
140,n103,139,n102,3,OIA,pâr-′aya-ti,brings over; brings to an end,,p
141,n104,140,n103,4,PNur,pâr-,,,p
142,n105,137,n100,1,PIE Form,por-no-,,,p
143,n106,142,n105,2,PAr,parn′a-,plumage; foliage,,p
144,n107,143,n106,3,PNur,pâr,,,p
145,n108,143,n106,3,OIA,parṇ′a-,plumage; foliage,,p
146,n109,145,n108,4,PNur,pâṭ,,,p
147,n110,137,n100,1,PIE Form,por-no-,,,p
148,n111,147,n110,2,PAr,parn′a-,,,p
149,n112,148,n111,3,OIA,parṇ′a-,plumage; foliage,,p
150,n113,149,n112,4,PNur,pând,,,p
151,n114,,,0,PIE Root,perk̂,rib; breast,"[Pok. 820  *perk̂-1  PIE formula: *p-r-k̂-
]",p
152,n115,151,n114,1,PIE Form,per-k̂-u-,,,p
153,n116,152,n115,2,PAr,p′aršu-,rib,,p
154,n117,153,n116,3,PNur,pâṣu,,,p
155,n118,153,n116,3,PNur,pâṣu-âṭi,,,p
156,n119,153,n116,3,PNur,pâṣu-čaṭ,,,p
157,n120,151,n114,1,PIE Form,per-k̂-uo-,,,p
158,n121,157,n120,2,PAr,pâršv-′a-,region of the ribs; side,,p
159,n122,158,n121,3,PNur,pâṣu,,,p
160,n123,,,0,PIE Root,pers,drizzle; sprinkle; dust; ashes,"[Pok. 823  *pers-  PIE formula: *p-r-s-
]",p
161,n124,160,n123,1,PIE Form,pr-s-e-,,,p
162,n125,161,n124,2,PAr,pr̥š-a-,,,p
163,n126,162,n125,3,OIA,pr̥ṣ-a-,*drop,,p
164,n127,,,0,PIE Root,persnaɦ,heel,"[Pok. 823  *persnâ  PIE formula: *p-r-s-n-ɦ-
]",p
165,n128,164,n127,1,PIE Form,per-s-n-ɦ-,,,p
166,n129,165,n128,2,PAr,p′âršni-,,,p
167,n130,166,n129,3,OIA,p′ârṣṇi-,heel,,p
168,n131,,,0,PIE Root,pet,fall; fly,"[Pok. 825  *pet-2  PIE formula: *p-t-
]",p
169,n132,168,n131,1,PIE Form,pet-o-,,,p
170,n133,169,n132,2,PAr,p′ât-a-,,,p
171,n134,170,n133,3,OIA,ut-p′ât-a-,flying up; sudden portent,,p
172,n135,169,n132,2,PAr,p′ât-a-ka-,,,p
173,n136,172,n135,3,OIA,ut-pât-a-ka,noxious insect,,p
174,n137,173,n136,4,PNur,upa,,,p
175,n138,168,n131,1,PIE Form,pet-tro-,,,p
176,n139,175,n138,2,PAr,p′at-tra-,wing-feather; leaf,,p
177,n140,176,n139,3,PNur,pâṭu,,,p
178,n141,175,n138,2,PAr,pat-tra-l′a,leafy,,p
179,n142,178,n141,3,PNur,paṭila,,,p
180,n143,,,0,PIE Root,ped,foot,"[Pok. 790  *pē̆d-2  PIE formula: *p-t̰-
1]",p
181,n144,180,n143,1,PIE Form,ped-io-,,,p
182,n145,181,n144,2,PAr,p′ad-ya-te,falls,,p
183,n146,180,n143,1,PIE Form,ped-io-,,,p
184,n147,183,n146,2,PAr,p′ad-ya-te,,,p
185,n148,184,n147,3,OIA,′ut-pad-ya-te,arises; originates,,p
186,n149,185,n148,4,PNur,upuǰa-,,,p
187,n150,184,n147,3,OIA,n′i-pad-ya-te,lies down; rests,,p
188,n151,180,n143,1,PIE Form,ped-t′o-,,,p
189,n152,188,n151,2,PAr,pat-ta-,,,p
190,n153,189,n152,3,OIA,pat-ta-,gone,,p
191,n154,180,n143,1,PIE Form,pōd-s,,,p
192,n155,191,n154,2,PAr,p′ât-s,,,p
193,n156,192,n155,3,OIA,p′ât,foot,,p
194,n157,193,n156,4,PNur,pâ,,,p
195,n158,180,n143,1,PIE Form,ped-o-,,,p
196,n159,195,n158,2,PAr,pad′a-,footstep,,p
197,n160,,,0,PIE Root,pel,full; fill; pour; town (?),"[Pok. 798  *pel-1  PIE formula: *p-l-
1]",p
198,n161,197,n160,1,PIE Form,pl-h-o-,,,p
199,n162,198,n161,2,PAr,pu:r-a-,filling,,p
200,n163,199,n162,3,PNur,par,,,p
201,n164,199,n162,3,PNur,pâr,,,p
202,n165,197,n160,1,PIE Form,pl-h-′eio-,,,p
203,n166,202,n165,2,PAr,pu:r-′aya-,,,p
204,n167,203,n166,3,OIA,pu:r-′aya-ti,fills,,p
205,n168,197,n160,1,PIE Form,pōl-′eio-,,,p
206,n169,205,n168,2,PAr,pâr-′aya-,,,p
207,n170,206,n169,3,OIA,pâr-′aya-ti,fills,,p
208,n171,207,n170,4,PNur,parei,,,p
209,n172,207,n170,4,PNur,pârei,,,p
210,n173,207,n170,4,PNur,pari,,,p
211,n174,197,n160,1,PIE Form,pl-h-s-o-,,,p
212,n175,211,n174,2,PAr,p′uri:-sa-,fullness; filling; rubble; dung,,p
213,n176,212,n175,3,PNur,parsa,,,p
214,n177,,,0,PIE Root,pel,powder; flour,"[Pok. 802  *pel-2  PIE formula: *p-l-
]",p
215,n178,214,n177,1,PIE Form,pel-o-lo-,,,p
216,n179,215,n178,2,PAr,palâla-,mud,,p
217,n180,216,n179,3,PNur,palâl,,,p
218,n181,,,0,PIE Root,pel,cover; wrap; skin; hide; cloth,"[Pok. 803  *pel-3  PIE formula: *p-l-
]",p
219,n182,218,n181,1,PIE Form,pel-,,,p
220,n183,218,n181,1,PIE Form,pel-to-,,,p
221,n184,220,n183,2,PAr,pal-ta-,,,p
222,n185,221,n184,3,OIA,paṭṭa-,veil,,p
223,n186,,,0,PIE Root,pel,grey; pale,"[Pok. 804  *pel-6  PIE formula: *p-l-
]",p
224,n187,223,n186,1,PIE Form,pel-i-t′o-,,,p
225,n188,224,n187,2,PAr,palit′a-,grey,,p
226,n189,225,n188,3,PNur,pali,,,p
227,n190,,,0,PIE Root,pelh,wide and flat,"[Pok. 805  *pelə-; plâ-  PIE formula: *p-l-ɦ-
]",p
228,n191,227,n190,1,PIE Form,pel-n-i-,,,p
229,n192,228,n191,2,PAr,paln′i-,,,p
230,n193,229,n192,3,OIA,pâṇ′i-,hand; palm,,p
231,n194,227,n190,1,PIE Form,pel-to-,,,p
232,n195,231,n194,2,PAr,pâl-ta-,,,p
233,n196,232,n195,3,OIA,pâṭ-a-,breadth; expanse,,p
234,n197,,,0,PIE Root,penkʷe,five,"[Pok. 808  *penkʷe  PIE formula: *p-n-k̊-
]",p
235,n198,234,n197,1,PIE Form,penkʷe,,,p
236,n199,235,n198,2,PAr,p′ank̂a,five,,p
237,n200,236,n199,3,PNur,pa˜č,,,p
238,n201,235,n198,2,PAr,p′ank̂a-dača,fifteen,,p
239,n202,238,n201,3,PNur,pačić,,,p
240,n203,238,n201,3,PNur,pačilić,,,p
241,n204,238,n201,3,OIA,p′anča-daša,fifteen,,p
242,n205,241,n204,4,PNur,pačauš,,,p
243,n206,241,n204,4,PNur,pačiš,,,p
244,n207,,,0,PIE Root,pēs,dust; sand,"[Pok. 824  *pēs-2  PIE formula: *p-ēs-
]",p
245,n208,244,n207,1,PIE Form,pē-n-k̂-u-,,,p
246,n209,245,n208,2,PAr,pânč′u-,dust,,p
247,n210,244,n207,1,PIE Form,pē-n-s-u-,,,p
248,n211,247,n210,2,PAr,pâ˜s′u-,dust,,p
249,8363,,,0,OIA,pr̥ṣ-a-,speckled,[T. 8363],p
250,8355,,,0,OIA,p′r̥thak,separately,[following  T. 8355],p
251,8355,250,8355,1,PNur,pr̥k,,,p
252,n212,,,0,PIE Root,pu,blow; blow up,"[Pok. 847  *pū̆-1  PIE formula: *p-u-
]",p
253,n213,252,n212,1,PIE Form,phu-phu-so-,,,p
254,n214,253,n213,2,PAr,phu-pphu-sa-,lungs,,p
255,n215,254,n214,3,PNur,pupus,,,p
256,n216,252,n212,1,PIE Form,pu-s-,,,p
257,n217,256,n216,2,PAr,pus-pya-,kind of plant,,p
258,n218,257,n217,3,OIA,puṣ-pya-,flower,,p
259,n219,252,n212,1,PIE Form,pu-s-io-,,,p
260,n220,259,n219,2,PAr,pus-ya-,kind of plant,,p
261,n221,260,n220,3,PNur,puš,,,p
262,8298,,,0,OIA,*pušši:-,cat,[T. 8298],p
263,8298,262,8298,1,PNur,pišâ˜,,,p
264,8298,262,8298,1,PNur,pišâ˜š,,,p
265,8255.1,,,0,OIA,puṭ-a-ti,enfolds; envelops,[T. 8255.1],p
266,n222,,,0,PNur,-pur-,-like,,p
267,n223,,,0,PNur,p′uṇa,calf (1-2 years),,p
268,8265,,,0,OIA,putr′a-,son,[T. 8265],p
269,8265,268,8265,1,PNur,putr,,,p
270,n224,,,0,PNur,put-soṭ,companion,,p
271,8310.1,,,0,PAr,pus-,leaves; is left,[T. 8310.1],p
272,8310.1,271,8310.1,1,PNur,pus-,,,p
273,8310.1,271,8310.1,1,PNur,pus-âv-,,,p
274,8310.1,271,8310.1,1,PNur,pus,,,p
275,8377.7,,,0,OIA,punḍa-,swell up,[T. 8377.7],p
276,8377.7,275,8377.7,1,PNur,punḍa-,,,p
277,8377.7,275,8377.7,1,PNur,punḍa-,,,p
278,8377.7,275,8377.7,1,PNur,puṇḍa,,,p
279,8377.7,275,8377.7,1,PNur,puṇḍa,,,p
280,8377.7,275,8377.7,1,PNur,puṇḍo,,,p
281,8377.7,275,8377.7,1,PNur,puṇḍo-i,,,p
282,8377.7,275,8377.7,1,PNur,puṇḍa-ra,,,p
283,8377.7,275,8377.7,1,PNur,"puṇḍa-ra-i-
k",,,p
284,8377.7,275,8377.7,1,PNur,"puṇḍa-ra-
k",,,p
285,8377.7,275,8377.7,1,PNur,"puṇḍa-ra-
ṇa",,,p
286,8259.1,,,0,OIA,punḍra-,pale; bright red; color of sugarcane,[T. 8259.1],p
287,8259.1,286,8259.1,1,PNur,pu˜ṭ,,,p
288,8329,,,0,OIA,*pu:r-,fire,[T. 8329],p
289,8323,,,0,OIA,p′u:-ti-,putrid,[T. 8323],p
290,8349,,,0,OIA,pu:la-,bunch; bundle; straw,[T. 8349],p
291,8400.5,,,0,OIA,počča-,cloth,[T. 8400.5],p
292,8400.5,291,8400.5,1,PNur,poč,,,p
293,8408,,,0,OIA,p′oṣa-,growth; prosperity,[T. 8408],p
294,n225,,,0,PIE Root,poti,owner; host; master; husband,"[Pok. 842  *poti-  PIE formula: *p-ot-i-
]",p
295,n226,294,n225,1,PIE Form,pot-i-,,,p
296,n227,295,n226,2,PAr,pat′i-,,,p
297,n228,296,n227,3,OIA,upa-pat′i-,paramour,,p
298,n229,294,n225,1,PIE Form,pot-n-i-ɦ-,,,p
299,n230,298,n229,2,PAr,sa-p′atni-:-,co-wife,,p
300,n231,,,0,PIE Root,pont,go; walk; way,"[Pok. 808  *pent-  PIE formula: *p-n-t-
]",p
301,n232,300,n231,1,PIE Form,pont-h-aɦ-,,,p
302,n233,301,n232,2,PAr,p′antha-:-,path; road,,p
303,n234,302,n233,3,PNur,pa˜t,,,p
304,n235,,,0,PIE Root,poɦ̊,graze,"[Pok. 839  *pō(i)-1  PIE formula: *p-oɦ̊-
1]",p
305,n236,304,n235,1,PIE Form,poɦ̊-lo-,,,p
306,n237,305,n236,2,PAr,pâl′a-,protector; herdsman,,p
307,n238,306,n237,3,PNur,pâla,,,p
308,n239,304,n235,1,PIE Form,poɦ̊-lo-,,,p
309,n240,308,n239,2,PAr,p′âla-,protection,,p
310,n241,309,n240,3,PNur,pâli,,,p
311,n242,,,0,PIE Root,poɦ̊,drink,"[Pok. 839  *pō(i)-2  PIE formula: *p-oɦ̊-
]",p
312,n243,311,n242,1,PIE Form,pɦ-poɦ̊-,,,p
313,n244,312,n243,2,PAr,p′i-ba-ti,drinks,,p
314,n245,313,n244,3,PNur,pia-,,,p
315,n246,311,n242,1,PIE Form,poɦ̊-i-,,,p
316,n247,315,n246,2,PAr,pây-a-ka-,drinking,,p
317,n248,,,0,Prs,pyâz,onion,,p
318,8956,,,0,OIA,*pra-arth-ya-ka-,pertaining to hospitality,[T. 8956],p
319,8429,,,0,OIA,pra-kaṭ-a-na-,bringing to light,[T. 8429],p
320,8489,,,0,OIA,pra-čal-a-,tremulous; shaking,[T. 8489],p
321,n249,,,0,PNur,praća-,shake; beat,,p
322,8587,,,0,OIA,prati-raǰǰu-,string,[T. 8587],p
323,8592,,,0,OIA,*pra-til-a-ti,goes forward,[T. 8592],p
324,8592,323,8592,1,PNur,piliâ-,,,p
325,10993,,,0,OIA,*pra-ti-l′as-a-ti,flashes; shines,[T. 10993],p
326,8591,,,0,OIA,pra-ti-langʱ-ay-a-ti,transgresses; mounts,[T. 8591],p
327,8591,326,8591,1,PNur,piliŋa-,,,p
328,8824,,,0,OIA,pra-sar-a-,advance; extension,[T. 8824],p
329,8757,,,0,OIA,pra-lâp-′a-,talk,[T. 8757],p
330,8770,,,0,OIA,pra-lort-a-ti,rolls over,[T. 8770],p
331,8906,,,0,OIA,pra-ɦâr-a-,blow,[T. 8906],p
332,8906,331,8906,1,PNur,prâr,,,p
333,8929,,,0,OIA,prâṇa-ka-,living being; animal,[T. 8929],p
334,8932,,,0,OIA,prâṇ′in-,living creature,[T. 8932],p
335,n250,,,0,PNur,prâsiu˜,Vâsi,,p
336,n251,,,0,PNur,prost-pâ,bed-leg,,p
337,n252,,,0,Eng,plət′uwn,platoon,,p
338,n253,,,0,PIE Root,plou,flea,"[Pok. 102  *blou-  PIE formula: *p̰-l-u-
",p
339,n254,338,n253,1,PIE Form,pl-u-i-,,,p
340,n255,339,n254,2,PAr,pru-i-,flea,,p
341,n256,338,n253,1,PIE Form,pl-u-k-,,,p
342,n257,341,n256,2,PAr,pru-k̂-,flea,,p
343,n258,341,n256,2,PAr,pru-k-i-,flea,,p
344,9038.2,,,0,OIA,*phaṭṭ-,crack!,[T. 9038.2],p
345,9051,,,0,OIA,ph′ala-,fruit; grain,[T. 9051],p
346,9051,345,9051,1,PNur,pal,,,p
347,9051,345,9051,1,PNur,pal-,,,p
348,9089,,,0,OIA,*phupphi-:-,father's sister,[T. 9089],p
349,9101,,,0,OIA,phu:t-,blowing; puffing,[T. 9101],p
350,9102,,,0,OIA,*phu:t-ka-,blowing,[T. 9102],p
351,n259,,,0,PIE Root,phtēr,father,"[Pok. 829  *pətḗ(r)  PIE formula: *p-h-t-
ēr]",p
352,n260,351,n259,1,PIE Form,ph-t-′ē,,,p
353,n261,352,n260,2,PAr,pit′â,father,,p
354,n262,,,0,Turk,bağatur,warrior,,b
355,n263,354,n262,1,PNur,bâdur,,,b
356,n264,354,n262,1,PNur,bâtur,,,b
357,n265,,,0,PNur,bara-nis-ik,spring planting ceremony,,b
358,n266,,,0,PNur,bari-sti:,female member of the artisan caste,,b
359,9157,,,0,OIA,barb′ara-,stammering,[T. 9157],b
360,9157,359,9157,1,PNur,babakâv-,,,b
361,n267,,,0,Prs,barma,drill,,b
362,n268,,,0,Arb,bas,enough,,b
363,n269,,,0,PIE Root,bamb,,"[Pok. 93  *baˣmb-  PIE formula: *ᴘ̰-n-ᴘ̰-
",b
364,n270,363,n269,1,PIE Form,bamb-,,,b
365,n271,,,0,PNur,bâkara,wild hen,,b
366,n272,,,0,Prs,bâǧ,garden,,b
367,n273,,,0,Prs,bâǧča,little garden,,b
368,n274,,,0,Prs,bâǰa,harmonica,,b
369,n275,,,0,Prs,bâzâr,market,,b
370,n276,,,0,Psht,bângiṛay,rooster,,b
371,n277,,,0,Psht,bânḍa wâl,mountain-stable person,,b
372,n278,,,0,PNur,bâba,older brother,,b
373,n279,,,0,PNur,bâmprek,high wicker table,,b
374,n280,,,0,PNur,biiâ,spade,,b
375,n281,,,0,Arb,bi-l-kull,entirely,,b
376,9250,,,0,OIA,b′i:ǰa-,seed; semen,[T. 9250],b
377,9250,376,9250,1,PNur,bi,,,b
378,n282,,,0,PIE Root,be,outside; without,"[Pok. 112  *be-1  PIE formula: *ᴘ̰-k̬̂-
]",b
379,n283,378,n282,1,PIE Form,be-ĝʱ-io-,,,b
380,n284,379,n283,2,PAr,b′âǰʱ-ya-,external; foreign; outcaste,,b
381,n285,380,n284,3,PNur,bâźigal,,,b
382,n286,380,n284,3,PNur,bâźiu,,,b
383,n287,378,n282,1,PIE Form,be-ĝʱ-i-r′o-,,,b
384,n288,383,n287,2,PAr,baǰʱ-i-r′a-,,,b
385,n289,384,n288,3,OIA,baɦi-ra-,external,,b
386,n290,385,n289,4,PNur,ba-,,,b
387,n291,385,n289,4,PNur,bai-,,,b
388,n292,385,n289,4,PNur,bâi-,,,b
389,n293,385,n289,4,PNur,bair-,,,b
390,n294,385,n289,4,PNur,bar-,,,b
391,n295,,,0,Turk,beǧ,gentleman,,b
392,9238.3,,,0,OIA,*beḍa-,defective,[T. 9238.3],b
393,n296,,,0,PIE Root,bel,strong,"[Pok. 96  *bel-2  PIE formula: *p̰-l-
]",b
394,n297,393,n296,1,PIE Form,bel-,,,b
395,n298,394,n297,2,PAr,b′al-,strong,,b
396,n299,393,n296,1,PIE Form,bel-e-uent-,,,b
397,n300,396,n299,2,PAr,b′al-a-vant-,strong,,b
398,n301,393,n296,1,PIE Form,bel-i-to-mo-,,,b
399,n302,398,n301,2,PAr,bal-i-ta-ma-*,,,b
400,n303,399,n302,3,OIA,bal-i-tama-,very strong,,b
401,n304,,,0,Prs,behešt,paradise,,b
402,9263.1,,,0,OIA,*bukka-,defective,[T. 9263.1],b
403,n305,,,0,PNur,buṭa,cavity; hollow; body cavity,,b
404,n306,,,0,Prs,bura,sugar,,b
405,9293.1,,,0,OIA,busa-,chaff,[T. 9293.1],b
406,n307,,,0,Eng,b′uwt,boot,,b
407,9268.8,,,0,OIA,*boḍa-,defective,[T. 9268.8],b
408,n308,,,0,Prs,bozorg,great,,b
409,n309,,,0,PIE Root,bʱag,divide,"[Pok. 107  *bhag-1  PIE formula: *ᴘ̬-
k̰1]",bAsp
410,n310,409,n309,1,PIE Form,bʱag-o-,,,bAsp
411,n311,410,n310,2,PAr,bʱâg-a-,portion; fraction,,bAsp
412,n312,411,n311,3,PNur,bâ,,,bAsp
413,n313,410,n310,2,PAr,bʱâg-a-kka-,portion; fraction,,bAsp
414,n314,413,n313,3,PNur,bâk,,,bAsp
415,n315,409,n309,1,PIE Form,bʱag-t′o-,,,bAsp
416,n316,415,n315,2,PAr,bʱak-t′a-,food; boiled rice,,bAsp
417,n317,416,n316,3,PNur,bat,,,bAsp
418,n318,409,n309,1,PIE Form,bʱag-io-,,,bAsp
419,n319,418,n318,2,PAr,bʱâg-ya-,fortune; lot,,bAsp
420,n320,419,n319,3,PNur,bâgisṭ,,,bAsp
421,n321,419,n319,3,OIA,bʱâǰ-i-:-,cooked food,,bAsp
422,n322,409,n309,1,PIE Form,bʱag-s-,,,bAsp
423,n323,422,n322,2,PAr,bʱak-s-,bestow; forgive,,bAsp
424,9354,,,0,OIA,bʱang′a-,hemp,[T. 9354],bAsp
