Ancestor_ID,Proto_Nuristani_ID,Indo_Aryan_ID,Evidence
pii-10135,n624,10135,exact duplicated reflex + matching Strand ancestor
pii-10137,n627,10137,manually reviewed Strand ancestor and CDIAL head
pii-10234,n646,10234,exact Strand ancestor headword + matching gloss
pii-10157,n650,10157,exact duplicated reflex + matching Strand ancestor
pii-9885,n669,9885,exact duplicated reflex + matching Strand ancestor
pii-10265,n672,10265,manually reviewed Strand ancestor and CDIAL head
pii-10265,n677,10265,exact duplicated reflex + matching Strand ancestor
pii-10063,n696,10063,manually reviewed Strand ancestor and CDIAL head
pii-10063,n697,10063,manually reviewed Strand ancestor and CDIAL head
pii-9888,n700,9888,exact Strand ancestor headword + matching gloss
pii-10298,n708,10298,manually reviewed Strand ancestor and CDIAL head
pii-9886,n715,9886,exact Strand ancestor headword + matching gloss
pii-9886,n716,9886,exact Strand ancestor headword + matching gloss
pii-9804,n720,9804,exact Strand ancestor headword + matching gloss
pii-9810,n725,9810,exact Strand ancestor headword + matching gloss
pii-9810,n726,9810,exact duplicated reflex + matching Strand ancestor
pii-9793,n730,9793,exact duplicated reflex + matching Strand ancestor
pii-9899,n744,9899,exact Strand ancestor headword + matching gloss
pii-9837,n754,9837,exact duplicated reflex + matching Strand ancestor
pii-9837,n755,9837,exact Strand ancestor headword + matching gloss
pii-10104,n787,10104,exact duplicated reflex + matching Strand ancestor
pii-10104,n788,10104,exact Strand ancestor headword + matching gloss
pii-9982,n792,9982,exact duplicated reflex + matching Strand ancestor
pii-10221,n800,10221,numeric IA ancestor
pii-10258,n807,10258,exact duplicated reflex + matching Strand ancestor
pii-10250,n813,10250,exact duplicated reflex + matching Strand ancestor
pii-9712,n828,9712,exact duplicated reflex + matching Strand ancestor
pii-9926,n831,9926,exact duplicated reflex + matching Strand ancestor
pii-9926,n834,9926,manually reviewed Strand ancestor and CDIAL head
pii-9732,n839,9732,exact Strand ancestor headword + matching gloss
pii-11616,n854,11616,manually reviewed Strand ancestor and CDIAL head
pii-11840,n864,11840,manually reviewed Strand ancestor and CDIAL head
pii-11968,n882,11968,exact duplicated reflex + matching Strand ancestor
pii-11366,n893,11366,exact duplicated reflex + matching Strand ancestor
pii-11349,n906,11349,manually reviewed Strand ancestor and CDIAL head
pii-11349,n909,11349,manually reviewed Strand ancestor and CDIAL head
pii-11361,n912,11361,manually reviewed Strand ancestor and CDIAL head
pii-12071,n923,12071,exact duplicated reflex + matching Strand ancestor
pii-11565,n928,11565,exact Strand ancestor headword + matching gloss
pii-11327,n932,11327,exact Strand ancestor headword + matching gloss
pii-12073,n943,12073,exact Strand ancestor headword + matching gloss
pii-11244,n958,11244,exact duplicated reflex + matching Strand ancestor
pii-11250,n962,11250,exact duplicated reflex + matching Strand ancestor
pii-11591,n966,11591,exact duplicated reflex + matching Strand ancestor
pii-11446,n974,11446,exact duplicated reflex + matching Strand ancestor
pii-11439,n978,11439,exact duplicated reflex + matching Strand ancestor
pii-11549,n982,11549,exact duplicated reflex + matching Strand ancestor
pii-11547,n986,11547,exact duplicated reflex + matching Strand ancestor
pii-11451,n993,11451,exact duplicated reflex + matching Strand ancestor
pii-2167,n1025,2167,numeric IA ancestor
pii-2167,n1026,2167,numeric IA ancestor
pii-2136,n1037,2136,exact duplicated reflex + matching Strand ancestor
pii-1572,n1045,1572,exact duplicated reflex + matching Strand ancestor
pii-941,n1057,941,exact Strand ancestor headword + matching gloss
pii-941,n1058,941,exact Strand ancestor headword + matching gloss
pii-946,n1061,946,manually reviewed Strand ancestor and CDIAL head
pii-946,n1062,946,manually reviewed Strand ancestor and CDIAL head
pii-43,n1067,43,exact duplicated reflex + matching Strand ancestor
pii-6914,n1086,6914,exact duplicated reflex + matching Strand ancestor
pii-125,n1090,125,manually reviewed Strand ancestor and CDIAL head
pii-125,n1091,125,manually reviewed Strand ancestor and CDIAL head
pii-131,n1094,131,exact duplicated reflex + matching Strand ancestor
pii-1533,n1115,1533,exact duplicated reflex + matching Strand ancestor
pii-1533,n1116,1533,manually reviewed Strand ancestor and CDIAL head
pii-5612,n1132,5612,exact duplicated reflex + matching Strand ancestor
pii-1560,n1139,1560,manually reviewed Strand ancestor and CDIAL head
pii-5889,n1144,5889,exact duplicated reflex + matching Strand ancestor
pii-5754,n1167,5754,exact duplicated reflex + matching Strand ancestor
pii-5839,n1189,5839,exact Strand ancestor headword + matching gloss
pii-5618,n1193,5618,manually reviewed Strand ancestor and CDIAL head
pii-5695,n1199,5695,exact Strand ancestor headword + matching gloss
pii-5884,n1208,5884,exact duplicated reflex + matching Strand ancestor
pii-5803,n1212,5803,exact duplicated reflex + matching Strand ancestor
pii-5654,n1216,5654,exact duplicated reflex + matching Strand ancestor
pii-5684,n1220,5684,exact Strand ancestor headword + matching gloss
pii-5692,n1232,5692,exact duplicated reflex + matching Strand ancestor
pii-5892,n1238,5892,numeric IA ancestor
pii-5994,n1247,5994,exact duplicated reflex + matching Strand ancestor
pii-6001,n1250,6001,manually reviewed Strand ancestor and CDIAL head
pii-6019,n1255,6019,manually reviewed Strand ancestor and CDIAL head
pii-6019,n1256,6019,manually reviewed Strand ancestor and CDIAL head
pii-6047,n1259,6047,exact Strand ancestor headword + matching gloss
pii-6047,n1262,6047,manually reviewed Strand ancestor and CDIAL head
pii-6033,n1265,6033,exact duplicated reflex + matching Strand ancestor
pii-6005,n1269,6005,exact duplicated reflex + matching Strand ancestor
pii-6265,n1291,6265,exact Strand ancestor headword + matching gloss
pii-6265,n1292,6265,exact Strand ancestor headword + matching gloss
pii-6606,n1318,6606,exact Strand ancestor headword + matching gloss
pii-6590,n1322,6590,exact duplicated reflex + matching Strand ancestor
pii-6495,n1326,6495,exact Strand ancestor headword + matching gloss
pii-6227,n1336,6227,manually reviewed Strand ancestor and CDIAL head
pii-6343-2,n1343,6343-2,manually reviewed Strand ancestor and CDIAL head
pii-6621,n1352,6621,exact Strand ancestor headword + matching gloss
pii-6206,n1362,6206,exact duplicated reflex + matching Strand ancestor
pii-6305,n1365,6305,exact duplicated reflex + matching Strand ancestor
pii-6216,n1375,6216,manually reviewed Strand ancestor and CDIAL head
pii-6368,n1381,6368,exact duplicated reflex + matching Strand ancestor
pii-6368,n1382,6368,manually reviewed Strand ancestor and CDIAL head
pii-6368,n1383,6368,manually reviewed Strand ancestor and CDIAL head
pii-6112,n1387,6112,exact duplicated reflex + matching Strand ancestor
pii-12897,n1390,12897,manually reviewed Strand ancestor and CDIAL head
pii-6648,n1397,6648,exact duplicated reflex + matching Strand ancestor
pii-6648,n1398,6648,manually reviewed Strand ancestor and CDIAL head
pii-6648,n1400,6648,manually reviewed Strand ancestor and CDIAL head
pii-6658,n1403,6658,manually reviewed Strand ancestor and CDIAL head
pii-6557a,n1474,6557a,manually reviewed Strand ancestor and CDIAL head
pii-6849,n1478,6849,exact duplicated reflex + matching Strand ancestor
pii-6861,n1480,6861,exact Strand ancestor headword + matching gloss
pii-6861,n1481,6861,exact Strand ancestor headword + matching gloss
pii-6793,n1495,6793,exact duplicated reflex + matching Strand ancestor
pii-6747,n1498,6747,exact Strand ancestor headword + matching gloss
pii-6740,n1503,6740,manually reviewed Strand ancestor and CDIAL head
pii-6740,n1504,6740,manually reviewed Strand ancestor and CDIAL head
pii-6628,n1508,6628,exact duplicated reflex + matching Strand ancestor
pii-6732,n1522,6732,exact Strand ancestor headword + matching gloss
pii-6732,n1523,6732,exact Strand ancestor headword + matching gloss
pii-6783,n1534,6783,manually reviewed Strand ancestor and CDIAL head
pii-6459,n1551,6459,exact duplicated reflex + matching Strand ancestor
pii-6459,n1552,6459,manually reviewed Strand ancestor and CDIAL head
pii-6481,n1557,6481,manually reviewed Strand ancestor and CDIAL head
pii-6481,n1558,6481,exact duplicated reflex + matching Strand ancestor
pii-6640,n1562,6640,manually reviewed Strand ancestor and CDIAL head
pii-12815,n1566,12815,exact duplicated reflex + matching Strand ancestor
pii-13127,n1585,13127,exact duplicated reflex + matching Strand ancestor
pii-7467-2,n1598,7467-2,manually reviewed Strand ancestor and CDIAL head
pii-13574,n1616,13574,manually reviewed Strand ancestor and CDIAL head
pii-13574,n1617,13574,exact duplicated reflex + matching Strand ancestor
pii-13444,n1632,13444,exact duplicated reflex + matching Strand ancestor
pii-13444,n1633,13444,exact duplicated reflex + matching Strand ancestor
pii-13250,n1665,13250,exact Strand ancestor headword + matching gloss
pii-13250,n1666,13250,exact Strand ancestor headword + matching gloss
pii-13254,n1674,13254,exact duplicated reflex + matching Strand ancestor
pii-13139,n1678,13139,manually reviewed Strand ancestor and CDIAL head
pii-13146,n1681,13146,manually reviewed Strand ancestor and CDIAL head
pii-13146,n1682,13146,manually reviewed Strand ancestor and CDIAL head
pii-13173,n1688,13173,manually reviewed Strand ancestor and CDIAL head
pii-13470,n1702,13470,exact Strand ancestor headword + matching gloss
pii-13519,n1707,13519,exact duplicated reflex + matching Strand ancestor
pii-13519,n1708,13519,manually reviewed Strand ancestor and CDIAL head
pii-13290,n1710,13290,manually reviewed Strand ancestor and CDIAL head
pii-12753,n1719,12753,manually reviewed Strand ancestor and CDIAL head
pii-12753,n1720,12753,manually reviewed Strand ancestor and CDIAL head
pii-12759,n1725,12759,exact duplicated reflex + matching Strand ancestor
pii-12812,n1735,12812,manually reviewed Strand ancestor and CDIAL head
pii-12812,n1736,12812,manually reviewed Strand ancestor and CDIAL head
pii-13913,n1744,13913,exact duplicated reflex + matching Strand ancestor
pii-13913,n1745,13913,exact Strand ancestor headword + matching gloss
pii-13918,n1748,13918,exact duplicated reflex + matching Strand ancestor
pii-13918,n1749,13918,manually reviewed Strand ancestor and CDIAL head
pii-8846,n1760,8846,exact duplicated reflex + matching Strand ancestor
pii-12555,n1773,12555,exact Strand ancestor headword + matching gloss
pii-13276,n1785,13276,exact Strand ancestor headword + matching gloss
pii-13276,n1786,13276,exact duplicated reflex + matching Strand ancestor
pii-13276,n1789,13276,exact Strand ancestor headword + matching gloss
pii-5041,n1803,5041,manually reviewed Strand ancestor and CDIAL head
pii-5039,n1806,5039,manually reviewed Strand ancestor and CDIAL head
pii-7180,n1818,7180,manually reviewed Strand ancestor and CDIAL head
pii-4979,n1820,4979,numeric IA ancestor
pii-1804,n1837,1804,exact duplicated reflex + matching Strand ancestor
pii-1804,n1838,1804,manually reviewed Strand ancestor and CDIAL head
pii-13773,n1847,13773,manually reviewed Strand ancestor and CDIAL head
pii-12702,n1853,12702,manually reviewed Strand ancestor and CDIAL head
pii-13774,n1856,13774,manually reviewed Strand ancestor and CDIAL head
pii-13731,n1867,13731,manually reviewed Strand ancestor and CDIAL head
pii-12655,n1876,12655,manually reviewed Strand ancestor and CDIAL head
pii-1507,n1880,1507,exact duplicated reflex + matching Strand ancestor
pii-1507,n1883,1507,exact Strand ancestor headword + matching gloss
pii-13685,n1886,13685,exact duplicated reflex + matching Strand ancestor
pii-1505,n1890,1505,exact Strand ancestor headword + matching gloss
pii-1509,n1893,1509,exact duplicated reflex + matching Strand ancestor
pii-12011,n1900,12011,exact duplicated reflex + matching Strand ancestor
pii-5731,n1904,5731,exact duplicated reflex + matching Strand ancestor
pii-13766,n1907,13766,manually reviewed Strand ancestor and CDIAL head
pii-13682,n1913,13682,exact Strand ancestor headword + matching gloss
pii-9028,n1946,9028,manually reviewed Strand ancestor and CDIAL head
pii-9028,n1952,9028,exact duplicated reflex + matching Strand ancestor
pii-10947,n2001,10947,exact duplicated reflex + matching Strand ancestor
pii-10938,n2004,10938,exact Strand ancestor headword + matching gloss
pii-11906,n2024,11906,exact duplicated reflex + matching Strand ancestor
pii-11053-3,n2029,11053-3,manually reviewed Strand ancestor and CDIAL head
pii-11066,n2033,11066,exact Strand ancestor headword + matching gloss
pii-10988,n2037,10988,exact duplicated reflex + matching Strand ancestor
pii-827,n2073,827,exact duplicated reflex + matching Strand ancestor
pii-827,n2076,827,exact duplicated reflex + matching Strand ancestor
pii-10512,n2095,10512,exact duplicated reflex + matching Strand ancestor
pii-6906,n2103,6906,exact duplicated reflex + matching Strand ancestor
pii-357,n2143,357,exact duplicated reflex + matching Strand ancestor
pii-7089,n2163,7089,exact duplicated reflex + matching Strand ancestor
pii-7059,n2178,7059,manually reviewed Strand ancestor and CDIAL head
pii-7083,n2192,7083,exact Strand ancestor headword + matching gloss
pii-7185,n2208,7185,exact duplicated reflex + matching Strand ancestor
pii-7025,n2212,7025,exact Strand ancestor headword + matching gloss
pii-7025,n2213,7025,exact duplicated reflex + matching Strand ancestor
pii-7022,n2216,7022,exact duplicated reflex + matching Strand ancestor
pii-7046,n2237,7046,exact duplicated reflex + matching Strand ancestor
pii-6943,n2241,6943,exact duplicated reflex + matching Strand ancestor
pii-6954,n2248,6954,exact duplicated reflex + matching Strand ancestor
pii-6955a,n2251,6955a,exact Strand ancestor headword + matching gloss
pii-10652,n2312,10652,exact Strand ancestor headword + matching gloss
pii-10566,n2315,10566,numeric IA ancestor
pii-11107,n2337,11107,manually reviewed Strand ancestor and CDIAL head
pii-10772,n2341,10772,exact Strand ancestor headword + matching gloss
pii-2445,n2378,2445,exact duplicated reflex + matching Strand ancestor
pii-12426,n2387,12426,numeric IA ancestor
pii-12405,n2392,12405,numeric IA ancestor
pii-13386,n2399,13386,numeric IA ancestor
pii-12766,n2426,12766,numeric IA ancestor
pii-5355,n2445,5355,numeric IA ancestor
pii-5355,n2446,5355,numeric IA ancestor
pii-10442,n2473,10442,numeric IA ancestor
pii-2485,n2488,2485,manually reviewed Strand ancestor and CDIAL head
pii-2485,n2489,2485,manually reviewed Strand ancestor and CDIAL head
pii-2485,n2490,2485,manually reviewed Strand ancestor and CDIAL head
pii-10431,n2544,10431,manually reviewed Strand ancestor and CDIAL head
pii-10499,n2548,10499,exact duplicated reflex + matching Strand ancestor
pii-10394,n2552,10394,manually reviewed Strand ancestor and CDIAL head
pii-10396,n2558,10396,exact duplicated reflex + matching Strand ancestor
pii-10453-3,n2562,10453-3,manually reviewed Strand ancestor and CDIAL head
pii-10418,n2588,10418,exact duplicated reflex + matching Strand ancestor
pii-992,n2600,992,manually reviewed Strand ancestor and CDIAL head
pii-643,n2607,643,exact Strand ancestor headword + matching gloss
pii-644,n2609,644,exact Strand ancestor headword + matching gloss
pii-6152,n2630,6152,exact duplicated reflex + matching Strand ancestor
pii-6984,n2645,6984,exact duplicated reflex + matching Strand ancestor
pii-6998,n2647,6998,manually reviewed Strand ancestor and CDIAL head
pii-6998,n2648,6998,manually reviewed Strand ancestor and CDIAL head
pii-6955c,n2655,6955c,exact Strand ancestor headword + matching gloss
pii-6955c,n2657,6955c,manually reviewed Strand ancestor and CDIAL head
pii-7067,n2661,7067,exact duplicated reflex + matching Strand ancestor
pii-1135,n2665,1135,exact Strand ancestor headword + matching gloss
pii-1313,n2673,1313,exact duplicated reflex + matching Strand ancestor
pii-12376,n2677,12376,exact duplicated reflex + matching Strand ancestor
pii-12427,n2683,12427,exact duplicated reflex + matching Strand ancestor
pii-5072,n2698,5072,manually reviewed Strand ancestor and CDIAL head
pii-12762,n2723,12762,manually reviewed Strand ancestor and CDIAL head
pii-12762,n2724,12762,manually reviewed Strand ancestor and CDIAL head
pii-12567,n2727,12567,exact duplicated reflex + matching Strand ancestor
pii-4952,n2731,4952,manually reviewed Strand ancestor and CDIAL head
pii-12248,n2734,12248,exact duplicated reflex + matching Strand ancestor
pii-1849,n2746,1849,exact duplicated reflex + matching Strand ancestor
pii-12341,n2771,12341,exact duplicated reflex + matching Strand ancestor
pii-14152,n2776,14152,manually reviewed Strand ancestor and CDIAL head
pii-14152,n2777,14152,manually reviewed Strand ancestor and CDIAL head
pii-14152,n2780,14152,manually reviewed Strand ancestor and CDIAL head
pii-14152,n2781,14152,exact duplicated reflex + matching Strand ancestor
pii-12370,n2825,12370,exact duplicated reflex + matching Strand ancestor
pii-12651,n2829,12651,exact duplicated reflex + matching Strand ancestor
pii-12703,n2859,12703,manually reviewed Strand ancestor and CDIAL head
pii-12696,n2863,12696,exact duplicated reflex + matching Strand ancestor
pii-12729,n2871,12729,manually reviewed Strand ancestor and CDIAL head
pii-5151,n2879,5151,exact Strand ancestor headword + matching gloss
pii-1113,n2883,1113,manually reviewed Strand ancestor and CDIAL head
pii-5105,n2886,5105,manually reviewed Strand ancestor and CDIAL head
pii-5113,n2889,5113,manually reviewed Strand ancestor and CDIAL head
pii-5109,n2892,5109,exact Strand ancestor headword + matching gloss
pii-5204,n2895,5204,exact duplicated reflex + matching Strand ancestor
pii-5182,n2898,5182,exact duplicated reflex + matching Strand ancestor
pii-1091,n2902,1091,exact Strand ancestor headword + matching gloss
pii-5193,n2904,5193,exact Strand ancestor headword + matching gloss
pii-5195,n2908,5195,exact Strand ancestor headword + matching gloss
pii-5198,n2912,5198,exact duplicated reflex + matching Strand ancestor
pii-5137,n2921,5137,exact duplicated reflex + matching Strand ancestor
pii-14117,n2922,14117,numeric IA ancestor
pii-13976,n2926,13976,exact duplicated reflex + matching Strand ancestor
pii-13978,n2929,13978,manually reviewed Strand ancestor and CDIAL head
pii-14096,n2932,14096,exact duplicated reflex + matching Strand ancestor
pii-14107,n2935,14107,manually reviewed Strand ancestor and CDIAL head
pii-14024,n2939,14024,exact duplicated reflex + matching Strand ancestor
pii-14024,n2940,14024,manually reviewed Strand ancestor and CDIAL head
pii-13307,n2944,13307,manually reviewed Strand ancestor and CDIAL head
pii-13981,n2948,13981,exact duplicated reflex + matching Strand ancestor
pii-13981,n2949,13981,manually reviewed Strand ancestor and CDIAL head
pii-13982,n2956,13982,manually reviewed Strand ancestor and CDIAL head
pii-3480,n2975,3480,manually reviewed Strand ancestor and CDIAL head
pii-3480,n2976,3480,manually reviewed Strand ancestor and CDIAL head
pii-2589,n2978,2589,numeric IA ancestor
pii-2589,n2979,2589,numeric IA ancestor
pii-12654,n3023,12654,manually reviewed Strand ancestor and CDIAL head
pii-3112,n3049,3112,numeric IA ancestor
pii-3112,n3050,3112,numeric IA ancestor
pii-3210,n3076,3210,manually reviewed Strand ancestor and CDIAL head
pii-3539,n3085,3539,manually reviewed Strand ancestor and CDIAL head
pii-3539,n3088,3539,manually reviewed Strand ancestor and CDIAL head
pii-3213,n3091,3213,exact duplicated reflex + matching Strand ancestor
pii-4684,n3121,4684,manually reviewed Strand ancestor and CDIAL head
pii-2856,n3136,2856,manually reviewed Strand ancestor and CDIAL head
pii-2856,n3139,2856,exact duplicated reflex + matching Strand ancestor
pii-2856,n3140,2856,exact Strand ancestor headword + matching gloss
pii-2631,n3143,2631,exact duplicated reflex + matching Strand ancestor
pii-2852,n3144,2852,exact duplicated reflex + matching Strand ancestor
pii-2853,n3152,2853,manually reviewed Strand ancestor and CDIAL head
pii-3069,n3155,3069,exact duplicated reflex + matching Strand ancestor
pii-2860,n3158,2860,exact duplicated reflex + matching Strand ancestor
pii-2718,n3171,2718,exact duplicated reflex + matching Strand ancestor
pii-13073,n3175,13073,manually reviewed Strand ancestor and CDIAL head
pii-3369,n3197,3369,numeric IA ancestor
pii-2593,n3203,2593,exact duplicated reflex + matching Strand ancestor
pii-3605,n3209,3605,numeric IA ancestor
pii-11654,n3231,11654,manually reviewed Strand ancestor and CDIAL head
pii-4190,n3280,4190,exact Strand ancestor headword + matching gloss
pii-4353,n3283,4353,manually reviewed Strand ancestor and CDIAL head
pii-4350,n3286,4350,manually reviewed Strand ancestor and CDIAL head
pii-4396,n3297,4396,numeric IA ancestor
pii-14185,n3330,14185,manually reviewed Strand ancestor and CDIAL head
pii-14185,n3331,14185,manually reviewed Strand ancestor and CDIAL head
pii-4236,n3335,4236,manually reviewed Strand ancestor and CDIAL head
pii-726,n3370,726,exact duplicated reflex + matching Strand ancestor
pii-726,n3371,726,exact duplicated reflex + matching Strand ancestor
pii-11511,n3375,11511,exact duplicated reflex + matching Strand ancestor
pii-11507,n3378,11507,exact Strand ancestor headword + matching gloss
pii-11589,n3381,11589,manually reviewed Strand ancestor and CDIAL head
pii-11588a,n3384,11588a,exact duplicated reflex + matching Strand ancestor
pii-1869,n3397,1869,exact duplicated reflex + matching Strand ancestor
pii-11495,n3406,11495,exact Strand ancestor headword + matching gloss
pii-1452,n3415,1452,manually reviewed Strand ancestor and CDIAL head
pii-8966,n3417,8966,manually reviewed Strand ancestor and CDIAL head
pii-919,n3421,919,exact duplicated reflex + matching Strand ancestor
pii-636,n3426,636,numeric IA ancestor
pii-1103,n3427,1103,numeric IA ancestor
pii-1103,n3428,1103,numeric IA ancestor
pii-200,n3432,200,exact duplicated reflex + matching Strand ancestor
pii-2457,n3438,2457,manually reviewed Strand ancestor and CDIAL head
pii-192,n3442,192,manually reviewed Strand ancestor and CDIAL head
pii-192,n3443,192,manually reviewed Strand ancestor and CDIAL head
pii-114,n3454,114,manually reviewed Strand ancestor and CDIAL head
pii-135,n3457,135,exact duplicated reflex + matching Strand ancestor
pii-109,n3459,109,exact duplicated reflex + matching Strand ancestor
pii-138,n3465,138,exact duplicated reflex + matching Strand ancestor
pii-356,n3470,356,exact duplicated reflex + matching Strand ancestor
pii-356,n3471,356,exact duplicated reflex + matching Strand ancestor
pii-374,n3473,374,manually reviewed Strand ancestor and CDIAL head
pii-377,n3476,377,manually reviewed Strand ancestor and CDIAL head
pii-377,n3477,377,manually reviewed Strand ancestor and CDIAL head
pii-377,n3478,377,manually reviewed Strand ancestor and CDIAL head
pii-386,n3482,386,exact duplicated reflex + matching Strand ancestor
pii-434,n3502,434,exact Strand ancestor headword + matching gloss
pii-434,n3503,434,exact Strand ancestor headword + matching gloss
pii-434,n3504,434,exact Strand ancestor headword + matching gloss
pii-1476,n3543,1476,exact duplicated reflex + matching Strand ancestor
pii-1388,n3553,1388,exact Strand ancestor headword + matching gloss
pii-407-2,n3565,407-2,exact Strand ancestor headword + matching gloss
pii-407-2,n3566,407-2,exact Strand ancestor headword + matching gloss
pii-3135,n3577,3135,exact duplicated reflex + matching Strand ancestor
pii-2779,n3589,2779,manually reviewed Strand ancestor and CDIAL head
pii-2790,n3592,2790,exact duplicated reflex + matching Strand ancestor
pii-3066,n3603,3066,exact duplicated reflex + matching Strand ancestor
pii-2814,n3606,2814,manually reviewed Strand ancestor and CDIAL head
pii-2814,n3607,2814,manually reviewed Strand ancestor and CDIAL head
pii-2814,n3608,2814,manually reviewed Strand ancestor and CDIAL head
pii-4655,n3614,4655,exact duplicated reflex + matching Strand ancestor
pii-4605,n3617,4605,manually reviewed Strand ancestor and CDIAL head
pii-4605,n3618,4605,manually reviewed Strand ancestor and CDIAL head
pii-4605,n3619,4605,manually reviewed Strand ancestor and CDIAL head
pii-4600,n3625,4600,exact duplicated reflex + matching Strand ancestor
pii-4600,n3626,4600,manually reviewed Strand ancestor and CDIAL head
pii-4715,n3630,4715,manually reviewed Strand ancestor and CDIAL head
pii-4714,n3633,4714,manually reviewed Strand ancestor and CDIAL head
pii-3330,n3659,3330,exact duplicated reflex + matching Strand ancestor
