PDF_Page	Printed_Page	Page_Line	Item	Gloss	Site	Similarity_Group	Extracted_Form	Record_Type	Extraction_Note
37	27	38	2	sun	Rongtheang, E K A	3	ʌ̆ɾni	response	
37	27	39	2	sun	Sunajoli, Lakhimpur	3	ʌ̆ɾni	response	
37	27	40	2	sun	Mikirgaon, Nagaon	3	ʌ̆ɾni	response	
37	27	41	2	sun	Sardoka Ingti, E K A	3	ʌ̆ɾni	response	
37	27	44	3	moon	Holanki, Papumpare AP	2	tʃekɭo	response	
37	27	45	3	moon	S Cherrapunjee	3	bnai	response	
37	27	46	3	moon	Hajarongpi, E K A	2	tʃekɭo	response	
37	27	47	3	moon	Amguri, Kamrup	2	tʃĭklo	response	
37	27	48	3	moon	PaboiMisamari, Sonitpur	2	tʃikɭo	response	
37	27	49	3	moon	Maina Kharong, Kamrup	2	tʃikɭo	response	
37	27	50	3	moon	RongjariPlasha, Ri-Bhoi	2	tʃĭklo	response	
37	27	51	3	moon	Assamese, Dibrugarh	1	dʒun	response	
37	27	52	3	moon	Amguri, W K A	2	tʃikɭo	response	
37	27	53	3	moon	Sermansingner, E K A	2	tʃekɭo	response	
37	27	54	3	moon	Langhemphi, W K A	2	tʃikɭo	response	
37	27	55	3	moon	Umrinti, W K A	2	tʃikɭo	response	
37	27	56	3	moon	Bankri, W K A	2	tʃekɭo	response	
37	27	57	3	moon	Rongtheang, E K A	2	tʃĭklo	response	
37	27	58	3	moon	Sunajoli, Lakhimpur	2	tʃekɭo	response	
37	27	59	3	moon	Mikirgaon, Nagaon	2	tʃĭklo	response	
37	27	60	3	moon	Sardoka Ingti, E K A	2	tʃikɭo	response	
37	27	63	4	star	Holanki, Papumpare AP	1	tʃekɭoloŋso	response	
37	27	64	4	star	S Cherrapunjee	4	khɭuɾ	response	
37	27	65	4	star	Hajarongpi, E K A	1	tʃekɭoloŋso	response	
37	27	66	4	star	Amguri, Kamrup	1	tʃĭklolʌ̆ŋso	response	
37	27	67	4	star	PaboiMisamari, Sonitpur	1	tʃikɭoloŋso	response	
37	27	68	4	star	Maina Kharong, Kamrup	1	tʃikɭoɾaŋʃo	response	
37	27	69	4	star	RongjariPlasha, Ri-Bhoi	1	tʃĭklolʌ̆ŋso	response	
37	27	70	4	star	Assamese, Dibrugarh	3	tɔɾʌ̆	response	
37	27	71	4	star	Amguri, W K A	1	tʃekɭoloŋso	response	
37	27	72	4	star	Amguri, W K A	1	tʃĭkɭomaloŋso	response	
37	27	73	4	star	Sermansingner, E K A	1	tʃekɭoloŋso	response	
37	27	74	4	star	Langhemphi, W K A	1	tʃikɭoloŋso	response	
37	27	75	4	star	Umrinti, W K A	1	tʃekɭoloŋso	response	
37	27	76	4	star	Bankri, W K A	1	tʃekɭoloŋso	response	
37	27	77	4	star	Bankri, W K A	1	tʃekɭomaloŋso	response	
37	27	78	4	star	Rongtheang, E K A	1	tsĭkɭoloŋso	response	
37	27	79	4	star	Sunajoli, Lakhimpur	1	tʃekɭoloŋso	response	
37	27	80	4	star	Mikirgaon, Nagaon	1	tʃiklomaloŋso	response	
37	27	81	4	star	Sardoka Ingti, E K A	1	tʃikɭoloŋso	response	
38	28	4	5	cloud	Holanki, Papumpare AP	2	ĭnhŭn	response	
38	28	5	5	cloud	S Cherrapunjee	3	loʔo	response	
38	28	6	5	cloud	Hajarongpi, E K A	2	ĭŋhŭn	response	
38	28	7	5	cloud	Amguri, Kamrup	2	ĭnhŭn	response	
38	28	8	5	cloud	PaboiMisamari, Sonitpur	2	ĭnhŭn	response	
38	28	9	5	cloud	Maina Kharong, Kamrup	2	ĭnhun	response	
38	28	10	5	cloud	RongjariPlasha, Ri-Bhoi	2	ĭnhŭn	response	
38	28	11	5	cloud	Assamese, Dibrugarh	1	ɖʌ̆uɾ	response	
38	28	12	5	cloud	Amguri, W K A	2	ĭnhŭn	response	
38	28	13	5	cloud	Sermansingner, E K A	2	ĭŋhŭn	response	
38	28	14	5	cloud	Langhemphi, W K A	2	ĭŋhŭn	response	
38	28	15	5	cloud	Umrinti, W K A	2	ĭŋhŭn	response	
38	28	16	5	cloud	Bankri, W K A	2	ĭnhŭn	response	
38	28	17	5	cloud	Rongtheang, E K A	2	ĭŋhŭn	response	
38	28	18	5	cloud	Sunajoli, Lakhimpur	2	ĭnhŭn	response	
38	28	19	5	cloud	Mikirgaon, Nagaon	2	ĭnhŭn	response	
38	28	20	5	cloud	Sardoka Ingti, E K A	2	ĭnhŭn	response	
38	28	23	6	rain	Holanki, Papumpare AP	3	ʌ̆ɾʋe	response	
38	28	24	6	rain	S Cherrapunjee	4	slap	response	
38	28	25	6	rain	Hajarongpi, E K A	3	ʌ̆ɾʋe	response	
38	28	26	6	rain	Amguri, Kamrup	3	ʌ̆ɾwe	response	
38	28	27	6	rain	PaboiMisamari, Sonitpur	3	ʌ̆ɾʋe	response	
38	28	28	6	rain	Maina Kharong, Kamrup	3	aɾʋe	response	
38	28	29	6	rain	RongjariPlasha, Ri-Bhoi	3	ʌ̆ɾwe	response	
38	28	30	6	rain	Assamese, Dibrugarh	1	boɾəkhun	response	
38	28	31	6	rain	Amguri, W K A	3	ʌ̆ɾʋe	response	
38	28	32	6	rain	Sermansingner, E K A	3	ʌ̆ɾʋe	response	
38	28	33	6	rain	Langhemphi, W K A	3	ʌ̆ɾʋe	response	
38	28	34	6	rain	Umrinti, W K A	3	ʌ̆ɾʋe	response	
38	28	35	6	rain	Bankri, W K A	3	ʌ̆ɾʋe	response	
38	28	36	6	rain	Rongtheang, E K A	3	ʌ̆ɾʋe	response	
38	28	37	6	rain	Sunajoli, Lakhimpur	3	ʌ̆ɾʋe	response	
38	28	38	6	rain	Mikirgaon, Nagaon	3	ʌ̆ɾʋe	response	
38	28	39	6	rain	Sardoka Ingti, E K A	3	ʌ̆ɾʋe	response	
38	28	42	7	rainbow	Holanki, Papumpare AP	1	mukak	response	
38	28	43	7	rainbow	Holanki, Papumpare AP	2	mukak	response	
38	28	44	7	rainbow	S Cherrapunjee	4	sĭmpĭlĭjan	response	
38	28	45	7	rainbow	Hajarongpi, E K A	1	mukaʔ	response	
38	28	46	7	rainbow	Amguri, Kamrup	3	ɾamdɦĕnu	response	
38	28	47	7	rainbow	PaboiMisamari, Sonitpur	3	ɾamdɦĕnu	response	
38	28	48	7	rainbow	Maina Kharong, Kamrup	3	ɾamdɦĕnu	response	
38	28	49	7	rainbow	RongjariPlasha, Ri-Bhoi	1	muka	response	
38	28	50	7	rainbow	Assamese, Dibrugarh	3	ɾamd̪ɦʌ̆nu	response	
38	28	51	7	rainbow	Amguri, W K A	1	mukaʔ	response	
38	28	52	7	rainbow	Sermansingner, E K A	1	mukaʔ	response	
38	28	53	7	rainbow	Langhemphi, W K A	1	mukak	response	
38	28	54	7	rainbow	Langhemphi, W K A	2	mukak	response	
38	28	55	7	rainbow	Umrinti, W K A	1	mukak	response	
38	28	56	7	rainbow	Umrinti, W K A	2	mukak	response	
38	28	57	7	rainbow	Bankri, W K A	2	ʋokak	response	
38	28	58	7	rainbow	Bankri, W K A	6	ʋokakitːu	response	
38	28	59	7	rainbow	Rongtheang, E K A	1	mukaʔ	response	
38	28	60	7	rainbow	Sunajoli, Lakhimpur	1	mukak	response	
38	28	61	7	rainbow	Sunajoli, Lakhimpur	2	mukak	response	
38	28	62	7	rainbow	Mikirgaon, Nagaon	3	ɾamdɦĕnu	response	
38	28	63	7	rainbow	Sardoka Ingti, E K A	7	ʌ̆ɾnamʌ̆bokaʔ	response	
38	28	66	8	wind	Holanki, Papumpare AP	2	t̪omon	response	
38	28	67	8	wind	S Cherrapunjee	3	lejʌ̆ɾ	response	
38	28	68	8	wind	Hajarongpi, E K A	2	t̪omon	response	
38	28	69	8	wind	Amguri, Kamrup	2	t̪omon	response	
38	28	70	8	wind	PaboiMisamari, Sonitpur	2	t̪omon	response	
38	28	71	8	wind	Maina Kharong, Kamrup	2	t̪omon	response	
38	28	72	8	wind	RongjariPlasha, Ri-Bhoi	2	t̪omon	response	
38	28	73	8	wind	Assamese, Dibrugarh	1	boʈʌ̆	response	
38	28	74	8	wind	Amguri, W K A	2	t̪omon	response	
38	28	75	8	wind	Sermansingner, E K A	2	t̪omon	response	
38	28	76	8	wind	Langhemphi, W K A	2	t̪omon	response	
38	28	77	8	wind	Umrinti, W K A	2	t̪emon	response	
38	28	78	8	wind	Umrinti, W K A	2	t̪omon	response	
38	28	79	8	wind	Bankri, W K A	2	t̪omon	response	
38	28	80	8	wind	Rongtheang, E K A	2	t̪omon	response	
38	28	81	8	wind	Sunajoli, Lakhimpur	2	t̪omon	response	
38	28	82	8	wind	Mikirgaon, Nagaon	2	t̪omon	response	
38	28	83	8	wind	Sardoka Ingti, E K A	2	t̪emon	response	
39	29	4	9	lightning	Holanki, Papumpare AP	3	sĭnĭŋkʌ̆beɾlak	response	
39	29	5	9	lightning	S Cherrapunjee	5	lĕjlĕ	response	
39	29	6	9	lightning	Hajarongpi, E K A	3	sĭniŋkĭbĭɾɭaʔ	response	
39	29	7	9	lightning	Amguri, Kamrup	3	beɾloŋ	response	
39	29	8	9	lightning	Amguri, Kamrup	4	meʌ̆t̪uɾ	response	
39	29	9	9	lightning	PaboiMisamari, Sonitpur	3	ɕĭniŋbĭɾlak	response	
39	29	10	9	lightning	Maina Kharong, Kamrup	3	kibiɾĭlaŋ	response	
39	29	11	9	lightning	RongjariPlasha, Ri-Bhoi	3	suniŋkʌ̆baɾlaŋ	response	
39	29	12	9	lightning	Assamese, Dibrugarh	1	bidʒuli	response	
39	29	13	9	lightning	Amguri, W K A	3	sĭniŋkʌ̆bĭɾlak	response	
39	29	14	9	lightning	Sermansingner, E K A	3	sĭnĭŋkĭbĕɾlag	response	
39	29	15	9	lightning	Langhemphi, W K A	3	sĭnĭŋkʌ̆beɾlak	response	
39	29	16	9	lightning	Umrinti, W K A	2	sĭniŋʌ̆miʔ	response	
39	29	17	9	lightning	Umrinti, W K A	3	sĭnĭŋkʌ̆beɾlak	response	
39	29	18	9	lightning	Bankri, W K A	3	sĭniŋkʌ̆bĭɾlak	response	
39	29	19	9	lightning	Rongtheang, E K A	2	sĭniŋʌ̆meʔ	response	
39	29	20	9	lightning	Sunajoli, Lakhimpur	3	sĭniŋkʌ̆bĭɾlak	response	
39	29	21	9	lightning	Mikirgaon, Nagaon	3	tʃĭniŋkĭbʌ̆ɾlak	response	
39	29	22	9	lightning	Sardoka Ingti, E K A	3	sĭnĭŋkĭbiɾlak	response	
39	29	25	10	thunder	Holanki, Papumpare AP	2	sĭnĭŋkʌ̆ŋdeɾ	response	
39	29	26	10	thunder	S Cherrapunjee	5	poɾthat	response	
39	29	27	10	thunder	Hajarongpi, E K A	2	kʌ̆ŋteɾ	response	
39	29	28	10	thunder	Amguri, Kamrup	2	sŭniŋkʌ̆ŋdeɾ	response	
39	29	29	10	thunder	PaboiMisamari, Sonitpur	2	ɕĭniŋkʌ̆ŋdeɾ	response	
39	29	30	10	thunder	Maina Kharong, Kamrup	3	suniŋĭŋɾiŋdoʔ	response	
39	29	31	10	thunder	RongjariPlasha, Ri-Bhoi	1	siteɾ	response	
39	29	32	10	thunder	Assamese, Dibrugarh	4	ɖɦumuha	response	
39	29	33	10	thunder	Amguri, W K A	2	sĭnĭŋkʌ̆ŋdeɾ	response	
39	29	34	10	thunder	Sermansingner, E K A	2	sĭnĭŋkʌ̆ŋdeɾ	response	
39	29	35	10	thunder	Langhemphi, W K A	2	sĭnĭŋkʌ̆ŋdeɾ	response	
39	29	36	10	thunder	Umrinti, W K A	2	sĭnĭŋkʌ̆ŋdeɾ	response	
39	29	37	10	thunder	Bankri, W K A	2	sĭnĭŋkʌ̆ŋdeɾ	response	
39	29	38	10	thunder	Rongtheang, E K A	2	tʃĭneŋkʌ̆ŋder	response	
39	29	39	10	thunder	Sunajoli, Lakhimpur	2	sĭnĭŋkʌ̆ŋdeɾ	response	
39	29	40	10	thunder	Mikirgaon, Nagaon	2	ɕĭniŋkʌ̆ŋdeɾ	response	
39	29	41	10	thunder	Sardoka Ingti, E K A	2	sĭnĭŋkʌ̆ŋdeɾ	response	
39	29	44	11	sea	Holanki, Papumpare AP	3	t̪alo	response	
39	29	45	11	sea	S Cherrapunjee	7	duɾio	response	
39	29	46	11	sea	Hajarongpi, E K A	1	laŋpi	response	
39	29	47	11	sea	Amguri, Kamrup	5	lʌŋloɾl	response	
39	29	48	11	sea	PaboiMisamari, Sonitpur	6	lut	response	
39	29	49	11	sea	Maina Kharong, Kamrup	2	nodipe	response	
39	29	50	11	sea	RongjariPlasha, Ri-Bhoi	1	lʌ̆ŋpeʔ	response	
39	29	51	11	sea	Assamese, Dibrugarh	4	hʌ̆goɾ	response	
39	29	52	11	sea	Amguri, W K A	3	t̪alo	response	
39	29	53	11	sea	Sermansingner, E K A	1	laŋpi	response	
39	29	54	11	sea	Sermansingner, E K A	4	hagoɾ	response	
39	29	55	11	sea	Langhemphi, W K A	3	t̪alo	response	
39	29	56	11	sea	Umrinti, W K A	3	t̪alo	response	
39	29	57	11	sea	Bankri, W K A	3	t̪alu	response	
39	29	58	11	sea	Bankri, W K A	4	hagoɾ	response	
39	29	59	11	sea	Rongtheang, E K A	3	t̪alu	response	
39	29	60	11	sea	Sunajoli, Lakhimpur	1	laŋpi	response	
39	29	61	11	sea	Mikirgaon, Nagaon	4	hʌ̆goɾ	response	
39	29	62	11	sea	Sardoka Ingti, E K A	1	laŋpi	response	
39	29	65	12	mountain	Holanki, Papumpare AP	3	ĭŋloŋ	response	
39	29	66	12	mountain	S Cherrapunjee	5	lum	response	
39	29	67	12	mountain	Hajarongpi, E K A	3	ĭŋloŋ	response	
39	29	68	12	mountain	Amguri, Kamrup	4	iŋloŋkaɾtul	response	
39	29	69	12	mountain	PaboiMisamari, Sonitpur	3	ĭŋloŋ	response	
39	29	70	12	mountain	Maina Kharong, Kamrup	3	iŋloŋ	response	
39	29	71	12	mountain	RongjariPlasha, Ri-Bhoi	3	iŋloŋ	response	
39	29	72	12	mountain	Assamese, Dibrugarh	1	pʌhaɾ	response	
39	29	73	12	mountain	Assamese, Dibrugarh	2	poɾbot̪	response	
39	29	74	12	mountain	Amguri, W K A	3	ĭŋloŋ	response	
39	29	75	12	mountain	Sermansingner, E K A	3	ĭŋloŋ	response	
39	29	76	12	mountain	Langhemphi, W K A	3	ĭŋloŋ	response	
39	29	77	12	mountain	Umrinti, W K A	3	ĭŋloŋ	response	
39	29	78	12	mountain	Bankri, W K A	3	ĭŋloŋ	response	
39	29	79	12	mountain	Rongtheang, E K A	3	ĭŋloŋpi	response	
39	29	80	12	mountain	Sunajoli, Lakhimpur	3	ĭŋloŋ	response	
39	29	81	12	mountain	Mikirgaon, Nagaon	3	ĭŋloŋ	response	
39	29	82	12	mountain	Sardoka Ingti, E K A	3	ĭŋloŋ	response	
40	30	4	13	water	Holanki, Papumpare AP	2	laŋ	response	
40	30	5	13	water	S Cherrapunjee	3	ɔm	response	
40	30	6	13	water	Hajarongpi, E K A	2	laŋ	response	
40	30	7	13	water	Amguri, Kamrup	2	laŋ	response	
40	30	8	13	water	PaboiMisamari, Sonitpur	2	laŋ	response	
40	30	9	13	water	Maina Kharong, Kamrup	2	laŋ	response	
40	30	10	13	water	RongjariPlasha, Ri-Bhoi	2	laŋ	response	
40	30	11	13	water	Assamese, Dibrugarh	1	pani	response	
40	30	12	13	water	Amguri, W K A	2	laŋ	response	
40	30	13	13	water	Sermansingner, E K A	2	laŋ	response	
40	30	14	13	water	Langhemphi, W K A	2	laŋ	response	
40	30	15	13	water	Umrinti, W K A	2	laŋ	response	
40	30	16	13	water	Bankri, W K A	2	laŋ	response	
40	30	17	13	water	Rongtheang, E K A	2	laŋ	response	
40	30	18	13	water	Sunajoli, Lakhimpur	2	laŋ	response	
40	30	19	13	water	Mikirgaon, Nagaon	2	laŋ	response	
40	30	20	13	water	Sardoka Ingti, E K A	2	laŋ	response	
40	30	23	14	river	Holanki, Papumpare AP	5	laŋɾoi	response	
40	30	24	14	river	S Cherrapunjee	8	wa	response	
40	30	25	14	river	Hajarongpi, E K A	5	laŋɾoi	response	
40	30	26	14	river	Amguri, Kamrup	4	digɾoʔ	response	
40	30	27	14	river	PaboiMisamari, Sonitpur	5	laŋɾoi	response	
40	30	28	14	river	Maina Kharong, Kamrup	6	laŋheʔ	response	
40	30	29	14	river	RongjariPlasha, Ri-Bhoi	3	lʌ̆ŋ	response	
40	30	30	14	river	Assamese, Dibrugarh	1	nɔj	response	
40	30	31	14	river	Assamese, Dibrugarh	2	nod̪i	response	
40	30	32	14	river	Amguri, W K A	5	laŋɾoi	response	
40	30	33	14	river	Sermansingner, E K A	5	laŋɾoi	response	
40	30	34	14	river	Sermansingner, E K A	5	laŋso	response	
40	30	35	14	river	Langhemphi, W K A	5	laŋɾoi	response	
40	30	36	14	river	Umrinti, W K A	5	laŋɾoi	response	
40	30	37	14	river	Bankri, W K A	5	laŋɾoi	response	
40	30	38	14	river	Rongtheang, E K A	5	laŋɾoi	response	
40	30	39	14	river	Sunajoli, Lakhimpur	5	laŋɾoi	response	
40	30	40	14	river	Mikirgaon, Nagaon	5	laŋɾoi	response	
40	30	41	14	river	Mikirgaon, Nagaon	7	ʌ̆ɾoi	response	
40	30	42	14	river	Sardoka Ingti, E K A	5	laŋɾoi	response	
40	30	45	15	soil/ground	Holanki, Papumpare AP	2	loŋli	response	
40	30	46	15	soil/ground	S Cherrapunjee	3	khĕndĕu	response	
40	30	47	15	soil/ground	Hajarongpi, E K A	2	ɭoŋɭeiʔ	response	
40	30	48	15	soil/ground	Amguri, Kamrup	2	luŋle	response	
40	30	49	15	soil/ground	PaboiMisamari, Sonitpur	2	loŋli	response	
40	30	50	15	soil/ground	Maina Kharong, Kamrup	2	luŋle	response	
40	30	51	15	soil/ground	RongjariPlasha, Ri-Bhoi	2	luŋle	response	
40	30	52	15	soil/ground	Assamese, Dibrugarh	1	maʈʈi	response	
40	30	53	15	soil/ground	Amguri, W K A	2	loŋli	response	
40	30	54	15	soil/ground	Sermansingner, E K A	2	loŋle	response	
40	30	55	15	soil/ground	Langhemphi, W K A	2	loŋle	response	
40	30	56	15	soil/ground	Umrinti, W K A	2	loŋle	response	
40	30	57	15	soil/ground	Bankri, W K A	2	loŋle	response	
40	30	58	15	soil/ground	Rongtheang, E K A	2	loŋlĕʔ	response	
40	30	59	15	soil/ground	Sunajoli, Lakhimpur	2	loŋle	response	
40	30	60	15	soil/ground	Mikirgaon, Nagaon	2	loŋli	response	
40	30	61	15	soil/ground	Sardoka Ingti, E K A	2	loŋli	response	
40	30	64	16	mud	Holanki, Papumpare AP	2	ĭŋhan	response	
40	30	65	16	mud	S Cherrapunjee	4	kĕti	response	
40	30	66	16	mud	Hajarongpi, E K A	2	ĭŋhan	response	
40	30	67	16	mud	Amguri, Kamrup	2	ĭŋhan	response	
40	30	68	16	mud	PaboiMisamari, Sonitpur	2	ĭŋhan	response	
40	30	69	16	mud	Maina Kharong, Kamrup	2	iŋhan	response	
40	30	70	16	mud	RongjariPlasha, Ri-Bhoi	3	ʌ̆sːa	response	
40	30	71	16	mud	Assamese, Dibrugarh	1	bukʌ̆	response	
40	30	72	16	mud	Amguri, W K A	2	ĭŋhan	response	
40	30	73	16	mud	Sermansingner, E K A	2	ĭŋhan	response	
40	30	74	16	mud	Langhemphi, W K A	2	ĭŋhan	response	
40	30	75	16	mud	Umrinti, W K A	2	ĭŋhan	response	
40	30	76	16	mud	Bankri, W K A	2	ĭŋhan	response	
40	30	77	16	mud	Rongtheang, E K A	2	ĭŋhan	response	
40	30	78	16	mud	Sunajoli, Lakhimpur	2	ĭŋhan	response	
40	30	79	16	mud	Mikirgaon, Nagaon	2	ĭŋhan	response	
40	30	80	16	mud	Sardoka Ingti, E K A	2	iŋhan	response	
41	31	4	17	dust	Holanki, Papumpare AP	2	ʌ̆duk	response	
41	31	5	17	dust	S Cherrapunjee	3	pŭmpŭm	response	
41	31	6	17	dust	Hajarongpi, E K A	2	ʌ̆duk	response	
41	31	7	17	dust	Amguri, Kamrup	1	d̪ɦŭla	response	
41	31	8	17	dust	Amguri, Kamrup	2	ʌ̆duk	response	
41	31	9	17	dust	PaboiMisamari, Sonitpur	2	ʌ̆duk	response	
41	31	10	17	dust	Maina Kharong, Kamrup	1	dhula	response	
41	31	11	17	dust	RongjariPlasha, Ri-Bhoi	1	dhula	response	
41	31	12	17	dust	Assamese, Dibrugarh	1	d̪ɦuɭi	response	
41	31	13	17	dust	Amguri, W K A	2	ʌ̆duk	response	
41	31	14	17	dust	Sermansingner, E K A	2	ʌ̆duk	response	
41	31	15	17	dust	Langhemphi, W K A	2	ʌ̆duk	response	
41	31	16	17	dust	Umrinti, W K A	2	ʌ̆duk	response	
41	31	17	17	dust	Bankri, W K A	2	ʌ̆duk	response	
41	31	18	17	dust	Rongtheang, E K A	2	ʌ̆duk	response	
41	31	19	17	dust	Sunajoli, Lakhimpur	2	ʌ̆duk	response	
41	31	20	17	dust	Mikirgaon, Nagaon	2	ʌ̆duk	response	
41	31	21	17	dust	Sardoka Ingti, E K A	2	ʌ̆duk	response	
41	31	24	18	stone	Holanki, Papumpare AP	2	ʌ̆ɾloŋ	response	
41	31	25	18	stone	Holanki, Papumpare AP	3	loŋkoi	response	
41	31	26	18	stone	S Cherrapunjee	5	maw	response	
41	31	27	18	stone	Hajarongpi, E K A	2	ʌ̆ɾloŋ	response	
41	31	28	18	stone	Amguri, Kamrup	2	ʌ̆ɾloŋ	response	
41	31	29	18	stone	PaboiMisamari, Sonitpur	2	ʌ̆ɾloŋ	response	
41	31	30	18	stone	PaboiMisamari, Sonitpur	3	loŋkoi	response	
41	31	31	18	stone	Maina Kharong, Kamrup	2	ʌ̆ɾloŋ	response	
41	31	32	18	stone	RongjariPlasha, Ri-Bhoi	2	ʌ̆ɾloŋ	response	
41	31	33	18	stone	Assamese, Dibrugarh	1	hĭll	response	
41	31	34	18	stone	Amguri, W K A	2	ʌ̆ɾloŋ	response	
41	31	35	18	stone	Amguri, W K A	4	loŋtaɾ	response	
41	31	36	18	stone	Sermansingner, E K A	2	ʌ̆ɾloŋ	response	
41	31	37	18	stone	Langhemphi, W K A	2	ʌ̆ɾloŋ	response	
41	31	38	18	stone	Umrinti, W K A	2	ʌ̆ɾloŋ	response	
41	31	39	18	stone	Umrinti, W K A	2	ʌ̆ɾloŋso	response	
41	31	40	18	stone	Umrinti, W K A	3	loŋkoiso	response	
41	31	41	18	stone	Bankri, W K A	2	ʌ̆ɾloŋ	response	
41	31	42	18	stone	Bankri, W K A	2	ʌ̆ɾloŋso	response	
41	31	43	18	stone	Bankri, W K A	3	loŋkoi	response	
41	31	44	18	stone	Rongtheang, E K A	2	ʌ̆ɾloŋ	response	
41	31	45	18	stone	Sunajoli, Lakhimpur	2	ʌ̆ɾloŋ	response	
41	31	46	18	stone	Sunajoli, Lakhimpur	3	loŋkoi	response	
41	31	47	18	stone	Mikirgaon, Nagaon	2	ʌ̆ɾloŋ	response	
41	31	48	18	stone	Sardoka Ingti, E K A	2	ʌ̆ɾloŋ	response	
41	31	51	19	sand	Holanki, Papumpare AP	2	saŋt̪i	response	
41	31	52	19	sand	S Cherrapunjee	3	ɕĭjap	response	
41	31	53	19	sand	Hajarongpi, E K A	2	saŋt̪i	response	
41	31	54	19	sand	Amguri, Kamrup	2	saŋtel	response	
41	31	55	19	sand	PaboiMisamari, Sonitpur	2	saŋti	response	
41	31	56	19	sand	Maina Kharong, Kamrup	2	saŋtel	response	
41	31	57	19	sand	RongjariPlasha, Ri-Bhoi	2	sʌŋtel	response	
41	31	58	19	sand	Assamese, Dibrugarh	1	bali	response	
41	31	59	19	sand	Amguri, W K A	2	saŋti	response	
41	31	60	19	sand	Sermansingner, E K A	2	saŋt̪i	response	
41	31	61	19	sand	Langhemphi, W K A	2	saŋti	response	
41	31	62	19	sand	Umrinti, W K A	2	saŋti	response	
41	31	63	19	sand	Bankri, W K A	2	saŋti	response	
41	31	64	19	sand	Rongtheang, E K A	2	saŋt̪i	response	
41	31	65	19	sand	Sunajoli, Lakhimpur	2	saŋt̪i	response	
41	31	66	19	sand	Mikirgaon, Nagaon	2	saŋti	response	
41	31	67	19	sand	Sardoka Ingti, E K A	2	saŋti	response	
41	31	70	20	gold	Holanki, Papumpare AP	2	seɾ	response	
41	31	71	20	gold	S Cherrapunjee	3	kĭɕjaɾ	response	
41	31	72	20	gold	Hajarongpi, E K A	2	seɾ	response	
41	31	73	20	gold	Amguri, Kamrup	2	ʃeɾ	response	
41	31	74	20	gold	PaboiMisamari, Sonitpur	2	seɾ	response	
41	31	75	20	gold	Maina Kharong, Kamrup	2	ʃeɾ	response	
41	31	76	20	gold	RongjariPlasha, Ri-Bhoi	2	seɾ	response	
41	31	77	20	gold	Assamese, Dibrugarh	1	hun	response	
41	31	78	20	gold	Amguri, W K A	2	seɾ	response	
41	31	79	20	gold	Sermansingner, E K A	2	seɾ	response	
41	31	80	20	gold	Langhemphi, W K A	2	seɾ	response	
41	31	81	20	gold	Umrinti, W K A	2	seɾ	response	
41	31	82	20	gold	Bankri, W K A	2	seɾ	response	
41	31	83	20	gold	Rongtheang, E K A	2	seɾ	response	
41	31	84	20	gold	Sunajoli, Lakhimpur	2	seɾ	response	
