Item	Gloss	List_Code	Raw_Form	Form	PDF_Page	Printed_Page	Column	Status	Continuation_Lines	Review
5	eye	TAL	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	TAL	Geg	ɣeg	99	81	3	response	0	SILDoulosNP positioned text
4	face	KRK	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	KRK	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	KRK	GwVg	ɣwʌg	99	81	3	response	0	SILDoulosNP positioned text
4	face	LAK	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	LAK	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	LAK	GwV{	ɣwʌʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	BAN	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	BAN	stVrgà	stʌrgɑ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	BAN	GwV{	ɣwʌʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	MIR	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	MIR	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	MIR	Ge{	ɣeʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	WAA	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	WAA	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	WAA	Gwo{	ɣwoʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	QUE	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	QUE	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	QUE	GwV{	ɣwʌʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	CHA	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	CHA	stVrgà	stʌrgɑ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	CHA	GwV{	ɣwʌʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	PAS	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	PAS	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	PAS	GwVZ7	ɣwʌʐ	99	81	3	response	0	SILDoulosNP positioned text
4	face	KAK	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	KAK	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	KAK	GwVZ7	ɣwʌʐ	99	81	3	response	0	SILDoulosNP positioned text
4	face	KHR	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	KHR	stVrgV	stʌrgʌ	99	81	2	response	0	SILDoulosNP positioned text
6	ear	KHR	GwV{	ɣwʌʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	WCI	mVx	mʌx	99	81	1	response	0	SILDoulosNP positioned text
5	eye	WCI	stVrg	stʌrg	99	81	2	response	0	SILDoulosNP positioned text
6	ear	WCI	GwV{	ɣwʌʒ	99	81	3	response	0	SILDoulosNP positioned text
4	face	ORM	mox	mox	99	81	1	response	0	SILDoulosNP positioned text
5	eye	ORM	tsom / tsVKe	tsom / tsʌŋe	99	81	2	response	0	SILDoulosNP positioned text
6	ear	ORM	goi	goi	99	81	3	response	0	SILDoulosNP positioned text
7	nose	PES	'pozà	'pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	PES	xo'là	xo'lɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	PES	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	CHS	pozV	pozʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	CHS	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	CHS	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	MAR	pozà	pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	MAR	xolà	xolɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	MAR	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	SWA	pozV	pozʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	SWA	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	SWA	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	MAD	pozà	pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	MAD	xolà	xolɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	MAD	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	MIN	pozà	pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	MIN	xolà	xolɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	MIN	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	BAT	pozV	pozʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	BAT	xolà	xolɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	BAT	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	BAF	pozV	pozʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	BAF	xolà	xolɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	BAF	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	OGI	pozV	pozʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	OGI	xolà	xolɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	OGI	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	DIR	pozV	pozʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	DIR	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	DIR	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	BAJ	pozà	pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	BAJ	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	BAJ	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	MOH	pozà	pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	MOH	xolà	xolɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	MOH	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	NIG	'pàzV	'pɑzʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	NIG	xo'lV	xo'lʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	NIG	Gà:x	ɣɑːx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	SHN	suKgV	suŋgʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	SHN	xo'là	xo'lɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	SHN	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	BAR	pozà	pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	BAR	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	BAR	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	MAL	phozà	phozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	MAL	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	MAL	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	ZKH	sVKgà	sʌŋgɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	ZKH	xolà	xolɑ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	ZKH	GwOx	ɣwɔx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	JAM	'pezV	'pezʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	JAM	xo'lV	xo'lʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	JAM	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	TIR	'pezà	'pezɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	TIR	xo'lV	xo'lʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	TIR	GwOx	ɣwɔx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	JAL	pozà	pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	JAL	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	JAL	Gàs7	ɣɑɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	CHE	pozV	pozʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	CHE	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	CHE	Gwàs7	ɣwɑɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	PAR	pozV	pozʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	PAR	xolF	xolə	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	PAR	GOx	ɣɔx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	HAN	suKgV	suŋgʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	HAN	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	HAN	Gàx	ɣɑx	100	82	3	response	0	SILDoulosNP positioned text
7	nose	TAL	pezà	pezɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	TAL	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	TAL	Gox	ɣox	100	82	3	response	0	SILDoulosNP positioned text
7	nose	KRK	pezV	pezʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	KRK	xolV3	xolʌ̃	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	KRK	Gwos7	ɣwoɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	LAK	pàzV	pɑzʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	LAK	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	LAK	Gàs7	ɣɑɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	BAN	pezà	pezɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	BAN	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	BAN	GwVs7	ɣwʌɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	MIR	pezV	pezʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	MIR	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	MIR	Gos7 / Gwos7	ɣoɕ / ɣwoɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	WAA	pezV	pezʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	WAA	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	WAA	Gwos7	ɣwoɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	QUE	pVzV	pʌzʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	QUE	xolF	xolə	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	QUE	Gàs7	ɣɑɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	CHA	pozà	pozɑ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	CHA	xolV	xolʌ	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	CHA	Gàs7	ɣɑɕ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	PAS	pVzV	pʌzʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	PAS	xolF	xolə	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	PAS	GàS7	ɣɑʂ	100	82	3	response	0	SILDoulosNP positioned text
7	nose	KAK	pVzV	pʌzʌ	100	82	1	response	0	SILDoulosNP positioned text
8	mouth	KAK	xolF	xolə	100	82	2	response	0	SILDoulosNP positioned text
9	teeth	KAK	GàS7	ɣɑʂ	100	82	3	response	0	SILDoulosNP positioned text
