No.	Gloss	Hruso Aka (Jamiri)	Miji (Nafra)	Dammai (Rurang)	Dammai (Dibin)	Namrei (Nabolang)	Namrei (Bisai)
121	blood	ʃə	dʒai	ʒi	fənʃo	ʒi	medʒai
122	sweat	ʔə̆ɸu	frən	fenʃo	ruk	fen	fen
123	belly	ʔə̆ləxo	rok	ruk	luŋ	nəgəʔ	nəgu
124	heart (organ)	ʔə̆lə̆biu	luŋvəuk	məɲijo	kəbaŋlaŋ	loŋvə	luŋvəuk
125	back	ʔə̆tʃəbo	gəbaŋ	məgəbaŋ	za	kəbaŋ	kəbaŋ
126	body	ʔoso	zaʔ	zaʔ		ʒai	ʒai
127	person	nə̆na	ɲiuʔ	ɲiuʔ	ethego	ɲijə	ɲijə
128	man	mə̆hu	nuvə	ɲiju	nuʔ	ɲəjə	ɲəjə
129	woman	mimi	nəmeg	nəmrai	numazə	nəmrai	nəmrai
130	father	ʔau	abo	abo	abu	aba	aba
131	mother	aɲi	aɲi	aɲi	anai	aɲe	aɲe
132	husband	ʔəlʃi	dewai	mədewai	duwai	nəgai	nəgai
133	wife	ʔoɸom	zi	zəvə	gi	zi	zi
134	son	ʔosa	zəvə	zəvə	nuvəzi	ʒəvəi	zəvə
135	daughter	ʔosam	zəmrə	zəmrə	giəmai	ʒəmrai	zəmrai
136	elder brother (gen)	ʔaja	khəvoʔ	akhəvo	akəvo	kəvoi; avaŋ	kəvoi
137	elder sister (gen)	ʔama	amo	amo	amu	ʔama	ʔama
138	younger brother (gen)	ʔonu	nu	ɲijaŋɲiw	ɲanu	rəə	raŋ
139	younger sister (gen)	ʔoɲum	ne	ɲijaŋha	ɲijaɲe	rəai	raŋai
140	friend (male)	ʔodʒo	mədʒo	madʒro	adʒo	mədʒo	mədʒo
141	name	ʔəɲəɲə	mə̃rn	mə̃rn	mə̃rn	mə̃rn	mə̃rn
142	village	ɲətʃhə	gabijaŋ	gabijaŋ	kabijaŋ	kabijaŋ	kabijaŋ
143	house	ɲe	ɲan	ɲe	ɲeon	nam	nam
144	door	ɲĕgdəʃe	vaphi	vimphi	banphik	vaphi	banpi
145	window	khirki	khirki	khirki	khirki	khirki	khirki
146	roof	ɲeltʃə	neipuŋ	tikhijoŋla	dikhijoŋphuŋ	tikijuŋ	təkroŋ
147	wall of house	ɲetəkʃə	phai	ʃamphai	gihuŋphai	taipai	baŋbijaŋ
148	pillow	dĭkʃo	nukhən	wokhən	ukhum	gokəm	gokəm
149	blanket	kombolo	kombolo	gombul	gəpho	gombolo	kombulou
150	ring (on finger)	dʒə̆tʃelje	gile	gile	gilan	gilan	gilan
151	clothing	gijeʃjo	horigri	gərwari	geibeloŋ	gabugəi	gəigal
152	cloth	gije	grə	gəri	gije	gije	gije
153	medicine	d̪oxa	dao	dawa	dawa	dawa	dawa
154	paper	khakho	ʃadʒipriʔ	ʃadʒipriʔ	sidʒipeʔ	sidʒipeʔ	ʃasi
155	needle	səkʃə	duedʒuʔ	duedʒuʔ	duwazi	tigamsərei	tigamsərei
156	thread	məʃin	dʒaŋ	kəbo	kŭpo	kəbo	kəbo
157	broom	ɲeso	nesi	naʃi	naʃi	namɕoirə	namʃoi
158	spoon (for eating)	dʒagba	phentʃuʔ	dʒembu	pantʃo	pantʃo	pantʃo
159	knife (to cut meat)	betʃasa	vetʃin	vaitʃoŋʒi	vaitʃoŋʒi	vaitʃoŋʒi	vaitʃoŋʒi
160	hammer	martăl	tʃəmpo	tʃəmpo	tʃəmpo	tʃəmpo	tʃəmpo
161	axe	phodʒe	blu	bulu	blu	pə̆lə	phĕlu
162	bow	khiri	gri	geri	khiri	kə̆rai	kə̆rai
163	arrow	mə̆tʃhə	nə	nələn	nələn	nə	nə
164	spear	tʃudʒu	dʒuŋ	dʒuŋ	dʒuŋ	dʒoŋ	dʒoʔ
165	fire	mi	mai	mai	mai	mai	mai
166	ashes	mjoŋmu	mailodəbuʔ	mailodəbuʔ	maibu	lonobou	lonobou
167	smoke	mŭkʃə	maikhən	maikhən	maikhən	maikhən	maikhən
168	candle	mumbati	–	mairiaŋ	mairiaŋ	mairiaŋ	mumbati
169	boat	ly	ru	ijen	ijen	ijen	jam
170	road	motoxabo	lembaŋ	lembaŋ	labaŋ	labaŋ	labaŋ
171	path	xabo	lembaŋ	lembaŋ	labaŋ	labaŋ	labaŋ
172	to go	dʒejobei	dai	daina	dai	daina	dai
173	to come	agə; ago	hokaʔ	khanam	hodei	kona	kha
174	to stand	gudʒu	gijon	magarangiu	gijon	gijon	gəroŋ
175	to sit	xowe	dʒuʔ	deŋradʒuŋ	gijoŋ	gijona	gijoŋ
176	to rest	ʔə̆xə	dʒukaŋ	dʒoŋkhaŋ	dʒuŋam	hamna	reivija
177	to walk	dʒu	dai	daidəwo	naidaidu	kona	daiʔna
178	to fly	odɹo	gəndai	ganei	ganei	kənoina	kənoina
179	to enter	dʒimjo	buluŋdai	məloijandaina	aluŋ	dailena	məloijandaina
180	to kick	gədɹə	dəgrən	tekraŋ	laitegeŋ	təgeŋna	təgeŋna
181	to swim	hudɹo	ʃaŋ	tʃiaŋ	ju	brəona	vəsaŋna
182	to see	hodʒo	waŋ	waŋ	waŋ	gaŋna	gaŋna
183	to hear	dʒədʒo	rei	rei	rei	roina	roina
184	to wait	xokʃu	rə̆dʒan	raŋbija	khandʒaŋ	kənna	kherdʒaŋna
185	to cry	kʃo	khə̆	krəmna	krəmna	krəmna	krəmna
186	to cook	khu	khu	khu	khəne	kəna	khu
187	to boil (water)	xuʃəʃə	dʒən	dʒɹən	dʒən	zəmna	dʒom
188	to eat	tʃadʒo	tʃu	tʃu	tʃu	tʃəna	tʃu
189	to drink	thudʒo	thoŋ	thoŋ	thoŋme	toŋna	thoŋ
190	to sing	nuxədʒo	dʒu	dʒiu	dʒiu	jeena	kada
191	to bite	thodʒo	thaʔ	thai	thai	taʔna	ta
192	to laugh	tʃhəjo	thou	tho	tho	tona	tona
193	to speak	tʃhedʒo	throʔ	ʃoʔ	tʃoʔ	reena	ta
194	to tell	tru	throʔmo	the	tʃua	tʃoana	tʃo
195	to know	d̪aŋxudʒo	nĭ	ŋintʃina	nintʃe	nina	nĭ
196	to forget	khoʃadʒo	thlaŋ	ɬaŋtʃo	saŋtʃo	ɬaŋ	ɬaŋ
197	to sleep	dɹumudʒo	dʒi	dʒi	dʒi	dʒina	dʒi
198	to dream	tʃhimijo	thaimeʔ	theme	themema	taiməna	taimat
199	to do/make	d̪adʒo	ru	rutʃine	therore	naŋna; rəna	ru
200	to work	d̪adʒo	theiroru	therorutʃine	therore	tairorəna	theiroru
201	to play	st̪udʒo	sŭthu	suthə	səthe	ɕutuna	ʃətə
202	to dance	nukʃəd̪adʒo	zai	dʒai	dʒai	dʒaina; zai	dʒai
203	to throw	dʒowadʒo	ɕa	ɕai	ʃantʃo	kədəina	khədoi
204	to lift	loljo	jan	ʃaŋ	iroru	ijaŋna	jan
205	to push	d̪hədʒo	siru	siriu	phetʃuru	seruna	səri
206	to pull	byjo	roʔ	roʔ	horo	ɕaana	bre
207	to tie	phjoxojo	dʒo	dʒogə	va	dʒoana	dʒo
208	to wipe	dɹagdɹa	sə̆khiu	simə	sii	ʃeena	ʃepo
209	to weave (on loom)	thijo	thrən	ɕən	grətriŋ; zantriŋ	tʃomna	gəitʃom
210	to sew	kʃijo	khrə	khri	grəkhri	khrəmna	gəikhrə
211	to wash	tʃejo	mədʒo	matʃorə	adʒo	tʃeena; phijaŋna	lei
212	to take bath	sotʃejo	tʃhe	dʒatʃe	dʒatʃeŋ	leiʔna	dʒalei
213	to cut something	dʒojo	thai	thaine	thai	taina; voăna	rap
214	to burn	pejo	fran	peneʔ	fraŋ	frəna	
215	to buy	phəʃəlo	phen	phan	phen	phənʔna	pan
216	to sell	dɹu	lao	tʃoŋret	phekho	laəna	khau
217	to steal	kʃatʃudʒo	tʃəkhə	tʃikhə	tʃikhu	tʃəkhəna	ʃikhau
218	to lie, fib	mălo	labotʃoʔ	ɹiu	dʒiu	khloina	dʒau
219	to take	ladʒo	lə	ɬəʔne	hoːɬə	ləna	miniroi
220	to give	dʒidʒo	bi	biʔne	phebi	beina	bai
221	to kill	ʃidʒo	wai	waitʃo	wai	gaina	gaina
222	to die	dʒudʒo	tʃi	tʃi	tʃi	teina	teina
223	to love	ʔedʒadadʒo; nalbo	luŋdʒaŋ	matʃodori	avirə	mədʒovəna; luŋʒaŋ	loraŋ
224	to hate	mazuvjo	dəkhə	minime	aŋiru	minimena	miniroi
225	one	ʔa	akheʔ	akhijo	atro; akho	aŋ; akhowa	akhijo
226	two	kʃə	geni	geni	gərin	kherə	kəran
227	three	dʒə	gətən	khətəm	kəthən	khətəm	khətəm
228	four	psə̆xi	bli	bəlei	bli	pəlei	pəlei
229	five	pom	pugu	boŋu	buŋu	puŋu	puŋu
230	six	xe	reʔ	re	re	ram	ra
231	seven	mɹo	mija	mijak	mija	mija	mija
232	eight	ʃəgdʒə	səgəi	tʃigə	səgə	ɕəgə	ɕəgə
233	nine	st̪ə	sətən	sətən	sətən	ɕətan	ɕətan
234	ten	xə	lən	ɬən	lən	lən	lən
235	eleven	xəjoʔa	lenuŋ	lijaŋ	liŋun	lənkhijo	lənkhijo
236	twelve	xəjokʃe	ləngəni	legĕreŋ	liŋgeriŋ	ləkhəraŋ	lankəŋ
237	twenty	bə̆ʃa	gənilən	gənilən	gerlem	kərənlən	kərətan
238	hundred	ɸoxa	bluŋ	bəluŋ	bluŋ	pəloŋ	pəloŋ
239	thousand	hădʒaxa	hazari	hazari	hazari	hazari	hazari
240	few	meʔ	meʔ	mija	mija	mija	mija
241	some	xama	themade	thimadi	thiin	mai	themade
242	many	ʔaɲe	meno	mənau	anau	mənau	mənau
243	all	vjo	məsuŋ	vendaŋ	ahuŋ	mihuŋ; məvəu	mihijoŋ
244	big	djo	məhiŋ	mədo	ado	mədo	mədəbu
245	small	ʔĕmisa	mezuʔ	mijadʒui	mijadʒui	mijadʒui	mijadʒui
246	long	pʃu	məpijaŋ	məpijaŋ	məpijaŋ	məpijaŋ	məpijaŋ
247	short (length)	ʔĕtʃesa	məruŋ	maderiu	aruŋ	məruŋ	məruŋ
248	heavy	ju	məiʔ	məji	ai	məlei	məlei
249	light (not heavy)	lə̆to	mədəthaŋ	maləthaŋ	alithaŋ	mənətaŋ	mənətaŋ
250	fat	d̪jo	mədəbu	mədəbu	aduo	mədəbou	mədəbou
251	thin	ʔĕd̪ə̆xasa	məsəni	məsəniŋ	mijazə	məsərei	mobu
252	wide, broad	texo	mədəlou	madəvijaŋ	aphijaŋ	mədoŋ; mətəlo	mətərə
253	narrow	ʔemiʃa	mezuʔ	madəɲe	aru	məbəu	mərək
254	deep	ɾju	məruʔ	marik	arək	mərə	mərə
255	shallow	bə̆so	məruʔmaŋ	marikmaŋ	arukmaŋ	mətə̆vijo; məbəu	matrio
256	full	gu	len	phiːɬaŋ	lən	ləndaŋ	len
257	empty	ʔəɸo	mikhijaŋ	mikhijaŋ	akhijaŋ	mihijaŋ	mihijaŋ
258	hungry	loxoʃə	frantʃi	ventʃi	fentʃi	frentei	frentei
259	thirsty	lukɾo	luŋkhijam	loŋkhijaŋ	luŋkhijaŋ	loŋkhijaŋ	loŋkhijaŋ
260	sweet	dʃə̆mtʃu	mədʒan	mədʒijaŋ	adʒaŋ	mezaŋ	mədʒan
261	sour	kʃo	mətʃuŋ	mətʃuŋ	atʃuʔ	mətʃuŋ	mətʃuŋ
262	bitter	kamʃo	məkhu	məkhu	akhu	məkhu; məfai	məkhu
263	spicy, hot	nəsə	məʃu	məʃiu	aʃiu	məʃu	məʃu
264	ripe	ɲju	məɾə̆n	məmrem	ameŋ	mena	məɾə̆n
265	rotten (fruit)	xəɲjo	mərən	məren	arən	roma	ram
266	fast	kətʃo	məgdʒa	mabədʒa	agəthup	məkhəgija; məkheto	məkheto
267	slow	ʃau	dəm	dumo	dumo	məʃaʃo; nəroi	nomo
268	same	dʒexjũ	akhi	akhendə̆re	zendi	ʒanroi; nəroi	ʒanroi
269	different	ʔədɹo	ʃizun	tʃudʒundʒun	siziŋ	sizaŋ	sizaŋ
270	dry	kɹo	məkhəjam	mekhijan	akhijaŋ	mekhijan	mekhijan
271	wet	dɹu	məbilija	məgeru	ablija	məgəjo	məgəro
272	hot	ʃu	mədʒu	mədʒiu	adʒiu	mələ; məzi	mədʒu
273	cold	nəŋu	mətʃou	mətʃo	atʃo	mətʃou	məlai
274	good	ʔu	məvi	mavi	avirə	məvi	məvi
275	bad	mau	məni	məɲi	aɲirə	məni	məni
276	new	ʔə̆kə̆n	məgəniu	məgəniu	agənu	məkərə	məkərə
277	old	ʔə̆me	məʃoʔ	məʃoʔ	aʃoʔ	məʃoʔ	məʃoʔ
278	broken	khəjau	məbaŋ	mabaŋ	baŋ	baŋa; bra	baŋa
279	above	ʔodɹu	thaŋjuŋ	thajoŋ	thaŋiu	tʃado; tʃajoŋ	tʃajoŋ
280	below	xam	phumum	phumu	phumu	məmə; tʃama	tʃama
281	far	ʔəxə	mərən	maraŋ	arən	mərən	mərən
282	near	ʔəɲisə	məni	məni	aɲiŋ	məroi	məroi
283	right	tʃədʒə	sidʒən	sidʒən	sidʒiŋ	ɕədʒen	ɕədʒen
284	left	ɸovo	sivijo	sivijo	savijo	sivijo	sivijo
285	black	gju	momo	momo	amu	momo	momo
286	white	gro	mugram	magəran	adraŋ	məgijaŋ	mugram
287	red	tʃu	mətʃu	matʃə	atʃu	mətʃi	mətʃi
288	green	dʒju	məlo	məlo	alu	məlo	məlo
289	yellow	dʒju	gesilo	madʒro	gətsilo	kəʃoilo	mədʒo
290	when (near future)	khe	kukhrin	kukhrin	kekhren	kukhrin	kukhrin
291	where	hagə	khija	khija	khəjo	khroi	khək
292	who	dʒu	tʃhu	tʃiu	tʃiu	təə	təə
293	what	ha	then	tan	tin	tən	tən
294	how many	khəɲja	kiɲo	kənio	kiniu	khəɲja	khəɲja
295	this thing	heji	huŋlo	huŋji	ɬo	huŋlo	hə̃ŋ ai
296	that thing	those	paitʃəlo	phetʃoi	phetʃilo	paitʃəlo	paitʃia
297	these things	henaji	huŋlona	huŋmuhuŋhi	aheŋlo	huŋlona	haŋmihoŋ
298	those things	thosana	paitʃolona	phetʃorenai	ano; loŋtʃianalo	paitʃolona	pitʃimihõŋ
299	1st sg. (I)	no	ɲijan	nijaŋ	nijaŋ	ɲijan	ɲijan
300	2nd sg. (familiar)	bha	ni	ni	ni	ni	ni
301	2nd sg. (honorific)	bha	ni	ni	ni	ni	ni
302	3rd sg. (generic/male)	ʔi	i	i	phetʃu	ai	ai
303	3rd sg. (female)	ʔi	i	tʃoi	phetʃu	ai	ai
304	1st pl.	ɲi	ani	ani	aɲijaahuŋ	ani	animihõŋ
305	2nd pl. (familiar)	dʒo	dʒiməʃuŋ	ina	dʒi	dʒei	dʒmihõŋ
306	2nd pl. (honorific)	dʒo	dʒiməʃuŋ	ina	dʒi	dʒei	dʒihõŋ
307	3rd pl.	na	phaina	inamehijaŋ	airaahuŋ	aira	aira
