NUMBER	ENGLISH		CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTES
201	spicy, hot		544	SPICY	
202	spider		843	SPIDER	
203	spoon (for eating)		1378	SPOON	
204	star		1430	STAR	
205	stone		857	STONE	
206	sugarcane		146	SUGAR CANE	
207	sun		1343	SUN	
208	sweat		125	SWEAT (SUBSTANCE)	
209	sweet		717	SWEET	
210	tail		1220	TAIL	
211	ten		1515	TEN	
212	that thing		78	THAT	
213	these things				do we link different concepts of the same list to the same concept set? Yunfan: I removed it.
214	thin		1400	THIN (SLIM)	certain that it does not refer to people? fat is also in the list. Yunfan: It means lean, thin. I chose this concept because I thought it was more general.
215	thirsty		847	THIRSTY	
216	this thing		1214	THIS	
217	thorn		124	THORN	
218	those things				do we link different concepts of the same list to the same concept set? Yunfan: removed.
219	thousand		1843	THOUSAND	
220	thread		1161	THREAD	
221	three		492	THREE	
222	thunder		1150	THUNDER	
223	tiger		846	TIGER	
224	to bite		1403	BITE	
225	to boil (water)		792	BOIL (OF LIQUID)	are we certain that this should be the intransitive boil?
226	to burn		2102	BURN	this would be the hyponym of both transitive and intransitive boil
227	to buy		1869	BUY	
228	to come		1446	COME	
229	to cook		1100	COOK (SOMETHING)	
230	to cry		1839	CRY	weep or scream?
231	to cut something		1432	CUT	
232	to dance		1879	DANCE	
233	to die		1494	DIE	
234	to do make		2575	DO OR MAKE	changed it to the hyperonym
235	to dream		1920	DREAM (SOMETHING)	
236	to drink		1401	DRINK	
237	to eat		1336	EAT	
238	to enter		749	ENTER	
239	to fly		1441	FLY (MOVE THROUGH AIR)	
240	to forget		1523	FORGET	
241	to give		1447	GIVE	
242	to go		695	GO	
243	to hate		1607	HATE	
244	to hear		1408	HEAR	
245	to kick		1135	KICK	
246	to kill		1417	KILL	
247	to know		1410	KNOW (SOMETHING)	
248	to laugh		1355	LAUGH	
249	to lie, fib		601	LIE (MISLEAD)	
250	to lift		501	LIFT	
251	to love		923	LOVE	
252	to play		1413	PLAY	
253	to pull		1455	PULL	
254	to push		1452	PUSH	
255	to rest		168	REST	
256	to see		1409	SEE	
257	to sell		1571	SELL	
258	to sew		1457	SEW	
259	to sing		1261	SING	
260	to sit		1416	SIT	
261	to sleep		1585	SLEEP	
262	to speak		1623	SPEAK	
263	to stand		1442	STAND	
264	to steal		713	STEAL	
265	to swim		1439	SWIM	
266	to take		1749	TAKE	
267	to take bath		138	BATHE	
268	to tell		1711	TELL	
269	to throw		1456	THROW	
270	to tie		1917	TIE	
271	to wait		1590	WAIT (FOR)	
272	to walk		1443	WALK	
273	to wash		1453	WASH	
274	to weave (on loom)		133	WEAVE	
275	to wipe		1454	WIPE	
276	to work		1086	WORK (ACTIVITY)	
277	today		1283	TODAY	
278	tomorrow		1329	TOMORROW	
279	tongue		1205	TONGUE	
280	tooth		1380	TOOTH	
281	tree		906	TREE	
282	turtle		112	TURTLE	
283	twelve		1707	TWELVE	
284	twenty		1710	TWENTY	
285	two		1498	TWO	
286	uncooked rice		926	RICE	this should get a hyponym
287	village		930	VILLAGE	
288	wall of house		933	WALL (OF HOUSE)	
289	water		948	WATER	
290	week		1469	WEEK	
291	wet		1726	WET	
292	what		1236	WHAT	
293	wheat		1077	WHEAT	
294	when (near future)		1238	WHEN	
295	where		1237	WHERE	
296	white		1335	WHITE	
297	who		1235	WHO	
298	wide, broad		1243	WIDE	
299	wife		1199	WIFE	
300	wind		960	WIND	
301	window		1375	WINDOW	
302	woman		962	WOMAN	
303	year		1226	YEAR	
304	yellow		1424	YELLOW	
305	yesterday		1174	YESTERDAY	
306	younger brother (gen)		1760	YOUNGER BROTHER	
307	younger sister (gen)		1761	YOUNGER SISTER	
