	Bugun (Wangho)	Bugun (Bichom)	Bugun (Singchung)	Bugun (Kaspi)	Bugun (Namphri)	Sherdukpen (Shergaon)	Sherdukpen (Rupa)	Sartang (Khoitam)	Sartang (Darbu 1)	Sartang (Darbu 2)	Sartang (Khoina)	Chug (Chug)	Lish (Lish)
bitter	ekhou	khou	khou	khou	ekhou	atʃak	akhiok	tʃakbe	ădʒuŋ	tʃhiba	atʃak	tʃaʔdeʔ	tʃakde
black	esai	esai; soi	esai	soi	esui	atʃõ	atʃuŋ	atʃuŋ	atʃuŋ	atʃuŋ	atʃuŋ	utʃham	utʃham
blanket	emau	imoŋ	imoŋ	khombal	jomaŋ	kombolo	lembo	lombu	lembo	lembo	kapu	neloʔ	neloʔ
blood	efua	efua	efua	nəfai	məfai	ha	ha	he	he	hɛh̥	ha	hoi	hoi
boat	naw	naw	na	nau	khiuŋ	nau	naw	khĭ	nõ	nõ	–	–	naw
body	eso	siu	eso	siu	ʃuʔ	liʔ	lui	aʃo	so	so	aʃo	lusmama	lismamu; zug
bone	ezak	ezeŋ	ezeŋ	nizeŋ	ezeŋ	skik	skik	skiʔ	skik	səkiʔ	axik	ʃukuʃ	ʃukuʃ
bow	rak	rak	rak	rak	rak	mili	li	ri	miʔ	miʔri	li	li	li
branch	phoŋ	edəphou	edəphou	edəphou	edəphou	aphaŋalo	aphoŋ	aphaŋ	apaŋ; hiŋapaŋ	aphaŋ	hiŋaxiŋ	alaʔ	alak
broken	etʃõ	edʒok; dʒolek	tʃoda	dʒui	muduŋ; mutʃun	khana	khja	zekmaniʔ	dʒeʔboʔ	dʒekhan	tʃadoŋ	geɾloŋ	gedʒuide
broom	sasəraŋ	sasəraŋ	sasəraŋ	bigma	sasəraŋ; ebikma	tʃantʃiriŋ	tʃantʃiɾi	tʃantʃəɾi	tʃaɲtʃɾi	tʃaɲtʃɾi	lipakhoa	tʃhamtʃhaɾaŋ	tʃantʃəɾi
buffalo	ʃitʃik	sigik	sədʒik	ʃitʃik	sədʒik	zəge	zəge	dʒei	ze	ze	dʒei	bruŋ	bhuŋ
cabbage	marebui	kobi	kobi	kobikhubam	kobi	bandagobi	–	–	–	kobison	daŋdaŋkəre	–	–
candle	buematʃou	mumbati	botʃua	mumbati	mumbati	mumbati	mumbati	–	mumbati	mumbati	–	–	mumbati
cat	ɲijam	ɲem	ɲem	ɲem	ɲem	ɲəmbi	ɲəmbi	namby	namby	namby	namby	jaŋmu	ɲaŋbu
cauliflower	marəepuŋwa	kobibua	phulkobi	phulkobi	phulkobi	phulkobi	–	–	–	kobibabu	daŋaren	–	–
cheek	mədʒiamabau	mədʒiamabau	mədʒiamabau	mədʒiamabau	mədʒiamabau	dumpulok	tʃiphilok	mikiŋ	zykmĭkĭŋ	zyskŭk	dʒaphui	koptaŋ	d̪uŋpa
chicken	khe	khe	khe	kheiduə	kheiʔ	petʃha	petʃha	pə̆tʃe	pə̆tʃe	batʃe	batʃe	huki	wakhi
chin	ʃĕandəkhau	semtəkham	ʃĕandəkhau	semtəkham	semtəkham	gamdei	gamdei	tʃakho	gamthi	kamt̪i	nijokhu	kamduŋ	hiŋkuɾ
cloth	juŋ	juŋ	juŋ	juŋ	juŋ	joʔ	jo	joʔ	joʔ	joʔ	jo	wad	wad
clothing	juŋgəwa	juŋgu	juŋ	juŋdampha	jegua	joʔ	tʃhojo	joʔ	joʔ	joʔmuʔ	jadə	tuthuŋ	wad
cloud	skəmou	tʃakamaŋ; sĕkmou	skəmou	tʃakamaŋ	tʃakamaŋ	ʃuiŋti	sti	ʃuiŋti	synty	synty	synty	mŭkpa	toŋti
cockroach	sarigau	sarigau	sarigau	sarigau	sarigau	butʃuluŋ	butʃuluŋ	pitʃuruŋ	batʃɾuŋ	pătʃhuŋ	zaŋzikma	zulu	tʃhiʔduŋ
coconut (ripe)	naɾkol	naɾkol	naɾikol	naɾijal	naɾikol	naɾikol	–	–	–	naɾikol	naɾikol	–	–
cold	etʃai	etʃai	etʃai	tʃui	etʃui	atʃhan	atʃhan	rembe	ătʃeʔĕn	ɾamkhan	atʃen	utʃen	utʃen
cookedrice	mətʃije	mətʃije	mətʃije	mətʃere	mətʃije	ha	ha	he	tʃhuhe	hɛ	tʃhuhe	tʃhawa	hoi
corn	spou	spo	spõʔ	spou	ʃibo	phentaŋ	phentaŋ	mitʃi	pə̆tʃĩ	mitʃi	mitʃi	majʃəŋ	moʃop
cow	səuwa	suvəə	səbəvə	suvəə	ʃhua; suvəva	spu	spu	hu	hu	khu	ʃhu	ʃoi	ʃama
crocodile	khawai	khawai	khavoi	khawai	khawai	khodei	khodei	khuwa	–	–	khuwa	khudon	–
daughter	dimi	dimi; satəi	dimi	dəmi	dimi	dimi	dymy	dymy	dymy	dymy	dymy	damu	dʒŭmu
day	nai	nai	nai	nai	nai	nini	nini	nimijan	nimi	nimi	nani	namka	nemi
deep	dʒam	dʒam	betʃou	dʒam	dʒam	agi	agy	kampoŋ	dʒyɾui	adʒy	adʒi	dogaŋ	how̆dĕʔ
deer	dətʃhai	dətʃhai	dətʃhai	dətʃhai	dətʃhai	ski	ski	ski	sə̆ki	sikiʔ	ski	dʒaʃiki	dʒaʃiki
different	jojo	jo	jo	jo	jojo	sŭsu	sŭsu	age	age	age	age	sosoʔ	sŭsu
dog	tʃai	tʃoi	tʃi	tʃoi	tʃoi	betha	batha	pə̆the	pə̆the	bithɛ	batha	wathi	wathi
door	habiŋ	habiŋ	habiŋ	habiŋ	habiŋ	kau	kau; koh̥	ko	ko	ko	joŋko	kotam	kuthuŋ
dry	ekau	egau	egau	gou	nəgou	ʔoʔõ	ʔõː	iɾkõ	ʔoʔõ	ʔoʔõ	ʔoʔõ	aɹloŋ	war
duck	oso	ŋuso	oso	ŋuso	ũso	gelendi	hõ	gilendi	huhã; huhõ	huhõ	osa	gilendi	aŋso
dust	ɲijaphəla	ɲijaphəla	ɲijaphəla	ɲijaphəla	ɲijaphəlap	tʃaphulu	saplutuiba	duipoʔ	dŭjpo	tʃhaphuɾuh̥	dʒaphulu	duipa	ɲogma
ear	khõ	khõ	khõ	khõ	khõ	khutuŋtʃilak	gythyn	kə̆thyŋ	kə̆thyŋ	khutuŋ	gathuŋ	khutuŋ	khutuŋ
egg	khere	eri	khere	khere	khere	petʃhakhalum	ăjuŋ	pə̆tʃeuŋ	ăjuŋ	juŋ	ăjuŋ	hudʒoŋ	ʔogoŋ
eggplant	mantho	mantho	mantho	mantho	mantho	bantho	mantho	məthou	pə̆t̪ho	bot̪ho	mantho	bandu	banthu
eight	milija	milija	milija	milija	məlau	sardʒat	saɾgjat	saɾdʒe	saɾdʒeʔ	saɾtʃe	saɾdʒe	saɾgeʔ	saɾgeʔ
elbow	watʃrap	watʃpau; tʃapram	phrow	saphrom	patʃrom	ikli	ikli	ikli	ikri	ikri	jitʃri	tʃiʔ	hudʒulu
elderbrother (gen)	abua	abau; adam	abakhau	abam	adam	abukhau	abu	abe; ada	abeakhou	abe	ʔaja	ada	ada
eldersister (gen)	abua	bumuwa; mimuabau	abau	bəməkhou	bumukhou	anukhau	anukhau	ane	̆aɲeakho	ane	abə	au	ʔawu
elephant	ɲijathoŋ	ɲijathoŋ	ɲijathoŋ	nathoŋ	ɲijathoŋ	stoŋ	stoŋ	susanthou	susant̪hoŋ	susan̪t̪hoŋ	susant̪hoŋ	lamputʃhe	satʃila
eleven	sənatʃau	sənadʒe	sonatʃe	sənadʒe	sənadʒe	sahan	sahan	sõlahan	sõlahan	sõlahan	sõlahan	ʃamʃihin	ʃamʃihin
empty	sloi	sloi	sloi	sloi	esəloi	aruk	aruk	aruk	aruk	aɾuk	aruk	toŋpabe	toŋpa
evening	habitʃuaŋ	hadʒoŋ	habitʃuaŋ	hadʒoŋ	hadʒoŋ	ɲijo	ɲijo	tʃiniba	ɲŭjŏ	nojo	naphuŋ	nami	nami
eye	mijak	mijak	mijak	mije	mijak	khebi	khŭbi	khaʔby	khambyi	kamby	khabə	khum	khumu
face	midʒa	mizija	midʒa	mədʒia	mədʒija	doŋpu	bo	dʒuik	zyk	zyk	zyk	doŋpa	doʔ; doŋpa
far	ruaŋ	ruaŋ	ruaŋ	ruwaŋ	ruaŋ	atʃoʔ	okhjo	atʃoʔ	atʃho	atʃoʔ	atʃho	thaoriŋ	humaŭliŋ
fast	kəthau	tʃeŋ	dʒok	dʒok	ebi	ipsiŋba	atʃer	adʒoʔ	adʒoʔ	atʃher	adʒoʔ	pasa	ʃeʃaɾa
fat	eju	eju	eju	ejo	ejo	ajo	ajo	ajo	ăjo; ăjoʔ	ăjoʔ	ajo	tʃakpa	ăjo; ăjoʔ
fat	khəbup	baŋ	bou	baŋ	məbaŋ	adok	bokbok	adoʔ	biŋtʃen	adoʔ	aduk	dʒajakpa	elaŋ
father	aphua	aphua	aphua	ap; aphu	aphua	atʃi	ăbo	abou	ăbo	abo	abo	apa	aba
few	mədətua	ədʒa; uidʒa	mədətua	uidʒa	iu	laŋan	alaŋ	atʃedo	ătʃen	atʃedo	atʃedo	halamhim	daudin
finger	bijaŋ	bijaŋ	bijaŋ	watduweʔ	mabijaŋ	iksabo	iktʃi	burom	iktʃŭdo	ʔiʔpɾomu	ikadu	brama	husada
fingernail	pətʃijat	bəsen	bəsen	pə̆sen	pəʃen	iktʃiŋ	iktʃiŋ	ikʃiŋ	ikʃiŋ	iktʃiŋ	iktʃiŋ	hutʃhuŋ	hutʃiŋ
fire	boe	boe	boe	bai	boe	ba	ba	be	beʔ	be	ba	bei	bei
fish	ũa	uŋa	ũa	ũa	uŋə̃	ɲiu	ɲu	nuŋ	nuŋ	nuŋ	nuŋ	ŋa	ŋa
five	kuwa	guwe	guwa	uwe	gu	khu	khu	khu	khu	khu	khu	kha	kha
flower	ebũa	bua; ebua	ebũa	humbua	ɲinbua	minto	mint̪u	mint̪u	mint̪u	babu	hẽaraŋ	mentoʔ	mĭnto
fly	mədʒo	mədʒo	mədʒo	madʒoumue	mədʒau	bitʃiŋ	bitʃiŋ	pə̆tʃi	tʃăpim	tʃăpim	tʃăpim	phu	phu
foot	lue	lei; lue	loe	lai	lai	laʔ	latʃapar	le	le	leh̥par	latʃoŋ	lai	lei
four	ri	vi	vi	vi	vi	bə̆si	bə̆si	pʃi	psi	psi	psi	psi	phəhi
friend (male)	etʃak	izaʔ	egau	eza	edʒia	ɾok	ɾok	khunuŋ	khə̆nŭŋ	khunuŋ	ɾok	loʔ	loʔ
frog	rap	rak; rap	rak	rutʃua	ɹusua	paipu	ɾikə̆tu	ɾiktu	ɾĭtːu	ɾiktu	rutu	duŋdaʔ	duŋta
fruit	evoi	evoi	evoi	voi	evoi	melaŋ	malaŋ	avə	ăjuŋ	milaŋ	hiŋava	uʃu	uʃu
full	elija	lei	lija	lei	elei	phiŋba	phiŋba	aphiŋ	aphiŋ	tʃhuʔuɾuwa	aphiŋ	psiŋdeʔ	ʃiŋde
garlic	tʃuŋ	muaŋ	muaŋ	muaŋ	muaŋ	moŋsiŋ	moŋsiŋ	məsiŋ	moŋ; moŋtʃu	maŋtʃhy	maʃiŋ	ɾə̆ʃu	maŋ
goat	spin	spin	spin	spin	spin	ze	zyi	ziŋ	zyi	dʒy	sətʃe	ʃeɾa	sala
gold	san	san	san	san	san	sin	sin	ser	seɾ	ser	ser	ser	ser
good	vije	vije	vije	vije	vije	adʒap	adʒap	adʒap	adʒap	adʒak	adʒa	udʒo	nakpa
green	erije	ere; re	erije	ere; re	ere	oho	oho	oho	ʔŏho	ʔŏho	oho	jaŋ	ʔijaŋ
hair	khazijau	khazijaŋ	khazijaŋ	khazijaŋ	khazijaŋ	gə̆zaŋ	gə̆zaŋ	kə̆zaŋ	gə̆zaŋ	gidʒan	gə̆zaŋ	khuʃaŋ	khsaŋ
hammer	tʃapau	dʒabau	dʒabau	dʒabu	dʒabam	toŋ	thuŋ	–	thuŋ	hambaɾ	thuŋ	–	toŋ
hand	wat	wat	wat	wat	wat	ik	ik	ik	ik	ik	ik	hut	hu
head	kijatuŋ	khɾuk	khɾuk	khɾuk	khɾuk	kektoŋ	khɾuk	khruʔ	khɾuk	khɾuʔ	mathaŋ	khloʔ	kholo
heart (organ)	eləbau	eləbau	eləbau	ləbuʔ	ləbəu	suluŋ	syluŋ	syləŋ	syluŋ	suluŋ	ʃiloŋ	luŋthaʔ	luŋthaʔ
heavy	elai	lai	lai	lai	elai	alitʃaŋ	ali	ali	ali	ali	ali	uli	uli
horn (ofbuffalo)	erijok	erijaŋ	erijaŋ	erijaŋ	erijaŋ	kheŋ	kheŋ	tʃaŋ	tʃeŋ	tʃeŋ	tʃaŋ	khiaŋ	kheŋ
hot	etʃek; eluŋ	tʃep	etʃek	etʃek	lua	ătʃik	ătʃik	atʃi	ătʃik	ătʃik	atʃi	utʃi	utʃi
house	hõ	hõ	hõ	hõ	hõ	jam	jam	jam	jam	jam	jam	wam	wam
houselizard (gecko)	səkimatʃoŋ	səkimatʃoŋ	baphijaŋ	pharbuwaŋ	–	tʃamtʃi	tʃamtʃi	tʃikpaphi	–	–	–	dontʃiktʃikpa	–
howmany	khemotʃia	khemo	khemodʒa	khama	khemo	napan	jepaja	thokʃuaŋ	mipheːn	botuana	nepha	abehiŋ	ʔaphin
hundred	vijamtʃa	vijaŋdʒa	vem	vindʒe	vindʒe	dʒan	dʒoai	dʒoan	dʒowan	dʒowan	dʒohen	dʒehin	dʒahin
hungry	tʃii	tʃii	tʃii	ʃii	tʃii	hõ	khuŋba	hetʃuŋni	hekũŋ boʔ	khuŋba	akhuŋ	khamde	khamde
husband	aje	ge	age	ɲige	ge	aja	ʔăja	dʒuhu	aje	aje	aja	oʔi	zofa
insect	pə̆tʃoo	pə̆sija	bĕtʃoo	bĕtʃoo	bĕtʃoo	phi	phy	phy	saŋdʒoʔ	–	phu	khroŋtʃuŋ	phu
jackfruit	jabuk	kotal	kotal	brokothali	kotal	barmemulaŋ							
knee	lakijuŋ	ləspau	ləspau	lagijoŋ	lagijoŋ	klokpu	niphik	lipikhom	lapikhom	lapikhom	japikra	kolokpa	leiklopa
knife (tocutmeat)	metəkhui	məkhui	mədəkhui	məkhui	mədəkhui	bra	bra	handudu	handudu	handu	handudu	baɾi	bali
leaf	rap	rap	erap	rap	rap	alap	alap	arap	aɾap	arap	luala	ulaʔ	ulap
left	phavik	phavik	phavik	hazoi	phavik	mikheto	mekhe	ehe	tʃoʔ	hetan	axe	tʃoita	ɲimlakpa
light (notheavy)	thou	thou	tho	thou	nəthou	aruŋdu	ɾuŋ	aruŋdu	ăɾuŋd̪oʔ	ăɾuŋd̪oʔ	aruŋdu	jaŋpu	jaŋʃo
lightning	halijaʔ	hakhəlam	halijaʔ	halijaʔ	haliwau	nimibatapa	nymybatapa	namtaʔbu	tʃhuŋba	nymybæh̥	bhaʔ	bruʔ	namkliŋ
lime (forbetelnut)	tʃun	tʃhun; tʃun	tʃun	tʃun	tʃun	tʃun	tʃhin; tʃun	–	–	tʃon; tʃun	tʃhin; tʃun	–	–
liquor	phua	phua	phua	phua	phua	phak	phak	pha	phak	pha	phak	phaʔ	phak
long	ephijam	phijaŋ	phijaŋ	phijaŋ	ephijam	aɾeŋ	araŋ	araŋ	araŋ	aɾeŋ	aɾeŋ	uriŋ	uliŋ
man	bəfəə	bəfəə	bəfəə	bran	bran	dʒihu	dʒiriŋ	dʒiriŋ	dʒĭɾiŋ	dʒiriŋ	dʒuhu	pədəŋ	bŭd̪ŭn
mango							am	–; am	–; am	am	am	–; am	–; am
many	mənau	badʒa; pamei	bame	mənau	badʒo; məno	dʒeptʃaŋ	amat; dʒepo	ajaŋ	jymoʔ	jumoʔ	ame	juɾ	meka
meat	epije	ebije	epije	məbi	ebei	su	su	ʃaʔ	suʔ	suʔ	su	ʃia	ʃaʔ
medicine	mo	dawa; mo	mo	dawa	dawa	man	man	man	man	man	men	man	pen
milk	ɲeo	niw	ɲeo	dut	niw	ɲuŋ	ɲiŋ	niuŋ	ɲyn	ɲyn	ɲiŋ	nuʔ	ɲju
monkey	stuŋ	stuŋ	stuŋ	stuŋ	ʃəduŋ	dʒuduŋ	dʒuduŋ	zuduŋ	zuduŋ	dʒutuŋ	dʒuduŋ	ʃedom	hiŋtʃaŋdakpu
month	habije	habije	habije	habije	habije	namlu	namblu	nambluaŋ	nambruwan	nambɾu	nambluhen	namlahin	namba
moon	habije	habije	habije	habije	habije	namlu	namblu	namluʔ	nambru	nambru	namblu	atnamba	namba
morning	hamijaŋ	hamijaŋ	hamijaŋ	hamijaŋ	hamijaŋ	niru	nuru	nuru	nuru	nuru	jokpho	namsaŋ	namsaŋ
mosquito	tʃikitʃoŋ	tʃikitʃoŋ	tʃikitʃoŋ	mədʒou	tʃikdʒoŋ	kroŋtʃuŋ	kroŋtʃuŋ	tampi	tʃapimdʒoŋ	matʃhaɾ	timpuladʒo	kroŋtʃu	koŋtʃuŋ
mother	amua	amua	amua	amu	amua	amu	ami; amu	ămuʔ	ămuʔ	amu	amo	ama	ama
mountain	pham	phuŋ	pham	phaŋ	phaŋ	lu	lu	lu	ɾiwo	luh̥	lu	ʃaʔ	ligɔŋ
mouth	ʃijam	sem	sphun	sem	sem	natʃau	natʃau	tʃho	tʃutʃo	tʃotʃo	ditʃe	khotʃu	hotʃok
mud	khaʃoŋ; kalija	ɲijakləja	ɲijakhərə	kalija	khale	gotʃuŋ	gutʃuŋ	kutʃuŋ	kə̆tʃuŋ	kutʃuŋ	gatʃi	khatʃham	khatʃam
name	ebeŋ	ebeŋ	ebeŋ	ebeŋ; mbeŋ	ebeŋ	ădʒeŋ	adʒen	adʒen	ădʒeŋ	adʒen	ădʒeŋ	biŋ	biŋ
narrow	khərok	nəkhok	dəəm	dətʃoi	ekhok	atʃaŋdu	atʃap	at̪uŋdu	phɾutʃoŋd̪oʔ	tʃhaŋdoʔasoʔ	gətʃe	phaɾakat̪i	ʃada
near	enui	noi	noi	noi	anoi; atʃua	kapdul	ana	anedu	aɲedo	aneduʔ	aɾeŋ	teapkho	hantaŋ
neck	japu	ejua	ejua	jua	jua	orutuŋ	thuŋtʃe	rutuŋ	phə̆t̪uŋ	bəthuŋ	dro	hendoŋ	hiŋthoŋ
needle	simen	simen	simen	simen	simen	phli	phĭli	phĭli	phiʔ	phi	phĭli	psi	psi
new	evoŋ	ewã	ovou	mvəo	evo	ohan	afan	afan	ăhan	ăhan	afan	okhon	ʔohan
night	hatu	habiu	habiu	habiu	habiu	ɲijoɲijo	nuphu	nŭpʃaŋ	nophuŋ	nophuŋ	najoatʃhi	nambõŋ	næmi; namphoŋ
nine	deke	dəkhy	deke	thəkhei	deke	dikhi	dəkhy	thekiui	theky	theky	dəkhy	t̪hikhu	t̪hikhu
noon	haŋlituwa	hanai	ləthuŋa	hanai	luthua	hatõ	hatomo	hatãu	hatãu	hatõ	gajotan	bətʃan	namka
nose	ephuŋ	ephuŋ	ephuŋ	ephuŋ	ephuŋ	nophuŋ	nophuŋ	aphuŋ	mə̆phuŋ	maphuŋ	nophuŋ	heŋphoŋ	hempoŋ
oil	thou	tel	tələjə	ləfəfə	thel	tho	tho	thou	thou	tho	tal	num	num
old	ehek	ehek	ehe	ehek	ehek	aman	aman	atʃan	omen	aman	omen	omen	omen
one	tʃo	dʒijo	dʒijo	dʒe	dʒe	han	han	han	han	hanan	han	hin	hin
onion	mũak; tʃoŋ	dʒon	tʃoŋ	pjas; tʃoŋ	pias; tʃoŋ	tʃoŋ	tʃoŋ	–	moŋtʃi	maŋtʃhy	maʃiŋ	tʃoŋ	tʃoŋ
paddyrice	niʃik	niʃik; ŋiŋgausik	ŋijan	ŋiŋ	ŋijan	nisːe	nisːe	tʃuaʔri	tʃhuăse	tʃhu	tʃhu	niʃə̆liaʔ	niʃik
palm	pri	watphje	viphijaŋ	watbijaŋ	viphijaŋ; akham	iktʃapar	iktʃapar	ikthuŋ	ikpaɾ	ikpaɾ	ikthuŋ	hutphara	huphala
paper	suʔ	ʃijok	suʔ	seu	ʃo; ʃijok	sigi	sygy	sygi	sə̆ga	sygy	ʃo	ʃigu	ʃigu
path	ləua	luməa	ləua	ləmuthuaʔ	ləmuaʃija	ləmu	nə̆mu	lym	lym	lymtʃand̪oʔ	ham	huma	huma
peanut	badam	badam	badam	badam	badam	badam	badam	–	badam	badam	badam	badam	maŋkha
person	bran	bran	bran	–	tharathamaŋ	dʒiɾiŋ	dʒiɾiŋ	hando	athek	hanendoʔ	–	maŋma	bŭdihin
pig	wok	ʋo	evoʔ	vok	vok	swaʔ	swaʔ	swaʔ	sŭwaʔ; suwak	suwak	suwak	ʃiabaʔ	ʃaba
pillow	tharo	tharo	tharo	tharo	tharo	skom	skom	saŋkhom	saŋkhom	saŋkhom	saŋkhom	khukhum	khumu
potato	mətʃəu	mətʃə	maŋtʃə	madʒie	madʒua	dʒu	dʒu	dʒu	dʒu	dʒu	lasadʒu	tʃəktaŋ	dʒatumplu
rabbit	truk	kaɾgos	truk	kaɾgos	səli	stoptʃaŋkha	khoha	–	–	kaɾgos	–	–	–
rain	haphije	haphije	haphije	haphije	haphije	nimi	nymy	nytʃu	pə̆tʃuh̥	bətʃhuh̥	n̪atʃu	namu	namu
rainbow	pharaŋphakhuwak; saraŋmokhuwaŋ	saraŋmokhuwaŋ	pharamphakhuŋ	saraŋbakhuwaŋ	ʃirbakhuwaŋ	phaŋmenlu	phankluŋ	phaŋlu	phaŋɾuŋ	phaŋɾo	pahu	tholiŋ	thuŋliŋ
rat	thuŋ	thuŋ	thuŋ	thuŋ	thuŋ	stop	stop	stop	stăp	sə̆top	sə̆thə	sămtu	sămtu
red	eʃek	eʃaik; ʃeik	eʃaik	ʃei	eʃaik	ehek	ehek	ehek	ʔĕhĕʔ	ehek	ehek	oɾkhejaʔ	ʔĕhĕʔ
redpepper	tʃalijau	tʃalau; tʃalem	tʃalijau	dʒalim	tʃalem	moŋ	moŋ	mu	moŋ	moŋ	moŋ	solu	solo
right	phazui	phozoi	phozoi	havik	phazui	atʃoto	atʃho	atʃou	heʔ	atʃho	atʃho	thita	huʃu
ring (onfinger)	kəna	gənat	gənat	gənat	gənat	istop	tʃodop	tʃidop	tʃidop	kid̪op	gilan	tʃedum	tʃajduʔ
ripe	emeŋ	dʒum; men	emijan	emen	emeŋ	juŋkhan	juŋba	henĭbe	dʒuŋbo	dʒuŋkaŋ	juŋpə̆hu	hijaʔdeʔ	dʒomde
river	khoɲoi	kaʃat	kho	kaʃat	khamua	kho	tuŋkhan	dʒankou	bədʒaŋkho	khujoʔ	gafũ	maŋkou	khuma
road	ləmua	ləmua	ləmua	ləmua	ləmua	ləmu	ali	lym	gaɾilym	lymădoʔ	gaɾilym	huma	huma
roof	məkau	məkau	sabakhuŋ	situwaŋ	saphuje	jamkhumu	jamnakpa	tampe	jamtʃŭŋ	khajap	jamtʃŭŋ	wamtʃa	wamtʃa
root	eraŋ	eraŋ	eraŋ	eraŋ	eraŋ	rabo	ʔihi	ahi	ʔĭhĩ	ʔihi	dik	rawaʔ	lej
rotten (fruit)	eʃuŋ	ʃoŋ	eʃuŋ	eʃuŋ	eʃuŋ	barokhan	–	hũlũbe	–	anuŋ	gafuŋ	ɲaŋoŋloŋ	–
salt	suruwa	surəja	suruwa	suɹe	suruwa	huŋ	hu	huŋ	huŋ	huŋ	hɨ̃	ha	ha
same	õ	õ	õ	õ	ŏdʒe	adu	hando	handou	ăt̪ːu	hanandoʔ	ăt̪ːu	tʃikdabe	mahinden
sand	bali	bali	bali	bali	bali	betʃo	mukho	pho	khŭbo	khobo	gəpha	besa	betʃa
