Item	Site	Site_Name	PDF_Page	Printed_Page	Column	Cell_Image	Raw_OCR	OCR_Alternates	Transcription	Review	Uncertainty	Blank	Notes
9	RAI	Raila Village	36	29	2	cells/i009-RAI-pdf036.png	gothi			pending manual source-image review			
9	SHA	Shalwar Village	35	28	1	cells/i009-SHA-pdf035.png	iguthi:.			pending manual source-image review			
9	SHG	Shangarh	35	28	3	cells/i009-SHG-pdf035.png	gathi			pending manual source-image review			
9	SID	Sidua	37	30	1	cells/i009-SID-pdf037.png	ghunti.			pending manual source-image review			
10	ANI	Ani	39	32	2	cells/i010-ANI-pdf039.png	pet			pending manual source-image review			
10	BAT	Bathad	37	30	3	cells/i010-BAT-pdf037.png	pheth			pending manual source-image review			
10	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i010-BHU-pdf038.png	pe.			pending manual source-image review			
10	CHI	Chinninal Village	35	28	2	cells/i010-CHI-pdf035.png	E:th qan°			pending manual source-image review			
10	CHU	Churla / Lag Valley	34	27	2	cells/i010-CHU-pdf034.png	pEth			pending manual source-image review			
10	GAR	Garsah	38	31	1	cells/i010-GAR-pdf038.png	:10. dind			pending manual source-image review			
10	JIB	Jibhi	37	30	2	cells/i010-JIB-pdf037.png	pe:t/dăn			pending manual source-image review			
10	KUL	Kullu (District Headquarters)	38	31	2	cells/i010-KUL-pdf038.png	peth			pending manual source-image review			
10	LOR	Loren / South Kullu Valley	34	27	3	cells/i010-LOR-pdf034.png	"drnd/pett/did"""			pending manual source-image review			
10	MAN	Manali	36	29	1	cells/i010-MAN-pdf036.png	10. pe tha			pending manual source-image review			
10	MAR	Maraur Village	36	29	3	cells/i010-MAR-pdf036.png	daň'			pending manual source-image review			
10	MNK	Manikaran	39	32	1	cells/i010-MNK-pdf039.png	dund			pending manual source-image review			
10	RAI	Raila Village	36	29	2	cells/i010-RAI-pdf036.png	da:n?			pending manual source-image review			
10	SHA	Shalwar Village	35	28	1	cells/i010-SHA-pdf035.png	dhaň/Y			pending manual source-image review			
10	SHG	Shangarh	35	28	3	cells/i010-SHG-pdf035.png	eheyb.			pending manual source-image review			
10	SID	Sidua	37	30	1	cells/i010-SID-pdf037.png	phet			pending manual source-image review			
11	ANI	Ani	39	32	2	cells/i011-ANI-pdf039.png	1CJ			pending manual source-image review			
11	BAT	Bathad	37	30	3	cells/i011-BAT-pdf037.png	•БGczp			pending manual source-image review			
11	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i011-BHU-pdf038.png	tà: y(9)			pending manual source-image review			
11	CHI	Chinninal Village	35	28	2	cells/i011-CHI-pdf035.png	tonga			pending manual source-image review			
11	CHU	Churla / Lag Valley	34	27	2	cells/i011-CHU-pdf034.png	dzonghs			pending manual source-image review			
11	GAR	Garsah	38	31	1	cells/i011-GAR-pdf038.png	H. dzong®			pending manual source-image review			
11	JIB	Jibhi	37	30	2	cells/i011-JIB-pdf037.png	dzang			pending manual source-image review			
11	KUL	Kullu (District Headquarters)	38	31	2	cells/i011-KUL-pdf038.png	nng ldzong			pending manual source-image review			
11	LOR	Loren / South Kullu Valley	34	27	3	cells/i011-LOR-pdf034.png	dzongo			pending manual source-image review			
11	MAN	Manali	36	29	1	cells/i011-MAN-pdf036.png	'dzang			pending manual source-image review			
11	MAR	Maraur Village	36	29	3	cells/i011-MAR-pdf036.png	thais/dango			pending manual source-image review			
11	MNK	Manikaran	39	32	1	cells/i011-MNK-pdf039.png	ebGezo			pending manual source-image review			
11	RAI	Raila Village	36	29	2	cells/i011-RAI-pdf036.png	dzong®			pending manual source-image review			
11	SHA	Shalwar Village	35	28	1	cells/i011-SHA-pdf035.png	"(l)znyy"""			pending manual source-image review			
11	SHG	Shangarh	35	28	3	cells/i011-SHG-pdf035.png	lath/t3ong			pending manual source-image review			
11	SID	Sidua	37	30	1	cells/i011-SID-pdf037.png	ebüezp			pending manual source-image review			
12	ANI	Ani	39	32	2	cells/i012-ANI-pdf039.png	dzay d3			pending manual source-image review			
12	BAT	Bathad	37	30	3	cells/i012-BAT-pdf037.png	pojil.			pending manual source-image review			
12	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i012-BHU-pdf038.png	PE: E			pending manual source-image review			
12	CHI	Chinninal Village	35	28	2	cells/i012-CHI-pdf035.png	ifa:			pending manual source-image review			
12	CHU	Churla / Lag Valley	34	27	2	cells/i012-CHU-pdf034.png	5:3d			pending manual source-image review			
12	GAR	Garsah	38	31	1	cells/i012-GAR-pdf038.png	'12. dzong®			pending manual source-image review			
12	JIB	Jibhi	37	30	2	cells/i012-JIB-pdf037.png	dzang°			pending manual source-image review			
12	KUL	Kullu (District Headquarters)	38	31	2	cells/i012-KUL-pdf038.png	Per			pending manual source-image review			
12	LOR	Loren / South Kullu Valley	34	27	3	cells/i012-LOR-pdf034.png	pe:I			pending manual source-image review			
12	MAN	Manali	36	29	1	cells/i012-MAN-pdf036.png	12. Биотор, 37.			pending manual source-image review			
12	MAR	Maraur Village	36	29	3	cells/i012-MAR-pdf036.png	dz11g			pending manual source-image review			
12	MNK	Manikaran	39	32	1	cells/i012-MNK-pdf039.png				pending manual source-image review			
12	RAI	Raila Village	36	29	2	cells/i012-RAI-pdf036.png	dzoyg			pending manual source-image review			
12	SHA	Shalwar Village	35	28	1	cells/i012-SHA-pdf035.png	tsakhasn			pending manual source-image review			
12	SHG	Shangarh	35	28	3	cells/i012-SHG-pdf035.png	d3ong			pending manual source-image review			
12	SID	Sidua	37	30	1	cells/i012-SID-pdf037.png	:ebhezp			pending manual source-image review			
13	ANI	Ani	39	32	2	cells/i013-ANI-pdf039.png	kalağo			pending manual source-image review			
13	BAT	Bathad	37	30	3	cells/i013-BAT-pdf037.png	tsamocali			pending manual source-image review			
13	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i013-BHU-pdf038.png	mas (aflesh)			pending manual source-image review			
13	CHI	Chinninal Village	35	28	2	cells/i013-CHI-pdf035.png	tfamnba			pending manual source-image review			
13	CHU	Churla / Lag Valley	34	27	2	cells/i013-CHU-pdf034.png	khal			pending manual source-image review			
13	GAR	Garsah	38	31	1	cells/i013-GAR-pdf038.png	/3. khal			pending manual source-image review			
13	JIB	Jibhi	37	30	2	cells/i013-JIB-pdf037.png	klpo			pending manual source-image review			
13	KUL	Kullu (District Headquarters)	38	31	2	cells/i013-KUL-pdf038.png	Iambli			pending manual source-image review			
13	LOR	Loren / South Kullu Valley	34	27	3	cells/i013-LOR-pdf034.png	khal			pending manual source-image review			
13	MAN	Manali	36	29	1	cells/i013-MAN-pdf036.png	"13. ""tşombdi"			pending manual source-image review			
13	MAR	Maraur Village	36	29	3	cells/i013-MAR-pdf036.png	khal			pending manual source-image review			
13	MNK	Manikaran	39	32	1	cells/i013-MNK-pdf039.png	Lalra			pending manual source-image review			
13	RAI	Raila Village	36	29	2	cells/i013-RAI-pdf036.png	kha:l/klp/^			pending manual source-image review			
13	SHA	Shalwar Village	35	28	1	cells/i013-SHA-pdf035.png	kMapli			pending manual source-image review			
13	SHG	Shangarh	35	28	3	cells/i013-SHG-pdf035.png	ka:l			pending manual source-image review			
13	SID	Sidua	37	30	1	cells/i013-SID-pdf037.png	tfambadi			pending manual source-image review			
14	ANI	Ani	39	32	2	cells/i014-ANI-pdf039.png	adiko			pending manual source-image review			
14	BAT	Bathad	37	30	3	cells/i014-BAT-pdf037.png	hacika			pending manual source-image review			
14	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i014-BHU-pdf038.png	had			pending manual source-image review			
14	CHI	Chinninal Village	35	28	2	cells/i014-CHI-pdf035.png	Ag:i:			pending manual source-image review			
14	CHU	Churla / Lag Valley	34	27	2	cells/i014-CHU-pdf034.png	vreJvy,			pending manual source-image review			
14	GAR	Garsah	38	31	1	cells/i014-GAR-pdf038.png	i4. VYeJV4			pending manual source-image review			
14	JIB	Jibhi	37	30	2	cells/i014-JIB-pdf037.png	ACK^			pending manual source-image review			
14	KUL	Kullu (District Headquarters)	38	31	2	cells/i014-KUL-pdf038.png	hödi			pending manual source-image review			
14	LOR	Loren / South Kullu Valley	34	27	3	cells/i014-LOR-pdf034.png	3,7,TV			pending manual source-image review			
14	MAN	Manali	36	29	1	cells/i014-MAN-pdf036.png	14. ! реч			pending manual source-image review			
14	MAR	Maraur Village	36	29	3	cells/i014-MAR-pdf036.png	. h)1Fk^			pending manual source-image review			
14	MNK	Manikaran	39	32	1	cells/i014-MNK-pdf039.png	araka			pending manual source-image review			
14	RAI	Raila Village	36	29	2	cells/i014-RAI-pdf036.png	. hapks			pending manual source-image review			
14	SHA	Shalwar Village	35	28	1	cells/i014-SHA-pdf035.png	"hla:""khn"			pending manual source-image review			
14	SHG	Shangarh	35	28	3	cells/i014-SHG-pdf035.png	hasaks			pending manual source-image review			
14	SID	Sidua	37	30	1	cells/i014-SID-pdf037.png	(h)adike:			pending manual source-image review			
15	ANI	Ani	39	32	2	cells/i015-ANI-pdf039.png	1о4			pending manual source-image review			
15	BAT	Bathad	37	30	3	cells/i015-BAT-pdf037.png				pending manual source-image review			
15	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i015-BHU-pdf038.png	1o(h)u			pending manual source-image review			
15	CHI	Chinninal Village	35	28	2	cells/i015-CHI-pdf035.png	un,)			pending manual source-image review			
15	CHU	Churla / Lag Valley	34	27	2	cells/i015-CHU-pdf034.png	k'un			pending manual source-image review			
15	GAR	Garsah	38	31	1	cells/i015-GAR-pdf038.png	15. 1o (h)u			pending manual source-image review			
15	JIB	Jibhi	37	30	2	cells/i015-JIB-pdf037.png				pending manual source-image review			
15	KUL	Kullu (District Headquarters)	38	31	2	cells/i015-KUL-pdf038.png	10(h)u			pending manual source-image review			
15	LOR	Loren / South Kullu Valley	34	27	3	cells/i015-LOR-pdf034.png	"K'un/lo"""			pending manual source-image review			
15	MAN	Manali	36	29	1	cells/i015-MAN-pdf036.png	"15. lo""hu"			pending manual source-image review			
15	MAR	Maraur Village	36	29	3	cells/i015-MAR-pdf036.png				pending manual source-image review			
15	MNK	Manikaran	39	32	1	cells/i015-MNK-pdf039.png				pending manual source-image review			
15	RAI	Raila Village	36	29	2	cells/i015-RAI-pdf036.png	lou			pending manual source-image review			
15	SHA	Shalwar Village	35	28	1	cells/i015-SHA-pdf035.png	"""91."			pending manual source-image review			
15	SHG	Shangarh	35	28	3	cells/i015-SHG-pdf035.png	"10"""			pending manual source-image review			
15	SID	Sidua	37	30	1	cells/i015-SID-pdf037.png	10			pending manual source-image review			
16	ANI	Ani	39	32	2	cells/i016-ANI-pdf039.png	baya			pending manual source-image review			
16	BAT	Bathad	37	30	3	cells/i016-BAT-pdf037.png	.eslng			pending manual source-image review			
16	BHU	Bhutti Village / Lag Valley	38	31	3	cells/i016-BHU-pdf038.png	b1gga			pending manual source-image review			
16	CHI	Chinninal Village	35	28	2	cells/i016-CHI-pdf035.png	d/ Kariğu: baggr			pending manual source-image review			
16	CHU	Churla / Lag Valley	34	27	2	cells/i016-CHU-pdf034.png	ban'ge			pending manual source-image review			
16	GAR	Garsah	38	31	1	cells/i016-GAR-pdf038.png	16. bangs			pending manual source-image review			
16	JIB	Jibhi	37	30	2	cells/i016-JIB-pdf037.png	bayga			pending manual source-image review			
16	KUL	Kullu (District Headquarters)	38	31	2	cells/i016-KUL-pdf038.png	bngga			pending manual source-image review			
16	LOR	Loren / South Kullu Valley	34	27	3	cells/i016-LOR-pdf034.png	harjga			pending manual source-image review			
16	MAN	Manali	36	29	1	cells/i016-MAN-pdf036.png	16. banga			pending manual source-image review			
16	MAR	Maraur Village	36	29	3	cells/i016-MAR-pdf036.png	vbheq			pending manual source-image review			
16	MNK	Manikaran	39	32	1	cells/i016-MNK-pdf039.png	banga			pending manual source-image review			
16	RAI	Raila Village	36	29	2	cells/i016-RAI-pdf036.png	baygr			pending manual source-image review			
16	SHA	Shalwar Village	35	28	1	cells/i016-SHA-pdf035.png	'hrijgs/ bun badiii/ i			pending manual source-image review			
16	SHG	Shangarh	35	28	3	cells/i016-SHG-pdf035.png	brng^			pending manual source-image review			
16	SID	Sidua	37	30	1	cells/i016-SID-pdf037.png	tsuti			pending manual source-image review			
17	ANI	Ani	46	39	2	cells/i017-ANI-pdf046.png	punzebha			pending manual source-image review			
17	BAT	Bathad	44	37	3	cells/i017-BAT-pdf044.png				pending manual source-image review			
17	BHU	Bhutti Village / Lag Valley	45	38	3	cells/i017-BHU-pdf045.png	dzandzosi			pending manual source-image review			
17	CHI	Chinninal Village	42	35	2	cells/i017-CHI-pdf042.png	lnygaci			pending manual source-image review			
17	CHU	Churla / Lag Valley	41	34	2	cells/i017-CHU-pdf041.png	"""dzandzars"			pending manual source-image review			
17	GAR	Garsah	45	38	1	cells/i017-GAR-pdf045.png	badzebr			pending manual source-image review			
17	JIB	Jibhi	44	37	2	cells/i017-JIB-pdf044.png	pandze:bn			pending manual source-image review			
17	KUL	Kullu (District Headquarters)	45	38	2	cells/i017-KUL-pdf045.png	d3indzor			pending manual source-image review			
17	LOR	Loren / South Kullu Valley	41	34	3	cells/i017-LOR-pdf041.png	dzrndzEIA			pending manual source-image review			
17	MAN	Manali	43	36	1	cells/i017-MAN-pdf043.png	i 'pandzeba			pending manual source-image review			
17	MAR	Maraur Village	43	36	3	cells/i017-MAR-pdf043.png	dizeleib/ brdzeba			pending manual source-image review			
