PDF_Page	Printed_Page	Site	First_Item	Forms_JSON	Review	Uncertainty_JSON	Notes
41	34	CHU	17	["ˈdʒəɳdʒərə","ˈmʌɳɖəli","dʒoˈɽe","ˈtolːe","ˈbetəli / dʒʊkəɭi","ʃeːr","gɽãː","gəːr","tʃʌpərə","dərwədʒə","ˈtəkːi","bʰuːaːr","ˈkʊɭtə / tokɽi","moːl","tʃʰuːɭi","ˈdatʃi"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
41	34	LOR	17	["ˈdʒəɳdʒerə","ˈmʌɳɖəli","dʒʊte / polɽe","ˈtolːe","pətu / dʒʊkɭe / doɭu","ʃeːrə","gɽãː(n)","gaːr","tʃʌpər","dərwədʒə","ˈtəkːi","bʰwaːr","kʊɭdə / tʃʰəbro","moːl","tʃʰuɭi","datʃi / kɪrəɭi"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
42	35	SHA	17	["ləŋgəri / peːdʒebə","ˈmʌɳɖəli","puːɭə","koʈ / dʰʌboɭə","ˈpəɭuː / tʃəɳɖrə","səːr / bəɖdʒaːr","gɽãː","gʰaːr","tʃʌpər","dʊaːr","kʊːki / tʃeɽi","bʊaːr / tʃəluːrə","tokɽu","moːl","tʃʰuɭi","datʃiː"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
42	35	CHI	17	["ləŋgəri","mʌɳɖəli","bʊtʰ","cotʰəɳə","sotʰəɳə","ʃeːr / bə(d)zaːr","gəũ","gʰaːr","tʃʌtʰə","dʊaːrə","təkːi","bʊaːrə","tokɽiː","moːlə","tʃʰuɭi","dətʃi"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
42	35	SHG	17	["bəɖdʒeːbə","mʌɳɖəli","pʊɭə / pʊɭərə","dʒʊkɭe / koʈ","dʒʊkɭə / pəlu","saːrə","gɽãː","gʰaːr","tʃʌpərə","dwaːr","ˈtəkːiː","bʊaːr","tokəɽi","moːl","tʃʰuɭi / dʒʊkəɭə","datʃiː"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
43	36	MAN	17	["ˈpəɳdʒebə","mʊɳɖəɖi","ˈbuːtʰə","","","ˈʃehər","ˈgɽãː","ˈgʰor","ˈtʃʰapər","ˈdʊwar","ˈtʰəkːi","ˈbʰu(h)ar","ˈboɭəɽi","ˈmoːl","tʃeɭi","datʃi"]	manual-source-image	["","","","blank","blank","","","","","","","","","","",""]	Items 20-21 are source dashes/confirmed no responses; all other cells checked against scan
43	36	RAI	17	["dʒəɳdʒərə","mʊɳɖəli","buːtʰ / tʃʌpəɭ","koːʈ","dʒɪkəɭə","ʃəːr","gɽãː","gʰaːr","tʃʌpər","dʊaːr","təkːi","bʊaːr","tokəɽi","moːl","tʃeɭi","datʃi"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
43	36	MAR	17	["dʒeɭeːb / bəɖdʒebə","mʌɳɖəli","","","","bəzaːr / ʃeːr","gɽãː","gʰaːr","tʃʌpərə","dʊaːr","təkːi","bʊ(h)aːr","tokəɽə","moːl","tʃeɭi","datʃi"]	manual-source-image	["","","blank","blank","blank","","","","","","","","","","",""]	Items 19-21 are source dashes/confirmed no responses; all other cells checked against scan
44	37	SID	17	["dʒəɳdʒerə","mʊɳɖəɖi","pʊlə","","","bʊzaːr","gʰoɽãː","gʰaːr","tʃʌpəːr","dʊwar","tʰəkːi","bʊhar / tarɭə","tokɽi / dəɭəɖi","mol","dʒʊkə","datʃi"]	manual-source-image	["","","","blank","blank","","","","","","","","","","",""]	Items 20-21 are source dashes; item 28 source annotates big/small alternatives; every cell reviewed
44	37	JIB	17	["pəɳdʒeːbə","mʌɳɖəli","","","","ʃeːr / bəzaːr","gɽãː","gʰaːr","tʃʌpər","dʊaːr","təkːi","bʊaːr","tokəɽi","moːl","dʒʊkə","datʃi"]	manual-source-image	["","","blank","blank","blank","","","","","","","","","","",""]	Items 19-21 are source dashes/confirmed no responses; all other cells reviewed
44	37	BAT	17	["","mʊɳɖəɖi","bʊtʰ / tʃʌpəɭ","","","bʊzaːr","gʰoɽãː","gʰaːr","tʃʌpəːr","dʊwar","tʰəkːi","bʊhar","tokɽi","muːl","dʒʊkə","dʊtʃi"]	manual-source-image	["blank","","","blank","blank","","","","","","","","","","",""]	Items 17, 20, and 21 are source dashes; every other cell reviewed
45	38	GAR	17	["bəɖdʒebə","mʌɳɖəli","bʊtʰ","","","bəzaːr","gɽãː","gʰoːr","tʃʌpər","dʊaːr","təkːi","bʊhaːr","tʃəbaɽi / tokəɽi","moːl","tʃeɭi","datʃi / daːt"]	manual-source-image	["","","","blank","blank","","","","","","","","","","",""]	Items 20-21 are source dashes; every other cell reviewed
45	38	KUL	17	["dʒəɳdʒor","mʌɳɖəli / gʌtʰiː","","","","ʃeːr","","gʰoːr","tʃʌpər","dərwədʒə / dʊaːr","təkːi","bʰuːaːr","tokəɽi","mol","tʃeɭi / təkɽi","datʃi / dətʃ"]	manual-source-image	["","","blank","blank","blank","","blank","","","","","","","","",""]	Items 19-21 and 23 are source dashes/confirmed blanks; all other cells reviewed
45	38	BHU	17	["dʒəɳdʒəri","mʌɳɖəɭə","","","","bəzaːr / ʃeːr","gəũ / gɽãː","gʰaːr","tʃʌpəːr","dərwədʒaː","təkːi","bʊhaːr","tokəɽi","muːɭə","tʃʰeɭi","datʃi"]	manual-source-image	["","","blank","blank","blank","","","","","","","","","","",""]	Items 19-21 are source dashes/confirmed blanks; all other cells reviewed
46	39	MNK	17	["pʊɳdʒebə","mʊɳɖəɖi","","","","bəzaːr","gəɽãː","gʰaːr","tʃʰapəːr","dʊwəːr","təkːi","bʊwar","tokɽi","moːl","tʃʰeɭi","datʃi"]	manual-source-image	["","","blank","blank","blank","","","","","","","","","","",""]	Items 19-21 are source dashes/confirmed blanks; all other cells reviewed
46	39	ANI	17	["pʊɳdʒebʰə","beɖi","","","","bʊzar","gəɽõː","gʰoːr","tʃʌpəːr","dʊwar","tɪro","ʃʊn","tʃəbʊ","gobər","tʃeɽdi","datʃi"]	manual-source-image	["","","blank","blank","blank","","","","","","","","","","",""]	Items 19-21 are source dashes/confirmed blanks; all other cells reviewed
48	41	CHU	33	["kəˈrərə","ˈtʃʌkːu","ˈrəʃi","gɛ̃ːt̪i","bəɽʰənə","ˈbeltʃə","","","ˈdʰiərə","zoːt","sʌrəg","tʃʰãũ / tʃʰə̃dʒə","gaːʃ","pəɳi","nõːi","tʃʰeːt"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; item 36 annotated pickaxe; every other cell reviewed
48	41	LOR	33	["kɪrəɭi","tʃəku / tʃʰoɽi","ˈrəʃi","gɛ̃ːtə","hoɭ","beltʃə","","","səːrdʒə","zoːt","sʌrəgə","tʃʰãũ","gaːʃ","paːɳi","nõːi","sʊniːt"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; item 48 has source uncertainty mark; every cell reviewed
49	42	SHA	33	["kʊrəɖu","tʃʰʊri","rəʃi","koɖaːl","haːl","beltʃə","dʰənʊ kʊbaːn","tiːr","səːrdʒə","dʒʊtʰ","sʌrəg","tʃəitʰ","pəɳi əun","paːɳi","naːi","tʃetʰ"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
49	42	CHI	33	["kəɽaɖi","tʃʌkːu","rəʃiː","dʒoːɭ","haːl","beːltʃə","","","səːr(d)ʒə","zotʰ","kaːʃ","tʃəitʰ","","paːɳi","naːu","kʰetʰ"]	manual-source-image	["","","","","","","blank","blank","","","","","blank","","",""]	Items 39-40 and 45 are source dashes; every other cell reviewed
49	42	SHG	33	["kəɽaɖə","tʃʌkʊ","rəʃi","kʊɖaːɭ","haɭ","beltʃə","","","səːrdʒ","dʒotʰ","sʌrəg","tʃəitʰ","pəɳi","pəɳi","","tʃeːt / sʊpə"]	manual-source-image	["","","","","","","blank","blank","","","","","","","blank",""]	Items 39-40 and 47 are source dashes; every other cell reviewed
50	43	MAN	33	["ˈkəɽaɖi","tʃʊri","ˈrəʃi","ˈkəɖaʃ","ˈhoː","ˈbejʊtʃə","","","ˈdʊːpə","dʒotʰ","səreg","ʃɪli","gʰaʃ","ˈpəɳi","ˈnoh","ˈdʒetʰ"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; every other cell reviewed
50	43	RAI	33	["kəɽaɖə","tʃʌkʊ","rəʃi","koɖwal","halə","beltʃə","","","sʊrʒ","(d)zotʰ","səreg","tʃəitʰ","paːɳi / gaʃ","paːɳi","noi","tʃeːt / sʊm / sʊpə"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; item 48 includes wet/dry alternatives; every cell reviewed
50	43	MAR	33	["kəlaɽə","tʃʌkʊ","ˈrəʃi","goɖwal","haːl","beltʃə","","","səːrdʒ","dʒotʰ","səreg","","pəɳi","pəɳi","ɪt / ɪt","kʰet / tʃet"]	manual-source-image	["","","","","","","blank","blank","","","","blank","","","",""]	Items 39-40 and 44 are source dashes; all other cells reviewed
51	44	SID	33	["kʊrəɖi","tʃʊri","rəʃi","kʊɖaɭi","hoɭ","beltʃə","","","dihəɽdə","dʒotʰ","sərəg","tʃai","pəɳi","pəɳi","noːe","kətʰə"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; item 48 has source wet/dry note; every cell reviewed
51	44	JIB	33	["kʊrəɖə","tʃʌkʊ","rəʃi","kʊɖaːl","haːl","beltʃə","","","diaɽə","zoːtʰ","səreg","tʃai / tʃəitʰ","paːɳi","paːɳi","gaːɖ","kʰetʃ"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; every other cell reviewed
51	44	BAT	33	["kʊrəɖə","tʃũri","rəʃi","kʊɖaːl","hoɭ","beltʃə","","","di(h)aɽdə","dʒotʰ","sərəg","tʃəitʰ","pəɳi","pəɳi","noːe","ketʃ"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; item 48 has source wet/dry note; every cell reviewed
52	45	GAR	33	["kəɽʰãɖi","tʃʌkʊ","rəʃi","kəɖaːl","haɭ","beltʃə","","","səːrz","dʒotʰ","sʌrəg","tʃəũ","gaːʃ","pəɳi","naː","tʃet / sʊpə"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; every other cell reviewed
52	45	KUL	33	["kəɽaːɖi","tʃʊri / tʃʌkʊ","roʃi","kəɖaːl","haːl","beːltʃə","","","səːrdʒə","tʃəɳɖ","tʃəitʰ / səreg","tʃʰaːũ","gaːʃ","paːɳi","","tʃetʰ / sʊpə"]	manual-source-image	["","","","","","","blank","blank","","","","","","","blank",""]	Items 39-40 and 47 are source dashes; every other cell reviewed
52	45	BHU	33	["kəɽãːɖi","tʃʌkʊ","rəʃi","kəɖaːl","haːl","beltʃə","","","dʊpʰə / səːrdʒə","dʒʊtʰ","səreg","tʃʰaːũ","gaːʃ","pəɳi","nõːi","tʃetʰ"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; every other cell reviewed
53	46	MNK	33	["kəɽəɽʊ","tʃʌkʊr","rəʃi","gɛ̃tə / kʊɽdar","hə","beltʃə","","","sʊrdʒ","zotʰ","sərəg","səũtʰ","gaʃ","pəɳi","no","tʃetʰə"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; every other cell reviewed
53	46	ANI	33	["kəɽaʊlo","tʃʊɽi","rəʃi","kʊɖaɭi","hoɭ","beltʃo","","","dəhəɽlo","dʒot","səreg","tʃeɭi","pəɳi","pəɳi","dəɽədʒo","kʰet"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 39-40 are source dashes; every other cell reviewed
55	48	CHU	49	["ˈpəɖeridʒ miːn","dʰəŋg","tʌŋgerəstə","ˈteːz bəgəɽə","əg","dʰũĩ","sʊəː","mʌtːə","ˈpətʰrə","dʊˈrə","sʊˈnə","tɽəmbə","dʒəŋgəli","bəˈtːe","poˈtʃə","dʒʰaɽi"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
55	48	LOR	49	["poɖerə","ɖoŋg","botʰ / goɽə","ˈbəgəɽə","ag","dũə","baːs","mʌtʰə","toɭi / pətʰrə","dʊːɭə","sʊnːə","tɽəmbə","bəːnə","bʌtʰə","poɽə / potʃə","dʒʰaːr / dʒoɭərə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
56	49	SHA	49	["so / dʰotəɭə","zoːtʰ / zoɭəɭu","hʊtʃi baːtʰ","bəgəɽ","aːg","dʰũː","tʃʰaːr","mʌtʰə","pətʰrə","dʊrə","sʌnə","","bon / dʒəŋg / gaɖerə","botːe","paːtʃ","bəɭoɭu"]	manual-source-image	["","","","","","","","","","","","blank","","","",""]	Item 60 is source blank; every other cell reviewed
56	49	CHI	49	["sõwəː","pʰaːɭə","rəstə / goɽərə","bəgəɭə","","dõː / dʰõː","tʃaːrə","mʊtʃiː","dʒəɳiː","dʊɽin","sʌnːə","leɳɖ","beɽ","botːiː","pətːi","paɽə"]	manual-source-image	["","","","","blank","","","","","","","","","","",""]	Item 53 is visually confirmed blank; every other cell reviewed
56	49	SHG	49	["saː / soː / taːtʃə","dʒotʰ","baːtʰ","bəgəɽ","aːg","dʰuː","tʃaːr / suaːr","mʌtʰə","","dʊɽ","sʌnːə","leɳɖ","buːɳə","bʊtʰə","paːtʃ","poɖʰ"]	manual-source-image	["","","","","","","","","blank","","","","","","",""]	Item 57 is source blank; every other cell reviewed
57	50	MAN	49	["tʃəwəbə","dʒotʰ","ˈbotʰə","ˈbəgəɽ","ˈəg","dʰũə","tʃʰaːr","ˈmʌtʰə","ˈpətʰər","ˈdʊɽə","ˈsʊnə","ˈpʊtəl","ˈbəɳ","ˈbuːtʰi","potʃə","ˈbʊti"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
57	50	RAI	49	["sə̃wə̃ / mədən","zoːtʰ","baːtʰ","bəgəɽ","aːg","dʰũː","(t)saːr","mʌtʰə","pətʰrə","dʊɽə","sʌnə / rʊpə","pʊtʰəl","bʊɳə","buːtʰə","paːtʃ","botʊlʊ"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
57	50	MAR	49	["səwə̃","tʃʰəŋg","baːtʰ","bəgəɽ","aːg","dʰũː","tʃaːr","mʌtʰə","pətʰrə","dʊɽə","sʌnə","pʊtəl","gʊaːr","bʰatʰə","paːtʃ","pəũɖə / bʰotʰə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
58	51	SID	49	["məɖən","dʰəŋg","batʰ","bʰagəɽ","ag","dʰãː","tsaːr","mətʰə","gʰotʰə","dʊːɖə","sʊnə","pɪtʰəl","bʰoɳ","buːtʰə","potʃʰ","tʃotə bʊtə"]	manual-source-image	[]	Item 57 source annotates throwing stone; item 64 is a source phrase; all cells reviewed
58	51	JIB	49	["taːtʃ","zoːtʰ","batʰ","bəgəɽ","ag","dũːh","taːr","mʌtʰə","pətʰrə","dʊːɭ","sʊnːə","pɪtəl","bõːn","diar / botʰ","paːtʃ","pəũɖə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
58	51	BAT	49	["məɖən","dʒot","batʰ","bʰagəɽ","agʰ","dʰũhũ","tsaːr","tʃɪtʃ","pətəɽ","dʰuːɖə","sʊnə","pɪtʰəl","bʰoɳ","bʰuːtʰə","pʰotʃʰ","tʃotʰə bʰuːtʰə"]	manual-source-image	[]	Item 64 is a source phrase; every cell reviewed
59	52	GAR	49	["pəɖeɽ","dʰaːg","baːtʰ","bəgəɽ","aːg","dũwə","tʃaːr","mʌtʰə","pətʰrə","dʊɽə","sʌnːə","pʊtəl","bõɳə","botʰə","potʃʰ","bʊtʰə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
59	52	KUL	49	["moɖaːn","paːɽʰ","rəstə / botʰ","bəgəɽ","aːg","dʰũĩ","tʃaːr / bʰaːs","mʊtːə","pətʰrə","dʊːɽə","sʊnə","pʊtəl","bʰoɳ","botʰə","potʃ","botʰə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
59	52	BHU	49	["pəɖeɽi dʒəŋgə","dʒoːtʰ","gəɽ","bəgəɽ","əg","dʰũwə̃","bʰaːs","mʊtːi / mʌtʰə","pətʃə","","sʌnːə","pʊtʰəl","bʰoɳ","botʰə","pətʃə","(hʊtʃi) bətʰi"]	manual-source-image	["","","","","","","","","","blank","","","","","",""]	Item 58 is visually confirmed source dash; every other cell reviewed
60	53	MNK	49	["pəɽəɽə","tʃəŋgə","bətʰ","bʰagəɽ","əg","dũwã","tsaːr","mʌtʰə","dʊɳə","dʊɭə","sʊɳə","pɪtəl","bʊɳ","bʰuːtə","potʃ","bʰuːtə"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
60	53	ANI	49	["bal","dek","bʰot","bʰagəɽe","əg","dʊwə","tsaːr","mətʰo","dʒəɳi","dʰʊlo","sʊno","pɪtəɭ","boːn","buːtʰ","potʃʰ","buːtʰi"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
62	55	CHU	65	["konˈɖe","pʰul","pʰol","aːm","ˈkeɭə","səŋgəˈtre","ge(h)ũ","tʃʰoːli","tʃəːʊl / bʰatʰ","ˈaːlu","ʃʊgoˈtʃi","ˈmũŋgo pʰəɭi","pɪpɭi","tɪl","leˈsəɳ","piaːz / pəːz"]	manual-source-image	[]	Source annotates apple/plum at item 68-69 and maize at 72; every cell reviewed
62	55	LOR	65	["konɖə","ɖoɭəre","pʰaɭ","aːm","keɭe","seŋgtəɽə","ge(h)ũ / kənək","tʃʰoli","daːn / tʃəːʊl / bʰotʰ","aːlu","ʃʊgoˈtʃi","mʊŋgpʰəɭi","pʊpəɭi","tɪːl","lesəɳ","pijaːdʒ"]	manual-source-image	[]	Source annotates maize at item 72; every cell reviewed
63	56	SHA	65	["kəɳɖə","kʰeːɭ","pʰaːl","aːmbə","keɭə","mɪtʰə gəmbiɽu","gĩũ","dʒʊaːr","dʰaːn / tʃəʊl / bʰatʰ","aːlu","ʃʊgoˈtʃi","mʌŋgpʰəɭi","pʊpəɭi","teːl","ləʃəɳ","pjaːz"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
63	56	CHI	65	["kəɳɖə","kʰeɭ","pʰaːlə","aːmbə","kʰeɭə","ˈsəntərə","ge(h)ũ","","tʃəʊl / bʰaːtʰ","aːlu","","mʌŋgə pʰəɭi","pʊpəɭiː","teːlə","gʰəɳtiɳ","pɪaːdʒ"]	manual-source-image	["","","","","","","","blank","","","blank","","","","",""]	Items 72 and 75 are source dashes/confirmed blanks; every other cell reviewed
63	56	SHG	65	["kəɳɖə","kʰeɭ","pʰaːl","aːm","keɭə","səntəɽə","geũ","bəɖdʒəɽə","dʰaːn / bʰaːtʰ","aːlu","ʃʊgoˈtʃi","ˈmʌŋgpʰəɭi","pʊpəɭiː","tɪl","ləsoɳ","pjaːdʒ"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
64	57	MAN	65	["ˈkoɳɖə","ˈpʰuɭə","ˈpʰəɭ","ˈamb","ˈkəjə","səntərə","ˈgehũ / kənək","","ˈdʰaːn / ˈtʃəʊ / ˈbʰətʰ","ˈaːlu","","ˈmʊŋgpʰəɭi","ˈpɪpəɭi","dʰəɳe","ˈlesəɳ","ˈpjadʒ"]	manual-source-image	["","","","","","","","blank","","","blank","","","","",""]	Items 72 and 75 are source dashes/confirmed blanks; every other cell reviewed
64	57	RAI	65	["ˈkoɳɖə","pʰuːɭ","pʰaːl","ʌmbə","keɭə","səntəɽə","gĩũ","dʒʊaːr","dʰaːn / bʰaːtʰ","ˈaːlu","ˈʃʊgoˈtʃi","mʌŋgpʰəɭi","pʊpəɭi","","ləʃəɳ","pɪaːdʒ"]	manual-source-image	["","","","","","","","","","","","","","blank","",""]	Item 78 is source dash/confirmed blank; every other cell reviewed
64	57	MAR	65	["kəɳɖə","kʰeɭ","pʰaɭ","aːmb","keɭə","səntəɽə","","","tʃəʊl / bʰatʰ","aːlu","beŋgəɳ","mʌŋgpʰəɭi","pʊpəɭi","teɭ","gəɳtiɳ","piaz"]	manual-source-image	["","","","","","","blank","blank","","","","","","","",""]	Items 71-72 are source dashes; every other cell reviewed
65	58	SID	65	["kəɳɖə","kʊɭ","pəɭ","am","keɭə","səntərə","gʰĩẽ","","dʰaːn / tʃəʊ / bʰatʰ","aːlu","ʃʊgotʰri","mʊŋpʰəɭi","pʰʊpəɭi","tʰɪl","gəɳtʰu","pɪjadʒi"]	manual-source-image	["","","","","","","","blank","","","","","","","",""]	Item 72 is source dash/confirmed blank; every other cell reviewed
65	58	JIB	65	["kəɳɖo","kʰeːɭ","pʰəɭ","aːmb","keɭə","səntəɽə","gĩũ","dʒʊaːr","daːn / bʰatʰ","aːlu","ʃʊgoˈtʰri","mʌŋgpʰəɭi","pʊpəɭi","teɭ","ləsoɳ","piaːdʒ"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
65	58	BAT	65	["kəɳɖo","kʊːɭ","pəɭ","am","keɭə","səntərə","gʰĩjũ","bəsaɽə","dʰaːn / tʃəʊl / bʰaːtʰ","aːlu","ʃʊgotʰri","mʊŋpʰəɭi","pʰʊpəɭi","tʰʊl","gʰəɳtʰija","pɪjadʒ"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
66	59	GAR	65	["koɳɖə","pʰʊl","pʰaɭ","am","keɭə","səntəɽə","gehũ","bəɖdʒeɽə","dʰaːn / bʰaːtʰ","aːlu","ʃʊgoˈtʰrʊ","mʌŋpʰəɭi","pʊpəɭi","tɪl","ləsoɳ","piaz"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
66	59	KUL	65	["koɳɖə","fʊːɭ","foːɭ","aːm","keɭə","səntʰəɽə","gĩũ","dʒʊaːr","bʰʊtʰ / tʃʰaʊ","aːlu","kʊʃotʰəɽi","mʌŋgpʰəɭi","pɪpɭi","tɪːl","ləsoɳ","pɪjaːdʒ"]	manual-source-image	[]	Every cell checked against full-page scan and deterministic crop
