PDF_Page	Printed_Page	Line	Item	Gloss	Similarity_Group	Manual_Form	Site_Codes	Unknown_Site_Codes	Confidence	Review_Status	Review_Note
66	56	107	9	tooth	2	dɐʈa	AJU		high	complete	
66	56	108	9	tooth	2	d̪ɐ̃t̪	k		high	complete	
66	56	109	9	tooth	2	d̪ãːt̪	BV		high	complete	
66	56	110	9	tooth	3	t̪ɔrɔɲdʒɨ	T		high	complete	
66	56	113	10	tongue	1	ɐlɐŋg	ACDGHKLMRSdjmpw		high	complete	
66	56	114	10	tongue	1	alaŋg	Uc		high	complete	
66	56	115	10	tongue	1	alʌŋg	KR		high	complete	
66	56	116	10	tongue	1	lɐlaŋg	T		high	complete	
66	56	117	10	tongue	1	ʌlaŋg	Sbt		high	complete	
66	56	118	10	tongue	2	dʒib	Bk		high	complete	
66	56	119	10	tongue	2	dʒibɦ	J		high	complete	
66	56	120	10	tongue	2	dʒiv	VZ		high	complete	
66	56	123	11	breast	1	koɖʌm	J		high	complete	
66	56	124	11	breast	1	kʊɖɔm	CGHKLR		high	complete	
66	56	125	11	breast	1	kʊɖʊm	M		high	complete	
66	56	126	11	breast	1	kʊɖʌm	Um		high	complete	
66	56	127	11	breast	1	kʊɽam	ct		high	complete	
67	57	3	11	breast	1	kʊɽɔm	Sbcdjpw		high	complete	
67	57	4	11	breast	2	tʃat̪i	A		high	complete	
67	57	5	11	breast	2	tʃhat̪	Z		high	complete	
67	57	6	11	breast	2	tʃhat̪ɪ	BDTV		high	complete	
67	57	7	11	breast	3	t̪həlɐi	k		high	complete	
67	57	10	12	belly	1	d̪ɔŋge	CGHM		high	complete	
67	57	11	12	belly	1	d̪oŋge	DKRZ		high	complete	
67	57	12	12	belly	1	d̪oŋgɛt̪	L		high	complete	
67	57	13	12	belly	2	laːdʒɨ	ptw		high	complete	
67	57	14	12	belly	2	laʔdʒɨ	Sb		high	complete	
67	57	15	12	belly	2	ladʒɨ	m		high	complete	
67	57	16	12	belly	2	ladʒɨh	cjp		high	complete	
67	57	17	12	belly	2	laiʔdʒɨ	d		high	complete	
67	57	18	12	belly	3	laːdʒɨ	ptw		high	complete	
67	57	19	12	belly	3	ladʒɨ	m		high	complete	
67	57	20	12	belly	3	ladʒɨh	cjp		high	complete	
67	57	21	12	belly	4	pɛʈ	k		high	complete	
67	57	22	12	belly	4	peʈ	BV		high	complete	
67	57	23	12	belly	4	pɔʈʌ	J		high	complete	
67	57	24	12	belly	4	poʈa	T		high	complete	
67	57	25	12	belly	5	laʔin	U		high	complete	
67	57	26	12	belly	5	lʌhig	A		high	complete	
67	57	29	13	arm	1	t̪iːh	p		high	complete	
67	57	30	13	arm	1	t̪iʔ	S		high	complete	
67	57	31	13	arm	1	t̪ih	mt		high	complete	
67	57	32	13	arm	1	t̪ih	cdjpw		high	complete	
67	57	33	13	arm	1	t̪ihɪ	D		high	complete	
67	57	34	13	arm	1	t̪iɲ	b		high	complete	
67	57	35	13	arm	2	t̪iʔɪ	CDGHKMU		high	complete	
67	57	36	13	arm	2	t̪iʔɪt̪	LZ		high	complete	
67	57	37	13	arm	2	t̪ihɪ	D		high	complete	
67	57	38	13	arm	3	bãh	BTV		high	complete	
67	57	39	13	arm	3	bʌi	A		high	complete	
67	57	40	13	arm	4	haːt̪	BV		high	complete	
67	57	41	13	arm	4	hɐt̪	k		high	complete	
67	57	42	13	arm	4	supʊ	J		high	complete	
67	57	43	13	arm	5	sopɨ	R		high	complete	
67	57	46	14	elbow	1	kɛhʊni	TV		high	complete	
67	57	47	14	elbow	1	kehəni	S		high	complete	
67	57	48	14	elbow	1	kɪhɪni	CDGR		high	complete	
67	57	49	14	elbow	1	kɪhini	k		high	complete	
67	57	50	14	elbow	1	kɪhni	A		high	complete	
67	57	51	14	elbow	1	kɔhɨni	B		high	complete	
67	57	52	14	elbow	1	kuhɨni	MZ		high	complete	
67	57	53	14	elbow	1	kuhʊni	K		high	complete	
67	57	54	14	elbow	2	mʊka	J		high	complete	
67	57	55	14	elbow	2	muk	H		high	complete	
67	57	56	14	elbow	2	muka	bd		high	complete	
67	57	57	14	elbow	2	mukam	djw		high	complete	
67	57	58	14	elbow	2	mukka	ptw		high	complete	
67	57	59	14	elbow	2	mukkah	c		high	complete	
67	57	60	14	elbow	3	mukka	ptw		high	complete	
67	57	61	14	elbow	3	mukkah	c		high	complete	
67	57	62	14	elbow	3	ukka	U		high	complete	
67	57	63	14	elbow	4	muh	L		high	complete	
67	57	64	14	elbow	4	muk	H		high	complete	
67	57	65	14	elbow	5	supuh	m		high	complete	
67	57	68	15	palm	1	t̪iːh	cp		high	complete	
67	57	69	15	palm	1	t̪ɪ	AJ		high	complete	
67	57	70	15	palm	1	t̪ih	mt		high	complete	
67	57	71	15	palm	1	t̪ih	djw		high	complete	
67	57	72	15	palm	2	t̪iʔɪ	CDMZ		high	complete	
67	57	73	15	palm	3	t̪iʔɪ	CDMZ		high	complete	
67	57	74	15	palm	3	t̪iɲʊ	b		high	complete	
67	57	75	15	palm	4	d̪ʌlka	HL		high	complete	
67	57	76	15	palm	4	d̪ʌlkha	R		high	complete	
67	57	77	15	palm	4	t̪ɐlka	U		high	complete	
67	57	78	15	palm	5	t̪ɐɾhat̪	T		high	complete	
67	57	79	15	palm	5	t̪arhat̪ʔmi	c		high	complete	
67	57	80	15	palm	5	t̪həɾɐt̪hi	k		high	complete	
67	57	81	15	palm	5	t̪ʌrhat̪hi	GKS		high	complete	
67	57	82	15	palm	6	hãːt̪	BV		high	complete	
67	57	85	16	finger	1	ɐŋgɾi	BCDHMRSjmpw		high	complete	
67	57	86	16	finger	1	ɐŋguɾ	dk		high	complete	
67	57	87	16	finger	1	aŋgri	BGTbct		high	complete	
67	57	88	16	finger	1	ʌŋgɖi	A		high	complete	
67	57	89	16	finger	1	ʌŋgɾi	J		high	complete	
67	57	90	16	finger	1	ʌŋgri	KVZ		high	complete	
67	57	91	16	finger	1	ʌŋgʈhi	L		high	complete	
67	57	92	16	finger	2	sɐrsɐr	U		high	complete	
67	57	95	17	fingernail	1	nɐkh	BV		high	complete	
67	57	96	17	fingernail	1	nõkh	k		high	complete	
67	57	97	17	fingernail	1	nʌkhi	CDHKLRm		high	complete	
67	57	98	17	fingernail	2	nʌkhi	CDHKLRm		high	complete	
67	57	99	17	fingernail	2	nʌkhʊn	MZ		high	complete	
67	57	100	17	fingernail	3	ɳõh	k		high	complete	
67	57	101	17	fingernail	3	nɐhẽ	Scdptw		high	complete	
67	57	102	17	fingernail	3	nah	GT		high	complete	
67	57	103	17	fingernail	3	nah	b		high	complete	
67	57	104	17	fingernail	4	nɐhɛm	jw		high	complete	
67	57	105	17	fingernail	4	nɐhẽ	Scdptw		high	complete	
67	57	106	17	fingernail	6	ɾama	AJ		high	complete	
67	57	107	17	fingernail	6	rɐmma	U		high	complete	
67	57	110	18	leg	1	kɐʈa	Ubptw		high	complete	
67	57	111	18	leg	1	kɐʈã	c		high	complete	
67	57	112	18	leg	1	kaʈ	CHMZ		high	complete	
67	57	113	18	leg	1	kaʈɨ	KLR		high	complete	
67	57	114	18	leg	1	kaʈah	m		high	complete	
67	57	115	18	leg	2	kɐʈaʔ	S		high	complete	
67	57	116	18	leg	2	kɐʈʈam	bdj		high	complete	
67	57	117	18	leg	2	kaʈah	m		high	complete	
67	57	118	18	leg	2	kaʈam	G		high	complete	
67	57	119	18	leg	2	kʌʈʌt̪	D		high	complete	
67	57	120	18	leg	3	kɐɖɨ	D		high	complete	
67	57	121	18	leg	3	kɐʈa	Ubptw		high	complete	
67	57	122	18	leg	3	kɐʈã	c		high	complete	
67	57	123	18	leg	3	kaʈɨ	KLR		high	complete	
67	57	124	18	leg	4	goɖ	k		high	complete	
67	57	125	18	leg	4	goɖɨ	BV		high	complete	
67	57	126	18	leg	4	kɐɖɨ	D		high	complete	
67	57	127	18	leg	5	goʈha dʒaŋg	T		high	complete	
67	57	128	18	leg	6	ʈaŋg	V		high	complete	
67	57	129	18	leg	7	dʒʌŋga	AJ		high	complete	
67	57	132	19	skin	1	khɐl	d		high	complete	
67	57	133	19	skin	1	khal	STbcjpw		high	complete	
67	57	134	19	skin	1	khalɨ	m		high	complete	
67	57	135	19	skin	2	hɛɽeʔ	CDHKLR		high	complete	
67	57	136	19	skin	2	hʌɽt̪a	L		high	complete	
67	57	137	19	skin	2	hʌrt̪a	AM		high	complete	
67	57	138	19	skin	3	hɛɖe	G		high	complete	
68	58	3	19	skin	3	hɛɽeʔ	CDHKLR		high	complete	
68	58	4	19	skin	4	tʃɐmɖa	BV		high	complete	
68	58	5	19	skin	4	tʃəməʈɐ	k		high	complete	
68	58	6	19	skin	4	tʃəʋɖa	J		high	complete	
68	58	7	19	skin	5	uhuːr	U		high	complete	
68	58	8	19	skin	6	tʃhaɭi	Z		high	complete	
68	58	11	20	bone	1	dʒaŋ	HKRT		high	complete	
68	58	12	20	bone	1	dʒaŋg	ACDGJLMUbcdjmptw		high	complete	
68	58	13	20	bone	1	dʒʌŋgt̪uʔ	S		high	complete	
68	58	14	20	bone	2	hɐɖə	B		high	complete	
68	58	15	20	bone	2	hɐɖi	VZ		high	complete	
68	58	16	20	bone	2	hɐʈ	k		high	complete	
68	58	19	21	heart	1	dʒɪʋʊ	A		high	complete	
68	58	20	21	heart	1	dʒiv	BMRSUZbdjtw		high	complete	
68	58	21	21	heart	1	dʒivɨh	c		high	complete	
68	58	22	21	heart	1	dʒivɪm	m		high	complete	
68	58	23	21	heart	1	dʒiviʔ	c		high	complete	
68	58	24	21	heart	1	dʒivim	w		high	complete	
68	58	25	21	heart	2	d̪hukd̪hʊkhi	CDLRZ		high	complete	
68	58	26	21	heart	2	d̪hukd̪ʊkhiɲ	S		high	complete	
68	58	27	21	heart	2	d̪ukd̪ʊki	GHKT		high	complete	
68	58	28	21	heart	3	d̪il	Vp		high	complete	
68	58	29	21	heart	4	kʊʈhi	K		high	complete	
68	58	30	21	heart	6	ihumsuɾud̪	U		high	complete	
68	58	31	21	heart	7	bʊkːɐ	k		high	complete	
68	58	32	21	heart	8	ɪʔimbuka	J		high	complete	
68	58	35	22	blood	1	ɾɐkt̪i	bt		high	complete	
68	58	36	22	blood	1	ɾʌkt̪hih	m		high	complete	
68	58	37	22	blood	1	ɾʌkt̪hiɲ	S		high	complete	
68	58	38	22	blood	1	rɐkt̪i	cjpw		high	complete	
68	58	39	22	blood	1	rɐkt̪ih	d		high	complete	
68	58	40	22	blood	2	bʌlɨŋgi	CDGHLR		high	complete	
68	58	41	22	blood	2	bʌlʌŋgi	KM		high	complete	
68	58	42	22	blood	3	ləhu	k		high	complete	
68	58	43	22	blood	3	lɔhu	B		high	complete	
68	58	44	22	blood	3	lʌhu	CDLMSVd		high	complete	
68	58	45	22	blood	4	mɐjam	T		high	complete	
68	58	46	22	blood	4	majɔm	U		high	complete	
68	58	47	22	blood	4	mʌjʌm	AJ		high	complete	
68	58	48	22	blood	5	khun	VZ		high	complete	
68	58	57	25	village	1	gɐ̃u	Zk		high	complete	
68	58	58	25	village	1	gaũ	BCDGHKLMRSbmt		high	complete	
68	58	59	25	village	1	gãu	TVcdjpw		high	complete	
68	58	60	25	village	2	ɖɪhi	A		high	complete	
68	58	61	25	village	2	dɛhat̪	B		high	complete	
68	58	62	25	village	3	at̪u	Z		high	complete	
68	58	63	25	village	3	hat̪t̪u	U		high	complete	
68	58	64	25	village	4	bəst̪i	J		high	complete	
68	58	67	26	house	1	ɔɽa	AJ		high	complete	
68	58	68	26	house	1	oɽa	MR		high	complete	
68	58	69	26	house	1	oɽaʔ	CDGHKLSTZbcdjmptw		high	complete	
68	58	70	26	house	1	oɽah	R		high	complete	
68	58	71	26	house	2	oɽaʔ	CDHKLSZbcdjmptw		high	complete	
68	58	72	26	house	2	oɽaʔa	U		high	complete	
68	58	73	26	house	2	oɽah	R		high	complete	
68	58	74	26	house	3	ghɐɾ	BVk		high	complete	
68	58	75	26	house	4	mɐkan	V		high	complete	
68	58	78	27	roof	1	sɐɖim	p		high	complete	
68	58	79	27	roof	1	sɐɖʊm	G		high	complete	
68	58	80	27	roof	1	sɐɽɨmi	U		high	complete	
68	58	81	27	roof	1	sɐɽim	bdjtw		high	complete	
68	58	82	27	roof	1	saɖɪm	J		high	complete	
68	58	83	27	roof	1	saɖum	A		high	complete	
68	58	84	27	roof	1	saɽim	DHKLMm		high	complete	
68	58	85	27	roof	1	saɽĩ	Z		high	complete	
68	58	86	27	roof	1	sɪɽim	D		high	complete	
68	58	87	27	roof	1	sʌɽum	CR		high	complete	
68	58	88	27	roof	2	tʃhɐt̪	MVp		high	complete	
68	58	89	27	roof	2	tʃhʌt̪ɪ	S		high	complete	
68	58	90	27	roof	3	tʃani	BV		high	complete	
68	58	91	27	roof	3	tʃhani	T		high	complete	
68	58	92	27	roof	3	tʃhʌt̪ɪ	S		high	complete	
68	58	93	27	roof	4	pɐʈʈvat̪	p		high	complete	
68	58	94	27	roof	4	pɐʈvɐt̪	cj		high	complete	
68	58	95	27	roof	5	tʃɐin	k		high	complete	
68	58	96	27	roof	5	tʃani	BV		high	complete	
68	58	97	27	roof	5	tʃhani	T		high	complete	
68	58	98	27	roof	6	tʃɐin	k		high	complete	
68	58	99	27	roof	6	tʃhɐt̪	MVp		high	complete	
68	58	102	28	door	1	d̪uar	AGH		high	complete	
68	58	103	28	door	1	d̪uʋər	J		high	complete	
68	58	104	28	door	1	d̪uvar	pw		high	complete	
68	58	105	28	door	1	d̪uwar	CDKLMRSUZbcdmt		high	complete	
68	58	106	28	door	2	d̪uvar	pw		high	complete	
68	58	107	28	door	2	d̪uwar	CDKLMRSUbcdmt		high	complete	
68	58	108	28	door	2	kewaɾ	C		high	complete	
68	58	109	28	door	3	kɛwãɖɨ	Vpw		high	complete	
68	58	110	28	door	3	kɛwãɽi	t		high	complete	
68	58	111	28	door	3	kewaɾ	C		high	complete	
68	58	112	28	door	3	kewãɖɨ	Bcj		high	complete	
68	58	113	28	door	3	kẽwaɾi	Md		high	complete	
68	58	114	28	door	4	d̪uar	AGH		high	complete	
68	58	115	28	door	4	d̪uɾɐ	Tk		high	complete	
68	58	116	28	door	4	d̪ura	B		high	complete	
68	58	119	29	firewood	1	sɐhɐn	TUZbdmptw		high	complete	
68	58	120	29	firewood	1	sɐhan	cj		high	complete	
68	58	121	29	firewood	1	saʔan	CDGM		high	complete	
68	58	122	29	firewood	1	sʌhanə	A		high	complete	
68	58	123	29	firewood	1	sʌhən	J		high	complete	
68	58	124	29	firewood	1	sʌhʌn	HKLRS		high	complete	
68	58	125	29	firewood	2	lɐkɖi	V		high	complete	
68	58	126	29	firewood	2	lɐkri	B		high	complete	
68	58	127	29	firewood	3	kəthi	k		high	complete	
68	58	130	30	broom	1	dʒɔno	A		high	complete	
68	58	131	30	broom	1	dʒɔnɔ	H		high	complete	
68	58	132	30	broom	1	dʒɔnɔʔ	Sbd		high	complete	
68	58	133	30	broom	1	dʒonɔ	KMR		high	complete	
68	58	134	30	broom	1	dʒonɔʔ	CDGLTjmpw		high	complete	
68	58	135	30	broom	1	dʒonoʔ	ct		high	complete	
68	58	136	30	broom	1	dʒonoʔɔ	UZ		high	complete	
68	58	137	30	broom	1	dʒʌnɔ	J		high	complete	
68	58	138	30	broom	2	bɐɖhɨni	V		high	complete	
69	59	3	30	broom	2	bɐʈni	k		high	complete	
69	59	4	30	broom	3	bɐɖhɨni	V		high	complete	
69	59	5	30	broom	3	bɔhɨri	B		high	complete	
69	59	8	31	mortar	1	bɐhɨna	CGcm		high	complete	
69	59	9	31	mortar	1	bɐhɐna	DHKLMRZdjw		high	complete	
69	59	10	31	mortar	2	ɔkhɨli	BV		high	complete	
69	59	11	31	mortar	2	ɔkhɨɽi	jpt		high	complete	
69	59	12	31	mortar	2	ɔkhɨri	b		high	complete	
69	59	13	31	mortar	2	ɔkhri	Sd		high	complete	
69	59	14	31	mortar	2	okhɨɖi	T		high	complete	
69	59	15	31	mortar	2	okhəɽɨ	Uw		high	complete	
69	59	16	31	mortar	2	ʊkhɖi	AJ		high	complete	
69	59	17	31	mortar	2	ukhɖi	C		high	complete	
69	59	18	31	mortar	3	ɖhɛŋkɪ	V		high	complete	
69	59	19	31	mortar	3	ɖhɪŋkɪ	L		high	complete	
69	59	20	31	mortar	4	silot	k		high	complete	
69	59	23	32	pestle	1	mʊsɨɽa	D		high	complete	
69	59	24	32	pestle	1	mʊsɨre	w		high	complete	
69	59	25	32	pestle	1	mʊsɐɽɨ	dmptw		high	complete	
69	59	26	32	pestle	1	mʊsɖa	A		high	complete	
69	59	27	32	pestle	1	mʊsɖɛ	A		high	complete	
69	59	28	32	pestle	1	mʊsrʌ khil	H		high	complete	
69	59	29	32	pestle	1	mʊsʊra	G		high	complete	
69	59	30	32	pestle	1	mʊsʌr	BMSVb		high	complete	
69	59	31	32	pestle	1	mʊsʌɾa	KR		high	complete	
69	59	32	32	pestle	1	musɐɖɨ	c		high	complete	
69	59	33	32	pestle	1	musɐɖu	j		high	complete	
69	59	34	32	pestle	2	sugi	CLMZ		high	complete	
69	59	35	32	pestle	3	t̪ukh	J		high	complete	
69	59	36	32	pestle	3	t̪ukku	U		high	complete	
69	59	37	32	pestle	4	loɾhɐ	k		high	complete	
69	59	38	32	pestle	5	sɐmaʈh	T		high	complete	
69	59	41	33	hammer	1	kɔʈʈasi	K		high	complete	
69	59	42	33	hammer	1	kʊʈasi	BGTUVbcdtw		high	complete	
69	59	43	33	hammer	1	kʊʈʈasi	CDLMRSVZcjmp		high	complete	
69	59	44	33	hammer	1	kuʈasːi	AJ		high	complete	
69	59	45	33	hammer	2	mɐɾt̪ul	k		high	complete	
69	59	46	33	hammer	2	mart̪ul	U		high	complete	
69	59	47	33	hammer	3	kuʈom	H		high	complete	
69	59	50	34	knife	1	suri	HK		high	complete	
69	59	51	34	knife	1	tʃhuɾi	BDGRVbd		high	complete	
69	59	52	34	knife	1	tʃʊɾi	A		high	complete	
69	59	53	34	knife	1	tʃuri	Tckw		high	complete	
69	59	54	34	knife	2	tʃhuɾi	BDRVbd		high	complete	
69	59	55	34	knife	2	tʃʊɾi	A		high	complete	
69	59	56	34	knife	2	tʃuɾit̪iɲ	S		high	complete	
69	59	57	34	knife	2	tʃuri	Tckw		high	complete	
69	59	58	34	knife	3	kɐt̪t̪u	CLMZcjptw		high	complete	
69	59	59	34	knife	3	kat̪t̪u	U		high	complete	
69	59	60	34	knife	3	kat̪u	J		high	complete	
69	59	61	34	knife	3	kʌt̪t̪uh	m		high	complete	
69	59	62	34	knife	4	tʃɐku	BTVpt		high	complete	
69	59	63	34	knife	4	tʃakku	d		high	complete	
69	59	64	34	knife	4	tʃəkːu	k		high	complete	
69	59	67	35	axe	1	ʈaŋga	CDGHKMRTVZm		high	complete	
69	59	68	35	axe	1	ʈaŋgɛi	J		high	complete	
69	59	69	35	axe	1	ʈaŋgi	Tbcjptw		high	complete	
69	59	70	35	axe	1	ʈʌŋgi	BSm		high	complete	
69	59	71	35	axe	1	ʈʌŋgija	ACDHKLMRS		high	complete	
69	59	72	35	axe	1	tɛŋgijɐ	k		high	complete	
69	59	73	35	axe	2	hakke	U		high	complete	
69	59	74	35	axe	2	vʌke	C		high	complete	
69	59	75	35	axe	3	phɐɖɨva	b		high	complete	
69	59	78	36	rope	1	ɖoɾɐ	k		high	complete	
69	59	79	36	rope	1	ɖora	CGHKLMcdjmtw		high	complete	
69	59	80	36	rope	1	doɾa	BDRTVZb		high	complete	
69	59	81	36	rope	1	doɾaʔ	S		high	complete	
69	59	82	36	rope	2	lʊɽum	jpw		high	complete	
69	59	83	36	rope	3	bɐihɐr	U		high	complete	
69	59	84	36	rope	3	bʌjɔr	A		high	complete	
69	59	85	36	rope	3	bʌʋer	J		high	complete	
69	59	86	36	rope	4	rɐssi	B		high	complete	
69	59	89	37	thread	1	sɪt̪ɔm	C		high	complete	
69	59	90	37	thread	1	sɪt̪ʌm	DMR		high	complete	
69	59	91	37	thread	1	sʊet̪ɐm	Ub		high	complete	
69	59	92	37	thread	1	sʊt̪a	BDGHKV		high	complete	
69	59	93	37	thread	1	sʊt̪ɐ	k		high	complete	
69	59	94	37	thread	1	sʊt̪ʌm	Sdmt		high	complete	
69	59	95	37	thread	1	sut̪ːʌm	AJ		high	complete	
69	59	96	37	thread	1	sut̪ɐm	Tcjpw		high	complete	
69	59	97	37	thread	2	sʊt̪a	BDHKV		high	complete	
69	59	98	37	thread	2	sʊt̪ɐ	k		high	complete	
69	59	99	37	thread	2	sʊ̃t̪	BLZ		high	complete	
69	59	102	38	needle	1	sʊdʒi	Sm		high	complete	
69	59	103	38	needle	1	sʊji	BCDHKLMTV		high	complete	
69	59	104	38	needle	1	sʊjiŋg	R		high	complete	
69	59	105	38	needle	1	sudʒi	bcjptw		high	complete	
69	59	106	38	needle	2	sʊji	BCDHKLMVZ		high	complete	
69	59	107	38	needle	2	sʊjiŋg	R		high	complete	
69	59	108	38	needle	2	sui	A		high	complete	
69	59	109	38	needle	2	sui	GUVk		high	complete	
69	59	110	38	needle	2	suʌ	J		high	complete	
69	59	111	38	needle	3	nirmuhi	BM		high	complete	
69	59	114	39	cloth	1	sonhe	CGKMR		high	complete	
69	59	115	39	cloth	1	sonhẽ	DHL		high	complete	
69	59	116	39	cloth	2	tʃiɽaʔ	Sbcdjmptw		high	complete	
69	59	117	39	cloth	3	luga	BV		high	complete	
69	59	118	39	cloth	3	lugɐ	k		high	complete	
69	59	119	39	cloth	4	gen̪d̪ra	AJT		high	complete	
69	59	120	39	cloth	5	kɐpɐɖa	BV		high	complete	
69	59	121	39	cloth	6	lɐɲdʒa	p		high	complete	
69	59	122	39	cloth	6	lidʒdʒaʔa	U		high	complete	
69	59	123	39	cloth	7	sidhal	Z		high	complete	
69	59	126	40	ring	1	ɐŋʈhi	k		high	complete	
69	59	127	40	ring	1	aŋgthi	GTbcjptw		high	complete	
69	59	128	40	ring	1	ʌŋgɖi	A		high	complete	
69	59	129	40	ring	1	ʌŋgʈhi	DSdm		high	complete	
69	59	130	40	ring	1	ʌŋgʈi	H		high	complete	
69	59	131	40	ring	1	ʌŋguʈhi	V		high	complete	
69	59	132	40	ring	1	ʌŋthi	CKLR		high	complete	
69	59	133	40	ring	2	mʊd̪ɐm	U		high	complete	
69	59	134	40	ring	2	mʊn̪d̪i	BLM		high	complete	
69	59	135	40	ring	2	mun̪d̪ri	Z		high	complete	
69	59	136	40	ring	2	mun̪d̪ʌm	AJ		high	complete	
70	60	4	41	sun	1	bɛr	p		high	complete	
