PDF_Page	Printed_Page	Concept	Gloss	Lect	Category	Response_Index	Form	Raw_Fragments	Notes	Source_Status
60	60	4		Ujjaini-Malvi-Harsodan	1	1	munɖʌ	mun(cid:122)(cid:106)		response
60	60	4		Ujjaini-Malvi-Chandukhedi	1	1	munɖo	mun(cid:122)o		response
60	60	4		Ujjaini-Malvi-Nain	1	1	munɖɑ	mun(cid:122)(cid:35)		response
60	60	4		Ujjaini-Malvi-Nain	4	2	mʊkʌɖo	m(cid:55)k(cid:106)(cid:122)o		response
60	60	4		Ujjaini-Malvi-Koyal	1	1	munɖɑ	mun(cid:122)(cid:35)		response
60	60	4		Ujjaini-Malvi-Rojdi	1	1	munɖo	mun(cid:122)o		response
60	60	4		Ujjaini-Malvi-Thillorkhurd	1	1	muɳɖɑ	mu(cid:118)(cid:122)(cid:35)		response
60	60	4		Ujjaini-Malvi-Kumardi	1	1	munɖɑ	mun(cid:122)(cid:35)		response
60	60	4		Ujjaini-Malvi-Kumardi	7	2	ɖatʃɑ	(cid:122)at(cid:53)(cid:35)		response
60	60	4		Ujjaini-Malvi-Jokhar	1	1	mʊɳɖo	m(cid:55)(cid:118)(cid:122)o		response
60	60	4		Ujjaini-Malvi-Bercha	1	1	munɖo	mun(cid:122)o		response
60	60	4		Ujjaini-Malvi-Bercha	5	2	tʃeɾo	t(cid:53)e(cid:52)o		response
60	60	4		Ujjaini-Malvi-Moondikhedi	3	1	mũ	mu(cid:174)		response
60	60	4		Rajwadi-Malvi-Lojithara	6	1	tʃokʈo	t(cid:53)ok(cid:121)o		response
60	60	4		Rajwadi-Malvi-Bhimakhedi	1	1	mʊɳɖo	m(cid:55)(cid:118)(cid:122)o		response
60	60	4		Rajwadi-Malvi-Kishorpura	1	1	muɳɖɑ	mu(cid:118)(cid:122)(cid:35)		response
60	60	4		Rajwadi-Malvi-Bhunyakhedi	1	1	munɖo	mun(cid:122)o		response
60	60	4		Rajwadi-Malvi-Jesingpura	1	1	mʊɳɖo	m(cid:55)(cid:118)(cid:122)o		response
60	60	4		Rajwadi-Malvi-Bhandia	1	1	mʊɳɖo	m(cid:55)(cid:118)(cid:122)o		response
60	60	4		Umadwadi-Malvi-Jhadmu	1	1	munɖo	mun(cid:122)o		response
60	60	4		Umadwadi-Malvi-Jhadmu	3	2	muh	muh		response
60	60	4		Umadwadi-Malvi-Semlikakad	3	1	mu	mu		response
60	60	4		Umadwadi-Malvi-Sagpur	1	1	muɳɖɑ	mu(cid:118)(cid:122)(cid:35)		response
60	60	4		Umadwadi-Malvi-Paldyabana	3	1	mũ	mu(cid:174)		response
60	60	4		Umadwadi-Malvi-Mungavali	1	1	muɳɖɑ	mu(cid:118)(cid:122)(cid:35)		response
60	60	4		Sondhwadi-Malvi-Harnauda	3	1	mũ	mu(cid:174)		response
60	60	4		Sondhwadi-Malvi-Narana	1	1	munɖɑ	mun(cid:122)(cid:35)		response
60	60	4		Sondhwadi-Malvi-Adakhedi	1	1	mʊɳɖo	m(cid:55)(cid:118)(cid:122)o		response
60	60	4		Sondhwadi-Malvi-Era	1	1	munɖo	mun(cid:122)o		response
60	60	4		Sondhwadi-Malvi-Deevdi	1	1	muɳɖɑ	mu(cid:118)(cid:122)(cid:35)		response
60	60	4		Sondhwadi-Malvi-Jamli	1	1	muɳɖʌ	mu(cid:118)(cid:122)(cid:106)		response
60	60	4		Gond-Malvi-Kalwar	1	1	muɳɖɑ	mu(cid:118)(cid:122)(cid:35)		response
60	60	4		Gond-Malvi-Samapura	4	1	mʊkʰ	m(cid:55)kh		response
60	60	4		Bhil-Malvi-Bhandikhali	1	1	mʊɳɖo	m(cid:55)(cid:118)(cid:122)o		response
60	60	4		Bhili-Kankaria	8	1	gɑl	(cid:73)(cid:35)l		response
60	60	4		Bhili-Athwaniya	1	1	muɖ̃ɑ	mu(cid:122)(cid:174)(cid:35)		response
60	60	4		Nimadi-Jajumkhedi	6	1	tʃokt̪o	t(cid:53)okt(cid:196)o		response
60	60	4		Nimadi-Sonipura	1	1	mʊɳɖo	m(cid:55)(cid:118)(cid:122)o		response
60	60	4		Bhopali-Rpura	3	1	mu	mu		response
60	60	4		Hindi-standard	3	1	mũh	mu(cid:174)h		response
60	60	4		Hindi-standard	4	2	mʊkʰ	m(cid:55)kh		response
60	60	4		Gujarati-Standard	2	1	moɖʱu	mo(cid:122)(cid:137)u		response
60	60	4		Gujarati-Standard	5	2	tʃɜhəɾɑ	t(cid:53)(cid:102)h(cid:101)(cid:52)(cid:35)		response
60	60	4		Gujarati-Standard	3	3	mõh	mo(cid:174)h		response
60	60	4		Gujarati-Standard	5	4	tʃɛɾo	t(cid:53)(cid:39)(cid:52)o		response
60	60	4		Marathi-Standard	5	1	tʃɛhəɾɑ	t(cid:53)(cid:39)h(cid:101)(cid:52)(cid:35)		response
61	61	5	eye	Ujjaini-Malvi-Harsodan	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Ujjaini-Malvi-Chandukhedi	1	1	aŋk	a(cid:132)k		response
61	61	5	eye	Ujjaini-Malvi-Nain	1	1	aŋk	a(cid:132)k		response
61	61	5	eye	Ujjaini-Malvi-Nain	1	2	ɑnkəɖli	(cid:35)nk(cid:101)(cid:122)li		response
61	61	5	eye	Ujjaini-Malvi-Koyal	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Ujjaini-Malvi-Rojdi	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Ujjaini-Malvi-Thillorkhurd	1	1	ɑnkʰ	(cid:35)nkh		response
61	61	5	eye	Ujjaini-Malvi-Kumardi	2	1	aːkʰ	a(cid:3)kh		response
61	61	5	eye	Ujjaini-Malvi-Kumardi	4	2	kaɳɑ	ka(cid:118)(cid:35)		response
61	61	5	eye	Ujjaini-Malvi-Jokhar	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Ujjaini-Malvi-Bercha	2	1	aːkʰ	a(cid:3)kh		response
61	61	5	eye	Ujjaini-Malvi-Moondikhedi	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Rajwadi-Malvi-Lojithara	2	1	aːkʰ	a(cid:3)kh		response
61	61	5	eye	Rajwadi-Malvi-Bhimakhedi	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Rajwadi-Malvi-Kishorpura	1	1	ɑŋkʰ	(cid:35)(cid:132)kh		response
61	61	5	eye	Rajwadi-Malvi-Bhunyakhedi	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Rajwadi-Malvi-Jesingpura	2	1	aːkʰ	a(cid:3)kh		response
61	61	5	eye	Rajwadi-Malvi-Bhandia	2	1	aːkʰ	a(cid:3)kh		response
61	61	5	eye	Umadwadi-Malvi-Jhadmu	1	1	aŋk	a(cid:132)k		response
61	61	5	eye	Umadwadi-Malvi-Semlikakad	1	1	aŋk	a(cid:132)k		response
61	61	5	eye	Umadwadi-Malvi-Sagpur	1	1	ɑŋkʰ	(cid:35)(cid:132)kh		response
61	61	5	eye	Umadwadi-Malvi-Paldyabana	1	1	ɑŋkʰ	(cid:35)(cid:132)kh		response
61	61	5	eye	Umadwadi-Malvi-Mungavali	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Sondhwadi-Malvi-Harnauda	1	1	aŋkʰ	a(cid:132)kh		response
61	61	5	eye	Sondhwadi-Malvi-Narana	1	1	ɑŋkʰ	(cid:35)(cid:132)kh		response
61	61	5	eye	Sondhwadi-Malvi-Adakhedi	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Sondhwadi-Malvi-Era	1	1	aŋk	a(cid:132)k		response
61	61	5	eye	Sondhwadi-Malvi-Deevdi	1	1	aŋkʰ	a(cid:132)kh		response
61	61	5	eye	Sondhwadi-Malvi-Jamli	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Gond-Malvi-Kalwar	1	1	aŋkʰ	a(cid:132)kh		response
61	61	5	eye	Gond-Malvi-Samapura	1	1	aŋk	a(cid:132)k		response
61	61	5	eye	Bhil-Malvi-Bhandikhali	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Bhili-Kankaria	3	1	ɖoɭɑ	(cid:122)o(cid:124)(cid:35)		response
61	61	5	eye	Bhili-Athwaniya	1	1	ɑŋkʰ	(cid:35)(cid:132)kh		response
61	61	5	eye	Nimadi-Jajumkhedi	3	1	ɖɔɭɔ	(cid:122)(cid:107)(cid:124)(cid:107)		response
61	61	5	eye	Nimadi-Sonipura	3	1	ɖɔɭʌ	(cid:122)(cid:107)(cid:124)(cid:106)		response
61	61	5	eye	Bhopali-Rpura	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Hindi-standard	1	1	ɑ̃kʰ	(cid:35)(cid:174)kh		response
61	61	5	eye	Gujarati-Standard	1	1	ɔŋkʰ	(cid:107)(cid:132)kh		response
61	61	5	eye	Marathi-Standard	3	1	ɖoɭɑ	(cid:122)o(cid:124)(cid:35)		response
61	61	6	ear	Ujjaini-Malvi-Harsodan	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Ujjaini-Malvi-Chandukhedi	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Ujjaini-Malvi-Nain	1	1	kɑnəɖio	k(cid:35)n(cid:101)(cid:122)io		response
61	61	6	ear	Ujjaini-Malvi-Nain	1	2	kɑn	k(cid:35)n		response
61	61	6	ear	Ujjaini-Malvi-Koyal	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Ujjaini-Malvi-Rojdi	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Ujjaini-Malvi-Thillorkhurd	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Ujjaini-Malvi-Kumardi	2	1	ɖunɖʌ	(cid:122)un(cid:122)(cid:106)		response
61	61	6	ear	Ujjaini-Malvi-Kumardi	3	2	butʃʌ	but(cid:53)(cid:106)		response
61	61	6	ear	Ujjaini-Malvi-Jokhar	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Ujjaini-Malvi-Bercha	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Ujjaini-Malvi-Moondikhedi	1	1	kɑɳ	k(cid:35)(cid:118)		response
61	61	6	ear	Rajwadi-Malvi-Lojithara	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Rajwadi-Malvi-Bhimakhedi	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Rajwadi-Malvi-Bhimakhedi	1	2	kɑnɖɑ	k(cid:35)n(cid:122)(cid:35)		response
61	61	6	ear	Rajwadi-Malvi-Kishorpura	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Rajwadi-Malvi-Bhunyakhedi	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Rajwadi-Malvi-Jesingpura	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Rajwadi-Malvi-Bhandia	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Umadwadi-Malvi-Jhadmu	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Umadwadi-Malvi-Semlikakad	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Umadwadi-Malvi-Sagpur	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Umadwadi-Malvi-Paldyabana	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Umadwadi-Malvi-Mungavali	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Sondhwadi-Malvi-Harnauda	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Sondhwadi-Malvi-Narana	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Sondhwadi-Malvi-Adakhedi	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Sondhwadi-Malvi-Era	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Sondhwadi-Malvi-Deevdi	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Sondhwadi-Malvi-Jamli	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Gond-Malvi-Kalwar	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Gond-Malvi-Samapura	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Bhil-Malvi-Bhandikhali	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Bhili-Kankaria	1	1	kɑnʈɑ	k(cid:35)n(cid:121)(cid:35)		response
61	61	6	ear	Bhili-Athwaniya	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Nimadi-Jajumkhedi	1	1	kɑnʈo	k(cid:35)n(cid:121)o		response
61	61	6	ear	Nimadi-Sonipura	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Bhopali-Rpura	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Hindi-standard	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Gujarati-Standard	1	1	kɑn	k(cid:35)n		response
61	61	6	ear	Marathi-Standard	1	1	kɑn	k(cid:35)n		response
62	62	7	nose	Ujjaini-Malvi-Harsodan	1	1	nak	nak		response
62	62	7	nose	Ujjaini-Malvi-Chandukhedi	1	1	nɑk	n(cid:35)k		response
62	62	7	nose	Ujjaini-Malvi-Nain	1	1	nɑk	n(cid:35)k		response
62	62	7	nose	Ujjaini-Malvi-Nain	1	2	nɑkəɖi	n(cid:35)k(cid:101)(cid:122)i		response
62	62	7	nose	Ujjaini-Malvi-Koyal	1	1	nɑk	n(cid:35)k		response
