PDF_Page	Printed_Page	Concept	Gloss	Lect	Category	Response_Index	Form	Notes	Continuation	Raw_Fragments	Source_Status
87	80	1	body	Rathawi-Mankodi	4	1	ɖil		0	Rathawi-Mankodi 4 ɖil	response
87	80	1	body	Palya-Choutharya	4	1	ɖil		0	Palya-Choutharya 4 ɖil	response
87	80	1	body	Palya-Natvada	4	1	ɖil		0	Palya-Natvada 4 ɖil	response
87	80	1	body	Bareli Pauri-Shahana	4	1	ɖil̪		0	Bareli Pauri-Shahana 4 ɖil ̪	response
87	80	1	body	Bareli Pauri-Mandvi	4	1	ɖil̪		0	Bareli Pauri-Mandvi 4 ɖil ̪	response
87	80	1	body	Bareli Pauri-Khadki	4	1	ɖil		0	Bareli Pauri-Khadki 4 ɖil	response
87	80	1	body	Nimadi-Khargone	9	1	bɑdɑ̪n		0	Nimadi-Khargone 9 bɑdɑ̪n	response
87	80	1	body	Nimadi-Awlia	3	1	sʌɾiɾ		0	Nimadi-Awlia 3 sʌɾiɾ	response
87	80	1	body	Nimadi-Ashapur	3	1	sʌɾiɾ		0	Nimadi-Ashapur 3 sʌɾiɾ	response
87	80	1	body	Ahirani-Dhule	5	1	aŋ		0	Ahirani-Dhule 5 aŋ	response
87	80	1	body	Hindi	3	1	ʃəɾiɾ		0	Hindi 3 ʃəɾiɾ	response
87	80	1	body	Gujarati	3	1	ʃəɾiɾ		0	Gujarati 3 ʃəɾiɾ	response
87	80	1	body	Marathi	3	1	ʃəɾiɾ		0	Marathi 3 ʃəɾiɾ	response
87	80	1	body	Marathi	5	2	ʌŋg		1	5 ʌŋg	response
87	80	2	head	Rathwi Pauri-Amalwadi	5,6	1	munɖkʌ		0	Rathwi Pauri-Amalwadi 5,6 munɖkʌ	response
87	80	2	head	Rathwi Pauri-Segwi	5,6	1	munɖkʌ		0	Rathwi Pauri-Segwi 5,6 munɖkʌ	response
87	80	2	head	Rathwi Bareli-Tharadpura	6	1	munkɔ		0	Rathwi Bareli-Tharadpura 6 munkɔ	response
87	80	2	head	Rathwi Bareli-Udainagar	6	1	mukɔ		0	Rathwi Bareli-Udainagar 6 mukɔ	response
87	80	2	head	Rathwi Bareli-Chiklia	5	1	mʊɳɖ		0	Rathwi Bareli-Chiklia 5 mʊɳɖ	response
87	80	2	head	Rathwi-Chenpur	6	1	muɳkɔ		0	Rathwi-Chenpur 6 muɳkɔ	response
87	80	2	head	Rathwi-Dongargaon	6	1	mʊɳko		0	Rathwi-Dongargaon 6 mʊɳko	response
87	80	2	head	Bhilali-Bodugam	1	1	mɑth̪ɑ		0	Bhilali-Bodugam 1 mɑth̪ɑ	response
87	80	2	head	Bhili-Punyawat	5	1	muɳɖu		0	Bhili-Punyawat 5 muɳɖu	response
87	80	2	head	Bhili-Anjhera	6	1	munko		0	Bhili-Anjhera 6 munko	response
87	80	2	head	Bhilali-Anjhera	6	1	munko		0	Bhilali-Anjhera 6 munko	response
87	80	2	head	Bhilali-Mandwi	6	1	mʊnkɑ		0	Bhilali-Mandwi 6 mʊnkɑ	response
87	80	2	head	Bhilali-Navalpura	6	1	munko		0	Bhilali-Navalpura 6 munko	response
87	80	2	head	Bhilali-Agar	6	1	munka		0	Bhilali-Agar 6 munka	response
87	80	2	head	Bhilali-Udaigadh	6	1	munka		0	Bhilali-Udaigadh 6 munka	response
87	80	2	head	Bhilali-Kattivada	5	1	munɖɑ		0	Bhilali-Kattivada 5 munɖɑ	response
87	80	2	head	Parya Bhilali-Bhorwada	1	1	mɑth̪o		0	Parya Bhilali- Bhorwada 1 mɑth̪o	response
87	80	2	head	Bhili-Piplia	1	1	mɑth̪o		0	Bhili-Piplia 1 mɑth̪o	response
87	80	2	head	Bhili-Kharod	1	1	math̪u		0	Bhili-Kharod 1 math̪u	response
87	80	2	head	Bhilali-Aspai	5	1	munɖʊ		0	Bhilali-Aspai 5 munɖʊ	response
87	80	2	head	Rathawi-Mankodi	5	1	muɳɖu		0	Rathawi-Mankodi 5 muɳɖu	response
87	80	2	head	Palya-Choutharya	5	1	muɳɖu		0	Palya-Choutharya 5 muɳɖu	response
87	80	2	head	Palya-Natvada	1	1	mɑth̪ɑ		0	Palya-Natvada 1 mɑth̪ɑ	response
87	80	2	head	Palya-Natvada	6	2	mʊnkɑ		1	6 mʊnkɑ	response
87	80	2	head	Bareli Pauri-Shahana	5,6	1	munɖkʌ		0	Bareli Pauri-Shahana 5,6 munɖkʌ	response
87	80	2	head	Bareli Pauri-Mandvi	5	1	munɖ		0	Bareli Pauri-Mandvi 5 munɖ	response
87	80	2	head	Bareli Pauri-Khadki	5	1	muɳɖ		0	Bareli Pauri-Khadki 5 muɳɖ	response
87	80	2	head	Nimadi-Khargone	1	1	mɑth̪ɑ		0	Nimadi-Khargone 1 mɑth̪ɑ	response
87	80	2	head	Nimadi-Awlia	1	1	mɑth̪o		0	Nimadi-Awlia 1 mɑth̪o	response
87	80	2	head	Nimadi-Ashapur	1	1	mɑth̪ɑ		0	Nimadi-Ashapur 1 mɑth̪ɑ	response
87	80	2	head	Ahirani-Dhule	4	1	ɖokʌ		0	Ahirani-Dhule 4 ɖokʌ	response
87	80	2	head	Hindi	3	1	sɪɾ		0	Hindi 3 sɪɾ	response
87	80	2	head	Gujarati	1	1	mɑth̪ũ		0	Gujarati 1 mɑth̪ũ	response
87	80	2	head	Marathi	4	1	ɖoke		0	Marathi 4 ɖoke	response
87	80	3	hair	Rathwi Pauri-Amalwadi	4	1	dz̪ɦ̪ʌʈa		0	Rathwi Pauri-Amalwadi 4 dz̪ɦ̪ʌʈa	response
87	80	3	hair	Rathwi Pauri-Segwi	3	1	kesː̪		0	Rathwi Pauri-Segwi 3 kesː̪	response
87	80	3	hair	Rathwi Bareli-Tharadpura	4	1	dʒɦɔʈɑ		0	Rathwi Bareli-Tharadpura 4 dʒɦɔʈɑ	response
87	80	3	hair	Rathwi Bareli-Udainagar	4	1	dʒɦoʈɑ		0	Rathwi Bareli-Udainagar 4 dʒɦoʈɑ	response
87	80	3	hair	Rathwi Bareli-Chiklia	4	1	dʒɦoʈu		0	Rathwi Bareli-Chiklia 4 dʒɦoʈu	response
87	80	3	hair	Rathwi-Chenpur	4	1	dʒɦɔʈɑ		0	Rathwi-Chenpur 4 dʒɦɔʈɑ	response
87	80	3	hair	Rathwi-Dongargaon	4	1	dʒɦɔʈɑ		0	Rathwi-Dongargaon 4 dʒɦɔʈɑ	response
87	80	3	hair	Bhilali-Bodugam	4	1	dʒohʈɑ		0	Bhilali-Bodugam 4 dʒohʈɑ	response
87	80	3	hair	Bhili-Punyawat	11	1	kɑnjɑ		0	Bhili-Punyawat 11 kɑnjɑ	response
87	80	3	hair	Bhili-Anjhera	10	1	bɑbɾu		0	Bhili-Anjhera 10 bɑbɾu	response
87	80	3	hair	Bhilali-Anjhera	10	1	bɑbrɑ		0	Bhilali-Anjhera 10 bɑbrɑ	response
87	80	3	hair	Bhilali-Mandwi	10	1	bɑbrɑ		0	Bhilali-Mandwi 10 bɑbrɑ	response
87	80	3	hair	Bhilali-Mandwi	11	2	kɑnjɑ		1	11 kɑnjɑ	response
87	80	3	hair	Bhilali-Navalpura	3	1	khes		0	Bhilali-Navalpura 3 khes	response
87	80	3	hair	Bhilali-Agar	3	1	khes		0	Bhilali-Agar 3 khes	response
87	80	3	hair	Bhilali-Agar	11	2	kɑnjɑ		1	11 kɑnjɑ	response
87	80	3	hair	Bhilali-Udaigadh	11	1	kɑnjɑ		0	Bhilali-Udaigadh 11 kɑnjɑ	response
87	80	3	hair	Bhilali-Kattivada	11	1	kɑnjɑ		0	Bhilali-Kattivada 11 kɑnjɑ	response
87	80	3	hair	Parya Bhilali-Bhorwada	2	1	bɑl		0	Parya Bhilali- Bhorwada 2 bɑl	response
87	80	3	hair	Bhili-Piplia	1	1	lɛʈiɑ		0	Bhili-Piplia 1 lɛʈiɑ	response
87	80	3	hair	Bhili-Kharod	2	1	wal		0	Bhili-Kharod 2 wal	response
87	80	3	hair	Bhili-Kharod	1	2	lɛta		1	1 lɛta	response
87	80	3	hair	Bhilali-Aspai	9	1	nimɑvɑ		0	Bhilali-Aspai 9 nimɑvɑ	response
87	80	3	hair	Rathawi-Mankodi	9	1	nɪmɑɖɑ		0	Rathawi-Mankodi 9 nɪmɑɖɑ	response
87	80	3	hair	Palya-Choutharya	9	1	nimbɑlɑ		0	Palya-Choutharya 9 nimbɑlɑ	response
87	80	3	hair	Palya-Natvada	9	1	nimbɑlɑ		0	Palya-Natvada 9 nimbɑlɑ	response
87	80	3	hair	Bareli Pauri-Shahana	4	1	dz̪u̪ʈa		0	Bareli Pauri-Shahana 4 dz̪u̪ʈa	response
87	80	3	hair	Bareli Pauri-Mandvi	4	1	dzuʈa		0	Bareli Pauri-Mandvi 4 dzuʈa	response
87	80	3	hair	Bareli Pauri-Khadki	4	1	dʒuʈɑ		0	Bareli Pauri-Khadki 4 dʒuʈɑ	response
87	80	3	hair	Nimadi-Khargone	2	1	bɑl		0	Nimadi-Khargone 2 bɑl	response
87	80	3	hair	Nimadi-Awlia	2	1	bɑl		0	Nimadi-Awlia 2 bɑl	response
87	80	3	hair	Nimadi-Ashapur	2	1	bɑl		0	Nimadi-Ashapur 2 bɑl	response
87	80	3	hair	Ahirani-Dhule	2	1	bɑl		0	Ahirani-Dhule 2 bɑl	response
87	80	3	hair	Hindi	2	1	bɑl		0	Hindi 2 bɑl	response
87	80	3	hair	Gujarati	2	1	βɑɭ		0	Gujarati 2 βɑɭ	response
87	80	3	hair	Marathi	3	1	kes		0	Marathi 3 kes	response
88	81	4	face	Rathwi Pauri-Amalwadi	4	1	mwi		0	Rathwi Pauri-Amalwadi 4 mwi	response
88	81	4	face	Rathwi Pauri-Segwi	4	1	mukh		0	Rathwi Pauri-Segwi 4 mukh	response
88	81	4	face	Rathwi Bareli-Tharadpura	4	1	mui		0	Rathwi Bareli-Tharadpura 4 mui	response
88	81	4	face	Rathwi Bareli-Udainagar	4	1	mui		0	Rathwi Bareli-Udainagar 4 mui	response
88	81	4	face	Rathwi Bareli-Chiklia	4	1	mʊkh		0	Rathwi Bareli-Chiklia 4 mʊkh	response
88	81	4	face	Rathwi-Chenpur	4	1	mui		0	Rathwi-Chenpur 4 mui	response
88	81	4	face	Rathwi-Dongargaon	4	1	mʊkh		0	Rathwi-Dongargaon 4 mʊkh	response
88	81	4	face	Bhilali-Bodugam	4	1	mʊj		0	Bhilali-Bodugam 4 mʊj	response
88	81	4	face	Bhili-Punyawat	2	1	tʃehʌrɔ		0	Bhili-Punyawat 2 tʃehʌrɔ	response
88	81	4	face	Bhili-Anjhera	1	1	munɖũ		0	Bhili-Anjhera 1 munɖũ	response
88	81	4	face	Bhilali-Anjhera	1	1	muɳɖɑ		0	Bhilali-Anjhera 1 muɳɖɑ	response
88	81	4	face	Bhilali-Mandwi	1	1	mũhɖɑ		0	Bhilali-Mandwi 1 mũhɖɑ	response
88	81	4	face	Bhilali-Navalpura	1	1	muɳɖo		0	Bhilali-Navalpura 1 muɳɖo	response
88	81	4	face	Bhilali-Agar	1	1	muɳɖɑ		0	Bhilali-Agar 1 muɳɖɑ	response
88	81	4	face	Bhilali-Udaigadh	1	1	munɖɑ		0	Bhilali-Udaigadh 1 munɖɑ	response
88	81	4	face	Bhilali-Kattivada	4	1	muh		0	Bhilali-Kattivada 4 muh	response
88	81	4	face	Parya Bhilali-Bhorwada	2	1	tʃehʌɾa		0	Parya Bhilali- Bhorwada 2 tʃehʌɾa	response
88	81	4	face	Bhili-Piplia	4	1	mɔh		0	Bhili-Piplia 4 mɔh	response
88	81	4	face	Bhili-Kharod	1	1	moɖu		0	Bhili-Kharod 1 moɖu	response
88	81	4	face	Bhilali-Aspai	1	1	moɖu		0	Bhilali-Aspai 1 moɖu	response
88	81	4	face	Rathawi-Mankodi	8	1	gɑljɑ		0	Rathawi-Mankodi 8 gɑljɑ	response
88	81	4	face	Palya-Choutharya	1	1	moɖu		0	Palya-Choutharya 1 moɖu	response
88	81	4	face	Palya-Natvada	1	1	moɖʊ		0	Palya-Natvada 1 moɖʊ	response
88	81	4	face	Bareli Pauri-Shahana	4	1	mwi		0	Bareli Pauri-Shahana 4 mwi	response
88	81	4	face	Bareli Pauri-Mandvi	4	1	mui		0	Bareli Pauri-Mandvi 4 mui	response
88	81	4	face	Bareli Pauri-Khadki	4	1	mui		0	Bareli Pauri-Khadki 4 mui	response
88	81	4	face	Nimadi-Khargone	1	1	munɖɔ		0	Nimadi-Khargone 1 munɖɔ	response
88	81	4	face	Nimadi-Awlia	1	1	munɖho		0	Nimadi-Awlia 1 munɖho	response
88	81	4	face	Nimadi-Ashapur	1	1	munɖɑ		0	Nimadi-Ashapur 1 munɖɑ	response
88	81	4	face	Ahirani-Dhule	3	1	to̪ɳɖ		0	Ahirani-Dhule 3 to̪ɳɖ	response
88	81	4	face	Hindi	2	1	tʃɛhəɾɑ		0	Hindi 2 tʃɛhəɾɑ	response
88	81	4	face	Hindi	4	2	mʊkh		1	4 mʊkh	response
88	81	4	face	Hindi	4	3	mũh		1	4 mũh	response
88	81	4	face	Gujarati	1	1	moɖɦũ		0	Gujarati 1 moɖɦũ	response
88	81	4	face	Gujarati	2	2	tʃɛɾo		1	2 tʃɛɾo	response
88	81	4	face	Gujarati	4	3	mõh		1	4 mõh	response
88	81	4	face	Marathi	2	1	tʃɛhəɾɑ		0	Marathi 2 tʃɛhəɾɑ	response
88	81	4	face	Marathi	3	2	tõ̪ɳɖ		1	3 tõ̪ɳɖ	response
88	81	5	eye	Rathwi Pauri-Amalwadi	3	1	ɖuwa		0	Rathwi Pauri-Amalwadi 3 ɖuwa	response
88	81	5	eye	Rathwi Pauri-Segwi	2	1	ɖuɭu		0	Rathwi Pauri-Segwi 2 ɖuɭu	response
88	81	5	eye	Rathwi Bareli-Tharadpura	2	1	ɖuɭɔ		0	Rathwi Bareli-Tharadpura 2 ɖuɭɔ	response
88	81	5	eye	Rathwi Bareli-Udainagar	2	1	ɖuɭu		0	Rathwi Bareli-Udainagar 2 ɖuɭu	response
88	81	5	eye	Rathwi Bareli-Chiklia	2	1	ɖuɭu		0	Rathwi Bareli-Chiklia 2 ɖuɭu	response
88	81	5	eye	Rathwi-Chenpur	2	1	ɖuɭu		0	Rathwi-Chenpur 2 ɖuɭu	response
88	81	5	eye	Rathwi-Dongargaon	2	1	ɖuɭu		0	Rathwi-Dongargaon 2 ɖuɭu	response
88	81	5	eye	Bhilali-Bodugam	2	1	ɖuɭo		0	Bhilali-Bodugam 2 ɖuɭo	response
88	81	5	eye	Bhili-Punyawat	2	1	ɖuɭɔ		0	Bhili-Punyawat 2 ɖuɭɔ	response
88	81	5	eye	Bhili-Anjhera	2	1	ɖoɭɔ		0	Bhili-Anjhera 2 ɖoɭɔ	response
88	81	5	eye	Bhilali-Anjhera	2	1	ɖoɭɑ		0	Bhilali-Anjhera 2 ɖoɭɑ	response
88	81	5	eye	Bhilali-Mandwi	2	1	ɖuɭɑ		0	Bhilali-Mandwi 2 ɖuɭɑ	response
88	81	5	eye	Bhilali-Navalpura	2	1	ɖuɭu		0	Bhilali-Navalpura 2 ɖuɭu	response
88	81	5	eye	Bhilali-Agar	2	1	ɖuɭɑ		0	Bhilali-Agar 2 ɖuɭɑ	response
88	81	5	eye	Bhilali-Udaigadh	2	1	ɖoɭɑ		0	Bhilali-Udaigadh 2 ɖoɭɑ	response
88	81	5	eye	Bhilali-Kattivada	2	1	ɖoɭɑ		0	Bhilali-Kattivada 2 ɖoɭɑ	response
88	81	5	eye	Parya Bhilali-Bhorwada	2	1	ɖoɭo		0	Parya Bhilali- Bhorwada 2 ɖoɭo	response
88	81	5	eye	Bhili-Piplia	1	1	ɑkhjo		0	Bhili-Piplia 1 ɑkhjo	response
88	81	5	eye	Bhili-Kharod	1	1	ãnk		0	Bhili-Kharod 1 ãnk	response
88	81	5	eye	Bhilali-Aspai	3	1	ɖuvə		0	Bhilali-Aspai 3 ɖuvə	response
88	81	5	eye	Rathawi-Mankodi	2	1	ɖoɭɑ		0	Rathawi-Mankodi 2 ɖoɭɑ	response
88	81	5	eye	Palya-Choutharya	2	1	ɖoɭɔ		0	Palya-Choutharya 2 ɖoɭɔ	response
88	81	5	eye	Palya-Natvada	2	1	ɖoɭo		0	Palya-Natvada 2 ɖoɭo	response
88	81	5	eye	Bareli Pauri-Shahana	3	1	ɖuwa		0	Bareli Pauri-Shahana 3 ɖuwa	response
88	81	5	eye	Bareli Pauri-Mandvi	2	1	ɖula		0	Bareli Pauri-Mandvi 2 ɖula	response
88	81	5	eye	Bareli Pauri-Khadki	3	1	ɖuʋ		0	Bareli Pauri-Khadki 3 ɖuʋ	response
88	81	5	eye	Nimadi-Khargone	2	1	ɖɔɭɔ		0	Nimadi-Khargone 2 ɖɔɭɔ	response
88	81	5	eye	Nimadi-Awlia	2	1	ɖɔɭɔ		0	Nimadi-Awlia 2 ɖɔɭɔ	response
88	81	5	eye	Nimadi-Ashapur	2	1	ɖoɭɑ		0	Nimadi-Ashapur 2 ɖoɭɑ	response
88	81	5	eye	Ahirani-Dhule	5	1	do̪jʌ		0	Ahirani-Dhule 5 do̪jʌ	response
88	81	5	eye	Hindi	1	1	ɑk̃h		0	Hindi 1 ɑk̃h	response
88	81	5	eye	Gujarati	1	1	ɔŋkh		0	Gujarati 1 ɔŋkh	response
88	81	5	eye	Marathi	2	1	ɖoɭɑ		0	Marathi 2 ɖoɭɑ	response
88	81	6	ear	Rathwi Pauri-Amalwadi	1	1	kaɳʈu		0	Rathwi Pauri-Amalwadi 1 kaɳʈu	response
88	81	6	ear	Rathwi Pauri-Segwi	1	1	kan̪		0	Rathwi Pauri-Segwi 1 kan ̪	response
88	81	6	ear	Rathwi Bareli-Tharadpura	1	1	kɑnʈɔ		0	Rathwi Bareli-Tharadpura 1 kɑnʈɔ	response
88	81	6	ear	Rathwi Bareli-Udainagar	1	1	kɑnʈɔ		0	Rathwi Bareli-Udainagar 1 kɑnʈɔ	response
88	81	6	ear	Rathwi Bareli-Chiklia	1	1	kɑn		0	Rathwi Bareli-Chiklia 1 kɑn	response
88	81	6	ear	Rathwi-Chenpur	1	1	kɑnʈo		0	Rathwi-Chenpur 1 kɑnʈo	response
88	81	6	ear	Rathwi-Dongargaon	1	1	kɑn		0	Rathwi-Dongargaon 1 kɑn	response
88	81	6	ear	Bhilali-Bodugam	1	1	kɑnʈʊ		0	Bhilali-Bodugam 1 kɑnʈʊ	response
88	81	6	ear	Bhili-Punyawat	1	1	kɑnʈo		0	Bhili-Punyawat 1 kɑnʈo	response
88	81	6	ear	Bhili-Anjhera	1	1	kɑnʈɔ		0	Bhili-Anjhera 1 kɑnʈɔ	response
88	81	6	ear	Bhilali-Anjhera	1	1	kɑnʈɑ		0	Bhilali-Anjhera 1 kɑnʈɑ	response
88	81	6	ear	Bhilali-Mandwi	1	1	kɑnʈu		0	Bhilali-Mandwi 1 kɑnʈu	response
88	81	6	ear	Bhilali-Navalpura	1	1	kɑn		0	Bhilali-Navalpura 1 kɑn	response
88	81	6	ear	Bhilali-Agar	1	1	kaɳʈu		0	Bhilali-Agar 1 kaɳʈu	response
88	81	6	ear	Bhilali-Udaigadh	1	1	kɑnʈu		0	Bhilali-Udaigadh 1 kɑnʈu	response
88	81	6	ear	Bhilali-Kattivada	1	1	kɑnɖɔ		0	Bhilali-Kattivada 1 kɑnɖɔ	response
88	81	6	ear	Parya Bhilali-Bhorwada	1	1	kɑnʈu		0	Parya Bhilali- Bhorwada 1 kɑnʈu	response
88	81	6	ear	Bhili-Piplia	4	1	kɑiɖɑ		0	Bhili-Piplia 4 kɑiɖɑ	response
88	81	6	ear	Bhili-Kharod	1	1	kan		0	Bhili-Kharod 1 kan	response
88	81	6	ear	Bhilali-Aspai	1	1	kɑn		0	Bhilali-Aspai 1 kɑn	response
88	81	6	ear	Rathawi-Mankodi	1	1	kɑn		0	Rathawi-Mankodi 1 kɑn	response
88	81	6	ear	Palya-Choutharya	1	1	kɑnʈo		0	Palya-Choutharya 1 kɑnʈo	response
88	81	6	ear	Palya-Natvada	1	1	kɑnʈo		0	Palya-Natvada 1 kɑnʈo	response
88	81	6	ear	Bareli Pauri-Shahana	1	1	kan̪		0	Bareli Pauri-Shahana 1 kan ̪	response
88	81	6	ear	Bareli Pauri-Mandvi	1	1	kan̪		0	Bareli Pauri-Mandvi 1 kan ̪	response
88	81	6	ear	Bareli Pauri-Khadki	1	1	kɑn		0	Bareli Pauri-Khadki 1 kɑn	response
88	81	6	ear	Nimadi-Khargone	1	1	kɑnʈhɑ		0	Nimadi-Khargone 1 kɑnʈhɑ	response
88	81	6	ear	Nimadi-Awlia	1	1	kɑn		0	Nimadi-Awlia 1 kɑn	response
88	81	6	ear	Nimadi-Ashapur	1	1	kɑn		0	Nimadi-Ashapur 1 kɑn	response
88	81	6	ear	Ahirani-Dhule	1	1	kan̪		0	Ahirani-Dhule 1 kan ̪	response
88	81	6	ear	Hindi	1	1	kɑn		0	Hindi 1 kɑn	response
88	81	6	ear	Gujarati	1	1	kɑn		0	Gujarati 1 kɑn	response
88	81	6	ear	Marathi	1	1	kɑn		0	Marathi 1 kɑn	response
89	82	7	nose	Rathwi Pauri-Amalwadi	1	1	nɑ̪kh		0	Rathwi Pauri-Amalwadi 1 nɑ̪kh	response
89	82	7	nose	Rathwi Pauri-Segwi	1	1	nɑk		0	Rathwi Pauri-Segwi 1 nɑk	response
89	82	7	nose	Rathwi Bareli-Tharadpura	1	1	nɑkh		0	Rathwi Bareli-Tharadpura 1 nɑkh	response
89	82	7	nose	Rathwi Bareli-Udainagar	1	1	nɑk		0	Rathwi Bareli-Udainagar 1 nɑk	response
89	82	7	nose	Rathwi Bareli-Chiklia	1	1	nɑk		0	Rathwi Bareli-Chiklia 1 nɑk	response
89	82	7	nose	Rathwi-Chenpur	1	1	nɑkh		0	Rathwi-Chenpur 1 nɑkh	response
89	82	7	nose	Rathwi-Dongargaon	1	1	nɑk		0	Rathwi-Dongargaon 1 nɑk	response
89	82	7	nose	Bhilali-Bodugam	1	1	nɑkh		0	Bhilali-Bodugam 1 nɑkh	response
89	82	7	nose	Bhili-Punyawat	1	1	nɑk		0	Bhili-Punyawat 1 nɑk	response
89	82	7	nose	Bhili-Anjhera	1	1	nɑk		0	Bhili-Anjhera 1 nɑk	response
89	82	7	nose	Bhilali-Anjhera	1	1	nɑk		0	Bhilali-Anjhera 1 nɑk	response
89	82	7	nose	Bhilali-Mandwi	1	1	nɑkh		0	Bhilali-Mandwi 1 nɑkh	response
89	82	7	nose	Bhilali-Navalpura	1	1	nɑk		0	Bhilali-Navalpura 1 nɑk	response
89	82	7	nose	Bhilali-Agar	1	1	nɑk		0	Bhilali-Agar 1 nɑk	response
89	82	7	nose	Bhilali-Udaigadh	1	1	nɑk		0	Bhilali-Udaigadh 1 nɑk	response
89	82	7	nose	Bhilali-Kattivada	1,4	1	nʌkhoɾu		0	Bhilali-Kattivada 1,4 nʌkhoɾu	response
89	82	7	nose	Parya Bhilali-Bhorwada	1	1	nɑk		0	Parya Bhilali- Bhorwada 1 nɑk	response
89	82	7	nose	Bhili-Piplia	1,4	1	nɑkhɔɾu		0	Bhili-Piplia 1,4 nɑkhɔɾu	response
89	82	7	nose	Bhili-Kharod	1	1	nɑk		0	Bhili-Kharod 1 nɑk	response
89	82	7	nose	Bhilali-Aspai	1,4	1	nəkhoru		0	Bhilali-Aspai 1,4 nəkhoru	response
89	82	7	nose	Rathawi-Mankodi	1,4	1	nɑkoɾu		0	Rathawi-Mankodi 1,4 nɑkoɾu	response
89	82	7	nose	Palya-Choutharya	1,4	1	nʌkhoɾu		0	Palya-Choutharya 1,4 nʌkhoɾu	response
89	82	7	nose	Palya-Natvada	1,4	1	nʌkhoɾʊ		0	Palya-Natvada 1,4 nʌkhoɾʊ	response
89	82	7	nose	Bareli Pauri-Shahana	1	1	nɑk		0	Bareli Pauri-Shahana 1 nɑk	response
89	82	7	nose	Bareli Pauri-Mandvi	1	1	nɑk		0	Bareli Pauri-Mandvi 1 nɑk	response
89	82	7	nose	Bareli Pauri-Khadki	1	1	nɑk		0	Bareli Pauri-Khadki 1 nɑk	response
89	82	7	nose	Nimadi-Khargone	1	1	nɑk		0	Nimadi-Khargone 1 nɑk	response
89	82	7	nose	Nimadi-Awlia	1	1	nɑk		0	Nimadi-Awlia 1 nɑk	response
89	82	7	nose	Nimadi-Ashapur	1	1	nɑk		0	Nimadi-Ashapur 1 nɑk	response
89	82	7	nose	Ahirani-Dhule	1	1	nɑ̪k		0	Ahirani-Dhule 1 nɑ̪k	response
89	82	7	nose	Hindi	1	1	nɑk		0	Hindi 1 nɑk	response
89	82	7	nose	Gujarati	1	1	nɑk		0	Gujarati 1 nɑk	response
89	82	7	nose	Marathi	1	1	nɑk		0	Marathi 1 nɑk	response
89	82	8	mouth	Rathwi Pauri-Amalwadi	2	1	mui		0	Rathwi Pauri-Amalwadi 2 mui	response
89	82	8	mouth	Rathwi Pauri-Segwi	2	1	mui		0	Rathwi Pauri-Segwi 2 mui	response
89	82	8	mouth	Rathwi Bareli-Tharadpura	2	1	mui		0	Rathwi Bareli-Tharadpura 2 mui	response
89	82	8	mouth	Rathwi Bareli-Udainagar	2	1	mui		0	Rathwi Bareli-Udainagar 2 mui	response
