Item	Gloss	Bhumij_Site_Code	Ho2024_Site_Code	Locality	Elicitation_Date	Durable_List_ID	Durable_Cell_ID	Bhumij_2015_Status	Bhumij_2015_Forms	Bhumij_2015_Cognate_Labels	Bhumij_2015_Citation	Ho_2024_Status	Ho_2024_Transcription	Ho_2024_Citation	Status_Parity	Representation_Comparison	Canonical_Publication	Disposition
14	elbow	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i014	attested	gonti	2	baileymaggard2015bhumij[Appendix B.3, printed p. 31, item 14, list BAI]	attested	gonti	varenkamp2024ho[Appendix D.3, printed p. 67, item 14, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
15	palm	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i015	attested	t̪ɑlkɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 31, item 15, list BAI]	attested	ṯalka	varenkamp2024ho[Appendix D.3, printed p. 67, item 15, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
16	finger	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i016	attested	ɑŋguɭi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 32, item 16, list BAI]	attested	aŋguli	varenkamp2024ho[Appendix D.3, printed p. 68, item 16, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
17	fingernail	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i017	attested	nokhʌ	3	baileymaggard2015bhumij[Appendix B.3, printed p. 32, item 17, list BAI]	attested	nokʰʌ	varenkamp2024ho[Appendix D.3, printed p. 68, item 17, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
18	leg	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i018	attested	kɑtɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 32, item 18, list BAI]	attested	kaṯa	varenkamp2024ho[Appendix D.3, printed p. 68, item 18, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
19	skin	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i019	attested	hɑɾtɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 32, item 19, list BAI]	attested	harta	varenkamp2024ho[Appendix D.3, printed p. 69, item 19, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
20	bone	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i020	attested	dʒɑŋ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 32, item 20, list BAI]	attested	dʒaŋ	varenkamp2024ho[Appendix D.3, printed p. 69, item 20, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
21	heart	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i021	source_blank		0	baileymaggard2015bhumij[Appendix B.3, printed p. 33, item 21, list BAI]	blank		varenkamp2024ho[Appendix D.3, printed p. 69, item 21, list BOP]	yes	blank-parity	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
22	blood	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i022	attested	mɑjʌm	1	baileymaggard2015bhumij[Appendix B.3, printed p. 33, item 22, list BAI]	attested	majam	varenkamp2024ho[Appendix D.3, printed p. 70, item 22, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
23	urine	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i023	attested	duki	1	baileymaggard2015bhumij[Appendix B.3, printed p. 33, item 23, list BAI]	attested	duki	varenkamp2024ho[Appendix D.3, printed p. 70, item 23, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
24	feces	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i024	attested	dʒɦʌɖɑ	2	baileymaggard2015bhumij[Appendix B.3, printed p. 33, item 24, list BAI]	attested	dʒʌḏa	varenkamp2024ho[Appendix D.3, printed p. 70, item 24, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
25	village	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i025	attested	hɑt̪u	1	baileymaggard2015bhumij[Appendix B.3, printed p. 33, item 25, list BAI]	attested	haṯu	varenkamp2024ho[Appendix D.3, printed p. 71, item 25, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
26	house	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i026	attested	oɖɑʔɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 34, item 26, list BAI]	attested	oɖa?a	varenkamp2024ho[Appendix D.3, printed p. 71, item 26, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
27	roof	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i027	attested	d̪ɑbeɑ	4	baileymaggard2015bhumij[Appendix B.3, printed p. 34, item 27, list BAI]	attested	ɖabea	varenkamp2024ho[Appendix D.3, printed p. 71, item 27, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
28	door	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i028	attested	silipiŋ	2	baileymaggard2015bhumij[Appendix B.3, printed p. 34, item 28, list BAI]	attested	silpiŋ	varenkamp2024ho[Appendix D.3, printed p. 72, item 28, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
29	firewood	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i029	attested	sɑːn	1	baileymaggard2015bhumij[Appendix B.3, printed p. 34, item 29, list BAI]	attested	sa·n	varenkamp2024ho[Appendix D.3, printed p. 72, item 29, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
30	broom	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i030	attested	dʒonoʔo	1	baileymaggard2015bhumij[Appendix B.3, printed p. 34, item 30, list BAI]	attested	dʒono?o	varenkamp2024ho[Appendix D.3, printed p. 72, item 30, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
31	mortar	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i031	source_blank		0	baileymaggard2015bhumij[Appendix B.3, printed p. 35, item 31, list BAI]	blank		varenkamp2024ho[Appendix D.3, printed p. 73, item 31, list BOP]	yes	blank-parity	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
32	pestle	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i032	attested	gudgu	1	baileymaggard2015bhumij[Appendix B.3, printed p. 35, item 32, list BAI]	attested	gudgu	varenkamp2024ho[Appendix D.3, printed p. 73, item 32, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
33	hammer	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i033	attested	mɑɾt̪ul	1	baileymaggard2015bhumij[Appendix B.3, printed p. 35, item 33, list BAI]	attested	marṯul	varenkamp2024ho[Appendix D.3, printed p. 73, item 33, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
34	knife	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i034	attested	tʃhuɾi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 35, item 34, list BAI]	attested	tʃʰuri	varenkamp2024ho[Appendix D.3, printed p. 74, item 34, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
35	axe	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i035	attested	hɑke	2	baileymaggard2015bhumij[Appendix B.3, printed p. 35, item 35, list BAI]	attested	hake	varenkamp2024ho[Appendix D.3, printed p. 74, item 35, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
36	rope	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i036	attested	bɑjɑɾ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 36, item 36, list BAI]	attested	bajar	varenkamp2024ho[Appendix D.3, printed p. 74, item 36, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
37	thread	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i037	attested	sut̪ɑm	1	baileymaggard2015bhumij[Appendix B.3, printed p. 36, item 37, list BAI]	attested	suṯam	varenkamp2024ho[Appendix D.3, printed p. 75, item 37, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
38	needle	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i038	attested	sui	1	baileymaggard2015bhumij[Appendix B.3, printed p. 36, item 38, list BAI]	attested	sui	varenkamp2024ho[Appendix D.3, printed p. 75, item 38, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
39	cloth	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i039	attested	kitʃiɾi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 36, item 39, list BAI]	attested	kitʃiri	varenkamp2024ho[Appendix D.3, printed p. 75, item 39, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
40	ring	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i040	attested	mud̪ɑm	1	baileymaggard2015bhumij[Appendix B.3, printed p. 36, item 40, list BAI]	attested	muɖam	varenkamp2024ho[Appendix D.3, printed p. 76, item 40, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
41	sun	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i041	attested	siŋgi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 37, item 41, list BAI]	attested	siŋgi	varenkamp2024ho[Appendix D.3, printed p. 76, item 41, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
42	moon	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i042	attested	tʃɑndu	1	baileymaggard2015bhumij[Appendix B.3, printed p. 37, item 42, list BAI]	attested	tʃandu	varenkamp2024ho[Appendix D.3, printed p. 76, item 42, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
43	sky	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i043	source_blank			baileymaggard2015bhumij[Appendix B.3, printed p. 37, item 43, list BAI]	blank		varenkamp2024ho[Appendix D.3, printed p. 77, item 43, list BOP]	yes	blank-parity	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
44	star	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i044	attested	ipil	1	baileymaggard2015bhumij[Appendix B.3, printed p. 37, item 44, list BAI]	attested	ipil	varenkamp2024ho[Appendix D.3, printed p. 77, item 44, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
45	rain	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i045	attested	gɑmɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 37, item 45, list BAI]	attested	gama	varenkamp2024ho[Appendix D.3, printed p. 77, item 45, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
46	water	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i046	attested	d̪ɑʔɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 38, item 46, list BAI]	attested	ɖa?a	varenkamp2024ho[Appendix D.3, printed p. 78, item 46, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
47	river	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i047	attested	gɑd̪ɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 38, item 47, list BAI]	attested	gaɖa	varenkamp2024ho[Appendix D.3, printed p. 78, item 47, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
48	cloud	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i048	source_blank			baileymaggard2015bhumij[Appendix B.3, printed p. 38, item 48, list BAI]	blank		varenkamp2024ho[Appendix D.3, printed p. 78, item 48, list BOP]	yes	blank-parity	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
49	lightning	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i049	attested	gɦʌdɑgɑti	3	baileymaggard2015bhumij[Appendix B.3, printed p. 38, item 49, list BAI]	attested	gʰʌdagati	varenkamp2024ho[Appendix D.3, printed p. 79, item 49, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
50	rainbow	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i050	source_blank			baileymaggard2015bhumij[Appendix B.3, printed p. 38, item 50, list BAI]	blank		varenkamp2024ho[Appendix D.3, printed p. 79, item 50, list BOP]	yes	blank-parity	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
51	wind	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i051	attested	hʌjʌ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 39, item 51, list BAI]	attested	hʌjʌ	varenkamp2024ho[Appendix D.3, printed p. 79, item 51, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
52	stone	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i052	attested	d̪iɾi	1	baileymaggard2015bhumij[Appendix B.3, printed p. 39, item 52, list BAI]	attested	ḏiri	varenkamp2024ho[Appendix D.3, printed p. 80, item 52, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
53	path	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i053	attested	hoɾɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 39, item 53, list BAI]	attested	hora	varenkamp2024ho[Appendix D.3, printed p. 80, item 53, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
54	sand	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i054	attested	git̪il	1	baileymaggard2015bhumij[Appendix B.3, printed p. 39, item 54, list BAI]	attested	giṯil	varenkamp2024ho[Appendix D.3, printed p. 80, item 54, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
55	fire	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i055	attested	seŋgel	1	baileymaggard2015bhumij[Appendix B.3, printed p. 39, item 55, list BAI]	attested	seŋgel	varenkamp2024ho[Appendix D.3, printed p. 81, item 55, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
56	smoke	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i056	attested	sukul	1	baileymaggard2015bhumij[Appendix B.3, printed p. 40, item 56, list BAI]	attested	sukul	varenkamp2024ho[Appendix D.3, printed p. 81, item 56, list BOP]	yes	unicode-exact-after-label-removal	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
57	ash	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i057	attested	t̪ʌɾe	1	baileymaggard2015bhumij[Appendix B.3, printed p. 40, item 57, list BAI]	attested	ṯʌre	varenkamp2024ho[Appendix D.3, printed p. 81, item 57, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
58	mud	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i058	attested	lʌsʌʔʌ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 40, item 58, list BAI]	attested	lʌsʌ?ʌ	varenkamp2024ho[Appendix D.3, printed p. 82, item 58, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
59	dust	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i059	attested	dɦuɾɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 40, item 59, list BAI]	attested	dʰura	varenkamp2024ho[Appendix D.3, printed p. 82, item 59, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
60	gold	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i060	attested	sonɑ	1	baileymaggard2015bhumij[Appendix B.3, printed p. 40, item 60, list BAI]	attested	sona	varenkamp2024ho[Appendix D.3, printed p. 82, item 60, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
61	tree	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i061	attested	d̪ɑɾu	1	baileymaggard2015bhumij[Appendix B.3, printed p. 41, item 61, list BAI]	attested	ɖaru	varenkamp2024ho[Appendix D.3, printed p. 83, item 61, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
62	leaf	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i062	attested	sɑkɑm	1	baileymaggard2015bhumij[Appendix B.3, printed p. 41, item 62, list BAI]	attested	sakam	varenkamp2024ho[Appendix D.3, printed p. 83, item 62, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
63	root	BAI	BOP	Baigodia, Opada, Balasore	1989-04-01	bhumij1989-baigodia	bhumij1989-baigodia-i063	attested	ɾeʔn	1	baileymaggard2015bhumij[Appendix B.3, printed p. 41, item 63, list BAI]	attested	re?n	varenkamp2024ho[Appendix D.3, printed p. 83, item 63, list BOP]	yes	publication-transcription-differs	baileymaggard2015bhumij	install-primary-bhumij-2015; exclude-ho-2024-same-elicitation-republication
