Item	Gloss	Site_Code	Language_Label	Site_Name	Target	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Dialect_ID	Stable_Cell_ID	Disposition
1	body	MDH	Mundari	Dhungarisai	no	34	29	left	hoɖomo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
1	body	MJH	Mundari	Jharmunda	no	34	29	left	hɔɖmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
1	body	HDI	Ho	Dillisore	no	34	29	left	hɔmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
1	body	SDI	Santali	Dictionary	no	34	29	left	hoɾmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
1	body	SNA	Santali	Nayarangamotia	no	34	29	left	hɔɾmo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
1	body	ORI	Oriya	Cuttack	no	34	29	left	soɾiɾo	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
2	head	BAI	Bhumij	Baigodia	yes	34	29	left	boʔo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-baigodia	bhumij1989-baigodia-i002	target-staged
2	head	CHA	Bhumij	Champi	yes	34	29	left	boʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-champi	bhumij1989-champi-i002	target-staged
2	head	DIG	Bhumij	Dighinuasahi	yes	34	29	left	bɔʔo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-dighinuasahi	bhumij1996-dighinuasahi-i002	target-staged
2	head	DUM	Bhumij	Dumadie	yes	34	29	left	boʔo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-dumadie	bhumij1989-dumadie-i002	target-staged
2	head	LAD	Bhumij	Ladhiramsai	yes	34	29	left	boʔo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-ladhiramsai	bhumij1989-ladhiramsai-i002	target-staged
2	head	MAD	Bhumij	Madhupur	yes	34	29	left	bohoʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-madhupur	bhumij1989-madhupur-i002	target-staged
2	head	MOH	Bhumij	Mohuldiha	yes	34	29	left	bɔho	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-mohuldiha	bhumij1996-mohuldiha-i002	target-staged
2	head	MUN	Bhumij	Munduy	yes	34	29	left	bo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-munduy	bhumij1996-munduy-i002	target-staged
2	head	POD	Bhumij	Podadiha	yes	34	29	left	boho	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-podadiha	bhumij1989-podadiha-i002	target-staged
2	head	UDA	Bhumij/Mundari	Udala	yes	34	29	left	boʔo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij-mundari1989-udala	bhumij-mundari1989-udala-i002	target-staged
2	head	MCH	Mundari	Chalagi	no	34	29	left	bɔʔo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
2	head	MDI	Mundari	Dictionary	no	34	29	left	bo | mund	1 | 2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
2	head	MDH	Mundari	Dhungarisai	no	34	29	left	boʔo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
2	head	MJH	Mundari	Jharmunda	no	34	29	left	bɔho	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
2	head	HDI	Ho	Dillisore	no	34	29	left	bo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
2	head	SDI	Santali	Dictionary	no	34	29	left	bohok	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
2	head	SNA	Santali	Nayarangamotia	no	34	29	left	bɔho	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
2	head	ORI	Oriya	Cuttack	no	34	29	left	mũnɖɔ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
3	hair	BAI	Bhumij	Baigodia	yes	34	29	left	boʔo up	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-baigodia	bhumij1989-baigodia-i003	target-staged
3	hair	CHA	Bhumij	Champi	yes	34	29	left	uʔp	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-champi	bhumij1989-champi-i003	target-staged
3	hair	DIG	Bhumij	Dighinuasahi	yes	34	29	right	up	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-dighinuasahi	bhumij1996-dighinuasahi-i003	target-staged
3	hair	DUM	Bhumij	Dumadie	yes	34	29	right	boʔo uʔb	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-dumadie	bhumij1989-dumadie-i003	target-staged
3	hair	LAD	Bhumij	Ladhiramsai	yes	34	29	right	ubʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-ladhiramsai	bhumij1989-ladhiramsai-i003	target-staged
3	hair	MAD	Bhumij	Madhupur	yes	34	29	right	uːb	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-madhupur	bhumij1989-madhupur-i003	target-staged
3	hair	MOH	Bhumij	Mohuldiha	yes	34	29	right	uʔp	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-mohuldiha	bhumij1996-mohuldiha-i003	target-staged
3	hair	MUN	Bhumij	Munduy	yes	34	29	right	uʔp	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-munduy	bhumij1996-munduy-i003	target-staged
3	hair	POD	Bhumij	Podadiha	yes	34	29	right	ub	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-podadiha	bhumij1989-podadiha-i003	target-staged
3	hair	UDA	Bhumij/Mundari	Udala	yes	34	29	right	uʔp	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij-mundari1989-udala	bhumij-mundari1989-udala-i003	target-staged
3	hair	MCH	Mundari	Chalagi	no	34	29	right	uʔmɪm	3	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
3	hair	MDI	Mundari	Dictionary	no	34	29	right	ub	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
3	hair	MDH	Mundari	Dhungarisai	no	34	29	right	uʔp	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
3	hair	MJH	Mundari	Jharmunda	no	34	29	right	uʔp	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
3	hair	HDI	Ho	Dillisore	no	34	29	right	bɐle	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
3	hair	SDI	Santali	Dictionary	no	34	29	right	uʔp	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
3	hair	SNA	Santali	Nayarangamotia	no	34	29	right	uʔp	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
3	hair	ORI	Oriya	Cuttack	no	34	29	right	bɑlə	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
4	face	BAI	Bhumij	Baigodia	yes	34	29	right	meʔt moɑŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-baigodia	bhumij1989-baigodia-i004	target-staged
4	face	CHA	Bhumij	Champi	yes	34	29	right	met mutɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-champi	bhumij1989-champi-i004	target-staged
4	face	DIG	Bhumij	Dighinuasahi	yes	34	29	right	menmuhɑ̃ʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-dighinuasahi	bhumij1996-dighinuasahi-i004	target-staged
4	face	DUM	Bhumij	Dumadie	yes	34	29	right	meʔd moʈe	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-dumadie	bhumij1989-dumadie-i004	target-staged
4	face	LAD	Bhumij	Ladhiramsai	yes	34	29	right	metʔn̩mũɑɳɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-ladhiramsai	bhumij1989-ladhiramsai-i004	target-staged
4	face	MAD	Bhumij	Madhupur	yes	34	29	right	met mute	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-madhupur	bhumij1989-madhupur-i004	target-staged
4	face	MOH	Bhumij	Mohuldiha	yes	34	29	right	menmuhɑɖ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-mohuldiha	bhumij1996-mohuldiha-i004	target-staged
4	face	MUN	Bhumij	Munduy	yes	34	29	right	menmuʈɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-munduy	bhumij1996-munduy-i004	target-staged
4	face	POD	Bhumij	Podadiha	yes	34	29	right	met mute	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-podadiha	bhumij1989-podadiha-i004	target-staged
4	face	UDA	Bhumij/Mundari	Udala	yes	34	29	right	meʔt mũɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij-mundari1989-udala	bhumij-mundari1989-udala-i004	target-staged
4	face	MCH	Mundari	Chalagi	no	34	29	right	menmuɑ̃ɳ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
4	face	MDI	Mundari	Dictionary	no	34	29	right	med muɑnɾɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
4	face	MDH	Mundari	Dhungarisai	no	34	29	right	meʔt motʃɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
4	face	MJH	Mundari	Jharmunda	no	34	29	right	tʃɐnkɑ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
4	face	HDI	Ho	Dillisore	no	34	29	right	menmutʃɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
4	face	SDI	Santali	Dictionary	no	34	29	right	mẽtʔ ɑ̃hɑ̃	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
4	face	SNA	Santali	Nayarangamotia	no	34	29	right	mənhɑ̃ʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
4	face	ORI	Oriya	Cuttack	no	34	29	right	mũhə	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
5	eye	BAI	Bhumij	Baigodia	yes	34	29	right	meʔn	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-baigodia	bhumij1989-baigodia-i005	target-staged
5	eye	CHA	Bhumij	Champi	yes	34	29	right	metʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-champi	bhumij1989-champi-i005	target-staged
5	eye	DIG	Bhumij	Dighinuasahi	yes	34	29	right	meʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-dighinuasahi	bhumij1996-dighinuasahi-i005	target-staged
5	eye	DUM	Bhumij	Dumadie	yes	34	29	right	metʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-dumadie	bhumij1989-dumadie-i005	target-staged
5	eye	LAD	Bhumij	Ladhiramsai	yes	34	29	right	metʔn̩	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-ladhiramsai	bhumij1989-ladhiramsai-i005	target-staged
5	eye	MAD	Bhumij	Madhupur	yes	34	29	right	met	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-madhupur	bhumij1989-madhupur-i005	target-staged
5	eye	MOH	Bhumij	Mohuldiha	yes	34	29	right	meʔn	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-mohuldiha	bhumij1996-mohuldiha-i005	target-staged
5	eye	MUN	Bhumij	Munduy	yes	35	30	left	meʔn	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-munduy	bhumij1996-munduy-i005	target-staged
5	eye	POD	Bhumij	Podadiha	yes	35	30	left	metʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-podadiha	bhumij1989-podadiha-i005	target-staged
5	eye	UDA	Bhumij/Mundari	Udala	yes	35	30	left	meʔt̪	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij-mundari1989-udala	bhumij-mundari1989-udala-i005	target-staged
5	eye	MCH	Mundari	Chalagi	no	35	30	left	meʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
5	eye	MDI	Mundari	Dictionary	no	35	30	left	med	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
5	eye	MDH	Mundari	Dhungarisai	no	35	30	left	meʔt̪	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
5	eye	MJH	Mundari	Jharmunda	no	35	30	left	meʔt̪	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
5	eye	HDI	Ho	Dillisore	no	35	30	left	meʔn	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
5	eye	SDI	Santali	Dictionary	no	35	30	left	mẽt	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
5	eye	SNA	Santali	Nayarangamotia	no	35	30	left	meʔt̪	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
5	eye	ORI	Oriya	Cuttack	no	35	30	left	ɑkhi	2	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control			comparison-control-excluded
6	ear	BAI	Bhumij	Baigodia	yes	35	30	left	lut̪uɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-baigodia	bhumij1989-baigodia-i006	target-staged
6	ear	CHA	Bhumij	Champi	yes	35	30	left	lut̪uɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-champi	bhumij1989-champi-i006	target-staged
6	ear	DIG	Bhumij	Dighinuasahi	yes	35	30	left	lut̪uɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-dighinuasahi	bhumij1996-dighinuasahi-i006	target-staged
6	ear	DUM	Bhumij	Dumadie	yes	35	30	left	lut̪uɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-dumadie	bhumij1989-dumadie-i006	target-staged
6	ear	LAD	Bhumij	Ladhiramsai	yes	35	30	left	lut̪uɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-ladhiramsai	bhumij1989-ladhiramsai-i006	target-staged
6	ear	MAD	Bhumij	Madhupur	yes	35	30	left	lut̪uɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1989-madhupur	bhumij1989-madhupur-i006	target-staged
6	ear	MOH	Bhumij	Mohuldiha	yes	35	30	left	lut̪uɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-mohuldiha	bhumij1996-mohuldiha-i006	target-staged
6	ear	MUN	Bhumij	Munduy	yes	35	30	left	lut̪uɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	bhumij1996-munduy	bhumij1996-munduy-i006	target-staged
