PDF_Page	Printed_Page	Line	Item	Gloss	Site	Scaffold_Form	Manual_Form	Correction_Class	Visual_Review
81	72	R32@445.12	9	tooth	Bodgaon	d̪ãt ̪	d̪ãt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R33@457.12	9	tooth	Burja	d̪ãt ̪	d̪ãt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R34@469.13	9	tooth	Dame side	d̪ãt ̪	d̪ãt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R35@481.13	9	tooth	Gagnapur	d̪ãt ̪	d̪ãt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R36@493.14	9	tooth	Gemelput	d̪ãt ̪	d̪ãt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R37@505.14	9	tooth	Jujhari	d̪ãt ̪	d̪ãt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R38@517.14	9	tooth	Gumalput	d̪ɐt ̪	d̪ɐt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R39@529.15	9	tooth	Kantigad	d̪ɐt ̪	d̪ɐt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R40@541.15	9	tooth	Kakalpoda	d̪ɐt̃ ̪	d̪ɐ̃t̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R41@553.08	9	tooth	Aunli	d̪ɔt ̪	d̪ɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R42@565.08	9	tooth	Chhatrabor	d̪ɔt ̪	d̪ɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R43@577.09	9	tooth	Sourakundi	d̪ɔt ̪	d̪ɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	L32@457.16	11	breast	Dame side	tʃati̪	tʃat̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	L33@469.17	11	breast	Sourakundi	tʃati̪	tʃat̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	L34@481.17	11	breast	Burja	tʃʰati̪	tʃʰat̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R05@121.08	13	arm	Gemelput	aːːt ̪	aːːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R06@133.09	13	arm	Aunli	aːt ̪	aːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R07@145.09	13	arm	Bodgaon	aːt ̪	aːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R08@157.10	13	arm	Potenda	aːt ̪	aːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R09@169.10	13	arm	Gagnapur	at ̪	at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R10@181.10	13	arm	Ghumar	at ̪	at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R11@193.11	13	arm	Sindhiguda	at ̪	at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R12@205.11	13	arm	Sourakundi	at ̪	at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R13@217.12	13	arm	Gumalput	ɐt ̪	ɐt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R14@229.12	13	arm	Kantigad	ɐt ̪	ɐt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R15@241.12	13	arm	Burja	haːt ̪	haːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R16@253.13	13	arm	Chhatrabor	haːt ̪	haːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R17@265.13	13	arm	Dame side	haːt ̪	haːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R18@277.14	13	arm	Jujhari	haːt ̪	haːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R19@289.14	13	arm	Sabhapatiguda	haːt ̪	haːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R20@301.14	13	arm	Gagnapur	hat ̪	hat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R21@313.15	13	arm	Konda Maliguda	hat ̪	hat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R22@325.15	13	arm	Patta Maliguda	hat ̪	hat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R23@337.16	13	arm	Souraguda	hat ̪	hat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R24@349.16	13	arm	Kakalpoda	hɐt ̪	hɐt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R48@653.46	15	palm	Gumalput	ɐt ̪	ɐt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R49@665.47	15	palm	Kantigad	ɐt ̪	ɐt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R50@677.47	15	palm	Gagnapur	at ̪ dɔbi	at̪ dɔbi	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
82	73	R51@689.48	15	palm	Kakalpoda	hɐt ̪	hɐt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
83	74	L10@184.96	15	palm	Potenda	pɔd̪ɔm aːt ̪	pɔd̪ɔm aːt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
83	74	L11@196.96	15	palm	Gemelput	pɔd̪ɔm at ̪	pɔd̪ɔm at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
83	74	L12@208.96	15	palm	Gumalput	pɔd̪ɔm at ̪	pɔd̪ɔm at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
83	74	L13@220.97	15	palm	Kantigad	pɔd̪ɔm at ̪	pɔd̪ɔm at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
83	74	L14@232.97	15	palm	Burja	pɔd̪ɔm hat ̪	pɔd̪ɔm hat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
83	74	L15@244.98	15	palm	Chhatrabor	pɔd̪ɔm hat ̪	pɔd̪ɔm hat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
83	74	L16@256.98	15	palm	Dame side	pɔd̪ɔm hat ̪	pɔd̪ɔm hat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	L19@301.09	21	heart	Jujhari	d̪uk du̪ ki	d̪uk d̪uki	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R11@185.00	22	blood	Bodgaon	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R12@197.00	22	blood	Burja	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R13@209.00	22	blood	Chhatrabor	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R14@221.01	22	blood	Dame side	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R15@233.01	22	blood	Gumalput	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R16@245.02	22	blood	Jujhari	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R17@257.02	22	blood	Kantigad	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R18@269.02	22	blood	Konda Maliguda	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R19@281.03	22	blood	Patta Maliguda	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R20@293.03	22	blood	Potenda	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R21@305.04	22	blood	Sabhapatiguda	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R22@317.04	22	blood	Sindhiguda	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R23@329.04	22	blood	Souraguda	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R24@341.05	22	blood	Sourakundi	rɔkɔt ̪	rɔkɔt̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
84	75	R25@352.92	22	blood	Gemelput	rɔktɔ̪	rɔkt̪ɔ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
85	76	L20@313.11	25	village	Aunli	ɡaɔ ̃	ɡaɔ̃	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
85	76	L21@325.11	25	village	Jujhari	ɡaɔ ̃	ɡaɔ̃	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
85	76	L31@445.15	25	village	Gumalput	ɡɐũ	ɡɐ̃u	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
85	76	L32@457.16	25	village	Kakalpoda	ɡɐũ	ɡɐ̃u	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
85	76	L33@469.16	25	village	Kantigad	ɡɐũ	ɡɐ̃u	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
85	76	R22@325.15	27	roof	Dame side	tʃʰat ̪	tʃʰat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
85	76	R32@453.32	28	door	Potenda	kapat ̪	kapat̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	L05@133.09	34	knife	Bodgaon	kati̪	kat̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	L07@157.10	34	knife	Chhatrabor	kɐti̪	kɐt̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	L08@169.10	34	knife	Dame side	kɐti̪	kɐt̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	L09@181.10	34	knife	Ghumar	kɐti̪	kɐt̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	L10@193.11	34	knife	Jujhari	kɐti̪	kɐt̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	L11@205.11	34	knife	Konda Maliguda	kɐti̪	kɐt̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	L23@349.16	34	knife	Burja	kɐtr̪ i	kɐt̪ri	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	L24@361.16	34	knife	Jujhari	kɐtr̪ i	kɐt̪ri	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R39@537.30	37	thread	Chhatrabor	sut ̪	sut̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R40@549.31	37	thread	Ghumar	sut ̪	sut̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R41@561.31	37	thread	Sabhapatiguda	sut ̪	sut̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R42@573.32	37	thread	Sourakundi	sut ̪	sut̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R43@585.32	37	thread	Aunli	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R44@597.32	37	thread	Bodgaon	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R45@609.33	37	thread	Burja	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R46@621.33	37	thread	Dame side	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R47@633.34	37	thread	Gagnapur	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R48@645.34	37	thread	Gemelput	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R49@657.34	37	thread	Ghumar	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R50@669.35	37	thread	Jujhari	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R51@681.35	37	thread	Konda Maliguda	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R52@693.36	37	thread	Patta Maliguda	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
87	78	R53@705.30	37	thread	Potenda	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	L01@76.92	37	thread	Sindhiguda	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	L02@88.92	37	thread	Souraguda	suta̪	sut̪a	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	L03@100.93	37	thread	Gumalput	sʊtɐ̪	sʊt̪ɐ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	L04@112.93	37	thread	Kakalpoda	sʊtɐ̪	sʊt̪ɐ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	L05@124.94	37	thread	Kantigad	sʊtɐ̪	sʊt̪ɐ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	L28@417.30	39	cloth	Burja	d̪ʰɔti̪	d̪ʰɔt̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R11@193.08	40	ring	Potenda	aːt ̪ mud̪i	aːt̪ mud̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R18@277.11	40	ring	Dame side	mun̪di̪	mun̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R19@289.12	40	ring	Potenda	mun̪di̪	mun̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R20@301.12	40	ring	Sabhapatiguda	mun̪di̪	mun̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R21@313.12	40	ring	Aunli	mũn̪di̪	mũn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R22@325.13	40	ring	Ghumar	mũn̪di̪	mũn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R23@337.13	40	ring	Konda Maliguda	mũn̪di̪	mũn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R24@349.14	40	ring	Patta Maliguda	mũn̪di̪	mũn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R25@361.14	40	ring	Souraguda	mũn̪di̪	mũn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
88	79	R26@373.14	40	ring	Sourakundi	mũn̪di̪	mũn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	L49@669.31	44	star	Aunli	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	L50@681.31	44	star	Bodgaon	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	L51@693.32	44	star	Burja	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	L52@705.32	44	star	Chhatrabor	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R02@76.94	44	star	Dame side	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R03@88.94	44	star	Jujhari	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R04@100.94	44	star	Potenda	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R05@112.95	44	star	Sabhapatiguda	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R06@124.95	44	star	Sindhiguda	ta̪ ra	t̪ara	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R07@136.96	44	star	Gagnapur	tɐ̪ ra	t̪ɐra	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R08@148.96	44	star	Konda Maliguda	tɐ̪ ra	t̪ɐra	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R09@160.96	44	star	Patta Maliguda	tɐ̪ ra	t̪ɐra	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R10@172.97	44	star	Ghumar	tɐ̪ ɾa	t̪ɐɾa	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R11@184.97	44	star	Sourakundi	tɐ̪ ɾa	t̪ɐɾa	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R12@196.98	44	star	Gumalput	tɐ̪ ɾɐ	t̪ɐɾɐ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R13@208.98	44	star	Kakalpoda	tɐ̪ ɾɐ	t̪ɐɾɐ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R14@220.98	44	star	Kantigad	tɐ̪ ɾɐ	t̪ɐɾɐ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R15@232.99	44	star	Souraguda	tɔ̪ ra	t̪ɔra	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
89	80	R40@541.11	45	rain	Dame side	pani aita̪ i	pani ait̪ai	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	L26@385.14	47	river	Aunli	lɔn̪di̪	lɔn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	L27@397.15	47	river	Chhatrabor	lɔn̪di̪	lɔn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	L28@409.15	47	river	Ghumar	lɔn̪di̪	lɔn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	L29@421.16	47	river	Sourakundi	lɔn̪di̪	lɔn̪d̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	R35@489.30	50	rainbow	Sourakundi	d̪ɔnu pɔn̪ti̪	d̪ɔnu pɔn̪t̪i	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	R37@513.31	50	rainbow	Bodgaon	in̪d̪ɔr dɔ̪ nu	in̪d̪ɔr d̪ɔnu	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	R38@525.32	50	rainbow	Chhatrabor	in̪d̪ɔr dɔ̪ nu	in̪d̪ɔr d̪ɔnu	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	R39@537.32	50	rainbow	Gemelput	in̪d̪ɔr dɔ̪ nu	in̪d̪ɔr d̪ɔnu	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	R40@549.32	50	rainbow	Ghumar	in̪d̪ɔr dɔ̪ nu	in̪d̪ɔr d̪ɔnu	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	R41@561.33	50	rainbow	Jujhari	in̪d̪ɔr dɔ̪ nu	in̪d̪ɔr d̪ɔnu	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
90	81	R42@573.33	50	rainbow	Potenda	ɪn̪d̪ɔr dɔ̪ nu	ɪn̪d̪ɔr d̪ɔnu	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
