PDF_Page	Printed_Page	First_Item	Last_Item	Response_Lines	Attested_Lines	No_Entry_Lines	Conceptual_Cells	Review_Status	Review_Method	Notes
107	98	124	128	99	99	0	93	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
108	99	129	131	100	100	0	57	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
109	100	132	136	99	99	0	81	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
110	101	136	140	100	100	0	87	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
111	102	140	144	100	100	0	83	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
112	103	144	149	98	98	0	89	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
113	104	149	153	100	100	0	88	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
114	105	153	158	97	97	0	97	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
115	106	159	163	99	99	0	95	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
116	107	164	167	99	99	0	76	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
117	108	168	172	99	99	0	80	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
118	109	172	176	100	100	0	85	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
119	110	176	179	102	102	0	70	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
120	111	179	183	100	100	0	66	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
121	112	183	187	100	100	0	83	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
122	113	187	191	100	100	0	87	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
123	114	192	195	99	99	0	76	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
124	115	195	200	98	98	0	80	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
125	116	200	204	100	100	0	79	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
126	117	204	208	100	100	0	84	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
127	118	208	210	51	51	0	47	complete	manual visual comparison against rendered source image	typeset and legible; every response line inspected; no clipping or illegibility observed
