PDF_Page	Printed_Page	Line	Item	Gloss	Site	Manual_Form	Similarity_Group	Confidence	Review_Method	Review_Status	Source_Text
80	71	L22@354.98	1	body	Chhatrabor	ɡaɡɔr	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor ɡaɡɔr 1
80	71	L23@366.98	1	body	Sourakundi	ɡaɡɔɾ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sourakundi ɡaɡɔɾ 1
80	71	L24@378.98	1	body	Gumalput	ɡɐɡɔɽ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput ɡɐɡɔɽ 1
80	71	L25@390.99	1	body	Kakalpoda	ɡɐɡɔɽ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda ɡɐɡɔɽ 1
80	71	L26@402.99	1	body	Kantigad	ɡɐɡɔɽ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad ɡɐɡɔɽ 1
80	71	L27@415.00	1	body	Gagnapur	ɡɔɡaɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur ɡɔɡaɖɨ 1
80	71	L29@447.12	2	head	Aunli	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli muɳɖ 1
80	71	L30@459.13	2	head	Burja	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja muɳɖ 1
80	71	L31@471.13	2	head	Chhatrabor	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor muɳɖ 1
80	71	L32@483.14	2	head	Dame side	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side muɳɖ 1
80	71	L33@495.14	2	head	Ghumar	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar muɳɖ 1
80	71	L34@507.14	2	head	Gumalput	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput muɳɖ 1
80	71	L35@519.15	2	head	Jujhari	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari muɳɖ 1
80	71	L36@531.15	2	head	Kakalpoda	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda muɳɖ 1
80	71	L37@543.16	2	head	Kantigad	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad muɳɖ 1
80	71	L38@555.16	2	head	Potenda	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda muɳɖ 1
80	71	L39@567.16	2	head	Sindhiguda	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda muɳɖ 1
80	71	L40@579.17	2	head	Sourakundi	muɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sourakundi muɳɖ 1
80	71	L41@591.17	2	head	Bodgaon	muɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon muɳɖɨ 1
80	71	L42@603.18	2	head	Gagnapur	muɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur muɳɖɨ 1
80	71	L43@615.18	2	head	Gemelput	muɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput muɳɖɨ 1
80	71	L44@627.18	2	head	Konda Maliguda	muɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda muɳɖɨ 1
80	71	L45@639.19	2	head	Patta Maliguda	muɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda muɳɖɨ 1
80	71	L46@651.12	2	head	Sabhapatiguda	muɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda muɳɖɨ 1
80	71	L47@663.12	2	head	Souraguda	muɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda muɳɖɨ 1
80	71	L49@695.28	3	hair	Aunli	bal	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli bal 1
80	71	L50@707.29	3	hair	Burja	bal	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja bal 1
80	71	R04@138.90	3	hair	Chhatrabor	bal	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor bal 1
80	71	R05@150.91	3	hair	Dame side	bal	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side bal 1
80	71	R06@162.91	3	hair	Ghumar	bal	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar bal 1
80	71	R07@174.92	3	hair	Sindhiguda	bal	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda bal 1
80	71	R08@186.92	3	hair	Souraguda	bal	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda bal 1
80	71	R09@198.92	3	hair	Sourakundi	bal	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sourakundi bal 1
80	71	R10@210.93	3	hair	Sabhapatiguda	baɭɔ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda baɭɔ 1
80	71	R11@222.93	3	hair	Bodgaon	tʃeɳɖi	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon tʃeɳɖi 2
80	71	R12@234.94	3	hair	Gagnapur	tʃeɳɖi	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur tʃeɳɖi 2
80	71	R13@246.94	3	hair	Gemelput	tʃeɳɖi	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput tʃeɳɖi 2
80	71	R14@258.94	3	hair	Jujhari	tʃeɳɖi	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari tʃeɳɖi 2
80	71	R15@270.95	3	hair	Patta Maliguda	tʃeɳɖi	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda tʃeɳɖi 2
80	71	R16@282.95	3	hair	Potenda	tʃeɳɖi	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda tʃeɳɖi 2
80	71	R17@294.96	3	hair	Gumalput	tʃʰeɳɖɪ	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput tʃʰeɳɖɪ 2
80	71	R18@306.96	3	hair	Kakalpoda	tʃʰeɳɖɪ	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda tʃʰeɳɖɪ 2
80	71	R19@318.96	3	hair	Kantigad	tʃʰeɳɖɪ	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad tʃʰeɳɖɪ 2
80	71	R20@330.97	3	hair	Konda Maliguda	tʃʰeɳɖi	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda tʃʰeɳɖi 2
80	71	R22@363.12	4	face	Aunli	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli mũ 1
80	71	R23@375.13	4	face	Bodgaon	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon mũ 1
80	71	R24@387.13	4	face	Burja	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja mũ 1
80	71	R25@399.14	4	face	Chhatrabor	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor mũ 1
80	71	R26@411.14	4	face	Dame side	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side mũ 1
80	71	R27@423.14	4	face	Gagnapur	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur mũ 1
80	71	R28@435.15	4	face	Gemelput	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput mũ 1
80	71	R29@447.15	4	face	Ghumar	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar mũ 1
80	71	R30@459.16	4	face	Jujhari	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari mũ 1
80	71	R31@471.16	4	face	Potenda	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda mũ 1
80	71	R32@483.16	4	face	Sindhiguda	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda mũ 1
80	71	R33@495.17	4	face	Souraguda	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda mũ 1
80	71	R34@507.17	4	face	Sourakundi	mũ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sourakundi mũ 1
80	71	R35@519.18	4	face	Gumalput	mʊ̃	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput mʊ̃ 1
80	71	R36@531.18	4	face	Kakalpoda	mʊ̃	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda mʊ̃ 1
80	71	R37@543.18	4	face	Kantigad	mʊ̃	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad mʊ̃ 1
80	71	R38@555.19	4	face	Konda Maliguda	mũː	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda mũː 1
80	71	R39@567.19	4	face	Patta Maliguda	mũː	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda mũː 1
80	71	R40@579.20	4	face	Sabhapatiguda	mũh	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda mũh 1
80	71	R42@611.28	5	eye	Gagnapur	a:ki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur a:ki 1
80	71	R43@623.29	5	eye	Souraguda	a:ki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda a:ki 1
80	71	R44@635.29	5	eye	Potenda	aːki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda aːki 1
80	71	R45@647.30	5	eye	Sabhapatiguda	aːki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda aːki 1
80	71	R46@659.30	5	eye	Sourakundi	aːki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sourakundi aːki 1
80	71	R47@671.30	5	eye	Ghumar	ãːki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar ãːki 1
80	71	R48@683.31	5	eye	Bodgaon	aki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon aki 1
80	71	R49@695.31	5	eye	Burja	aki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja aki 1
80	71	R50@707.28	5	eye	Chhatrabor	aki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor aki 1
81	72	L01@76.92	5	eye	Dame side	aki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side aki 1
81	72	L02@88.92	5	eye	Konda Maliguda	aki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda aki 1
81	72	L03@100.93	5	eye	Patta Maliguda	aki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda aki 1
81	72	L04@112.93	5	eye	Aunli	ãki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli ãki 1
81	72	L05@124.94	5	eye	Gemelput	ãki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput ãki 1
81	72	L06@136.94	5	eye	Jujhari	ãki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari ãki 1
81	72	L07@148.94	5	eye	Sindhiguda	ãki	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda ãki 1
81	72	L08@160.95	5	eye	Gumalput	ɐ̃kɪ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput ɐk̃ ɪ 1
81	72	L09@172.95	5	eye	Kakalpoda	ɐ̃kɪ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda ɐk̃ ɪ 1
81	72	L10@184.96	5	eye	Kantigad	ɐ̃kɪ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad ɐk̃ ɪ 1
81	72	L12@217.08	6	ear	Aunli	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli kan 1
81	72	L13@229.09	6	ear	Bodgaon	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon kan 1
81	72	L14@241.09	6	ear	Burja	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja kan 1
81	72	L15@253.10	6	ear	Chhatrabor	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor kan 1
81	72	L16@265.10	6	ear	Dame side	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side kan 1
81	72	L17@277.10	6	ear	Gagnapur	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur kan 1
81	72	L18@289.11	6	ear	Gemelput	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput kan 1
81	72	L19@301.11	6	ear	Ghumar	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar kan 1
81	72	L20@313.12	6	ear	Jujhari	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari kan 1
81	72	L21@325.12	6	ear	Konda Maliguda	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda kan 1
81	72	L22@337.12	6	ear	Patta Maliguda	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda kan 1
81	72	L23@349.13	6	ear	Potenda	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda kan 1
81	72	L24@361.13	6	ear	Sabhapatiguda	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda kan 1
81	72	L25@373.14	6	ear	Sindhiguda	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda kan 1
81	72	L26@385.14	6	ear	Souraguda	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda kan 1
81	72	L27@397.14	6	ear	Sourakundi	kan	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sourakundi kan 1
81	72	L28@409.15	6	ear	Gumalput	kɐn	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput kɐn 1
81	72	L29@421.15	6	ear	Kakalpoda	kɐn	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda kɐn 1
81	72	L30@433.16	6	ear	Kantigad	kɐn	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad kɐn 1
81	72	L31@445.16	6	ear	Gemelput	kanɔ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput kanɔ 1
81	72	L33@477.30	7	nose	Aunli	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli nak 1
81	72	L34@489.31	7	nose	Bodgaon	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon nak 1
81	72	L35@501.31	7	nose	Burja	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja nak 1
81	72	L36@513.32	7	nose	Chhatrabor	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor nak 1
81	72	L37@525.32	7	nose	Dame side	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side nak 1
81	72	L38@537.32	7	nose	Gemelput	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput nak 1
81	72	L39@549.33	7	nose	Ghumar	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar nak 1
81	72	L40@561.33	7	nose	Jujhari	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari nak 1
81	72	L41@573.34	7	nose	Konda Maliguda	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda nak 1
81	72	L42@585.34	7	nose	Patta Maliguda	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda nak 1
81	72	L43@597.34	7	nose	Potenda	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda nak 1
81	72	L44@609.35	7	nose	Sabhapatiguda	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda nak 1
81	72	L45@621.35	7	nose	Sindhiguda	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda nak 1
81	72	L46@633.36	7	nose	Souraguda	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda nak 1
81	72	L47@645.36	7	nose	Sourakundi	nak	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sourakundi nak 1
81	72	L48@657.36	7	nose	Gumalput	nɐk	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput nɐk 1
81	72	L49@669.30	7	nose	Kakalpoda	nɐk	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda nɐk 1
81	72	L50@681.30	7	nose	Kantigad	nɐk	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad nɐk 1
81	72	L51@693.31	7	nose	Gemelput	nakɔ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput nakɔ 1
81	72	L52@705.31	7	nose	Gagnapur	nasi	2	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur nasi 2
81	72	R03@88.93	8	mouth	Aunli	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli tɔɳɖ 1
81	72	R04@100.94	8	mouth	Bodgaon	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon tɔɳɖ 1
81	72	R05@112.94	8	mouth	Burja	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja tɔɳɖ 1
81	72	R06@124.94	8	mouth	Chhatrabor	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor tɔɳɖ 1
81	72	R07@136.95	8	mouth	Dame side	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side tɔɳɖ 1
81	72	R08@148.95	8	mouth	Gagnapur	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur tɔɳɖ 1
81	72	R09@160.96	8	mouth	Ghumar	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar tɔɳɖ 1
81	72	R10@172.96	8	mouth	Gumalput	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput tɔɳɖ 1
81	72	R11@184.96	8	mouth	Kakalpoda	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda tɔɳɖ 1
81	72	R12@196.97	8	mouth	Kantigad	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad tɔɳɖ 1
81	72	R13@208.97	8	mouth	Sabhapatiguda	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda tɔɳɖ 1
81	72	R14@220.98	8	mouth	Sindhiguda	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda tɔɳɖ 1
81	72	R15@232.98	8	mouth	Souraguda	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda tɔɳɖ 1
81	72	R16@244.98	8	mouth	Sourakundi	tɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sourakundi tɔɳɖ 1
81	72	R17@256.99	8	mouth	Gemelput	t̪ɔɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput tɔ̪ ɳɖ 1
81	72	R18@268.99	8	mouth	Konda Maliguda	tɔɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda tɔɳɖɨ 1
81	72	R19@281.00	8	mouth	Patta Maliguda	tɔɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda tɔɳɖɨ 1
81	72	R20@293.00	8	mouth	Potenda	tɔɳɖɨ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda tɔɳɖɨ 1
81	72	R21@305.00	8	mouth	Jujhari	tuɳɖ	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari tuɳɖ 1
81	72	R23@337.08	9	tooth	Potenda	d̪aːn̪t̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Potenda d̪aːn̪t ̪ 1
81	72	R24@349.09	9	tooth	Ghumar	d̪at̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Ghumar d̪at ̪ 1
81	72	R25@361.09	9	tooth	Gumalput	d̪at̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput d̪at ̪ 1
81	72	R26@373.10	9	tooth	Kakalpoda	d̪at̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda d̪at ̪ 1
81	72	R27@385.10	9	tooth	Konda Maliguda	d̪at̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Konda Maliguda d̪at ̪ 1
81	72	R28@397.10	9	tooth	Patta Maliguda	d̪at̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Patta Maliguda d̪at ̪ 1
81	72	R29@409.11	9	tooth	Sabhapatiguda	d̪at̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sabhapatiguda d̪at ̪ 1
81	72	R30@421.11	9	tooth	Sindhiguda	d̪at̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Sindhiguda d̪at ̪ 1
81	72	R31@433.12	9	tooth	Souraguda	d̪at̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Souraguda d̪at ̪ 1
81	72	R32@445.12	9	tooth	Bodgaon	d̪ãt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Bodgaon d̪ãt ̪ 1
81	72	R33@457.12	9	tooth	Burja	d̪ãt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Burja d̪ãt ̪ 1
81	72	R34@469.13	9	tooth	Dame side	d̪ãt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Dame side d̪ãt ̪ 1
81	72	R35@481.13	9	tooth	Gagnapur	d̪ãt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gagnapur d̪ãt ̪ 1
81	72	R36@493.14	9	tooth	Gemelput	d̪ãt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gemelput d̪ãt ̪ 1
81	72	R37@505.14	9	tooth	Jujhari	d̪ãt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Jujhari d̪ãt ̪ 1
81	72	R38@517.14	9	tooth	Gumalput	d̪ɐt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Gumalput d̪ɐt ̪ 1
81	72	R39@529.15	9	tooth	Kantigad	d̪ɐt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kantigad d̪ɐt ̪ 1
81	72	R40@541.15	9	tooth	Kakalpoda	d̪ɐ̃t̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Kakalpoda d̪ɐt̃ ̪ 1
81	72	R41@553.08	9	tooth	Aunli	d̪ɔt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Aunli d̪ɔt ̪ 1
81	72	R42@565.08	9	tooth	Chhatrabor	d̪ɔt̪	1	high	manual visual comparison against rendered source image; embedded text used only as scaffold	complete	Chhatrabor d̪ɔt ̪ 1
