Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Citation	Installed_Count	Entry_Keys
3	face	TIR	Tiriya	17	12	1	mokom	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 3, list TIR]	1	dhurwa2021:p017:i003:TIR:a1
3	face	NET	Nethanar	17	12	2	mokom	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 3, list NET]	1	dhurwa2021:p017:i003:NET:a1
3	face	DHA	Dharba	17	12	3	mokom	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 3, list DHA]	1	dhurwa2021:p017:i003:DHA:a1
3	face	KUK	Kukanar	17	12	4	mokom	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 3, list KUK]	1	dhurwa2021:p017:i003:KUK:a1
3	face	U5	Unlabeled fifth printed column	17	12	5	mokom	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 3, list U5]	0	
4	eye	TIR	Tiriya	17	12	1	bom:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 4, list TIR]	1	dhurwa2021:p017:i004:TIR:a1
4	eye	NET	Nethanar	17	12	2	bom:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 4, list NET]	1	dhurwa2021:p017:i004:NET:a1
4	eye	DHA	Dharba	17	12	3	bom:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 4, list DHA]	1	dhurwa2021:p017:i004:DHA:a1
4	eye	KUK	Kukanar	17	12	4	bom:a/kʌɳ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 4, list KUK]	2	dhurwa2021:p017:i004:KUK:a1 | dhurwa2021:p017:i004:KUK:a2
4	eye	U5	Unlabeled fifth printed column	17	12	5	kʌɳ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 4, list U5]	0	
5	nose	TIR	Tiriya	17	12	1	muan	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 5, list TIR]	1	dhurwa2021:p017:i005:TIR:a1
5	nose	NET	Nethanar	17	12	2	muaɳɖ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 5, list NET]	1	dhurwa2021:p017:i005:NET:a1
5	nose	DHA	Dharba	17	12	3	muaɳɖ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 5, list DHA]	1	dhurwa2021:p017:i005:DHA:a1
5	nose	KUK	Kukanar	17	12	4	muaɳɖ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 5, list KUK]	1	dhurwa2021:p017:i005:KUK:a1
5	nose	U5	Unlabeled fifth printed column	17	12	5	muyʌɳɖ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 5, list U5]	0	
6	mouth	TIR	Tiriya	17	12	1	coɳɖ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 6, list TIR]	1	dhurwa2021:p017:i006:TIR:a1
6	mouth	NET	Nethanar	17	12	2	coɳɖ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 6, list NET]	1	dhurwa2021:p017:i006:NET:a1
6	mouth	DHA	Dharba	17	12	3	coɳɖ	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 6, list DHA]	1	dhurwa2021:p017:i006:DHA:a1
6	mouth	KUK	Kukanar	17	12	4	coɳɖu	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 6, list KUK]	1	dhurwa2021:p017:i006:KUK:a1
6	mouth	U5	Unlabeled fifth printed column	17	12	5	coɳɖu	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 6, list U5]	0	
7	arm	TIR	Tiriya	17	12	1	budʒ:am	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 7, list TIR]	1	dhurwa2021:p017:i007:TIR:a1
7	arm	NET	Nethanar	17	12	2	buj:om	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 7, list NET]	1	dhurwa2021:p017:i007:NET:a1
7	arm	DHA	Dharba	17	12	3	buj:om	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 7, list DHA]	1	dhurwa2021:p017:i007:DHA:a1
7	arm	KUK	Kukanar	17	12	4	buj:om	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 7, list KUK]	1	dhurwa2021:p017:i007:KUK:a1
7	arm	U5	Unlabeled fifth printed column	17	12	5	job:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 7, list U5]	0	
8	palm	TIR	Tiriya	17	12	1	po:ɖo:m	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 8, list TIR]	1	dhurwa2021:p017:i008:TIR:a1
8	palm	NET	Nethanar	17	12	2	po:ɖom	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 8, list NET]	1	dhurwa2021:p017:i008:NET:a1
8	palm	DHA	Dharba	17	12	3	po:ɖom	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 8, list DHA]	1	dhurwa2021:p017:i008:DHA:a1
8	palm	KUK	Kukanar	17	12	4	po:ɖom	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 8, list KUK]	1	dhurwa2021:p017:i008:KUK:a1
8	palm	U5	Unlabeled fifth printed column	17	12	5	lʌb:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 8, list U5]	0	
9	finger	TIR	Tiriya	17	12	1	bʌɳɖa	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 9, list TIR]	1	dhurwa2021:p017:i009:TIR:a1
9	finger	NET	Nethanar	17	12	2	vʌɳɖa	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 9, list NET]	1	dhurwa2021:p017:i009:NET:a1
9	finger	DHA	Dharba	17	12	3	vʌɳɖa	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 9, list DHA]	1	dhurwa2021:p017:i009:DHA:a1
9	finger	KUK	Kukanar	17	12	4	vʌɳɖa	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 9, list KUK]	1	dhurwa2021:p017:i009:KUK:a1
9	finger	U5	Unlabeled fifth printed column	17	12	5	vʌɳɖa	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 9, list U5]	0	
10	belley [sic]	TIR	Tiriya	17	12	1	poʈ:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 10, list TIR]	1	dhurwa2021:p017:i010:TIR:a1
10	belley [sic]	NET	Nethanar	17	12	2	poʈ:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 10, list NET]	1	dhurwa2021:p017:i010:NET:a1
10	belley [sic]	DHA	Dharba	17	12	3	poʈ:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 10, list DHA]	1	dhurwa2021:p017:i010:DHA:a1
10	belley [sic]	KUK	Kukanar	17	12	4	poʈ:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 10, list KUK]	1	dhurwa2021:p017:i010:KUK:a1
10	belley [sic]	U5	Unlabeled fifth printed column	17	12	5	poʈ:a	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 10, list U5]	0	
11	leg	TIR	Tiriya	17	12	1	kel	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 11, list TIR]	1	dhurwa2021:p017:i011:TIR:a1
11	leg	NET	Nethanar	17	12	2	kel	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 11, list NET]	1	dhurwa2021:p017:i011:NET:a1
11	leg	DHA	Dharba	17	12	3	kol	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 11, list DHA]	1	dhurwa2021:p017:i011:DHA:a1
11	leg	KUK	Kukanar	17	12	4	kol	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 11, list KUK]	1	dhurwa2021:p017:i011:KUK:a1
11	leg	U5	Unlabeled fifth printed column	17	12	5	kelu	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 11, list U5]	0	
12	skin	TIR	Tiriya	17	12	1	ʈo:l	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 12, list TIR]	1	dhurwa2021:p017:i012:TIR:a1
12	skin	NET	Nethanar	17	12	2	ʈo:l	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 12, list NET]	1	dhurwa2021:p017:i012:NET:a1
12	skin	DHA	Dharba	17	12	3	ʈo:l	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 12, list DHA]	1	dhurwa2021:p017:i012:DHA:a1
12	skin	KUK	Kukanar	17	12	4	ʈo:l	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 12, list KUK]	1	dhurwa2021:p017:i012:KUK:a1
12	skin	U5	Unlabeled fifth printed column	17	12	5	ʈo:l	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 12, list U5]	0	
13	bone	TIR	Tiriya	17	12	1	bu:la	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 13, list TIR]	1	dhurwa2021:p017:i013:TIR:a1
13	bone	NET	Nethanar	17	12	2	bu:la	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 13, list NET]	1	dhurwa2021:p017:i013:NET:a1
13	bone	DHA	Dharba	17	12	3	bu:la	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 13, list DHA]	1	dhurwa2021:p017:i013:DHA:a1
13	bone	KUK	Kukanar	17	12	4	bu:log	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 13, list KUK]	1	dhurwa2021:p017:i013:KUK:a1
13	bone	U5	Unlabeled fifth printed column	17	12	5	bu:la	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 13, list U5]	0	
14	blood	TIR	Tiriya	17	12	1	neʈir	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 14, list TIR]	1	dhurwa2021:p017:i014:TIR:a1
14	blood	NET	Nethanar	17	12	2	neʈir	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 14, list NET]	1	dhurwa2021:p017:i014:NET:a1
14	blood	DHA	Dharba	17	12	3	neʈir	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 14, list DHA]	1	dhurwa2021:p017:i014:DHA:a1
14	blood	KUK	Kukanar	17	12	4	neʈir	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 14, list KUK]	1	dhurwa2021:p017:i014:KUK:a1
14	blood	U5	Unlabeled fifth printed column	17	12	5	neʈir	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 14, list U5]	0	
15	bangle	TIR	Tiriya	17	12	1	cu:ɖu	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 15, list TIR]	1	dhurwa2021:p017:i015:TIR:a1
15	bangle	NET	Nethanar	17	12	2	cu:ɖi	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 15, list NET]	1	dhurwa2021:p017:i015:NET:a1
15	bangle	DHA	Dharba	17	12	3	cu:ɖi	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 15, list DHA]	1	dhurwa2021:p017:i015:DHA:a1
15	bangle	KUK	Kukanar	17	12	4	cu:ɖi	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 15, list KUK]	1	dhurwa2021:p017:i015:KUK:a1
15	bangle	U5	Unlabeled fifth printed column	17	12	5	cu:ɖi	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	unresolved_list_identity	audit-only: fifth printed header is blank; identity unresolved	josephmichael2021dhurwa[Appendix B, printed p. 12, item 15, list U5]	0	
16	anklet	TIR	Tiriya	17	12	1	peɖu	attested	high		manual visual inspection of 600-dpi rendered page; difficult glyphs rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	known_dhurwa_target	source-local exhaustive staging	josephmichael2021dhurwa[Appendix B, printed p. 12, item 16, list TIR]	1	dhurwa2021:p017:i016:TIR:a1
