Item	Gloss	Raw_Form	Form	PDF_Page	Printed_Page	Column	Status	Review
19	skin	tmi	t͡ʃəmɽi	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
20	bone	i	əɖɖi	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
21	heart	dl	dɪl	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
22	blood	kun	kʰun	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
23	urine			26	26	left	blank	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
24	feces			26	26	left	blank	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
25	village	a	ɡɾã	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
26	house		ɡəɾ	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
27	roof	sn	səɾn	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
28	door	pt	pɪtʰ	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
29	firewood	bsti	bəsətʰi	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
30	broom	boai	boaɾi	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
31	mortar (for grain)	ki	kʊɳɖi	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
32	pestle	ka a	kʊɳɖa ɖəɳɖa	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
33	hammer	toi	tʰoɽi	26	26	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
34	knife (small)	ti	t͡ʃʊɾi	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
35	axe	kai	kʊaɽi	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
36	rope	si	ɾəsːi	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
37	thread	do	doɽ	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
38	needle	sui	sui	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
39	cloth	tle	təlːe	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
40	ring	ui	ɡũʈʰi	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
41	sun	sud	suɾəd͡ʒ	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
42	moon	tad	t͡ʃãd	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
43	sky	mb	əmbəɾ	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
44	star	taa	taɾa	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
45	rain	bka	bəɾkʰa	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
46	water	pani	pani	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
47	river	ndi	nədi	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
48	cloud	badl	badəl	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
49	lightning	mlk	mɪlk	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
50	rainbow	tekman, indadn	teɾkman, indɾadʰənʊʃ	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
51	wind	ha	həʊa	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
52	stone	pt, dn	pətːʰəɾ, d͡ʒən	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
53	path	sta	ɾəsta	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
54	sand	et	ɾet	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
55	fire		əɡ	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
56	smoke	tua	tũa	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
57	ash	soa	soa	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
58	mud	tik	t͡ʃikəɽ	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
59	dust	mi	mɪʈːi	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
60	gold	sona	sona	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
61	tree	buta	buta	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
62	leaf	pt	pətːəɾ	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
63	root	dil	d͡ʒil	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
64	thorn	ka	kəɳɖa	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
65	flower	fl	fʊl	26	26	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
66	fruit	fl	fəl	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
67	mango	mb	əmb	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
68	banana	kela	kela	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
69	wheat	kk	kəɳək	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
70	millet	do	d͡ʒo	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
71	rice (cooked)	tl	t͡ʃɔl	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
72	potato	alu	alu	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
73	eggplant	pta	pətːa	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
74	groundnut	mupli	mũɡpʰəli	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
75	chili	mt	məɾt͡ʃ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
76	turmeric	ld	əldəɾ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
77	garlic	tom	tʰoːm	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
78	onion	pjad, nda	pjad͡ʒ, ɡənda	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
79	cauliflower	pl obi	pʰʊl ɡobʰi	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
80	tomato	mae	ʈəmaʈeɾ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
81	cabbage	bnd obi	bənd ɡobʰi	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
82	oil	tel	tel	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
83	salt	lu	luɳ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
84	meat	mas	mãs	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
85	fat	tebi	t͡ʃeɾbi	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
86	fish	mtli	mət͡ʃli	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
87	chicken	kki	kʊkɾi	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
88	egg	a	əɳɖa	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
89	cow	o	ɡo	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
90	buffalo	m	mɛ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
91	milk	dud	dudʰ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
92	horns	s	sĩɡ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
93	tail	dmb	dʊmb	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
94	goat	bki	bəkɾi	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
95	dog	kta	kʊtːa	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
96	snake	sp	səp	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
97	monkey	bnd, mk, tolo	bəndəɾ, məkəɽ, tolo	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
98	mosquito	m	məʃəɾ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
99	ant	pli	pɾʊli	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
100	spider	l	ɡəlɖ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
101	name	na	nã	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
102	man	mnk	mənʊkʰ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
103	woman	dnani	d͡ʒənanːi	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
104	child	bta, dkt	bət͡ʃːa, d͡ʒəkt	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
105	father	pjo, bb	pjo, bəb	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
106	mother	ma, ma	mã, əmːa	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
107	older brother	ba pa	bəɖa pɾa	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
108	younger brother	nka pa	nɪka pɾa	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
109	older sister	bi pæ	bəɖːi pæːɳ	27	27	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
110	younger sister	niki pæ	niki pæːɳ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
111	son	pt	pʊtːəɾ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
112	daughter	k	kʊɽɪ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
113	husband	kasm	kʰasəm	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
114	wife	lai	laːɽi	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
115	boy	l	lɔɽə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
116	girl	k	kʊɽɪ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
117	day	dn, tja	dɪn, tjaːɽə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
118	night	ati	ɾati	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
119	morning	b, bla	bəɖːə, bɛla	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
120	noon	dop	dopɛɾ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
121	evening	sad	sãd͡ʒ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
122	yesterday	ptla kl	pɪt͡ʃla kəl	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
123	today	ad	ad͡ʒ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
124	tomorrow	kl	kəl	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
125	week	pta	əpta	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
126	month	mn	mɪnːə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
127	year	sal	saːl	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
128	old (things)	pa	pəɾaːɳə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
129	new	nama	nama	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
130	good	l	ʃɛl	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
131	bad	ad	ɡãdə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
132	wet	l	ɡɪlːə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
133	dry	suk	suːkə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
134	long	lam	lamːə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
135	short	nka	nɪka	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
136	hot	tat	tatːə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
137	cold	tao	tʰãɖo	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
138	right	sad	sad͡ʒə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
139	left	kba	kʰəbːa	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
140	near	ka, kol	kaʃ, kol	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
141	far	du	duɾ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
142	big	b	bəɖːə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
143	small	nka	nɪkːa	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
144	heavy	pa	paːɾə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
145	light	ol	olə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
146	above	p	ʊpːəɾ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
147	below	kal, tl	kʰal, tʰəlɛ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
148	white	t	t͡ʃɪʈːə	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
149	black	kala	kaːla	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
150	red	lal, sk	laːl, sʊəɾk	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
151	one	k	ɛk	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
152	two	do	do	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
153	three	tr	trɛ	27	27	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
154	four	ta	t͡ʃaːɾ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
155	five	pad	pãd͡ʒ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
156	six	t	t͡ʃʰɛ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
157	seven	sat	sat	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
158	eight	a	aʈʰ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
159	nine	n	nɔ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
160	ten	ds	dəs	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
161	eleven	da	d͡ʒaɾə	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
162	twelve	ba	baːɾə	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
163	twenty	bi	bi	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
164	one hundred	so	so	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
165	who?	k	kɔɳ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
166	what?	k	kɛ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
167	where?	k	kʊʈʰɛ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
168	when?	k, kln	kəɖʊ, kɛlnʊ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
169	how many?	kna	kɪnːa	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
170	what kind?	knja	kənɛja	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
171	this		ɛ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
172	that	o	o	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
173	these	j	jɛ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
174	those	o	o	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
175	same (like)	knja	ɛkɛnɪja	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
176	different (other)	fk, bak	fəɾk, bakʰɾə	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
177	whole (unbroken)	sbut	səbuːt	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
178	broken (pot)	pdja	pəd͡ʒɪja	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
179	few	k, ke	kəʈ, keʃ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
180	many	djad	d͡ʒjadə	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
181	all	sa	saːɾɛ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
182	he is hungry	pok lai	pokʰ laɡi	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
183	he is thirsty	tr lai	trɛ laɡi	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
184	he is drinking	pija da	pija da	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
185	he is sleeping	sta	sʊtːəɖa	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
186	it is burning	dla	d͡ʒələɡa	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
187	it is flying	v	ʊɖɾəvə	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
188	he is listening	sund	suːnədə	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
189	it (the dog) bit	baja	baɖɪja	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
190	he lay down	lda	lɛʈɛda	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
191	he killed	maja	maɾʊɖɪja	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
192	he died	m ja	məɾ ɡja	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
193	he saw	dkja	dɪkʰɪja	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
194	eat!	kaj	kʰajɛ	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
195	sit down!	bo	bo	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
196	give!	d, do	dɛ, dɛo	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
197	walk!	tl	t͡ʃəl	28	28	left	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
198	run!	d, dj	dɔɽ, dɔɽɪjɛ	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
199	go!	dao	d͡ʒao	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
200	come!	ao	ao	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
201	speak!	bolo	bolo	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
202	I (1 sg.)	au	aũ	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
203	you (2 sg. informal)	tu	tũ	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
204	you (2 sg. formal)	ts	tʊs	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
205	he (3 sg. masc)	o	o	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
206	she (3 sg. fem)	o	o	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
207	we	s	əs	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
208	we (two)	s d	əs dɔʊɛ	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
209	you (2 pl.)	ts lok	tʊs lok	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
210	they (3 pl.)	v	vɛ	28	28	right	response	official PDF text layer; SIL IPA93 bytes converted with SIL-IPA93-2001.map v14
