Item	Gloss	Site_Key	Scope	PDF_Page	Printed_Page	Column	Source_Group_Labels	Manual_Transcription	Review_Status	Disposition	Reason	Language_ID	Dialect_ID	Source	Installed_Count	Entry_Keys	Confidence	Site_Assignment_Confidence	Uncertainty	Reviewer_Method	Reviewer_Declaration
1	body	DKS	target	31	26	left	3	deh	attested	installed		Dang	Tharu-DKS	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, DKS]	1	webster2017westerntharu:item001:dks:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	DDK	target	31	26	left	4	aŋ	attested	installed		Dang	Tharu-DDK	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, DDK]	1	webster2017westerntharu:item001:ddk:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	DGC	target	31	26	left	3	dẽh	attested	installed		Dang	Tharu-DGC	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, DGC]	1	webster2017westerntharu:item001:dgc:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	DkR	target	31	26	left	4	aŋ	attested	installed		Dang	Tharu-DkR	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, DkR]	1	webster2017westerntharu:item001:dkr:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	CCC	target	31	26	left			source_blank	excluded	source explicitly prints no response for this conceptual cell	Chitwan	Tharu-CCC	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, CCC]	0		high	high	site code absent from the complete printed item block	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	HIN	control	31	26	left	1	ʃʌɾiɾ	attested	excluded	Standard Hindi comparison control; outside target scope			webster[Appendix B, printed p. 26 (PDF p. 31), item 1, HIN]	0		high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	BNM	target	31	26	left	1 / 2	sɪɾ / muɖ	attested	installed		Buksa	Tharu-BNM	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, BNM]	2	webster2017westerntharu:item002:bnm:form1 | webster2017westerntharu:item002:bnm:form2	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	BNT	target	31	26	right	3	ɡʰopʌɖi	attested	installed		Buksa	Tharu-BNT	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, BNT]	1	webster2017westerntharu:item002:bnt:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	RNK	target	31	26	left	2	mʊɖ	attested	installed		Rana	Tharu-RNK	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, RNK]	1	webster2017westerntharu:item002:rnk:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	RNS_Sisaikhara	target	31	26	left	2	mʊɖ	attested	installed		Rana	Tharu-RNS-Sisaikhara	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, RNS occurrence 1]	1	webster2017westerntharu:item002:rns_sisaikhara:form1	high	medium	duplicate source code RNS; occurrence 1/2 assigned to metadata row 1/2 (Sisaikhara/Sisana)	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	RNS_Sisana	target	31	26	left	2	mʊɖ	attested	installed		Rana	Tharu-RNS-Sisana	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, RNS occurrence 2]	1	webster2017westerntharu:item002:rns_sisana:form1	high	medium	duplicate source code RNS; occurrence 1/2 assigned to metadata row 1/2 (Sisaikhara/Sisana)	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	RKM	target	31	26	left	2	muɖ	attested	installed		Rana	Tharu-RkM	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, RkM]	1	webster2017westerntharu:item002:rkm:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	RKB	target	31	26	left	2	muɖ	attested	installed		Rana	Tharu-RKB	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, RKB]	1	webster2017westerntharu:item002:rkb:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	TkN	target	31	26	left	2	muɖ	attested	installed		Rana	Tharu-TkN	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, TkN]	1	webster2017westerntharu:item002:tkn:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	KkP	target	31	26	right	2	muɾija	attested	installed		Kathoriya	Tharu-KkP	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, KkP]	1	webster2017westerntharu:item002:kkp:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	SkP	target	31	26	right	2	mʊɖɪja	attested	installed		Sunha	Tharu-SkP	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, SkP]	1	webster2017westerntharu:item002:skp:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	DKS	target	31	26	right	2	mʊɖi	attested	installed		Dang	Tharu-DKS	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, DKS]	1	webster2017westerntharu:item002:dks:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	DDK	target	31	26	right	3	kʌpaɾ	attested	installed		Dang	Tharu-DDK	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, DDK]	1	webster2017westerntharu:item002:ddk:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	DGC	target	31	26	right	2 / 3	muɖ / kʌpaɾ	attested	installed		Dang	Tharu-DGC	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, DGC]	2	webster2017westerntharu:item002:dgc:form1 | webster2017westerntharu:item002:dgc:form2	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	DkR	target	31	26	right	3	kʌpaɾ	attested	installed		Dang	Tharu-DkR	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, DkR]	1	webster2017westerntharu:item002:dkr:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	CCC	target	31	26	right	2	muːɖ	attested	installed		Chitwan	Tharu-CCC	webster[Appendix B, printed p. 26 (PDF p. 31), item 2, CCC]	1	webster2017westerntharu:item002:ccc:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
2	head	HIN	control	31	26	left	1	sɪɾ	attested	excluded	Standard Hindi comparison control; outside target scope			webster[Appendix B, printed p. 26 (PDF p. 31), item 2, HIN]	0		high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	BNM	target	31	26	right	1	bal	attested	installed		Buksa	Tharu-BNM	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, BNM]	1	webster2017westerntharu:item003:bnm:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	BNT	target	31	26	right	1	bal	attested	installed		Buksa	Tharu-BNT	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, BNT]	1	webster2017westerntharu:item003:bnt:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	RNK	target	31	26	right	1	baɾ	attested	installed		Rana	Tharu-RNK	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, RNK]	1	webster2017westerntharu:item003:rnk:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	RNS_Sisaikhara	target	31	26	right	1	baɾ	attested	installed		Rana	Tharu-RNS-Sisaikhara	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, RNS occurrence 1]	1	webster2017westerntharu:item003:rns_sisaikhara:form1	high	medium	duplicate source code RNS; occurrence 1/2 assigned to metadata row 1/2 (Sisaikhara/Sisana)	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	RNS_Sisana	target	31	26	right	1	baɾ	attested	installed		Rana	Tharu-RNS-Sisana	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, RNS occurrence 2]	1	webster2017westerntharu:item003:rns_sisana:form1	high	medium	duplicate source code RNS; occurrence 1/2 assigned to metadata row 1/2 (Sisaikhara/Sisana)	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	RKM	target	31	26	right	1	baɾ	attested	installed		Rana	Tharu-RkM	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, RkM]	1	webster2017westerntharu:item003:rkm:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	RKB	target	31	26	right	1	baɾ	attested	installed		Rana	Tharu-RKB	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, RKB]	1	webster2017westerntharu:item003:rkb:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	TkN	target	31	26	right	1	baɾ	attested	installed		Rana	Tharu-TkN	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, TkN]	1	webster2017westerntharu:item003:tkn:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	KkP	target	31	26	right	1	baɾ	attested	installed		Kathoriya	Tharu-KkP	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, KkP]	1	webster2017westerntharu:item003:kkp:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	SkP	target	31	26	right	1	baɾ	attested	installed		Sunha	Tharu-SkP	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, SkP]	1	webster2017westerntharu:item003:skp:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	DKS	target	31	26	right	2	bhuʈʌla	attested	installed		Dang	Tharu-DKS	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, DKS]	1	webster2017westerntharu:item003:dks:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	DDK	target	31	26	right	2	bʰutla	attested	installed		Dang	Tharu-DDK	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, DDK]	1	webster2017westerntharu:item003:ddk:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	DGC	target	31	26	right	1	baɾ	attested	installed		Dang	Tharu-DGC	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, DGC]	1	webster2017westerntharu:item003:dgc:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	DkR	target	31	26	right	2	bhuʈʌla	attested	installed		Dang	Tharu-DkR	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, DkR]	1	webster2017westerntharu:item003:dkr:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	CCC	target	31	26	right	3	keis	attested	installed		Chitwan	Tharu-CCC	webster[Appendix B, printed p. 26 (PDF p. 31), item 3, CCC]	1	webster2017westerntharu:item003:ccc:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
3	hair	HIN	control	31	26	right	1	bal	attested	excluded	Standard Hindi comparison control; outside target scope			webster[Appendix B, printed p. 26 (PDF p. 31), item 3, HIN]	0		high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	BNM	target	32	27	left	2	mo	attested	installed		Buksa	Tharu-BNM	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, BNM]	1	webster2017westerntharu:item004:bnm:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	BNT	target	32	27	left	2	mũh	attested	installed		Buksa	Tharu-BNT	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, BNT]	1	webster2017westerntharu:item004:bnt:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	RNK	target	32	27	left	2	muh	attested	installed		Rana	Tharu-RNK	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, RNK]	1	webster2017westerntharu:item004:rnk:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	RNS_Sisaikhara	target	32	27	left	2	mo	attested	installed		Rana	Tharu-RNS-Sisaikhara	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, RNS occurrence 1]	1	webster2017westerntharu:item004:rns_sisaikhara:form1	high	medium	duplicate source code RNS; occurrence 1/2 assigned to metadata row 1/2 (Sisaikhara/Sisana)	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	RNS_Sisana	target	32	27	left	2	mʊh	attested	installed		Rana	Tharu-RNS-Sisana	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, RNS occurrence 2]	1	webster2017westerntharu:item004:rns_sisana:form1	high	medium	duplicate source code RNS; occurrence 1/2 assigned to metadata row 1/2 (Sisaikhara/Sisana)	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	RKM	target	32	27	left	2	moh	attested	installed		Rana	Tharu-RkM	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, RkM]	1	webster2017westerntharu:item004:rkm:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	RKB	target	32	27	left	2	muh	attested	installed		Rana	Tharu-RKB	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, RKB]	1	webster2017westerntharu:item004:rkb:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	TkN	target	32	27	left	2	muh	attested	installed		Rana	Tharu-TkN	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, TkN]	1	webster2017westerntharu:item004:tkn:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	KkP	target	32	27	left	2	mũ	attested	installed		Kathoriya	Tharu-KkP	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, KkP]	1	webster2017westerntharu:item004:kkp:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	SkP	target	32	27	left	2	mʊh	attested	installed		Sunha	Tharu-SkP	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, SkP]	1	webster2017westerntharu:item004:skp:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	DKS	target	32	27	left	2	muh	attested	installed		Dang	Tharu-DKS	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, DKS]	1	webster2017westerntharu:item004:dks:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	DDK	target	32	27	left	2	mũh	attested	installed		Dang	Tharu-DDK	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, DDK]	1	webster2017westerntharu:item004:ddk:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	DGC	target	32	27	left	1 / 2	tʃehʌɾa / muh	attested	installed		Dang	Tharu-DGC	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, DGC]	2	webster2017westerntharu:item004:dgc:form1 | webster2017westerntharu:item004:dgc:form2	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	DkR	target	32	27	left	2	mũh	attested	installed		Dang	Tharu-DkR	webster[Appendix B, printed p. 27 (PDF p. 32), item 4, DkR]	1	webster2017westerntharu:item004:dkr:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	CCC	target	31 / 32	26 / 27	right / left			source_blank	excluded	source explicitly prints no response for this conceptual cell	Chitwan	Tharu-CCC	webster[Appendix B, printed p. 26 / 27 (PDF p. 31 / 32), item 4, CCC]	0		high	high	site code absent from the complete printed item block	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
4	face	HIN	control	31 / 32	26 / 27	right / left	1 / 2	tʃehʌɾa / mũh	attested	excluded	Standard Hindi comparison control; outside target scope			webster[Appendix B, printed p. 26 / 27 (PDF p. 31 / 32), item 4, HIN]	0		high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
5	eye	BNM	target	32	27	left	1	aŋkʰ	attested	installed		Buksa	Tharu-BNM	webster[Appendix B, printed p. 27 (PDF p. 32), item 5, BNM]	1	webster2017westerntharu:item005:bnm:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
5	eye	BNT	target	32	27	left	1	aŋkʰ	attested	installed		Buksa	Tharu-BNT	webster[Appendix B, printed p. 27 (PDF p. 32), item 5, BNT]	1	webster2017westerntharu:item005:bnt:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
