PDF_Page	Printed_Page	Item	Gloss	Site_Key	Source_Code	Issue_Type	Visual_Description	Candidates	Confidence
41	36	54	sand	RNS_Sisana	RNS	site_mapping	left column; second of two clearly printed group-2 RNS responses (`ɾeta`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
41	36	55	fire	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`aɡi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
41	36	55	fire	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`aɡi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
41	36	56	smoke	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-1 RNS response (`dʰũa`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
41	36	56	smoke	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`dʰuã`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
41	36	57	ash	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-2 RNS response (`bʰua`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
41	36	57	ash	RNS_Sisana	RNS	site_mapping	right column; second printed group-2 RNS response (`bʰʊa`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
41	36	58	mud	RNS_Sisaikhara	RNS	site_mapping	right column before the page break; first printed group-1 RNS response (`mʌʈːi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	58	mud	RNS_Sisana	RNS	site_mapping	left column after the page break; second printed group-1 RNS response (`mʌʈːi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	59	dust	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-2 RNS response (`dʰudʰʌ̃ɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	59	dust	RNS_Sisana	RNS	site_mapping	left column; second printed group-2 RNS response (`dʰudʰʌɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	60	gold	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`sona`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	60	gold	RNS_Sisana	RNS	site_mapping	left column; second printed group-1 RNS response (`sono`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	61	tree	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`peɖ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	61	tree	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`peɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	62	leaf	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-1 RNS response (`pʌʈːa` with retroflex stop); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	62	leaf	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`pʌtːa` with plain stop); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	63	root	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-2 RNS response (`hãŋɡa`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
42	37	63	root	RNS_Sisana	RNS	site_mapping	right column; second printed group-2 RNS response (`hʌŋɡpa`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	64	thorn	RNS_Sisaikhara	RNS	site_mapping	left column after the item page break; first printed group-1 RNS response (`kãʈo`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	64	thorn	RNS_Sisana	RNS	site_mapping	left column after the item page break; second printed group-1 RNS response (`kãʈo`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	65	flower	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`pʰula`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	65	flower	RNS_Sisana	RNS	site_mapping	left column; second printed group-1 RNS response (`pʰula`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	66	fruit	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`pʰʌl`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	66	fruit	RNS_Sisana	RNS	site_mapping	left column; second printed group-1 RNS response (`pʰʌl`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	67	mango	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-1 RNS response (`am`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	67	mango	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`am`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	68	banana	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-2 RNS response (`tʃʰijã`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	68	banana	RNS_Sisana	RNS	site_mapping	right column; second printed group-2 RNS response (`tʃʰija`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	69	wheat	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-1 RNS response (`ɡehũ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
43	38	69	wheat	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`ɡehõ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	70	millet	RNS_Sisaikhara	RNS	site_mapping	left column; sole group-1 response (`dʒwaɾ`) and sole group-2 response (`tʃʊɾi`) are provisionally assigned together to metadata row 1 under the documented unmatched-group rule	Sisaikhara / Sisana	medium
43 / 44	38 / 39	70	millet	RNS_Sisana	RNS	site_mapping	no second RNS occurrence appears anywhere in the complete item block spanning the right/left page break; conceptual cell is an explicit source blank under the provisional occurrence-order mapping	Sisaikhara / Sisana	medium
44	39	71	rice	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`tʃamʌɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	71	rice	RNS_Sisana	RNS	site_mapping	left column; second printed group-1 RNS response (`tʃawʌɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	72	potato	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`alu`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	72	potato	RNS_Sisana	RNS	site_mapping	left column; second printed group-1 RNS response (`alu`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	73	eggplant	RNS_Sisaikhara	RNS	site_mapping	right column after the item column break; first printed group-2 RNS response (`bʰʌʈa`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	73	eggplant	RNS_Sisana	RNS	site_mapping	right column after the item column break; second printed group-2 RNS response (`bʰʌʈa`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	74	groundnut	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-1 RNS response (`mumpʌɾi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	74	groundnut	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`mũpʰʌɾi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	75	chili	RNS_Sisaikhara	RNS	site_mapping	right column; first printed group-1 RNS response (`miɾtʃ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
44	39	75	chili	RNS_Sisana	RNS	site_mapping	right column; second printed group-1 RNS response (`miɾtʃ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	76	turmeric	RNS_Sisaikhara	RNS	site_mapping	left column; first of two clearly printed group-1 RNS responses (`hʌɾʌdi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	76	turmeric	RNS_Sisana	RNS	site_mapping	left column; second of two clearly printed group-1 RNS responses (`hʌɾʌdi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	77	garlic	RNS_Sisaikhara	RNS	site_mapping	left column; first printed group-1 RNS response (`lasun`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	77	garlic	RNS_Sisana	RNS	site_mapping	left column; second printed group-1 RNS response (`lasʌn`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	78	onion	RNS_Sisaikhara	RNS	site_mapping	first RNS response in each of groups 1, 2, and 3 (`pjadʒ` three times); group 2 crosses from the left to right column; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	78	onion	RNS_Sisana	RNS	site_mapping	second RNS response in each of groups 1, 2, and 3 (`pjadʒ` three times); group 2 crosses from the left to right column; source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	79	cauliflower	RNS_Sisaikhara	RNS	site_mapping	right column; first of two clearly printed group-1 RNS responses (`pʰulɡobʰi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	79	cauliflower	RNS_Sisana	RNS	site_mapping	right column; second of two clearly printed group-1 RNS responses (`pʰulɡobʰi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	80	tomato	RNS_Sisaikhara	RNS	site_mapping	right column before the item page break; first of two clearly printed group-1 RNS responses (`ʈʌmaʈʌɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
45	40	80	tomato	RNS_Sisana	RNS	site_mapping	right column before the item page break; second of two clearly printed group-1 RNS responses (`ʈʌmaʈʌɾ`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
46	41	81	cabbage	RNS_Sisaikhara	RNS	site_mapping	left column; first of two clearly printed group-1 RNS responses (`bʌndɡobʰi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
46	41	81	cabbage	RNS_Sisana	RNS	site_mapping	left column; second of two clearly printed group-1 RNS responses (`bʌndɡobʰi`); source does not distinguish the two RNS metadata rows	Sisaikhara / Sisana	medium
