Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Citation	Installed_Count	Entry_Keys
2	head	NGO	Noiri-Gomon	33	27	left	munka	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list NGO]	1	noira2015:p033:i002:NGO:a1
2	head	BMU	Barutiya-Mutalwad	33	27	left	mundkʌ	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list BMU]	0	
2	head	DBM	Dungra Bhili-Mathwad	33	27	left	muɖ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list DBM]	1	noira2015:p033:i002:DBM:a1
2	head	DBA	Dungra Bhili-Ambadungar	33	27	left	mʊɳɖe | mʊɳɖe	1 | 2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list DBA]	2	noira2015:p033:i002:DBA:a1 | noira2015:p033:i002:DBA:a2
2	head	NTO	Nahali-Toranmal	33	27	left	maʈha	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list NTO]	0	
2	head	KNA	Kotli-Narayanpur	33	27	left	muŋka	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list KNA]	1	noira2015:p033:i002:KNA:a1
2	head	KTA	Kotli-Taradi	33	27	left	munka	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list KTA]	1	noira2015:p033:i002:KTA:a1
2	head	GTA	Gujari-Taradi	33	27	left	maʈha	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list GTA]	1	noira2015:p033:i002:GTA:a1
2	head	GUJ	Gujarati	33	27	left	maʈhũ	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list GUJ]	0	
2	head	MAR	Marati	33	27	left	ɖoke	6	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list MAR]	0	
2	head	HIN	Hindi	33	27	left	sɪr	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list HIN]	0	
2	head	NTE	Nahali-Tembhi	33	27	left	kapar	8	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list NTE]	1	noira2015:p033:i002:NTE:a1
2	head	TKO	Tukaithad-Korku	33	27	left	kʌpar	8	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list TKO]	1	noira2015:p033:i002:TKO:a1
2	head	NJA	Nihali-Jamod	33	27	left	peĩ	9	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list NJA]	1	noira2015:p033:i002:NJA:a1
3	hair	NCH	Noiri-Chillare	33	27	left	kɛhe | sindʒe	1 | 2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list NCH]	2	noira2015:p033:i003:NCH:a1 | noira2015:p033:i003:NCH:a2
3	hair	NPN	Noiri-Pannali	33	27	left	kɛhẽ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list NPN]	1	noira2015:p033:i003:NPN:a1
3	hair	NAS	Noiri-Astambha	33	27	left	siŋgje | sindʒe	2 | 2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list NAS]	0	
3	hair	NGO	Noiri-Gomon	33	27	left	kɛhẽ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list NGO]	1	noira2015:p033:i003:NGO:a1
3	hair	BMU	Barutiya-Mutalwad	33	27	left	sindʒe	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list BMU]	0	
3	hair	DBM	Dungra Bhili-Mathwad	33	27	right	kẽhe	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list DBM]	1	noira2015:p033:i003:DBM:a1
3	hair	DBA	Dungra Bhili-Ambadungar	33	27	right	kẽhe | nɪmɑle	1 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list DBA]	2	noira2015:p033:i003:DBA:a1 | noira2015:p033:i003:DBA:a2
3	hair	NTO	Nahali-Toranmal	33	27	right	kẽh	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list NTO]	0	
3	hair	KNA	Kotli-Narayanpur	33	27	right	bɑl	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list KNA]	1	noira2015:p033:i003:KNA:a1
3	hair	KTA	Kotli-Taradi	33	27	right	bal	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list KTA]	1	noira2015:p033:i003:KTA:a1
3	hair	GTA	Gujari-Taradi	33	27	right	bal	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list GTA]	1	noira2015:p033:i003:GTA:a1
3	hair	GUJ	Gujarati	33	27	right	βɑɭ	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list GUJ]	0	
3	hair	MAR	Marati	33	27	right	kes	6	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list MAR]	0	
3	hair	HIN	Hindi	33	27	right	bɑl	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list HIN]	0	
3	hair	NTE	Nahali-Tembhi	33	27	right	hup	7	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list NTE]	1	noira2015:p033:i003:NTE:a1
3	hair	TKO	Tukaithad-Korku	33	27	right	hup	7	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list TKO]	1	noira2015:p033:i003:TKO:a1
3	hair	NJA	Nihali-Jamod	33	27	right	kukso	8	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 3, list NJA]	1	noira2015:p033:i003:NJA:a1
4	face	NCH	Noiri-Chillare	33	27	right	sub	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list NCH]	1	noira2015:p033:i004:NCH:a1
4	face	NPN	Noiri-Pannali	33	27	right	sub	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list NPN]	1	noira2015:p033:i004:NPN:a1
4	face	NAS	Noiri-Astambha	33	27	right	sob	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list NAS]	0	
4	face	NGO	Noiri-Gomon	33	27	right	sub	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list NGO]	1	noira2015:p033:i004:NGO:a1
4	face	BMU	Barutiya-Mutalwad	33	27	right	sob	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list BMU]	0	
4	face	DBM	Dungra Bhili-Mathwad	33	27	right	sube	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list DBM]	1	noira2015:p033:i004:DBM:a1
4	face	DBA	Dungra Bhili-Ambadungar	33	27	right	sube	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list DBA]	1	noira2015:p033:i004:DBA:a1
4	face	NTO	Nahali-Toranmal	33	27	right	muj	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list NTO]	0	
4	face	KNA	Kotli-Narayanpur	33	27	right	muj	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list KNA]	1	noira2015:p033:i004:KNA:a1
4	face	KTA	Kotli-Taradi	33	27	right	muj	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list KTA]	1	noira2015:p033:i004:KTA:a1
4	face	GTA	Gujari-Taradi	33	27	right	muɖʊ	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list GTA]	1	noira2015:p033:i004:GTA:a1
4	face	GUJ	Gujarati	33	27	right	tʃɛro | moɖhũ | mõh	2 | 4 | 4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list GUJ]	0	
4	face	MAR	Marati	33	27	right	tʃɛhəra	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list MAR]	0	
4	face	HIN	Hindi	33	27	right	tʃʌhəra | mʊkh | mũh	3 | 4 | 4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list HIN]	0	
4	face	NTE	Nahali-Tembhi	33	27	right	mʊar	8	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list NTE]	1	noira2015:p033:i004:NTE:a1
4	face	TKO	Tukaithad-Korku	33	27	right	mar | mʊar	8 | 8	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list TKO]	2	noira2015:p033:i004:TKO:a1 | noira2015:p033:i004:TKO:a2
4	face	NJA	Nihali-Jamod	33	27	right	muahar	8	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 4, list NJA]	1	noira2015:p033:i004:NJA:a1
5	eye	NCH	Noiri-Chillare	33	27	right	doʔa | doʔa	1 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 5, list NCH]	2	noira2015:p033:i005:NCH:a1 | noira2015:p033:i005:NCH:a2
5	eye	NPN	Noiri-Pannali	33	27	right	doʔa | doʔa	1 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 5, list NPN]	2	noira2015:p033:i005:NPN:a1 | noira2015:p033:i005:NPN:a2
5	eye	NAS	Noiri-Astambha	33	27	right	doʔa | doʔa	1 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 5, list NAS]	0	
5	eye	NGO	Noiri-Gomon	33	27	right	doʔa | doʔa	1 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 5, list NGO]	2	noira2015:p033:i005:NGO:a1 | noira2015:p033:i005:NGO:a2
5	eye	BMU	Barutiya-Mutalwad	33	27	right	doʔa | ɖou | doʔa	1 | 3 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 5, list BMU]	0	
5	eye	DBM	Dungra Bhili-Mathwad	34	28	left	duʔa | duʔa	1 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list DBM]	2	noira2015:p034:i005:DBM:a1 | noira2015:p034:i005:DBM:a2
5	eye	DBA	Dungra Bhili-Ambadungar	34	28	left	ɖʊaʔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list DBA]	1	noira2015:p034:i005:DBA:a1
5	eye	NTO	Nahali-Toranmal	34	28	left	ɖoɭo	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list NTO]	0	
5	eye	KNA	Kotli-Narayanpur	34	28	left	ɖoja	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list KNA]	1	noira2015:p034:i005:KNA:a1
5	eye	KTA	Kotli-Taradi	34	28	left	ɖoja	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list KTA]	1	noira2015:p034:i005:KTA:a1
5	eye	GTA	Gujari-Taradi	34	28	left	ɖoɭa	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list GTA]	1	noira2015:p034:i005:GTA:a1
5	eye	GUJ	Gujarati	34	28	left	əŋkh	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list GUJ]	0	
5	eye	MAR	Marati	34	28	left	ɖoɭa	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list MAR]	0	
5	eye	HIN	Hindi	34	28	left	ãkh	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list HIN]	0	
5	eye	NTE	Nahali-Tembhi	34	28	left	meʈ	7	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list NTE]	1	noira2015:p034:i005:NTE:a1
5	eye	TKO	Tukaithad-Korku	34	28	left	meɖ	7	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list TKO]	1	noira2015:p034:i005:TKO:a1
5	eye	NJA	Nihali-Jamod	34	28	left	dʒikitʃ	8	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 5, list NJA]	1	noira2015:p034:i005:NJA:a1
6	ear	NCH	Noiri-Chillare	34	28	left	kan	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 6, list NCH]	1	noira2015:p034:i006:NCH:a1
6	ear	NPN	Noiri-Pannali	34	28	left	kan	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 6, list NPN]	1	noira2015:p034:i006:NPN:a1
6	ear	NAS	Noiri-Astambha	34	28	left	kan	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 28, item 6, list NAS]	0	
6	ear	NGO	Noiri-Gomon	34	28	left	kan	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 28, item 6, list NGO]	1	noira2015:p034:i006:NGO:a1
