Item	Gloss	Noira_Site	Dhule_Site	Noira_PDF_Page	Dhule_PDF_Page	Noira_Manual_Transcription	Dhule_Manual_Transcription	Comparison	Disposition
7	nose	NAS	AST	34	92	nakh	1 nakh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
7	nose	BMU	MUN	34	92	ɳak	1 nakh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
7	nose	NTO	TOR	34	92	ɳakh	1 nakh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
8	mouth	NAS	AST	34	92	sob	2 sob	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
8	mouth	BMU	MUN	34	92	sob	2 sob	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
8	mouth	NTO	TOR	34	92	mui	1 mui	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
9	tooth	NAS	AST	34	92	daʈh	1 ɖaʈh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
9	tooth	BMU	MUN	34	92	ɖaʈ	1 ɖaʈh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
9	tooth	NTO	TOR	34	92	ɖaʈ	1 ɖaʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
10	tongue	NAS	AST	34	92	dʒib	1 dʒib	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
10	tongue	BMU	MUN	34	92	dʒib	1 dʒib	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
10	tongue	NTO	TOR	34	92	dʒib	1 dʒib	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
11	breast	NAS	AST	35	93	buɖʒi	1 budʒi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
11	breast	BMU	MUN	35	93	saʈi | buɖʒi	1 budʒi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
11	breast	NTO	TOR	35	93	saʈi | ɖai		same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
12	belly	NAS	AST	35	93	poʈu	2 pot̪u	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
12	belly	BMU	MUN	35	93	poʈu	2 pot̪u	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
12	belly	NTO	TOR	35	93	poʈʌɭiu	4 potʌɭiu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
13	arm	NAS	AST	35	93	ath	1 at̪h	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
13	arm	BMU	MUN	35	93	ath	1 at̪h	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
13	arm	NTO	TOR	35	93	aʈh	1 at̪h	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
14	elbow	NAS	AST	35	93	khumi | khumi	3 khumi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
14	elbow	BMU	MUN	35	93	khumi | khumi	3 khumi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
14	elbow	NTO	TOR	35	93	khuɳi	3 khuŋi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
15	palm	NAS	AST	35	93	ʈhoɭʌʈ	2, 3 t̪holʌt̪	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
15	palm	BMU	MUN	35	93	ʈhɔɭɔʈ | ʈhoɭʈu	3 t̪holt̪u	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
15	palm	NTO	TOR	35	93	ʈeɭsõ	5 t̪eɭsõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
16	finger	NAS	AST	36	94	aiŋgi | aiŋgu	2 aŋgu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
16	finger	BMU	MUN	36	94	aŋgu | ʌŋʈu	2 aŋgu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
16	finger	NTO	TOR	36	94	aŋguɭ	2 aŋguɭ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
17	fingernail	NAS	AST	36	94	nʌkh	1 nokh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
17	fingernail	BMU	MUN	36	94	nokh	1 nokh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
17	fingernail	NTO	TOR	36	94	nekh	1 nokh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
18	leg	NAS	AST	36	94	guɖu	2 guɖu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
18	leg	BMU	MUN	36	94	guɖu	2 guɖu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
18	leg	NTO	TOR	36	94	pai | pai	3 pai	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
19	skin	NAS	AST	36	94	ambaɖu	1 sambʌɖʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
19	skin	BMU	MUN	36	94	ʂamoɖo	1 samoɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
19	skin	NTO	TOR	36	94	ʈsambaɖo	1 tsambaɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
20	bone	NAS	AST	36	94	aʈko	1 atko	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
20	bone	BMU	MUN	36	94	aɖ	2 aɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
20	bone	NTO	TOR	36	94	aɖɛ	2 aɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
21	heart	NAS	AST	37	95			literal-ledger-exact	exclude Noira republication; retain primary ESR 2013-004 route
21	heart	BMU	MUN	37	95			literal-ledger-exact	exclude Noira republication; retain primary ESR 2013-004 route
21	heart	NTO	TOR	37	95			literal-ledger-exact	exclude Noira republication; retain primary ESR 2013-004 route
22	blood	NAS	AST	37	95	rogʌʈ	1 rogʌt̪	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
22	blood	BMU	MUN	37	95	rokto	1 rokto	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
22	blood	NTO	TOR	37	95	ɭoi	3 ɭoi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
23	urine	NAS	AST	37	95	muʈh	1, 2 mut̪h	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
23	urine	BMU	MUN	37	95		1, 2 mut̪e	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
23	urine	NTO	TOR	37	95	muʈ	1 mut̪	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
24	feces	NAS	AST	37	95	logit	1 ogit	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
24	feces	BMU	MUN	37	95		1 ogio	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
24	feces	NTO	TOR	37	95	agio	1 agio	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
25	village	NAS	AST	37	95	gau	1 gau	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
25	village	BMU	MUN	37	95	gau	1 gau	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
25	village	NTO	TOR	37	95	gaũ	1 gaõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
26	house	NAS	AST	38	96	ko | koʔo	3 ko	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
26	house	BMU	MUN	38	96	koʔo	2 koʔo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
26	house	NTO	TOR	38	96	gjar	6 gjur	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
27	roof	NAS	AST	38	96	pʌha		same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
27	roof	BMU	MUN	38	96	pʌha | ɖaba	1 paha	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
27	roof	NTO	TOR	38	96	ʂeʈ	4 set̪	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
28	door	NAS	AST	38	96	bʌʔnɔ | bʌʔnɔ	2 ba	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
28	door	BMU	MUN	38	96	baʔa | baʔaɳo | baʔaɳo	1 baʔaŋo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
28	door	NTO	TOR	38	96	baiɳo | baiɳo	1 baiɳo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
29	firewood	NAS	AST	38	96	nakʌɖo | naʌɖʌ	1 lakʌɖʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
29	firewood	BMU	MUN	38	96	lakɖu	1 lakʌɖu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
29	firewood	NTO	TOR	38	96	lakoɖ	1 lakoɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
30	broom	NAS	AST	38	96	baʌɖi	1 bʌʌɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
30	broom	BMU	MUN	38	96	baʔaɖi | baʔaɖo	1 baʔaɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
30	broom	NTO	TOR	39	96	baiɖi	1 baiɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
31	mortar	NAS	AST	39	97	ukhʌl | khaɖɳo	2 khaɖno	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
31	mortar	BMU	MUN	39	97	ukhʌl | khaɳʌɖoʔ	2 khaŋʌɖo?	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
31	mortar	NTO	TOR	39	97	ukheɭ	3 sapar	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
32	pestle	NAS	AST	39	97	mukʌl | mukʌl	3 ukʌl	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
32	pestle	BMU	MUN	39	97	muhʌl | muhʌl | ɖoɳ	2 ɖoŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
32	pestle	NTO	TOR	39	97	muheɭ	4 goŋɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
33	hammer	NAS	AST	39	97	aʈʌɖi	1 at̪huɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
33	hammer	BMU	MUN	39	97	hʌʈhuɖi	1 at̪huɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
33	hammer	NTO	TOR	39	97	aʈhoɖa	1 at̪hoɖa	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
34	knife	NAS	AST	39	97	saku | saku | saku | ʂuru | ʂuru	1 s̪uru	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
34	knife	BMU	MUN	39	97	saku | saku | saku | ʂuru | ʂuru	1 s̪uru	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
34	knife	NTO	TOR	40	97	tʃaku	3 tʃaku	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
35	axe	NAS	AST	40	97	kuwaɖo	1 kuwaɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
35	axe	BMU	MUN	40	97	kuwaɖɛ	1 kuwaɖe	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
35	axe	NTO	TOR	40	97	kuraɖ	1 kuraɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
36	rope	NAS	AST	40	98	ɖoɖɔ | ɖuʔɖi	2 humb	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
36	rope	BMU	MUN	40	98	ɖuʔɖi | humb	2 humb	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
36	rope	NTO	TOR	40	98	ɖoiɖo	5 ɖawõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
37	thread	NAS	AST	40	98	huʈ | huʈ	1 huʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
37	thread	BMU	MUN	40	98	huʈ | ɖoru | huʈ	1 huʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
37	thread	NTO	TOR	40	98	huʈ | huʈ	1 huʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
38	needle	NAS	AST	41	98	hwi	1 hwi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
38	needle	BMU	MUN	41	98	hui	1 hwi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
38	needle	NTO	TOR	41	98	hui	1 hwi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
39	cloth	NAS	AST	41	98	sako	3 sako, 1 poʈʌɖʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
39	cloth	BMU	MUN	41	98	saʔkhõ | kʌpʌɽ	3 saʔkõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
39	cloth	NTO	TOR	41	98	ɸaɖko	6 ʈaɖko	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
40	ring	NAS	AST	41	98	munɖi	1 munɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
40	ring	BMU	MUN	41	98	munɖi	1 munɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
40	ring	NTO	TOR	41	98	munɖʌɖo	2 munɖʌɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
41	sun	NAS	AST	41	99	dihi	1 dihi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
41	sun	BMU	MUN	41	99	dihi	1 dihi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
41	sun	NTO	TOR	41	99	ɖih	1 ɖih	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
42	moon	NAS	AST	41	99	sãɖ	2 sãɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
42	moon	BMU	MUN	41	99	sãɖ	2 sãɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
42	moon	NTO	TOR	41	99	tʃaɳɖ	1 tʃaŋɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
43	sky	NAS	AST	42	99	dzʊg	1 dzuŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
43	sky	BMU	MUN	42	99	dzʊg	1 dzuŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
43	sky	NTO	TOR	42	99	dzug	1 dzuŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
44	star	NAS	AST	42	99	ʈara | ʈaru	3 ʈaru	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
44	star	BMU	MUN	42	99	ʈaru	3 ʈaru	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
44	star	NTO	TOR	42	99	ʈara	3 ʈara	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
45	rain	NAS	AST	42	99	wohʌraʈ | paĩ	1 paɾ, 2 wohʌrʌʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
45	rain	BMU	MUN	42	99	wohʌraʈ | pʌĩ poɖɛ hɛ | pʌĩ poɖɛ hɛ | pãʔi	1 paʔɾ, 2 wohʌrʌʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
45	rain	NTO	TOR	42	99	paɳi | paɳi	1 paɳi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
46	water	NAS	AST	42	100	paĩ	1 paɾ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
46	water	BMU	MUN	42	100	paʔi	1 paɾ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
46	water	NTO	TOR	42	100	paɳi	1 paɳi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
47	river	NAS	AST	43	100	khaɖ	1 khaɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
47	river	BMU	MUN	43	100	khaɖi	1 khaɖi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
47	river	NTO	TOR	43	100	njeɳɖ | namili	2 njeŋɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
48	cloud	NAS	AST	43	100	wadʌlo	1 waɖʌlo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
48	cloud	BMU	MUN	43	100	waɖʌlo	1 waɖʌlo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
48	cloud	NTO	TOR	43	100	waɖeɭ	1 waɖeɭ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
49	lightning	NAS	AST	43	100	widz	2 widz	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
49	lightning	BMU	MUN	43	100	widz	2 widz	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
49	lightning	NTO	TOR	43	100	βidzʌɭe	1 bidzʌle	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
50	rainbow	NAS	AST	43	101	baɳ	1 baŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
50	rainbow	BMU	MUN	43	101	baɳi	1 ban	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
50	rainbow	NTO	TOR	43	101	banɖ	1 baŋɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
51	wind	NAS	AST	43	101	waro	1 waro	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
51	wind	BMU	MUN	43	101	varɔ | waru	1 waru	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
51	wind	NTO	TOR	43	101	waro	1 waro	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
52	stone	NAS	AST	44	101	ɖoɳ	2 ɖoŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
52	stone	BMU	MUN	44	101	ɖoɳ	2 ɖoŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
52	stone	NTO	TOR	44	101	ɖegoɖ | ɖegoɖ	1 ɖegoɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
53	path	NAS	AST	44	101	waʈ	1 waʈ, pag-waʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
53	path	BMU	MUN	44	101	pagwaʈ | waʈ	1 waʈ, pag-waʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
53	path	NTO	TOR	44	101	waʈ | marg	1 waʈ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
54	sand	NAS	AST	44	101	reʈo | rɛʔkhɔ	1 reʈo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
54	sand	BMU	MUN	44	101	reʈo | rɛʔkho	1 reʈo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
54	sand	NTO	TOR	44	101	welʈo	1, 2 weɭʈo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
55	fire	NAS	AST	44	102	ag	1 ag	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
55	fire	BMU	MUN	44	102	ag	1 ag	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
55	fire	NTO	TOR	44	102	agʈhi	2 agtʱi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
56	smoke	NAS	AST	44	102	tumaɳo | tumaɳo	2 ʈumaŋo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
56	smoke	BMU	MUN	45	102	tumaɳo | tumaɳo	2 ʈumaŋo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
56	smoke	NTO	TOR	45	102	ɖuwaɖo	1, 2 ɖuwaɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
57	ash	NAS	AST	45	102	kha | khʌʔa	1 kha	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
57	ash	BMU	MUN	45	102	khʌʔa	1 khaʔa	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
57	ash	NTO	TOR	45	102	rokhoɖo	2 rokhoɖo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
58	mud	NAS	AST	45	102	doru | garu | doru | garu	2 garu, 1 doru	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
58	mud	BMU	MUN	45	102	garu | doru	2 garu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
58	mud	NTO	TOR	45	102	garo	2 garo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
59	dust	NAS	AST	45	102	ʈulo	2 ʈulo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
59	dust	BMU	MUN	45	102	ʈulo	2 ʈulo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
59	dust	NTO	TOR	45	102	redzʌɖo	3 redzʌlo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
60	gold	NAS	AST	45	103	hono | hũno	1 hono	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
60	gold	BMU	MUN	45	103	hono | hũno	1 huno	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
60	gold	NTO	TOR	45	103	hano	1 hoŋo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
61	tree	NAS	AST	46	103	saɖ	2 saɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
61	tree	BMU	MUN	46	103	saɖ	2 saɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
61	tree	NTO	TOR	46	103	dʒaɖ | vik	3 dzaɖ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
62	leaf	NAS	AST	46	103	paɳ	1 paŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
62	leaf	BMU	MUN	46	103	pʌɳ | paɳ	1 paŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
62	leaf	NTO	TOR	46	103	palo | palo	1, 2 palo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
63	root	NAS	AST	46	103	mul	1 mul	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
63	root	BMU	MUN	46	103	mul	1 mul	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
63	root	NTO	TOR	46	103	muɭ	1 muɭ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
64	thorn	NAS	AST	46	103	kaʈu	1 kaʈu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
64	thorn	BMU	MUN	46	103	kaʈu	1 kaʈu	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
64	thorn	NTO	TOR	46	103	kaʈo	1 kaʈo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
65	flower	NAS	AST	46	104	ɸun	1 ɸun	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
65	flower	BMU	MUN	46	104	ɸul	1 ɸul	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
65	flower	NTO	TOR	46	104	ɸul	1 ɸuɭ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
66	fruit	NAS	AST	47	104	ɸol | phʌlvɔ | ɸol	2 ɸol	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
66	fruit	BMU	MUN	47	104	ɸon | phʌlvɔ	1, 2 ɸolʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
66	fruit	NTO	TOR	47	104	ɸoɭ | ɸoɭ	2 ɸol	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
67	mango	NAS	AST	47	104	ambo	1 ambo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
67	mango	BMU	MUN	47	104	ambɔ | ʌmbo	1 ambo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
67	mango	NTO	TOR	47	104	ambo	1 ambo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
68	banana	NAS	AST	47	104	kelo | kelo	1 keɭo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
68	banana	BMU	MUN	47	104	kelo | kelo	1 keɭo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
68	banana	NTO	TOR	47	104	kel | kel	1 keɭ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
69	wheat	NAS	AST	47	104	gʌõ	1, 2 gʌõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
69	wheat	BMU	MUN	47	104	gɔvẽ | gɔvẽ | gɔvẽ	2, 3 gõwʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
69	wheat	NTO	TOR	47	104	gʌõ	1, 2 gʌõ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
