Physical_PDF_Page	Printed_Page	Relative_Path	Bytes	Width	Height	DPI	SHA256	Evidence_Class
44	38	page-44.png	270222	1224	1584	144	c26c75890a1e89d64cb5624c9fe075bdfb73245839c0c0c4aa0bc9e2ce836208	fresh-topology-audit-only; lexical readings remain frozen manual evidence
45	39	page-45.png	277126	1224	1584	144	311f7204b2880e152370c38e9152c41909764cbe45c29aedcc53fd20d0bcafcc	fresh-topology-audit-only; lexical readings remain frozen manual evidence
46	40	page-46.png	276038	1224	1584	144	834b44d4ec0b766ff059bdc6b8ae9b780d10c655de58533a20b6a2385f6878eb	fresh-topology-audit-only; lexical readings remain frozen manual evidence
47	41	page-47.png	239513	1224	1584	144	c2961d723c6912ec6975579d5801c87f450ec47cbdbb43e1f0b04a5fd8101d23	fresh-topology-audit-only; lexical readings remain frozen manual evidence
48	42	page-48.png	303923	1224	1584	144	4291878e3caf22c45c4b6ffd0c3e36bf9be6fbd0704264d8fa3905ed72792c0c	fresh-topology-audit-only; lexical readings remain frozen manual evidence
49	43	page-49.png	284077	1224	1584	144	c467762073b86f7cace58483f8d4ebe6b4117d4ecd8b6e6dab31365f40b879b0	fresh-topology-audit-only; lexical readings remain frozen manual evidence
50	44	page-50.png	293721	1224	1584	144	b9c557f03d7c2dbd04973593a878bcc70acdb4068ecd9c1fabd0cf490bbe9512	fresh-topology-audit-only; lexical readings remain frozen manual evidence
51	45	page-51.png	294488	1224	1584	144	8a45f0c83901e87018d10c6665c66c3871c171c0c636ff4df11e36340762023b	fresh-topology-audit-only; lexical readings remain frozen manual evidence
52	46	page-52.png	298112	1224	1584	144	2f93676606570eb8a056ee1c8fc7a43eca1ed11a9d4794a1e526bc646a59f4f2	fresh-topology-audit-only; lexical readings remain frozen manual evidence
53	47	page-53.png	278522	1224	1584	144	efee6c3c55d6df5e3fc082da3dbf9d64520f287b54fc5fc757dfffdc537d380f	fresh-topology-audit-only; lexical readings remain frozen manual evidence
54	48	page-54.png	290180	1224	1584	144	5c4967236f82855128d3c49d0d7e309db18a5796493c9f1ac41ff3d97b54e7cf	fresh-topology-audit-only; lexical readings remain frozen manual evidence
55	49	page-55.png	269750	1224	1584	144	d9c90fa93647bdb7f3e6fab3a12ba9b89b2b871e03bd02b0d1bab982a2f1f402	fresh-topology-audit-only; lexical readings remain frozen manual evidence
56	50	page-56.png	259834	1224	1584	144	e789b9324a71cce3caf78f478e76c17802fae9073c794cd95a3a1118e48d9a40	fresh-topology-audit-only; lexical readings remain frozen manual evidence
57	51	page-57.png	258844	1224	1584	144	f53db2254d91f78053c09474439c569332f4f75d241cfce6d2f375d8195ca2dc	fresh-topology-audit-only; lexical readings remain frozen manual evidence
58	52	page-58.png	285175	1224	1584	144	493ab79e59717afe712aef4f7c6189d3fe6ba164a66f96a06360de579c9a42dc	fresh-topology-audit-only; lexical readings remain frozen manual evidence
59	53	page-59.png	292886	1224	1584	144	7c31a7971361b295e6fafc368a719e6955b34fb9f0c8e7f4de2e7a3005000470	fresh-topology-audit-only; lexical readings remain frozen manual evidence
60	54	page-60.png	273942	1224	1584	144	4ce7d3a7b94670627b496c7eff2ed6c04df19076400946a8a1fc0fa2b7a45069	fresh-topology-audit-only; lexical readings remain frozen manual evidence
61	55	page-61.png	262460	1224	1584	144	720371031dffb864ee94e6e0ab725efa74b8f24f48f3d84dabbc7f0d5c376899	fresh-topology-audit-only; lexical readings remain frozen manual evidence
62	56	page-62.png	286713	1224	1584	144	127b46cd1b3437dd00b2c6c22eb5fd3bfd67093b7076bbce246418e4cf773f79	fresh-topology-audit-only; lexical readings remain frozen manual evidence
63	57	page-63.png	302557	1224	1584	144	5523a1dbdd7d65f1086cb1052dff13b065e751689daf521843e81aac342a3f24	fresh-topology-audit-only; lexical readings remain frozen manual evidence
64	58	page-64.png	297490	1224	1584	144	658c13a3ce5fa0dad458a265e3a804d99004bce257c249301bbc3272115775d6	fresh-topology-audit-only; lexical readings remain frozen manual evidence
65	59	page-65.png	274371	1224	1584	144	67b65348f2de7ef9c7a1bde122ce7990a0370da82d26ee872cd28072160670da	fresh-topology-audit-only; lexical readings remain frozen manual evidence
66	60	page-66.png	286292	1224	1584	144	3d1e5e39807cfc58922888e274b8d078ea3a46f79e15d8c0ee1c525a66be045c	fresh-topology-audit-only; lexical readings remain frozen manual evidence
67	61	page-67.png	283572	1224	1584	144	da09683935f2b92a78385e98ecc4f10958e005910d3657c0a62bcb545b3908e4	fresh-topology-audit-only; lexical readings remain frozen manual evidence
68	62	page-68.png	276170	1224	1584	144	6da455b6f127b83c0959f20cb2cb5205d0ec325376482b4fa8a41fa503e8527c	fresh-topology-audit-only; lexical readings remain frozen manual evidence
69	63	page-69.png	229911	1224	1584	144	69f43d13fb55c7115f3df162185801ffa89b00cbbc3f82f582f08b85111275fb	fresh-topology-audit-only; lexical readings remain frozen manual evidence
70	64	page-70.png	292101	1224	1584	144	24a4bd78ce2495a9394031058f0eb2ade4d24a27e761e164d926ca1997e9d399	fresh-topology-audit-only; lexical readings remain frozen manual evidence
71	65	page-71.png	280951	1224	1584	144	0b3184d0f7ce0c08f9b44c679fbd95c052e0929a8674eec6e60600e55a380a99	fresh-topology-audit-only; lexical readings remain frozen manual evidence
72	66	page-72.png	266075	1224	1584	144	f4dc7decb77a452370b965008f6319f9d51889c2e95660293cde790a39517e3c	fresh-topology-audit-only; lexical readings remain frozen manual evidence
73	67	page-73.png	249215	1224	1584	144	2bc0fc59a82a77852533a2b95fe069b73cfa02f6db33883348160d378f3ddcd6	fresh-topology-audit-only; lexical readings remain frozen manual evidence
74	68	page-74.png	254974	1224	1584	144	abb86fcac1f9b1a998955d60f9345c98a327c75c058ce940f44636a0a3fca8ee	fresh-topology-audit-only; lexical readings remain frozen manual evidence
75	69	page-75.png	266894	1224	1584	144	f1eda68d37be792f984507001cd08fbd26325ea04b4abe218a807698664b1afe	fresh-topology-audit-only; lexical readings remain frozen manual evidence
76	70	page-76.png	272301	1224	1584	144	60e8d1af363a858316936beaa623413a9cf2f49beb6116fe77d7574a7f53c9cf	fresh-topology-audit-only; lexical readings remain frozen manual evidence
77	71	page-77.png	280039	1224	1584	144	4c4e3aff8648448061a0c7bcccdc83d64c1a68123f9a9b82278bbfe27eb689f0	fresh-topology-audit-only; lexical readings remain frozen manual evidence
78	72	page-78.png	230272	1224	1584	144	1cbf5658b1afe56bcf8d19e7f39b10b0c8080554f8a748fb2ded05c396e9cdec	fresh-topology-audit-only; lexical readings remain frozen manual evidence
