Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Citation	Staged_Entry_Keys
3	moon	PD	Padam	17	13	left	polo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list PD]	padung-sako2015adi:item:003:site:PD:response:1
3	moon	SM	Shimong	17	13	left	polo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list SM]	padung-sako2015adi:item:003:site:SM:response:1
3	moon	BK	Bokar	17	13	left	põlo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list BK]	padung-sako2015adi:item:003:site:BK:response:1
4	star	MN	Minyong	17	13	middle	t̪akaɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list MN]	padung-sako2015adi:item:004:site:MN:response:1
4	star	BR	Bori	17	13	middle	t̪akəɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list BR]	padung-sako2015adi:item:004:site:BR:response:1
4	star	RM	Ramo	17	13	middle	t̪akʌɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list RM]	padung-sako2015adi:item:004:site:RM:response:1
4	star	ML	Milang	17	13	middle	t̪akaɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list ML]	padung-sako2015adi:item:004:site:ML:response:1
4	star	PL	Pailibo	17	13	middle	t̪akəɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list PL]	padung-sako2015adi:item:004:site:PL:response:1
4	star	AS	Ashing (Bogum Bokang)	17	13	middle	t̪akəɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list AS]	padung-sako2015adi:item:004:site:AS:response:1
4	star	PD	Padam	17	13	middle	t̪akaɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list PD]	padung-sako2015adi:item:004:site:PD:response:1
4	star	SM	Shimong	17	13	middle	t̪akaɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list SM]	padung-sako2015adi:item:004:site:SM:response:1
4	star	BK	Bokar	17	13	middle	t̪akaɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 4, list BK]	padung-sako2015adi:item:004:site:BK:response:1
5	cloud	MN	Minyong	17	13	middle	d̪omuk	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list MN]	padung-sako2015adi:item:005:site:MN:response:1
5	cloud	BR	Bori	17	13	middle	hapon	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list BR]	padung-sako2015adi:item:005:site:BR:response:1
5	cloud	RM	Ramo	17	13	middle	d̪omuk	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list RM]	padung-sako2015adi:item:005:site:RM:response:1
5	cloud	ML	Milang	17	13	middle	amuk	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list ML]	padung-sako2015adi:item:005:site:ML:response:1
5	cloud	PL	Pailibo	17	13	middle	d̪omuk	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list PL]	padung-sako2015adi:item:005:site:PL:response:1
5	cloud	AS	Ashing (Bogum Bokang)	17	13	middle	d̪omuk	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list AS]	padung-sako2015adi:item:005:site:AS:response:1
5	cloud	PD	Padam	17	13	middle	d̪omuk	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list PD]	padung-sako2015adi:item:005:site:PD:response:1
5	cloud	SM	Shimong	17	13	middle	d̪omuk	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list SM]	padung-sako2015adi:item:005:site:SM:response:1
5	cloud	BK	Bokar	17	13	middle	d̪õmuk	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 5, list BK]	padung-sako2015adi:item:005:site:BK:response:1
6	rain	MN	Minyong	17	13	middle	pəd̪oŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list MN]	padung-sako2015adi:item:006:site:MN:response:1
6	rain	BR	Bori	17	13	middle	pəd̪oŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list BR]	padung-sako2015adi:item:006:site:BR:response:1
6	rain	RM	Ramo	17	13	middle	med̪oŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list RM]	padung-sako2015adi:item:006:site:RM:response:1
6	rain	ML	Milang	17	13	middle	badʒo	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list ML]	padung-sako2015adi:item:006:site:ML:response:1
6	rain	PL	Pailibo	17	13	middle	ɲid̪o	3	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list PL]	padung-sako2015adi:item:006:site:PL:response:1
6	rain	AS	Ashing (Bogum Bokang)	17	13	middle	pəd̪oŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list AS]	padung-sako2015adi:item:006:site:AS:response:1
6	rain	PD	Padam	17	13	middle	pəd̪oŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list PD]	padung-sako2015adi:item:006:site:PD:response:1
6	rain	SM	Shimong	17	13	middle	pəd̪oŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list SM]	padung-sako2015adi:item:006:site:SM:response:1
6	rain	BK	Bokar	17	13	middle	med̪oŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 6, list BK]	padung-sako2015adi:item:006:site:BK:response:1
7	rainbow	MN	Minyong	17	13	middle	muɾeŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list MN]	padung-sako2015adi:item:007:site:MN:response:1
7	rainbow	BR	Bori	17	13	middle	muɾe	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list BR]	padung-sako2015adi:item:007:site:BR:response:1
7	rainbow	RM	Ramo	17	13	middle	uɾe	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list RM]	padung-sako2015adi:item:007:site:RM:response:1
7	rainbow	ML	Milang	17	13	middle	bəkəbəle	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list ML]	padung-sako2015adi:item:007:site:ML:response:1
7	rainbow	PL	Pailibo	17	13	middle	uɾe	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list PL]	padung-sako2015adi:item:007:site:PL:response:1
7	rainbow	AS	Ashing (Bogum Bokang)	17	13	middle	mɯɾeŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list AS]	padung-sako2015adi:item:007:site:AS:response:1
7	rainbow	PD	Padam	17	13	middle	muɾe	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list PD]	padung-sako2015adi:item:007:site:PD:response:1
7	rainbow	SM	Shimong	17	13	middle	muɾeŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list SM]	padung-sako2015adi:item:007:site:SM:response:1
7	rainbow	BK	Bokar	17	13	middle	uɾe	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 7, list BK]	padung-sako2015adi:item:007:site:BK:response:1
8	wind	MN	Minyong	17	13	middle	d̪oji	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list MN]	padung-sako2015adi:item:008:site:MN:response:1
8	wind	BR	Bori	17	13	middle	d̪oji	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list BR]	padung-sako2015adi:item:008:site:BR:response:1
8	wind	RM	Ramo	17	13	middle	ɲilu | ɲilu	2 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list RM]	padung-sako2015adi:item:008:site:RM:response:1 | padung-sako2015adi:item:008:site:RM:response:2
8	wind	ML	Milang	17	13	middle	ləluŋ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list ML]	padung-sako2015adi:item:008:site:ML:response:1
8	wind	PL	Pailibo	17	13	middle	ilu	3	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list PL]	padung-sako2015adi:item:008:site:PL:response:1
8	wind	AS	Ashing (Bogum Bokang)	17	13	middle	d̪oji	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list AS]	padung-sako2015adi:item:008:site:AS:response:1
8	wind	PD	Padam	17	13	middle	d̪oji | aʃaɾ	1 | 4	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list PD]	padung-sako2015adi:item:008:site:PD:response:1 | padung-sako2015adi:item:008:site:PD:response:2
8	wind	SM	Shimong	17	13	middle	d̪oji	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list SM]	padung-sako2015adi:item:008:site:SM:response:1
8	wind	BK	Bokar	17	13	middle	ɲuluŋ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 8, list BK]	padung-sako2015adi:item:008:site:BK:response:1
9	lightning	MN	Minyong	17	13	right	jaɾi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list MN]	padung-sako2015adi:item:009:site:MN:response:1
9	lightning	BR	Bori	17	13	right	joɾi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list BR]	padung-sako2015adi:item:009:site:BR:response:1
9	lightning	RM	Ramo	17	13	right	d̪ojak	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list RM]	padung-sako2015adi:item:009:site:RM:response:1
9	lightning	ML	Milang	17	13	right	maɾlɯŋkapən	3	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list ML]	padung-sako2015adi:item:009:site:ML:response:1
9	lightning	PL	Pailibo	17	13	right	d̪ojak	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list PL]	padung-sako2015adi:item:009:site:PL:response:1
9	lightning	AS	Ashing (Bogum Bokang)	17	13	right	jaɾi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list AS]	padung-sako2015adi:item:009:site:AS:response:1
9	lightning	PD	Padam	17	13	right	jaɾi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list PD]	padung-sako2015adi:item:009:site:PD:response:1
9	lightning	SM	Shimong	17	13	right	jaːɾi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list SM]	padung-sako2015adi:item:009:site:SM:response:1
9	lightning	BK	Bokar	17	13	right	d̪ojap	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 9, list BK]	padung-sako2015adi:item:009:site:BK:response:1
10	thunder	MN	Minyong	17	13	right	d̪omɯɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 10, list MN]	padung-sako2015adi:item:010:site:MN:response:1
10	thunder	BR	Bori	17	13	right	d̪omɯɾ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 10, list BR]	padung-sako2015adi:item:010:site:BR:response:1
