Record_Type,Report,PDF_Page,Printed_Page,Column,Gloss_Number,Gloss,Site_Code,Site_Name,Comparison_Role,Response,Group,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
wordlist response,adimathara2019mudhili,19,15,2,7,nose,Gogada,Gogaduvalasa,target,1,1,mʊŋɑn,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 7, Gogaduvalasa]",silgadaba2019:g007:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,7,nose,Panuku,Panukuvalasa,target,1,1,mũŋen,visually transcribed at quarter-column zoom,source-raster-nasalization,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 7, Panukuvalasa]",silgadaba2019:g007:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,7,nose,Reyavani,Reyavanivalasa,target,1,1,mʊŋɑ,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 7, Reyavanivalasa]",silgadaba2019:g007:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,7,nose,Kotha,Kothavalasa,target,1,1,muŋen,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 7, Kothavalasa]",silgadaba2019:g007:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,7,nose,Suregadi,Suregadivalasa,target,1,1,mũŋen,visually transcribed at quarter-column zoom,source-raster-nasalization,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 7, Suregadivalasa]",silgadaba2019:g007:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,7,nose,Chinachipuru,Chinachipuruvalasa,target,1,1,mʊŋɑ,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 7, Chinachipuruvalasa]",silgadaba2019:g007:sil-gadaba-2019-chinachipuruvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,7,nose,TELUGU,Srikakulam Telugu,comparison control,1,3,mʊkːu,visually transcribed at quarter-column zoom,source-raster-vowel,excluded,Telugu comparison control; not a target Mudhili Gadaba list,,,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 7, Srikakulam Telugu]",
wordlist response,adimathara2019mudhili,19,15,2,8,mouth,Bobbili,Bobbilivalasa,target,1,1,solːu,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 8, Bobbilivalasa]",silgadaba2019:g008:sil-gadaba-2019-bobbilivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,8,mouth,Gogada,Gogaduvalasa,target,1,1,solːu,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 8, Gogaduvalasa]",silgadaba2019:g008:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,8,mouth,Panuku,Panukuvalasa,target,1,1,tʃolːu,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 8, Panukuvalasa]",silgadaba2019:g008:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,8,mouth,Reyavani,Reyavanivalasa,target,1,1,sulːu,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 8, Reyavanivalasa]",silgadaba2019:g008:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,8,mouth,Kotha,Kothavalasa,target,1,1,solːu,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 8, Kothavalasa]",silgadaba2019:g008:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,8,mouth,Suregadi,Suregadivalasa,target,1,1,solːu,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 8, Suregadivalasa]",silgadaba2019:g008:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,8,mouth,Chinachipuru,Chinachipuruvalasa,target,1,1,solːu,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 8, Chinachipuruvalasa]",silgadaba2019:g008:sil-gadaba-2019-chinachipuruvalasa:i1
wordlist response,adimathara2019mudhili,19,15,2,8,mouth,TELUGU,Srikakulam Telugu,comparison control,1,3,noru,visually transcribed at quarter-column zoom,,excluded,Telugu comparison control; not a target Mudhili Gadaba list,,,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 8, Srikakulam Telugu]",
wordlist response,adimathara2019mudhili,19,15,3,9,teeth,Bobbili,Bobbilivalasa,target,1,1,pʌlkil,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-bobbilivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 9, Bobbilivalasa]",silgadaba2019:g009:sil-gadaba-2019-bobbilivalasa:i1
wordlist response,adimathara2019mudhili,19,15,3,9,teeth,Gogada,Gogaduvalasa,target,1,1,pʌlkil,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-gogaduvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 9, Gogaduvalasa]",silgadaba2019:g009:sil-gadaba-2019-gogaduvalasa:i1
wordlist response,adimathara2019mudhili,19,15,3,9,teeth,Panuku,Panukuvalasa,target,1,2,pənːu,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-panukuvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 9, Panukuvalasa]",silgadaba2019:g009:sil-gadaba-2019-panukuvalasa:i1
wordlist response,adimathara2019mudhili,19,15,3,9,teeth,Reyavani,Reyavanivalasa,target,1,1,pʌlkil,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-reyavanivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 9, Reyavanivalasa]",silgadaba2019:g009:sil-gadaba-2019-reyavanivalasa:i1
wordlist response,adimathara2019mudhili,19,15,3,9,teeth,Kotha,Kothavalasa,target,1,1,pəlkil,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-kothavalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 9, Kothavalasa]",silgadaba2019:g009:sil-gadaba-2019-kothavalasa:i1
wordlist response,adimathara2019mudhili,19,15,3,9,teeth,Suregadi,Suregadivalasa,target,1,1,pəlkil,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 9, Suregadivalasa]",silgadaba2019:g009:sil-gadaba-2019-suregadivalasa:i1
wordlist response,adimathara2019mudhili,19,15,3,9,teeth,Suregadi,Suregadivalasa,target,2,1,pulu,visually transcribed at quarter-column zoom,,installed,,Gadaba,sil-gadaba-2019-suregadivalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 9, Suregadivalasa]",silgadaba2019:g009:sil-gadaba-2019-suregadivalasa:i2
wordlist response,adimathara2019mudhili,19,15,3,9,teeth,Chinachipuru,Chinachipuruvalasa,target,1,1,pʌlkil,visually transcribed at quarter-column zoom,source-raster-vowel,installed,,Gadaba,sil-gadaba-2019-chinachipuruvalasa,"adimathara2019mudhili[Appendix A.3, printed p. 15, item 9, Chinachipuruvalasa]",silgadaba2019:g009:sil-gadaba-2019-chinachipuruvalasa:i1
