PDF_Page,Printed_Page,Column,Head_Source,Form,Dialect,Language_ID,POS,Gloss,CDIAL_ID,Link_Source,CDIAL_Candidates,Entry_Text
73,63,1,ʌkhḗṣ,ʌkhḗṣ,J,Mai-Jijal,adj.m,broken (any object); not working (machine); terrible (person),,unlinked,,"ʌkhḗṣ adj.m. ‘broken (any object); not working (machine); terrible (person)’. Cf. Buṛ akhéṣ ‘seltsam’, Sh. akhéṣ (do.)."
73,63,1,"ɑxū̀r, axòr (B)",ɑxū̀r,B,bhatr,n.m,hay manger,,unlinked,,"ɑxū̀r, axòr (B) n.m.; axōr, -áh (G) ‘hay manger’. Perṣ ākhoṛ"
73,63,1,"ɑxū̀r, axòr (B)",axòr,B,bhatr,n.m,hay manger,,unlinked,,"ɑxū̀r, axòr (B) n.m.; axōr, -áh (G) ‘hay manger’. Perṣ ākhoṛ"
73,63,1,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B)",ʌxrʌ́th,J,Mai-Jijal,n.f,the other world,,unlinked,,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B) n.f. ‘the other world’. Aṛ ākhiraṭ"
73,63,1,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B)",ʌxʌrtī́,J,Mai-Jijal,n.f,the other world,,unlinked,,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B) n.f. ‘the other world’. Aṛ ākhiraṭ"
73,63,1,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B)",ʌxrʌ́th,G,Gowro,n.f,the other world,,unlinked,,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B) n.f. ‘the other world’. Aṛ ākhiraṭ"
73,63,1,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B)",ʌxʌrtáh,G,Gowro,n.f,the other world,,unlinked,,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B) n.f. ‘the other world’. Aṛ ākhiraṭ"
73,63,1,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B)",axrät,B,bhatr,n.f,the other world,,unlinked,,"ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B) n.f. ‘the other world’. Aṛ ākhiraṭ"
73,63,1,ʌgaxānī́ gɑ̄́ (n1),ʌgaxānī́ gɑ̄́,J,Mai-Jijal,n.m,an imported black-and-white cow,,unlinked,,ʌgaxānī́ gɑ̄́ (n1) n.m. ‘an imported black-and-white cow’. Has probably become known through projects of the Aga Khan Foundatioṇ
73,63,1,agár 1 (G),agár,G,Gowro,adj.m,ﬁrst; in front (of),68,dictionary,68,agár 1 (G) adj.m.; adv. ‘ﬁrst; in front (of)’. < ágra- (68). Cf. adj.m. agō̃ and adj.f. agũĩ.
73,63,1,"agʌ́r 2 (G, J, Š)",agʌ́r,G,Gowro,conj,if,,unlinked,,"agʌ́r 2 (G, J, Š) conj. ‘if’. A J example with a rightshift of the conj.: màh bhʌ̀ṽ agʌ́r bēlū́ khʌ̀ỹ, mī̃̀ kɑ̄́m hū̃ṣʌ̀th (Uṛ liṭ: maiṁ ghar-ke-liye agar jāūṁ to, merā kām hogā) ‘if I go home, my work will be completed’. Perṣ agaṛ"
73,63,1,"agʌ́r 2 (G, J, Š)",agʌ́r,J,Mai-Jijal,conj,if,,unlinked,,"agʌ́r 2 (G, J, Š) conj. ‘if’. A J example with a rightshift of the conj.: màh bhʌ̀ṽ agʌ́r bēlū́ khʌ̀ỹ, mī̃̀ kɑ̄́m hū̃ṣʌ̀th (Uṛ liṭ: maiṁ ghar-ke-liye agar jāūṁ to, merā kām hogā) ‘if I go home, my work will be completed’. Perṣ agaṛ"
73,63,1,"agʌ́r 2 (G, J, Š)",agʌ́r,Š,Mai-Shatot,conj,if,,unlinked,,"agʌ́r 2 (G, J, Š) conj. ‘if’. A J example with a rightshift of the conj.: màh bhʌ̀ṽ agʌ́r bēlū́ khʌ̀ỹ, mī̃̀ kɑ̄́m hū̃ṣʌ̀th (Uṛ liṭ: maiṁ ghar-ke-liye agar jāūṁ to, merā kām hogā) ‘if I go home, my work will be completed’. Perṣ agaṛ"
73,63,1,"agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā",agʌ́rbʌtī,G,Gowro,n.f,incense,,unlinked,,"agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā n.f. ‘incense’. Uṛ agarbattī, but position of accent suggests borrowing via Pshṭ"
73,63,1,"agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā",agʌ́rbʌtī,J,Mai-Jijal,n.f,incense,,unlinked,,"agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā n.f. ‘incense’. Uṛ agarbattī, but position of accent suggests borrowing via Pshṭ"
73,63,1,"agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā",agʌ́rbʌtē,G,Gowro,n.f,incense,,unlinked,,"agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā n.f. ‘incense’. Uṛ agarbattī, but position of accent suggests borrowing via Pshṭ"
73,63,1,"agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā",agʌ́rbʌtē,J,Mai-Jijal,n.f,incense,,unlinked,,"agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā n.f. ‘incense’. Uṛ agarbattī, but position of accent suggests borrowing via Pshṭ"
73,63,1,ʌgʌ̀ṽ 1,ʌgʌ̀ṽ,J,Mai-Jijal,adj,"single, one-sided",,unlinked,,"ʌgʌ̀ṽ 1 adj. ‘single, one-sided’. Ex.: ċʌ́ṽ zòṛ ʌgʌ̀ṽ síā̃-ċhē ‘you have sewed the clothes with one seam (only)’, ṣũ̀h ṭòkh ʌgʌ̀ṽ pʌýzi thū̀ ‘this melon has ripened (only) on one side’. K. agan ‘onefold’. Cf. dugʌ̀ṽ."
73,63,1,ʌgʌ̀ṽ 2,ʌgʌ̀ṽ,J,Mai-Jijal,,,,unlinked,,ʌgʌ̀ṽ 2 same as ʌgō̃̀.
73,63,1,ʌ̀gʌṽ 3 lū̀ (n1),ʌ̀gʌṽ lū̀,J,Mai-Jijal,n.m,a male person who has snatched away a shawl or another article of clothing from a female person in order to ridicule her family,,unlinked,,"ʌ̀gʌṽ 3 lū̀ (n1) n.m. ‘a male person who has snatched away a shawl or another article of clothing from a female person in order to ridicule her family’. ← ʌ̀gū and see second worḍ Cf. also kʌṇḍʌrā̃̀ lū̀, xālìs lū̀ and ṭikrʌ̀ṽ lū̀."
73,63,1,"ʌgɑ̄̀lʌš (J, Š)",ʌgɑ̄̀lʌš,J,Mai-Jijal,adj,eleven,2485,dictionary,2485,"ʌgɑ̄̀lʌš (J, Š) adj. ‘eleven’. < ékādaśa- (2485). Same as B yḕš and G ayayš."
73,63,1,"ʌgɑ̄̀lʌš (J, Š)",ʌgɑ̄̀lʌš,Š,Mai-Shatot,adj,eleven,2485,dictionary,2485,"ʌgɑ̄̀lʌš (J, Š) adj. ‘eleven’. < ékādaśa- (2485). Same as B yḕš and G ayayš."
73,63,2,ʌgɑ̄̀lʌšobīš,ʌgɑ̄̀lʌšobīš,J,Mai-Jijal,adj,thirty-one,,unlinked,,"ʌgɑ̄̀lʌšobīš adj. ‘thirty-one’. ← agɑ̄̀lʌš plus -o-, plus bī́š."
73,63,2,ʌguìši,ʌguìši,J,Mai-Jijal,adj,"helpless, without help",,unlinked,,"ʌguìši adj. ‘helpless, without help’."
73,63,2,"ʌguṛtū́, -ṓ",ʌguṛtū́,J,Mai-Jijal,n.f,"a thin or small bedcover, shawl",10593,dictionary,10593,"ʌguṛtū́, -ṓ n.f. ‘a thin or small bedcover, shawl’. ← ʌ̀gū plus perh. < *raṭṭa- (10593)."
73,63,2,agũĩ (G),agũĩ,G,Gowro,adj.f,ﬁrst,,unlinked,,agũĩ (G) adj.f. ‘ﬁrst’. See agár 1 and agō̃.
73,63,2,ʌgū (G),ʌgū,G,Gowro,adv,early,,unlinked,,ʌgū (G) adv. ‘early’.
73,63,2,"ʌ̀gū, -ō",ʌ̀gū,J,Mai-Jijal,n.m,a thick or big bedcover; a shawl worn by the bride during marriage,,unlinked,,"ʌ̀gū, -ō n.m. ‘a thick or big bedcover; a shawl worn by the bride during marriage’."
73,63,2,agō̃ (G),agō̃,G,Gowro,adj.m,ﬁrst,,unlinked,,agō̃ (G) adj.m. ‘ﬁrst’. See agár 1 and agũĩ.
73,63,2,ʌgō̃̀,ʌgō̃̀,J,Mai-Jijal,adj,"unripe (grain, fruits); not trustworthy (person)",,unlinked,,"ʌgō̃̀ adj. ‘unripe (grain, fruits); not trustworthy (person)’. Cf. Buṛ agúuyo. ‘roh’."
73,63,2,"aṅgʌ́ṛ, -àh or -ī́ ṇ",aṅgʌ́ṛ,J,Mai-Jijal,,a courtyard,118,dictionary,118,"aṅgʌ́ṛ, -àh or -ī́ ṇ ‘a courtyard’. < aṅgana- (118). Ex.: bhʌ̀ṽ-aṅgṛàh thḕ or bhʌ̀ṽ-aṅgṛī́ thḕ ‘(there) are the courts of the house’, bāvʌrčixānàh-aṅgṛī́ thḕ or bāvʌrčixānàh-aṅgṛàh thḕ ‘(there) are the courts of the kitchen’."
73,63,2,aṅgàỹ kɑ̄̀l (B),aṅgàỹ kɑ̄̀l,B,bhatr,adv,two years ago,,unlinked,,aṅgàỹ kɑ̄̀l (B) adv. ‘two years ago’. See second worḍ
73,63,2,aṅgàỹ d̀ïs (B),aṅgàỹ d̀ïs,B,bhatr,adv,day before yesterday,,unlinked,,aṅgàỹ d̀ïs (B) adv. ‘day before yesterday’. Cf. prec̣ and see d́īṣ
73,63,2,ʌṅgɑ̄̀,ʌṅgɑ̄̀,J,Mai-Jijal,adj,"ignorant, too young to know (child)",7165,dictionary,7165,"ʌṅgɑ̄̀ adj. ‘ignorant, too young to know (child)’. Cf. Niš. niŋ ‘wissen’. < *nigāti (7165) with negative prefix."
73,63,2,"ʌṅgɑ̄̀r, -ah (J, Š)",ʌṅgɑ̄̀r,J,Mai-Jijal,n.m,a ﬁre,125,dictionary,125,"ʌṅgɑ̄̀r, -ah (J, Š) n.m. ‘a ﬁre’. Ex.: bèh ʌṅgɑ̄̀r-tʌl guìli pʌzɑ̄́tē ‘we bake bread in the ﬁre’. < áṅgāra- (125)."
73,63,2,"ʌṅgɑ̄̀r, -ah (J, Š)",ʌṅgɑ̄̀r,Š,Mai-Shatot,n.m,a ﬁre,125,dictionary,125,"ʌṅgɑ̄̀r, -ah (J, Š) n.m. ‘a ﬁre’. Ex.: bèh ʌṅgɑ̄̀r-tʌl guìli pʌzɑ̄́tē ‘we bake bread in the ﬁre’. < áṅgāra- (125)."
73,63,2,+ guyʌ́ṽ,ʌṅgɑ̄̀r guyʌ́ṽ,J,Mai-Jijal,,to kindle a ﬁre,,unlinked,,+ guyʌ́ṽ ‘to kindle a ﬁre’.
73,63,2,+ guyʌ́ṽ,ʌṅgɑ̄̀r guyʌ́ṽ,Š,Mai-Shatot,,to kindle a ﬁre,,unlinked,,+ guyʌ́ṽ ‘to kindle a ﬁre’.
73,63,2,+ thakʌ́ṽ,ʌṅgɑ̄̀r thakʌ́ṽ,J,Mai-Jijal,,to extinguish a ﬁre,,unlinked,,+ thakʌ́ṽ ‘to extinguish a ﬁre’.
73,63,2,+ thakʌ́ṽ,ʌṅgɑ̄̀r thakʌ́ṽ,Š,Mai-Shatot,,to extinguish a ﬁre,,unlinked,,+ thakʌ́ṽ ‘to extinguish a ﬁre’.
73,63,2,"ʌṅgɑ̄̀r-phuṇḍíri, -àh (n2)",ʌṅgɑ̄̀r-phuṇḍíri,J,Mai-Jijal,n.f,a ﬁreﬂy,9990,dictionary,9990,"ʌṅgɑ̄̀r-phuṇḍíri, -àh (n2) n.f. ‘a ﬁreﬂy’ (liṭ: ‘ﬁre ﬂower’). ← ʌṅgɑ̄̀r and phùṇḍ˚. The ﬁnal syllable -íri < OIA -kara- as in *mākṣikakara- (9990)."
73,63,2,"ʌṅguíli, ʌṅguilià",ʌṅguíli,J,Mai-Jijal,n.f,a ﬁnger-ring,,unlinked,,"ʌṅguíli, ʌṅguilià n.f. ‘a ﬁnger-ring’. Same as ā̃ṅguíli."
73,63,2,"ʌṅguíli, ʌṅguilià",ʌṅguilià,J,Mai-Jijal,n.f,a ﬁnger-ring,,unlinked,,"ʌṅguíli, ʌṅguilià n.f. ‘a ﬁnger-ring’. Same as ā̃ṅguíli."
74,64,1,"ʌṅgùī, -ah (J); ʌṅgùi (Š)",ʌṅgùī,J,Mai-Jijal,,ﬁnger,135,dictionary,135,"ʌṅgùī, -ah (J); ʌṅgùi (Š) ‘ﬁnger’; aṅgùi (B) n.f. ‘ﬁnger, toe’. Note B qʌčī̀ aṅgùi ‘small ﬁnger’ (cf. Perṣ kūčik and Pshṭ kačoṭai ‘small’, and Paš. kaṅguč’i: and xač’i: aṅuṛ’e:k ‘little ﬁnger’, cf. also bng. kɑ̄̃ċi ɔ̄̃thi ‘small ﬁnger’), màṛās aṅgùi ‘middle ﬁnger’ (cf. G maṛáo ‘in the middle’), šahādàċ aṅgùi ‘index ﬁnger’ (← Perṣ (Aṛ) šahādat ‘evidence, testimony, witness’) (same as Phal. šahādat’ī ang‘uṛi ‘index ﬁnger of right hand’). The ﬁrst elements of the two last formations end in genitive -ṣ Same as G haṅgúi. < *aṅgūḍi- (135)."
74,64,1,"ʌṅgùī, -ah (J); ʌṅgùi (Š)",ʌṅgùi,Š,Mai-Shatot,,ﬁnger,135,dictionary,135,"ʌṅgùī, -ah (J); ʌṅgùi (Š) ‘ﬁnger’; aṅgùi (B) n.f. ‘ﬁnger, toe’. Note B qʌčī̀ aṅgùi ‘small ﬁnger’ (cf. Perṣ kūčik and Pshṭ kačoṭai ‘small’, and Paš. kaṅguč’i: and xač’i: aṅuṛ’e:k ‘little ﬁnger’, cf. also bng. kɑ̄̃ċi ɔ̄̃thi ‘small ﬁnger’), màṛās aṅgùi ‘middle ﬁnger’ (cf. G maṛáo ‘in the middle’), šahādàċ aṅgùi ‘index ﬁnger’ (← Perṣ (Aṛ) šahādat ‘evidence, testimony, witness’) (same as Phal. šahādat’ī ang‘uṛi ‘index ﬁnger of right hand’). The ﬁrst elements of the two last formations end in genitive -ṣ Same as G haṅgúi. < *aṅgūḍi- (135)."
74,64,1,ʌṅgēṭʌ́y,ʌṅgēṭʌ́y,J,Mai-Jijal,n.f,a forge (of a smith); a round iron stove,65,dictionary,65,ʌṅgēṭʌ́y n.f. ‘a forge (of a smith); a round iron stove’. < agniṣṭhá- (65).
74,64,1,"ʌṅgṑ; ʌṅgʌ̀ṽ (J, Š)",ʌṅgʌ̀ṽ,J,Mai-Jijal,n.m,thumb,,unlinked,,"ʌṅgṑ; ʌṅgʌ̀ṽ (J, Š) n.m. ‘thumb’. ← ʌṅgùī."
74,64,1,"ʌṅgṑ; ʌṅgʌ̀ṽ (J, Š)",ʌṅgʌ̀ṽ,Š,Mai-Shatot,n.m,thumb,,unlinked,,"ʌṅgṑ; ʌṅgʌ̀ṽ (J, Š) n.m. ‘thumb’. ← ʌṅgùī."
74,64,1,áṅgō̃ 1 (B),áṅgō̃,B,bhatr,n.m,a courtyard,118,dictionary,118,áṅgō̃ 1 (B) n.m. ‘a courtyard’. < aṅgana- (118).
74,64,1,aṅgō̃̀ 2 d̀ïs (B),aṅgō̃̀ d̀ïs,B,bhatr,n.m,day before yesterday,,unlinked,,aṅgō̃̀ 2 d̀ïs (B) n.m. ‘day before yesterday’. Cf. aṅgàỹ d̀ïṣ
74,64,1,aṅgṭhùi (B),aṅgṭhùi,B,bhatr,n.f,a ring,138,dictionary,138,aṅgṭhùi (B) n.f. ‘a ring’. < *aṅguṣṭhiya- (138).
74,64,1,aṅgṭhṑ; obl.pl. aṅgṭhō̃̀,aṅgṭhṑ,J,Mai-Jijal,n.m,big toe,137,dictionary,137,aṅgṭhṑ; obl.pl. aṅgṭhō̃̀ n.m. (B) ‘big toe’. < aṅguṣṭhá- (137).
74,64,1,"ʌṅgrḕz, -ah (occasionally also with Perṣ pl. ʌṅgrēzɑ̄̀n) (J); ʌṅgrēz (G)",ʌṅgrḕz,J,Mai-Jijal,n.m,a foreigner,,unlinked,,"ʌṅgrḕz, -ah (occasionally also with Perṣ pl. ʌṅgrēzɑ̄̀n) (J); ʌṅgrēz (G) n.m. ‘a foreigner’. Uṛ (Porṭ) aṁgreẓ"
74,64,1,"ʌṅgrḕz, -ah (occasionally also with Perṣ pl. ʌṅgrēzɑ̄̀n) (J); ʌṅgrēz (G)",ʌṅgrēz,G,Gowro,n.m,a foreigner,,unlinked,,"ʌṅgrḕz, -ah (occasionally also with Perṣ pl. ʌṅgrēzɑ̄̀n) (J); ʌṅgrēz (G) n.m. ‘a foreigner’. Uṛ (Porṭ) aṁgreẓ"
