Record_Type,Report,Raw_Line,PDF_Page,Printed_Page,Column,Gloss_Number,Gloss,Site_Code,Site_Name,Dialect_Group,Comparison_Role,Response,Group,Raw_OCR,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
wordlist response,ernest-oleary-kelsall2018irula,14,30,25,1,1,body,NEL,Nellithurai,Vette Kada,target,1,1,odambi,oɖʌmbɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-nellithurai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Nellithurai (NEL)]",silirula2018:g001:nilgiri-irula-nellithurai:i1
wordlist response,ernest-oleary-kelsall2018irula,15,30,25,1,1,body,CBT,Coimbatore Tamil,,elicited comparison list,1,1,oqamb:,,not transcribed (excluded comparison),,excluded,excluded elicited comparison list; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Coimbatore Tamil (CBT)]",
wordlist response,ernest-oleary-kelsall2018irula,16,30,25,1,1,body,MAD,MAD (unresolved),,unresolved comparison list,1,5,wudal,,not transcribed (excluded comparison),,excluded,excluded unresolved comparison list; not a target Irula list; the report does not expand the code MAD,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, MAD (unresolved) (MAD)]",
wordlist response,ernest-oleary-kelsall2018irula,17,30,25,1,1,body,KAN,Kannada,,comparison list culled from Blair 2012,1,6,deha,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Kannada (KAN)]",
wordlist response,ernest-oleary-kelsall2018irula,18,30,25,1,1,body,BAD,Badaga,,comparison list culled from Blair 2012,1,8,gdirega,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Badaga (BAD)]",
wordlist response,ernest-oleary-kelsall2018irula,19,30,25,1,1,body,ALU,Alu Kurumba,,comparison list culled from Blair 2012,1,7,wuru,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Alu Kurumba (ALU)]",
wordlist response,ernest-oleary-kelsall2018irula,20,30,25,1,1,body,BET,Betta Kurumba,,comparison list culled from Blair 2012,1,8,terige,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Betta Kurumba (BET)]",
wordlist response,ernest-oleary-kelsall2018irula,21,30,25,1,1,body,JEN,Jenu Kurumba,,comparison list culled from Blair 2012,1,3,ma‘,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 1, Jenu Kurumba (JEN)]",
wordlist response,ernest-oleary-kelsall2018irula,23,30,25,1,2,head,KUN,Kunjapanai,Mele Nadu,target,1,1,tale,t̪ʌlɛ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kunjapanai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Kunjapanai (KUN)]",silirula2018:g002:nilgiri-irula-kunjapanai:i1
wordlist response,ernest-oleary-kelsall2018irula,24,30,25,1,2,head,KOL,Kolikarai,Mele Nadu,target,1,1,tele,t̪ɛle,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kolikarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Kolikarai (KOL)]",silirula2018:g002:nilgiri-irula-kolikarai:i1
wordlist response,ernest-oleary-kelsall2018irula,25,30,25,1,2,head,CHE,Chemmanarai,Mele Nadu,target,1,1,tale,t̪ʌlɛ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chemmanarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Chemmanarai (CHE)]",silirula2018:g002:nilgiri-irula-chemmanarai:i1
wordlist response,ernest-oleary-kelsall2018irula,26,30,25,1,2,head,KIL,Kilkupkad,Mele Nadu,target,1,1,tale,t̪ʌlɛ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kilkupkad,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Kilkupkad (KIL)]",silirula2018:g002:nilgiri-irula-kilkupkad:i1
wordlist response,ernest-oleary-kelsall2018irula,27,30,25,1,2,head,MET,Mettukal,Mele Nadu,target,1,1,tale,t̪ʌlɛ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mettukal,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Mettukal (MET)]",silirula2018:g002:nilgiri-irula-mettukal:i1
wordlist response,ernest-oleary-kelsall2018irula,28,30,25,1,2,head,CHO,Chokkanalli,Northern,target,1,1,tale,t̪ʌle,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chokkanalli,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Chokkanalli (CHO)]",silirula2018:g002:nilgiri-irula-chokkanalli:i1
wordlist response,ernest-oleary-kelsall2018irula,29,30,25,1,2,head,MAV,Mavanalla,Northern,target,1,1,tele,t̪ɛle,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mavanalla,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Mavanalla (MAV)]",silirula2018:g002:nilgiri-irula-mavanalla:i1
wordlist response,ernest-oleary-kelsall2018irula,30,30,25,1,2,head,ANA,Anaikatty,Northern,target,1,1,tale,t̪ʌlɛ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-anaikatty,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Anaikatty (ANA)]",silirula2018:g002:nilgiri-irula-anaikatty:i1
wordlist response,ernest-oleary-kelsall2018irula,31,30,25,1,2,head,BOO,Bookapuram,Northern,target,1,1,tala,t̪ʌlʌ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-bookapuram,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Bookapuram (BOO)]",silirula2018:g002:nilgiri-irula-bookapuram:i1
wordlist response,ernest-oleary-kelsall2018irula,32,30,25,1,2,head,THA,Thaliyur,Vette Kada,target,1,1,tale,t̪ʌlɛ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-thaliyur,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Thaliyur (THA)]",silirula2018:g002:nilgiri-irula-thaliyur:i1
wordlist response,ernest-oleary-kelsall2018irula,33,30,25,1,2,head,NEL,Nellithurai,Vette Kada,target,1,1,tele,t̪ɛle,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-nellithurai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Nellithurai (NEL)]",silirula2018:g002:nilgiri-irula-nellithurai:i1
wordlist response,ernest-oleary-kelsall2018irula,34,30,25,1,2,head,CBT,Coimbatore Tamil,,elicited comparison list,1,1,tala‘,,not transcribed (excluded comparison),,excluded,excluded elicited comparison list; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Coimbatore Tamil (CBT)]",
wordlist response,ernest-oleary-kelsall2018irula,35,30,25,1,2,head,MAD,MAD (unresolved),,unresolved comparison list,1,1,tala',,not transcribed (excluded comparison),,excluded,excluded unresolved comparison list; not a target Irula list; the report does not expand the code MAD,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, MAD (unresolved) (MAD)]",
wordlist response,ernest-oleary-kelsall2018irula,36,30,25,1,2,head,KAN,Kannada,,comparison list culled from Blair 2012,1,1,tale,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Kannada (KAN)]",
wordlist response,ernest-oleary-kelsall2018irula,37,30,25,1,2,head,BAD,Badaga,,comparison list culled from Blair 2012,1,2,mand2,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Badaga (BAD)]",
wordlist response,ernest-oleary-kelsall2018irula,38,30,25,1,2,head,ALU,Alu Kurumba,,comparison list culled from Blair 2012,1,2,mande,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Alu Kurumba (ALU)]",
wordlist response,ernest-oleary-kelsall2018irula,39,30,25,1,2,head,BET,Betta Kurumba,,comparison list culled from Blair 2012,1,2,mande,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Betta Kurumba (BET)]",
wordlist response,ernest-oleary-kelsall2018irula,40,30,25,1,2,head,JEN,Jenu Kurumba,,comparison list culled from Blair 2012,1,1,tale,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 2, Jenu Kurumba (JEN)]",
wordlist response,ernest-oleary-kelsall2018irula,42,30,25,1,3,hair,KUN,Kunjapanai,Mele Nadu,target,1,1,mande,mʌɳɖe,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kunjapanai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Kunjapanai (KUN)]",silirula2018:g003:nilgiri-irula-kunjapanai:i1
wordlist response,ernest-oleary-kelsall2018irula,43,30,25,1,3,hair,KOL,Kolikarai,Mele Nadu,target,1,1,mande,mʌɳɖe,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kolikarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Kolikarai (KOL)]",silirula2018:g003:nilgiri-irula-kolikarai:i1
wordlist response,ernest-oleary-kelsall2018irula,44,30,25,1,3,hair,CHE,Chemmanarai,Mele Nadu,target,1,1,mande,mʌɳɖe,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chemmanarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Chemmanarai (CHE)]",silirula2018:g003:nilgiri-irula-chemmanarai:i1
wordlist response,ernest-oleary-kelsall2018irula,45,30,25,1,3,hair,KIL,Kilkupkad,Mele Nadu,target,1,1,mande,mʌɳɖe,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kilkupkad,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Kilkupkad (KIL)]",silirula2018:g003:nilgiri-irula-kilkupkad:i1
wordlist response,ernest-oleary-kelsall2018irula,46,30,25,1,3,hair,MET,Mettukal,Mele Nadu,target,1,1,mande,mʌɳɖe,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mettukal,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Mettukal (MET)]",silirula2018:g003:nilgiri-irula-mettukal:i1
wordlist response,ernest-oleary-kelsall2018irula,50,30,25,2,3,hair,CHO,Chokkanalli,Northern,target,1,1,mande,mʌɳɖe,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chokkanalli,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Chokkanalli (CHO)]",silirula2018:g003:nilgiri-irula-chokkanalli:i1
wordlist response,ernest-oleary-kelsall2018irula,51,30,25,2,3,hair,MAV,Mavanalla,Northern,target,1,1,mande,mʌɳɖe,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mavanalla,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Mavanalla (MAV)]",silirula2018:g003:nilgiri-irula-mavanalla:i1
wordlist response,ernest-oleary-kelsall2018irula,52,30,25,2,3,hair,ANA,Anaikatty,Northern,target,1,2,kuduli,kuɖulɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-anaikatty,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Anaikatty (ANA)]",silirula2018:g003:nilgiri-irula-anaikatty:i1
wordlist response,ernest-oleary-kelsall2018irula,53,30,25,2,3,hair,BOO,Bookapuram,Northern,target,1,2,kud4lé,kuɖɨlɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-bookapuram,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Bookapuram (BOO)]",silirula2018:g003:nilgiri-irula-bookapuram:i1
wordlist response,ernest-oleary-kelsall2018irula,54,30,25,2,3,hair,THA,Thaliyur,Vette Kada,target,1,3,mehiré,mehɨɾɨ,reviewed,,installed,,Irula,nilgiri-irula-thaliyur,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Thaliyur (THA)]",silirula2018:g003:nilgiri-irula-thaliyur:i1
wordlist response,ernest-oleary-kelsall2018irula,55,30,25,2,3,hair,NEL,Nellithurai,Vette Kada,target,1,"3,7",majiri,mʌjɨɾɨ,reviewed,,installed,,Irula,nilgiri-irula-nellithurai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Nellithurai (NEL)]",silirula2018:g003:nilgiri-irula-nellithurai:i1
wordlist response,ernest-oleary-kelsall2018irula,56,30,25,2,3,hair,CBT,Coimbatore Tamil,,elicited comparison list,1,6,mudi,,not transcribed (excluded comparison),,excluded,excluded elicited comparison list; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Coimbatore Tamil (CBT)]",
wordlist response,ernest-oleary-kelsall2018irula,57,30,25,2,3,hair,MAD,MAD (unresolved),,unresolved comparison list,1,7,majic,,not transcribed (excluded comparison),,excluded,excluded unresolved comparison list; not a target Irula list; the report does not expand the code MAD,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, MAD (unresolved) (MAD)]",
wordlist response,ernest-oleary-kelsall2018irula,58,30,25,2,3,hair,KAN,Kannada,,comparison list culled from Blair 2012,1,2,ku:dalu,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Kannada (KAN)]",
wordlist response,ernest-oleary-kelsall2018irula,59,30,25,2,3,hair,BAD,Badaga,,comparison list culled from Blair 2012,1,4,woarama,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Badaga (BAD)]",
wordlist response,ernest-oleary-kelsall2018irula,60,30,25,2,3,hair,ALU,Alu Kurumba,,comparison list culled from Blair 2012,1,2,ku:dalu,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Alu Kurumba (ALU)]",
wordlist response,ernest-oleary-kelsall2018irula,61,30,25,2,3,hair,BET,Betta Kurumba,,comparison list culled from Blair 2012,1,5,kuru,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Betta Kurumba (BET)]",
wordlist response,ernest-oleary-kelsall2018irula,62,30,25,2,3,hair,JEN,Jenu Kurumba,,comparison list culled from Blair 2012,1,2,kudulu,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 3, Jenu Kurumba (JEN)]",
wordlist response,ernest-oleary-kelsall2018irula,64,30,25,2,4,face,KUN,Kunjapanai,Mele Nadu,target,1,1,monde,mon̪d̪ɛ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kunjapanai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Kunjapanai (KUN)]",silirula2018:g004:nilgiri-irula-kunjapanai:i1
wordlist response,ernest-oleary-kelsall2018irula,65,30,25,2,4,face,KOL,Kolikarai,Mele Nadu,target,1,1,monde,mon̪d̪e,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kolikarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Kolikarai (KOL)]",silirula2018:g004:nilgiri-irula-kolikarai:i1
wordlist response,ernest-oleary-kelsall2018irula,66,30,25,2,4,face,CHE,Chemmanarai,Mele Nadu,target,1,1,monde,mon̪d̪ɛ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chemmanarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Chemmanarai (CHE)]",silirula2018:g004:nilgiri-irula-chemmanarai:i1
wordlist response,ernest-oleary-kelsall2018irula,67,30,25,2,4,face,KIL,Kilkupkad,Mele Nadu,target,1,1,"monde,",mon̪d̪ɛ̃,reviewed,source-raster-coronal; source-raster-nasalization,installed,,Irula,nilgiri-irula-kilkupkad,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Kilkupkad (KIL)]",silirula2018:g004:nilgiri-irula-kilkupkad:i1
wordlist response,ernest-oleary-kelsall2018irula,68,30,25,2,4,face,MET,Mettukal,Mele Nadu,target,1,1,nonde,non̪d̪e,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mettukal,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Mettukal (MET)]",silirula2018:g004:nilgiri-irula-mettukal:i1
wordlist response,ernest-oleary-kelsall2018irula,69,30,25,2,4,face,CHO,Chokkanalli,Northern,target,1,1,monde,mon̪d̪e,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chokkanalli,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Chokkanalli (CHO)]",silirula2018:g004:nilgiri-irula-chokkanalli:i1
wordlist response,ernest-oleary-kelsall2018irula,70,30,25,2,4,face,MAV,Mavanalla,Northern,target,1,1,monde,mon̪d̪e,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mavanalla,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Mavanalla (MAV)]",silirula2018:g004:nilgiri-irula-mavanalla:i1
wordlist response,ernest-oleary-kelsall2018irula,71,30,25,2,4,face,ANA,Anaikatty,Northern,target,1,1,monda,mon̪d̪ʌ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-anaikatty,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Anaikatty (ANA)]",silirula2018:g004:nilgiri-irula-anaikatty:i1
wordlist response,ernest-oleary-kelsall2018irula,72,30,25,2,4,face,BOO,Bookapuram,Northern,target,1,2,mokka,mokka,reviewed,,installed,,Irula,nilgiri-irula-bookapuram,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Bookapuram (BOO)]",silirula2018:g004:nilgiri-irula-bookapuram:i1
wordlist response,ernest-oleary-kelsall2018irula,73,30,25,2,4,face,THA,Thaliyur,Vette Kada,target,1,7,munsi,muɲʤi,reviewed,source-raster-affricate,installed,,Irula,nilgiri-irula-thaliyur,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Thaliyur (THA)]",silirula2018:g004:nilgiri-irula-thaliyur:i1
wordlist response,ernest-oleary-kelsall2018irula,74,30,25,2,4,face,NEL,Nellithurai,Vette Kada,target,1,7,munzi,muɲʤi,reviewed,source-raster-affricate,installed,,Irula,nilgiri-irula-nellithurai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Nellithurai (NEL)]",silirula2018:g004:nilgiri-irula-nellithurai:i1
wordlist response,ernest-oleary-kelsall2018irula,75,30,25,2,4,face,CBT,Coimbatore Tamil,,elicited comparison list,1,6,muham,,not transcribed (excluded comparison),,excluded,excluded elicited comparison list; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Coimbatore Tamil (CBT)]",
wordlist response,ernest-oleary-kelsall2018irula,76,30,25,2,4,face,MAD,MAD (unresolved),,unresolved comparison list,1,"5,6",mugam,,not transcribed (excluded comparison),,excluded,excluded unresolved comparison list; not a target Irula list; the report does not expand the code MAD,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, MAD (unresolved) (MAD)]",
wordlist response,ernest-oleary-kelsall2018irula,77,30,25,2,4,face,KAN,Kannada,,comparison list culled from Blair 2012,1,"2,4",muka,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Kannada (KAN)]",
wordlist response,ernest-oleary-kelsall2018irula,78,30,25,2,4,face,BAD,Badaga,,comparison list culled from Blair 2012,1,1,monde,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Badaga (BAD)]",
wordlist response,ernest-oleary-kelsall2018irula,79,30,25,2,4,face,ALU,Alu Kurumba,,comparison list culled from Blair 2012,1,"4,5",moga,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Alu Kurumba (ALU)]",
wordlist response,ernest-oleary-kelsall2018irula,80,30,25,2,4,face,BET,Betta Kurumba,,comparison list culled from Blair 2012,1,8,more,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Betta Kurumba (BET)]",
wordlist response,ernest-oleary-kelsall2018irula,81,30,25,2,4,face,JEN,Jenu Kurumba,,comparison list culled from Blair 2012,1,2,mokka,,not transcribed (excluded comparison),,excluded,excluded comparison list culled from Blair 2012; not a target Irula list,,,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 4, Jenu Kurumba (JEN)]",
wordlist response,ernest-oleary-kelsall2018irula,83,30,25,2,5,eye,KUN,Kunjapanai,Mele Nadu,target,1,1,knné,kʌɳɳɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kunjapanai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 5, Kunjapanai (KUN)]",silirula2018:g005:nilgiri-irula-kunjapanai:i1
wordlist response,ernest-oleary-kelsall2018irula,84,30,25,2,5,eye,KOL,Kolikarai,Mele Nadu,target,1,1,kKanni,kʌɳɳɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kolikarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 5, Kolikarai (KOL)]",silirula2018:g005:nilgiri-irula-kolikarai:i1
wordlist response,ernest-oleary-kelsall2018irula,85,30,25,2,5,eye,CHE,Chemmanarai,Mele Nadu,target,1,1,kanni,kʌɳɳi,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-chemmanarai,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 5, Chemmanarai (CHE)]",silirula2018:g005:nilgiri-irula-chemmanarai:i1
wordlist response,ernest-oleary-kelsall2018irula,86,30,25,2,5,eye,KIL,Kilkupkad,Mele Nadu,target,1,1,kanni,kʌɳɳɨ,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-kilkupkad,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 5, Kilkupkad (KIL)]",silirula2018:g005:nilgiri-irula-kilkupkad:i1
wordlist response,ernest-oleary-kelsall2018irula,87,30,25,2,5,eye,MET,Mettukal,Mele Nadu,target,1,1,kannu,kʌɳɳu,reviewed,source-raster-coronal,installed,,Irula,nilgiri-irula-mettukal,"ernest-oleary-kelsall2018irula[Appendix B, printed p. 25, item 5, Mettukal (MET)]",silirula2018:g005:nilgiri-irula-mettukal:i1
