Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,Page,Item,Pinnow_Set,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Parameter_ID,Link_Status,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,pinnow1959versuch:C:c11.p169.i1600.sV365,iɟiŋ,foot,Juang,ju,169,1600,V365,1,pinnow1959versuch:C:c11.p169.i1600.sV365,,iɟiŋ,m10,direct,ingested,Rau prints this Pinnow set number,"pinnow1959versuch[p. 169, item 1600, set V365]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,dd7346e6654c18b79984c6714899127c4e1c000668e1c211c762219e5d3a254c,pass,
2026-08-28,pinnow1959versuch:C:c2.p76.i1216.sV054,"are, arɛ",nine,Santali,sa,76,1216,V54,2,pinnow1959versuch:C:c2.p76.i1216.sV054:v2,pinnow1959versuch:C:c2.p76.i1216.sV054,arɛ,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 76, item 1216, set V54]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,7f0b8a6c6eabb3882409daac3805f166831ad6ca88a75b83771a6e4639c4b538,pass,
2026-08-28,pinnow1959versuch:C:c1.p122.i1432.sV247,ˈkɔsu,"sick, to be ill, pain",Kharia,kh,122,1432,V247,1,pinnow1959versuch:C:c1.p122.i1432.sV247,,ˈkɔsu,m26,direct,ingested,Rau prints this Pinnow set number,"pinnow1959versuch[p. 122, item 1432, set V247]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,4855bcd9e9220c7b976b63605666122ea856c9125553b15aaebebfca92ee6d8e,pass,
2026-08-28,pinnow1959versuch:C:c1.p155.i1528.sV313,"ˈɖiɳɖa, ˈɖɯɳɖɑ",virgin,Kharia,kh,155,1528,V313,2,pinnow1959versuch:C:c1.p155.i1528.sV313:v2,pinnow1959versuch:C:c1.p155.i1528.sV313,ˈɖɯɳɖɑ,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 155, item 1528, set V313]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,fb80da43690fc61b2d274efe721b45237808969c1c12fb483d5e1285a673d42d,pass,
2026-08-28,pinnow1959versuch:C:c6.p119.i1409.sV224,sida,"previous, before, first",Ho,ho,119,1409,V224,1,pinnow1959versuch:C:c6.p119.i1409.sV224,,sida,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 119, item 1409, set V224]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,ffd964ad6f7a265e43e3cba41c9bc1bdc1357e007d22062e5724303d983effe3,pass,
2026-08-28,pinnow1959versuch:C:c7.p397.i1136.sK540,"kuhua, kuhura","fog, mist",Birhor,Birhor,397,1136,K540,2,pinnow1959versuch:C:c7.p397.i1136.sK540:v2,pinnow1959versuch:C:c7.p397.i1136.sK540,kuhura,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 397, item 1136, set K540]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,00ea936b95fa409e27c4097231137e13e6e0348935758188dcfa81f0044eb267,pass,
2026-08-28,pinnow1959versuch:C:c7.p104.i1353.sV177,mɛrɔm,goat ({Sci.name} Capra hircus),Birhor,Birhor,104,1353,V177,1,pinnow1959versuch:C:c7.p104.i1353.sV177,,mɛrɔm,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 104, item 1353, set V177]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,836aa0c6a2008bee4a11a3398934b0def4997a5c02ccd37c8e61eee44227e95d,pass,
2026-08-28,pinnow1959versuch:C:c4.p177.i1632-3.sV391,monaja,five,Mundari,mu,177,1632-3,V391,1,pinnow1959versuch:C:c4.p177.i1632-3.sV391,,monaja,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 177, item 1632-3, set V391]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,ad4c59a9047048e519b3ed14ed0930794562e68aff872d5a8e9b88c1b2191a93,pass,
2026-08-28,pinnow1959versuch:C:c8.p71.i1170.sV008,tɑm-ɡi,eight,Bodo-Gadaba,gu,71,1170,V8,1,pinnow1959versuch:C:c8.p71.i1170.sV008,,tɑm-ɡi,m120,direct,ingested,Rau prints this Pinnow set number,"pinnow1959versuch[p. 71, item 1170, set V8]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,f3c0d1f6a759300fbc94c7dd794fca9e3df49db2955852118a3fe358bd5d2864,pass,
2026-08-28,pinnow1959versuch:C:c7.p126.i1438-2.sV251,copod,"to suck, lick",Birhor,Birhor,126,1438-2,V251,1,pinnow1959versuch:C:c7.p126.i1438-2.sV251,,copod,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 126, item 1438-2, set V251]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,c86cbd7c06e3c7d3513feabad778d4c0b6be3ccd3f6c014bf38d9fbc9b03909a,pass,
